orf	hom | growth (relative abundance in pooled culture) | PS-519 [8 uM] | Fleming JA~Blackman RK, 2002	hom | growth (relative abundance in pooled culture) | bortezomib [260 uM] | Fleming JA~Blackman RK, 2002
YBR052C	0.05966848036325789	-0.10817575900309293
YBR053C	0.05966848036325789	-0.10817575900309293
YBR054W	0.05966848036325789	-0.10817575900309293
YBR056W	0.05966848036325789	-0.10817575900309293
YBR057C	0.05966848036325789	-0.10817575900309293
YBR058C	0.05966848036325789	-0.10817575900309293
YBR059C	0.05966848036325789	-0.10817575900309293
YBR062C	0.05966848036325789	-0.10817575900309293
YBR063C	0.05966848036325789	-0.10817575900309293
YBR064W	0.05966848036325789	-0.10817575900309293
YBR065C	0.05966848036325789	-0.10817575900309293
YBR066C	0.05966848036325789	-0.10817575900309293
YBR067C	0.05966848036325789	-0.10817575900309293
YBR068C	0.05966848036325789	-0.10817575900309293
YBR069C	0.05966848036325789	-0.10817575900309293
YBR071W	0.05966848036325789	-0.10817575900309293
YBR072W	0.05966848036325789	-0.10817575900309293
YBR073W	0.05966848036325789	-0.10817575900309293
YBR074W	0.05966848036325789	-0.10817575900309293
YBR076W	0.05966848036325789	-0.10817575900309293
YBR077C	0.05966848036325789	-0.10817575900309293
YBR078W	0.05966848036325789	-0.10817575900309293
YBR083W	0.05966848036325789	-0.10817575900309293
YBR084C-A	0.05966848036325789	-0.10817575900309293
YBR084W	0.05966848036325789	-0.10817575900309293
YBR089C-A	0.05966848036325789	-0.10817575900309293
YBR090C	0.05966848036325789	-0.10817575900309293
YBR092C	0.05966848036325789	-0.10817575900309293
YBR093C	0.05966848036325789	-0.10817575900309293
YBR094W	0.05966848036325789	-0.10817575900309293
YBR098W	0.05966848036325789	-0.10817575900309293
YBR099C	0.05966848036325789	-0.10817575900309293
YBR101C	0.05966848036325789	-0.10817575900309293
YBR103W	0.05966848036325789	-0.10817575900309293
YBR104W	0.05966848036325789	-0.10817575900309293
YBR105C	0.05966848036325789	-0.10817575900309293
YBR107C	-6.691393869308142	-6.355325841431623
YBR108W	0.05966848036325789	-0.10817575900309293
YBR113W	0.05966848036325789	-0.10817575900309293
YBR114W	0.05966848036325789	-0.10817575900309293
YBR116C	0.05966848036325789	-0.10817575900309293
YBR119W	0.05966848036325789	-0.10817575900309293
YBR120C	0.05966848036325789	-0.10817575900309293
YBR125C	0.05966848036325789	-0.10817575900309293
YBR126C	0.05966848036325789	-0.10817575900309293
YBR127C	0.05966848036325789	-0.10817575900309293
YBR128C	0.05966848036325789	-0.10817575900309293
YBR129C	0.05966848036325789	-0.10817575900309293
YBR130C	0.05966848036325789	-0.10817575900309293
YBR131W	0.05966848036325789	-0.10817575900309293
YBR134W	0.05966848036325789	-0.10817575900309293
YBR137W	0.05966848036325789	-0.10817575900309293
YBR138C	0.05966848036325789	-0.10817575900309293
YBR139W	0.05966848036325789	-0.10817575900309293
YBR141C	0.05966848036325789	-0.10817575900309293
YBR144C	0.05966848036325789	-0.10817575900309293
YBR145W	0.05966848036325789	-0.10817575900309293
YBR146W	0.05966848036325789	-0.10817575900309293
YBR147W	0.05966848036325789	-0.10817575900309293
YBR148W	0.05966848036325789	-0.10817575900309293
YBR149W	0.05966848036325789	-0.10817575900309293
YBR150C	0.05966848036325789	-0.10817575900309293
YBR151W	0.05966848036325789	-0.10817575900309293
YBR156C	0.05966848036325789	-0.10817575900309293
YBR157C	0.05966848036325789	-0.10817575900309293
YBR158W	0.05966848036325789	-0.10817575900309293
YBR159W	0.05966848036325789	-0.10817575900309293
YBR161W	0.05966848036325789	-0.10817575900309293
YBR162C	0.05966848036325789	-0.10817575900309293
YBR162W-A	0.05966848036325789	-0.10817575900309293
YBR163W	0.05966848036325789	-0.10817575900309293
YBR164C	0.05966848036325789	-0.10817575900309293
YBR169C	0.05966848036325789	-0.10817575900309293
YBR172C	0.05966848036325789	-0.10817575900309293
YBR173C	0.05966848036325789	-0.10817575900309293
YBR174C	0.05966848036325789	-0.10817575900309293
YBR175W	0.05966848036325789	-0.10817575900309293
YBR176W	0.05966848036325789	-0.10817575900309293
YBR177C	0.05966848036325789	-0.10817575900309293
YBR178W	0.05966848036325789	-0.10817575900309293
YBR179C	0.05966848036325789	-0.10817575900309293
YBR180W	0.05966848036325789	-0.10817575900309293
YBR181C	0.05966848036325789	-0.10817575900309293
YBR182C	0.05966848036325789	-0.10817575900309293
YBR183W	0.05966848036325789	-0.10817575900309293
YBR184W	0.05966848036325789	-0.10817575900309293
YBR185C	0.05966848036325789	-0.10817575900309293
YBR186W	0.05966848036325789	-0.10817575900309293
YBR187W	0.05966848036325789	-0.10817575900309293
YBR188C	0.05966848036325789	-0.10817575900309293
YBR189W	0.05966848036325789	-0.10817575900309293
YBR191W	0.05966848036325789	-0.10817575900309293
YBR195C	0.05966848036325789	-0.10817575900309293
YBR197C	0.05966848036325789	-0.10817575900309293
YBR199W	0.05966848036325789	-0.10817575900309293
YBR201W	0.05966848036325789	-0.10817575900309293
YBR203W	0.05966848036325789	-0.10817575900309293
YBR204C	0.05966848036325789	-0.10817575900309293
YBR205W	0.05966848036325789	-0.10817575900309293
YBR206W	0.05966848036325789	-0.10817575900309293
YBR207W	0.05966848036325789	-0.10817575900309293
YBR208C	0.05966848036325789	-0.10817575900309293
YBR210W	0.05966848036325789	-0.10817575900309293
YBR212W	0.05966848036325789	-0.10817575900309293
YBR213W	0.05966848036325789	-0.10817575900309293
