ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YNL240C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.699	1.070	0.515	1.003	1.893	0.576	1.382	0.406	0.829	0.825	1.197
YNL241C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.021	0.384	-0.021	0.251	-0.221	0.240	0.704	0.030	1.650	1.233	0.889
YNL242W	0.156	0.043	0.445	-0.085	0.645	0.104	0.112	0.758	0.133	-0.155	0.626	-0.432	0.007	-0.079	0.066	0.075	0.021	0.090	0.068	0.020	-0.028	-0.075
YNL243W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.477	-0.101	-0.390	-0.058	-0.262	-1.443	-0.665	-0.139	-0.107	-0.076	-0.499
YNL244C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.864	0.612	1.456	0.567	0.770	0.605	0.577	-0.012	0.535	0.897	0.326
YNL245C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.613	-2.274	-1.637	-0.011	-1.520	-3.936	-1.700	0.069	-2.241	-0.073	-2.159
YNL246W	-0.950	-0.584	NaN	-0.682	0.976	0.404	0.501	0.183	0.506	-0.658	0.104	1.141	-0.103	-1.008	-0.133	-0.041	-0.148	-1.550	-0.041	-0.606	-0.083	0.046
YNL247W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.803	-0.014	-0.076	-1.278	-0.048	-0.963	-0.464	-0.599	0.490	0.131	-0.701
YNL248C	0.330	1.937	4.013	1.504	1.976	0.223	2.410	-3.500	0.135	0.105	2.620	-0.639	-2.973	0.001	-1.619	-2.982	-4.044	-4.164	-3.806	-1.609	-1.174	-1.336
YNL249C	0.039	-0.001	-0.044	0.028	0.350	-0.028	0.016	-0.210	-0.133	-0.134	0.012	-0.437	0.158	0.108	-0.019	-0.111	-0.087	0.019	-0.041	0.261	0.013	0.427
YNL250W	-0.052	0.413	0.654	0.294	1.322	0.195	0.061	0.069	-0.063	-0.025	0.605	-1.011	-0.256	-0.626	-1.492	-0.159	0.028	0.058	-0.366	-0.064	-0.046	-0.171
YNL251C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.106	0.034	0.094	-0.210	-0.174	-1.320	-0.002	-0.841	-1.184	-1.294	-0.827
YNL252C	1.909	3.011	3.233	2.900	1.992	0.952	5.207	0.705	0.111	0.298	3.446	0.051	-0.239	0.529	-0.234	0.059	0.195	-0.518	-0.091	0.038	1.417	0.266
YNL253W	0.040	0.102	0.571	-0.035	-0.167	0.187	0.030	-0.272	-0.037	0.066	0.090	0.059	-0.309	-0.057	-0.163	0.001	0.036	0.007	0.011	0.059	-1.065	0.226
YNL254C	-0.011	0.076	-0.087	0.044	0.177	0.624	0.001	0.338	0.025	0.082	-0.045	-0.056	0.140	0.204	0.673	0.058	-0.002	0.641	-0.008	0.183	0.062	-0.017
YNL255C	-1.071	-0.891	-0.795	-0.935	-0.009	-1.049	-2.125	0.242	-0.080	-0.532	-0.120	0.613	-0.029	-0.007	-0.003	-0.119	-0.940	-0.128	-0.005	-0.225	-0.376	0.179
YNL256W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.094	-0.115	-0.315	0.012	-1.037	0.011	-1.153	-0.106	-0.201	-0.072	-0.215
YNL257C	-0.057	-0.455	0.001	0.000	-0.731	-0.019	0.167	0.048	0.025	-0.061	0.020	0.096	1.046	0.442	0.092	0.839	0.034	0.066	0.645	1.117	0.019	0.265
YNL258C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.105	-0.118	-0.025	-0.327	0.019	1.670	0.233	-1.760	0.150	0.180	0.070
YNL259C	-0.479	-0.053	-0.146	-1.614	0.023	-0.075	-1.236	-0.549	0.804	-0.073	0.030	0.032	-1.289	0.016	-1.491	-0.025	-0.000	-0.046	0.090	0.294	0.198	-1.885
YNL260C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.859	0.301	0.015	-0.063	0.052	-0.082	-0.579	-0.059	-1.666	-0.735	-0.187
YNL261W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.129	0.043	0.152	-0.190	-0.005	0.034	-0.738	0.015	-0.003	1.260	0.035
YNL262W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.233	0.109	-2.303	-0.111	-0.436	-0.681	-0.877	-1.669	-0.131	0.050	0.012
YNL263C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011	-0.500	1.185	-0.172	0.030	0.353	-0.012	-0.623	-0.954	0.006	0.104
YNL264C	0.178	1.130	1.529	0.052	0.139	0.059	0.132	-0.170	0.026	0.056	1.644	-0.255	-0.624	-0.049	-0.090	-0.008	-0.149	-1.562	0.009	-0.125	-0.109	0.217
YNL265C	0.010	-0.017	0.015	-0.084	0.113	0.203	0.100	0.047	0.961	-0.253	0.013	0.006	1.761	-0.504	0.152	0.148	0.006	0.146	0.090	0.822	0.257	0.021
YNL266W	0.991	-0.357	0.845	0.047	-0.032	0.583	0.089	-0.041	0.043	0.018	0.019	0.129	0.718	-0.263	0.727	0.805	0.284	0.008	0.004	0.677	0.027	0.024
YNL267W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.554	0.047	0.008	-1.820	-4.148	-5.783	-4.550	-2.384	-2.018	-1.052	-4.472
YNL268W	-0.014	-0.476	-0.670	-1.922	0.186	-0.041	0.030	-1.579	-0.034	-0.645	0.009	0.357	-0.111	0.771	-0.069	0.141	0.893	0.298	0.035	0.088	0.138	0.240
YNL269W	0.047	-0.366	-0.007	-0.617	-0.014	-0.021	-0.087	-1.089	0.049	0.021	0.010	-0.059	-0.002	-0.036	-0.186	0.281	0.090	-0.472	0.062	0.028	0.096	0.015
