ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YER129W	0.174	0.069	0.249	0.990	0.020	0.034	0.884	0.263	0.019	0.095	0.047	1.298	0.025	0.021	1.084	0.064	0.324	0.465	0.095	0.116	0.789	0.006
YER130C	-0.000	1.227	0.688	-1.139	0.061	0.890	0.911	-0.021	0.011	0.023	0.071	0.321	0.072	0.022	0.222	0.981	0.561	0.137	0.602	1.390	1.812	0.483
YER131W	-0.002	0.112	0.040	-0.002	0.286	0.815	0.013	0.010	0.367	-0.900	0.060	0.919	-1.369	0.716	0.034	1.223	0.066	0.511	0.051	2.012	2.237	0.032
YER132C	0.114	-0.518	0.129	-0.481	0.214	-0.929	-0.220	0.170	1.713	0.095	0.205	0.182	-1.275	0.269	-0.004	0.301	1.052	0.012	0.057	0.055	0.119	0.039
YER133W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.548	-3.957	-2.287	-11.046	-10.886	-9.382	-11.215	-7.883	-9.819	-9.158	-13.058
YER133W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER134C	-0.022	0.025	0.083	-0.330	-0.008	-0.049	-0.643	-1.006	0.096	-0.487	0.020	-0.329	-0.145	0.080	-0.949	-0.709	0.009	-0.300	-1.388	-0.123	-0.046	-0.033
YER135C	0.675	-0.173	0.054	-0.285	-0.542	-0.168	-0.353	-0.188	0.006	-0.040	0.689	0.390	-0.066	0.115	0.359	0.343	0.760	1.365	0.554	0.222	1.130	0.008
YER136W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.421	0.108	0.325	0.216	-0.115	0.093	0.072	0.039	-0.075	-0.076	-0.439
YER137C	0.983	0.889	0.053	0.006	-0.052	0.684	0.967	0.102	0.048	-0.006	0.162	-0.006	-0.016	-0.059	-0.058	-0.539	-0.289	-0.325	-0.050	-0.494	1.339	0.066
YER137W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER138W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER139C	2.681	0.764	4.030	1.546	4.020	4.445	3.120	3.358	0.152	-0.009	4.388	1.385	0.187	0.147	0.655	0.389	0.722	-0.004	-0.006	-0.099	-0.036	0.093
YER140W	-0.080	-0.130	0.141	0.043	-0.005	-0.019	-0.724	0.795	-1.544	-0.746	-0.463	-0.052	0.220	-0.229	-0.005	0.188	-0.094	0.122	0.669	1.253	0.058	0.092
YER141W	1.101	0.295	0.223	2.034	1.803	-0.010	3.997	-0.008	3.094	-1.256	0.660	-0.636	-0.016	0.027	-0.043	-0.069	-0.047	0.032	-0.138	-0.004	0.025	-0.550
YER142C	0.052	-0.035	0.033	-0.294	-0.007	0.007	0.024	-0.012	0.003	-0.296	-0.019	0.016	1.177	0.043	0.045	0.031	0.110	0.086	0.143	0.076	1.164	-0.043
YER143W	0.001	0.381	-0.012	-0.654	0.283	0.099	-0.063	-0.018	0.814	-0.324	0.056	0.016	0.021	0.236	-0.275	0.832	0.276	0.345	0.062	0.099	0.749	0.027
YER144C	-0.120	0.025	0.018	-0.175	-0.000	-0.021	-0.027	0.788	-0.016	-0.113	-0.527	0.118	-0.020	-0.072	0.340	0.008	0.719	1.317	-1.183	0.021	-0.003	0.715
YER145C	1.043	-0.041	0.782	1.094	-0.333	0.002	-0.014	0.166	0.021	0.171	-0.192	0.877	0.049	0.193	0.097	0.003	-0.269	0.165	-0.176	-0.039	-0.088	0.036
YER145C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER146W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.119	0.146	0.042	-0.001	-0.523	-0.142	0.062	0.031	0.197	-0.008	-1.789
YER147C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.001	-2.025	1.058	-0.557	1.304	1.018	0.130	-2.189	-0.076	0.036	0.725
YER147C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER148W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.149	-1.721	-0.075	-0.059	-0.623	-0.019	-2.237	-0.523	-2.094	0.413	0.175
YER148W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER149C	0.447	1.773	0.902	0.010	-0.766	-0.051	-0.154	0.014	-0.010	0.693	-0.199	-0.055	-0.440	1.212	-0.728	-0.082	-0.049	-0.711	-0.059	0.004	-0.004	-0.044
YER150W	1.195	-1.339	-0.130	-1.058	0.924	0.036	-0.117	0.077	-0.023	0.026	0.150	0.090	-1.139	0.319	0.057	0.357	1.379	0.065	0.043	-0.020	-0.198	0.355
YER151C	-0.821	0.146	-0.044	0.185	-0.076	0.052	0.022	-0.520	0.221	-0.477	0.006	-0.542	-0.027	0.094	-0.695	-0.029	-0.027	-0.348	0.001	-0.383	-0.180	0.027
YER152C	-0.180	-0.109	-0.088	-0.153	0.032	-0.095	-0.103	-0.133	0.756	-0.132	0.015	0.080	-0.154	0.541	0.006	-1.090	-0.317	0.006	-0.543	-1.587	0.044	0.081
YER152W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER153C	0.096	2.930	NaN	3.480	0.103	0.010	5.803	-6.177	1.730	-0.414	0.556	-2.588	-1.851	0.027	-1.239	0.182	0.705	-0.028	-0.009	0.108	0.486	-0.014
YER154W	-0.057	0.171	3.532	1.363	1.239	1.805	3.023	0.422	0.049	-0.127	0.978	-0.117	-0.800	0.234	-0.239	-0.694	-0.021	-0.057	-0.058	0.177	0.824	-1.093
YER155C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.336	0.017	-0.738	0.853	0.746	0.655	0.172	0.396	-0.117	-0.529	0.494
YER156C	-0.014	0.172	1.085	1.156	-3.596	-3.232	0.729	-0.204	0.025	0.263	0.209	-0.005	-0.053	0.035	-1.201	-0.123	-0.022	-0.027	0.009	0.079	0.014	-0.997
YER157W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.141	1.766	2.409	2.076	8.082	4.721	5.038	3.947	7.652	7.310	10.112
YER158C	-0.990	-0.722	0.001	-0.002	-0.751	-1.153	-0.022	-1.612	-0.224	-0.479	-0.209	-4.057	-0.165	-0.091	-0.904	-2.602	-3.986	-2.029	-2.005	-0.612	-0.049	-4.382
YER158W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER159C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.069	-0.092	0.818	-0.122	0.150	-0.025	0.692	0.047	-0.083	-0.404	0.243
YER161C	-0.307	-1.008	0.071	-0.194	-0.547	-0.684	-2.534	-0.002	0.103	0.062	-1.103	0.103	-0.028	-0.142	-0.417	0.355	0.199	-0.280	0.115	0.057	0.082	-0.073
YER162C	-0.891	0.090	-0.012	0.279	0.189	-0.500	-0.870	0.074	-0.015	-0.169	-0.003	0.271	-0.727	NaN	NaN	NaN	NaN	1.097	NaN	NaN	NaN	-3.381
YER163C	-0.777	-0.299	-0.263	0.030	-1.165	-0.017	-0.600	-0.012	0.001	0.004	-0.481	-2.944	-0.211	-0.228	-1.433	-2.109	-2.725	-2.313	-0.799	-1.367	-0.713	-2.617
YER164W	0.425	2.401	3.143	1.705	1.780	2.966	2.939	0.347	0.460	1.145	2.209	0.173	0.261	0.006	0.165	0.013	0.034	0.223	0.931	-0.075	-0.027	0.194
YER165C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER165W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.908	1.200	6.760	0.626	7.313	10.162	3.411	2.668	4.328	10.228	10.315
YER166W	-0.997	-0.879	-1.053	-0.663	-0.600	-0.169	-0.072	-0.102	-0.010	0.014	-0.168	-7.768	-0.285	-0.489	-1.226	-4.846	-4.168	-0.763	-7.310	-1.160	-4.848	-5.349
YER167W	0.148	-0.588	0.192	-1.804	-0.187	-0.182	-0.570	0.111	1.435	0.101	0.214	0.586	0.014	-2.359	0.033	0.499	0.004	-0.130	0.648	0.038	0.719	0.199
YER168C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.126	-0.168	0.226	-0.777	0.137	-0.168	-0.000	0.220	1.063	0.001	0.009
YER169W	-0.090	-0.095	0.017	-0.394	-0.461	-0.582	-2.056	-0.205	0.030	-0.018	0.117	-0.785	0.176	0.780	0.015	-1.185	-1.111	-0.842	0.135	-1.055	-0.136	-1.225
YER170W	-0.001	-0.043	0.075	-0.023	0.081	-0.011	-0.515	1.018	0.007	-0.506	-0.006	-0.039	0.015	0.183	-0.011	0.303	0.832	0.022	-0.618	-0.002	0.684	0.071
YER171W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.966	0.027	1.344	0.333	1.085	2.796	3.090	2.480	1.625	1.522	1.567
YER172C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.074	-0.181	-0.298	-0.537	-0.005	0.025	0.042	0.305	0.040	0.006	0.006
YER172C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER173W	-0.046	-2.048	0.239	-0.545	-0.065	-0.135	-1.000	0.084	-0.018	-0.015	-0.290	0.065	1.653	0.246	-0.020	1.487	0.622	0.911	-0.048	0.146	0.828	0.900
YER174C	0.686	-0.559	0.158	0.048	-0.046	0.332	0.010	-0.017	0.173	0.001	-0.117	0.038	0.037	-0.007	0.242	0.018	-0.352	0.015	0.097	-0.002	-0.206	-0.216
YER175C	1.341	-0.032	0.814	-0.389	-0.024	0.107	0.297	0.050	-0.295	-0.009	0.064	-0.001	-0.233	-0.035	-2.462	0.000	0.044	-0.053	-0.011	0.041	-0.030	-0.574
YER175W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER176W	0.285	-0.398	1.088	-0.057	-0.870	-0.410	-0.565	-0.040	-0.489	-0.042	-0.056	-0.481	0.038	0.052	-0.882	-0.062	-0.009	-1.384	-0.030	-0.723	-0.031	-1.211
YER177W	0.044	-1.491	-0.594	-4.067	1.946	-0.990	-2.808	0.095	1.481	1.734	0.181	-0.474	-1.909	-0.199	-2.287	0.144	-2.081	-1.054	0.178	0.021	-0.003	-0.747
YER178W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.312	0.252	1.221	0.196	1.325	0.144	1.544	0.385	-0.038	0.778	0.040
YER179W	0.345	-0.040	0.056	0.157	-0.037	0.078	0.008	0.011	-0.009	-1.119	-0.302	0.070	0.679	-0.803	0.009	0.012	-0.542	0.123	-0.031	-0.106	-0.106	0.147
YER180C	-0.011	-0.047	0.002	-0.010	-0.020	-0.094	-0.065	0.111	-0.002	-0.596	-0.693	0.074	1.370	0.332	0.434	0.042	0.003	0.003	-0.217	-0.356	-0.012	0.443
YER180C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER181C	0.073	0.011	0.016	0.617	-0.292	-0.030	-0.008	0.320	-0.004	-0.789	-0.310	0.024	0.174	0.118	0.112	0.163	-0.229	0.363	0.006	0.031	-0.143	-0.040
YER182W	-0.067	-0.014	0.073	0.895	-1.211	-0.008	-0.906	-0.680	-0.209	-1.078	-0.511	0.165	-0.006	0.404	-0.134	0.108	0.008	0.050	-0.047	0.077	-0.547	0.004
YER183C	-0.096	0.073	0.286	0.001	-0.093	0.030	-0.053	-0.185	-1.165	-0.208	-0.094	0.010	-0.012	-0.074	-0.018	0.022	0.544	0.839	0.060	-0.114	-0.135	0.139
YER184C	-0.001	-0.086	-0.020	0.448	-0.003	-0.013	0.006	0.932	-0.265	-0.619	-0.061	1.247	0.097	-1.128	-0.024	0.050	-0.016	1.085	-0.007	0.017	0.055	0.486
YER185W	-0.545	-0.094	0.084	0.063	0.029	-0.184	0.018	-0.044	-0.051	0.411	-0.120	-0.086	0.209	0.345	-0.689	0.706	0.907	0.546	0.184	0.037	0.484	-0.179
YER186C	-0.166	-0.045	0.025	0.008	-0.019	0.084	0.203	0.008	0.019	-0.360	-0.104	NaN	NaN	NaN	0.029	NaN	NaN	1.846	NaN	NaN	NaN	NaN
YER187W	-0.016	0.161	0.829	0.431	0.395	-0.001	-0.024	0.900	-0.252	0.073	-0.065	1.113	0.147	0.013	-0.043	-0.090	0.018	0.970	0.120	-0.042	0.206	0.282
YER188C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER188W	-0.031	-0.180	0.189	0.449	0.853	0.692	-0.147	1.797	-0.452	0.001	-0.044	-6.461	-1.170	-8.602	-8.849	-9.762	-8.433	-8.086	-11.280	-4.475	-8.056	-3.418
YER189W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER190C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER190C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER190W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL001W	1.240	5.034	4.975	3.566	0.540	0.823	2.766	-2.518	1.842	1.476	5.982	1.086	-0.000	0.237	-0.034	1.002	0.702	-0.011	0.563	-0.001	0.705	0.038
YFL002C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.692	-0.620	-0.022	-1.026	-1.336	-0.304	-0.085	-0.092	-0.011	1.136	-0.279
YFL003C	0.037	-0.046	-0.003	0.513	-1.876	-0.157	-0.584	-1.074	0.031	-0.949	-0.043	0.300	-0.950	0.233	-0.027	0.549	-0.075	0.039	-0.835	0.019	-0.181	0.113
YFL004W	-0.151	0.000	0.138	-0.058	-0.433	-2.410	-1.261	0.145	0.032	-0.275	-0.782	-0.780	-0.221	0.171	0.149	-0.224	-0.235	-0.889	0.069	0.008	-0.393	-0.277
YFL005W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.588	0.056	-0.445	-4.399	-3.204	-4.017	-3.077	-0.700	-1.212	-0.808	-1.965
YFL007W	0.571	-0.941	-0.814	-0.397	0.018	-0.030	-0.759	0.117	0.191	-0.188	0.092	-0.059	-0.105	-0.138	-0.026	0.056	0.139	0.024	0.119	0.065	0.337	1.015
YFL008W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.974	0.603	1.954	8.432	8.841	8.388	10.479	3.319	3.513	5.793	10.532
YFL009W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.344	0.016	2.050	-0.000	2.014	1.212	1.149	-0.073	2.031	0.334	2.677
YFL010C	-0.044	-0.258	-0.020	-0.025	0.036	-1.862	-0.022	0.759	-0.093	-0.933	0.009	-0.729	-0.505	-0.527	-0.111	-0.329	-0.124	-2.601	0.069	0.268	1.026	-0.654
YFL010W-A	0.046	-0.530	0.159	0.013	-0.019	-0.866	0.034	-0.926	0.055	-0.167	0.686	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL011W	0.525	0.089	-0.281	-0.279	1.516	0.008	-1.659	0.412	0.220	-1.389	0.282	0.565	-2.519	-0.065	-0.065	-0.033	0.072	-0.405	0.101	-0.362	0.020	-1.161
YFL012W	-0.001	0.011	0.241	0.042	1.176	-0.000	-0.071	0.773	0.007	-0.127	-0.033	-0.042	-0.287	-0.014	0.015	0.038	-0.035	-0.541	0.323	-0.026	-0.820	0.247
YFL012W-A	1.650	0.194	1.688	0.875	0.247	0.879	1.264	0.101	0.055	-0.394	2.360	0.435	-0.496	1.484	-0.422	2.105	0.499	1.015	0.073	1.190	2.289	1.048
YFL013C	2.251	0.354	2.835	0.506	0.808	2.025	2.051	0.509	0.119	0.004	0.390	0.020	-1.546	0.047	-0.841	0.320	0.895	0.520	-0.135	-0.016	0.157	0.033
YFL014W	0.141	-0.048	-0.186	0.868	-1.212	-0.036	-0.036	0.033	0.006	-0.562	-0.071	-0.264	-0.252	-0.107	-0.032	-0.616	-1.295	-1.743	-0.333	-0.679	-1.825	-1.090
YFL015C	0.143	-0.072	-0.114	-0.021	-1.115	0.141	-0.300	-0.168	0.302	0.010	0.073	-0.636	-0.355	-0.036	0.022	-0.026	-0.196	-0.018	0.065	0.032	-0.014	-0.038
YFL015W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL016C	3.551	0.699	4.624	5.095	3.372	4.864	1.124	0.637	0.140	0.056	2.486	0.308	0.151	0.445	0.145	-0.006	-0.071	-0.048	-0.356	0.150	0.862	0.629
YFL017C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.187	-0.500	0.000	-0.984	-0.941	0.005	-1.001	-1.909	0.015	0.019	-1.429
YFL017W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL018C	0.733	4.915	1.023	1.939	-0.727	1.091	2.524	0.208	0.495	0.641	2.538	0.434	0.337	2.758	0.423	1.472	1.330	0.062	1.897	0.509	0.376	1.359
YFL019C	0.677	-0.062	0.061	0.082	-0.158	0.008	-0.349	0.163	0.002	-0.704	-0.406	0.081	0.106	0.121	0.072	0.066	-0.226	0.102	0.925	0.052	0.032	0.356
YFL020C	0.069	-0.069	0.031	0.013	-0.415	0.001	0.049	0.337	0.866	-0.376	-0.028	-0.007	-0.077	-0.415	-0.002	0.164	-0.873	-0.178	0.139	0.844	0.091	0.037
YFL021C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL021W	-0.911	-1.460	-0.071	0.157	-1.835	-0.094	-0.015	-2.420	-0.800	-0.050	0.001	-1.998	-2.665	-0.127	-0.896	-1.005	-1.663	-2.049	0.295	-0.347	-1.931	-3.151
YFL022C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.042	0.055	-0.157	-0.011	0.151	0.340	0.334	0.042	0.068	0.377	-0.026
YFL023W	4.771	4.019	6.341	3.906	6.651	4.859	5.780	4.064	3.162	4.369	6.687	1.168	-2.444	0.038	0.011	1.143	-0.010	-0.150	-0.266	-0.197	0.461	0.043
YFL024C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.158	-0.068	1.722	-1.501	0.415	-0.178	-0.075	-0.037	1.186	1.200	-0.005
YFL025C	-9.379	-5.830	-6.766	-8.151	-10.201	-16.702	-9.668	-9.371	-4.640	-3.569	-9.500	-0.653	-0.004	0.102	0.044	-3.538	-2.641	-2.126	-1.856	-0.141	-0.009	-0.293
YFL026W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.017	0.051	0.010	-0.047	1.152	0.231	0.475	0.062	0.080	0.203	0.102
YFL027C	-0.324	-0.110	0.050	0.711	-0.096	-0.748	-0.291	-0.027	0.516	-0.014	-0.039	-0.055	-0.037	0.012	-0.095	1.453	1.111	0.315	-0.134	0.044	0.972	-0.003
YFL028C	0.250	0.014	1.323	0.129	-0.108	0.106	0.508	-0.053	0.075	-0.008	-0.030	-0.032	-0.078	0.297	0.019	0.043	-0.005	0.018	0.012	0.137	-0.011	0.020
YFL029C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.061	-0.632	0.032	-0.176	0.002	0.054	0.264	-0.063	-0.072	1.189	0.082
YFL030W	-0.995	-0.052	-0.054	0.513	-0.467	-0.029	0.009	0.054	0.059	-0.283	-0.176	0.268	0.036	0.233	0.006	0.882	0.893	1.093	0.024	0.452	-0.014	0.044
YFL031C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL031W	0.085	-0.046	1.003	0.530	-0.381	-0.096	-0.481	-0.013	0.220	0.033	0.271	-0.003	0.065	0.004	-0.049	0.016	0.267	0.040	-0.086	-0.006	0.330	-0.011
YFL032W	0.639	0.028	1.404	0.086	-0.003	0.156	-0.034	-0.668	0.095	0.054	0.488	-1.312	-0.140	-0.223	-0.094	1.710	0.009	-1.142	-0.014	-0.070	-0.049	0.128
YFL033C	-0.098	0.145	3.447	2.628	0.052	-0.839	-0.004	-0.150	0.222	0.050	0.502	-0.803	-0.273	0.210	0.259	-0.240	-0.422	-1.367	-0.179	-0.353	-0.086	-0.003
YFL034C-A	0.123	-0.119	-0.009	0.155	-0.051	0.032	-0.180	0.041	-0.032	-0.846	-1.122	0.145	0.031	0.307	0.107	0.001	-0.144	0.020	0.051	-0.414	-1.059	0.078
YFL034C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.210	-0.286	0.026	-0.075	-0.568	-0.186	-0.019	-1.055	-0.179	-0.010	-0.063
YFL034W	-0.160	-1.019	0.069	-0.112	-0.033	0.198	0.198	-0.010	0.003	-0.118	-0.161	0.011	0.085	0.037	-0.250	-0.637	-0.142	-0.224	-0.084	0.011	0.024	0.000
YFL036W	3.407	2.420	4.376	3.264	1.262	1.104	5.500	0.287	0.345	0.099	3.556	0.039	0.176	0.036	0.158	0.162	0.041	0.564	0.068	-0.370	-0.098	0.019
YFL037W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.513	0.005	-0.082	0.040	0.173	-1.122	-0.917	-0.081	-0.333	-0.128	-0.072
YFL038C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.032	0.023	-0.896	-0.029	-0.071	-0.981	-0.251	-0.509	-0.275	0.011	-0.053
YFL039C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.017	-6.884	-6.313	-7.396	1.971	0.423	0.011	1.889	-0.055	-0.226	3.255
YFL040W	0.150	-1.176	0.008	0.337	0.345	0.026	0.021	-0.009	0.256	0.077	-0.055	0.012	0.084	0.062	0.021	0.064	-0.462	-0.040	0.033	-0.887	-0.074	-0.012
YFL041W	0.059	-0.008	0.546	1.067	-0.057	-0.162	-0.099	-0.410	0.111	-0.938	-0.261	-0.018	-0.799	-0.043	-0.000	0.225	0.015	0.081	0.041	-0.307	-0.340	0.005
YFL041W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL042C	0.050	-0.708	0.199	0.942	-0.113	0.056	-0.019	0.024	-0.007	-0.503	-0.491	0.520	0.003	0.453	0.054	1.198	0.172	0.360	0.031	0.081	0.060	0.932
YFL044C	0.130	-0.010	1.845	0.344	0.018	-0.180	-0.334	-1.351	0.124	-1.020	-0.071	1.303	-0.131	0.010	0.130	0.481	0.673	-0.429	0.419	-0.491	0.295	0.060
YFL045C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.059	-0.049	0.907	-0.127	0.029	0.009	0.032	-0.272	-0.008	0.007	0.001
YFL046W	-0.016	-0.577	-0.299	-0.208	-0.176	0.178	0.004	0.048	-0.040	-0.117	-0.253	-0.232	-1.059	-0.125	0.563	-0.146	-0.071	-0.058	0.012	0.192	-0.126	-0.016
