orf	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013											
YAL012W				2.728399043229011	0.6130776498729485	0.4077398091462322		3.6016646810957997	0.2040150054405644	0.908525435633353		0.1894144054397055	0.08019756208714726	0.023282860412183866	-0.11455227696673599	0.5491977706378288	0.9867226767430105	-0.07845262008139686	-0.059581328136787085	0.2836555579070366	0.22692262495351304	0.5407904228496072
YAL013W	-1.7567959679122178	-3.1167870972022302	-1.629668770226094	-3.255926315762476	-3.115685845063756	-2.600896357959584	-2.0672761745157806	-0.36024092906493915	-0.05819099429745072	-2.179724138075991	-1.876481440655381	-1.5606294181665807	-1.4202408480100712	-2.387121309019583	-1.690634952959232	-0.4196794403228103	-0.9496847865027315	-0.548553040977632	0.16520540740754905	0.1022317017963267	0.07322231874084982	-1.5858273578182573
YAL014C	-0.020489612788062467	-0.03772674485972523	-0.08930363339695827	0.42777583331886	-0.10375294212654235	-0.002479509188624945	-0.04397827411486934	-0.3984705779014948	0.3102577553772014	0.29678678309968765	0.01883858615930811	0.41464154958470784	0.07718766877263099	1.4515745269238143	-0.837969575095745	0.6639607185226797	0.5383091604706526	-0.12902428749374686	0.477789011838406	0.18524901888760603	0.19202087597289472	0.7528620363844931
YAL015C	0.17175148836562848	0.10949778139778872	0.9796222065406487	0.6850110642327134	0.0218184696086245	0.28384292941781614	-0.03581844529132639	-0.226448493230899	0.11055696099761456	0.738399631498276	0.46271124062166286	-0.07148363772255588	0.03615813455047231	0.07227899508092436	-1.5702632893110662	-0.21752849261654986	-0.6681801316470124	-0.7873145827981293	-0.817830634093328	-0.06890753809422333	-0.13271749179523654	-0.5641282048442557
YAL016W												0.09482676972829635	0.07134580797467582	0.10248544684562406	-0.8538693848707472	0.36925306023293564	-0.053011987497986614	-0.8347281398269246	1.3534629098350497	0.23632256765979975	0.786473394209173	0.8949866650001748
YAL017W	0.09384297892486776	0.12818465502961413	-0.03706558153593966	0.12622506318727322	0.10082313068804938	0.08567891252073156	-0.025651530602829306	-0.11722027109078023	-0.11395167973704438	0.05714213207354743	0.7500351952590975	-0.9518174437514632	0.07210892519479398	0.020995555213615902	-1.39747711180725	0.04736458233239692	-0.4906765938788944	-0.23589684747291603	-0.1778390301978023	-0.26897408556789737	0.03461801519161855	-0.628335209313534
YAL018C	0.23845149769942883	-0.5369472530001346	0.505645192004081	0.08128539238620706	0.31963956513647807	0.1144189705722752	0.044592241884759964	-0.33917910269044615	0.1292238532998067	0.020200803385978638	0.2310271885217217	0.028938503347693247	-0.06664371149737496	0.04026486065602988	-0.830604376093932	0.06069314901988861	-0.06635861187195345	-0.09776848075072946	-0.8192516395939619	0.006050297561153615	0.7848121424827657	-0.016300607085325197
YAL019W	1.1378694251723884	0.5430275895331889	0.11711445669943958	0.08525308850312659	0.051282826286747234	0.4821841065728346	0.23316827969813864	-0.9740050196106744	0.6553594418733177	0.2043145868079494	1.1935316130445928	-0.17554650637036387	-0.5123912321468691	0.06671618275684202	-0.7712842489209744	0.06634062124693375	-0.15157833025956496	-0.23582918547330137	-0.23916578601133848	0.035566321379058595	0.04014523491343756	-0.051934403999516675
YAL020C	1.651433171523126	0.48226171466980255	1.810475367119792	0.4109287897400156	0.733581093369998	0.828394802006783	1.097024528207926	-0.49728390130627614	0.26014292492825897	0.022152915292247038	1.603270600940178	-0.8504490552319097	-0.09317742590554176	0.029166046182567105	-1.4379602464604178	0.08454257002937596	-0.07228413182560066	-0.21259333320638774	0.04566249697398012	-0.019240701067000834	-0.1369665927307338	-0.16652914741672112
YAL021C	-6.424781386213716	-0.549175483045254	-5.519428438900428	-4.48257612938902	-7.305083309665746	-6.543261660641285	-7.4987086413256865	-10.383242190758981	-2.782549177344017	-3.0737717658278068	-4.722382351519316	-7.390860477113641	-7.962272931978584	-7.234535389109222	-6.89964086694787	-4.705718273820896	-6.797388010316765	-7.09948034567955	-3.820356160786927	-5.4541633815606785	-4.190254923651206	-7.519229258823059
YAL022C	0.06667983067032202	0.04474627732990233	0.1925303676071732	0.1557839591788945	-0.09492928871836259	0.1232309395807495	-0.03549535199152784	0.11196399020462222	-0.018397235948201383	-0.5525297250772653	-0.017074055392628087	-0.13604565745969338	0.7478417958132209	1.331230957262165	-0.5575207301349296	0.14218610143955468	-0.13556459661805753	0.22318992268074578	0.0518741661846053	0.1025817353120645	0.4312118785775678	0.09656810385621116
YAL023C	-3.148428336785868	-1.2840438726840526	-0.34490794455261753	-0.9348864846507629	-3.615716563131123	-2.596110649353986	-2.218728503497578	-0.5353584881340334	-0.06936234129551003	-2.1065821979315764	-0.8619783241637482	1.483997564662829	-0.6238901942925348	0.7995281903583531	-1.1521638836851147	1.0567593706622649	0.5372983050433547	0.16002833524420737	0.7660697247106301	0.07116059898268191	0.4053322133771271	1.8114214281941774
YAL024C	-1.0365887880539129	-1.025034328417762	-1.0223104863054187	-1.6545287210175859	-0.7922650682044136	-1.3784524554546347	-0.989368879930105	-0.5529187696463553	-0.5775735665987856	-0.9123589548261379	-1.50820462488823	-0.04202569052949407	-1.8836043737504637	0.21079086341429693	-0.3039244767644462	0.06168968407581651	-0.0630964737311566	-0.3012268347770361	0.04340237298045758	0.07132924983149161	-0.18692370793990806	-0.25812260697117556
YAL025C												-1.3212169950507322	0.10177238575040756	-0.5422110507291594	-0.3273174500547803	-1.3021802205352624	-0.2297789639219736	-1.296806867315521	-0.015215333819979436	-1.0517595299528268	0.02502049166366255	-0.8858462380186872
YAL026C	0.40012550874292147	0.06061443706815541	1.0863850485957594	0.9618418816464949	0.14154260804955254	0.23984190459318921	0.06189288638331224	-0.20534052513544496	0.38295712716748515	1.242284299924896	1.265161654615286	-0.8257255711524254	-0.3320242112376519	0.17936097736780104	-2.6895040956766905	-0.006273606439193487	0.0085801064264334	-0.5915373688277994	-0.23860401394762687	0.06455478521872755	0.12131898168110454	-0.17296388685192302
