orf	hap a | transport to mitochondria (Om14-GFP) | standard | SD + Met | Sauerwald J~Rapaport D, 2015	hap a | protein insertion into the MOM (Ura3-HA-Om14-SL17) | standard | SD + Met | Sauerwald J~Rapaport D, 2015
YBL044W	0.0	-0.49122807017543857
YBL045C	-1.0	0.0
YBL047C	0.0	-0.45333333333333337
YBL051C	-1.0	0.0
YBL053W	0.0	-0.2987012987012987
YBL056W	0.0	-0.19736842105263153
YBL057C	0.0	-0.3614457831325302
YBL060W	0.0	-0.2823529411764706
YBL061C	0.0	-0.4022988505747126
YBL065W	0.0	-0.24
YBL066C	0.0	-0.3369565217391305
YBL067C	0.0	-0.3023255813953488
YBL072C	0.0	-0.265625
YBL075C	0.0	-0.26881720430107525
YBL080C	-1.0	0.0
YBL083C	0.0	-0.22916666666666663
YBL085W	0.0	-0.37
YBL094C	0.0	-0.44680851063829785
YBL101C	0.0	-0.30434782608695654
YBL102W	0.0	-0.3555555555555555
YBR013C	0.0	-0.3813559322033898
YBR014C	0.0	-0.36641221374045807
YBR024W	0.0	-0.2983870967741935
YBR025C	0.0	-0.5161290322580645
YBR042C	0.0	-0.47107438016528924
YBR051W	0.0	-0.32835820895522383
YBR052C	0.0	-0.40458015267175573
YBR053C	0.0	-0.274074074074074
YBR054W	0.0	-0.3405797101449275
YBR065C	0.0	-0.25
YBR066C	0.0	-0.5116279069767442
YBR067C	0.0	-0.415929203539823
YBR089C-A	0.0	-0.19999999999999996
YBR098W	0.0	-0.19999999999999996
YBR099C	0.0	-0.31707317073170727
YBR103W	0.0	-0.2833333333333333
YBR106W	0.0	-0.5169491525423728
YBR107C	-1.0	-0.21590909090909094
YBR121C	0.0	-0.2804878048780488
YBR141C	0.0	-0.5528455284552846
YBR156C	0.0	-0.25
YBR157C	0.0	-0.4954128440366973
YBR158W	0.0	-0.2833333333333333
YBR161W	0.0	-0.22093023255813948
YBR171W	0.0	-0.2517482517482518
YBR172C	0.0	-0.2586206896551724
YBR174C	0.0	-0.3571428571428571
YBR175W	0.0	-0.37209302325581395
YBR178W	0.0	-0.26168224299065423
YBR179C	0.0	-0.6
YBR180W	0.0	-0.44036697247706424
YBR181C	0.0	-0.5192307692307692
YBR182C	0.0	-0.4390243902439024
YBR183W	0.0	-0.40944881889763785
YBR184W	0.0	-0.41463414634146345
YBR185C	0.0	-0.2183908045977011
YBR186W	0.0	-0.2654867256637168
YBR187W	0.0	-0.2857142857142857
YBR188C	0.0	-0.35766423357664234
YBR194W	0.0	-0.44099378881987583
YBR195C	0.0	-0.45925925925925926
YBR196C-A	-1.0	0.0
YBR197C	0.0	-0.42647058823529416
YBR199W	0.0	-0.4893617021276596
YBR200W	0.0	-0.5441176470588236
YBR201W	-1.0	-0.46478873239436624
YBR202W	-1.0	0.0
YBR203W	0.0	-0.3712121212121212
YBR204C	0.0	-0.4475524475524476
YBR205W	0.0	-0.42105263157894735
YBR206W	0.0	-0.31999999999999995
YBR207W	0.0	-0.31999999999999995
YBR208C	0.0	-0.2222222222222222
YBR209W	0.0	-0.4941860465116279
YBR210W	0.0	-0.43089430894308944
YBR212W	-1.0	-0.3916666666666667
YBR213W	0.0	-0.3285714285714286
YBR214W	0.0	-0.44897959183673475
YBR215W	0.0	-0.43200000000000005
YBR216C	0.0	-0.4473684210526315
YBR217W	0.0	-0.44594594594594594
YBR218C	0.0	-0.4671052631578947
YBR219C	0.0	-0.41129032258064513
YBR220C	0.0	-0.27184466019417475
YBR221C	0.0	-0.4933333333333333
YBR222C	0.0	-0.4537037037037037
YBR223C	0.0	-0.4722222222222222
YBR224W	0.0	-0.4913793103448276
YBR225W	0.0	-0.47651006711409394
YBR226C	0.0	-0.4558823529411765
YBR227C	0.0	-0.3307692307692308
YBR228W	0.0	-0.4191176470588235
YBR229C	0.0	-0.5337423312883436
YBR230C	0.0	-0.45967741935483875
YBR231C	0.0	-0.42148760330578516
YBR233W	0.0	-0.3153153153153153
YBR235W	0.0	-0.2666666666666667
YBR238C	0.0	-0.41025641025641024
YBR239C	0.0	-0.48039215686274506
YBR240C	0.0	-0.41747572815533984
YBR241C	0.0	-0.4158415841584159
YBR242W	0.0	-0.46601941747572817
YBR244W	0.0	-0.5205479452054795
YBR245C	0.0	-0.5151515151515151
YBR246W	0.0	-0.48550724637681164
YBR248C	0.0	-0.6341463414634146
YBR249C	0.0	-0.5153846153846153
YBR250W	0.0	-0.3267326732673267
YBR255W	0.0	-0.4655172413793104
YBR258C	0.0	-0.5
YBR259W	0.0	-0.48
YBR260C	0.0	-0.37037037037037035
YBR261C	0.0	-0.5221238938053097
YBR262C	0.0	-0.5234375
YBR263W	0.0	-0.5407407407407407
YBR264C	0.0	-0.6274509803921569
YBR266C	0.0	-0.5238095238095238
YBR274W	0.0	-0.36036036036036034
YBR277C	0.0	-0.4173913043478261
YBR278W	-1.0	-0.5
YBR285W	-1.0	0.0
YBR294W	0.0	-0.3443708609271523
YBR295W	0.0	-0.3145161290322581
YBR296C	0.0	-0.4838709677419355
YBR301W	0.0	-0.23664122137404575
YCL001W	0.0	-0.4558823529411765
YCL005W	0.0	-0.4380165289256198
YCL008C	0.0	-0.40697674418604646
YCL009C	0.0	-0.4883720930232558
YCL010C	0.0	-0.35344827586206895
YCL011C	0.0	-0.364406779661017
YCL014W	0.0	-0.4247787610619469
YCL023C	0.0	-0.4492753623188406
YCL024W	0.0	-0.4
YCL025C	0.0	-0.3875968992248062
YCL027W	0.0	-0.45222929936305734
YCL028W	0.0	-0.4193548387096774
YCL029C	0.0	-0.38167938931297707
YCL030C	0.0	-0.38505747126436785
YCL032W	0.0	-0.3583333333333333
YCL033C	0.0	-0.30081300813008127
YCL034W	0.0	-0.4206349206349206
YCL036W	0.0	-0.24603174603174605
YCL037C	0.0	-0.45614035087719296
YCL038C	-1.0	0.0
YCL039W	0.0	-0.4661016949152542
YCL040W	0.0	-0.415929203539823
YCL042W	0.0	-0.4580152671755725
YCL045C	0.0	-0.45925925925925926
YCL046W	0.0	-0.4222222222222223
YCL047C	0.0	-0.4473684210526315
YCL048W	0.0	-0.46616541353383456
YCL049C	0.0	-0.3706896551724138
YCL050C	0.0	-0.23232323232323238
YCL051W	0.0	-0.21875
YCL055W	0.0	-0.4722222222222222
YCL056C	0.0	-0.43434343434343436
YCL057C-A	-1.0	0.0
YCL057W	0.0	-0.509090909090909
YCL058C	0.0	-0.532258064516129
YCL061C	0.0	-0.5169172932330828
YCL063W	0.0	-0.4828817733990148
YCL064C	0.0	-0.5611510791366907
YCL069W	0.0	-0.518796992481203
YCR001W	0.0	-0.39837398373983735
YCR004C	0.0	-0.4636363636363636
YCR005C	0.0	-0.4731182795698925
YCR006C	0.0	-0.368421052631579
YCR007C	0.0	-0.39837398373983735
YCR008W	0.0	-0.5
YCR010C	0.0	-0.5442176870748299
YCR011C	0.0	-0.5652173913043479
YCR014C	0.0	-0.5681818181818181
YCR015C	0.0	-0.4736842105263158
YCR016W	0.0	-0.5263157894736843
YCR017C	-1.0	-0.4881889763779528
YCR019W	0.0	-0.41025641025641024
YCR020C	0.0	-0.4363636363636364
YCR020C-A	0.0	-0.38541666666666663
YCR021C	0.0	-0.4553571428571429
YCR022C	0.0	-0.46153846153846156
YCR023C	0.0	-0.5267175572519084
YCR025C	-1.0	0.0
YCR027C	0.0	-0.25
YCR028C	0.0	-0.30666666666666664
YCR031C	0.0	-0.38144329896907214
YCR034W	0.0	-0.22292993630573243
YCR048W	0.0	-0.3464566929133859
YCR051W	-1.0	0.0
YCR053W	0.0	-0.6363636363636364
YCR059C	-1.0	0.0
YCR060W	0.0	-0.2911392405063291
YCR065W	0.0	-0.3116883116883117
YCR066W	0.0	-0.2191780821917808
YCR068W	0.0	-0.21505376344086025
YCR079W	0.0	-0.30833333333333335
YCR081W	0.0	-0.8407079646017699
YCR086W	0.0	-0.234375
YCR087C-A	0.0	-0.2465753424657534
YCR091W	0.0	-0.2954545454545454
YCR092C	0.0	-0.21333333333333337
YCR099C	0.0	-0.35064935064935066
YCR100C	0.0	-0.2987012987012987
YCR101C	0.0	-0.19696969696969702
YCR106W	0.0	-0.5578947368421052
YDL001W	0.0	-0.5696202531645569
YDL020C	0.0	-0.3114754098360656
YDL022W	0.0	-0.313953488372093
YDL037C	0.0	-0.33333333333333337
YDL049C	0.0	-0.26530612244897955
YDL050C	0.0	-0.33333333333333337
YDL051W	0.0	-0.22580645161290325
YDL052C	0.0	-0.25
YDL056W	0.0	-0.34426229508196726
YDL065C	0.0	-0.3392857142857143
YDL077C	0.0	-0.23404255319148937
YDL099W	0.0	-0.6833333333333333
YDL104C	0.0	-0.29670329670329665
YDL113C	0.0	-0.3798449612403101
YDL114W	0.0	-0.5307692307692308
YDL127W	0.0	-0.2644628099173554
YDL128W	0.0	-0.5041322314049587
YDL129W	0.0	-0.29565217391304344
YDL130W	0.0	-0.3070175438596491
YDL135C	-1.0	0.0
YDL137W	-1.0	0.0
YDL142C	-1.0	-0.2564102564102564
YDL144C	-1.0	-0.5053763440860215
YDL149W	0.0	-0.303030303030303
YDL169C	0.0	-0.25
YDL172C	-1.0	0.0
YDL179W	0.0	-0.2093023255813954
YDL185W	0.0	-0.2450980392156863
YDL200C	0.0	-0.3581081081081081
YDL201W	0.0	-0.3858267716535433
YDL203C	0.0	-0.2857142857142857
YDL204W	0.0	-0.373015873015873
YDL208W	-1.0	0.0
YDL219W	0.0	-0.27184466019417475
YDL222C	0.0	-0.5048543689320388
YDL234C	0.0	-0.34375
YDL236W	0.0	-0.4512195121951219
YDL242W	-1.0	0.0
YDR001C	0.0	-0.21818181818181814
YDR003W	0.0	-0.25555555555555554
YDR004W	0.0	-0.2075471698113207
YDR005C	0.0	-0.23711340206185572
YDR010C	0.0	-0.4426229508196722
YDR024W	0.0	-0.4029850746268657
YDR025W	-1.0	0.0
YDR026C	0.0	-0.31543624161073824
YDR034W-B	-1.0	0.0
YDR036C	0.0	-0.2971014492753623
YDR050C	0.0	-0.46218487394957986
YDR051C	0.0	-0.4553571428571429
YDR055W	0.0	-0.4329896907216495
YDR056C	0.0	-0.42307692307692313
YDR057W	0.0	-0.45599999999999996
YDR059C	0.0	-0.488
YDR061W	0.0	-0.5317460317460317
YDR063W	0.0	-0.5238095238095238
YDR066C	0.0	-0.2946428571428571
YDR070C	0.0	-0.36363636363636365
YDR072C	0.0	-0.47058823529411764
YDR073W	0.0	-0.504424778761062
YDR075W	0.0	-0.41880341880341876
YDR076W	0.0	-0.43434343434343436
YDR077W	0.0	-0.3846153846153846
YDR078C	0.0	-0.4375
YDR080W	0.0	-0.828125
YDR084C	0.0	-0.21698113207547165
YDR085C	0.0	-0.43999999999999995
YDR089W	0.0	-0.5036496350364963
YDR090C	0.0	-0.583941605839416
YDR092W	0.0	-0.5407407407407407
YDR093W	0.0	-0.5227272727272727
YDR094W	0.0	-0.4628099173553719
YDR095C	0.0	-0.3669724770642202
YDR096W	0.0	-0.4032258064516129
YDR097C	0.0	-0.3448275862068966
YDR098C	0.0	-0.29323308270676696
YDR099W	0.0	-0.2660550458715596
YDR100W	0.0	-0.45185185185185184
YDR101C	0.0	-0.36936936936936937
YDR102C	0.0	-0.46896551724137936
YDR104C	0.0	-0.5060240963855422
YDR105C	0.0	-0.4130434782608695
YDR107C	0.0	-0.33884297520661155
YDR108W	0.0	-0.4357142857142857
YDR109C	0.0	-0.572289156626506
YDR110W	0.0	-0.41600000000000004
YDR111C	0.0	-0.2936507936507936
YDR112W	0.0	-0.41463414634146345
YDR117C	0.0	-0.417910447761194
YDR119W	0.0	-0.4652777777777778
YDR120C	0.0	-0.48091603053435117
YDR121W	0.0	-0.47887323943661975
YDR122W	0.0	-0.42307692307692313
YDR123C	0.0	-0.5631067961165048
YDR124W	0.0	-0.31666666666666665
YDR125C	0.0	-0.339622641509434
YDR126W	0.0	-0.3846153846153846
YDR128W	0.0	-0.5217391304347826
YDR129C	0.0	-0.4576271186440678
YDR130C	0.0	-0.5794392523364487
YDR131C	0.0	-0.5277777777777778
YDR132C	0.0	-0.5436241610738255
YDR133C	0.0	-0.5410958904109588
YDR135C	0.0	-0.48120300751879697
YDR136C	0.0	-0.509090909090909
YDR137W	0.0	-0.2680412371134021
YDR139C	0.0	-0.4854368932038835
YDR140W	0.0	-0.4591836734693877
YDR142C	0.0	-0.5135135135135135
YDR143C	0.0	-0.5123966942148761
YDR144C	0.0	-0.5923076923076923
YDR146C	0.0	-0.56875
YDR147W	0.0	-0.3770491803278688
YDR150W	0.0	-0.21250000000000002
YDR151C	0.0	-0.2674418604651163
YDR152W	0.0	-0.25
YDR153C	0.0	-0.25316455696202533
YDR154C	0.0	-0.3918918918918919
YDR155C	0.0	-0.23750000000000004
YDR156W	0.0	-0.4512195121951219
YDR157W	0.0	-0.3414634146341463
YDR158W	0.0	-0.26865671641791045
YDR162C	0.0	-0.20454545454545459
YDR163W	0.0	-0.29729729729729726
YDR165W	0.0	-0.22666666666666668
YDR168W	-1.0	0.0
YDR169C	0.0	-0.30681818181818177
YDR169C-A	-1.0	0.0
YDR171W	0.0	-0.24705882352941178
YDR173C	0.0	-0.2987012987012987
YDR178W	0.0	-0.452054794520548
YDR179C	0.0	-0.2941176470588235
YDR185C	0.0	-0.22988505747126442
YDR186C	0.0	-0.24096385542168675
YDR194C	-1.0	0.0
YDR194W-A	0.0	-0.2692307692307693
YDR195W	-1.0	-0.35
YDR206W	0.0	-0.34883720930232553
YDR207C	-1.0	0.0
YDR209C	0.0	-0.23529411764705888
YDR213W	0.0	-0.19565217391304346
YDR214W	0.0	-0.3125
YDR226W	-1.0	0.0
YDR240C	-1.0	0.0
YDR241W	-1.0	0.0
YDR242W	0.0	-0.19512195121951215
YDR246W-A	0.0	-0.27368421052631575
YDR277C	0.0	-0.2692307692307693
YDR278C	0.0	-0.36363636363636365
YDR282C	0.0	-0.2435897435897436
YDR284C	0.0	-0.23809523809523814
YDR286C	0.0	-0.5308641975308642
YDR289C	-1.0	0.0
YDR290W	-1.0	0.0
YDR291W	0.0	-0.3780487804878049
YDR295C	0.0	-0.29591836734693877
YDR297W	0.0	-0.29729729729729726
YDR305C	0.0	-0.23188405797101452
YDR306C	-1.0	-0.31313131313131315
YDR310C	0.0	-0.273972602739726
YDR314C	-1.0	0.0
YDR316W	0.0	-0.3076923076923077
YDR317W	0.0	-0.28
YDR318W	0.0	-0.21126760563380287
YDR320C	0.0	-0.5533980582524272
YDR323C	0.0	-0.4032258064516129
YDR333C	-1.0	0.0
YDR334W	-1.0	0.0
YDR336W	0.0	-0.3205128205128205
YDR338C	0.0	-0.610738255033557
YDR339C	-1.0	0.0
YDR340W	0.0	-0.6083916083916083
YDR344C	0.0	-0.5354330708661417
YDR345C	0.0	-0.4636363636363636
YDR346C	0.0	-0.4811320754716981
YDR348C	0.0	-0.4224137931034483
YDR349C	0.0	-0.5
YDR351W	0.0	-0.4545454545454546
YDR352W	0.0	-0.5
YDR354W	0.0	-0.5039370078740157
YDR357C	0.0	-0.5433070866141732
YDR358W	0.0	-0.5655737704918034
YDR359C	0.0	-0.5040650406504066
YDR360W	0.0	-0.5343511450381679
YDR363W	0.0	-0.3548387096774194
YDR363W-A	0.0	-0.26027397260273977
YDR371W	0.0	-0.2359550561797753
YDR372C	0.0	-0.4392523364485982
YDR374C	0.0	-0.41129032258064513
YDR379W	0.0	-0.4201680672268907
YDR383C	0.0	-0.4928571428571429
YDR384C	0.0	-0.46376811594202894
YDR385W	0.0	-0.4107142857142857
YDR386W	0.0	-0.3564356435643564
YDR387C	0.0	-0.3916666666666667
YDR388W	0.0	-0.46715328467153283
YDR389W	0.0	-0.39252336448598135
YDR391C	0.0	-0.26415094339622647
YDR393W	0.0	-0.23188405797101452
YDR395W	0.0	-0.5289855072463768
YDR399W	0.0	-0.4626865671641791
YDR400W	0.0	-0.45112781954887216
YDR401W	0.0	-0.5074626865671642
YDR402C	0.0	-0.48305084745762716
YDR403W	0.0	-0.4769230769230769
YDR404C	-1.0	0.0
YDR406W	0.0	-0.392
YDR408C	0.0	-0.2909090909090909
YDR409W	0.0	-0.25225225225225223
YDR411C	0.0	-0.46153846153846156
YDR415C	0.0	-0.4375
YDR418W	0.0	-0.288135593220339
YDR419W	0.0	-0.44666666666666666
YDR420W	0.0	-0.42307692307692313
YDR421W	0.0	-0.41666666666666663
YDR422C	0.0	-0.3924050632911392
YDR423C	0.0	-0.46715328467153283
YDR425W	0.0	-0.4565217391304348
YDR426C	-1.0	-0.3448275862068966
YDR428C	0.0	-0.23966942148760328
YDR430C	0.0	-0.4716981132075472
YDR431W	0.0	-0.4426229508196722
YDR433W	0.0	-0.45599999999999996
YDR435C	0.0	-0.4358974358974359
YDR436W	0.0	-0.46853146853146854
YDR441C	0.0	-0.4108527131782945
YDR448W	0.0	-0.5238095238095238
YDR453C	0.0	-0.509090909090909
YDR455C	0.0	-0.2797202797202797
YDR458C	0.0	-0.20155038759689925
YDR461W	0.0	-0.2410714285714286
YDR471W	0.0	-0.4339622641509434
YDR475C	0.0	-0.28057491289198605
YDR476C	0.0	-0.3858267716535433
YDR490C	0.0	-0.2589285714285714
YDR491C	0.0	-0.5675675675675675
YDR492W	0.0	-0.4666666666666667
YDR493W	0.0	-0.29807692307692313
YDR502C	0.0	-0.4736842105263158
YDR505C	0.0	-0.20618556701030932
YDR506C	0.0	-0.27978056426332293
YDR517W	0.0	-0.19512195121951215
YDR518W	0.0	-0.33999999999999997
YDR519W	0.0	-0.33999999999999997
YDR524C-B	0.0	-0.26096491228070173
YDR525W	0.0	-0.34513274336283184
YDR525W-A	0.0	-0.28787878787878785
YDR536W	0.0	-0.25609756097560976
YDR537C	0.0	-0.32978723404255317
YDR540C	0.0	-0.21333333333333337
YDR541C	0.0	-0.4565217391304348
YEL001C	0.0	-0.4625850340136054
YEL003W	0.0	-0.43000000000000005
YEL005C	0.0	-0.41414141414141414
YEL006W	0.0	-0.32608695652173914
YEL007W	0.0	-0.33576642335766427
YEL008W	0.0	-0.5277777777777778
YEL009C	0.0	-0.43181818181818177
YEL010W	0.0	-0.3423423423423423
YEL011W	0.0	-0.27586206896551724
YEL013W	0.0	-0.44036697247706424
YEL014C	0.0	-0.5039370078740157
YEL015W	0.0	-0.5098039215686274
YEL016C	0.0	-0.5112781954887218
YEL017C-A	0.0	-0.5660377358490566
YEL017W	0.0	-0.5
YEL020C	0.0	-0.375
YEL024W	0.0	-0.5232558139534884
YEL025C	0.0	-0.5535714285714286
YEL027W	-1.0	-0.39534883720930236
YEL028W	0.0	-0.36752136752136755
YEL030W	0.0	-0.5333333333333333
YEL031W	-1.0	-0.47101449275362317
YEL033W	0.0	-0.5384615384615384
YEL037C	0.0	-0.639240506329114
YEL038W	0.0	-0.5447761194029851
YEL039C	0.0	-0.4042553191489362
YEL040W	0.0	-0.3168316831683168
YEL041W	0.0	-0.4782608695652174
YEL042W	0.0	-0.47787610619469023
YEL043W	0.0	-0.3191489361702128
YEL047C	0.0	-0.5234375
YEL048C	0.0	-0.5039370078740157
YEL049W	0.0	-0.5609756097560976
YEL052W	0.0	-0.4206349206349206
YEL054C	0.0	-0.22916666666666663
YEL056W	0.0	-0.21333333333333337
YEL057C	0.0	-0.44999999999999996
YEL059W	0.0	-0.22619047619047616
YEL060C	0.0	-0.2647058823529411
YEL061C	0.0	-0.39449541284403666
YEL063C	0.0	-0.6164383561643836
YEL064C	0.0	-0.5447761194029851
YEL065W	0.0	-0.4629629629629629
YEL066W	0.0	-0.4067796610169492
YEL067C	0.0	-0.3385826771653543
YEL071W	0.0	-0.37962962962962965
YER001W	0.0	-0.43089430894308944
YER002W	0.0	-0.31481481481481477
YER004W	0.0	-0.28971962616822433
YER005W	0.0	-0.33644859813084116
YER007C-A	0.0	-0.39560439560439564
YER007W	0.0	-0.21904761904761905
YER010C	0.0	-0.4020618556701031
YER011W	0.0	-0.4629629629629629
YER019C-A	0.0	-0.48091603053435117
YER019W	0.0	-0.4836601307189542
YER020W	0.0	-0.423728813559322
YER024W	0.0	-0.4285714285714286
YER028C	-1.0	0.0
YER030W	0.0	-0.37168141592920356
YER032W	0.0	-0.36036036036036034
YER033C	0.0	-0.35652173913043483
YER034W	0.0	-0.23478260869565215
YER035W	0.0	-0.3870967741935484
YER039C	0.0	-0.4657534246575342
YER039C-A	0.0	-0.34523809523809523
YER040W	0.0	-0.56
YER041W	0.0	-0.4676258992805755
YER042W	0.0	-0.5369127516778524
YER044C-A	0.0	-0.38167938931297707
YER045C	0.0	-0.3828125
YER046W-A	0.0	-0.47482014388489213
YER047C	0.0	-0.4328358208955224
YER048C	0.0	-0.44202898550724634
YER049W	0.0	-0.3414634146341463
YER051W	0.0	-0.2920353982300885
YER052C	0.0	-0.3563218390804598
YER053C	0.0	-0.4728682170542635
YER054C	0.0	-0.46376811594202894
YER055C	0.0	-0.291970802919708
YER056C	0.0	-0.5740740740740741
YER056C-A	0.0	-0.484375
YER057C	0.0	-0.5196078431372548
YER059W	0.0	-0.4125874125874126
YER060W	0.0	-0.42105263157894735
YER060W-A	0.0	-0.3840579710144928
YER062C	0.0	-0.46153846153846156
YER063W	-1.0	-0.3298969072164949
YER064C	-1.0	0.0
YER065C	0.0	-0.43434343434343436
YER066C-A	0.0	-0.3495145631067961
YER066W	0.0	-0.20192307692307687
YER067C-A	0.0	-0.4369747899159664
YER067W	0.0	-0.4444444444444444
YER068W	0.0	-0.5
YER069W	0.0	-0.4429530201342282
YER071C	0.0	-0.49606299212598426
YER072W	0.0	-0.35964912280701755
YER073W	0.0	-0.24242424242424243
YER074W	0.0	-0.415929203539823
YER075C	0.0	-0.5176470588235293
YER079W	0.0	-0.33333333333333337
YER080W	0.0	-0.43220338983050843
YER081W	0.0	-0.5352112676056338
YER083C	0.0	-0.5053763440860215
YER084W	0.0	-0.4193548387096774
YER085C	0.0	-0.5151515151515151
YER087C-B	0.0	-0.5118110236220472
YER090W	0.0	-0.3146853146853147
YER093C-A	0.0	-0.4077669902912622
YER095W	0.0	-0.23008849557522126
YER123W	0.0	-0.26595744680851063
YER129W	0.0	-0.24731182795698925
YER130C	0.0	-0.26050420168067223
YER131W	0.0	-0.26168224299065423
YER132C	0.0	-0.26086956521739135
YER134C	0.0	-0.21621621621621623
YER135C	0.0	-0.2272727272727273
YER137C	0.0	-0.19999999999999996
YER139C	0.0	-0.3535353535353535
YER144C	0.0	-0.31707317073170727
YER145C	0.0	-0.29824561403508776
YER149C	0.0	-0.35036496350364965
YER150W	0.0	-0.4392523364485982
YER151C	0.0	-0.5161290322580645
YER152C	0.0	-0.3008849557522124
YER164W	0.0	-0.19780219780219777
YFL007W	0.0	-0.3853211009174312
YFL010C	0.0	-0.31932773109243695
YFL010W-A	0.0	-0.2966101694915254
YFL011W	0.0	-0.25
YFL012W	0.0	-0.390625
YFL013C	0.0	-0.2038834951456311
YFL020C	0.0	-0.2921348314606742
YFL021W	0.0	-0.20588235294117652
YFL023W	0.0	-0.36923076923076925
YFL030W	0.0	-0.25
YFL032W	0.0	-0.2698412698412699
YFL034W	-1.0	0.0
YFL037W	-1.0	0.0
YFL040W	0.0	-0.23376623376623373
YFL041W	0.0	-0.37234042553191493
YFL041W-A	0.0	-0.19999999999999996
YFL042C	0.0	-0.240506329113924
YFL044C	-1.0	0.0
YFL046W	-1.0	0.0
YFL049W	0.0	-0.30952380952380953
YFL050C	0.0	-0.25806451612903225
YFL055W	0.0	-0.30487804878048785
YFR001W	0.0	-0.273972602739726
YFR009W	0.0	-0.23809523809523814
YFR011C	0.0	-0.44791666666666663
YFR012W-A	0.0	-0.26490438695163104
YFR013W	0.0	-0.27142857142857146
YFR021W	-1.0	0.0
YFR022W	0.0	-0.2142857142857143
YFR024C-A	0.0	-0.2534722222222222
YFR032C	0.0	-0.29268292682926833
YFR032C-B	0.0	-0.3051378446115288
YFR033C	0.0	-0.417910447761194
YFR039C	0.0	-0.5185185185185186
YFR040W	0.0	-0.2435897435897436
YFR041C	0.0	-0.25
YFR043C	0.0	-0.22368421052631582
YFR046C	0.0	-0.3023255813953488
YFR047C	0.0	-0.275
YFR048W	0.0	-0.2987012987012987
YFR055W	0.0	-0.25773195876288657
YFR056C	0.0	-0.3655913978494624
YGL005C	0.0	-0.2068965517241379
YGL023C	0.0	-0.2272727272727273
YGL024W	0.0	-0.22857142857142854
YGL035C	0.0	-0.32608695652173914
YGL042C	0.0	-0.3620689655172413
YGL045W	0.0	-0.44680851063829785
YGL049C	0.0	-0.34883720930232553
YGL050W	0.0	-0.3695652173913043
YGL051W	0.0	-0.36585365853658536
YGL053W	0.0	-0.29166666666666663
YGL054C	0.0	-0.2465753424657534
YGL056C	0.0	-0.4
YGL057C	0.0	-0.4810126582278481
YGL059W	0.0	-0.26249999999999996
YGL060W	0.0	-0.4807692307692307
YGL066W	0.0	-0.3902439024390244
YGL071W	0.0	-0.7105263157894737
YGL077C	0.0	-0.2857142857142857
