ORF	hap a | transport to mitochondria (Om14-GFP) | standard | SD + Met | Sauerwald J~Rapaport D, 2015	hap a | protein insertion into the MOM (Ura3-HA-Om14-SL17) | standard | SD + Met | Sauerwald J~Rapaport D, 2015
YCL005W	0.000	-0.438
YCL006C	0.000	-0.272
YCL008C	0.000	-0.407
YCL009C	0.000	-0.488
YCL010C	0.000	-0.353
YCL011C	0.000	-0.364
YCL013W	0.000	-0.482
YCL014W	0.000	-0.425
YCL023C	0.000	-0.449
YCL024W	0.000	-0.400
YCL025C	0.000	-0.388
YCL026C	0.000	-0.438
YCL027W	0.000	-0.452
YCL028W	0.000	-0.419
YCL029C	0.000	-0.382
YCL030C	0.000	-0.385
YCL032W	0.000	-0.358
YCL033C	0.000	-0.301
YCL034W	0.000	-0.421
YCL036W	0.000	-0.246
YCL037C	0.000	-0.456
YCL038C	-1.000	0.000
YCL039W	0.000	-0.466
YCL040W	0.000	-0.416
YCL042W	0.000	-0.458
YCL045C	0.000	-0.459
YCL046W	0.000	-0.422
YCL047C	0.000	-0.447
YCL048W	0.000	-0.466
YCL049C	0.000	-0.371
YCL050C	0.000	-0.232
YCL051W	0.000	-0.219
YCL055W	0.000	-0.472
YCL056C	0.000	-0.434
YCL057C-A	-1.000	0.000
YCL057W	0.000	-0.509
YCL058C	0.000	-0.532
YCL061C	0.000	-0.517
YCL063W	0.000	-0.483
YCL064C	0.000	-0.561
YCL069W	0.000	-0.519
YCL074W	0.000	-0.363
YCR001W	0.000	-0.398
YCR004C	0.000	-0.464
YCR005C	0.000	-0.473
YCR006C	0.000	-0.368
YCR007C	0.000	-0.398
YCR008W	0.000	-0.500
YCR010C	0.000	-0.544
YCR011C	0.000	-0.565
YCR014C	0.000	-0.568
YCR015C	0.000	-0.474
YCR016W	0.000	-0.526
YCR017C	-1.000	-0.488
YCR019W	0.000	-0.410
YCR020C	0.000	-0.436
YCR020C-A	0.000	-0.385
YCR021C	0.000	-0.455
YCR022C	0.000	-0.462
YCR023C	0.000	-0.527
YCR025C	-1.000	0.000
YCR027C	0.000	-0.250
YCR028C	0.000	-0.307
YCR031C	0.000	-0.381
YCR034W	0.000	-0.223
YCR048W	0.000	-0.346
YCR051W	-1.000	0.000
YCR053W	0.000	-0.636
YCR059C	-1.000	0.000
YCR060W	0.000	-0.291
YCR065W	0.000	-0.312
YCR066W	0.000	-0.219
YCR068W	0.000	-0.215
YCR079W	0.000	-0.308
YCR081W	0.000	-0.841
YCR086W	0.000	-0.234
YCR087C-A	0.000	-0.247
YCR091W	0.000	-0.295
YCR092C	0.000	-0.213
YCR099C	0.000	-0.351
YCR100C	0.000	-0.299
YCR101C	0.000	-0.197
YCR106W	0.000	-0.558
YDL001W	0.000	-0.570
YDL020C	0.000	-0.311
YDL022W	0.000	-0.314
YDL037C	0.000	-0.333
YDL049C	0.000	-0.265
YDL050C	0.000	-0.333
YDL051W	0.000	-0.226
YDL052C	0.000	-0.250
YDL056W	0.000	-0.344
YDL065C	0.000	-0.339
YDL077C	0.000	-0.234
YDL099W	0.000	-0.683
YDL104C	0.000	-0.297
YDL113C	0.000	-0.380
YDL114W	0.000	-0.531
YDL127W	0.000	-0.264
YDL128W	0.000	-0.504
YDL129W	0.000	-0.296
YDL130W	0.000	-0.307
YDL135C	-1.000	0.000
YDL137W	-1.000	0.000
YDL142C	-1.000	-0.256
YDL144C	-1.000	-0.505
YDL149W	0.000	-0.303
YDL169C	0.000	-0.250
YDL172C	-1.000	0.000
YDL179W	0.000	-0.209
YDL185W	0.000	-0.245
YDL200C	0.000	-0.358
YDL201W	0.000	-0.386
YDL203C	0.000	-0.286
YDL204W	0.000	-0.373
YDL208W	-1.000	0.000
YDL219W	0.000	-0.272
YDL222C	0.000	-0.505
YDL234C	0.000	-0.344
YDL236W	0.000	-0.451
YDL242W	-1.000	0.000
YDR001C	0.000	-0.218
YDR003W	0.000	-0.256
YDR004W	0.000	-0.208
YDR005C	0.000	-0.237
YDR010C	0.000	-0.443
YDR024W	0.000	-0.403
YDR025W	-1.000	0.000
YDR026C	0.000	-0.315
YDR034W-B	-1.000	0.000
YDR036C	0.000	-0.297
YDR050C	0.000	-0.462
YDR051C	0.000	-0.455
YDR055W	0.000	-0.433
YDR056C	0.000	-0.423
YDR057W	0.000	-0.456
YDR059C	0.000	-0.488
YDR061W	0.000	-0.532
YDR063W	0.000	-0.524
YDR066C	0.000	-0.295
YDR070C	0.000	-0.364
YDR072C	0.000	-0.471
YDR073W	0.000	-0.504
YDR075W	0.000	-0.419
YDR076W	0.000	-0.434
YDR077W	0.000	-0.385
YDR078C	0.000	-0.438
YDR080W	0.000	-0.828
YDR084C	0.000	-0.217
YDR085C	0.000	-0.440
YDR089W	0.000	-0.504
YDR090C	0.000	-0.584
YDR092W	0.000	-0.541
YDR093W	0.000	-0.523
YDR094W	0.000	-0.463
YDR095C	0.000	-0.367
YDR096W	0.000	-0.403
YDR097C	0.000	-0.345
YDR098C	0.000	-0.293
YDR099W	0.000	-0.266
YDR100W	0.000	-0.452
YDR101C	0.000	-0.369
YDR102C	0.000	-0.469
YDR104C	0.000	-0.506
YDR105C	0.000	-0.413
YDR107C	0.000	-0.339
YDR108W	0.000	-0.436
YDR109C	0.000	-0.572
YDR110W	0.000	-0.416
YDR111C	0.000	-0.294
YDR112W	0.000	-0.415
YDR117C	0.000	-0.418
YDR119W	0.000	-0.465
YDR120C	0.000	-0.481
YDR121W	0.000	-0.479
YDR122W	0.000	-0.423
YDR123C	0.000	-0.563
YDR124W	0.000	-0.317
YDR125C	0.000	-0.340
YDR126W	0.000	-0.385
YDR128W	0.000	-0.522
YDR129C	0.000	-0.458
YDR130C	0.000	-0.579
YDR131C	0.000	-0.528
YDR132C	0.000	-0.544
YDR133C	0.000	-0.541
YDR134C	0.000	-0.459
YDR135C	0.000	-0.481
YDR136C	0.000	-0.509
YDR137W	0.000	-0.268
YDR139C	0.000	-0.485
YDR140W	0.000	-0.459
YDR142C	0.000	-0.514
YDR143C	0.000	-0.512
YDR144C	0.000	-0.592
YDR146C	0.000	-0.569
YDR147W	0.000	-0.377
YDR150W	0.000	-0.213
YDR151C	0.000	-0.267
YDR152W	0.000	-0.250
YDR153C	0.000	-0.253
YDR154C	0.000	-0.392
YDR155C	0.000	-0.238
YDR156W	0.000	-0.451
YDR157W	0.000	-0.341
YDR158W	0.000	-0.269
YDR162C	0.000	-0.205
YDR163W	0.000	-0.297
YDR165W	0.000	-0.227
YDR168W	-1.000	0.000
YDR169C	0.000	-0.307
YDR169C-A	-1.000	0.000
YDR171W	0.000	-0.247
YDR173C	0.000	-0.299
YDR178W	0.000	-0.452
YDR179C	0.000	-0.294
YDR185C	0.000	-0.230
YDR186C	0.000	-0.241
YDR194C	-1.000	0.000
YDR194W-A	0.000	-0.269
YDR195W	-1.000	-0.350
YDR206W	0.000	-0.349
YDR207C	-1.000	0.000
YDR209C	0.000	-0.235
YDR213W	0.000	-0.196
YDR214W	0.000	-0.312
YDR226W	-1.000	0.000
YDR240C	-1.000	0.000
YDR241W	-1.000	0.000
YDR242W	0.000	-0.195
YDR246W-A	0.000	-0.274
YDR277C	0.000	-0.269
YDR278C	0.000	-0.364
YDR282C	0.000	-0.244
YDR284C	0.000	-0.238
YDR286C	0.000	-0.531
YDR289C	-1.000	0.000
YDR290W	-1.000	0.000
YDR291W	0.000	-0.378
YDR295C	0.000	-0.296
YDR297W	0.000	-0.297
YDR305C	0.000	-0.232
YDR306C	-1.000	-0.313
YDR310C	0.000	-0.274
YDR314C	-1.000	0.000
YDR316W	0.000	-0.308
YDR317W	0.000	-0.280
YDR318W	0.000	-0.211
YDR320C	0.000	-0.553
YDR323C	0.000	-0.403
YDR333C	-1.000	0.000
YDR334W	-1.000	0.000
YDR336W	0.000	-0.321
YDR338C	0.000	-0.611
YDR339C	-1.000	0.000
YDR340W	0.000	-0.608
YDR344C	0.000	-0.535
YDR345C	0.000	-0.464
YDR346C	0.000	-0.481
YDR348C	0.000	-0.422
YDR349C	0.000	-0.500
YDR351W	0.000	-0.455
YDR352W	0.000	-0.500
YDR354W	0.000	-0.504
YDR357C	0.000	-0.543
YDR358W	0.000	-0.566
YDR359C	0.000	-0.504
YDR360W	0.000	-0.534
YDR363W	0.000	-0.355
YDR363W-A	0.000	-0.260
YDR371W	0.000	-0.236
YDR372C	0.000	-0.439
YDR374C	0.000	-0.411
YDR379W	0.000	-0.420
YDR383C	0.000	-0.493
YDR384C	0.000	-0.464
YDR385W	0.000	-0.411
YDR386W	0.000	-0.356
YDR387C	0.000	-0.392
YDR388W	0.000	-0.467
YDR389W	0.000	-0.393
YDR391C	0.000	-0.264
YDR393W	0.000	-0.232
YDR395W	0.000	-0.529
YDR399W	0.000	-0.463
YDR400W	0.000	-0.451
YDR401W	0.000	-0.507
YDR402C	0.000	-0.483
YDR403W	0.000	-0.477
YDR404C	-1.000	0.000
YDR406W	0.000	-0.392
YDR408C	0.000	-0.291
YDR409W	0.000	-0.252
YDR411C	0.000	-0.462
YDR415C	0.000	-0.438
YDR418W	0.000	-0.288
YDR419W	0.000	-0.447
YDR420W	0.000	-0.423
YDR421W	0.000	-0.417
YDR422C	0.000	-0.392
YDR423C	0.000	-0.467
YDR425W	0.000	-0.457
YDR426C	-1.000	-0.345
YDR428C	0.000	-0.240
YDR430C	0.000	-0.472
YDR431W	0.000	-0.443
YDR433W	0.000	-0.456
YDR435C	0.000	-0.436
YDR436W	0.000	-0.469
YDR441C	0.000	-0.411
YDR448W	0.000	-0.524
YDR453C	0.000	-0.509
YDR455C	0.000	-0.280
YDR458C	0.000	-0.202
YDR461W	0.000	-0.241
YDR471W	0.000	-0.434
YDR475C	0.000	-0.281
YDR476C	0.000	-0.386
YDR490C	0.000	-0.259
YDR491C	0.000	-0.568
YDR492W	0.000	-0.467
YDR493W	0.000	-0.298
YDR502C	0.000	-0.474
YDR505C	0.000	-0.206
YDR506C	0.000	-0.280
YDR517W	0.000	-0.195
YDR518W	0.000	-0.340
YDR519W	0.000	-0.340
YDR524C-B	0.000	-0.261
YDR525W	0.000	-0.345
YDR525W-A	0.000	-0.288
YDR536W	0.000	-0.256
YDR537C	0.000	-0.330
YDR540C	0.000	-0.213
YDR541C	0.000	-0.457
YEL001C	0.000	-0.463
YEL003W	0.000	-0.430
YEL005C	0.000	-0.414
YEL006W	0.000	-0.326
YEL007W	0.000	-0.336
YEL008W	0.000	-0.528
YEL009C	0.000	-0.432
YEL010W	0.000	-0.342
YEL011W	0.000	-0.276
YEL013W	0.000	-0.440
YEL014C	0.000	-0.504
YEL015W	0.000	-0.510
YEL016C	0.000	-0.511
YEL017C-A	0.000	-0.566
YEL017W	0.000	-0.500
YEL020C	0.000	-0.375
YEL024W	0.000	-0.523
YEL025C	0.000	-0.554
YEL027W	-1.000	-0.395
YEL028W	0.000	-0.368
YEL030W	0.000	-0.533
YEL031W	-1.000	-0.471
YEL033W	0.000	-0.538
YEL037C	0.000	-0.639
YEL038W	0.000	-0.545
YEL039C	0.000	-0.404
YEL040W	0.000	-0.317
YEL041W	0.000	-0.478
YEL042W	0.000	-0.478
YEL043W	0.000	-0.319
YEL047C	0.000	-0.523
YEL048C	0.000	-0.504
YEL049W	0.000	-0.561
YEL052W	0.000	-0.421
YEL054C	0.000	-0.229
YEL056W	0.000	-0.213
YEL057C	0.000	-0.450
YEL059W	0.000	-0.226
YEL060C	0.000	-0.265
YEL061C	0.000	-0.394
YEL063C	0.000	-0.616
YEL064C	0.000	-0.545
YEL065W	0.000	-0.463
YEL066W	0.000	-0.407
YEL067C	0.000	-0.339
YEL071W	0.000	-0.380
YER001W	0.000	-0.431
YER002W	0.000	-0.315
YER004W	0.000	-0.290
YER005W	0.000	-0.336
YER007C-A	0.000	-0.396
YER007W	0.000	-0.219
YER010C	0.000	-0.402
YER011W	0.000	-0.463
YER019C-A	0.000	-0.481
YER019W	0.000	-0.484
YER020W	0.000	-0.424
YER024W	0.000	-0.429
YER028C	-1.000	0.000
YER030W	0.000	-0.372
YER032W	0.000	-0.360
YER033C	0.000	-0.357
YER034W	0.000	-0.235
YER035W	0.000	-0.387
YER039C	0.000	-0.466
YER039C-A	0.000	-0.345
YER040W	0.000	-0.560
YER041W	0.000	-0.468
YER042W	0.000	-0.537
YER044C-A	0.000	-0.382
YER045C	0.000	-0.383
YER046W-A	0.000	-0.475
YER047C	0.000	-0.433
YER048C	0.000	-0.442
YER049W	0.000	-0.341
YER051W	0.000	-0.292
YER052C	0.000	-0.356
YER053C	0.000	-0.473
YER054C	0.000	-0.464
YER055C	0.000	-0.292
YER056C	0.000	-0.574
YER056C-A	0.000	-0.484
YER057C	0.000	-0.520
YER059W	0.000	-0.413
YER060W	0.000	-0.421
YER060W-A	0.000	-0.384
YER062C	0.000	-0.462
YER063W	-1.000	-0.330
YER064C	-1.000	0.000
YER065C	0.000	-0.434
YER066C-A	0.000	-0.350
YER066W	0.000	-0.202
YER067C-A	0.000	-0.437
YER067W	0.000	-0.444
YER068W	0.000	-0.500
YER069W	0.000	-0.443
YER071C	0.000	-0.496
YER072W	0.000	-0.360
YER073W	0.000	-0.242
YER074W	0.000	-0.416
YER075C	0.000	-0.518
YER079W	0.000	-0.333
YER080W	0.000	-0.432
YER081W	0.000	-0.535
YER083C	0.000	-0.505
YER084W	0.000	-0.419
YER085C	0.000	-0.515
YER087C-B	0.000	-0.512
YER090W	0.000	-0.315
YER093C-A	0.000	-0.408
YER095W	0.000	-0.230
YER108C	0.000	-0.255
YER109C	0.000	-0.216
YER123W	0.000	-0.266
YER129W	0.000	-0.247
YER130C	0.000	-0.261
YER131W	0.000	-0.262
YER132C	0.000	-0.261
YER134C	0.000	-0.216
YER135C	0.000	-0.227
YER137C	0.000	-0.200
YER139C	0.000	-0.354
YER144C	0.000	-0.317
YER145C	0.000	-0.298
YER149C	0.000	-0.350
YER150W	0.000	-0.439
YER151C	0.000	-0.516
YER152C	0.000	-0.301
YER164W	0.000	-0.198
YFL007W	0.000	-0.385
YFL010C	0.000	-0.319
YFL010W-A	0.000	-0.297
YFL011W	0.000	-0.250
YFL012W	0.000	-0.391
YFL013C	0.000	-0.204
YFL020C	0.000	-0.292
YFL021W	0.000	-0.206
YFL023W	0.000	-0.369
YFL030W	0.000	-0.250
YFL032W	0.000	-0.270
YFL034W	-1.000	0.000
YFL037W	-1.000	0.000
YFL040W	0.000	-0.234
YFL041W	0.000	-0.372
YFL041W-A	0.000	-0.200
YFL042C	0.000	-0.241
YFL044C	-1.000	0.000
YFL046W	-1.000	0.000
YFL049W	0.000	-0.310
YFL050C	0.000	-0.258
YFL055W	0.000	-0.305
YFL056C	0.000	-0.333
YFR001W	0.000	-0.274
YFR009W	0.000	-0.238
YFR011C	0.000	-0.448
YFR012W-A	0.000	-0.265
YFR013W	0.000	-0.271
YFR021W	-1.000	0.000
YFR022W	0.000	-0.214
YFR024C-A	0.000	-0.253
YFR032C	0.000	-0.293
YFR032C-B	0.000	-0.305
YFR033C	0.000	-0.418
YFR039C	0.000	-0.519
YFR040W	0.000	-0.244
YFR041C	0.000	-0.250
YFR043C	0.000	-0.224
YFR046C	0.000	-0.302
YFR047C	0.000	-0.275
YFR048W	0.000	-0.299
YFR055W	0.000	-0.258
YFR056C	0.000	-0.366
YGL005C	0.000	-0.207
YGL023C	0.000	-0.227
YGL024W	0.000	-0.229
YGL035C	0.000	-0.326
YGL042C	0.000	-0.362
YGL045W	0.000	-0.447
YGL049C	0.000	-0.349
YGL050W	0.000	-0.370
YGL051W	0.000	-0.366
YGL053W	0.000	-0.292
YGL054C	0.000	-0.247
YGL056C	0.000	-0.400
YGL057C	0.000	-0.481
YGL059W	0.000	-0.262
YGL060W	0.000	-0.481
YGL066W	0.000	-0.390
YGL071W	0.000	-0.711
YGL077C	0.000	-0.286
YGL079W	0.000	-0.316
YGL082W	0.000	-0.236
YGL083W	0.000	-0.299
YGL087C	0.000	-0.195
YGL089C	0.000	-0.216
YGL090W	0.000	-0.304
YGL096W	0.000	-0.229
YGL101W	0.000	-0.207
YGL124C	0.000	-0.350
YGL213C	0.000	-0.722
YGL216W	0.000	-0.232
YGL217C	0.000	-0.200
YGL218W	0.000	-0.607
YGL220W	0.000	-0.483
YGL221C	0.000	-0.436
YGL222C	0.000	-0.405
YGL224C	0.000	-0.350
YGL226C-A	0.000	-0.247
YGL227W	0.000	-0.420
YGL230C	0.000	-0.227
YGL231C	0.000	-0.221
YGL234W	0.000	-0.244
YGL235W	0.000	-0.566
YGL236C	0.000	-0.511
YGL237C	0.000	-0.548
YGL243W	0.000	-0.360
YGL248W	0.000	-0.238
YGL249W	0.000	-0.265
YGL251C	0.000	-0.210
YGL252C	0.000	-0.652
YGL253W	0.000	-0.218
YGL254W	0.000	-0.277
YGL255W	0.000	-0.275
YGL257C	0.000	-0.507
YGL260W	0.000	-0.303
YGL262W	0.000	-0.241
YGR008C	0.000	-0.287
YGR011W	-1.000	0.000
YGR014W	0.000	-0.436
YGR015C	0.000	-0.284
YGR016W	0.000	-0.284
YGR019W	0.000	-0.200
YGR025W	0.000	-0.257
YGR032W	0.000	-0.287
YGR042W	0.000	-0.218
YGR043C	0.000	-0.203
YGR044C	0.000	-0.429
YGR045C	0.000	-0.426
YGR049W	0.000	-0.316
YGR051C	0.000	-0.231
YGR052W	0.000	-0.265
YGR054W	0.000	-0.200
YGR058W	0.000	-0.220
YGR059W	0.000	-0.224
YGR061C	0.000	-0.299
YGR062C	0.000	-0.838
YGR063C	0.000	-0.293
YGR064W	0.000	-0.420
YGR066C	0.000	-0.389
YGR068C	0.000	-0.412
YGR072W	-1.000	0.000
YGR074W	-1.000	0.000
YGR075C	-1.000	0.000
YGR077C	0.000	-0.303
YGR078C	-1.000	0.000
YGR079W	0.000	-0.216
YGR081C	-1.000	-0.268
YGR084C	0.000	-0.267
YGR085C	0.000	-0.403
YGR086C	0.000	-0.467
YGR087C	0.000	-0.305
YGR089W	0.000	-0.209
YGR093W	0.000	-0.333
YGR105W	0.000	-0.333
YGR111W	0.000	-0.267
YGR123C	0.000	-0.400
YGR124W	0.000	-0.511
YGR125W	0.000	-0.383
YGR126W	0.000	-0.500
YGR127W	0.000	-0.433
YGR129W	0.000	-0.468
YGR130C	0.000	-0.455
YGR131W	0.000	-0.588
YGR132C	0.000	-0.584
YGR133W	0.000	-0.550
YGR135W	0.000	-0.545
YGR136W	0.000	-0.537
YGR137W	0.000	-0.489
YGR138C	0.000	-0.339
YGR139W	0.000	-0.398
YGR141W	0.000	-0.459
YGR142W	0.000	-0.450
YGR143W	0.000	-0.416
YGR144W	0.000	-0.440
YGR146C	0.000	-0.523
YGR148C	0.000	-0.548
YGR149W	0.000	-0.555
YGR151C	0.000	-0.375
YGR159C	0.000	-0.460
YGR160W	0.000	-0.552
YGR161C	0.000	-0.397
YGR163W	0.000	-0.351
YGR164W	0.000	-0.297
YGR168C	0.000	-0.472
YGR170W	0.000	-0.533
YGR173W	0.000	-0.508
YGR174C	0.000	-0.468
YGR176W	0.000	-0.420
YGR177C	0.000	-0.387
YGR178C	0.000	-0.347
YGR181W	0.000	-0.198
YGR184C	0.000	-0.469
YGR187C	0.000	-0.500
YGR189C	0.000	-0.531
YGR192C	0.000	-0.486
YGR193C	0.000	-0.375
YGR194C	0.000	-0.459
YGR196C	0.000	-0.406
YGR197C	0.000	-0.419
YGR199W	0.000	-0.385
YGR201C	0.000	-0.212
YGR202C	0.000	-0.358
YGR203W	0.000	-0.452
YGR205W	0.000	-0.415
YGR206W	0.000	-0.439
YGR207C	0.000	-0.432
YGR209C	0.000	-0.468
YGR212W	0.000	-0.415
YGR213C	-1.000	-0.384
YGR214W	0.000	-0.417
YGR217W	0.000	-0.346
YGR226C	0.000	-0.226
YGR230W	0.000	-0.234
YGR252W	0.000	-0.277
YGR271C-A	-1.000	0.000
YHL003C	0.000	-0.371
YHL005C	0.000	-0.681
YHL006C	0.000	-0.495
YHL007C	0.000	-0.273
YHL008C	0.000	-0.575
YHL009C	0.000	-0.581
YHL010C	0.000	-0.556
YHL012W	0.000	-0.577
YHL013C	-1.000	-0.506
YHL014C	0.000	-0.464
YHL015W-A	0.000	-0.319
YHL016C	0.000	-0.458
YHL017W	0.000	-0.591
YHL019C	0.000	-0.490
YHL020C	-1.000	-0.367
YHL021C	0.000	-0.319
YHL022C	0.000	-0.434
YHL023C	0.000	-0.702
YHL026C	0.000	-0.541
YHL027W	0.000	-0.425
YHL028W	0.000	-0.541
YHL029C	0.000	-0.561
YHL030W	0.000	-0.493
YHL031C	0.000	-0.536
YHL032C	0.000	-0.458
YHL033C	0.000	-0.500
YHL034C	0.000	-0.224
YHL035C	0.000	-0.343
YHL036W	0.000	-0.371
YHL037C	0.000	-0.513
YHL040C	0.000	-0.452
YHL041W	0.000	-0.369
YHL042W	0.000	-0.435
YHL043W	0.000	-0.458
YHL044W	0.000	-0.495
YHL045W	0.000	-0.561
YHL046C	0.000	-0.471
YHL047C	0.000	-0.211
YHR001W-A	0.000	-0.454
YHR008C	0.000	-0.206
YHR011W	0.000	-0.570
YHR012W	0.000	-0.423
YHR014W	0.000	-0.496
YHR015W	0.000	-0.598
YHR018C	0.000	-0.448
YHR021W-A	0.000	-0.305
YHR022C	0.000	-0.544
YHR025W	0.000	-0.287
YHR029C	0.000	-0.255
YHR030C	0.000	-0.235
YHR031C	0.000	-0.463
YHR033W	0.000	-0.210
YHR035W	0.000	-0.434
YHR038W	0.000	-0.445
YHR039C	0.000	-0.351
YHR043C	0.000	-0.412
YHR044C	0.000	-0.357
YHR045W	0.000	-0.324
YHR046C	0.000	-0.347
