orf	hap a | growth (undefined) | EtOH (ethanol [11%]) | Kubota S~Hirata D, 2004
YER111C	-4.232924173526326
YER122C	-4.232924173526326
YER155C	-4.232924173526326
YFL016C	-4.232924173526326
YFL023W	-4.232924173526326
YFL036W	-4.232924173526326
YFR011C	-4.232924173526326
YGL003C	-4.232924173526326
YGL038C	-4.232924173526326
YGL043W	-4.232924173526326
YGL070C	-4.232924173526326
YGL076C	-4.232924173526326
YGL095C	-4.232924173526326
YGL105W	-4.232924173526326
YGL167C	-4.232924173526326
YGL168W	-4.232924173526326
YGL206C	-4.232924173526326
YGL212W	-4.232924173526326
YGL218W	-4.232924173526326
YGL219C	-4.232924173526326
YGL223C	-4.232924173526326
YGL240W	-4.232924173526326
YGL252C	-4.232924173526326
YGR006W	-4.232924173526326
YGR056W	-4.232924173526326
YGR078C	-4.232924173526326
YGR104C	-4.232924173526326
YGR105W	-4.232924173526326
YGR159C	-4.232924173526326
YGR167W	-4.232924173526326
YGR171C	-4.232924173526326
YGR180C	-4.232924173526326
YGR181W	-4.232924173526326
YGR188C	-4.232924173526326
YGR200C	-4.232924173526326
YGR229C	-4.232924173526326
YGR252W	-4.232924173526326
YGR262C	-4.232924173526326
YGR285C	-4.232924173526326
YHL025W	-4.232924173526326
YHR008C	-4.232924173526326
YHR011W	-4.232924173526326
YHR013C	-4.232924173526326
YHR041C	-4.232924173526326
YHR060W	-4.232924173526326
YHR091C	-4.232924173526326
YHR120W	-4.232924173526326
YHR167W	-4.232924173526326
YIL076W	-4.232924173526326
YJL006C	-4.232924173526326
YJL127C	-4.232924173526326
YJL140W	-4.232924173526326
YJL179W	-4.232924173526326
YJL180C	-4.232924173526326
YJL183W	-4.232924173526326
YJL184W	-4.232924173526326
YJL188C	-4.232924173526326
YJL189W	-4.232924173526326
YJR011C	-4.232924173526326
YJR018W	-4.232924173526326
YJR025C	-4.232924173526326
YJR033C	-4.232924173526326
YJR043C	-4.232924173526326
YJR063W	-4.232924173526326
YJR090C	-4.232924173526326
YJR102C	-4.232924173526326
YJR105W	-4.232924173526326
YJR122W	-4.232924173526326
YJR144W	-4.232924173526326
YJR152W	-4.232924173526326
YKL002W	-4.232924173526326
YKL037W	-4.232924173526326
YKL113C	-4.232924173526326
YKL118W	-4.232924173526326
YKL119C	-4.232924173526326
YKL211C	-4.232924173526326
YKR007W	-4.232924173526326
YKR024C	-4.232924173526326
YKR035C	-4.232924173526326
YKR055W	-4.232924173526326
YKR082W	-4.232924173526326
YLL027W	-4.232924173526326
YLR039C	-4.232924173526326
YLR060W	-4.232924173526326
YLR091W	-4.232924173526326
YLR138W	-4.232924173526326
YLR148W	-4.232924173526326
YLR182W	-4.232924173526326
YLR200W	-4.232924173526326
YLR226W	-4.232924173526326
YLR233C	-4.232924173526326
YLR240W	-4.232924173526326
YLR261C	-4.232924173526326
YLR262C	-4.232924173526326
YLR288C	-4.232924173526326
YLR322W	-4.232924173526326
YLR358C	-4.232924173526326
YLR372W	-4.232924173526326
YLR393W	-4.232924173526326
YLR396C	-4.232924173526326
YLR399C	-4.232924173526326
YLR414C	-4.232924173526326
YLR417W	-4.232924173526326
YLR447C	-4.232924173526326
YML022W	-4.232924173526326
YML041C	-4.232924173526326
YML063W	-4.232924173526326
YML094C-A	-4.232924173526326
YML094W	-4.232924173526326
YML112W	-4.232924173526326
YML121W	-4.232924173526326
YMR060C	-4.232924173526326
YMR063W	-4.232924173526326
YMR072W	-4.232924173526326
YMR077C	-4.232924173526326
YMR078C	-4.232924173526326
YMR091C	-4.232924173526326
YMR140W	-4.232924173526326
YMR142C	-4.232924173526326
YMR143W	-4.232924173526326
YMR157C	-4.232924173526326
YMR179W	-4.232924173526326
YMR186W	-4.232924173526326
YMR188C	-4.232924173526326
YMR198W	-4.232924173526326
YMR202W	-4.232924173526326
YMR230W	-4.232924173526326
YMR326C	-4.232924173526326
YNL056W	-4.232924173526326
YNL070W	-4.232924173526326
YNL076W	-4.232924173526326
YNL079C	-4.232924173526326
YNL084C	-4.232924173526326
YNL098C	-4.232924173526326
YNL107W	-4.232924173526326
YNL119W	-4.232924173526326
YNL120C	-4.232924173526326
YNL121C	-4.232924173526326
YNL148C	-4.232924173526326
YNL153C	-4.232924173526326
YNL171C	-4.232924173526326
YNL199C	-4.232924173526326
YNL225C	-4.232924173526326
YNL238W	-4.232924173526326
YNL271C	-4.232924173526326
YNL315C	-4.232924173526326
YNR025C	-4.232924173526326
YNR051C	-4.232924173526326
YOL061W	-4.232924173526326
YOL067C	-4.232924173526326
YOL081W	-4.232924173526326
YOL086C	-4.232924173526326
YOL143C	-4.232924173526326
YOL148C	-4.232924173526326
YOR002W	-4.232924173526326
YOR115C	-4.232924173526326
YOR270C	-4.232924173526326
YOR331C	-4.232924173526326
YOR349W	-4.232924173526326
YPL002C	-4.232924173526326
YPL031C	-4.232924173526326
YPL045W	-4.232924173526326
YPL059W	-4.232924173526326
YPL065W	-4.232924173526326
YPL084W	-4.232924173526326
YPL144W	-4.232924173526326
YPL155C	-4.232924173526326
YPL165C	-4.232924173526326
YPL241C	-4.232924173526326
YPL260W	-4.232924173526326
YPL268W	-4.232924173526326
YPR036W	-4.232924173526326
YPR060C	-4.232924173526326
YPR067W	-4.232924173526326
YPR072W	-4.232924173526326
YPR124W	-4.232924173526326
YPR131C	-4.232924173526326
YPR133W-A	-4.232924173526326
YPR141C	-4.232924173526326
YPR160W	-4.232924173526326
YPR173C	-4.232924173526326
YPR194C	-4.232924173526326
