ORF	hom | growth (relative abundance in pooled culture) | UVB [6,400 J/m2] | Birrell GW~Brown JM, 2001	hom | growth (relative abundance in pooled culture) | UVC [200 J/m2] | Birrell GW~Brown JM, 2001
YDR323C	-0.029	0.204
YER053C	0.017	-0.002
YML058C-A	-0.045	0.058
YPL208W	-0.087	-0.260
YBR027C	-0.003	-0.089
YEL015W	0.020	-0.042
YOL064C	0.070	0.264
YER005W	-0.025	-0.029
YMR006C	-0.071	-0.056
YMR144W	0.021	0.019
YMR222C	-0.031	-0.001
YMR184W	0.000	0.012
YMR289W	0.081	0.069
YJL215C	-0.022	-0.014
YOR216C	0.004	0.032
YLR358C	-0.423	-0.502
YML018C	0.058	0.068
YAR037W	0.090	0.112
YJR053W	0.166	0.130
YER044C-A	0.006	-0.029
YJL217W	-0.070	-0.055
YAL029C	-0.017	0.067
YDR276C	0.098	0.121
YHR037W	0.017	-0.109
YML019W	0.186	0.275
YPL259C	0.073	0.098
YEL036C	NaN	NaN
YER059W	-0.083	-0.081
YMR285C	0.043	0.090
YPL046C	-0.197	-0.384
YPL244C	-0.031	-0.109
YPL042C	0.078	0.177
YJR018W	-0.460	-0.350
YMR172C-A	-0.024	-0.065
YOR091W	-0.124	-0.096
YML055W	0.001	0.110
YPL269W	0.007	-0.033
YPR039W	-0.057	-0.043
YPR133W-A	-0.091	-0.016
YJL164C	-0.041	-0.062
YJR060W	0.028	0.142
YER046W	-0.043	0.018
YER051W	-0.006	-0.028
YHL041W	-0.029	0.025
YIL076W	-0.060	-0.097
YLR261C	0.017	0.218
YMR195W	-0.037	0.005
YPL191C	0.013	-0.068
YMR012W	-0.054	-0.019
YML058W	-0.026	0.036
YMR226C	0.044	0.054
YBL007C	NaN	NaN
YHR039C	-0.193	-0.247
YBR077C	0.105	0.322
YJL186W	-0.036	-0.016
YMR058W	-0.093	-0.175
YHL030W	-0.009	0.007
YMR140W	-0.008	-0.028
YMR295C	0.042	0.029
YNL322C	0.014	0.064
YAL042W	0.025	0.044
YMR186W	0.014	-0.022
YER038W-A	0.056	-0.021
YER115C	-0.038	0.005
YMR022W	-0.022	0.013
YMR204C	-0.019	-0.034
YPR038W	-0.034	-0.056
YJR140C	-0.077	-0.092
YOR147W	NaN	NaN
YOR358W	0.018	-0.017
YAR020C	0.034	-0.019
YBR219C	-0.153	-0.079
YBR208C	-0.140	-0.091
YMR025W	0.007	0.050
YDR254W	0.021	0.048
YDR495C	0.076	0.180
YER092W	-0.026	0.043
YJL123C	-0.013	-0.001
YCR003W	-0.067	0.258
YDR439W	-0.187	-0.115
YER045C	-0.014	-0.022
YER103W	-0.065	-0.003
YFL056C	-0.124	-0.159
YNL237W	-0.013	-0.082
YER060W-A	-0.048	-0.038
YJL073W	-0.014	-0.019
YNL052W	-0.007	-0.063
YER087C-A	-0.023	0.032
YJL131C	-0.063	-0.082
YER088C	0.019	-0.002
YMR009W	-0.061	-0.075
YAR023C	0.100	0.057
YAR029W	0.299	0.268
YMR011W	-0.033	-0.014
YMR263W	0.132	0.171
YAR030C	0.189	0.167
YEL024W	0.147	0.231
YHL047C	-0.038	-0.017
YHR200W	0.018	0.083
YIR023W	-0.075	-0.094
YML009C	0.006	-0.005
YOR051C	-0.195	-0.272
YER114C	-0.005	0.015
YGR163W	0.112	0.253
YNL259C	0.238	0.323
YER124C	0.005	-0.030
YBR058C	-0.165	-0.211
YBR195C	-0.077	-0.253
YDR260C	-0.071	-0.151
YJL201W	-0.025	0.000
YMR193W	NaN	NaN
YMR199W	0.045	0.084
YOL035C	0.071	0.060
YER065C	0.039	0.108
YER143W	-0.035	-0.011
YHL023C	0.002	-0.099
YJL153C	-0.021	-0.020
YJL144W	-0.027	-0.103
YLL032C	-0.095	-0.108
YMR007W	-0.030	-0.012
YMR158W-A	-0.040	-0.006
YDR049W	-0.018	-0.158
YMR155W	-0.047	0.018
YMR196W	-0.041	0.044
YER123W	0.013	-0.034
YER140W	-0.009	-0.016
YML059C	-0.011	0.009
YMR187C	0.119	0.108
YOR088W	-0.042	0.035
YML102C-A	0.022	-0.176
YMR210W	0.019	-0.011
YOR104W	-0.171	-0.377
YBR131W	-0.029	0.010
YLL041C	0.039	0.023
YMR164C	-0.081	-0.132
YOL138C	0.060	0.119
YDL183C	-0.163	-0.121
YER086W	-0.029	0.006
YIL016W	0.004	-0.060
YJL051W	0.000	0.035
YLR107W	-0.106	-0.195
YLR203C	-0.056	0.087
YNR036C	NaN	NaN
YIL029C	-0.031	-0.089
YMR035W	0.117	0.271
YMR245W	0.001	0.038
YER057C	0.007	0.061
YJR130C	-0.012	-0.036
YBR133C	-0.036	-0.032
YER087W	-0.200	-0.193
YHL029C	0.101	0.064
YMR161W	0.022	0.090
YHL016C	-0.005	0.023
YJL158C	0.118	0.137
YML057W	-0.016	0.067
YMR034C	0.000	-0.029
YDR255C	-0.063	-0.060
YLR327C	-0.057	-0.046
YNL314W	-0.018	-0.026
YOR156C	0.028	0.004
YJL154C	-0.020	-0.046
YER055C	-0.057	-0.067
YER134C	-0.045	-0.031
YJL168C	-0.115	0.011
YMR010W	-0.028	-0.013
YMR189W	0.076	0.065
YDR179C	NaN	NaN
YJL052W	0.064	0.069
YML004C	-0.067	-0.040
YMR294W-A	-0.024	-0.005
YNL329C	-0.009	0.023
YER121W	-0.021	-0.046
YIL064W	-0.065	-0.106
YIL073C	-0.052	-0.061
YML060W	-0.034	0.003
YMR221C	-0.006	0.015
YMR192W	0.068	0.059
YHR135C	0.023	0.019
YJL199C	0.011	0.020
YJR131W	0.142	0.144
YMR181C	-0.021	-0.007
YDL118W	0.058	0.346
YIR033W	0.148	0.167
YML041C	-0.044	-0.180
YOR106W	0.135	0.459
YPL184C	-0.067	-0.125
YHR104W	-0.066	-0.078
YIL006W	-0.010	-0.045
YPL201C	-0.034	-0.018
YGR223C	-0.111	-0.097
YLR025W	-0.025	0.022
YMR029C	0.004	0.057
YLR109W	-0.010	-0.047
YLR417W	-0.016	-0.025
YMR207C	0.025	0.010
YMR264W	0.147	0.113
YNL293W	0.051	0.029
YER033C	-0.049	-0.060
YER078C	0.061	0.024
YHR103W	-0.064	-0.067
YLR330W	-0.086	-0.102
YNL321W	-0.047	-0.049
YPL192C	0.110	0.087
YER052C	-0.030	-0.173
YHR033W	0.025	-0.022
YDR316W	-0.049	-0.056
YHL028W	0.165	0.138
YHR043C	-0.053	0.038
YIL100W	-0.074	0.017
YMR151W	0.049	-0.019
YAL023C	0.132	0.638
YER050C	NaN	NaN
YHL035C	-0.014	-0.002
YHR015W	-0.001	0.022
YMR174C	0.112	0.115
YNR040W	-0.026	-0.040
YER042W	-0.048	-0.062
YER119C-A	-0.022	-0.019
YMR145C	-0.025	-0.008
YMR178W	0.194	0.219
YNL168C	0.010	0.002
YER101C	-0.037	0.040
YER118C	0.002	-0.001
YLR038C	0.044	0.095
YOR109W	0.042	0.072
YPL200W	-0.042	-0.021
YAL036C	-0.024	-0.022
YAR014C	0.014	0.074
YBL047C	0.009	0.052
YDR335W	0.086	0.188
YER120W	-0.003	-0.005
YER132C	-0.015	-0.019
YGR257C	NaN	NaN
YOR082C	-0.055	-0.069
YBR100W	-0.365	-0.368
YEL012W	0.006	-0.023
YKL075C	-0.125	-0.214
YMR157C	-0.013	-0.008
YLR055C	-0.267	-0.298
YLR146C	-0.027	0.010
YMR244C-A	-0.040	-0.079
YDR310C	0.040	0.031
YML003W	-0.060	-0.052
YMR305C	-0.007	-0.007
YNL288W	0.092	0.087
YDR269C	-0.025	-0.028
YER019C-A	-0.015	-0.033
YHL024W	0.020	-0.007
YHL026C	0.263	0.262
YIL107C	0.248	0.198
YLR087C	-0.092	-0.010
YOR322C	-0.058	-0.083
YAL049C	-0.064	0.045
YBL045C	0.019	0.232
YER093C-A	0.052	0.084
YIL116W	0.009	-0.035
YJL206C-A	-0.032	0.027
YMR315W	-0.021	-0.017
YAR027W	0.125	0.137
YHR014W	-0.012	-0.036
YDR216W	-0.009	-0.074
YMR121C	-0.188	-0.258
YGR106C	-0.022	-0.065
YHL036W	-0.056	-0.021
YMR173W-A	-0.032	-0.035
YOR043W	-0.085	-0.119
YOR136W	-0.091	-0.057
YAL017W	-0.057	-0.016
YER108C	-0.003	0.007
YMR148W	-0.007	-0.019
YNL285W	0.103	0.094
YBR036C	-0.033	0.021
YHL037C	-0.021	-0.024
YML070W	-0.021	-0.031
YMR008C	-0.053	-0.049
YPR037C	-0.003	0.011
