ORF	het | chromosome instability (qCTF) | standard | None | Zhu J~Li R, 2015
YLR059C	1.136
YLR061W	1.200
YLR062C	1.220
YLR063W	1.534
YLR064W	1.609
YLR065C	0.976
YLR067C	1.113
YLR068W	1.035
YLR069C	0.857
YLR070C	0.803
YLR072W	1.557
YLR073C	0.983
YLR074C	1.261
YLR077W	1.203
YLR079W	2.815
YLR080W	1.073
YLR081W	1.337
YLR082C	1.081
YLR083C	1.099
YLR084C	0.986
YLR085C	0.713
YLR087C	0.986
YLR089C	1.408
YLR090W	1.333
YLR091W	1.484
YLR092W	1.131
YLR093C	1.786
YLR094C	1.180
YLR095C	1.362
YLR096W	1.019
YLR097C	1.088
YLR098C	0.850
YLR099C	1.069
YLR102C	1.274
YLR104W	1.359
YLR107W	1.050
YLR108C	1.487
YLR109W	1.334
YLR111W	1.151
YLR112W	1.330
YLR113W	1.070
YLR114C	0.982
YLR118C	1.238
YLR119W	1.083
YLR120C	1.279
YLR121C	0.997
YLR122C	0.552
YLR123C	0.509
YLR124W	0.976
YLR125W	0.971
YML089C	0.970
YML088W	0.842
YML087C	0.797
YML086C	1.094
YML084W	0.641
YML083C	0.528
YML082W	0.940
YML081W	0.796
YML080W	0.796
YML079W	0.714
YML078W	0.836
YML063W	1.002
YML062C	1.045
YML061C	1.099
YML060W	0.935
YML059C	0.823
YML058W	0.554
YML057W	0.795
YML057C-A	0.974
YML056C	0.693
YML055W	0.772
YML054C	1.126
YML053C	0.818
YML052W	1.231
YML051W	1.024
YML050W	1.216
YML048W	0.925
YML047W-A	1.110
YML037C	0.622
YML035C	1.075
YML034W	1.135
YML034C-A	0.899
YML032C	0.964
YML030W	1.284
YML029W	1.212
YML028W	1.218
YML026C	0.831
YML024W	1.190
YML020W	1.043
YML019W	0.908
YML018C	0.988
YML017W	1.223
YML016C	1.047
YML014W	0.838
YML013W	1.176
YML012C-A	1.295
YML012W	0.909
YML011C	1.106
YML009C	0.983
YML008C	1.066
YML007W	1.193
YML006C	1.239
YML005W	1.276
YML004C	0.758
YML003W	0.769
YML002W	1.125
YML001W	1.257
YMR002W	0.830
YMR003W	1.346
YMR006C	0.889
YMR007W	1.313
YMR008C	1.001
YMR009W	1.264
YMR010W	1.136
YMR011W	1.112
YMR012W	1.014
YMR014W	1.009
YMR015C	1.018
YMR016C	1.065
YMR017W	1.058
YMR018W	1.046
YMR019W	1.171
YMR020W	0.941
YMR021C	1.092
YMR022W	1.139
YMR023C	2.096
YMR024W	1.095
YMR025W	1.199
YMR026C	1.364
YMR027W	1.562
YMR029C	0.887
YMR030W	0.839
YMR031W-A	1.643
YMR031C	1.067
YMR032W	1.024
YMR034C	1.186
YMR035W	1.093
YMR036C	0.956
YMR039C	1.380
YMR040W	1.351
YMR041C	1.079
YMR042W	1.136
YMR044W	1.536
YMR140W	0.999
YMR141C	1.202
YMR143W	1.179
YMR144W	1.068
YMR145C	1.047
YMR147W	0.995
YMR148W	1.026
YMR151W	1.016
YMR150C	1.289
YMR152W	0.894
YMR153W	0.996
YMR153C-A	1.025
YMR155W	1.058
YMR156C	1.153
YMR157C	0.828
YMR158W-B	0.932
YMR159C	1.008
YMR161W	0.758
YMR162C	0.944
YMR163C	0.811
YMR164C	1.082
YMR166C	1.046
YMR167W	1.102
YMR169C	0.959
YMR170C	1.252
YMR172C-A	1.214
YMR173W-A	0.830
YMR174C	0.762
YMR175W	0.677
YMR176W	0.595
YMR177W	0.967
YMR178W	1.066
YMR179W	0.727
YMR180C	0.927
YMR182C	0.907
YMR183C	0.907
YMR184W	1.018
YMR186W	0.684
YMR187C	0.782
YMR188C	0.693
YMR189W	0.737
YMR190C	0.864
YMR191W	0.974
YMR192W	0.614
YMR193W	0.765
YMR194W	1.217
YMR193C-A	1.151
YMR195W	0.587
YMR196W	0.965
YMR198W	0.816
YMR199W	0.710
YMR201C	0.601
YMR202W	1.000
YMR204C	0.602
YMR205C	0.918
YMR206W	0.670
YMR207C	0.566
YMR210W	0.664
YMR214W	1.321
YMR215W	0.688
YMR216C	0.602
YMR219W	0.813
YMR221C	0.577
YMR222C	0.221
YMR223W	0.608
YMR224C	NaN
YMR225C	0.686
YMR226C	0.617
YMR228W	0.410
YMR230W	0.726
YMR231W	0.479
YMR232W	0.820
YMR233W	0.588
YMR234W	0.448
YMR237W	0.410
YMR238W	0.353
YMR241W	0.428
YMR242C	0.713
YMR243C	1.042
YMR244W	0.648
YMR245W	0.620
YMR244C-A	0.659
YMR246W	0.468
YMR247C	0.522
YMR250W	0.645
YMR251W	0.673
YMR251W-A	0.616
YMR252C	1.517
YMR253C	1.387
YMR254C	1.378
YMR255W	1.187
YMR256C	1.200
YMR257C	1.551
YMR258C	1.446
YMR259C	1.540
YMR261C	1.293
YMR262W	1.511
YNL047C	1.356
YMR264W	1.571
YMR265C	1.129
YMR266W	1.439
YMR267W	1.259
YMR269W	1.329
YMR272C	1.128
YMR273C	1.345
YMR274C	1.508
YMR275C	1.082
YMR276W	0.867
YMR278W	0.985
YMR280C	1.033
YMR282C	1.410
YMR283C	1.224
YMR284W	1.230
YMR285C	1.199
YMR286W	1.357
YMR287C	1.371
YMR289W	1.217
YMR291W	0.857
YMR292W	1.071
YMR293C	1.333
YMR294W	1.255
YMR294W-A	1.362
YMR295C	1.622
YMR297W	1.254
YMR299C	1.168
YMR300C	1.458
YMR302C	1.283
YMR303C	1.479
YMR304W	1.440
YMR304C-A	1.442
YMR305C	0.972
YMR306C-A	1.277
YMR307W	1.075
YMR310C	1.224
YNL339C	1.565
YNL338W	1.593
YNL336W	1.669
YNL335W	1.546
YNL334C	1.620
YNL333W	1.732
YNL332W	1.218
YNL330C	1.409
YNL329C	1.548
YNL328C	1.268
YNL327W	1.322
YNL326C	1.213
YNL324W	1.530
YNL325C	1.392
YNL323W	1.878
YNL322C	1.408
YNL321W	1.606
YNL320W	1.265
YNL319W	1.190
YNL318C	1.560
YNL314W	1.582
YNL311C	1.769
YNL309W	1.679
YNL053W	1.370
YNL305C	1.578
YNL304W	1.492
YNL303W	1.600
YNL302C	1.805
YNL301C	1.250
YNL299W	1.360
YNL298W	1.323
YNL086W	1.655
YNL297C	1.948
YNL295W	1.508
YNL294C	1.836
YNL293W	1.692
YNL089C	1.268
YNL291C	1.564
YNL289W	1.172
YNL288W	1.639
YNL286W	1.922
YNL285W	1.880
YNL283C	1.449
YNL281W	1.233
YNL280C	1.722
YNL278W	0.957
YNL096C	1.695
YNL276C	1.517
YNL275W	1.387
YNL273W	1.378
YNL271C	1.187
YNL270C	0.914
YNL269W	1.551
YNL268W	1.237
YNL266W	1.540
YNL265C	1.293
YNL264C	1.511
YNL259C	1.356
YNL257C	1.571
YNL255C	1.129
YNL254C	1.439
YNL253W	1.259
YNL249C	1.334
YNL248C	1.128
YNL246W	1.345
YOR001W	1.508
YOR002W	1.082
YOR003W	0.867
YOR005C	0.985
YOR006C	1.033
YOR007C	1.410
YOR008C	1.224
YOR009W	1.230
YOR010C	1.199
YOR011W	1.357
YOR012W	1.371
YOR013W	1.217
YOR014W	0.857
YOR015W	1.071
YOR016C	1.333
YOR017W	1.255
YOR018W	1.362
YOR019W	1.622
YOR021C	1.254
YOR022C	1.168
YOR023C	1.458
YOR024W	1.283
YOR025W	1.479
YOR026W	1.403
YOR027W	1.442
YOR028C	0.972
YOR029W	1.277
YOR030W	1.075
YOR031W	1.224
YOR032C	1.565
YOR033C	1.593
YOR034C	1.669
YOR035C	1.546
YOR036W	1.620
YOR037W	1.732
YOR038C	1.218
YOR039W	1.409
YOR040W	1.548
YOR041C	1.268
YOR042W	1.322
YOR043W	1.213
YOR044W	1.530
YOR045W	1.392
YOR047C	1.878
YOR049C	1.408
YOR050C	1.606
YOR051C	1.265
YOR052C	1.190
YOR053W	1.560
YOR054C	1.582
YOR055W	1.769
YOR058C	1.679
YOR059C	1.370
YOR061W	1.578
YOR062C	1.492
YOR064C	1.600
YOR065W	1.805
YOR066W	1.250
YOR067C	1.360
YOR068C	1.323
YOR069W	1.545
YOR070C	1.948
YOR071C	1.508
YOR072W	1.836
YOR073W	1.692
YOR076C	1.582
YOR078W	1.564
YOR079C	1.172
YOR080W	1.639
YOR081C	1.922
YOR082C	1.880
YOR083W	1.449
YOR084W	1.233
YOR085W	1.722
YOR086C	0.957
YOR087W	1.531
YOR089C	1.136
YOR090C	0.763
YOR091W	1.039
YOR092W	0.718
YOR093C	0.666
YOR094W	0.828
YOR289W	0.752
YOR290C	0.510
YOR291W	1.289
YOR292C	0.792
YOR293W	1.300
YOR295W	1.976
YOR296W	1.143
YOR297C	2.290
YOR298W	1.099
YOR299W	1.013
YOR301W	1.031
YOR302W	1.157
YOR303W	1.274
YOR304C-A	0.936
YOR304W	1.077
YOR305W	0.792
YOR307C	1.093
YOR308C	1.315
YOR311C	1.195
YOR312C	1.328
YOR313C	1.185
YOR314W	1.064
YOR315W	1.397
YOR316C	1.144
YOR318C	1.026
YOR320C	0.763
YOR321W	1.017
YOR322C	1.537
YOR323C	1.289
YOR324C	1.081
YOR327C	0.772
YOR328W	1.125
YOR330C	1.138
YOR332W	0.778
YOR334W	1.365
YOR337W	1.455
YOR338W	1.207
YOR339C	0.772
YOR342C	0.833
YOR343C	1.100
YOR344C	1.028
YOR346W	1.194
YOR347C	0.926
YOR348C	1.345
YOR349W	1.020
YOR350C	1.266
YOR351C	1.096
YOR352W	1.310
YOR354C	1.112
YOR355W	0.948
YOR356W	0.936
YOR357C	0.673
YOR358W	1.473
YOR359W	1.480
YOR360C	1.622
YOR363C	1.237
YOR365C	1.282
YOR367W	1.553
YOR368W	1.189
YOR371C	1.491
YOR374W	1.030
YOR375C	1.382
YOR376W	0.815
YOR377W	0.951
YOR378W	1.699
YOR380W	1.425
YOR381W	1.448
YOR382W	1.390
YOR383C	1.218
YOR384W	1.495
YOR385W	1.230
YOR386W	1.299
YOL001W	1.230
YOL002C	1.014
YOL003C	1.508
YOL004W	1.561
YOL006C	1.197
YOL007C	1.638
YOL008W	1.723
YOL009C	1.574
YOL011W	1.389
YOL012C	2.089
YOL013C	1.781
YOL014W	1.726
YOL015W	1.264
YOL017W	1.063
YOL018C	1.105
YOL019W	1.225
YOL020W	0.879
YOL023W	1.005
YOL024W	0.827
YOL025W	1.488
YOL027C	1.316
YOL028C	1.546
YOL029C	0.755
YOL030W	0.974
YOL031C	1.024
YOL032W	0.906
YOL033W	1.114
YOL035C	0.884
YOL036W	1.231
YOL037C	1.538
YOL039W	1.043
YOL041C	0.870
YOL042W	1.329
YOL043C	1.112
YOL044W	0.767
YOL045W	1.089
YOL046C	1.445
YOL047C	1.181
YOL048C	1.048
YOL049W	0.965
YOL050C	0.866
YOL051W	1.244
YOL052C	1.292
YOL052C-A	1.247
YOL053W	1.048
YOL054W	0.798
YOL055C	1.021
YOL056W	1.301
YOL057W	1.414
YOL058W	1.397
YOL059W	0.668
YOL060C	1.366
YOL061W	1.211
YOL062C	1.531
YOL063C	1.244
YOL064C	1.309
YOL065C	1.574
YOL067C	1.554
YOL068C	0.748
YOL070C	1.585
YOL071W	1.431
YOL072W	1.181
YOL075C	1.128
YOL076W	1.258
YOL079W	1.508
YOL080C	1.179
YOL081W	1.933
YOL082W	1.202
YOL083W	1.271
YOL084W	1.360
YOL085C	1.052
YPL274W	1.056
YPL273W	1.155
YPL272C	1.463
YPL271W	1.531
YPL270W	1.153
YPL269W	1.700
YPL267W	1.085
YPL265W	1.558
YPL264C	1.082
YPL263C	1.883
YPL262W	1.331
YPL260W	1.329
YPL261C	1.480
YPL259C	1.580
YPL258C	1.453
YPL257W	1.220
YPL256C	0.959
YPL254W	1.317
YPL253C	1.795
YPL250C	1.584
YPL249C	1.547
YPL248C	1.252
YPL247C	1.875
YPL246C	1.743
YPL245W	1.560
YPL244C	1.164
YPL241C	1.050
YPL240C	1.680
YPL239W	1.601
YPL236C	2.150
YPL234C	1.876
YPL232W	1.622
YPL230W	1.951
YPL229W	1.694
YPL227C	1.972
YPL226W	1.889
YPL225W	1.120
YPL223C	1.523
YPL222W	1.057
YPL221W	0.715
YPL220W	0.924
YPL219W	1.303
YPL216W	0.892
YPL215W	0.824
YPL214C	0.995
YPL213W	0.911
YPL212C	1.301
YPL208W	1.131
YPL207W	0.954
YPL206C	1.373
YPL205C	1.149
YPL203W	1.027
YPL202C	1.230
YPL201C	0.887
YPL200W	0.644
YPL199C	0.668
YPL198W	0.851
YPL197C	0.899
YPL196W	1.240
YPL195W	1.048
YPL194W	0.694
YPL193W	1.355
YPL192C	1.124
YPL191C	1.173
YPL189W	1.191
YPL188W	0.907
YPL187W	0.810
YPL185W	0.779
YPL186C	1.096
YPL184C	0.894
YPL181W	1.117
YPL182C	0.854
YPL180W	0.899
YPL179W	1.302
YPL178W	1.626
YPL177C	1.159
YPL176C	1.250
YPL174C	0.747
YPL173W	1.036
YPL172C	0.992
YPL171C	1.094
YPL170W	0.502
YPL168W	0.959
YPL167C	0.899
YPL166W	1.213
YPL165C	0.956
YPL164C	1.072
YPL163C	1.302
YPL162C	1.146
YPL161C	0.897
YPL159C	1.074
YPL157W	0.815
YPL156C	0.848
YPL155C	0.842
YPL154C	1.341
YPL152W	1.234
YPL150W	0.841
YPL149W	1.226
YPL147W	1.012
YPL145C	1.068
YPL144W	1.135
YPL141C	1.190
YPL140C	1.231
YPL139C	0.866
YPL138C	1.063
YPL136W	0.988
YPL135W	1.138
YPL133C	1.315
YPL130W	0.984
YPL129W	1.385
YPL127C	1.063
YPL125W	1.179
YPL123C	1.064
YPL121C	1.366
YPL120W	1.427
YPL119C	1.248
YPL118W	1.177
YPL116W	1.397
YPL115C	0.922
YPL114W	1.053
YPL113C	1.112
YPL112C	1.382
YPL111W	1.269
YPL110C	1.229
YPL109C	1.364
YPL108W	1.341
YPL107W	1.381
YPL106C	0.913
YPL105C	1.432
YPL104W	1.191
YPL103C	1.051
YPL101W	1.800
YPL102C	0.848
YPL100W	1.002
YPL099C	0.744
YPL098C	0.861
YPL097W	0.864
YPL096W	0.868
YPL095C	0.479
YPL092W	0.872
YBR174C	0.936
YBR175W	0.886
YBR176W	1.143
YBR177C	0.789
YBR178W	0.849
YBR179C	0.969
YBR180W	0.929
YBR181C	0.628
YBR182C	0.626
YBR183W	0.768
YBR184W	0.752
YBR185C	0.568
YBR186W	0.793
YBR187W	0.721
YBR188C	0.666
YBR194W	1.215
YBR195C	1.275
YBR197C	0.910
YBR199W	0.774
YBR200W	0.951
YBR201W	0.924
YBR203W	1.081
YBR204C	0.627
YBR205W	0.552
YBR206W	0.890
YBR207W	0.590
YBR208C	0.922
YBR209W	1.057
YBR210W	1.164
YBR212W	1.229
YBR213W	0.640
YBR214W	1.043
YBR215W	0.863
YBR216C	0.908
YBR217W	0.911
YBR218C	0.484
YBR219C	0.885
YBR220C	0.693
YBR221C	0.709
YBR222C	1.030
YBR223C	0.962
YBR224W	0.910
YBR225W	0.925
YBR226C	0.896
YBR227C	0.989
YBR228W	0.799
YBR229C	0.524
YBR230C	0.948
YBR231C	0.970
YBR233W	0.807
YBR235W	0.610
YBR238C	0.703
YBR239C	0.744
YBR240C	1.128
YBR241C	0.994
YBR242W	1.057
YBR244W	0.990
YBR245C	0.903
YBR246W	0.965
YBR248C	0.551
YBR249C	0.887
YBR250W	1.130
YBR251W	1.029
YBR255W	0.935
YBR258C	0.883
YBR259W	0.907
YBR260C	1.099
YBR261C	0.836
YBR262C	1.053
YBR263W	1.148
YBR264C	1.235
YBR266C	1.127
YBR267W	2.560
YBR268W	0.820
YDR049W	0.715
YDR050C	1.485
YDR051C	1.297
YDR055W	1.395
YDR056C	1.421
YDR057W	1.300
YDR059C	1.213
YDR061W	1.042
YDR063W	1.161
YDR065W	1.077
YDR066C	1.070
YDR067C	1.211
YDR068W	1.149
YDR069C	1.168
YDR070C	1.279
YDR072C	0.877
YDR073W	1.014
YDR075W	0.890
YDR076W	0.998
YDR077W	0.728
YDR078C	0.862
YDR079W	0.963
YDR080W	0.902
YDR083W	1.088
YDR084C	1.135
YDR085C	1.257
YDR089W	1.023
YDR090C	1.291
YDR092W	0.824
YDR093W	0.857
YDR094W	1.273
YDR095C	1.547
YDR096W	0.672
YDR097C	0.752
YDR098C	0.947
YDR099W	1.443
YDR100W	1.128
YDR101C	0.879
YDR102C	1.432
YDR103W	NaN
YDR104C	0.746
YDR105C	0.760
YDR107C	0.807
YDR108W	1.241
YDR109C	0.739
YDR110W	0.775
YDR111C	0.982
YDR112W	1.250
YDR114C	1.324
YDR115W	1.476
YDR116C	1.292
YDR117C	1.043
YDR119W	0.660
YDR120C	0.898
YDR121W	0.877
YDR122W	0.702
YDR123C	1.226
YDR124W	0.823
YDR125C	0.656
YDR126W	1.350
YDR127W	1.143
YDR128W	1.312
YDR129C	1.249
YDR130C	1.138
YDR131C	1.138
YDR132C	1.056
YDR133C	0.816
YDR134C	0.739
YDR135C	0.924
YDR136C	0.871
YDR137W	0.749
YPR021C	1.219
YDR139C	1.277
YDR140W	1.275
YDR142C	0.983
YDR143C	0.614
YDR144C	0.655
YDR146C	1.033
YDR338C	1.059
YDR340W	0.580
YDR344C	0.733
YDR345C	0.719
YDR346C	0.840
YDR347W	1.304
YDR348C	1.017
YDR349C	1.572
YDR350C	1.108
YDR351W	1.012
YDR352W	0.827
YDR354W	1.016
YDR357C	0.701
YDR358W	0.584
YDR359C	0.828
YDR360W	0.874
YDR363W	0.911
YDR364C	1.353
YDR368W	1.298
YDR369C	1.232
YDR370C	0.976
YDR371W	1.359
YDR372C	0.635
YDR374C	0.736
YDR375C	0.621
YDR377W	0.912
YDR378C	0.882
YDR379W	0.716
YDR380W	1.155
YDR382W	0.712
YDR383C	0.808
YDR384C	0.789
YDR385W	0.537
YDR386W	1.278
YDR387C	0.677
YDR388W	1.260
YDR389W	1.297
YDR391C	1.398
YDR392W	1.237
YDR393W	0.865
YDR395W	0.942
YDR399W	0.776
YDR400W	0.520
YDR401W	0.808
YDR402C	0.373
YDR403W	0.849
YDR405W	1.349
YDR406W	1.221
YDR408C	1.209
YDR409W	1.456
YDR410C	1.570
YDR411C	1.044
YDR414C	0.921
YDR415C	0.678
YDR418W	1.809
YDR419W	0.890
YDR420W	0.795
YDR421W	0.825
YDR422C	0.946
YDR423C	1.309
YDR425W	1.173
YDR426C	1.543
YDR428C	1.287
YDR430C	1.104
YDR431W	0.694
YDR432W	0.868
YDR433W	1.173
YDR435C	1.168
YDR436W	1.049
YEL001C	1.106
YEL003W	1.120
YEL004W	NaN
YEL005C	1.184
YEL006W	1.324
YEL007W	1.346
YEL008W	0.935
YEL009C	1.035
YEL010W	0.654
YEL013W	0.785
YEL014C	0.694
YEL015W	1.193
YEL016C	1.289
YEL017C-A	0.955
YEL017W	0.928
YPR083W	1.054
YEL020C	0.860
YEL023C	1.350
YEL024W	0.983
YEL025C	0.666
YEL027W	0.950
YEL028W	0.965
YEL030W	0.615
YEL031W	1.053
YEL033W	1.533
YPR091C	1.248
YEL037C	1.337
YEL038W	0.798
YEL039C	1.515
YEL040W	1.306
YEL041W	0.869
YEL042W	0.795
YEL043W	0.809
YEL045C	1.357
YEL046C	0.876
YEL047C	1.308
YEL048C	1.373
YEL049W	1.280
YEL050C	0.985
YEL051W	1.275
YEL052W	1.294
YEL053C	1.268
YEL054C	0.423
YEL056W	1.003
YEL057C	1.105
YEL059W	1.779
YEL060C	1.140
YEL061C	1.283
YEL062W	1.340
YEL063C	1.274
YEL064C	1.834
YEL065W	1.366
YEL066W	1.694
YEL067C	1.431
YEL068C	1.674
YEL071W	1.349
YEL072W	NaN
YER001W	1.607
YER002W	1.714
YER004W	1.958
YER005W	1.556
YER007C-A	1.536
YER007W	1.027
YER010C	1.031
YER011W	1.590
YPR011C	1.671
YER017C	1.589
YER019W	1.583
YER019C-A	1.350
YER020W	1.205
YER024W	1.245
YER030W	1.368
YER032W	1.245
YER033C	1.219
YER034W	1.492
YER035W	0.957
YER038W-A	1.429
YER039C	1.551
YER040W	1.243
YER041W	1.416
YER042W	1.379
YER044C-A	1.296
YER045C	1.512
YER046W-A	1.139
YER047C	1.682
YER048C	1.642
YER049W	2.063
YER050C	1.688
YER051W	1.479
YER052C	1.513
YER053C	1.800
YER054C	1.747
YER056C	0.922
YER056C-A	0.876
YER057C	1.368
YER058W	1.253
YER059W	1.454
YER060W	1.327
YER060W-A	1.608
YER061C	1.532
YER062C	1.906
YER065C	1.502
YER066C-A	1.645
YER067W	1.040
YER067C-A	1.975
YER068W	1.112
YER068C-A	1.624
YER069W	1.877
YPR118W	1.759
YER071C	1.990
YER072W	1.737
YER073W	1.282
YER074W	1.468
YER075C	1.748
YER079W	1.883
YER080W	1.316
YER081W	1.628
YER083C	3.532
YER084W	1.660
YER085C	1.958
YER086W	1.629
YER087C-B	1.507
YGR123C	1.512
YGR124W	1.749
YGR125W	2.192
YGR126W	1.563
YGR127W	1.588
YGR129W	2.295
YGR130C	1.993
YGR131W	1.976
YGR132C	1.537
YGR133W	1.574
YGR135W	1.919
YGR136W	1.877
YGR137W	1.917
YGR138C	1.763
YGR139W	1.801
YGR141W	1.687
YGR142W	2.069
YGR143W	2.074
YGR144W	2.016
YGR146C	1.903
YGR148C	1.709
YGR149W	2.038
YGR150C	1.906
YGR151C	2.011
YGR152C	1.745
YGR153W	1.644
YGR154C	1.440
YGR157W	1.678
YGR159C	2.124
YGR160W	1.159
YGR161C	1.831
YGR163W	0.926
YGR164W	1.813
YGR165W	1.272
YGR166W	1.522
YOL153C	1.036
YGR168C	0.885
YGR169C	1.546
YGR170W	2.087
YGR171C	1.635
YGR173W	1.429
YGR174C	1.077
YGR176W	1.247
YGR177C	1.324
YGR178C	1.317
YGR180C	1.182
YGR181W	1.386
YGR182C	2.219
YGR183C	1.322
YGR184C	1.590
YGR187C	1.657
YGR189C	1.625
YGR192C	1.199
YGR193C	1.413
YGR194C	1.292
YGR196C	1.779
YGR197C	1.515
YGR199W	1.519
YGR200C	2.019
YGR202C	1.534
YGR203W	1.376
YGR205W	1.409
YGR206W	1.715
YGR207C	1.657
YGR208W	1.801
YGR209C	1.868
YGR212W	1.626
YGR213C	1.550
YGR214W	1.627
YGR215W	1.439
YGR217W	1.658
YHL047C	1.322
YHL046C	1.237
YHL045W	1.351
YHL044W	1.226
YHL043W	1.310
YHL042W	1.227
YHL041W	1.267
YHL040C	1.267
YHL038C	1.844
YHL037C	1.289
YHL036W	1.385
YHL035C	1.055
YHL034C	1.063
YHL033C	1.565
YHL032C	1.291
YHL031C	2.291
YHL030W	1.363
YHL029C	1.595
YHL028W	1.242
YHL027W	1.727
YHL026C	1.421
YHL023C	1.291
YHL022C	1.356
YHL021C	1.190
YHL020C	1.638
YHL019C	1.554
YHL017W	1.309
YHL016C	1.415
YHL014C	1.433
YHL013C	1.223
YHL012W	1.276
YHL010C	1.538
YHL009C	1.599
YHL008C	1.337
YHL007C	NaN
YHL006C	1.369
YHL005C	1.403
YHL003C	1.038
YHR001W-A	1.494
YHR011W	1.709
YHR012W	1.079
YHR013C	1.786
YHR014W	2.026
YHR015W	1.086
YHR018C	1.120
YHR022C	1.367
YHR029C	1.898
YHR030C	1.639
YHR031C	1.085
YHR034C	0.771
YHR035W	1.336
YHR037W	1.112
YHR038W	1.260
YHR039C	1.600
YHR043C	1.163
YHR044C	1.004
YHR046C	1.104
YHR047C	1.455
YHR048W	1.404
YHR049W	1.047
YHR049C-A	1.784
YHR050W	0.997
YHR051W	1.499
YHR057C	1.496
YHR060W	1.698
YHR061C	1.681
YHR066W	1.531
YHR073W	1.474
YHR075C	1.553
YHR076W	1.360
YHR077C	1.685
YHR078W	1.228
YHR079C	1.547
YHR080C	1.466
YHR081W	1.423
YHR082C	1.422
YHR086W	1.642
YHR087W	1.592
YHR091C	1.383
YHR092C	1.942
YHR093W	1.773
YHR094C	1.454
YHR095W	1.531
YHR096C	1.342
YHR097C	1.620
YHR100C	1.847
YHR103W	1.742
YHR104W	1.604
YHR105W	1.875
YHR106W	1.554
YHR108W	1.631
YHR109W	1.426
YHR110W	1.753
YHR111W	1.286
YHR112C	1.535
YHR113W	1.481
YHR114W	1.657
YHR115C	1.892
YHR116W	1.755
YHR117W	1.482
YHR120W	1.602
YHR121W	1.423
YHR123W	1.506
YHR124W	1.745
YHR125W	1.323
YHR126C	1.050
YHR129C	1.164
YHR130C	1.426
YHR132C	1.868
YHR133C	1.649
YHR134W	1.684
YHR135C	1.634
YHR136C	1.512
YHR137W	1.771
YHR138C	1.895
YHR139C	1.503
YHR139C-A	2.173
YHR142W	1.829
YHR143W	1.799
YHR147C	1.710
YHR150W	1.430
YHR151C	1.472
YHR152W	1.412
YHR153C	1.528
YHR154W	1.442
YHR155W	1.469
YHR156C	1.569
YHR157W	1.779
YHR158C	1.606
YHR159W	1.501
YHR160C	1.683
YHR161C	1.879
