orf	hap ? | growth (undefined) | expression of amyloid-beta 42 | None | Fruhmann G~Cullin C, 2018
YMR316C-A	3.010721026444374
YMR317W	3.010721026444374
YMR318C	3.010721026444374
YNL047C	3.010721026444374
YNL084C	-2.833619789594705
YNL096C	3.010721026444374
YNL104C	3.010721026444374
YNL105W	3.010721026444374
YNL106C	3.010721026444374
YNL128W	3.010721026444374
YNL146W	3.010721026444374
YNL168C	-2.833619789594705
YNL242W	3.010721026444374
YNL273W	3.010721026444374
YNL278W	3.010721026444374
YNL289W	3.010721026444374
YNL329C	3.010721026444374
YNL334C	3.010721026444374
YNL338W	5.932891434463913
YNR071C	5.932891434463913
YNR074C	3.010721026444374
YOL015W	3.010721026444374
YOL045W	8.855061842483453
YOL052C	8.855061842483453
YOL059W	3.010721026444374
YOL067C	-2.833619789594705
YOL070C	3.010721026444374
YOL084W	3.010721026444374
YOL129W	3.010721026444374
YOL163W	3.010721026444374
YOR006C	8.855061842483453
YOR043W	3.010721026444374
YOR071C	3.010721026444374
YOR080W	3.010721026444374
YOR096W	-2.833619789594705
YOR156C	3.010721026444374
YOR263C	3.010721026444374
YOR296W	8.855061842483453
YOR298C-A	8.855061842483453
YOR303W	3.010721026444374
YOR317W	3.010721026444374
YOR338W	3.010721026444374
YOR348C	3.010721026444374
YOR360C	5.932891434463913
YPL041C	3.010721026444374
YPL057C	3.010721026444374
YPL087W	3.010721026444374
YPL103C	8.855061842483453
YPL134C	3.010721026444374
YPL178W	8.855061842483453
YPL192C	3.010721026444374
YPL200W	8.855061842483453
YPL239W	8.855061842483453
YPL247C	8.855061842483453
YPL257W	3.010721026444374
YPL270W	3.010721026444374
YPR024W	3.010721026444374
YPR054W	3.010721026444374
YPR101W	8.855061842483453
YPR129W	8.855061842483453
YPR151C	3.010721026444374
YPR152C	3.010721026444374
YPR158W	3.010721026444374
