orf	hap alpha | chronological lifespan | nonrestricted diet medium (glutamine [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018	hap alpha | chronological lifespan | dietary-restricted medium (gamma-aminobutyric acid [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018
YCL023C	-0.8776863844813146	-0.41140652488435003
YCL024W	0.05501884474225315	0.03541998761158934
YCL025C	1.010416500540563	0.10224941632600093
YCL026C-A	0.27151243138956954	1.2773679936852171
YCL027W	0.8485494254469016	0.5199753288447067
YCL028W	0.9323178492279819	0.16085934774094082
YCL029C	0.24352845636789616	0.31132156709407677
YCL032W	0.16961320288888104	0.713930376826699
YCL033C	-2.1271418448013537	-0.8367168333902885
YCL034W	0.5468747119900298	0.17022888434899294
YCL035C	0.011545852514414626	0.46797323801139934
YCL037C	-1.5037786651437448	-0.7326059234002104
YCL038C	0.011602130499658699	-0.11280450752251625
YCL039W	-1.237211085797249	-0.9248216302063987
YCL040W	-2.5684170278660954	-3.162887509097969
YCL042W	-2.8183964464780873	-2.743901892242222
YCL044C	0.011292179517279394	-0.9049149692950778
YCL045C	-0.21331969087583763	-0.18534805868737908
YCL046W	-0.14433551131862357	0.06156599142998755
YCL047C	0.13102153915587703	0.5702937405915081
YCL048W	0.4567940524388322	0.5781742584975975
YCL049C	-0.7778039388769287	-0.19868093720166213
YCL051W	1.4063340025657047	1.1252053429361561
YCL061C	-1.1512873026023578	-1.465628713117629
YCL063W	-0.3971583201353044	1.084616934784122
YCL064C	0.278970814118634	0.6937559778062594
YCL069W	-0.2767094438560506	-0.020684368186858385
YCR001W	0.03882522584235629	0.2695380879019566
YCR005C	-0.17534793066716214	0.27331439762605814
YCR006C	-0.8324329228457628	0.11537640902982707
YCR007C	0.29151473455174176	-0.09214191771052815
YCR010C	0.5631986208413244	0.2500214401137239
YCR011C	0.9813679173732894	1.0070046511824404
YCR014C	0.6428202318022351	0.9246158324406948
YCR015C	0.26093640975378923	0.18292539464250532
YCR019W	-1.8238340077029365	-0.3705505289335742
YCR020C	0.6476038250115723	0.7274690768883214
YCR020C-A	-2.8720855973029646	-1.8264090934310138
YCR021C	-0.19965842375234719	-0.22812302531986048
YCR022C	-0.9921836836262039	-0.34717353839217224
YCR023C	0.18455134012978072	0.9889672525595683
YCR024C-A	-0.10514538210451146	-0.005645581854531264
YCR025C	-1.182369153903548	-0.693008033851831
YCR026C	-0.7305130503479419	0.21255695128266486
YCR027C	-0.682674765992068	-0.21457904438258404
YCR030C	1.0088849258115875	0.07557955625503093
YCR031C	1.5611085336854114	1.2803555610977204
YCR032W	0.29578155781150384	-0.23856452991192123
YCR033W	-0.323738999414357	1.068315059036057
YCR036W	0.08714151187094872	0.06250013204654528
YCR037C	0.6812936545836032	0.8187599882391102
YCR043C	0.2815358363468155	0.43462771738497885
YCR044C	0.4714480524451729	0.4474103975640584
YCR045C	0.492751857624975	0.6026143961472115
YCR048W	0.09042628672318292	0.4923835535077249
YCR049C	0.6547030207186606	-0.3217423546396049
YCR050C	0.770888365925059	0.45594161654101006
YCR051W	-0.24955259878262132	0.012272583676700246
YCR059C	-0.17520271245773725	-0.11896111393495125
YCR060W	0.07879826406194554	-0.37389302125560064
YCR061W	0.2610933154568546	-0.11998169193432451
YCR065W	-0.6122267530927853	-0.466066424840019
YCR067C	0.37684243954491226	0.5113095221973198
YCR069W	0.058085415146819974	0.24029719997073262
YCR073C	0.5078255949951966	0.26989145893569
YCR073W-A	-0.7773761518085952	-0.8873753307059795
YCR075C	-0.8651738342603582	-0.43718653377841404
YCR076C	-3.6810116263113777	-1.8974800833375813
YCR077C	0.43112947288014686	0.48292396707937246
YCR079W	2.771999625816601	1.9800742061751209
YCR082W	0.5900606141140333	0.9158822435675473
YCR083W	-4.342936577822027	-4.99885340746131
YCR085W	-0.08729069554341268	0.4415303508080338
YCR086W	-0.21558693815920046	-0.26745393547032414
YCR087C-A	-0.694878977110238	-0.2076730837199533
YCR088W	0.44993497500785756	0.8415681021189364
YCR089W	0.5645847910679281	0.31203143109555365
YCR090C	-0.49111558881891004	0.07579870062454216
