ORF	hap alpha | chronological lifespan | nonrestricted diet medium (glutamine [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018	hap alpha | chronological lifespan | dietary-restricted medium (gamma-aminobutyric acid [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018
YCR049C	0.006	-0.004
YCR050C	0.007	0.003
YCR051W	-0.004	-0.001
YCR059C	-0.003	-0.002
YCR060W	-0.000	-0.005
YCR061W	0.002	-0.002
YCR065W	-0.007	-0.005
YCR067C	0.003	0.004
YCR069W	-0.000	0.001
YCR073C	0.004	0.002
YCR073W-A	-0.009	-0.010
YCR075C	-0.010	-0.005
YCR076C	-0.040	-0.019
YCR077C	0.004	0.004
YCR079W	0.029	0.018
YCR082W	0.005	0.008
YCR083W	-0.047	-0.050
YCR085W	-0.002	0.003
YCR086W	-0.003	-0.004
YCR087C-A	-0.008	-0.003
YCR088W	0.004	0.007
YCR089W	0.005	0.002
YCR090C	-0.006	-0.000
YCR091W	-0.004	0.001
YCR092C	0.003	-0.001
YCR095C	0.009	0.003
YCR099C	0.002	-0.021
YCR100C	-0.003	-0.004
YCR101C	-0.001	-0.001
YCR102C	-0.001	-0.002
YCR102W-A	0.003	0.002
YCR105W	-0.005	-0.007
YCR106W	0.003	-0.007
YCR107W	-0.002	-0.000
YDL001W	-0.013	0.004
YDL009C	-0.006	-0.001
YDL010W	0.004	-0.005
YDL011C	-0.005	-0.006
YDL012C	-0.014	-0.012
YDL018C	0.004	-0.011
YDL019C	-0.010	-0.002
YDL020C	-0.008	-0.012
YDL022W	-0.000	-0.008
YDL023C	-0.002	-0.012
YDL024C	-0.000	-0.000
YDL025C	0.003	0.000
YDL026W	0.019	0.016
YDL027C	-0.004	-0.008
YDL032W	-0.025	-0.011
YDL033C	0.002	0.010
YDL034W	-0.003	-0.013
YDL035C	-0.008	-0.010
YDL036C	0.000	-0.001
YDL037C	-0.007	-0.019
YDL039C	0.004	0.007
YDL040C	0.000	-0.006
YDL044C	-0.034	-0.020
YDL045W-A	-0.032	-0.042
YDL046W	0.000	0.009
YDL048C	-0.003	-0.009
YDL049C	-0.007	-0.005
YDL050C	-0.001	0.006
YDL051W	0.003	-0.002
YDL052C	-0.008	-0.007
YDL053C	0.018	0.014
YDL056W	-0.010	-0.027
YDL057W	0.002	0.002
YDL059C	-0.003	-0.007
YDL061C	0.017	0.007
YDL063C	-0.008	0.001
YDL065C	-0.020	-0.018
YDL066W	0.003	0.007
YDL068W	-0.033	-0.013
YDL069C	-0.027	-0.014
YDL070W	0.005	0.002
YDL072C	0.002	0.002
YDL073W	-0.002	-0.003
YDL074C	0.001	0.009
YDL075W	-0.003	-0.000
YDL076C	-0.006	-0.005
YDL077C	0.011	-0.012
YDL078C	0.005	-0.003
YDL079C	0.007	-0.002
YDL080C	-0.002	0.014
YDL081C	0.016	0.009
YDL082W	0.010	0.001
YDL085W	-0.003	-0.009
YDL088C	0.005	0.006
YDL089W	-0.003	0.000
YDL091C	-0.005	-0.005
YDL093W	0.001	-0.003
YDL099W	0.002	0.002
YDL100C	-0.023	-0.022
YDL101C	-0.006	-0.010
YDL104C	-0.024	-0.011
YDL106C	0.004	0.019
YDL107W	-0.031	-0.017
YDL109C	0.007	0.001
YDL110C	0.008	0.009
YDL112W	0.010	0.002
YDL113C	-0.004	-0.004
YDL114W	-0.003	0.004
YDL117W	-0.024	-0.019
YDL119C	-0.007	-0.005
YDL121C	0.003	-0.002
YDL122W	-0.003	-0.010
YDL123W	0.002	-0.003
YDL124W	-0.000	0.004
YDL125C	-0.003	0.001
YDL127W	0.004	0.005
YDL128W	0.004	0.004
YDL129W	-0.010	-0.006
YDL130W-A	-0.042	-0.019
YDL133C-A	0.001	0.007
YDL134C	0.002	-0.002
YDL135C	0.017	0.015
YDL136W	0.005	-0.005
YDL137W	0.003	0.006
YDL138W	-0.007	-0.009
YDL142C	-0.023	-0.010
YDL144C	-0.001	-0.004
YDL149W	-0.032	-0.040
YDL154W	-0.002	-0.008
YDL155W	-0.003	-0.012
YDL156W	-0.004	-0.004
YDL157C	-0.001	-0.002
YDL160C	0.005	-0.003
YDL161W	-0.002	-0.009
YDL162C	0.000	-0.008
YDL167C	0.006	0.001
YDL168W	-0.002	-0.004
YDL169C	0.006	0.000
YDL170W	0.005	0.008
YDL171C	-0.004	-0.002
YDL174C	0.001	-0.000
YDL175C	0.001	-0.011
YDL176W	-0.002	0.005
YDL177C	-0.005	0.004
YDL178W	-0.005	-0.002
YDL179W	-0.001	-0.007
YDL180W	0.000	-0.001
YDL184C	-0.000	-0.009
YDL186W	-0.002	-0.002
YDL187C	-0.010	0.005
YDL188C	0.009	0.001
YDL189W	-0.000	-0.001
YDL190C	-0.017	-0.001
YDL191W	0.007	0.000
YDL194W	-0.006	-0.007
YDL197C	-0.004	-0.000
YDL199C	0.001	-0.010
YDL200C	-0.011	-0.009
YDL201W	-0.013	-0.009
YDL202W	0.002	-0.000
YDL213C	0.000	0.000
YDL214C	-0.003	-0.000
YDL215C	-0.001	0.020
YDL216C	0.004	0.008
YDL218W	0.000	-0.007
YDL219W	0.002	-0.001
YDL222C	-0.006	-0.003
YDL225W	-0.028	-0.022
YDL227C	-0.006	-0.004
YDL230W	-0.004	0.002
YDL231C	-0.001	-0.003
YDL232W	-0.002	0.004
YDL233W	-0.003	-0.005
YDL234C	0.001	0.001
YDL236W	-0.004	-0.002
YDL239C	-0.004	-0.001
YDL240W	-0.010	-0.006
YDL241W	-0.013	-0.000
YDL242W	0.000	0.001
YDL243C	-0.001	-0.002
YDR001C	-0.008	-0.009
YDR003W	-0.001	-0.002
YDR004W	-0.011	-0.014
YDR005C	-0.027	-0.019
YDR006C	0.003	0.006
YDR007W	0.019	0.013
YDR008C	-0.015	-0.011
YDR009W	0.003	0.002
YDR015C	-0.004	-0.006
YDR017C	0.003	-0.002
YDR018C	0.001	0.002
YDR019C	-0.013	-0.012
YDR020C	-0.002	-0.006
YDR022C	-0.021	-0.032
YDR024W	0.028	0.021
YDR026C	-0.000	-0.004
YDR027C	-0.030	-0.023
YDR028C	-0.042	-0.021
YDR029W	0.005	0.005
YDR030C	0.003	-0.002
YDR031W	0.001	-0.001
YDR032C	-0.001	0.006
YDR033W	0.001	-0.003
YDR035W	0.002	0.001
YDR036C	-0.001	0.000
YDR042C	-0.008	-0.007
YDR043C	-0.011	-0.004
YDR046C	-0.000	0.002
YDR048C	-0.025	-0.023
YDR050C	0.009	0.009
YDR051C	0.007	-0.003
YDR056C	0.003	-0.004
YDR057W	-0.003	0.007
YDR058C	-0.002	-0.004
YDR059C	-0.011	0.001
YDR061W	-0.010	0.001
YDR063W	0.000	-0.000
YDR066C	0.006	0.001
YDR068W	0.004	0.005
YDR070C	0.003	0.006
YDR072C	-0.002	-0.002
YDR073W	0.010	0.008
YDR074W	-0.006	-0.017
YDR075W	-0.010	-0.008
YDR076W	0.001	0.007
YDR077W	0.001	0.003
YDR078C	-0.002	0.000
YDR079W	0.006	-0.003
YDR083W	0.042	0.021
YDR084C	-0.005	0.002
YDR085C	-0.007	-0.005
YDR089W	0.004	-0.001
YDR090C	0.005	0.001
YDR092W	0.003	-0.000
YDR093W	0.007	0.006
YDR094W	0.003	0.003
YDR095C	0.001	0.001
YDR096W	0.011	0.011
YDR098C	-0.010	-0.009
YDR099W	0.008	0.009
YDR100W	0.005	0.006
YDR101C	0.013	0.001
YDR102C	0.003	0.008
YDR104C	0.002	-0.004
YDR105C	0.005	-0.000
YDR107C	-0.009	-0.000
YDR108W	-0.000	0.003
YDR109C	0.002	-0.000
YDR110W	-0.004	-0.009
YDR112W	0.002	-0.003
YDR116C	-0.026	-0.020
YDR117C	-0.005	-0.001
YDR119W	-0.000	-0.006
YDR120C	0.005	0.002
YDR122W	-0.017	-0.013
YDR126W	0.016	0.001
YDR128W	0.013	0.015
YDR129C	0.013	0.027
YDR130C	0.001	-0.000
YDR131C	-0.004	-0.003
YDR132C	-0.004	-0.005
YDR133C	-0.006	-0.002
YDR134C	0.004	-0.002
YDR135C	-0.002	0.000
YDR139C	0.002	-0.002
YDR140W	0.004	0.003
YDR142C	-0.003	-0.003
YDR143C	-0.004	0.005
YDR144C	0.001	0.002
YDR146C	0.001	0.002
YDR148C	0.015	-0.007
YDR149C	-0.016	-0.012
YDR150W	-0.002	-0.021
YDR151C	-0.008	-0.003
YDR152W	0.004	-0.004
YDR153C	0.002	0.000
YDR154C	0.007	0.009
YDR155C	0.007	0.012
YDR156W	0.017	0.009
YDR161W	0.003	0.008
YDR162C	-0.018	-0.011
YDR163W	-0.000	0.001
YDR165W	-0.009	-0.008
YDR169C	0.000	-0.009
YDR171W	0.005	-0.002
YDR173C	-0.015	-0.020
YDR174W	0.010	0.006
YDR175C	-0.025	-0.025
YDR176W	0.042	0.029
YDR178W	0.011	0.007
YDR179C	0.006	0.008
YDR184C	-0.004	-0.000
YDR185C	-0.008	-0.010
YDR186C	-0.021	-0.020
YDR191W	0.002	-0.003
YDR192C	0.008	-0.001
YDR193W	0.004	0.002
YDR194C	-0.026	-0.006
YDR198C	0.002	-0.004
YDR200C	0.003	-0.003
YDR202C	-0.025	-0.031
YDR203W	-0.026	-0.026
YDR204W	-0.023	-0.019
YDR205W	0.004	0.007
YDR206W	-0.007	0.002
YDR209C	-0.006	-0.005
YDR210W	-0.003	-0.005
YDR213W	-0.003	-0.007
YDR214W	0.006	0.000
YDR215C	0.006	-0.003
YDR216W	0.000	-0.000
YDR218C	-0.002	0.000
YDR219C	-0.011	-0.005
YDR220C	0.004	0.000
YDR221W	-0.004	0.001
YDR222W	-0.006	-0.001
YDR223W	0.003	0.000
YDR225W	-0.002	0.003
YDR229W	0.005	-0.002
YDR231C	0.002	0.000
YDR233C	-0.006	-0.013
YDR237W	0.015	-0.028
YDR239C	-0.003	0.000
YDR241W	0.008	-0.001
YDR242W	0.006	-0.003
YDR244W	-0.011	-0.022
YDR245W	-0.000	-0.004
YDR247W	0.002	0.004
YDR248C	0.002	-0.001
YDR249C	-0.000	0.004
YDR250C	-0.026	0.003
YDR251W	0.001	-0.000
YDR252W	0.002	0.003
YDR253C	0.008	0.004
YDR254W	-0.008	-0.007
YDR255C	-0.039	-0.033
YDR256C	-0.001	0.001
YDR257C	-0.006	-0.008
YDR258C	0.001	-0.003
YDR259C	0.006	-0.002
YDR260C	-0.004	0.000
YDR261C	-0.001	0.003
YDR262W	-0.003	0.000
YDR263C	-0.003	-0.002
YDR264C	0.008	-0.000
YDR265W	-0.022	-0.012
YDR266C	-0.005	-0.002
YDR269C	0.015	0.014
YDR270W	-0.045	0.017
YDR271C	0.000	0.003
YDR272W	0.004	0.005
YDR274C	-0.001	-0.003
YDR275W	-0.012	-0.006
YDR277C	0.000	-0.007
YDR278C	0.002	-0.004
YDR279W	-0.012	0.012
YDR281C	0.002	0.012
YDR282C	-0.000	0.003
YDR283C	-0.010	0.001
YDR284C	0.003	0.000
YDR285W	-0.007	0.010
YDR287W	-0.001	-0.000
YDR289C	0.002	-0.020
YDR290W	-0.013	-0.006
YDR291W	0.000	0.004
YDR293C	0.019	0.021
YDR294C	0.002	-0.003
YDR295C	0.014	0.024
YDR296W	-0.004	-0.007
YDR297W	0.019	0.004
YDR304C	-0.012	-0.004
YDR305C	0.016	0.007
YDR307W	-0.000	-0.003
YDR309C	-0.012	-0.008
YDR310C	0.010	0.001
YDR312W	-0.007	-0.006
YDR313C	-0.013	-0.002
YDR314C	0.006	-0.000
YDR316W	-0.011	-0.000
YDR317W	0.001	0.000
YDR318W	-0.004	-0.003
YDR319C	0.006	0.009
YDR321W	-0.004	-0.007
YDR326C	0.007	0.008
YDR329C	-0.009	-0.013
YDR330W	-0.010	-0.002
YDR333C	-0.001	-0.001
YDR334W	0.018	0.006
YDR335W	-0.016	-0.006
YDR337W	-0.007	-0.003
YDR338C	-0.009	-0.006
YDR340W	-0.012	-0.005
YDR344C	-0.006	0.001
YDR345C	-0.004	-0.006
YDR347W	-0.011	-0.009
YDR349C	-0.002	0.008
YDR350C	0.005	-0.004
YDR351W	0.004	-0.000
YDR354W	0.002	0.006
YDR357C	-0.000	0.006
YDR358W	0.001	-0.002
YDR359C	-0.003	-0.007
YDR360W	0.000	-0.011
YDR363W-A	-0.007	0.004
YDR368W	0.007	0.004
YDR369C	0.013	0.013
YDR370C	0.002	0.007
YDR371W	0.004	0.001
YDR372C	0.004	0.011
YDR374C	-0.008	0.004
YDR375C	-0.000	0.001
YDR379W	-0.009	-0.001
YDR380W	-0.011	-0.007
YDR383C	0.002	0.002
YDR384C	0.004	0.003
YDR385W	-0.007	-0.004
YDR386W	0.002	-0.002
YDR387C	-0.005	0.001
YDR388W	0.005	0.000
YDR391C	-0.014	0.001
YDR395W	0.013	0.001
YDR399W	-0.008	-0.004
YDR400W	0.001	0.004
YDR401W	0.004	0.007
YDR402C	0.004	0.002
YDR403W	0.003	-0.000
YDR406W	0.002	0.007
YDR409W	-0.001	-0.000
YDR411C	-0.003	-0.006
YDR414C	0.009	0.008
YDR415C	-0.002	-0.004
YDR417C	0.005	0.006
YDR419W	0.002	-0.003
YDR420W	0.008	0.004
YDR421W	0.008	0.008
YDR422C	-0.013	-0.008
YDR423C	0.005	0.003
YDR424C	-0.002	-0.005
YDR425W	0.016	0.005
YDR428C	-0.002	0.005
YDR430C	-0.002	0.005
YDR431W	-0.000	-0.009
YDR433W	0.003	-0.000
YDR435C	-0.011	-0.020
YDR436W	0.004	-0.007
YDR444W	0.000	0.007
YDR445C	0.002	-0.003
YDR446W	0.006	0.006
YDR447C	0.017	0.014
YDR450W	0.020	0.001
YDR459C	0.002	-0.006
YDR463W	-0.007	0.031
YDR465C	0.003	-0.002
YDR466W	0.002	-0.003
YDR477W	-0.015	-0.014
YDR479C	-0.003	-0.002
YDR480W	0.005	0.005
YDR481C	0.002	0.004
YDR482C	-0.005	0.008
YDR483W	0.009	0.017
YDR488C	-0.004	-0.007
YDR493W	-0.005	-0.001
YDR494W	-0.006	0.000
YDR496C	-0.003	-0.007
YDR497C	0.007	-0.004
YDR500C	0.009	-0.007
YDR502C	0.010	0.008
YDR504C	0.002	0.008
YDR506C	-0.005	0.005
YDR509W	0.004	0.005
YDR511W	0.006	-0.007
YDR512C	-0.016	-0.007
YDR513W	-0.002	0.019
YDR514C	-0.007	-0.010
YDR523C	-0.000	0.003
YDR525W	-0.007	-0.001
YDR525W-A	-0.015	-0.022
YDR528W	0.003	-0.004
YDR529C	-0.020	-0.007
YDR530C	0.002	-0.012
YDR535C	-0.000	0.002
YDR536W	-0.003	0.001
YDR538W	0.000	-0.005
YDR539W	-0.006	0.000
YDR540C	-0.003	-0.004
YDR541C	0.002	-0.003
YEL001C	-0.000	0.002
YEL003W	-0.003	0.003
YEL006W	-0.002	-0.005
YEL008W	0.002	0.000
YEL011W	-0.024	-0.040
