orf	hom | growth (culture turbidity) | Chloroquine diphosphate [2.9 mM] | YPD | Islahudin F~Avery SV, 2013
YCR043C	1.127082272495817
YCR045C	0.9370830221813735
YCR046C	1.1176237314074744
YCR048W	1.6354820030676338
YCR049C	0.9209020405089977
YCR050C	1.0858657142034163
YCR051W	1.0761105846942758
YCR053W	1.156679813228161
YCR059C	1.2126169483003213
YCR060W	1.5067358003646094
YCR061W	0.9494862430606865
YCR063W	1.2684958103413038
YCR065W	1.1874864812559054
YCR066W	0.968151106956189
YCR067C	1.1454479820951557
YCR068W	1.2330467085010657
YCR069W	0.9773002213452934
YCR073C	1.1314056393475986
YCR073W-A	0.9533583158980825
YCR075C	1.523960881207501
YCR075W-A	0.7958676681093029
YCR076C	1.099806102663537
YCR077C	1.0302612890586738
YCR079W	1.1077047576031316
YCR082W	0.7917447109553967
YCR083W	1.1179337231968811
YCR085W	0.7867869078330206
YCR086W	0.6241226978596316
YCR087C-A	0.9766270469499827
YCR087W	1.0402044964327195
YCR088W	1.0149833696819976
YCR089W	0.804196391589838
YCR090C	1.0568860072275374
YCR091W	1.3349459538534423
YCR092C	0.7802181059950213
YCR094W	0.9350370604370659
YCR095C	0.9182218341882207
YCR098C	1.1819145566063194
YCR099C	0.8943559634526169
YCR100C	1.0038997616224599
YCR101C	1.1071388275471905
YCR102C	0.7443769207918535
YCR102W-A	1.0060286661077176
YCR105W	0.9722161079548269
YCR106W	1.0217177593989655
YCR107W	0.7442186485570321
YDL001W	0.9319989526674601
YDL002C	1.091070633380137
YDL006W	0.8412438509706219
YDL009C	1.177812838907485
YDL010W	0.9212653835329302
YDL011C	1.1857684466689333
YDL012C	0.9305372152694494
YDL013W	1.101418027574023
YDL018C	0.9430659224283109
YDL019C	1.1234804566205894
YDL020C	0.9463708991338275
YDL021W	0.715880358181552
YDL022W	0.8379573496260252
YDL023C	0.8500396058585378
YDL024C	1.331965161453016
YDL025C	1.0377690686955812
YDL026W	1.0853375857170557
YDL027C	1.0023543749826884
YDL032W	1.0389540624900682
YDL033C	1.292534868671201
YDL034W	0.9066348900817028
YDL035C	0.9167170940059817
YDL036C	0.9831615621747398
YDL037C	1.1339754218976763
YDL039C	0.9322855723326522
YDL046W	1.0534823927692276
YDL048C	1.1094214424221374
YDL049C	1.1869505674286864
YDL050C	1.005170433521729
YDL051W	1.0846603440494087
YDL052C	1.0943041735079895
YDL053C	0.8888754502737078
YDL054C	1.0834078383287766
YDL057W	1.2247097936297773
YDL059C	1.0989170783030797
YDL061C	0.9664018227418575
YDL062W	0.9122393308271647
YDL063C	1.14659380859805
YDL065C	0.8300604322053565
YDL066W	1.2817149959006588
YDL069C	1.049494522912007
YDL070W	1.0101649252082625
YDL071C	1.091001381514508
YDL072C	1.0105130105633593
YDL076C	0.8652719066334852
YDL077C	0.8997447420544215
YDL078C	0.8208522712994363
YDL079C	0.9720576218757082
YDL080C	0.7967808923305663
YDL081C	1.267454155973742
YDL082W	1.1079964638253341
YDL085C-A	0.997258297723824
YDL085W	0.9955847815001628
YDL088C	0.9773083458977441
YDL089W	1.0234544398018535
