orf	hap a | clathrin-mediated endocytosis (Snc1) | standard [standard] | Burston HE~Conibear E, 2009	hap alpha | clathrin-mediated endocytosis (Snc1) | standard [standard] | Burston HE~Conibear E, 2009
YCR045C	0.973376228	0.742036825
YCR048W	0.631555944	0.751828189
YCR053W	0.607978827	0.982603443
YCR060W	0.473630536	0.936369577
YCR063W	0.569726786	0.616462302
YCR068W	0.865185596	0.817285516
YCR076C	0.864657847	0.736814158
YCR077C	1.011604478	0.780252363
YCR079W	0.966091369	0.963825789
YCR083W	0.95503108	0.969355044
YCR085W	1.01176649	0.965010111
YCR088W	0.319808664	0.42417233
YCR089W	0.795551671	0.942052724
YCR090C	0.908129808	1.064301432
YCR098C	0.865095416	1.121625277
YCR105W	1.063997356	0.740788487
YCR106W	0.910698919	0.857993029
YCR107W	1.032170599	0.959118982
YDL002C	0.26371892	0.561615083
YDL005C		0.666616101
YDL012C	0.869245338	0.891240356
YDL018C	0.913995727	0.785595301
YDL019C	1.00762432	0.986171536
YDL020C	0.973460567	0.867135414
YDL021W	0.794896076	1.149544507
YDL022W	0.907828283	0.955255627
YDL023C	0.700903264	0.728662545
YDL027C	1.128277972	0.869639078
YDL039C	0.932668027	0.880173671
YDL040C	0.977522211	1.01389587
YDL047W	0.70351418	0.789473684
YDL049C	1.013925311	0.975337871
YDL052C	0.967997281	1.003769031
YDL054C	0.935848873	0.936654923
YDL057W	1.009627525	0.949293778
YDL065C	1.083199786	0.906241935
YDL066W	1.061188811	0.895210363
YDL072C	0.886528895	0.805721846
YDL073W	0.222076535	1.054244676
YDL074C	1.003502757	0.991876853
YDL075W	0.611763266	0.655445565
YDL076C	0.430045649	1.110491931
YDL079C	1.018890831	0.96784179
YDL081C	0.298076923	0.334162029
YDL083C	0.928054584	1.017197334
YDL085W	0.975257382	0.91726042
YDL086W	0.837922495	0.987699906
YDL088C	0.940328768	1.01513576
YDL089W	0.927144037	1.068486673
YDL091C	0.872474747	0.895862928
YDL094C	0.880536131	1.11258468
YDL095W	0.722392191	1.126533906
YDL096C	0.684897382	0.761463535
YDL106C	0.939934969	0.903007793
YDL114W	0.952039062	
YDL115C	1.083333333	0.921679255
YDL117W	0.889369034	1.002231782
YDL123W	0.985248447	0.993997921
YDL124W	0.997710635	0.992041342
YDL125C	0.988719491	1.00464482
YDL127W	0.916937271	0.863059959
YDL128W	0.876591819	0.780869605
YDL130W	0.945862358	0.880765585
YDL130W-A	0.938771153	0.974104692
YDL131W	1.04880273	0.880436419
YDL133C-A	0.912195035	1.064885887
YDL135C	0.914158336	0.983867623
YDL136W	0.587839621	1.073692517
YDL144C	0.949477505	0.943098057
YDL146W		0.140765323
YDL149W	0.932813455	0.821360484
YDL160C		0.472114652
YDL161W	0.658401237	0.727640588
YDL162C	0.868771156	0.771035181
YDL167C	0.920279571	0.848509308
YDL168W	1.002238749	0.851814718
YDL171C	0.846082477	1.025480435
YDL176W	0.008052539	1.224857659
YDL184C	0.532262332	0.974380663
YDL186W	0.696594896	1.130549864
YDL188C	0.989774396	0.966815213
YDL189W	0.648857577	1.041720044
YDL190C	0.706026964	1.159856407
YDL194W	0.540330849	0.506689928
YDL197C	1.01130079	0.635651359
YDL203C	0.922192283	1.059094672
YDL204W	0.814310205	0.957988328
YDL206W		0.914921267
YDL210W	1.016193503	0.906240124
YDL214C	0.983795849	0.839056777
YDL231C	0.86326655	0.581985652
YDL232W	0.96422406	
YDL238C	0.853500371	0.858670738
YDL239C	0.902288303	0.802443879
YDL240W	1.04190528	0.949612821
YDL241W	1.033483965	0.851354528
YDL242W	1.045523148	0.769403514
YDL243C		0.470609215
YDR003W	1.021640057	0.807542787
YDR005C	0.831175772	0.756842229
YDR006C	0.528548041	0.600031827
YDR007W	0.97537553	0.85177595
YDR009W	0.936852249	0.802379444
YDR010C	0.860470096	0.694246725
YDR011W	0.970090958	0.568902478
YDR014W	1.249297156	0.664244285
YDR015C	1.012726718	0.693386662
YDR017C	1.044404893	0.652422427
YDR024W	0.468807513	1.251306173
YDR026C	0.902908614	0.993568923
YDR028C	0.8175642	0.686491936
YDR031W	1.067800486	0.816106415
YDR033W	0.988378871	0.970834224
YDR034C	0.927816206	
YDR035W	1.004177856	0.9223015
YDR042C	0.831113122	0.8355829
YDR043C	0.864741591	0.842574882
YDR046C	1.015033757	0.994270041
YDR048C	0.58519888	1.130630105
YDR050C	0.748666704	
YDR055W	1.097552383	0.903513037
YDR056C	0.99153799	0.987500715
YDR057W	0.781999449	0.866459233
YDR058C	0.964388535	0.846751042
YDR061W	0.912455404	1.049484495
YDR063W	0.751928148	0.901139925
YDR066C	1.084769043	0.922511926
YDR068W	0.906466229	0.935712124
YDR069C	0.847222222	
YDR071C	0.59965035	0.942989703
YDR072C	0.779338491	0.618796151
YDR073W	0.928643777	0.852775676
YDR074W	0.638694639	0.516898608
YDR077W	0.996930962	0.984102908
YDR078C	0.971548098	1.013402034
YDR080W	0.670017483	1.122972475
YDR083W	0.953596102	0.981631496
YDR084C	0.989256869	0.953569608
YDR096W	0.874784099	0.987591486
YDR099W	0.894211575	0.825538176
YDR102C	1.033999467	0.92634239
YDR112W	0.794671412	1.038203625
YDR120C	1.011321482	0.894546626
YDR122W	1.029740653	0.853148385
YDR127W	0.76341272	0.932995122
YDR129C	1.107200057	0.16996909
YDR135C	1.081706635	0.92597432
YDR142C	1.039893624	0.919663171
YDR143C	0.961383195	0.941935836
YDR151C	0.969936316	0.980267429
YDR152W	0.9722066	0.865003197
YDR159W	0.852690368	0.776068557
YDR171W	1.039697167	0.589835457
YDR173C	0.905279527	
YDR176W	0.697159232	1.14103788
YDR179C	0.954800053	0.896545558
YDR181C	0.792680939	0.827473134
YDR183W	1.048286838	0.861509684
YDR184C	0.98088072	0.755112593
YDR185C	1.090228491	0.751747684
YDR186C	0.958337627	0.831936894
YDR191W	1.134268169	0.830535089
YDR192C	0.92823334	0.655404947
YDR193W	0.954195531	0.819280448
YDR198C	1.045023279	0.799457032
YDR203W	1.145493883	0.600096944
YDR206W	1.097751518	0.859520176
YDR207C	0.048167939	0.099786669
YDR209C	0.955589824	0.604906106
YDR210W	1.119776075	0.711305884
YDR217C	0.714195517	1.038214611
YDR218C	1.010397709	0.954371897
YDR219C	0.965203461	0.869743884
YDR220C	1.089768553	0.899766056
YDR221W	0.787498609	0.653363779
YDR225W	0.810757827	0.560948856
YDR226W		0.507246377
YDR231C	0.699122353	1.14314365
YDR233C	0.537792262	0.84042479
YDR234W	0.732577653	
YDR239C	0.955416578	0.809833326
YDR241W	0.846380271	0.746869788
YDR244W	0.920106894	0.965913598
YDR245W	0.750320955	0.946697622
YDR247W	0.835699716	0.844795007
YDR248C	0.94450989	1.013032135
YDR249C	0.734362093	1.002307785
YDR250C	0.703819808	1.041045236
YDR251W	0.992889216	0.836116801
YDR252W	1.00171066	0.882211494
YDR253C	0.973383144	0.886088429
YDR257C	0.795156523	0.927586745
YDR258C	1.027389834	0.953514198
YDR261C	0.848892525	0.969701617
YDR262W	0.87559555	0.905184854
YDR263C	0.785845695	1.068795397
YDR264C	0.865001636	
YDR265W	0.664047593	0.87553838
YDR269C	0.83628345	0.958268866
YDR270W	0.814721677	0.972188713
YDR271C	0.713521397	1.121149527
YDR272W	0.789684773	1.034188981
YDR273W	0.683761271	1.01100994
YDR276C	0.06875	0.348047292
YDR283C	0.843878318	0.986081172
YDR285W	0.962162958	1.029388575
YDR289C	0.832762326	0.79155815
YDR290W	0.878316245	0.824429203
YDR293C	0.805764253	0.720841926
YDR295C	0.842424375	1.047909138
YDR297W	0.949275196	0.924765801
YDR307W	0.955280868	0.975050953
YDR310C	1.010167248	0.914769796
YDR312W	1.031396524	0.879647538
YDR313C	0.83355112	0.870446948
YDR315C	0.695624637	0.931706788
YDR320C	0.874678501	1.101538626
YDR321W	0.888503854	1.028929825
YDR323C	0.730042539	0.981442541
YDR326C	1.047473936	0.807878341
YDR329C	0.979944008	0.528979146
YDR330W	0.939489347	0.726186776
YDR333C	0.978122273	0.881888832
YDR335W		0.699607755
YDR336W	1.119613693	0.841302762
YDR340W	0.996199193	0.917093081
YDR344C	0.901029901	0.878051938
YDR345C	1.060401681	0.911967717
YDR346C	0.614058152	0.702349786
YDR348C	0.826042922	0.966808307
YDR360W	0.852627652	0.771219064
YDR363W-A	0.903464064	0.924963774
YDR364C	0.294006428	
YDR368W	0.464866903	0.969547819
YDR369C	0.730194527	1.067910342
YDR370C	0.921727508	0.923736695
YDR371W	0.867505477	0.957979572
YDR372C	0.63666036	0.973994468
YDR374C	0.946157745	1.009699369
YDR377W	1.051362475	0.704770621
YDR378C	0.43584296	1.385027867
YDR379W	0.789143624	0.909860381
YDR380W	0.998162838	0.869073086
YDR382W	0.619757682	1.016006309
YDR388W	0.134170099	
YDR392W	0.628138287	1.264962068
YDR399W	1.039323233	0.866545858
YDR403W	1.051873408	0.947286304
YDR405W	0.939284406	
YDR406W	1.015155407	0.933920265
YDR408C	0.92231061	0.919021194
YDR414C	0.75423377	0.666545263
YDR420W	0.970390169	1.017490191
YDR421W	0.800136211	0.947696839
YDR422C	0.915995638	0.961987485
YDR424C	0.305178513	1.138657183
YDR428C	1.080871022	0.92456368
YDR435C	0.873330253	1.043227517
YDR436W	0.955939627	1.011673583
YDR439W	0.937439297	0.963798383
YDR440W		0.800414331
YDR442W	0.257260101	
YDR443C	0.52020202	1.225297083
YDR444W	0.984842359	0.661273023
YDR445C	0.897104674	0.947951735
YDR448W	0.57488345	0.637587642
YDR453C	0.939296815	0.976213803
YDR455C	0.435241842	0.969242588
YDR458C	0.889908702	1.017060892
YDR459C	0.89481352	0.949451913
YDR461W		0.81964598
YDR466W	0.790683275	0.827886032
YDR467C	0.831803613	1.046155682
YDR469W	0.898067211	1.031170297
YDR470C	0.710640054	1.002404819
YDR475C	0.987483003	0.969990135
YDR477W	0.789222156	
YDR479C	0.814831002	0.9263457
YDR480W	0.932959402	0.988228286
YDR482C	0.909236597	0.906618104
YDR483W	0.993143524	0.964856885
YDR484W	0.908313909	0.991736
YDR486C	0.78392094	1.049403673
YDR488C	1.027146465	0.979210141
YDR490C	1.016559829	0.924974542
YDR497C	0.96493784	0.844765959
YDR500C		0.97937845
YDR502C	1.148146388	0.845568946
YDR507C		0.845359064
YDR509W	0.945367133	1.004197446
YDR518W	0.896792444	0.998878797
YDR521W	0.902823852	0.864876848
YDR524C	0.875777001	0.924214076
YDR525W	0.668427059	0.932332851
YDR532C	1.22197941	0.086614173
YDR533C	1.067283411	0.869795957
YDR535C	0.898598187	0.963029287
YDR536W	0.978753648	
YDR537C	1.131987195	0.784824131
YDR538W	1.01266603	0.944928599
YDR539W	0.957218384	0.793787551
YDR540C	0.952638238	0.920514357
YEL003W	0.931656505	0.908318209
YEL007W	0.821346489	
YEL008W	0.815052501	1.004166856
YEL009C	0.724013659	1.002291944
YEL010W	1.085218702	0.918480359
YEL011W	0.830788157	1.015119769
YEL013W	0.380923106	0.513882655
YEL014C	1.047232846	0.697830868
YEL015W	0.995330543	0.668585729
YEL016C	1.026455442	0.832457345
YEL017C-A	1.068118002	0.794727081
YEL017W	1.037455031	0.858493154
YEL018W		0.849668331
YEL020C	1.136563264	0.856767953
YEL023C	0.9595111	0.747922599
YEL025C	1.004040838	0.728621892
YEL028W	1.005632434	1.001102693
YEL030W	0.959098218	1.040371984
YEL031W	0.153050966	0.379593983
YEL036C		0.617418477
YEL037C	0.975847864	0.898071702
YEL040W	0.894458828	0.936563532
YEL041W	0.813338756	0.997823531
YEL042W	0.750698734	0.875787044
YEL045C		0.728782895
YEL046C	0.8753387	1.111135309
YEL047C	0.952039529	0.9211282
YEL054C	0.427006012	1.126018242
YEL056W	0.686128181	0.985728139
YEL057C	0.869400891	1.021724297
YEL059W	0.925221122	0.996592466
YEL060C	0.637920074	0.679085899
YEL062W	0.840890876	0.877784647
YEL063C	0.329234745	0.976775134
YEL064C	0.873948655	0.961734016
YEL065W	0.832612118	1.140912928
YEL066W	0.781926615	0.95812534
YEL067C	0.530137389	0.796207534
YEL068C	0.670294577	1.049593866
