ORF	hom | growth (culture turbidity) | pH [4.5] | Mollapour M~Piper PW, 2004	hom | growth (culture turbidity) | sorbic acid [2 mM], pH [4.5] | Mollapour M~Piper PW, 2004	hom | growth (culture turbidity) | sorbic acid [5 mM], pH [4.5] | Mollapour M~Piper PW, 2004
YGR262C	0.000	-1.000	0.000
YGR268C	0.000	0.000	1.000
YGR282C	0.000	-1.000	0.000
YGR283C	0.000	-1.000	0.000
YGR284C	0.000	-1.000	0.000
YGR285C	0.000	-1.000	0.000
YHL030W	0.000	0.000	1.000
YHR009C	0.000	0.000	1.000
YHR016C	0.000	0.000	1.000
YHR021C	0.000	-1.000	0.000
YHR025W	0.000	-1.000	0.000
YHR041C	0.000	-1.000	0.000
YHR059W	0.000	-1.000	0.000
YHR067W	0.000	-1.000	0.000
YHR162W	0.000	-1.000	0.000
YHR178C	0.000	-1.000	0.000
YHR183W	0.000	-1.000	0.000
YHR194W	0.000	-1.000	0.000
YIL017C	0.000	0.000	1.000
YIL029C	0.000	0.000	1.000
YIL041W	0.000	0.000	1.000
YIL053W	0.000	0.000	1.000
YIL077C	0.000	0.000	1.000
YIL110W	0.000	0.000	1.000
YIL122W	0.000	-1.000	0.000
YIL128W	0.000	-1.000	0.000
YIR018W	0.000	0.000	1.000
YJL029C	0.000	-1.000	0.000
YJL046W	0.000	-1.000	0.000
YJL057C	0.000	0.000	1.000
YJL075C	0.000	-1.000	0.000
YJL101C	0.000	-1.000	0.000
YJL121C	0.000	-1.000	0.000
YJL129C	0.000	-1.000	0.000
YJL140W	0.000	-1.000	0.000
YJL183W	0.000	-1.000	0.000
YJL184W	0.000	-1.000	0.000
YJL188C	0.000	-1.000	0.000
YJL189W	0.000	-1.000	0.000
YJR032W	0.000	-1.000	0.000
YJR090C	-1.000	-1.000	0.000
YJR102C	0.000	-1.000	0.000
YJR104C	0.000	-1.000	0.000
YJR107W	0.000	0.000	1.000
YJR118C	0.000	-1.000	0.000
YJR122W	0.000	-1.000	0.000
YJR145C	0.000	-1.000	0.000
YKL009W	0.000	-1.000	0.000
YKL011C	0.000	0.000	1.000
YKL024C	0.000	-1.000	0.000
YKL033C	0.000	-1.000	0.000
YKL041W	0.000	-1.000	0.000
YKL050C	0.000	-1.000	0.000
YKL054W	0.000	-1.000	0.000
YKL055C	0.000	-1.000	0.000
YKL057C	0.000	-1.000	0.000
YKL080W	0.000	-1.000	0.000
YKL085W	0.000	0.000	1.000
YKL113C	0.000	-1.000	0.000
YKL118W	0.000	-1.000	0.000
YKL119C	0.000	-1.000	0.000
YKL124W	0.000	-1.000	0.000
YKL134C	0.000	-1.000	0.000
YKL139W	0.000	-1.000	0.000
YKL162C	0.000	-1.000	0.000
YKL204W	0.000	-1.000	0.000
YKL211C	0.000	-1.000	0.000
YKL212W	0.000	-1.000	0.000
YKR001C	0.000	-1.000	0.000
YKR007W	0.000	-1.000	0.000
YKR014C	0.000	0.000	1.000
YKR082C	0.000	-1.000	0.000
YLL052C	0.000	0.000	1.000
YLR025W	0.000	-1.000	0.000
YLR027C	0.000	-1.000	0.000
YLR056W	0.000	-1.000	0.000
YLR061W	0.000	0.000	1.000
YLR062C	0.000	0.000	1.000
YLR072W	0.000	0.000	1.000
YLR118C	-1.000	0.000	0.000
YLR181C	0.000	0.000	1.000
YLR207W	0.000	0.000	1.000
YLR211C	0.000	0.000	1.000
YLR226W	0.000	-1.000	0.000
YLR235C	0.000	-1.000	0.000
YLR240W	-1.000	-1.000	0.000
YLR242C	0.000	-1.000	0.000
YLR244C	-1.000	0.000	0.000
YLR322W	0.000	-1.000	0.000
YLR337C	0.000	-1.000	0.000
YLR338W	0.000	-1.000	0.000
YLR342W	0.000	-1.000	0.000
YLR357W	0.000	-1.000	0.000
YLR370C	0.000	-1.000	0.000
YLR417W	0.000	-1.000	0.000
YLR423C	0.000	-1.000	0.000
YLR426W	0.000	-1.000	0.000
YLR428C	0.000	-1.000	0.000
YLR431C	0.000	-1.000	0.000
YLR435W	0.000	-1.000	0.000
YLR443W	0.000	0.000	1.000
YLR444C	0.000	0.000	1.000
YML003C	0.000	-1.000	0.000
YML008C	0.000	-1.000	0.000
YML009C	0.000	-1.000	0.000
YML029W	0.000	0.000	1.000
YML048W	0.000	-1.000	0.000
YML063W	0.000	0.000	1.000
YML076C	0.000	-1.000	0.000
YML094W	0.000	-1.000	0.000
YML112W	0.000	-1.000	0.000
YML121W	0.000	-1.000	0.000
YMR091C	0.000	-1.000	0.000
YMR183C	0.000	-1.000	0.000
YMR202W	0.000	-1.000	0.000
YMR205C	0.000	-1.000	0.000
YMR228W	0.000	-1.000	0.000
YMR279C	0.000	-1.000	0.000
YMR307W	0.000	-1.000	0.000
YMR319C	0.000	-1.000	0.000
YNL025C	-1.000	0.000	0.000
YNL055C	0.000	-1.000	0.000
YNL064C	0.000	-1.000	0.000
YNL079C	0.000	-1.000	0.000
YNL081C	0.000	-1.000	0.000
YNL128W	0.000	-1.000	0.000
YNL133C	0.000	-1.000	0.000
YNL139C	0.000	-1.000	0.000
YNL195C	0.000	-1.000	0.000
YNL217W	0.000	-1.000	0.000
YNL230W	0.000	-1.000	0.000
YNL236W	0.000	-1.000	0.000
YNL280C	0.000	-1.000	0.000
YNL288W	0.000	0.000	1.000
YNL291C	0.000	0.000	1.000
YNL296W	0.000	-1.000	0.000
YNL297C	0.000	-1.000	0.000
YNR032W	0.000	0.000	1.000
YNR036C	0.000	-1.000	0.000
YNR052C	0.000	-1.000	0.000
YNR063W	0.000	0.000	1.000
YOL013W	0.000	-1.000	0.000
YOL049W	0.000	-1.000	0.000
YOL051W	-1.000	-1.000	0.000
YOL072W	0.000	-1.000	0.000
YOL076W	0.000	-1.000	0.000
YOL148C	0.000	-1.000	0.000
YOR014W	-1.000	0.000	0.000
YOR026C	0.000	-1.000	0.000
YOR027W	-1.000	0.000	0.000
YOR036W	0.000	-1.000	0.000
YOR038C	-1.000	0.000	0.000
YOR043W	0.000	0.000	1.000
YOR140W	-1.000	0.000	0.000
YOR332W	0.000	-1.000	0.000
YPL002C	0.000	-1.000	0.000
YPL024W	0.000	-1.000	0.000
YPL031C	0.000	-1.000	0.000
YPL042C	-1.000	0.000	0.000
YPL045W	0.000	-1.000	0.000
YPL058C	0.000	-1.000	0.000
YPL059W	0.000	-1.000	0.000
YPL065W	0.000	-1.000	0.000
YPL071C	0.000	0.000	1.000
YPL090C	0.000	-1.000	0.000
YPL121C	0.000	-1.000	0.000
YPL203W	0.000	0.000	1.000
YPL254W	0.000	-1.000	0.000
YPL266W	0.000	-1.000	0.000
YPR036W	0.000	-1.000	0.000
YPR060C	0.000	-1.000	0.000
YPR072W	0.000	-1.000	0.000
YPR120C	0.000	0.000	1.000
YPR139C	0.000	-1.000	0.000
YPR159W	0.000	-1.000	0.000
