ORF	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [15 generations] | North M~Vulpe CD, 2016
YGR143W	1.700	1.800	3.300	0.000	0.000	0.000
YCR082W	1.700	1.600	2.200	0.000	0.000	0.000
YLR044C	1.900	2.000	2.400	0.000	0.000	0.000
YGR041W	2.000	2.000	0.000	0.000	0.000	1.300
YCL046W	2.100	2.300	0.000	1.600	0.000	0.000
YJL108C	2.400	2.500	2.600	0.000	0.000	0.000
YDR458C	3.000	3.100	0.000	0.000	1.900	0.000
YIL090W	3.000	3.000	2.900	0.000	0.000	0.000
YCR073W-A	3.300	3.400	2.150	0.000	0.000	0.000
YMR304W	3.700	4.000	0.000	1.900	0.000	0.000
YJR088C	3.900	4.200	2.100	0.000	0.000	0.000
YBR286W	0.000	1.000	0.000	1.200	1.100	0.000
YOR364W	2.300	2.200	2.300	0.000	0.000	0.000
YIL152W	0.000	0.000	3.300	1.300	0.000	1.300
YEL043W	-2.400	-1.600	0.000	-1.600	0.000	0.000
YOR052C	1.100	1.300	0.000	-1.200	0.000	0.000
YCR050C	1.200	0.000	0.000	2.100	1.900	0.000
YOR231W	1.200	1.100	0.000	0.000	1.300	0.000
YNL085W	1.500	1.700	0.000	1.800	0.000	0.000
YOR106W	2.000	2.500	1.400	0.000	0.000	0.000
YPL178W	2.000	2.400	1.900	0.000	0.000	0.000
YLR402W	2.100	2.100	2.000	0.000	0.000	0.000
YHR182W	2.300	2.200	1.600	0.000	0.000	0.000
YMR294W-A	2.500	2.700	0.000	1.800	0.000	0.000
YJR130C	2.500	2.600	0.000	1.800	0.000	0.000
YFR018C	2.600	2.900	0.000	2.400	0.000	0.000
YLL009C	2.600	2.600	1.900	0.000	0.000	0.000
YBR175W	3.000	3.400	2.600	0.000	0.000	0.000
YHR037W	3.100	3.000	0.000	1.900	0.000	0.000
YOR201C	3.500	3.600	1.700	0.000	0.000	0.000
YPL182C	0.000	1.100	0.000	0.000	1.400	1.600
YGR035C	0.000	1.300	0.000	1.800	1.700	0.000
YIL114C	0.000	0.000	2.900	-1.000	0.000	-1.000
YLR369W	0.000	0.000	0.000	-2.350	-2.200	-2.400
YDR457W	0.000	0.000	0.000	-2.300	-2.350	-1.700
YER156C	0.000	0.000	0.000	-1.700	-1.800	-1.500
YIL119C	0.000	0.000	0.000	-1.600	-1.700	-1.500
YLR126C	0.000	0.000	0.000	-1.400	-1.500	-1.600
YKL101W	0.000	0.000	0.000	-1.400	-1.200	-1.600
YGR089W	0.000	0.000	0.000	-1.300	-1.200	-1.500
YDL218W	0.000	0.000	0.000	-1.200	-1.200	-1.200
YDL211C	0.000	0.000	0.000	-1.200	-1.100	-1.200
YPR079W	0.000	0.000	0.000	-1.200	-1.200	-1.200
YAL027W	0.000	0.000	0.000	-1.100	-1.100	-1.000
YJL103C	0.000	0.000	0.000	1.100	1.100	1.200
YKR040C	0.000	0.000	0.000	1.200	1.200	1.300
YOR275C	0.000	0.000	0.000	1.300	1.600	1.300
YKR099W	0.000	0.000	0.000	1.400	1.400	1.500
YOR355W	0.000	0.000	0.000	1.400	1.500	1.700
YMR244W	0.000	0.000	0.000	1.400	1.400	1.400
YLR294C	0.000	0.000	0.000	1.500	1.500	1.600
YER088C	0.000	0.000	0.000	1.600	1.500	1.600
YDR540C	0.000	0.000	0.000	-1.500	-1.800	-2.400
YDL198C	0.000	0.000	0.000	-2.600	-2.000	-1.900
YCR028C	0.000	0.000	0.000	-2.100	-2.500	-2.400
YMR153W	0.000	0.000	0.000	-1.700	-1.700	-1.600
YOR173W	0.000	0.000	0.000	-1.500	-1.400	-1.400
YCL050C	0.000	0.000	0.000	-1.400	-1.400	-1.100
YHR022C	0.000	0.000	0.000	-1.400	-1.400	-1.600
YJL133W	0.000	0.000	0.000	-1.400	-1.400	-1.400
YEL065W	0.000	0.000	0.000	-1.300	-1.200	-1.100
YMR110C	0.000	0.000	0.000	1.100	1.200	1.000
YHR079C	0.000	0.000	0.000	1.200	1.200	1.200
YJR038C	0.000	0.000	0.000	1.200	1.300	1.100
YLR437C	0.000	0.000	0.000	1.400	1.400	1.200
YFR016C	0.000	0.000	0.000	1.400	1.400	1.500
YLR326W	0.000	0.000	0.000	1.500	1.500	1.400
YDR220C	0.000	0.000	0.000	1.500	1.500	1.400
YGL063W	0.000	0.000	0.000	1.500	1.600	1.500
YPL015C	0.000	0.000	0.000	1.600	1.500	1.500
YDR124W	0.000	0.000	0.000	1.600	1.700	1.600
YBR129C	0.000	0.000	0.000	1.700	1.500	1.400
YCR102C	0.000	0.000	0.000	1.700	1.400	1.500
YDR400W	0.000	0.000	0.000	1.700	1.700	1.900
YFR026C	0.000	0.000	0.000	1.700	1.600	1.900
YGR049W	0.000	0.000	0.000	1.700	1.800	1.700
YGR058W	0.000	0.000	0.000	1.800	1.800	1.800
YKL147C	0.000	0.000	0.000	1.800	1.700	1.500
YHR079C-A	0.000	0.000	0.000	1.900	1.900	1.900
YPR012W	0.000	0.000	0.000	2.000	2.100	1.900
YBR006W	0.000	0.000	0.000	2.000	1.900	1.500
YLR178C	0.000	0.000	0.000	2.000	1.900	1.900
YKR061W	0.000	0.000	0.000	2.000	1.900	1.900
YGR295C	0.000	0.000	0.000	2.000	1.900	1.800
YLR036C	0.000	0.000	0.000	2.000	1.700	1.900
YNL108C	0.000	0.000	0.000	2.000	1.900	1.900
YDL070W	0.000	0.000	0.000	2.100	2.100	2.200
YLR341W	0.000	0.000	0.000	2.100	1.900	1.900
YMR319C	0.000	0.000	0.000	2.200	2.300	2.100
YHR151C	0.000	0.000	0.000	2.200	2.100	2.200
YHR153C	0.000	0.000	0.000	2.200	2.200	2.400
YLR188W	0.000	0.000	0.000	2.200	2.200	2.000
YBR074W	0.000	0.000	0.000	2.300	2.300	2.300
YPR140W	0.000	0.000	0.000	2.400	2.300	2.300
YBR149W	0.000	0.000	0.000	2.400	2.600	2.400
YLR349W	0.000	0.000	0.000	2.500	2.100	2.100
YMR284W	0.000	0.000	0.000	2.500	2.400	1.900
YMR299C	0.000	0.000	0.000	2.500	2.400	2.300
YCL005W	0.000	0.000	0.000	2.500	2.700	2.900
YBL010C	0.000	0.000	0.000	2.600	2.500	2.400
YGR242W	0.000	0.000	0.000	2.700	2.400	2.600
YCR101C	0.000	0.000	0.000	2.800	2.700	2.500
YIR017C	0.000	0.000	0.000	2.800	2.500	2.300
YDR384C	0.000	0.000	0.000	2.900	2.900	3.200
YMR204C	0.000	0.000	0.000	2.900	2.800	2.900
YIL009C-A	0.000	0.000	0.000	3.300	2.900	3.200
YOR092W	0.000	0.000	0.000	3.400	3.200	3.300
YHR029C	0.000	0.000	0.000	3.400	3.200	3.300
YLR203C	0.000	0.000	0.000	3.500	3.300	3.400
YMR119W-A	0.000	0.000	0.000	3.600	3.600	3.500
YNL047C	0.000	0.000	0.000	4.300	4.300	4.100
YBR138C	0.000	0.000	0.000	4.700	4.500	4.500
YNL323W	-3.100	-3.100	0.000	0.000	0.000	0.000
YNL285W	-2.000	0.000	0.000	0.000	-1.500	0.000
YKR072C	-1.800	-1.600	0.000	0.000	0.000	0.000
YMR073C	-1.700	-1.900	0.000	0.000	0.000	0.000
YOR191W	-1.600	-1.400	0.000	0.000	0.000	0.000
YPL103C	-1.500	-1.200	0.000	0.000	0.000	0.000
YBL007C	-1.500	-2.100	0.000	0.000	0.000	0.000
YMR158W-B	-1.400	-1.400	0.000	0.000	0.000	0.000
YBL100C	-1.300	-1.400	0.000	0.000	0.000	0.000
YLR288C	-1.300	-1.300	0.000	0.000	0.000	0.000
YOR099W	-1.200	-1.400	0.000	0.000	0.000	0.000
YDR480W	-1.200	-1.300	0.000	0.000	0.000	0.000
YER122C	-1.200	-1.300	0.000	0.000	0.000	0.000
YNL179C	-1.200	-1.200	0.000	0.000	0.000	0.000
YOL160W	1.000	0.000	0.000	0.000	0.000	1.400
YMR326C	1.100	1.000	0.000	0.000	0.000	0.000
YMR199W	1.100	1.100	0.000	0.000	0.000	0.000
YLR448W	1.200	1.300	0.000	0.000	0.000	0.000
YML106W	1.200	1.300	0.000	0.000	0.000	0.000
YHL041W	1.200	0.000	0.000	-1.100	0.000	0.000
YJR052W	1.200	1.200	0.000	0.000	0.000	0.000
YNL004W	1.400	1.500	0.000	0.000	0.000	0.000
YIL113W	1.400	1.500	0.000	0.000	0.000	0.000
YBR298C	1.500	1.500	0.000	0.000	0.000	0.000
YDR409W	1.500	1.500	0.000	0.000	0.000	0.000
YGL175C	1.500	1.400	0.000	0.000	0.000	0.000
YBR057C	1.500	1.500	0.000	0.000	0.000	0.000
YML122C	1.500	1.600	0.000	0.000	0.000	0.000
YCR001W	1.500	1.600	0.000	0.000	0.000	0.000
YGR166W	1.600	1.600	0.000	0.000	0.000	0.000
YMR044W	1.600	1.700	0.000	0.000	0.000	0.000
YPL197C	1.600	1.600	0.000	0.000	0.000	0.000
YLR073C	1.600	2.000	0.000	0.000	0.000	0.000
YOR138C	1.600	1.900	0.000	0.000	0.000	0.000
YLR121C	1.600	1.700	0.000	0.000	0.000	0.000
YMR286W	1.600	1.700	0.000	0.000	0.000	0.000
YOR033C	1.600	1.700	0.000	0.000	0.000	0.000
YOR366W	1.600	1.700	0.000	0.000	0.000	0.000
YHR048W	1.600	1.800	0.000	0.000	0.000	0.000
YDR377W	1.700	1.800	0.000	0.000	0.000	0.000
YML073C	1.700	1.700	0.000	0.000	0.000	0.000
YOR292C	1.700	1.800	0.000	0.000	0.000	0.000
YDR441C	1.700	1.800	0.000	0.000	0.000	0.000
YGR282C	1.800	1.900	0.000	0.000	0.000	0.000
YDR520C	1.800	1.600	0.000	0.000	0.000	0.000
YLR093C	1.800	2.000	0.000	0.000	0.000	0.000
YDR422C	1.800	1.900	0.000	0.000	0.000	0.000
YOL013W-B	1.900	1.800	0.000	0.000	0.000	0.000
YDR025W	1.900	2.100	0.000	0.000	0.000	0.000
YJL131C	1.900	2.200	0.000	0.000	0.000	0.000
YER051W	2.000	2.100	0.000	0.000	0.000	0.000
YBR159W	2.000	2.200	0.000	0.000	0.000	0.000
YGL087C	2.000	1.900	0.000	0.000	0.000	0.000
YGL125W	2.100	2.500	0.000	0.000	0.000	0.000
YJR079W	2.100	2.400	0.000	0.000	0.000	0.000
YDR283C	2.200	2.300	0.000	0.000	0.000	0.000
YIL035C	2.300	2.300	0.000	0.000	0.000	0.000
YDR465C	2.300	2.400	0.000	0.000	0.000	0.000
YGL229C	2.400	2.800	0.000	0.000	0.000	0.000
YOR161C	2.600	2.400	0.000	0.000	0.000	0.000
YOR199W	2.700	2.900	0.000	0.000	0.000	0.000
YBR213W	2.800	2.800	0.000	0.000	0.000	0.000
YGL138C	2.800	3.000	0.000	0.000	0.000	0.000
YLR450W	2.900	3.000	0.000	0.000	0.000	0.000
YER002W	3.000	3.000	0.000	0.000	0.000	0.000
YJR044C	3.000	3.300	0.000	0.000	0.000	0.000
YIL139C	3.000	3.200	0.000	0.000	0.000	0.000
YGL226C-A	3.000	3.400	0.000	0.000	0.000	0.000
YCR006C	3.300	3.400	0.000	0.000	0.000	0.000
YBR241C	0.000	-1.400	0.000	-1.300	0.000	0.000
YBR053C	0.000	1.100	2.300	0.000	0.000	0.000
YHR202W	0.000	1.200	2.000	0.000	0.000	0.000
YDR354W	0.000	1.300	0.000	0.000	0.000	1.700
YPR200C	0.000	1.400	2.800	0.000	0.000	0.000
YJR070C	0.000	1.500	0.000	0.000	0.000	1.700
YNL187W	0.000	1.600	0.000	1.400	0.000	0.000
YHL011C	0.000	1.600	2.400	0.000	0.000	0.000
YNL105W	0.000	0.000	2.100	0.000	0.000	1.200
YLL006W	-1.700	-1.300	0.000	0.000	0.000	0.000
YOR054C	-1.600	-2.000	0.000	0.000	0.000	0.000
YDL226C	1.100	1.200	0.000	0.000	0.000	0.000
