108	YBR200W	BEM1	2.08E-05	2.70E-07
109	YPL084W	BRO1	2.08E-05	7.00E-09
110	YJL092W	HPR5	2.12E-05	1.83E-07
111	YGR180C	RNR4	3.22E-05	3.77E-06
112	YMR198W	CIK1	3.37E-05	2.06E-07
113	YJR105W	ADO1	4.00E-05	2.16E-07
114	YLR032W	RAD5	4.00E-05	1.60E-06
115	YPL090C	RPS6A	4.26E-05	1.73E-07
116	YOR096W	RPS7A	4.32E-05	1.60E-07
117	YNL064C	YDJ1	4.42E-05	9.02E-08
118	YAL010C	MDM10	4.52E-05	1.40E-07
119	YJL175W		4.85E-05	2.23E-07
120	YGL020C	MDM39	4.85E-05	1.34E-07
121	YHR193C	EGD2	5.12E-05	9.30E-09
122	YDR512C		5.17E-05	1.16E-07
123	YER037W	PHM8	5.60E-05	1.73E-07
124	YMR198W	CIK1	5.72E-05	1.90E-07
125	YMR116C	ASC1	5.76E-05	2.90E-08
126	YPR131C	NAT3	6.28E-05	2.97E-06
127	YLR436C	ECM30	6.45E-05	7.07E-08
128	YLR448W	RPL6B	6.51E-05	2.00E-07
129	YKL011C	CCE1	6.56E-05	1.10E-07
130	YHL025W	SNF6	6.67E-05	1.76E-07
131	YOR147W	MDM32	6.76E-05	8.90E-09
132	YNL241C	ZWF1	6.81E-05	2.26E-07
133	YBL094C		6.88E-05	1.70E-08
134	YJL127C	SPT10	6.88E-05	8.61E-08
135	YJL124C	LSM1	6.88E-05	1.61E-07
136	YCR037C	PHO87	7.08E-05	1.87E-07
137	YPL097W	MSY1	7.19E-05	2.30E-07
138	YDR123C	INO2	7.24E-05	1.63E-07
139	YPR126C		7.29E-05	1.26E-07
140	YNL136W		7.44E-05	1.82E-07
141	YLR027C	AAT2	7.46E-05	1.50E-07
142	YJL180C	ATP12	7.50E-05	8.53E-07
143	YHR060W	VMA22	7.63E-05	3.51E-07
144	YGR155W	CYS4	7.68E-05	2.68E-07
145	YKL139W	CTK1	7.71E-05	1.13E-07
146	YDR350C	TCM10	7.77E-05	2.60E-07
147	YOR065W	CYT1	8.00E-05	1.46E-07
148	YBR191W	RPL21A	8.05E-05	1.95E-07
149	YKL176C	LST4	8.10E-05	1.70E-07
150	YKL166C	TPK3	8.12E-05	2.50E-07
151	YCL074W		8.13E-05	2.29E-07
152	YHR183W	GND1	8.25E-05	7.70E-07
153	YLL002W	RTT109	8.28E-05	NaN
154	YLR451W	LEU3	8.55E-05	1.30E-07
155	YJR075W	HOC1	8.69E-05	1.05E-07
156	YGR272C		8.71E-05	7.52E-07
157	YNL107W	YAF9	8.72E-05	1.83E-07
158	YPR141C	KAR3	8.78E-05	1.04E-07
159	YDL156W		9.00E-05	8.28E-08
160	YER116C	SLX8	9.07E-05	4.50E-07
161	YHL011C	PRS3	9.07E-05	2.07E-07
162	YGL101W		9.14E-05	3.46E-07
163	YGR104C	SRB5	9.16E-05	4.91E-07
164	YMR190C	SGS1	9.26E-05	3.30E-07
165	YIL049W	DFG10	9.28E-05	1.78E-07
166	YJL115W	ASF1	9.33E-05	4.36E-07
167	YBR068C	BAP2	9.36E-05	1.49E-07
168	YOR022C		9.38E-05	1.00E-07
169	YMR304W	UBP15	9.52E-05	1.30E-07
170	YDR226W	ADK1	9.57E-05	1.01E-06
171	YJR056C		9.57E-05	1.68E-07
172	YNL021W	HDA1	9.58E-05	1.95E-07
173	YOR221C	MCT1	9.71E-05	7.00E-08
174	YML081C-A	ATP18	9.88E-05	1.88E-07
175	YGR224W	AZR1	9.95E-05	1.70E-07
176	YLR343W		1.00E-04	2.34E-07
177	YHR191C	CTF8	1.01E-04	3.76E-07
178	YEL050C	RML2	1.01E-04	6.48E-08
179	YMR088C		1.01E-04	1.66E-07
180	YGR055W	MUP1	1.03E-04	2.10E-07
181	YIL155C	GUT2	1.03E-04	1.22E-07
182	YKL130C	SHE2	1.03E-04	3.80E-07
183	YCL023C		1.03E-04	2.56E-07
184	YLL030C		1.04E-04	2.01E-07
185	YBR098W	MMS4	1.05E-04	1.89E-07
186	YAL054C	ACS1	1.05E-04	4.53E-07
187	YOR026W	BUB3	1.06E-04	1.30E-07
188	YOL159C		1.06E-04	1.33E-07
189	YDR004W	RAD57	1.07E-04	2.20E-06
190	YBR100W		1.08E-04	3.44E-07
191	YBR026C	ETR1	1.08E-04	1.02E-07
192	YDR028C	REG1	1.09E-04	4.84E-07
193	YNR052C	POP2	1.11E-04	1.49E-07
194	YBR077C		1.13E-04	2.72E-07
195	YGL105W	ARC1	1.15E-04	2.21E-07
196	YLL044W		1.16E-04	1.22E-07
197	YML112W	CTK3	1.16E-04	2.22E-07
198	YGL240W	DOC1	1.17E-04	4.14E-07
199	YNL056W		1.18E-04	2.11E-07
200	YOL023W	IFM1	1.18E-04	3.22E-07
201	YPR135W	CTF4	1.18E-04	3.96E-07
202	WT		1.20E-04	2.05E-07
203	YCR047C	BUD23	1.20E-04	2.50E-07
204	YOL148C	SPT20	1.20E-04	9.37E-07
205	YDR521W		1.22E-04	3.51E-07
206	YHR064C	SSZ1	1.24E-04	3.81E-07
207	YDL200C	MGT1	1.25E-04	1.92E-07
208	YDR048C		1.25E-04	2.52E-07
209	YDL201W	TRM8	1.25E-04	1.88E-07
210	YBR099C		1.26E-04	1.68E-07
211	YLR393W	ATP10	1.28E-04	3.11E-07
212	YDR364C	CDC40	1.28E-04	1.58E-06
