orf	hap a | actin aggregate (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin bright patches (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin decreased patch number (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin depolarized patches (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat aggregate (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat decreased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat depolarized patches (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat increased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome fragmented (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome membrane (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome condensed (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class E (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole enlarged (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole vATPase defect (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole fragmented (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class G (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole multilobed (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020
YOR041C	0.029850746268657	0.029850746268657	0.052238805970149	0.08955223880597	0.033557046979866	0.040268456375839	0.013422818791946	0.053691275167785	0.035714285714286	0.014285714285714	0.085714285714286	0.019178082191781	0.054794520547945	0.008219178082192	0.06027397260274	0.010958904109589	0.021917808219178
YOR042W	0.013667425968109	0.025056947608201	0.031890660592255	0.082004555808656	0.0343716433942	0.143931256713212	0.0171858216971	0.046186895810956	0.096938775510204	0.066326530612245	0.073979591836735	0.016842105263158	0.031578947368421	0.012631578947369	0.052631578947369	0.008421052631579	0.037894736842105
YOR043W	0.029411764705882	0.049019607843137	0.009803921568627	0.058823529411765	0.062200956937799	0.014354066985646	0.0	0.057416267942584	0.090909090909091	0.060606060606061	0.212121212121212	0.018518518518519	0.037037037037037	0.012345679012346	0.067901234567901	0.006172839506173	0.049382716049383
YOR044W	0.026490066225166	0.019867549668874	0.006622516556291	0.119205298013245	0.035502958579882	0.035502958579882	0.047337278106509	0.047337278106509	0.096774193548387	0.012903225806452	0.051612903225807	0.020289855072464	0.028985507246377	0.002898550724638	0.052173913043478	0.0	0.03768115942029
YOR045W	0.068702290076336	0.038167938931298	0.015267175572519	0.106870229007634	0.037433155080214	0.042780748663102	0.042780748663102	0.032085561497326	0.058823529411765	0.0	0.058823529411765	0.01980198019802	0.016501650165017	0.0	0.046204620462046	0.003300330033003	0.075907590759076
YOR047C	0.025252525252525	0.040404040404041	0.03030303030303	0.080808080808081	0.03960396039604	0.03960396039604	0.00990099009901	0.01980198019802	0.068965517241379	0.0	0.103448275862069	0.021276595744681	0.015957446808511	0.00531914893617	0.055851063829787	0.002659574468085	0.199468085106383
YOR049C	0.034749034749035	0.046332046332046	0.027027027027027	0.104247104247104	0.051282051282051	0.04029304029304	0.04029304029304	0.029304029304029	0.053763440860215	0.021505376344086	0.150537634408602	0.027027027027027	0.02027027027027	0.006756756756757	0.027027027027027	0.006756756756757	0.013513513513514
YOR050C	0.033333333333333	0.0375	0.041666666666667	0.120833333333333	0.035433070866142	0.02755905511811	0.031496062992126	0.02755905511811	0.135338345864662	0.057644110275689	0.045112781954887	0.032608695652174	0.027173913043478	0.0	0.043478260869565	0.0	0.032608695652174
YOR051C	0.010869565217391	0.010869565217391	0.054347826086957	0.076086956521739	0.019607843137255	0.049019607843137	0.0	0.009803921568627	0.048780487804878	0.024390243902439	0.154471544715447	0.063829787234043	0.05531914893617	0.008510638297872	0.034042553191489	0.0	0.195744680851064
YOR052C	0.013513513513514	0.013513513513514	0.054054054054054	0.054054054054054	0.050632911392405	0.012658227848101	0.0	0.025316455696203	0.067164179104478	0.044776119402985	0.126865671641791	0.026086956521739	0.046376811594203	0.008695652173913	0.031884057971015	0.0	0.026086956521739
