orf	hap a | actin aggregate (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin bright patches (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin decreased patch number (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin depolarized patches (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat aggregate (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat decreased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat depolarized patches (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat increased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome fragmented (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome membrane (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome condensed (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class E (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole enlarged (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole vATPase defect (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole fragmented (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class G (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole multilobed (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020
YAL015C	0.8571356173863721	0.39068097462063545	1.763343525010065	0.5944072197378598	-0.8015180891833048	3.3546135529094077	0.42444701774969146	-0.46670202604426547	0.2651860843478609	-0.08912074574847137	0.21398320006106697	1.09979692122317	1.761889897915432	-0.18651197182085663	-0.10565105774035725	0.19828051749989328	0.2773482979467712
YAL016W									-0.7391994405633753	2.055761835297499	0.4072909116964087						
YAL017W	-0.8230281447222112	-0.46881716954476366	0.4872396582264787	0.9235640983898074	-0.8015180891833048	3.4383770109623484	0.073194284123525	-0.46670202604426547	-0.9465103318261947	2.1284131043459715	0.17651532456399024	0.5061847652124328	0.5438663091356855	-0.16447189663620806	0.12962482448462648	0.25789550380732884	-0.3600133524562157
YAL018C	0.3707724230917739	0.14187888025696302	0.4872396582264787	0.07716069614195148	0.4465808591275531	0.6609570860493297	-0.10774709115890933	-0.1074642823128271				-0.21267158997065205	0.2986536394473545	-0.006214943137489781	-0.04849716193279573	0.6859560270515461	-0.17498636932134673
YAL019W	0.5528793159019263	-0.10158901912799569	0.4946070572735901	-0.2594780026132477	0.3324621840955065	0.3295048103008599	1.0739777116397946	0.23721676094667368	0.24480871324975506	0.015121754341217592	0.1191752670344499	-0.13408388632119098	-0.08015756184589433	-0.28968379358076835	-0.34030182668731535	1.1230586688960018	-0.22029355141400772
YAL020C	-0.8230281447222112	-0.46881716954476366	0.5976717236212076	1.2816578454946757	-0.8015180891833048	0.6609570860493297	-0.009997152787935474	-0.46670202604426547	0.16901970211182954	2.617079378302947	-0.23741549045129204	0.026110199494419246	0.034088467374169304	0.34166453222950754	0.6268683140886473	0.9176849936155024	0.69224180392279
YAL021C	1.871887988560847	-0.009283508307812546	0.8511187806360406	5.176531688892682	1.6416828474870786	0.138888077451054	1.39634067022663	4.431134493164535	-0.7600336694365514	4.109334895490983	-0.2360563146407953	0.6588392182057464	0.660857834749833	0.3767023466786527	0.5729925057489159	0.5782337395913688	1.5945726491889238
YAL022C	0.3501896546811864	0.9315720481040369	-0.47313851048223626	-0.2219991270663491	0.16460294858324365	-0.23232386193503762	-0.15336372906536083	0.9489607862900107	0.5959509496683539	0.851847875095377	-0.3723262746044241	0.5936202600155375	0.41410352400878087	-0.18247362118802118	0.007828939290305058	0.5645688853313215	-0.4376688414047838
YAL023C	1.1073727734451126	-0.46881716954476366	-0.6612538218787753	0.17620790278796553	-0.8015180891833048	0.36258283125867236	-0.4009969062718087	0.6253807148993159	0.44790221059632007	-0.608118029813134	0.8439787637761393	0.43004231690319	-0.17835912669224424	0.014077912093781203	0.17282591460591087	0.7408450542719984	0.46915421218632747
YAL024C	0.2174402400698132	0.702150485579651	0.3397267341762619	-0.1596769531108894	0.29912613105706826	0.6137459697849821	0.06919267070246161	-0.00590762058283027	1.0246204077536043	-0.3158671319903223	0.049924832593292064	-0.1432731367782853	-0.38362040660255264	-0.2102826010570803	-0.46061940286626035	-0.14616162561005178	0.18701431523034467
YAL026C	-0.2955348705718499	0.2057889319804173	0.48056237055143913	-0.1639658544984344	0.207583188174406	0.6113603016758805	-0.1639013110741307	0.40464058641071216				-0.36490930349541095	-0.24079569226622585	-0.17876067967861048	0.3985568280125726	-0.14616162561005178	1.22951730495764
YAL027W	-0.8230281447222112	0.6362518729536165	0.3778593267878799	0.33914270159961346	0.18656024489612127	1.8782826047264776	-0.4009969062718087	-0.46670202604426547	-0.07887586098550917	0.7854857885086376	0.5467534424387759	-0.1495820870684935	0.9454464783354155	-0.2113080666747656	0.09026453535118369	0.13121092527711947	-0.2671454030666841
YAL028W	-0.8230281447222112	0.6362518729536165	0.8974159011212075	-0.04375407560774008	0.3277142926217536	1.104966393773519	0.12964561631344618	-0.46670202604426547	0.44170482151889295	0.39527671937854203	0.26344079571719936	0.26222030460184287	1.2995865573941279	0.06277092568867379	-0.05291230684639385	0.3631952405646131	0.07870231629765845
YAL029C	0.0017795203129041053	-0.04688171695448061	0.5290030575030302	-0.02286879685097931	-0.8015180891833048	1.8548487801521447	0.30652645717519783	-0.033335859003158295	-0.23662758295654007	0.24704794961158832	0.06785848562248147	0.11279949042173992	0.19969174447196655	-0.02346576661260112	-0.2916543417528855	0.24656679924427655	-0.37808076331341334
YAL030W	1.5645729909058042	-0.46881716954476366	0.4872396582264787	-1.1924444072298488	1.9883501482173958	1.5019629512680854	-0.4009969062718087	-0.46670202604426547	-0.14561697412711108	0.3566846136403943	0.5331326421156177	0.5761507108316501	0.6230634670260621	0.3877623312703692	0.1361454191305819	-0.14616162561005178	0.07651860664175571
YAL031C	-0.26980349134497206	0.0971938034422065	-0.040320354992598006	-0.5387182022416627	0.3609270097336517	0.15107188757128948	-0.4009969062718087	1.0500795585996097	0.23962286881676473	0.3444719219511057	0.4207869017287092	-0.2729695219479231	0.4184615873030891	-0.17636963633765443	-0.15551558598855938	0.22571396252632675	-0.19387489340578629
YAL034C	0.6001693949462444	-0.10479442613353358	-0.14780967783172372	-0.6879215949095514	-0.2202955397248147	1.1256432978096942	-0.1551845612506973	0.06863265088886528	0.15380792892176548	1.820553351753064	-0.2798433989903641	-0.3327928214916154	0.2538606927595617	-0.02278569902048142	0.15282103822513016	0.05066245616702368	-0.0103950832927795
YAL035W	-0.46582797482508753	-0.28608921763557243	0.5414991927196385	-0.3060534426710548	-0.09888460717126532	0.03013497329748083	0.09426944814108698	0.5444856970516422	-0.7622339840370167	1.7005778532827487	-0.156827190182833	0.21688563413698667	0.05134576887624346	1.0370848592042317	-0.8810673456367563	2.046287494011343	7.737067023441641
YAL036C	-0.6075667296331483	0.272666980732643	0.3418762203444004	-0.49112828939148273	0.3073271986156321	1.4056855514610784	1.6145454348718926	-0.20462313452912947	0.3750479847147354	1.3298491568879518	-0.2962937682641452	-0.242068077213131	-0.19698526739669128	-0.2572578921667212	-0.260962925244197	0.6140725030088812	1.0838524189449996
YAL037W	1.9927376316604375	0.8214946604244405	0.4319172362560753	-0.1278585700232341	-0.16363459045886217	0.8399817229482	1.4946621783651663	0.01859427171893304	0.6547706778617302	-0.46269850094478	-0.11284419529203843	-0.11427770761307213	-0.21004015854181923	-0.1293072637192757	-0.13497119704046204	1.6638955082141975	-0.19038876345358396
YAL039C	0.24688745850729596	0.4068979207369699	-0.35246076354857975	0.3246937666106692	-0.2904430887973996	-0.32772915692617427	-0.016738527848002626	0.4747486127002106	0.5361561689775046	0.05869493642184581	0.5781330077402095						
YAL040C	0.09342481642791685	-0.23440858477238422	-6.6623134049036266e-15	0.43196616274079686	-0.12397866010026498	0.9924840358167188	-0.4009969062718087	0.05333737440505769	0.10974032832767662	0.9914967877388057	0.5082598763081282	0.2958809570716283	0.09762343276593041	-0.10391132968733037	0.5156910228012765	0.6109904727577001	0.20311474750413153
YAL042C-A	0.1631549330371934	-0.46881716954476366	1.7106348870342223	0.20596121387532507	0.4465808591275531	1.0753657732585662	-0.009997152787935474	0.012281632264328103	1.609067564104537	0.7601475372664187	-0.34503750235527325	0.7907107781031891	-0.22612192024538708	-0.31385462844338796	0.8468009123241896	-0.14616162561005178	0.831693267781869
YAL042W	1.208214612453836	-0.46881716954476366	-0.6612538218787753	-0.47236987098913075	-0.17746861502788774	0.5055538283458645	0.18550272395398998	-0.46670202604426547	2.4219529079082056	-0.017885824406265783	-0.3177667663072021	-0.31136989205682614	-0.12071300578435928	0.4486388247074352	0.021734985465543533	0.3694450180636624	0.7772482603344988
YAL044C	0.7971297687396514	0.35998461232902146	0.11808103962121604	-0.04375407560774008	-0.8015180891833048	0.26134870909756375	0.3949668776060736	-0.46670202604426547	-0.8703277929231077	-0.2777319538597808	1.4528356571062413	-0.7804771160899643	-0.5329371534087176	0.4828532745283003	-0.6115494336043833	-0.14616162561005178	-0.1452119122651451
YAL045C	0.2079814365717055	0.586021461930967	-0.16531345546968795	-0.46145965074304934	0.18656024489612127	1.140117130635012	0.5276275082523872	0.6708841624386408	0.7070988949525031	-0.25397870656901306	-0.13028045597674842	0.3588942376461179	0.3199482381165309	-0.005196268682840257	0.058675572807235156	0.13212937743242595	0.179124037162404
