ORF	hap a | chronological lifespan | glucose [2%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [2%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [33 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010
YPR171W	0.375	-1.222	0.408	-0.317	-2.890
YGR142W	0.499	-0.067	0.341	0.236	-2.240
YDR252W	0.567	0.266	0.376	-0.134	-2.112
YMR055C	-0.357	-0.256	-0.278	-0.500	-3.194
YOR078W	0.726	-0.368	0.730	0.905	-1.232
YDR241W	-0.283	-3.113	0.226	-0.797	-2.470
YCL014W	0.524	-0.693	0.740	1.418	-1.149
YCL012W	0.765	0.449	0.639	0.415	-2.295
YLR319C	0.054	-0.547	-0.248	-1.536	-3.301
YOR299W	1.393	0.433	0.620	0.582	-2.301
YMR275C	-0.577	-2.377	0.709	-0.198	-3.453
YML111W	0.751	0.104	1.679	3.495	0.498
YHR114W	0.125	-0.431	-0.100	-0.413	-4.136
YML102W	0.274	-0.163	0.804	0.573	-1.303
YDR423C	-0.282	-0.604	-0.107	-0.250	-2.561
YNL278W	0.521	0.322	0.131	-0.344	-2.334
YGR134W	0.435	-1.640	0.422	1.048	-0.126
YFL028C	-0.007	-1.008	-0.083	0.279	-1.504
YOR276W	0.809	-0.360	0.498	-1.453	-4.224
YKR036C	0.467	0.138	-0.004	-1.859	-4.734
YNL288W	0.023	-0.245	-0.154	0.246	-2.871
YER048C	0.661	-4.596	0.455	-0.218	-2.587
YEL063C	0.038	-0.544	0.285	-0.267	-3.230
YIL034C	-1.136	-1.907	-0.563	-0.972	-4.599
YPL111W	-0.392	-1.017	-0.027	-1.435	-3.814
YLR438W	0.195	0.432	-0.059	0.324	-2.414
YML042W	-0.226	0.867	0.584	0.155	-1.975
YMR280C	-2.766	-4.907	-1.789	-3.573	-3.996
YJL209W	-2.309	-3.690	-3.068	-2.148	-4.006
YHL038C	-5.715	-5.720	-5.368	-5.159	-5.823
YIL043C	-0.994	-1.762	0.064	-0.523	-4.677
YKR066C	0.577	0.167	0.325	-0.910	-2.572
YLR110C	0.590	1.963	0.439	1.221	-1.112
YLR390W-A	0.067	-1.503	0.256	-1.084	-4.262
YGL003C	0.030	0.461	0.047	-0.592	-3.738
YGL029W	-0.097	-0.696	0.092	-0.324	-2.597
YLR098C	0.194	0.102	0.369	-0.120	-2.609
YDR254W	0.140	-0.634	0.038	-1.012	-3.903
YGR157W	-2.560	-1.382	-0.191	1.433	0.592
YJL099W	0.218	-0.268	0.685	0.813	-2.186
YHR142W	0.243	-1.985	0.218	-0.483	-2.255
YMR198W	0.589	-3.350	0.859	0.257	-2.856
YOR349W	-0.146	-1.306	-0.024	-0.969	-3.447
YMR138W	0.114	0.728	0.076	-0.416	-3.059
YOR028C	-0.438	-1.594	-0.163	0.194	-2.139
YEL061C	-0.317	-2.602	0.400	0.469	-2.134
YDR022C	-2.908	-5.032	-0.374	-3.746	-5.078
YJL158C	0.396	-0.312	0.213	0.192	-2.364
YNR001C	-2.327	-2.288	0.389	-1.797	-6.125
YCR005C	-0.762	-0.172	-0.205	-3.893	-6.089
YOR061W	0.888	0.620	1.260	3.278	1.341
YOR039W	-0.529	0.804	0.204	-0.599	-2.607
YGR108W	0.653	0.370	0.335	-0.060	-2.178
YDL155W	0.309	0.319	0.459	0.578	-1.439
YLR210W	0.462	0.859	0.386	0.631	-1.358
YGR109C	-0.492	-1.070	0.648	-0.346	-2.670
YGL215W	-0.200	-1.569	-0.114	-0.877	-4.778
YMR199W	0.372	0.227	0.081	-0.303	-3.199
YPL256C	1.049	0.488	0.542	0.513	-2.024
YFR014C	0.581	0.409	0.389	-0.382	-1.511
YOL016C	0.356	-0.440	0.008	0.093	-2.401
YLR433C	0.146	-0.950	0.135	-0.627	-3.169
YKL190W	-0.362	-4.099	0.221	1.267	-0.819
YML071C	-2.510	-1.921	-0.029	-2.541	-4.408
YML110C	-3.730	-2.936	-2.961	-1.771	-3.916
YBL045C	-3.748	-3.281	-3.182	-2.599	-3.848
YNL336W	0.697	-0.092	0.386	0.248	-1.368
YGL263W	0.068	-0.754	0.416	0.205	-2.381
YGR295C	-0.032	-0.553	-0.021	-0.515	-2.668
YOR316C	0.638	0.867	0.220	-0.421	-2.199
YIL111W	-0.725	-1.326	-0.091	-0.705	-4.580
YKL179C	0.433	-0.237	-0.021	-0.371	-2.467
YOR303W	0.259	-0.350	0.114	-0.131	-2.529
YJR109C	0.525	-0.328	0.299	0.716	-0.979
YGR247W	0.072	-0.640	-0.153	-0.750	-3.497
YCR069W	0.365	0.165	-0.080	-0.178	-3.262
YDR304C	0.428	0.644	0.227	-0.536	-4.536
YLR216C	-2.512	-4.653	-0.655	-2.726	-5.672
YNR028W	-0.025	-0.038	-0.068	-0.264	-2.445
YJL172W	0.138	-1.812	0.157	0.258	-2.029
YLR213C	0.664	0.345	0.281	0.079	-2.749
YLR087C	-1.223	-5.095	1.267	0.053	-3.619
YIL132C	-0.168	-0.496	0.070	-0.348	-1.696
YMR048W	0.558	1.001	0.369	0.480	-2.778
YJR084W	-0.124	-3.300	-0.189	-0.495	-3.479
YLR380W	0.326	0.874	0.471	-0.134	-2.479
YPR030W	-0.509	-0.184	-0.369	-1.198	-3.438
YLR394W	-0.094	-0.138	-0.215	-0.139	-2.869
YDR256C	0.390	-0.108	0.119	-0.540	-3.177
YMR078C	0.180	-1.733	0.014	0.874	-1.554
YPL018W	0.473	-0.295	0.360	-0.013	-3.185
YLR381W	0.390	-0.577	0.215	-0.680	-2.222
YDR151C	0.052	0.578	0.180	0.028	-1.057
YMR180C	0.332	-0.638	-0.080	-0.192	-2.684
YPR124W	-4.745	-3.623	-3.823	-3.235	-3.990
YLR286C	0.308	0.026	0.069	-0.423	-2.912
YDR371W	0.377	0.115	0.481	0.028	-2.407
YGR088W	0.139	0.104	-0.054	-0.138	-2.374
YMR264W	0.191	2.437	0.420	1.490	-1.674
YKL090W	0.084	-0.777	-0.316	-1.293	-3.936
YML101C	-0.491	0.354	0.406	-1.657	-2.847
YOR042W	0.183	0.041	0.155	1.595	-0.646
YGL166W	0.410	-1.144	0.080	-0.693	-3.130
YPL177C	-0.010	-2.658	-0.108	-0.734	-3.677
YCR068W	-2.340	-5.430	-0.271	-5.345	-6.231
YOL082W	0.200	-0.051	0.405	0.720	-1.688
YDR482C	0.230	-0.870	0.060	-0.393	-3.289
