ORF	hom | growth (relative abundance in pooled culture) | toxaphene [160 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [320 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [640 uM] | Gaytan BD~Vulpe CD, 2013
YFR026C	2.900	2.700	2.300
YPL263C	2.600	2.600	2.300
YER056C	2.600	2.500	2.300
YPR196W	2.500	2.400	2.300
YBR084C-A	2.500	2.400	2.300
YOR213C	2.400	2.400	2.300
YOR266W	2.200	2.400	2.300
YLR351C	1.600	1.600	2.300
YLL045C	1.300	0.900	2.300
YDR456W	2.200	0.500	2.300
YKR077W	2.500	2.500	2.200
YOL160W	2.100	2.500	2.200
YML075C	2.500	2.400	2.200
YGL257C	2.400	2.400	2.200
YBL090W	2.400	2.300	2.200
YHR032W	2.300	2.200	2.200
YOR251C	2.100	2.000	2.200
YCL037C	2.400	1.700	2.200
YLR177W	1.400	1.700	2.200
YJR105W	1.100	1.500	2.200
YLR413W	1.300	1.200	2.200
YKL085W	2.500	2.400	2.100
YDR085C	2.100	2.300	2.100
YHR140W	2.300	2.200	2.100
YOR239W	2.100	2.200	2.100
YNL016W	1.800	2.000	2.050
YLR068W	1.600	1.600	2.050
YBR006W	2.400	2.500	2.000
YHR079C-A	2.500	2.300	2.000
YOR381W	2.000	2.000	2.000
YDR363W	1.700	2.000	2.000
YBR129C	2.000	1.900	2.000
YLR437C	1.300	1.500	2.000
YLL046C	1.100	1.200	2.000
YLR069C	1.350	1.650	1.950
YLR059C	1.600	1.400	1.950
YBR173C	2.300	2.200	1.900
YNR019W	2.000	2.200	1.900
YBR259W	2.100	2.100	1.900
YER175C	2.300	2.000	1.900
YBL096C	2.100	2.000	1.900
YPR122W	2.100	2.000	1.900
YPL110C	1.900	2.000	1.900
YGL037C	1.800	1.900	1.900
YGL175C	1.700	1.800	1.900
YLR181C	0.900	1.200	1.900
YLR448W	1.700	1.900	1.850
YKL113C	1.300	1.900	1.850
YFL014W	2.200	2.400	1.800
YIL110W	2.400	2.300	1.800
YCR101C	2.500	2.100	1.800
YBR077C	2.000	2.000	1.800
YDL065C	2.000	2.000	1.800
YPL173W	2.200	1.900	1.800
YML027W	1.700	1.900	1.800
YJR079W	1.600	1.900	1.800
YDR444W	1.700	1.800	1.800
YDL215C	1.700	1.800	1.800
YDL188C	1.600	1.700	1.800
YGR282C	1.500	1.700	1.800
YLR216C	0.900	1.200	1.800
YPL213W	1.300	1.600	1.750
YKL174C	4.900	4.700	1.700
YPR198W	1.900	2.100	1.700
YDR391C	1.900	2.100	1.700
YBR170C	1.600	1.900	1.700
YKL156W	2.000	1.800	1.700
YJL164C	2.000	1.800	1.700
YMR135W-A	2.000	1.800	1.700
YDR098C	1.500	1.800	1.700
YLR199C	1.600	1.700	1.700
YJL057C	1.800	1.600	1.700
YDL127W	1.700	1.600	1.700
YGR055W	1.500	1.600	1.700
YLR248W	1.400	1.600	1.700
YPR057W	1.400	1.500	1.700
YLR287C-A	1.350	1.500	1.700
YHR171W	2.000	1.900	1.600
YOL006C	1.800	1.800	1.600
YNL144C	1.700	1.800	1.600
YDR423C	1.400	1.800	1.600
YPR126C	1.600	1.700	1.600
YKL106W	1.600	1.700	1.600
YER156C	1.700	1.650	1.600
YBR147W	1.600	1.600	1.600
YKL121W	1.400	1.600	1.600
YDL175C	1.400	1.600	1.600
YNL336W	1.600	1.500	1.600
YDR351W	1.500	1.500	1.600
YDR055W	1.400	1.500	1.600
YDR440W	1.400	1.500	1.600
YOR186W	1.500	1.400	1.600
YDL033C	1.400	1.400	1.600
YGR068C	1.300	1.400	1.600
YMR132C	1.600	1.800	1.500
YJL185C	1.700	1.700	1.500
YOL031C	1.600	1.700	1.500
YPR028W	1.600	1.700	1.500
YGR038W	1.500	1.700	1.500
YDR379W	1.400	1.600	1.500
YGL232W	1.400	1.600	1.500
YDR120C	1.400	1.600	1.500
YOR191W	1.500	1.500	1.500
YPR167C	1.500	1.400	1.500
YPR106W	1.400	1.300	1.500
YPL069C	1.300	1.300	1.500
YMR294W-A	1.300	1.300	1.500
YFR044C	2.200	1.900	1.400
YOL108C	1.900	1.900	1.400
YBL019W	1.900	1.800	1.400
YFL015C	1.900	1.700	1.400
YIR024C	1.600	1.500	1.400
YER066W	1.600	1.400	1.400
YNL173C	1.500	1.400	1.400
YDL161W	1.400	1.400	1.400
YNR005C	1.400	1.200	1.400
YFR016C	2.300	1.900	1.300
YNL266W	1.600	1.600	1.300
YPL214C	1.300	1.600	1.300
YKL183W	1.400	1.500	1.300
YMR101C	1.300	1.500	1.300
YDR415C	1.500	1.400	1.300
YBR013C	1.400	1.400	1.300
YGR234W	1.300	1.400	1.300
YJR038C	1.200	1.400	1.300
YBR040W	1.200	1.400	1.300
YDL199C	1.500	1.300	1.300
YOL053W	1.300	1.300	1.300
YDR453C	1.100	1.300	1.300
YDL231C	1.100	1.300	1.300
YKL131W	1.700	1.200	1.300
YOR133W	1.200	1.200	1.300
YNL104C	1.300	1.500	1.200
YEL071W	1.700	1.300	1.200
YGL147C	1.300	1.300	1.200
YGL162W	1.400	1.200	1.200
YKL040C	1.300	1.100	1.200
YDR539W	1.000	1.200	1.000
YNL271C	0.000	2.200	2.300
YBR162C	0.000	1.800	2.200
YLR382C	0.000	1.650	2.200
YLR193C	0.000	1.300	2.200
YBL061C	0.000	2.300	2.100
YLR091W	1.300	0.000	1.950
YHR142W	0.000	1.900	1.900
YLR131C	0.000	1.200	1.900
YLR047C	0.000	1.000	1.900
YLR111W	0.000	0.800	1.850
YNL091W	0.000	1.750	1.800
YKL073W	0.000	1.700	1.800
YLR233C	0.000	1.600	1.800
YLR412W	0.000	1.300	1.800
YBR057C	2.100	0.000	1.800
YMR193W	0.000	1.500	1.700
YLR364W	0.000	1.100	1.700
YNL136W	0.000	2.100	1.650
YML097C	0.000	1.200	1.600
YLR247C	0.000	1.000	1.600
YLR325C	0.000	1.400	1.550
YLR344W	0.000	1.300	1.550
YLR369W	1.600	0.000	1.500
YLR213C	0.000	1.200	1.400
YLR206W	0.000	1.100	1.400
YLR119W	0.000	0.900	1.400
YGL031C	0.000	1.300	1.300
YML116W-A	0.000	1.300	1.300
YDR347W	0.000	1.100	1.200
YLR224W	0.000	0.900	1.200
YLL032C	0.000	0.700	1.200
YLR390W-A	0.000	0.900	1.100
YBL047C	0.000	1.000	1.000
YJL099W	0.000	0.800	1.000
YNL135C	1.900	2.100	0.000
YGR043C	1.400	1.700	0.000
YNR013C	1.800	1.600	0.000
YFL040W	1.800	1.600	0.000
YFR018C	1.800	1.600	0.000
YBR141C	1.400	1.600	0.000
YEL057C	1.800	1.500	0.000
YNL121C	1.700	1.500	0.000
YFL003C	1.700	1.500	0.000
YNL264C	1.600	1.500	0.000
YDR393W	1.500	1.500	0.000
YDR097C	1.300	1.500	0.000
YMR052C-A	1.200	1.500	0.000
YIL112W	1.500	1.400	0.000
YBR107C	1.500	1.400	0.000
YMR311C	1.500	1.400	0.000
YGR276C	1.400	1.400	0.000
YER110C	1.350	1.400	0.000
YOR038C	1.300	1.400	0.000
YGR088W	1.100	1.400	0.000
YER055C	1.500	1.300	0.000
YDR279W	1.200	1.300	0.000
YML068W	1.200	1.300	0.000
YKL213C	1.200	1.300	0.000
YBR027C	1.000	1.300	0.000
YOL114C	1.600	1.200	0.000
YMR158W	1.600	1.200	0.000
YER050C	1.400	1.200	0.000
YGR256W	1.400	1.200	0.000
YDR083W	1.300	1.200	0.000
YIL107C	1.300	1.200	0.000
YMR245W	1.200	1.200	0.000
YPR121W	1.200	1.200	0.000
YJL145W	1.200	1.200	0.000
YFR032C	1.200	1.200	0.000
YDR274C	1.200	1.200	0.000
YOR280C	1.100	1.200	0.000
YDR352W	1.000	1.200	0.000
YOR124C	1.000	1.200	0.000
YOL162W	0.900	1.200	0.000
YDR443C	1.300	1.150	0.000
YNL054W	1.200	1.150	0.000
YNL098C	1.500	1.100	0.000
YNL226W	1.400	1.100	0.000
YKR092C	1.300	1.100	0.000
YKR087C	1.300	1.100	0.000
YAL064C-A	1.300	1.100	0.000
YER187W	1.200	1.100	0.000
YPL265W	1.200	1.100	0.000
YMR105C	1.200	1.100	0.000
YCL049C	1.200	1.100	0.000
YDR032C	1.100	1.100	0.000
YOR062C	1.100	1.100	0.000
YNL109W	1.100	1.100	0.000
YDR286C	1.100	1.100	0.000
YGR040W	1.000	1.100	0.000
YAL002W	1.300	1.000	0.000
YER135C	1.200	1.000	0.000
YNL325C	1.100	1.000	0.000
YPL105C	1.100	1.000	0.000
YNL115C	1.100	1.000	0.000
YIL069C	1.050	1.000	0.000
YPL084W	1.000	1.000	0.000
YDR213W	1.000	1.000	0.000
YOR285W	0.900	1.000	0.000
YDL197C	0.900	1.000	0.000
YIR031C	1.000	0.800	0.000
YDL041W	0.000	0.000	2.700
YLL023C	0.000	0.000	2.200
YKL112W	0.000	0.000	2.200
YLR192C	0.000	0.000	2.000
YKL048C	0.000	0.000	2.000
YLR358C	0.000	0.000	2.000
YBL038W	0.000	0.000	1.900
YLR023C	0.000	0.000	1.900
YLR384C	0.000	0.000	1.850
YLR389C	0.000	0.000	1.800
YKR082W	0.000	0.000	1.800
YDL117W	0.000	0.000	1.800
YLR099C	0.000	0.000	1.700
YLR200W	0.000	0.000	1.700
YDR179W-A	0.000	0.000	1.700
YLR043C	0.000	0.000	1.600
YOR089C	0.000	0.000	1.600
YLR426W	0.000	0.000	1.600
YOR199W	0.000	0.000	1.600
YLR093C	0.000	0.000	1.600
YLR450W	0.000	0.000	1.600
YLR285W	0.000	0.000	1.600
YLR238W	0.000	0.000	1.600
YLR114C	0.000	0.000	1.550
YLR102C	0.000	0.000	1.550
YLR092W	0.000	0.000	1.500
YLR217W	0.000	0.000	1.500
YLR262C-A	0.000	0.000	1.500
YLR018C	0.000	0.000	1.500
YBL007C	0.000	0.000	1.500
YLR231C	0.000	0.000	1.500
YKR078W	0.000	0.000	1.500
YBR156C	0.000	0.000	1.500
YLL033W	0.000	0.000	1.400
YLR427W	0.000	0.000	1.400
YLL061W	0.000	0.000	1.400
YLL001W	0.000	0.000	1.400
YLR228C	0.000	0.000	1.400
YER111C	0.000	0.000	1.400
YLR128W	0.000	0.000	1.400
YLR063W	0.000	0.000	1.400
YLR241W	0.000	0.000	1.400
YLR034C	0.000	0.000	1.350
YLR053C	0.000	0.000	1.350
YLR180W	0.000	0.000	1.300
YLR370C	0.000	0.000	1.300
YLL021W	0.000	0.000	1.300
YLL019C	0.000	0.000	1.300
YLR049C	0.000	0.000	1.300
YLR150W	0.000	0.000	1.300
YLR124W	0.000	0.000	1.300
YLR443W	0.000	0.000	1.300
YLR266C	0.000	0.000	1.300
YLR176C	0.000	0.000	1.300
YLR052W	0.000	0.000	1.300
YML094C-A	0.000	0.000	1.300
YLR324W	0.000	0.000	1.300
YOR201C	0.000	0.000	1.300
YLR031W	0.000	0.000	1.300
YLR429W	0.000	0.000	1.300
YLR057W	0.000	0.000	1.300
YLR143W	0.000	0.000	1.300
YEL033W	0.000	0.000	1.300
YLR144C	0.000	0.000	1.300
YLR151C	0.000	0.000	1.300
YLR089C	0.000	0.000	1.300
YLR017W	0.000	0.000	1.300
YLR381W	0.000	0.000	1.300
YLR065C	0.000	0.000	1.300
YLR205C	0.000	0.000	1.300
YLR255C	0.000	0.000	1.300
YLR130C	0.000	0.000	1.250
YLL063C	0.000	0.000	1.250
YLR225C	0.000	0.000	1.200
YLL007C	0.000	0.000	1.200
YKL076C	0.000	0.000	1.200
YLR020C	0.000	0.000	1.200
YLR257W	0.000	0.000	1.200
YLR299W	0.000	0.000	1.200
YLR218C	0.000	0.000	1.200
YLR264W	0.000	0.000	1.200
YLR083C	0.000	0.000	1.200
YLR110C	0.000	0.000	1.200
YOR205C	0.000	0.000	1.200
YLR284C	0.000	0.000	1.200
YOR322C	0.000	0.000	1.200
YLR082C	0.000	0.000	1.200
YDR340W	0.000	0.000	1.200
YLR312C	0.000	0.000	1.200
YLR253W	0.000	0.000	1.150
YLR146C	0.000	0.000	1.150
YLR265C	0.000	0.000	1.150
YLR035C	0.000	0.000	1.150
YLR072W	0.000	0.000	1.150
YLR133W	0.000	0.000	1.100
YLR064W	0.000	0.000	1.100
YLR025W	0.000	0.000	1.100
YLR024C	0.000	0.000	1.100
YLR461W	0.000	0.000	1.100
YLR221C	0.000	0.000	1.100
YLR112W	0.000	0.000	1.100
YLR434C	0.000	0.000	1.100
YLR300W	0.000	0.000	1.100
YLR422W	0.000	0.000	1.100
YLR081W	0.000	0.000	1.100
YLR073C	0.000	0.000	1.100
YLR108C	0.000	0.000	1.100
YLR067C	0.000	0.000	1.100
YBR231C	0.000	0.000	1.100
YLR207W	0.000	0.000	1.100
YLR121C	0.000	0.000	1.100
YLR170C	0.000	0.000	1.000
YLR345W	0.000	0.000	1.000
YLL044W	0.000	0.000	1.000
YLL039C	0.000	0.000	1.000
YLR070C	0.000	0.000	1.000
YLR096W	0.000	0.000	1.000
YLR004C	0.000	0.000	1.000
YLR398C	0.000	0.000	1.000
YLR109W	0.000	0.000	1.000
YLR390W	0.000	0.000	1.000
YLR014C	0.000	0.000	1.000
YLR417W	0.000	0.000	1.000
YLR356W	0.000	0.000	1.000
YML012C-A	0.000	1.900	0.000
YFL023W	0.000	1.800	0.000
YPL102C	0.000	1.800	0.000
YJL044C	0.000	1.600	0.000
YPL178W	0.000	1.550	0.000
YCL010C	0.000	1.500	0.000
YJR102C	0.000	1.400	0.000
YBL079W	0.000	1.400	0.000
YNL025C	0.000	1.400	0.000
YDR430C	0.000	1.400	0.000
YJR032W	0.000	1.300	0.000
YOR096W	0.000	1.300	0.000
YDR121W	0.000	1.300	0.000
YPL065W	0.000	1.300	0.000
YDR146C	0.000	1.300	0.000
YMR312W	0.000	1.200	0.000
YPL101W	0.000	1.200	0.000
YLR357W	0.000	1.200	0.000
YPL002C	0.000	1.200	0.000
YDR435C	0.000	1.200	0.000
YPL219W	0.000	1.200	0.000
YBR015C	0.000	1.200	0.000
YPL071C	0.000	1.200	0.000
YNL096C	0.000	1.100	0.000
YBR277C	0.000	1.100	0.000
YKR074W	0.000	1.100	0.000
YBL039C	0.000	1.100	0.000
YBR046C	0.000	1.100	0.000
YOR304C-A	0.000	1.100	0.000
YGR109C	0.000	1.100	0.000
YDR128W	0.000	1.100	0.000
YBL106C	0.000	1.100	0.000
YBR090C	0.000	1.100	0.000
YMR063W	0.000	1.100	0.000
YBR278W	0.000	1.000	0.000
YPR053C	0.000	1.000	0.000
YGL166W	0.000	1.000	0.000
YJL123C	0.000	1.000	0.000
YDR357C	0.000	1.000	0.000
YDR249C	0.000	1.000	0.000
YER180C	0.000	1.000	0.000
YOR058C	0.000	1.000	0.000
YLR371W	2.600	0.000	0.000
YGR102C	1.700	0.000	0.000
YKR057W	1.600	0.000	0.000
YDR363W-A	1.500	0.000	0.000
YPL226W	1.500	0.000	0.000
YIL060W	1.400	0.000	0.000
YKL157W	1.400	0.000	0.000
YPR170C	1.400	0.000	0.000
YEL039C	1.400	0.000	0.000
YCR051W	1.300	0.000	0.000
YFR036W	1.300	0.000	0.000
YFR031C-A	1.300	0.000	0.000
YCL024W	1.300	0.000	0.000
YBR184W	1.300	0.000	0.000
YFR017C	1.300	0.000	0.000
YCR087C-A	1.300	0.000	0.000
YCL058C	1.200	0.000	0.000
YOR221C	1.200	0.000	0.000
YGL064C	1.200	0.000	0.000
YHR034C	1.200	0.000	0.000
YIL018W	1.200	0.000	0.000
YBL102W	1.200	0.000	0.000
YNL175C	1.200	0.000	0.000
YBR037C	1.200	0.000	0.000
YFR007W	1.200	0.000	0.000
YFL048C	1.200	0.000	0.000
YMR320W	1.200	0.000	0.000
YHR096C	1.200	0.000	0.000
YKR003W	1.200	0.000	0.000
YDR447C	1.200	0.000	0.000
YBR146W	1.200	0.000	0.000
YBR048W	1.100	0.000	0.000
YPR063C	1.100	0.000	0.000
YOR177C	1.100	0.000	0.000
YKL070W	1.100	0.000	0.000
YKR104W	1.100	0.000	0.000
YKL041W	1.100	0.000	0.000
YKR021W	1.100	0.000	0.000
YMR255W	1.100	0.000	0.000
YER152C	1.100	0.000	0.000
YFL063W	1.100	0.000	0.000
YNL100W	1.100	0.000	0.000
YER163C	1.100	0.000	0.000
YDL013W	1.000	0.000	0.000
YCR063W	1.000	0.000	0.000
YHR066W	1.000	0.000	0.000
YJR014W	1.000	0.000	0.000
YGL154C	1.000	0.000	0.000
YIL024C	1.000	0.000	0.000
YER124C	1.000	0.000	0.000
