orf	hom | growth (relative abundance in pooled culture) | toxaphene [160 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [320 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [640 uM] | Gaytan BD~Vulpe CD, 2013
YGR063C	-2.0	-1.85	-1.9500000000000002
YGR064W	-2.0	0.0	-1.4
YGR068C	1.3	1.4	1.6
YGR088W	1.1	1.4	0.0
YGR102C	1.7000000000000002	0.0	0.0
YGR109C	0.0	1.1	0.0
YGR127W	2.3	2.4	2.4
YGR153W	-2.5	-2.6	-2.6
YGR157W	2.7	2.8	3.0
YGR166W	-1.3	-1.5	0.0
YGR171C	0.0	0.0	-1.7000000000000002
YGR178C	-1.2	-0.9	-1.1
YGR183C	0.0	0.0	-1.6
YGR222W	-0.95	-1.3	-1.35
YGR228W	-1.6	0.0	0.0
YGR234W	1.3	1.4	1.3
YGR242W	3.2	3.3	3.1
YGR256W	1.4	1.2	0.0
YGR276C	1.4	1.4	0.0
YGR282C	1.5	1.7000000000000002	1.8
YGR295C	3.0	3.2	3.0
YHL038C	0.0	0.0	-1.1
YHR029C	4.3	4.2	4.1
YHR032W	2.3	2.2	2.2
YHR034C	1.2	0.0	0.0
YHR066W	1.0	0.0	0.0
YHR073W	-1.1	-1.05	-1.7000000000000002
YHR079C-A	2.5	2.3	2.0
YHR096C	1.2	0.0	0.0
YHR116W	0.0	0.0	-1.4
YHR129C	-1.2	0.0	-0.9
YHR133C	0.0	0.0	-1.2
YHR140W	2.3	2.2	2.1
YHR142W	0.0	1.9	1.9
YHR153C	2.9	2.7	2.45
YHR155W	-1.25	-1.5	-1.75
YHR167W	-1.65	-2.0	-2.5
YHR168W	0.0	-1.0	-1.3
YHR171W	2.0	1.9	1.6
YHR189W	-1.3	0.0	-1.6
YIL009C-A	3.2	3.5	2.6
YIL018W	1.2	0.0	0.0
YIL024C	1.0	0.0	0.0
YIL052C	0.0	0.0	-1.75
YIL060W	1.4	0.0	0.0
YIL067C	2.2	2.5	3.4
YIL069C	1.05	1.0	0.0
YIL090W	-1.5	-1.5	-2.2
YIL107C	1.3	1.2	0.0
YIL110W	2.4	2.3	1.8
YIL112W	1.5	1.4	0.0
YIL160C	3.1	3.1	2.5
YIR017C	3.8	3.6	3.5
YIR021W	0.0	-1.2	-1.3
YIR023W	-3.1	-3.5	-3.0
YIR024C	1.6	1.5	1.4
YIR031C	1.0	0.8	0.0
YJL004C	0.0	-1.2	-1.4
YJL022W	0.0	-1.1	-1.4
YJL044C	0.0	1.6	0.0
YJL046W	4.3	4.6	4.5
YJL057C	1.8	1.6	1.7000000000000002
YJL099W	0.0	0.8	1.0
YJL101C	0.0	-1.0	0.0
YJL120W	-1.25	-1.3	-1.35
YJL121C	-1.0	-1.2	-1.6
YJL123C	0.0	1.0	0.0
YJL130C	-1.3	-1.4	-1.55
YJL141C	-1.0	-1.0	-1.2
YJL145W	1.2	1.2	0.0
YJL164C	2.0	1.8	1.7000000000000002
YJL166W	0.0	-1.35	-1.9
YJL175W	-3.3	0.0	0.0
YJL185C	1.7000000000000002	1.7000000000000002	1.5
YJL214W	3.1	2.8	2.7
YJR014W	1.0	0.0	0.0
YJR032W	0.0	1.3	0.0
YJR038C	1.2	1.4	1.3
YJR059W	-0.9	0.0	0.0
YJR073C	-0.9	0.0	0.0
YJR079W	1.6	1.9	1.8
YJR102C	0.0	1.4	0.0
YJR105W	1.1	1.5	2.2
YJR144W	0.0	0.0	-0.9
YJR154W	3.7	3.4	3.4
YKL037W	-2.5	0.0	0.0
YKL040C	1.3	1.1	1.2
YKL041W	1.1	0.0	0.0
YKL048C	0.0	0.0	2.0
YKL070W	1.1	0.0	0.0
YKL073W	0.0	1.7000000000000002	1.8
YKL076C	0.0	0.0	1.2
YKL077W	-1.75	-1.45	-1.2
YKL085W	2.5	2.4	2.1
YKL106W	1.6	1.7000000000000002	1.6
YKL112W	0.0	0.0	2.2
YKL113C	1.3	1.9	1.85
YKL121W	1.4	1.6	1.6
YKL131W	1.7000000000000002	1.2	1.3
YKL133C	4.4	3.9	3.8
YKL147C	2.8	2.6	2.4
YKL155C	-1.0	-1.5	-1.65
YKL156W	2.0	1.8	1.7000000000000002
YKL157W	1.4	0.0	0.0
YKL160W	0.0	-1.15	0.0
YKL174C	4.9	4.7	1.7000000000000002
YKL183W	1.4	1.5	1.3
YKL213C	1.2	1.3	0.0
YKR003W	1.2	0.0	0.0
YKR019C	-1.75	-2.5	-2.0
YKR021W	1.1	0.0	0.0
YKR026C	0.0	-1.2	-1.3
YKR041W	4.4	4.1	3.6
YKR057W	1.6	0.0	0.0
YKR061W	3.4	3.3	3.1
YKR072C	-0.9	0.0	0.0
YKR074W	0.0	1.1	0.0
YKR077W	2.5	2.5	2.2
YKR078W	0.0	0.0	1.5
YKR082W	0.0	0.0	1.8
YKR087C	1.3	1.1	0.0
YKR092C	1.3	1.1	0.0
YKR093W	0.0	-1.0	0.0
YKR104W	1.1	0.0	0.0
YLL001W	0.0	0.0	1.4
YLL007C	0.0	0.0	1.2
YLL019C	0.0	0.0	1.3
YLL021W	0.0	0.0	1.3
YLL023C	0.0	0.0	2.2
YLL028W	3.0	3.4	3.8
YLL032C	0.0	0.7	1.2
YLL033W	0.0	0.0	1.4
YLL039C	0.0	0.0	1.0
YLL044W	0.0	0.0	1.0
YLL045C	1.3	0.9	2.3
YLL046C	1.1	1.2	2.0
YLL061W	0.0	0.0	1.4
YLL063C	0.0	0.0	1.25
YLR004C	0.0	0.0	1.0
YLR014C	0.0	0.0	1.0
YLR017W	0.0	0.0	1.3
YLR018C	0.0	0.0	1.5
YLR020C	0.0	0.0	1.2
YLR023C	0.0	0.0	1.9
YLR024C	0.0	0.0	1.1
YLR025W	0.0	0.0	1.1
YLR031W	0.0	0.0	1.3
YLR034C	0.0	0.0	1.35
YLR035C	0.0	0.0	1.15
YLR036C	4.0	4.0	4.7
YLR043C	0.0	0.0	1.6
YLR047C	0.0	1.0	1.9
YLR049C	0.0	0.0	1.3
YLR052W	0.0	0.0	1.3
YLR053C	0.0	0.0	1.35
YLR057W	0.0	0.0	1.3
YLR059C	1.6	1.4	1.9500000000000002
YLR063W	0.0	0.0	1.4
YLR064W	0.0	0.0	1.1
YLR065C	0.0	0.0	1.3
YLR067C	0.0	0.0	1.1
YLR068W	1.6	1.6	2.05
YLR069C	1.35	1.65	1.9500000000000002
YLR070C	0.0	0.0	1.0
YLR072W	0.0	0.0	1.15
YLR073C	0.0	0.0	1.1
YLR081W	0.0	0.0	1.1
YLR082C	0.0	0.0	1.2
YLR083C	0.0	0.0	1.2
YLR089C	0.0	0.0	1.3
YLR091W	1.3	0.0	1.9500000000000002
YLR092W	0.0	0.0	1.5
YLR093C	0.0	0.0	1.6
YLR096W	0.0	0.0	1.0
YLR099C	0.0	0.0	1.7000000000000002
YLR102C	0.0	0.0	1.55
YLR108C	0.0	0.0	1.1
YLR109W	0.0	0.0	1.0
YLR110C	0.0	0.0	1.2
YLR111W	0.0	0.8	1.85
YLR112W	0.0	0.0	1.1
YLR114C	0.0	0.0	1.55
YLR119W	0.0	0.9	1.4
YLR121C	0.0	0.0	1.1
YLR124W	0.0	0.0	1.3
YLR126C	-1.2	-1.0	0.0
YLR128W	0.0	0.0	1.4
YLR130C	0.0	0.0	1.25
YLR131C	0.0	1.2	1.9
YLR133W	0.0	0.0	1.1
YLR143W	0.0	0.0	1.3
YLR144C	0.0	0.0	1.3
YLR146C	0.0	0.0	1.15
YLR150W	0.0	0.0	1.3
YLR151C	0.0	0.0	1.3
YLR170C	0.0	0.0	1.0
YLR176C	0.0	0.0	1.3
YLR177W	1.4	1.7000000000000002	2.2
YLR178C	2.9	3.0	2.4
YLR180W	0.0	0.0	1.3
YLR181C	0.9	1.2	1.9
YLR188W	1.7000000000000002	2.3	3.2
YLR192C	0.0	0.0	2.0
YLR193C	0.0	1.3	2.2
YLR199C	1.6	1.7000000000000002	1.7000000000000002
YLR200W	0.0	0.0	1.7000000000000002
YLR201C	-1.2	-1.5	0.0
