orf	hap a | growth (spot assay) | propionic acid [18-20 mM] | Mira NP~Sa Correia I, 2009
YDR295C	-4.411235533842789
YDR296W	-4.411235533842789
YDR298C	-4.411235533842789
YDR315C	-2.2056177669213946
YDR322W	-4.411235533842789
YDR363W-A	-4.411235533842789
YDR477W	-4.411235533842789
YDR484W	-4.411235533842789
YDR512C	-2.2056177669213946
YDR518W	-2.2056177669213946
YDR537C	-4.411235533842789
YEL036C	-2.2056177669213946
YEL037C	-2.2056177669213946
YEL060C	-4.411235533842789
YEL062W	-4.411235533842789
YER014C-A	-4.411235533842789
YER050C	-4.411235533842789
YFR010W	-4.411235533842789
YGL012W	-4.411235533842789
YGL020C	-4.411235533842789
YGL024W	-4.411235533842789
YGL026C	-4.411235533842789
YGL033W	-4.411235533842789
YGL041C-B	-4.411235533842789
YGL045W	-4.411235533842789
YGL078C	-2.2056177669213946
YGL100W	-4.411235533842789
YGL188C-A	-4.411235533842789
YGL195W	-4.411235533842789
YGL240W	-4.411235533842789
YGR040W	-2.2056177669213946
YGR050C	-2.2056177669213946
YGR055W	-4.411235533842789
YGR150C	-4.411235533842789
YGR180C	-4.411235533842789
YGR188C	-2.2056177669213946
YGR204W	-4.411235533842789
YGR215W	-4.411235533842789
YGR239C	-2.2056177669213946
YGR240C	-4.411235533842789
YGR262C	-4.411235533842789
YGR285C	-4.411235533842789
YHL007C	-2.2056177669213946
YHL020C	-4.411235533842789
YHL026C	-2.2056177669213946
YHL027W	-4.411235533842789
YHL031C	-4.411235533842789
YHL032C	-4.411235533842789
YHR004C	-2.2056177669213946
YHR021C	-2.2056177669213946
YHR025W	-4.411235533842789
YHR030C	-4.411235533842789
YHR060W	-4.411235533842789
YIL006W	-4.411235533842789
YIL017C	-4.411235533842789
YIL028W	-4.411235533842789
YIL029C	-4.411235533842789
YIL040W	-4.411235533842789
YIL042C	-4.411235533842789
YIL053W	-4.411235533842789
YIL064W	-4.411235533842789
YIL065C	-2.2056177669213946
YIL073C	-4.411235533842789
YIL077C	-4.411235533842789
YIL084C	-4.411235533842789
YIL092W	-4.411235533842789
YIL119C	-2.2056177669213946
YIL120W	-2.2056177669213946
YIL148W	-4.411235533842789
YIR005W	-4.411235533842789
YIR016W	-4.411235533842789
YIR026C	-4.411235533842789
YJL006C	-2.2056177669213946
YJL056C	-4.411235533842789
YJL063C	-4.411235533842789
YJL110C	-4.411235533842789
YJL120W	-4.411235533842789
YJL121C	-4.411235533842789
YJL128C	-4.411235533842789
YJL141C	-2.2056177669213946
YJL204C	-4.411235533842789
YJR018W	-4.411235533842789
YJR079W	-4.411235533842789
YJR103W	-4.411235533842789
YJR127C	-4.411235533842789
YKL002W	-4.411235533842789
YKL016C	-4.411235533842789
YKL041W	-4.411235533842789
YKL055C	-4.411235533842789
YKL080W	-4.411235533842789
YKL081W	-4.411235533842789
YKL096C-B	-4.411235533842789
YKL118W	-4.411235533842789
YKL119C	-4.411235533842789
YKL213C	-2.2056177669213946
YKR085C	-4.411235533842789
YLL018C-A	-2.2056177669213946
YLL028W	-4.411235533842789
YLR039C	-4.411235533842789
YLR044C	-4.411235533842789
YLR047C	-4.411235533842789
YLR055C	-4.411235533842789
YLR056W	-4.411235533842789
YLR067C	-4.411235533842789
YLR069C	-4.411235533842789
YLR119W	-4.411235533842789
YLR138W	-4.411235533842789
YLR148W	-4.411235533842789
YLR396C	-4.411235533842789
YLR403W	-4.411235533842789
YLR414C	-4.411235533842789
YLR417W	-4.411235533842789
YML008C	-4.411235533842789
YML076C	-4.411235533842789
YML112W	-4.411235533842789
YMR015C	-4.411235533842789
YMR077C	-4.411235533842789
YMR091C	-4.411235533842789
YMR098C	-4.411235533842789
YMR143W	-4.411235533842789
YMR154C	-4.411235533842789
YMR183C	-4.411235533842789
YMR202W	-4.411235533842789
YMR242W-A	-4.411235533842789
YMR263W	-4.411235533842789
YNL003C	-4.411235533842789
YNL055C	-4.411235533842789
YNL059C	-4.411235533842789
YNL084C	-4.411235533842789
YNL117W	-4.411235533842789
YNL136W	-4.411235533842789
YNL169C	-4.411235533842789
YNL183C	-4.411235533842789
YNL229C	-4.411235533842789
YNL236W	-4.411235533842789
YNL238W	-4.411235533842789
YNL241C	-4.411235533842789
YNL280C	-4.411235533842789
YNL296W	-4.411235533842789
YNR051C	-4.411235533842789
YNR052C	-4.411235533842789
YOL014W	-2.2056177669213946
YOL027C	-4.411235533842789
YOL039W	-4.411235533842789
YOL050C	-4.411235533842789
YOL100W	-2.2056177669213946
YOL111C	-2.2056177669213946
YOL143C	-4.411235533842789
YOR010C	-4.411235533842789
YOR030W	-4.411235533842789
YOR043W	-4.411235533842789
YOR134W	-4.411235533842789
YOR200W	-4.411235533842789
YOR201C	-4.411235533842789
YOR234C	-2.2056177669213946
YOR270C	-2.2056177669213946
YOR330C	-4.411235533842789
YOR331C	-4.411235533842789
YOR332W	-4.411235533842789
YOR350C	-4.411235533842789
YOR358W	-4.411235533842789
YPL002C	-4.411235533842789
YPL045W	-4.411235533842789
YPL057C	-4.411235533842789
YPL058C	-4.411235533842789
YPL061W	-4.411235533842789
YPL065W	-4.411235533842789
YPL069C	-4.411235533842789
YPL078C	-4.411235533842789
YPL084W	-4.411235533842789
YPL195W	-2.2056177669213946
YPL201C	-4.411235533842789
YPL203W	-2.2056177669213946
YPL213W	-4.411235533842789
YPL214C	-4.411235533842789
YPL215W	-4.411235533842789
YPL234C	-4.411235533842789
YPL249C-A	-4.411235533842789
YPL259C	-4.411235533842789
YPL271W	-2.2056177669213946
YPR099C	-4.411235533842789
YPR131C	-4.411235533842789
YPR133W-A	-4.411235533842789
YPR134W	-4.411235533842789
YPR160W	-4.411235533842789
YPR163C	-4.411235533842789
YPR173C	-4.411235533842789
