orf	hap a | growth (relative abundance in pooled culture) | standard [standard] | Breslow DK~Weissman JS, 2008
YDR229W	0.995
YDR233C	0.99
YDR239C	1.002
YDR241W	0.983
YDR242W	1.0
YDR244W	0.84
YDR245W	0.665
YDR247W	1.015
YDR248C	0.956
YDR249C	0.982
YDR250C	1.012
YDR251W	0.995
YDR252W	0.996
YDR253C	0.956
YDR254W	0.992
YDR255C	0.951
YDR256C	0.998
YDR257C	0.981
YDR258C	0.992
YDR259C	0.999
YDR260C	0.949
YDR261C	1.005
YDR262W	1.003
YDR263C	1.0
YDR265W	0.903
YDR266C	1.0
YDR269C	0.934
YDR270W	0.853
YDR271C	0.905
YDR272W	0.956
YDR273W	0.95
YDR274C	0.991
YDR275W	1.01
YDR276C	0.612
YDR277C	0.933
YDR278C	0.957
YDR279W	0.987
YDR281C	0.996
YDR282C	1.007
YDR284C	0.991
YDR285W	1.0
YDR286C	1.003
YDR287W	1.0
YDR289C	0.976
YDR290W	0.969
YDR291W	1.001
YDR293C	0.912
YDR294C	0.965
YDR295C	0.908
YDR297W	1.008
YDR304C	0.997
YDR305C	0.988
YDR306C	0.997
YDR307W	1.0
YDR309C	0.997
YDR310C	0.975
YDR312W	0.999
YDR313C	0.995
YDR314C	0.95
YDR315C	0.0
YDR316W	0.985
YDR317W	1.0
YDR318W	0.973
YDR319C	0.988
YDR320C	0.948
YDR321W	0.985
YDR326C	1.001
YDR329C	0.941
YDR330W	0.997
YDR332W	0.803
YDR333C	0.99
YDR334W	0.883
YDR335W	0.757
YDR336W	1.019
YDR338C	0.99
YDR340W	1.001
YDR344C	1.022
YDR345C	0.971
YDR346C	1.0
YDR348C	0.961
YDR349C	1.007
YDR351W	0.999
YDR352W	1.017
YDR354W	0.972
YDR357C	0.965
YDR358W	0.936
YDR359C	0.729
YDR360W	0.934
YDR363W	0.864
YDR363W-A	0.919
YDR368W	1.006
YDR369C	0.684
YDR370C	1.004
YDR371W	1.003
YDR372C	1.005
YDR374C	1.003
YDR375C	0.942
YDR378C	0.807
YDR379W	1.006
YDR380W	1.006
YDR382W	0.722
YDR383C	1.003
YDR384C	1.005
YDR385W	0.92
YDR386W	0.941
YDR387C	1.006
YDR388W	0.761
YDR389W	0.95
YDR391C	0.917
YDR392W	0.602
YDR393W	0.992
YDR395W	0.96
YDR399W	0.977
YDR400W	1.002
YDR401W	0.973
YDR402C	0.948
YDR403W	1.003
YDR406W	0.998
YDR408C	1.0
YDR409W	0.992
YDR411C	1.005
YDR414C	0.955
YDR415C	0.999
YDR419W	0.993
YDR420W	0.984
YDR421W	0.999
YDR422C	1.008
YDR423C	1.007
YDR424C	0.998
YDR425W	0.968
YDR426C	0.967
YDR428C	1.002
YDR430C	0.999
YDR431W	0.979
YDR435C	0.964
YDR436W	1.003
YDR438W	1.005
YDR439W	0.862
YDR441C	0.973
YDR443C	0.757
YDR444W	1.018
YDR445C	1.005
YDR446W	0.998
YDR447C	0.921
YDR451C	1.002
YDR452W	0.996
YDR453C	0.999
YDR455C	0.656
YDR458C	1.003
YDR459C	1.006
YDR463W	0.871
YDR465C	0.997
YDR466W	1.01
YDR467C	1.005
YDR469W	0.943
YDR471W	0.931
YDR475C	0.9955
YDR476C	1.0
YDR477W	0.828
YDR479C	1.011
YDR480W	1.018
YDR481C	0.994
YDR482C	0.988
YDR483W	0.98
YDR485C	0.886
YDR486C	0.96
YDR488C	0.99
YDR490C	0.972
YDR491C	0.996
YDR492W	0.997
YDR493W	0.971
YDR494W	0.994
YDR496C	0.88
YDR497C	1.002
YDR500C	0.862
YDR501W	0.968
YDR502C	0.994
YDR503C	0.998
YDR504C	1.012
YDR505C	1.015
YDR506C	0.956
YDR508C	0.781
YDR509W	0.943
YDR511W	1.004
YDR512C	0.988
YDR513W	1.002
YDR514C	0.941
YDR515W	0.997
YDR516C	1.002
YDR517W	1.004
YDR519W	1.0
YDR520C	0.979
YDR522C	0.959
YDR524C	0.993
YDR525W	0.961
YDR525W-A	0.989
YDR528W	1.005
YDR530C	0.983
YDR532C	0.737
YDR533C	0.967
YDR534C	1.001
YDR535C	1.001
YDR536W	0.999
YDR537C	0.996
YDR538W	1.0
YDR539W	0.979
YDR540C	1.001
YDR541C	1.0
YEL001C	1.003
YEL003W	0.924
YEL004W	0.969
YEL005C	0.977
YEL006W	1.001
YEL007W	1.018
YEL008W	0.99
YEL010W	1.008
YEL011W	1.002
YEL012W	0.965
YEL013W	0.812
YEL014C	0.937
YEL015W	0.99
YEL016C	1.002
YEL017C-A	1.005
YEL017W	1.005
YEL020C	0.999
YEL023C	1.005
YEL025C	0.999
YEL028W	1.005
YEL030W	1.002
YEL031W	0.893
YEL033W	0.885
YEL037C	1.013
YEL038W	0.972
YEL039C	1.001
YEL040W	1.006
YEL041W	1.0
YEL042W	0.975
YEL043W	0.966
YEL047C	1.004
YEL048C	1.009
YEL049W	0.998
YEL052W	0.999
YEL053C	0.952
YEL056W	0.992
YEL057C	0.998
YEL059W	0.998
YEL060C	0.994
YEL061C	0.906
YEL062W	0.935
YEL064C	1.005
YEL065W	1.0
YEL066W	0.964
YEL067C	1.002
YEL068C	1.005
YEL071W	1.003
YER001W	1.002
YER002W	0.929
YER004W	1.003
YER005W	1.011
YER007C-A	0.939
YER007W	1.006
YER010C	0.999
YER011W	0.994
YER016W	0.921
YER019C-A	1.0
YER019W	0.845
YER020W	1.03
YER024W	1.004
YER027C	1.019
YER028C	0.966
YER030W	1.002
YER031C	0.983
YER032W	1.005
YER033C	1.004
YER034W	1.002
YER035W	1.001
YER038W-A	1.005
YER039C	1.005
YER039C-A	0.989
YER041W	0.982
YER042W	0.998
YER044C-A	1.006
YER045C	1.022
YER046W	1.003
YER046W-A	0.986
YER047C	0.999
YER048C	0.975
YER049W	0.985
YER051W	0.997
