ORF	hap a | growth (relative abundance in pooled culture) | standard [standard] | Breslow DK~Weissman JS, 2008
YBR048W	0.817
YOR069W	0.819
YML026C	0.820
YNL069C	0.821
YPL102C	0.821
YIL125W	0.822
YKL113C	0.823
YLL006W	0.823
YOR035C	0.823
YGL196W	0.824
YLR448W	0.824
YGL244W	0.825
YGR214W	0.825
YPL055C	0.826
YPR060C	0.826
YHL031C	0.827
YMR078C	0.827
YMR243C	0.827
YOR001W	0.827
YBR084C-A	0.828
YDL074C	0.828
YDR477W	0.828
YLR371W	0.828
YLR435W	0.828
YNL215W	0.828
YBR126C	0.829
YCR077C	0.829
YGL084C	0.829
YLR388W	0.829
YOR182C	0.829
YER061C	0.830
YHR178W	0.830
YDR076W	0.831
YIR023W	0.831
YDL020C	0.833
YDR004W	0.833
YDR025W	0.833
YMR183C	0.833
YMR205C	0.833
YLR261C	0.834
YNL171C	0.834
YOR070C	0.834
YLR329W	0.836
YFR040W	0.837
YLR370C	0.837
YDR146C	0.838
YNL226W	0.838
YPL129W	0.838
YGL147C	0.839
YLR441C	0.839
YDR244W	0.840
YER149C	0.840
YOR221C	0.840
YCR033W	0.841
YLR234W	0.842
YMR230W	0.842
YNL229C	0.842
YBR231C	0.843
YCL063W	0.845
YKR074W	0.843
YLR193C	0.843
YGL066W	0.844
YGR118W	0.844
YKR019C	0.844
YMR179W	0.844
YER019W	0.845
YHR111W	0.845
YPR164W	0.845
YGL163C	0.846
YLR342W	0.847
YPL080C	0.847
YAL026C	0.848
YIR005W	0.848
YKL110C	0.848
YKR057W	0.848
YNR051C	0.849
YBR082C	0.850
YOL041C	0.851
YPL120W	0.851
YDL082W	0.852
YLR287C-A	0.852
YPL161C	0.852
YDL100C	0.853
YDR270W	0.853
YER145C	0.853
YKL055C	0.853
YLR360W	0.853
YDL033C	0.854
YGR077C	0.854
YJR074W	0.854
YLR032W	0.854
YLR264W	0.854
YMR207C	0.854
YCR066W	0.854
YBL027W	0.855
YLR235C	0.855
YNL236W	0.855
YNL041C	0.856
YPR057W	0.856
YHR066W	0.857
YJR082C	0.858
YMR060C	0.859
YNL120C	0.859
YNL316C	0.860
YBR026C	0.861
YBR171W	0.861
YGL253W	0.861
YDR439W	0.862
YDR500C	0.862
YLR372W	0.862
YPL260W	0.862
YCL010C	0.863
YCL016C	0.863
YLR089C	0.863
YNL206C	0.863
YNR071C	0.863
YOR123C	0.863
YDR363W	0.864
YFR032C-A	0.864
YGL043W	0.864
YNL169C	0.864
YOL006C	0.864
YPL079W	0.864
YGR085C	0.865
YOR025W	0.865
YKL197C	0.866
YML041C	0.866
YER139C	0.867
YBR025C	0.868
YGR027C	0.868
YHR191C	0.868
YKL149C	0.868
YMR198W	0.868
YNL197C	0.868
YBL051C	0.870
YCR031C	0.870
YNL135C	0.870
YDR463W	0.871
YNL079C	0.871
YLL044W	0.872
YCR089W	0.873
YML001W	0.873
YLR048W	0.874
YML128C	0.874
YOL012C	0.874
YDR156W	0.875
YHL034C	0.875
YIL128W	0.875
YJR043C	0.875
YJR070C	0.875
YPL192C	0.875
YCL032W	0.876
YFL054C	0.876
YML038C	0.876
YBL104C	0.877
YFL049W	0.877
YGR081C	0.877
YIL011W	0.877
YJL028W	0.877
YGR229C	0.878
YKR099W	0.878
YML101C-A	0.878
YOR196C	0.878
YGL016W	0.879
YGL115W	0.879
YGR135W	0.879
YIL084C	0.879
YMR190C	0.879
YDL117W	0.880
YDR496C	0.880
YLR055C	0.880
YNL147W	0.880
YBL087C	0.881
YGL202W	0.881
YGL256W	0.881
YHL027W	0.881
YAL011W	0.882
YML102W	0.882
YDR334W	0.883
YPR018W	0.883
YNL136W	0.884
YBR098W	0.918
YEL033W	0.885
YGL045W	0.889
YIL153W	0.885
YJL046W	0.885
YOR008C	0.885
YDR485C	0.886
YLR085C	0.886
YDR162C	0.887
YGL213C	0.887
YBR103W	0.888
YGL078C	0.888
YLR119W	0.888
YNR004W	0.888
YJL148W	0.889
YLR200W	0.889
YLR315W	0.889
YNL106C	0.889
YNL294C	0.889
YNL297C	0.889
YER110C	0.889
YAR002W	0.890
YGL031C	0.890
YKL056C	0.890
YOR235W	0.890
YPL051W	0.890
YGL152C	0.891
YMR063W	0.891
YMR275C	0.891
YMR282C	0.891
YNL329C	0.891
YPL152W	0.891
YPR020W	0.891
YPR189W	0.891
YAR014C	0.892
YGL054C	0.892
YNL091W	0.892
YNR005C	0.892
YBR036C	0.893
YEL031W	0.893
YER131W	0.893
YJL047C	0.893
YNL167C	0.893
YMR166C	0.894
YPL098C	0.894
YKR101W	0.895
YPR050C	0.895
YCR086W	0.896
YGL211W	0.896
YIL133C	0.896
YNL001W	0.896
YAL055W	0.897
YIL154C	0.897
YKL032C	0.897
YLR386W	0.898
YCL061C	0.909
YGL153W	0.899
YGR133W	0.899
YHR108W	0.899
YJR033C	0.899
YKL184W	0.899
YLR056W	0.899
YLR374C	0.899
YHR200W	0.900
YJR034W	0.900
YJR094W-A	0.900
YNL271C	0.900
YML081W	0.900
YKR072C	0.901
YLR110C	0.901
YML013W	0.901
YPR074C	0.901
YCR020C-A	0.902
YDR101C	0.902
YDR186C	0.902
YDR265W	0.903
YER156C	0.903
YNL228W	0.903
YJL211C	0.904
YMR167W	0.904
YDR271C	0.905
YEL061C	0.906
YGR260W	0.906
YOR030W	0.906
YBL031W	0.907
YBR099C	0.907
YBR146W	0.908
YDL134C	0.908
YFL012W	0.908
YJL136C	0.908
YLR191W	0.908
YMR026C	0.908
YNL016W	0.908
YOR359W	0.908
YDR295C	0.908
YFL007W	0.944
YKL006W	0.909
YLR192C	0.909
YOR355W	0.909
YBR168W	0.910
YCR053W	0.910
YNR074C	0.910
YPR179C	0.910
YBR174C	0.911
YCR034W	0.911
YGR270W	0.911
YJR040W	0.911
YML008C	0.911
YMR035W	0.911
YPL174C	0.911
YDR293C	0.912
YGR034W	0.912
YJL210W	0.912
YMR304W	0.912
YNL067W	0.912
YOR006C	0.912
YPR066W	0.912
YHR033W	0.913
YBL089W	0.914
YNL082W	0.914
YPL090C	0.914
YBR031W	0.915
YDR071C	0.915
YMR163C	0.915
YJL121C	0.916
YKR028W	0.916
YKR092C	0.916
YLL045C	0.916
YLR290C	0.916
YOR253W	0.916
YAR029W	0.917
YBR044C	0.917
YDR391C	0.917
YHR135C	0.917
YIL090W	0.917
YIL112W	0.917
YKR029C	0.917
YDL167C	0.918
YJL154C	0.918
YLR452C	0.918
YMR263W	0.918
YNL307C	0.918
YPL225W	0.918
YBR175W	0.919
YDR363W-A	0.919
YLR398C	0.919
YMR272C	0.919
YNL021W	0.919
YOR184W	0.919
YPR051W	0.919
YCR067C	0.920
YDL142C	0.920
YDR385W	0.920
YHR134W	0.920
YJL004C	0.920
YJL120W	0.920
YDR447C	0.921
YER016W	0.921
YGL035C	0.921
YNL162W	0.921
YOR140W	0.921
YBL072C	0.922
YDR149C	0.922
YFR031C-A	0.922
YLR131C	0.922
YMR172W	0.922
YMR204C	0.922
YOL044W	0.922
YPL068C	0.922
YBR195C	0.923
YDL118W	0.923
YDL181W	0.923
YDR184C	0.923
YGL151W	0.923
YMR154C	0.923
YMR186W	0.923
YOR125C	0.923
YAL020C	0.924
YEL003W	0.924
YHL023C	0.924
YKR035C	0.924
YNL070W	0.924
YOR089C	0.924
YCR044C	0.925
YDL133C-A	0.959
YLR150W	0.925
YNR022C	0.925
YGL214W	0.926
YHR003C	0.926
YHR037W	0.926
YJL169W	0.926
YLR176C	0.926
YNL324W	0.926
YNR020C	0.926
YAR018C	0.927
YER111C	0.927
YHL010C	0.927
YIL044C	0.927
YJR014W	0.927
YKR001C	0.927
YBR264C	0.928
YJL078C	0.928
YJL172W	0.928
YKL176C	0.928
YNL322C	0.928
YOL050C	0.928
YOR273C	0.928
YBL039C	0.929
YBR215W	0.929
YDL184C	0.929
YDL240W	0.929
YER002W	0.929
YIL052C	0.929
YLR450W	0.929
YOR061W	0.929
YOR078W	0.929
YBL028C	0.930
YER116C	0.930
YGL020C	0.930
YGR231C	0.930
YJL168C	0.930
YJL185C	0.930
YJR145C	0.930
YKR035W-A	0.930
YML028W	0.930
YML106W	0.930
YNL097C	0.930
YNL246W	0.930
YOL039W	0.930
YDR471W	0.931
YER092W	0.931
YKL009W	0.931
YKL081W	0.931
YMR058W	0.931
YBR030W	0.932
YBR033W	0.932
YBR200W	0.932
YCR048W	0.932
YDR150W	0.932
YDR203W	0.932
YFL010C	0.932
YLL043W	0.932
YMR215W	0.932
YNL140C	0.932
YOR327C	0.932
YPL245W	0.932
YBR095C	0.933
YDR225W	0.933
YDR277C	0.933
YFR021W	0.933
YKR016W	0.933
YLL009C	0.933
YNL192W	0.933
YNR041C	0.933
YPR023C	0.933
YPR124W	0.933
YDR269C	0.934
YDR360W	0.934
YER113C	0.934
YGL194C	0.934
YKL076C	0.934
YML071C	0.934
YMR075C-A	0.934
YPR129W	0.934
YBR009C	0.935
YDL190C	0.935
YDR202C	0.935
YEL062W	0.935
YER056C-A	0.935
YFL025C	0.935
YHR030C	0.935
YJR084W	0.935
YLR237W	0.935
YLR434C	0.935
YOR038C	0.935
YPR030W	0.935
YDR358W	0.936
YHL040C	0.936
YJL012C	0.936
YJR050W	0.936
YMR194W	0.936
YNR029C	0.936
YPL037C	0.936
YEL014C	0.937
YER072W	0.937
YGL221C	0.937
YIL038C	0.937
YKR094C	0.937
YLR319C	0.937
YLR436C	0.937
YBR181C	0.938
YBR238C	0.938
YFL018C	0.938
YGR187C	0.938
YHL013C	0.938
YHR167W	0.938
YIL009C-A	0.938
YJL062W	0.938
YKL074C	0.938
YKL204W	0.938
YLR062C	0.938
YOL086C	0.938
YPR130C	0.938
YBR042C	0.939
YER007C-A	0.939
YGL109W	0.939
YGR148C	0.939
YHR008C	0.939
YHR154W	0.939
YLR344W	0.939
YLR404W	0.939
YMR075W	0.939
YMR193C-A	0.939
YOL087C	0.939
YOR164C	0.939
YBR291C	0.940
YDL061C	0.940
YGL149W	0.940
YHL029C	0.940
YLR221C	0.940
YLR425W	0.940
YOL036W	0.940
YPL244C	0.940
YCR102W-A	0.941
YDR014W	0.941
YDR329C	0.941
YDR386W	0.941
YDR514C	0.941
YFR045W	0.941
YIL017C	0.941
YIL053W	0.941
YJL138C	0.941
YLL046C	0.941
YML017W	0.941
YNL096C	0.941
YNL214W	0.941
YOR185C	0.941
YOR251C	0.941
YPL024W	0.941
YDL097C	0.941
YCR051W	0.942
YDR375C	0.942
YER121W	0.942
YFL030W	0.942
YGR087C	0.942
YGR242W	0.942
YHL016C	0.942
YIL049W	0.942
YML129C	0.942
YNL087W	0.942
YBR224W	0.943
YDL002C	0.943
YDL171C	0.943
YDL179W	0.943
YDR469W	0.943
YDR509W	0.943
YGL162W	0.943
YGR072W	0.943
YGR192C	0.943
YHL012W	0.943
YIL058W	0.943
YBR043C	0.944
YBR074W	0.976
YBR118W	0.944
YDR049W	0.944
YFR039C	0.944
YKR042W	0.944
YKR065C	0.944
YML009C-A	0.944
YBR225W	0.945
YER161C	0.945
YER178W	0.945
YFL012W-A	0.945
YGL029W	0.945
YGL195W	0.945
YGR032W	0.945
YJL007C	0.945
YJL208C	0.945
YJL213W	0.945
YKR084C	0.945
YML022W	0.945
YML048W	0.945
YOL136C	0.945
YOR076C	0.945
YOR233W	0.945
YPL115C	0.945
YPR132W	0.945
YBL008W	0.946
YBR094W	0.946
YDL119C	0.946
YDL173W	0.946
YDR109C	0.946
YHL020C	0.946
YLR146C	0.946
YML107C	0.946
YNL083W	0.946
YOR357C	0.946
YPR084W	0.946
YAL027W	0.947
YBL069W	0.947
YDL213C	0.947
YFR009W	0.947
YGL085W	0.947
YGR038W	0.947
YJL162C	0.947
YJR003C	0.947
YLR143W	0.947
YLR392C	0.947
YMR080C	0.947
YOR209C	0.947
YOR270C	0.947
YPL133C	0.947
YPL144W	0.947
YBL081W	0.948
YBL098W	0.948
YBR046C	0.948
YBR162C	0.948
YBR263W	0.948
YDL131W	0.948
YDL226C	0.948
YDR108W	0.948
YDR320C	0.948
YDR402C	0.948
YER170W	0.948
YFR016C	0.948
YGL148W	0.948
YGL255W	0.948
YHR077C	0.948
YIL065C	0.948
YJR066W	0.948
YJR095W	0.948
YKL213C	0.948
YLR367W	0.948
YML047C	0.948
YMR115W	0.948
YOL090W	0.948
YOR127W	0.948
YOR269W	0.948
YOR322C	0.948
YPR167C	0.948
YAL013W	0.949
YBL067C	0.949
YCL014W	0.974
YCL038C	0.949
YDR260C	0.949
YER090W	0.949
YER153C	0.949
YLR111W	0.949
YLR412W	0.949
YMR294W	0.949
YBR022W	0.950
YBR041W	0.950
YBR108W	0.950
YDL125C	0.950
YDR273W	0.950
YDR314C	0.950
YDR389W	0.950
YER078C	0.950
YGL237C	0.950
YGR100W	0.950
YHR117W	0.950
YJR124C	0.950
YKL053C-A	0.950
YKR027W	0.950
YKR060W	0.950
YLR044C	0.950
YML034C-A	0.950
YMR137C	0.950
YNL326C	0.950
YBL009W	0.951
YBR019C	0.951
YDL144C	0.951
YDR255C	0.951
YFL042C	0.959
YFR006W	0.951
YGR110W	0.951
YHR001W-A	0.951
YKR106W	0.951
YNL288W	0.951
YOR268C	0.951
YPL259C	0.951
YBL011W	0.952
YBR057C	0.952
YBR164C	0.952
YBR227C	0.952
YDL056W	0.952
YEL053C	0.952
YER077C	0.952
YGL005C	0.952
YHR189W	0.952
YIL100W	0.952
YJL160C	0.952
YLR427W	0.952
YOL008W	0.952
YOR065W	0.952
YPL112C	0.952
YBL063W	0.953
YBL079W	0.953
YCR065W	0.953
YDL013W	0.953
YGL227W	0.953
YHL008C	0.953
YHR129C	0.953
YIL042C	0.953
YKL087C	0.953
YLR281C	0.953
YLR303W	0.953
YMR256C	0.953
YNL121C	0.953
YPL103C	0.953
YPL179W	0.953
YBR129C	0.954
YCL035C	0.954
YDR205W	0.954
YHR028C	0.954
YIL050W	0.954
YIR013C	0.954
YLL007C	0.954
YLR038C	0.954
YMR021C	0.954
YOL119C	0.954
YOR234C	0.954
YOR308C	0.954
YPL241C	0.954
YBR007C	0.955
YCR083W	0.955
YDL242W	0.955
YDR414C	0.955
YGL133W	0.955
YGR017W	0.955
YGR058W	0.955
YJL024C	0.955
YJL196C	0.955
YKL191W	0.955
YLR021W	0.955
YNL129W	0.955
YNL235C	0.955
YNL273W	0.955
YOR378W	0.955
YBL032W	0.956
YBL091C-A	0.956
YBR221C	0.956
YDL065C	0.956
YDR248C	0.956
YDR253C	0.956
YDR272W	0.956
YDR506C	0.956
YER091C	0.956
YGR239C	0.956
YKL160W	0.956
YKR095W	0.956
YLR456W	0.956
YML007W	0.956
YML090W	0.956
YMR223W	0.956
YNL298W	0.956
YOR367W	0.956
YAL049C	0.957
YBL043W	0.957
YBL048W	0.957
YBR059C	0.957
YBR246W	0.957
YDL192W	0.957
YDR278C	0.957
YER162C	0.957
YKL129C	0.957
YKR003W	0.957
YKR030W	0.957
YLR015W	0.957
YLR114C	0.957
YLR180W	0.957
YMR039C	0.957
YMR054W	0.957
YNL325C	0.957
YNL333W	0.957
YOR109W	0.957
YPL008W	0.957
YPL150W	0.957
YPL172C	0.957
YPR040W	0.957
YPR134W	0.957
YBR010W	0.958
YER179W	0.958
YFL020C	0.958
YGR007W	0.958
YKL068W	0.958
YLR216C	0.958
YLR429W	0.958
YMR067C	0.958
YNL242W	0.958
YNR019W	0.958
YOR316C	0.958
YPL253C	0.958
YDL130W	0.959
YDL162C	0.959
YDR522C	0.959
YGL014W	0.959
YGR019W	0.959
YHR151C	0.959
YIL103W	0.959
YIL145C	0.959
YJR053W	0.959
YKL037W	0.959
YLL052C	0.959
YLR366W	0.959
YML075C	0.959
YMR181C	0.959
YNL233W	0.959
YOL141W	0.959
YOR191W	0.959
YBR073W	0.960
YCL029C	0.960
YDL241W	0.960
YDR056C	0.960
YDR144C	0.960
YDR395W	0.960
YDR486C	0.960
YER123W	0.960
YIL035C	0.960
YIL098C	0.960
YIL168W	0.960
YJR097W	0.960
YMR100W	0.960
YNL105W	0.960
YOR216C	0.960
YDL006W	0.961
YDL010W	0.961
YDR163W	0.961
YDR348C	0.961
YDR525W	0.961
YER183C	0.961
YFL010W-A	0.961
YFL034W	0.961
YGL132W	0.961
YIR016W	0.961
YJR133W	0.961
YKR034W	0.961
YLR003C	0.961
YLR172C	0.961
YLR311C	0.961
YMR135C	0.961
YNR002C	0.961
YOR120W	0.961
YPL105C	0.961
YPR119W	0.961
YPR155C	0.961
YAL040C	0.962
YAR003W	0.962
YCL075W	0.962
YDL024C	0.962
YER075C	0.962
YHR004C	0.962
YHR109W	0.962
YHR156C	0.962
YJL182C	0.962
YLL024C	0.962
YLL040C	0.962
YLR040C	0.962
YLR091W	0.962
YPL184C	0.962
YPL240C	0.962
YPL128C	0.962
YBL068W	0.963
YGL215W	0.963
YGR028W	0.963
YGR134W	0.963
YGR261C	0.963
YHL009C	0.963
YHL025W	0.963
YIL155C	0.963
YJL164C	0.963
YJR110W	0.963
YKR033C	0.963
YKR098C	0.963
YLR181C	0.963
YLR239C	0.963
YLR443W	0.963
YML104C	0.963
YMR126C	0.963
YNR059W	0.963
YPL036W	0.963
YPL212C	0.963
YPR153W	0.963
YDL101C	0.963
YBR013C	0.964
YBR105C	0.964
YBR141C	0.964
YDR435C	0.964
YEL066W	0.964
YFR010W	0.964
YGL042C	0.964
YGR183C	0.964
YGR209C	0.964
YJR036C	0.964
YOR243C	0.964
YOR311C	0.964
YOR358W	0.964
YBL060W	0.965
YBR006W	0.965
YBR061C	0.965
YBR216C	0.965
YDL122W	0.965
YDR161W	0.965
YDR294C	0.965
YDR357C	0.965
YEL012W	0.965
YGR080W	0.965
YGR084C	0.965
YGR117C	0.965
YHL005C	0.965
YIL055C	0.965
YJR088C	0.965
YKR064W	0.965
YLR042C	0.965
YLR049C	0.965
YMR171C	0.965
YNL296W	0.965
YNR039C	0.965
YOR105W	0.965
YPL022W	0.965
YCR007C	0.966
YCR043C	0.966
YDR219C	0.966
YEL043W	0.966
YER028C	0.966
YGR078C	0.966
YGR141W	0.966
YGR174C	0.966
YGR259C	0.966
YHR206W	0.966
YIL015W	0.966
YJR078W	0.966
YJR125C	0.966
YKL039W	0.966
YKR048C	0.966
YLR325C	0.966
YLR330W	0.966
YML081C-A	0.966
YMR048W	0.966
YMR057C	0.966
YNL032W	0.966
YOR055W	0.966
YOR133W	0.966
YOR350C	0.966
YPL047W	0.966
YPL100W	0.966
YPL177C	0.966
YPL214C	0.966
YAL068C	0.967
YBR062C	0.967
YBR180W	0.967
YBR182C	0.967
YBR187W	0.967
YDL070W	0.967
YDR426C	0.967
YDR533C	0.967
YER187W	0.967
YGR079W	0.967
YGR248W	0.967
YHR161C	0.967
YIL014C-A	0.967
YJL217W	0.967
YLR061W	0.967
YMR316C-A	0.967
YNL086W	0.967
YOL081W	0.967
YOL117W	0.967
YOL138C	0.967
YPR061C	0.967
YAR035W	0.968
YDL229W	0.968
YDR425W	0.968
YDR501W	0.968
YER177W	0.968
YFR007W	0.968
YFR033C	0.968
YGR086C	0.968
YGR225W	0.968
YGR269W	0.968
YHL028W	0.968
YKR097W	0.968
YMR164C	0.968
YMR313C	0.968
YNL183C	0.968
YNR042W	0.968
YOL027C	0.968
YOL049W	0.968
YOR053W	0.968
YPR170C	0.968
YLR270W	0.968
YBR058C	0.969
YCL024W	0.969
YDL128W	0.969
YDR179W-A	0.969
YDR290W	0.969
YEL004W	0.969
YHL014C	0.969
YJL042W	0.969
YJR075W	0.969
YLL048C	0.969
YLR217W	0.969
YLR266C	0.969
YLR426W	0.969
YNL044W	0.969
YNL051W	0.969
YNL077W	0.969
YOL092W	0.969
YOR186W	0.969
YOR315W	0.969
YPL004C	0.969
YPL073C	0.969
YPR096C	0.969
YBL057C	0.970
YBR242W	0.970
YDL199C	0.970
YDR157W	0.970
YDR178W	0.970
YER176W	0.970
YFR011C	0.970
YGR208W	0.970
YIL132C	0.970
YLL053C	0.970
YLR218C	0.970
YOL155C	0.970
YOR112W	0.970
YOR113W	0.970
YOR154W	0.970
YAL028W	0.971
YAR015W	0.971
YBL102W	0.971
YDR345C	0.971
YDR493W	0.971
YFL063W	0.971
YGL079W	0.971
YGL230C	0.971
YHL035C	0.971
YHR075C	0.971
YHR116W	0.971
YIL006W	0.971
YJL137C	0.971
YJR083C	0.971
YKL098W	0.971
YLR233C	0.971
YLR333C	0.971
YLR346C	0.971
YLR406C	0.971
YLR432W	0.971
YML072C	0.971
YMR070W	0.971
YMR241W	0.971
YNL299W	0.971
YOL137W	0.971
YOR178C	0.971
YPR065W	0.971
YBL071C	0.972
YBR278W	0.972
YCL037C	0.972
YDL155W	0.972
YDL180W	0.972
YDR354W	0.972
YDR490C	0.972
YEL038W	0.972
YGL252C	0.972
YGR127W	0.972
YHR076W	0.972
YKR104W	0.972
YLL019C	0.972
YLL049W	0.972
YLR094C	0.972
YLR113W	0.972
YLR284C	0.972
YLR460C	0.972
YNL030W	0.972
YNL040W	0.972
YNL056W	0.972
YNL108C	0.972
YNL170W	0.972
YPL208W	0.972
YPR032W	0.972
YBR014C	0.973
YBR072W	0.973
YDR121W	0.973
YDR318W	0.973
YDR401W	0.973
YDR441C	0.973
YER052C	0.973
YFR044C	0.973
YJR077C	0.973
YLR059C	0.973
YNL300W	0.973
YOL129W	0.973
YOL152W	0.973
YPL196W	0.973
YAL061W	0.974
YBL066C	0.974
YCR028C-A	0.974
YDL182W	0.974
YER119C	0.974
YFR018C	0.974
YGR089W	0.974
YGR111W	0.974
YHL045W	0.974
YHR158C	0.974
YIL137C	0.974
YJL124C	0.974
YJL147C	0.974
YJL198W	0.974
YJR062C	0.974
YKL217W	0.974
YML096W	0.974
YNL071W	0.974
YNL095C	0.974
YNL143C	0.974
YNL291C	0.974
YNR009W	0.974
YOL080C	0.974
YOR175C	0.974
YOR190W	0.974
YPL025C	0.974
YPL087W	0.974
YPL125W	0.974
YPR064W	0.974
YPR120C	0.974
YPR148C	0.974
YBR104W	0.975
YBR271W	0.975
YBR292C	0.975
YDL052C	0.975
YDR152W	0.975
YDR183W	0.975
YDR310C	0.975
YEL042W	0.975
YER048C	0.975
YGR052W	0.975
YIL079C	0.975
YJL092W	0.975
YKL167C	0.975
YLR014C	0.975
YLR313C	0.975
YMR052C-A	0.975
YOR054C	0.975
YOR142W	0.975
YOR265W	0.975
YOR266W	0.975
YPL088W	0.975
YPR014C	0.975
YBL021C	0.976
YBR132C	0.976
YBR169C	0.976
YDL138W	0.976
YDR289C	0.976
YER084W	0.976
YER085C	0.976
YGL023C	0.976
YGR092W	0.976
YGR143W	0.976
YGR194C	0.976
YGR228W	0.976
YIL041W	0.976
YJL139C	0.976
YLR144C	0.976
YLR408C	0.976
YNL179C	0.976
YNL286W	0.976
YNL293W	0.976
YOL054W	0.976
YOL111C	0.976
YOL128C	0.976
YBR165W	0.977
YBR255W	0.977
YCL057W	0.977
YCR032W	0.977
YDR399W	0.977
YEL005C	0.977
YGL160W	0.977
YGL229C	0.977
YGR107W	0.977
YGR125W	0.977
YGR132C	0.977
YGR170W	0.977
YGR206W	0.977
YGR241C	0.977
YGR283C	0.977
YHL043W	0.977
YHR176W	0.977
YJL094C	0.977
YJR044C	0.977
YKL027W	0.977
YKR009C	0.977
YKR051W	0.977
YLR017W	0.977
YLR350W	0.977
YLR394W	0.977
YML019W	0.977
YML034W	0.981
YML108W	0.977
YMR174C	0.977
YNL045W	0.977
YNL089C	0.977
YOR082C	0.977
YOR144C	0.977
YOR189W	0.977
YPL018W	0.977
YPL108W	0.977
YPL183W-A	0.977
YPR106W	0.977
YPR188C	0.977
YPR191W	0.977
YAR031W	0.978
YBR283C	0.978
YDL023C	0.978
YER059W	0.978
YHL002W	0.978
YHR157W	0.978
YIL152W	0.978
YJL153C	0.978
YJR011C	0.978
YKL061W	0.978
YKL066W	0.978
