ORF	hap alpha | growth (pooled culture) | gamma-valerolactone [2.3%] | YPGal [2%] | Bottoms S~Piotrowski JS, 2018
YGR230W	0.488
YDL155W	0.438
YML009C	0.557
YLR061W	2.803
YBL087C	1.876
YCL024W	0.466
YOR030W	1.736
YPL111W	1.733
YGR022C	0.638
YNL120C	2.155
YCR030C	2.158
YER005W	0.392
YJL122W	1.658
YJL177W	1.522
YDL091C	0.151
YIL173W	1.463
YLR327C	0.621
YOR009W	1.827
YLR055C	0.536
YHL025W	0.268
YGL159W	0.590
YML009C-A	1.936
YPR198W	1.925
YMR056C	1.522
YML036W	1.946
YGL232W	0.623
YOL044W	0.344
YLR011W	0.601
YKL093W	1.675
YPL227C	0.619
YER093C-A	0.560
YDR451C	1.646
YOL085C	1.550
YBR183W	1.548
YGL156W	1.701
YMR016C	0.428
YOL043C	0.507
YDR061W	0.378
YLR395C	0.613
YPL060W	0.459
YCR049C	0.585
YDR463W	0.382
YJR149W	1.802
YCR043C	0.635
YDR024W	2.066
YOL052C-A	1.666
YPL125W	1.740
YML096W	0.504
YCR085W	1.858
YJL144W	1.497
YOR153W	1.988
YKR054C	0.562
YGR205W	0.575
YBR013C	0.633
YNL002C	43.756
YCR081W	5.251
YER164W	0.355
YJL162C	1.738
YBL086C	0.292
YIL110W	1.608
YLR190W	0.324
YDL095W	0.574
YIR021W-A	93.194
YAR037W	1.642
YPL158C	1.639
YBL010C	0.585
YPR024W	0.263
YAL018C	1.661
YJL094C	1.579
YPL152W	0.540
YDR525W	1.568
YOR284W	0.547
YML131W	1.563
YBL103C	0.541
YFL012W-A	1.714
YKL032C	0.445
YNR031C	1.448
YPL101W	0.294
YNL056W	0.499
YKL048C	0.535
YLR337C	0.026
YFL015C	0.624
YNL162W	2.663
YMR158C-A	1.544
YEL017W	1.603
YPR097W	0.569
YOR315W	1.446
YLR199C	0.510
YBR254C	83.607
YDR352W	0.522
YPR149W	0.539
YER119C-A	0.384
YPR147C	0.593
YCR031C	1.784
YGL258W	0.273
YIL053W	1.676
YNL168C	1.711
YJL048C	1.704
YBR290W	0.587
YLR136C	0.262
YLR089C	0.472
YGL177W	2.025
YJL152W	1.613
YEL015W	0.596
YKR027W	1.892
YGR158C	39.111
YOR068C	2.290
YKL092C	1.610
YOR209C	0.228
YER074W	0.232
YBL013W	0.625
YCR090C	0.520
YDR402C	0.522
YKL057C	2.090
YNL190W	1.471
YLL009C	0.539
YIL156W	0.520
YBR168W	0.379
YPL105C	0.423
YHR008C	0.247
YJR147W	1.509
YBR082C	0.421
YMR210W	0.579
YOR114W	1.559
YBL008W-A	40.973
YLR241W	1.718
YPL089C	2.193
YFR044C	1.629
YNL202W	1.484
YNL049C	1.710
YDR134C	1.693
YML012C-A	0.393
YPL052W	0.104
YML013W	0.592
YPR043W	2.576
YGR181W	1.728
YFL031W	0.594
YIL134C-A	64.167
YPL157W	0.570
YDL119C	2.237
YLL053C	1.565
YHR126C	1.538
YGR206W	0.547
YGL162W	1.434
YCR065W	0.617
YOL047C	1.456
YLR371W	1.645
YDR220C	1.960
YER060W-A	1.681
YCR073C	1.489
YIR001C	1.422
YBL023C	39.282
YKR058W	1.475
YMR048W	0.324
YOL031C	0.676
YER065C	0.477
YIL098C	0.617
YGR269W	0.657
YDL134C	0.492
YHR158C	1.591
YER131W	1.605
YPL067C	1.580
YNL224C	1.635
YPR145W	0.625
YNL175C	1.667
YDL122W	1.865
YDR020C	0.036
YDR497C	0.645
YJR140C	1.443
YMR202W	0.286
YPR135W	0.464
YNL058C	0.224
YDR025W	34.263
YGL257C	0.534
YPL224C	0.565
YGL179C	1.413
YBR089C-A	0.336
YDR490C	0.093
YPR174C	0.694
YBR220C	0.236
YER027C	1.482
YLR028C	0.321
YGL153W	0.570
YLR130C	1.524
YKL033W-A	1.695
YNR066C	1.566
YMR112C	54.463
YER078C	0.600
YPL018W	0.176
YLR286C	0.413
YJR108W	1.405
YJR100C	0.238
YJL047C-A	55.015
YBR172C	0.084
YBR193C	57.819
YOR327C	1.463
YJL068C	0.642
YER033C	1.805
YML103C	0.594
YOR197W	0.555
YGL020C	0.215
YER123W	0.597
YJL101C	0.215
YGL236C	0.493
YHR009C	0.429
YCL006C	0.451
YKR011C	0.366
YAL005C	1.621
YCR045C	0.627
YGR141W	1.467
YJL058C	0.623
YPL057C	0.313
YHL029C	0.573
YKL212W	0.331
YNL130C-A	59.307
YDL242W	1.435
YDL144C	1.530
YLL041C	0.574
YJR087W	1.446
YOL050C	1.505
YKL102C	1.542
YDR425W	0.562
YML011C	0.656
YHL020C	1.811
YNL238W	0.442
YHR141C	47.840
YBR186W	0.634
YBR208C	1.506
YMR204C	0.589
YHL023C	1.539
YMR052C-A	0.488
YOR086C	0.556
YDL083C	1.974
YFL048C	1.933
YMR178W	0.631
YCR101C	0.422
YIR030C	0.618
YBR223C	1.448
YLR070C	1.472
YMR177W	1.528
YOL053W	0.605
YJR131W	1.681
YDL182W	1.480
YMR182C	0.579
YMR022W	0.621
YAL004W	1.498
YGR291C	1.398
YPL176C	1.571
YDR127W	0.026
YHR094C	1.443
YIL149C	0.671
YFL050C	1.431
YAL037W	0.630
YMR035W	53.599
YPL200W	0.557
YMR157C	0.650
YER140W	0.658
YDR437W	61.395
YDR254W	0.538
YMR166C	0.610
YOR020C	34.047
YPR093C	0.645
YJL158C	0.639
YLR050C	1.527
YIL067C	0.596
YHR078W	0.681
YIL039W	1.575
YAR035W	1.456
YDR068W	1.690
YDR370C	0.518
YLL012W	0.638
YLR294C	0.331
YER159C	45.181
YGR163W	0.551
YLR019W	0.649
YLR234W	0.508
YHR121W	1.509
YMR132C	0.660
YGR231C	1.548
YDR057W	0.297
YIR023W	2.104
YER045C	0.675
YFL002C	47.489
YGR200C	0.406
YDL052C	0.384
YPL155C	0.695
YFR024C-A	1.437
YLR377C	0.657
YMR155W	1.389
YJL164C	1.446
YKR065C	1.423
YDL037C	0.490
YDL077C	0.439
YER152C	0.692
YDR289C	0.423
YER088C	0.663
YLR373C	0.459
YBR076W	1.451
YIL069C	43.587
YGL214W	0.508
YGR193C	1.923
YOL111C	1.503
YCL051W	1.695
YDR184C	1.690
YPR141C	0.275
YDL176W	0.663
YDR341C	56.474
YER095W	0.036
YLR278C	0.648
YNL314W	1.483
YGR133W	0.297
YOR132W	0.380
YPL244C	0.215
YAL001C	0.223
YJR154W	1.559
YNR060W	1.452
YLR168C	1.726
YKR007W	0.270
YIL103W	1.454
YHR081W	1.751
YDR241W	1.467
YDL085C-A	40.804
YDL178W	0.628
YOR136W	0.288
YKL037W	0.454
YKL192C	40.539
YBR259W	1.488
YBL050W	40.935
YDR224C	20.967
YFR009W	0.602
YBL039C	1.477
YGR214W	1.594
YBL032W	1.443
YDR414C	1.647
YGR035W-A	40.403
YIL123W	0.548
YPR083W	0.580
YKL070W	0.627
YLR412W	0.397
YDR041W	42.372
YNL274C	1.401
YOR003W	0.609
YPL260W	1.399
YLR073C	1.425
YJR080C	0.409
YDR154C	0.589
YOR320C	1.397
YDR162C	0.432
YAL061W	1.542
YGL196W	0.650
YLR104W	0.178
YNL064C	0.200
YMR284W	0.707
YJL193W	1.433
YOL122C	0.477
YLR284C	0.486
YIL077C	1.418
YDL024C	0.523
YDR011W	1.861
YPR009W	1.569
YPR192W	1.462
YBR275C	1.663
YLR012C	1.562
YDR400W	0.671
YDR494W	38.670
YKL025C	1.733
YDR489W	53.221
YOL152W	1.477
YMR201C	0.562
YJR097W	0.659
YNL201C	0.647
YNL129W	0.641
YAL026C	1.540
YBL024W	0.637
YCL064C	0.553
YDR475C	0.635
YPL026C	0.338
YNL239W	1.482
YNL086W	1.963
YML125C	36.024
YPL056C	0.670
YGR052W	1.634
YNL150W	35.893
YML006C	0.693
YAR008W	36.281
YGR210C	0.642
YBR143C	48.631
YER170W	1.420
YNL041C	0.163
YBR137W	0.677
YDR499W	40.677
YMR216C	1.387
YPR091C	1.503
YJR151W-A	38.926
YER126C	35.759
YGR188C	0.290
YAR002C-A	1.410
YOL012C	0.246
YOL109W	1.401
YER135C	1.579
YDL168W	0.620
YIR005W	1.492
YBL072C	3.764
YML099W-A	1.513
YDR424C	0.557
YFL053W	1.455
YKL206C	0.606
YGL212W	0.418
YNL222W	37.726
YOL087C	1.448
YNL053W	0.677
YNL228W	1.627
YBR068C	0.531
YKL103C	0.285
YOR386W	0.650
YOL003C	1.389
YMR030W	0.232
YBL102W	1.380
YDR275W	0.606
YLR146C	1.420
YMR225C	0.715
YJR001W	0.335
YDR339C	65.849
YNL094W	1.702
YMR156C	1.454
YOR212W	34.432
YML060W	0.630
YKL113C	0.252
YDL142C	0.502
YDR491C	0.530
YNL082W	0.628
YDL112W	0.679
YJL020C	1.127
YKR025W	34.015
YLR280C	0.480
YMR029C	0.592
YGR134W	1.577
YDL215C	0.690
YAL056C-A	1.507
YBR177C	0.558
YDL070W	0.683
YHR161C	1.506
YDL131W	0.644
YOR350C	0.202
YNL299W	0.386
YGL194C	0.646
YBR151W	0.638
YOL024W	0.599
YBR251W	41.901
YMR075C-A	0.472
YHR049C-A	0.700
YKL121W	0.635
YLL046C	1.477
YML007W	0.654
YER059W	0.557
YLR026C	40.941
YGL142C	31.376
YKL095W	31.376
YER188W	3.252
YGR250C	1.410
YPR157W	0.664
YBR269C	0.689
YGL172W	31.248
YNR022C	1.411
YDR074W	0.350
YGL163C	0.435
YLR268W	0.471
YLR296W	0.674
YJR010W	0.687
YLR001C	1.458
YEL034W	58.647
YMR207C	1.457
YLR024C	0.634
YOR149C	34.264
YPR075C	0.664
YJR133W	1.415
YKL096W	0.552
YJL172W	0.623
YGR023W	0.622
YMR259C	0.579
YHR004C	0.557
YFL041W	1.555
YMR214W	0.662
YDR459C	0.727
YOR293W	2.067
YDR049W	0.448
YDR431W	0.586
YDR076W	0.520
YMR097C	32.739
YCL055W	1.462
YDR485C	0.735
YER183C	0.631
YER187W	1.353
YLR428C	0.712
YHR151C	1.465
YDR540C	0.644
YOR177C	0.602
YNR001C	0.646
YDR481C	1.467
YNL012W	1.349
YOR219C	0.680
YLR079W	0.451
YHR127W	0.646
YPR027C	0.401
YNL293W	0.694
YNL154C	1.500
YJL064W	0.718
YLR211C	0.627
YPR122W	0.687
YOR064C	1.984
YOL028C	0.642
YOL046C	1.409
YOR343C	1.396
YHR031C	1.467
YLR036C	0.221
YDL066W	0.264
YPL032C	0.706
YKL085W	0.604
YLL028W	0.663
YDR174W	0.301
YPR172W	0.253
YMR017W	1.532
YDR351W	0.457
YNL066W	1.624
YLR127C	29.353
YDR265W	0.532
YIR029W	0.623
YKL105C	0.655
YDR421W	0.527
YPR076W	0.685
YIL135C	0.534
YLR032W	0.512
YKL215C	1.449
YOL071W	0.394
YPR068C	1.553
YBR016W	0.629
YLR038C	0.549
YLR053C	0.379
YNL335W	1.412
YJR120W	0.617
YLR080W	1.441
YPR138C	0.644
YDL204W	1.499
YDR045C	33.079
YPL168W	0.663
YOL130W	15.924
YFL054C	0.708
YLR355C	30.236
YHR095W	0.608
YJL147C	1.671
YBR107C	0.667
YDL025C	0.592
YGL058W	29.474
YLR096W	1.440
YGL051W	0.523
YIL084C	1.791
YNL022C	1.354
YGR241C	0.590
YLR402W	1.484
YDR146C	1.435
YMR239C	29.111
YBR194W	49.045
YNL277W	0.726
YMR197C	29.110
YBR160W	29.110
YJL138C	0.660
YDR280W	30.331
YOR235W	0.514
YBR130C	0.410
YFR008W	0.696
YKL075C	1.579
YLR084C	0.687
YLR390W-A	0.980
YPR092W	0.682
YHR104W	0.697
YBR165W	1.339
YOL025W	1.503
YDL123W	0.725
YNL078W	1.636
YMR281W	30.721
YLR253W	0.485
YOL091W	1.432
YMR213W	43.934
YNL096C	7.338
YER112W	26.470
YMR196W	0.669
YHL044W	1.391
YLR405W	0.229
YCR034W	5.161
YBL027W	0.557
YDL234C	0.318
YBL011W	1.328
YIL166C	1.350
YMR315W	1.354
YGL115W	0.424
YDL100C	29.594
YER083C	0.230
YDR397C	27.827
YEL037C	1.592
YKR087C	0.323
YFR006W	1.383
YPL096C-A	28.720
YFL001W	0.417
YMR277W	28.720
YDR403W	0.758
YMR105W-A	44.244
YJL054W	28.720
YMR298W	28.719
YIL005W	0.384
YFR032C-A	1.479
YPR052C	0.585
YKL079W	1.388
YBL098W	1.340
YMR133W	0.664
YKR088C	0.626
YPL170W	0.726
YIL079C	1.436
YDR222W	0.463
YFR032C	0.672
YAL009W	27.743
YPL064C	0.603
YIL037C	1.366
YLR354C	0.584
YDR021W	26.843
YHL045W	1.335
YCL025C	0.674
YCL029C	0.547
YNL326C	1.337
YBL001C	26.597
YER163C	0.703
YKL023W	0.540
YLR112W	0.687
YMR193C-A	1.459
YPR040W	0.675
YJL187C	0.755
YIL003W	14.649
YFR031C-A	1.451
YOR311C	0.523
YBL075C	0.690
YER007C-A	0.655
YGR089W	0.651
YHR016C	0.652
YDL194W	0.687
YMR057C	1.480
YCL001W-A	27.198
YDL211C	1.444
YJR085C	25.520
YBR040W	0.570
YGR075C	26.465
YDR387C	0.350
YDL027C	0.345
