orf	hap alpha | growth (pooled culture) | gamma-valerolactone [2.3%] | YPGal [2%] | Bottoms S~Piotrowski JS, 2018
YBL017C	-0.18191262885191742
YBL019W	0.1914793307079837
YBL021C	-0.0941102724440409
YBL024W	-0.06697640482675336
YBL025W	0.01179487003907475
YBL027W	-0.0844099238289669
YBL028C	-0.0417236669005514
YBL029C-A	1.5787293768671178
YBL029W	0.006233240088848053
YBL031W	0.01179487003907475
YBL032W	0.10798167966979427
YBL036C	0.019785406774799983
YBL037W	-0.15570954970706458
YBL038W	0.5346983259654249
YBL039C	0.11538302989487102
YBL042C	0.058543986325490814
YBL045C	0.01179487003907475
YBL046W	0.23546504884971003
YBL047C	0.02351055092997602
YBL048W	0.023282701027475664
YBL049W	0.018907305093508284
YBL051C	-0.16176688794351468
YBL052C	0.04024070157432133
YBL053W	0.020765624115600075
YBL054W	-0.04764340353748376
YBL055C	0.1479505151262791
YBL056W	0.19714832732777354
YBL057C	0.1665687473900728
YBL059W	-0.03513958339417793
YBL060W	0.023998525421100345
YBL061C	0.04389011449077231
YBL062W	0.027047855183326693
YBL063W	-0.04130304799299214
YBL064C	0.01577355043773883
YBL065W	-0.09711870593077705
YBL066C	0.002284949387207725
YBL067C	-0.12113278548069394
YBL068W	-0.04765371323834616
YBL069W	0.013347027672885625
YBL070C	-0.06443860345388025
YBL071C	-0.04200375557283335
YBL071C-B	4.788788315645225
YBL071W-A	0.8645480238761649
YBL072C	0.6116867111110095
YBL075C	-0.055476290803092625
YBL078C	-0.09613422782868701
YBL079W	0.43940846313157467
YBL080C	1.0567357566002316
YBL081W	0.19932593775952634
YBL082C	-0.17906236058081829
YBL083C	-0.17594294803522822
YBL085W	-0.024747664100020734
YBL086C	-0.1418496357587686
YBL087C	0.20191788481480685
YBL088C	0.016299791900695224
YBL089W	0.018918324378590798
YBL090W	4.450552264110955
YBL091C	-0.08480412271714628
YBL091C-A	0.030164748477017455
YBL093C	0.5347549101516956
YBL095W	0.6345121528711418
YBL096C	0.01103497979247982
YBL098W	0.08560065795204434
YBL102W	0.09437079657187748
YBL103C	-0.08793121262103602
YBL104C	0.018689266511518712
YBL106C	0.045912412370033025
YBL107C	0.015082671977706684
YBR001C	0.02510285640049122
YBR005W	-0.04057119055585222
YBR006W	0.006932616411417281
YBR007C	0.3096304978490794
YBR008C	0.039234197274749145
YBR009C	0.05599651667768693
YBR010W	0.018293779127796183
YBR012C	-0.04077589355627316
YBR013C	-0.06796159121067585
YBR014C	-0.0170808041303343
YBR016W	-0.06874654091565598
YBR018C	-0.044799354818742934
YBR019C	-0.003841172283832247
YBR020W	0.17354598092841528
YBR022W	0.03328582048157442
YBR024W	-0.05232271749695596
YBR025C	0.17416233589722954
YBR027C	-0.050965001785176954
YBR028C	-0.019959048339959814
YBR030W	-0.03866368273885708
YBR031W	0.05457664407982587
YBR032W	0.19048565579530244
YBR033W	0.20943973346734374
YBR034C	0.0186824906225571
YBR035C	2.487978443308667
YBR036C	0.03818532044325327
YBR037C	1.9963586515569796
YBR039W	0.01179487003907475
YBR040W	-0.08148494322043652
YBR041W	-0.055216760537379235
YBR043C	0.022224944082659057
YBR044C	-0.11843358462944903
YBR045C	0.13832999093733883
YBR046C	-0.07593294594654407
YBR047W	0.027222214938551096
YBR048W	0.08123714370086724
YBR050C	0.01179487003907475
YBR051W	-0.039683092832063976
YBR052C	0.09209354653665763
YBR053C	0.020318445833179315
YBR054W	-0.07853098188128584
YBR056W	-0.10297759002288732
YBR056W-A	2.622028043081725
YBR057C	0.017821121149899328
YBR058C	0.02172860804557463
YBR059C	-0.059286608507662215
YBR061C	-0.036215386222666755
YBR062C	0.06727442230814105
YBR063C	0.06297232648923226
YBR064W	0.04811216990425738
YBR065C	0.033102849339020274
YBR066C	-0.010755977388261754
YBR067C	1.6357706467296835
YBR068C	-0.09003033010099168
YBR069C	-0.1247354211900928
YBR071W	0.33553152702648753
YBR072C-A	6.271726112973617
YBR072W	0.03499385026044984
YBR073W	0.021257128294397555
YBR074W	0.05346950189663112
YBR076W	0.1097309476009255
YBR077C	-0.10685504212218126
YBR078W	-0.1193461014710139
YBR081C	0.01179487003907475
YBR082C	-0.11384014555513522
YBR083W	-0.021435163898519755
YBR084C-A	0.0061308001348077505
YBR084W	-0.04532888676416888
YBR085C-A	2.0562149349244483
YBR085W	0.0077148653984815685
YBR086C	0.2703353330554255
YBR089C-A	-0.1323876998443962
YBR090C	0.5954128810764582
YBR092C	0.4576825453120893
YBR095C	0.20994128665240328
YBR096W	0.020673811427951126
YBR098W	-0.00501177721382127
YBR099C	0.040728975831676284
YBR104W	0.05694616502609288
YBR105C	0.017162323537291375
YBR107C	-0.060505912751852096
YBR111C	-0.0009852794344792385
YBR111W-A	4.161802051720426
YBR113W	-0.11709827866832344
YBR114W	0.01179487003907475
YBR116C	0.1516192072875338
YBR118W	-0.0850343755249133
YBR119W	0.2670444563965495
YBR120C	3.1436504882868754
YBR125C	0.04980732406147928
YBR126C	-0.1388278232775412
YBR128C	0.603454171642947
YBR129C	0.07932119532639285
YBR130C	-0.1163184796895469
YBR132C	-0.03244683174965199
YBR134W	-0.0345217061512322
YBR137W	-0.0583318773742766
YBR138C	0.04715779692748335
YBR141C	0.07440110591790573
YBR145W	0.5713623893718279
YBR146W	-0.13383597860284674
YBR147W	-0.02682689238360993
YBR148W	-0.02623591074861134
YBR149W	2.10026416291599
YBR151W	-0.06681441601795711
YBR157C	0.1696846371940573
YBR158W	-0.1064331991872689
YBR161W	-0.09053037012863355
YBR162C	0.01179487003907475
YBR162W-A	0.04625223223134589
YBR163W	0.01179487003907475
YBR164C	-0.05280745012808409
YBR165W	0.08538175653821786
YBR166C	-0.12267599918418785
YBR168W	-0.12306273712748673
YBR171W	-0.15648266939063232
YBR172C	-0.18693353869536666
YBR174C	0.5596287487719058
YBR175W	0.3334742856516855
YBR176W	0.06489238780399513
YBR177C	-0.08410355492691589
YBR178W	-0.022028585339769254
YBR180W	0.2764773332199763
YBR181C	0.32072751876204025
YBR182C	0.03182278892669651
YBR182C-A	0.01179487003907475
YBR183W	0.13081044425502356
YBR184W	0.03029661284174713
YBR185C	-0.02426385768359658
YBR186W	-0.06773256763981265
YBR188C	-0.016524615130970984
YBR189W	-0.060307540875000586
YBR194W	10.44075289545111
YBR195C	0.01179487003907475
YBR197C	0.05085992246576623
YBR199W	-0.06718559628924338
YBR200W-A	3.143568031952308
YBR203W	-0.14587927424599714
YBR205W	-0.05295488801054317
YBR206W	-0.02532737986453632
YBR207W	0.02781700453805676
YBR208C	0.12161975770775967
YBR209W	-0.01385226083107066
YBR210W	-0.1056509467271708
YBR212W	0.029211618846347064
YBR214W	-0.01860269362330475
YBR215W	-0.19173865592437783
YBR216C	0.6559101265084727
YBR217W	-0.011312563832931617
YBR218C	0.19530051965956968
YBR219C	-0.022362198672600635
YBR220C	-0.15400450044239122
YBR221W-A	1.009670334193778
YBR223C	0.10895491339079805
YBR224W	-0.019986097846717628
YBR225W	-0.0338461231491601
YBR226C	0.4515023832349793
YBR227C	0.01179487003907475
YBR228W	-0.008557769695374725
YBR229C	-0.03720647567874171
YBR230C	0.045806723392864304
YBR231C	-0.14913909981197346
YBR232C	0.29451570472009275
YBR233W	2.622104332610635
YBR235W	-0.020055227933494544
YBR238C	0.3751636928803889
YBR239C	0.08180882850882845
YBR240C	-0.03984373670851766
YBR241C	0.0032046245855824156
YBR244W	-0.0025076547180537417
YBR245C	-0.04602484084604844
YBR246W	-0.07014629791875912
YBR248C	0.01179487003907475
YBR249C	3.143795357209639
YBR250W	0.03994677134285772
YBR251W	8.889937639132325
YBR255W	0.06701493719186713
YBR258C	0.006538687334551967
