orf	hom | growth (culture turbidity) | standard | SC | Tun NM~Wu MJ, 2013	hom | growth (culture turbidity) | diamide [0.8 mM] | SC | Tun NM~Wu MJ, 2013	hom | growth (culture turbidity) | aluminium sulphate [0.4 mM] | SC | Tun NM~Wu MJ, 2013	hom | growth (culture turbidity) | aluminium sulphate [0.4 mM], diamide [0.8 mM] | SC | Tun NM~Wu MJ, 2013
YBL068W	0.7569353205798467	0.9915117297733488	1.3160945872092566	1.5647988815147804
YBL069W	0.8020524075655344	1.0525408540735544	1.1862268269755751	1.3399713210808797
YBL070C	0.7937462371419675	1.0440336299681992	1.2853741363953242	1.082076595578736
YBL071C	0.9605224487223971	1.0040858443648382	1.1395772379042866	0.9847021639824006
YBL071C-B	0.928216187904842	1.0097648540627633	0.7463725446790979	0.8996022416802387
YBL071W-A	0.9663990134300943	0.9701511087668865	0.9884135766352179	0.5643244016849908
YBL072C	1.0095411823164315	0.9762409280869524	1.0355735149173098	0.8214954855811037
YBL075C	1.0094686107198931	0.9921431829847295	0.961289998095342	1.171660982553537
YBL078C	0.9236487954628135	0.9722070874668846	1.1842050617531674	0.8542935258901729
YBL079W	0.9738408176666209	0.8849664868044658	1.1230822495716943	0.8251610828356858
YBL080C	0.9440062200019969	1.0423538946599051	1.1575451648660389	1.0309072570660855
YBL081W	0.8300541406003499	1.0334065131344365	1.2586917256217653	1.0494492293485411
YBL082C	0.8227776354625316	1.1641405361442905	1.2556780973996546	0.8272233558672776
YBL083C	1.0086226280596562	0.9114166939730869	1.0292570665818626	0.7198960049077618
YBL085W	0.9564571413689305	1.0520595445303582	1.139362356549997	1.1186706580105905
YBL086C	0.9431572935451613	1.0083687257920417	1.128640093524863	1.2179559204743875
YBL087C	0.9431667260613474	1.0757523923061911	1.000282257578748	0.9926664237199762
YBL088C	0.9439794375770241	0.8946786410604053	0.9987094031939076	0.8916581151550647
YBL089W	1.0130166599479635	0.7672008856544121	0.9502203546887631	0.9023708749536637
