orf	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YBR274W	7.06657638914231
YBR275C	7.035690632404825
YBR276C	7.045249551386405
YBR277C	7.063138282681775
YBR278W	6.981589804288845
YBR280C	7.0116389441901354
YBR281C	7.025870075382185
YBR283C	6.89819810111267
YBR284W	7.00504846318854
YBR285W	6.99521706643711
YBR286W	7.04139997761599
YBR287W	6.9998200503394195
YBR288C	6.97767582703755
YBR289W	6.780245015537716
YBR290W	7.062441445562936
YBR291C	7.090207512908005
YBR292C	7.103153838652145
YBR293W	7.08199662479985
YBR294W	6.85948942216991
YBR295W	6.907414782799935
YBR296C	6.99930742706368
YBR297W	7.0569880220612
YBR298C	7.019712827690405
YBR299W	7.036749536218871
YBR300C	7.042159465262451
YBR301W	7.033510493439625
YCL001W	7.069212213072475
YCL001W-A	7.010079959241275
YCL002C	7.028869904802965
YCL009C	7.001496369535305
YCL010C	8.25066080848752
YCL011C	6.990054020205885
YCL014W	6.9616267302241255
YCL016C	7.002869063593645
YCL022C	6.995402472584875
YCL023C	7.067893745667774
YCL024W	6.965908796941616
YCL025C	7.07192204193151
YCL026C-A	6.99640949705206
YCL027W	7.031444049675375
YCL028W	7.023548445909815
YCL029C	6.9860918855479
YCL030C	6.7212639464676105
YCL032W	6.99284656082912
YCL033C	6.9942230579974645
YCL034W	6.99082162518903
YCL035C	7.012123650977831
YCL036W	6.924531467975295
YCL037C	6.720287050934145
YCL038C	6.961236776305634
YCL039W	7.063324356506374
YCL040W	7.0111310997928395
YCL042W	6.9671606295891895
YCL044C	6.99013265368302
YCL045C	6.996579836258305
YCL046W	7.0134724417574805
YCL047C	6.997822321896065
YCL048W	7.029168306724674
YCL049C	6.990367194285145
YCL050C	6.92984509682069
YCL051W	6.9832112804624
YCL055W	6.966381894994525
YCL056C	6.958227206344365
YCL057W	6.971670018271405
YCL061C	6.85000814588966
YCL063W	6.972957135916625
YCL064C	6.97568420629264
YCL069W	7.007780913993655
YCL076W	6.965297052003355
YCR001W	7.046157393165155
YCR005C	6.974355159562455
YCR006C	6.94303895545627
YCR007C	6.933923034011
YCR008W	6.95438763927498
YCR009C	6.910896795232425
YCR010C	6.982102701532375
YCR011C	6.977082920128205
YCR014C	6.93353472149409
YCR015C	7.06439185095099
YCR016W	6.917992029365376
YCR017C	6.942628600123885
YCR019W	7.066157437587416
YCR020C	7.091803027223645
YCR020C-A	7.020595336629279
YCR021C	6.992067436702531
YCR022C	7.0047299744742855
YCR023C	7.047767697705121
YCR024C-A	6.99398827074776
YCR025C	6.99216631147909
YCR026C	6.99798345602896
YCR027C	6.955777280090626
YCR028C-A	6.948143210599625
YCR030C	7.0041527491293
YCR031C	6.984239288442535
YCR032W	6.948715863927745
YCR033W	6.995373777416765
YCR034W	6.939258502231866
YCR036W	6.825315312990311
YCR037C	7.0578196791265295
YCR043C	7.00261599789461
YCR044C	7.0050062288678845
YCR045C	6.940516013498155
YCR048W	6.912543849305975
YCR049C	6.97116754370316
YCR050C	6.915112389465715
YCR051W	7.0014815660615355
YCR053W	6.971504098193639
YCR059C	7.00456358834401
YCR060W	6.9370379502739645
YCR061W	7.0176781722006325
YCR063W	6.98739941929605
YCR065W	7.03909065130571
YCR067C	7.06615808293094
YCR068W	7.063838917382904
YCR069W	7.053861473585565
YCR071C	7.0014669901751745
YCR073C	7.10452428956003
YCR073W-A	7.04231332033814
YCR075C	7.05005962120731
YCR076C	7.051805493684
YCR077C	7.0660370471559
YCR079W	7.041340171096265
YCR081W	6.7804554662869
YCR082W	7.075112359613771
YCR083W	7.0883430965741
YCR085W	7.108703370690556
YCR086W	7.07120009410405
YCR087C-A	7.023110100116
YCR087W	7.00913831861872
YCR088W	7.065528194345225
YCR089W	7.081700311761329
YCR090C	7.062646549377555
YCR091W	7.0834199588662194
YCR092C	7.073291362938216
YCR095C	7.0792068451329495
YCR098C	7.04099916439306
YCR099C	7.08940018957607
YCR100C	7.03228801723548
YCR101C	7.098360838305255
YCR102C	7.09457444052368
YCR102W-A	7.03966062314546
YCR105W	7.115148220417581
YCR106W	7.03960218052939
YCR107W	6.981712441197285
YDL001W	7.022028502939699
YDL002C	7.07412195406084
YDL006W	6.99339520664938
YDL010W	7.06472837768508
