ORF	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YBR186W	7.005
YBR187W	6.982
YBR188C	7.002
YBR189W	5.403
YBR194W	6.830
YBR195C	7.006
YBR197C	7.057
YBR199W	7.014
YBR200W	6.832
YBR201W	6.968
YBR203W	7.070
YBR204C	7.021
YBR205W	6.929
YBR206W	7.072
YBR207W	7.025
YBR208C	7.047
YBR209W	7.047
YBR210W	6.995
YBR212W	7.020
YBR213W	7.060
YBR214W	7.007
YBR215W	7.083
YBR216C	6.968
YBR217W	6.965
YBR218C	6.989
YBR219C	7.015
YBR220C	7.077
YBR221C	7.018
YBR222C	7.089
YBR223C	7.024
YBR224W	7.089
YBR225W	7.062
YBR226C	7.049
YBR227C	7.104
YBR228W	7.050
YBR229C	7.026
YBR230C	7.057
YBR231C	7.013
YBR232C	7.057
YBR233W	7.048
YBR235W	7.034
YBR238C	6.935
YBR239C	7.044
YBR240C	7.043
YBR241C	7.084
YBR242W	7.051
YBR244W	7.021
YBR245C	7.019
YBR246W	7.050
YBR248C	6.292
YBR249C	7.036
YBR250W	7.047
YBR255W	7.007
YBR258C	6.986
YBR259W	7.068
YBR260C	7.105
YBR261C	6.998
YBR262C	7.025
YBR263W	7.086
YBR264C	7.056
YBR266C	7.058
YBR267W	7.016
YBR269C	7.044
YBR270C	7.044
YBR271W	7.074
YBR272C	7.117
YBR273C	7.061
YBR274W	7.067
YBR275C	7.036
YBR276C	7.045
YBR277C	7.063
YBR278W	6.982
YBR280C	7.012
YBR281C	7.026
YBR283C	6.898
YBR284W	7.005
YBR285W	6.995
YBR286W	7.041
YBR287W	7.000
YBR288C	6.978
YBR289W	6.780
YBR290W	7.062
YBR291C	7.090
YBR292C	7.103
YBR293W	7.082
YBR294W	6.859
YBR295W	6.907
YBR296C	6.999
YBR297W	7.057
YBR298C	7.020
YBR299W	7.037
YBR300C	7.042
YBR301W	7.034
YCL001W	7.069
YCL001W-A	7.010
YCL002C	7.029
YCL006C	7.065
YCL009C	7.001
YCL010C	8.251
YCL011C	6.990
YCL014W	6.962
YCL013W	6.945
YCL016C	7.003
YCL022C	6.995
YCL023C	7.068
YCL024W	6.966
YCL025C	7.072
YCL026C	6.965
YCL026C-A	6.996
YCL027W	7.031
YCL028W	7.024
YCL029C	6.986
YCL030C	6.721
YCL032W	6.993
YCL033C	6.994
YCL034W	6.991
YCL035C	7.012
YCL036W	6.925
YCL037C	6.720
YCL038C	6.961
YCL039W	7.063
YCL040W	7.011
YCL042W	6.967
YCL044C	6.990
YCL045C	6.997
YCL046W	7.013
YCL047C	6.998
YCL048W	7.029
YCL049C	6.990
YCL050C	6.930
YCL051W	6.983
YCL055W	6.966
YCL056C	6.958
YCL057W	6.972
YCL061C	6.850
YCL063W	6.973
YCL064C	6.976
YCL069W	7.008
YCL074W	6.950
YCL075W	7.018
YCL076W	6.965
YCR001W	7.046
YCR005C	6.974
YCR006C	6.943
YCR007C	6.934
YCR008W	6.954
YCR009C	6.911
YCR010C	6.982
YCR011C	6.977
YCR014C	6.934
YCR015C	7.064
YCR016W	6.918
YCR017C	6.943
YCR019W	7.066
YCR020C	7.092
YCR020C-A	7.021
YCR021C	6.992
YCR022C	7.005
YCR023C	7.048
YCR024C-A	6.994
YCR025C	6.992
YCR026C	6.998
YCR027C	6.956
YCR028C-A	6.948
YCR030C	7.004
YCR031C	6.984
YCR032W	6.949
YCR033W	6.995
YCR034W	6.939
YCR036W	6.825
YCR037C	7.058
YCR043C	7.003
YCR044C	7.005
YCR045C	6.941
YCR048W	6.913
YCR049C	6.971
YCR050C	6.915
YCR051W	7.001
YCR053W	6.972
YCR059C	7.005
YCR060W	6.937
YCR061W	7.018
YCR063W	6.987
YCR065W	7.039
YCR067C	7.066
YCR068W	7.064
YCR069W	7.054
YCR071C	7.001
YCR073C	7.105
YCR073W-A	7.042
YCR075C	7.050
YCR076C	7.052
YCR077C	7.066
YCR079W	7.041
YCR081W	6.780
YCR082W	7.075
YCR083W	7.088
YCR085W	7.109
YCR086W	7.071
YCR087C-A	7.023
YCR087W	7.009
YCR088W	7.066
YCR089W	7.082
YCR090C	7.063
YCR091W	7.083
YCR092C	7.073
YCR095C	7.079
YCR098C	7.041
YCR099C	7.089
YCR100C	7.032
YCR101C	7.098
YCR102C	7.095
YCR102W-A	7.040
YCR105W	7.115
YCR106W	7.040
YCR107W	6.982
YDL001W	7.022
YDL002C	7.074
YDL006W	6.993
YDL010W	7.065
YDL011C	7.029
YDL012C	7.031
YDL013W	7.013
YDL018C	7.116
YDL019C	7.056
YDL020C	7.057
YDL023C	7.075
YDL024C	6.995
YDL025C	7.006
YDL026W	7.060
YDL027C	7.056
YDL033C	7.046
YDL034W	7.057
YDL035C	5.989
YDL036C	7.076
YDL037C	7.064
YDL039C	7.070
YDL040C	7.032
YDL041W	158.978
YDL042C	6.646
YDL046W	7.120
YDL048C	7.085
YDL050C	7.074
YDL051W	7.082
YDL052C	6.014
YDL053C	7.086
YDL054C	7.106
YDL056W	7.053
YDL059C	7.067
YDL061C	7.059
YDL062W	7.079
YDL065C	7.035
YDL066W	7.085
YDL070W	7.067
YDL071C	7.535
YDL074C	6.995
YDL076C	7.082
YDL077C	7.086
YDL078C	7.053
YDL079C	7.038
YDL080C	6.996
YDL081C	7.016
YDL082W	7.040
YDL083C	7.069
YDL085W	7.076
YDL086W	7.028
YDL088C	7.038
YDL089W	7.021
YDL090C	6.569
YDL091C	7.074
YDL093W	7.092
YDL094C	7.075
YDL095W	7.075
YDL096C	7.061
YDL099W	7.054
YDL100C	7.049
YDL104C	7.094
YDL106C	7.071
YDL109C	7.108
YDL110C	7.011
YDL112W	7.036
YDL113C	6.983
YDL114W	7.357
YDL117W	7.079
YDL118W	7.082
YDL119C	7.079
YDL121C	7.082
YDL122W	7.019
YDL123W	7.083
YDL124W	7.094
YDL125C	7.107
YDL127W	7.021
YDL128W	7.030
YDL129W	7.020
YDL130W	7.095
YDL130W-A	6.971
YDL131W	7.014
YDL133C-A	7.070
YDL133W	7.041
YDL134C	7.045
YDL135C	7.037
YDL136W	7.036
YDL137W	7.072
YDL138W	7.064
YDL142C	7.052
YDL144C	7.022
YDL146W	7.064
YDL149W	7.136
YDL154W	7.077
YDL155W	7.053
YDL156W	7.049
YDL157C	6.991
YDL159W	2.449
YDL160C	5.983
YDL161W	7.110
YDL162C	7.134
YDL167C	7.056
YDL168W	7.092
YDL169C	7.086
YDL170W	7.030
YDL171C	7.109
YDL172C	7.074
YDL173W	7.063
YDL174C	7.072
YDL175C	7.041
YDL176W	7.151
YDL177C	7.109
YDL178W	7.112
YDL179W	7.039
YDL180W	7.064
YDL181W	7.092
YDL182W	7.093
YDL183C	7.018
YDL184C	7.084
YDL185W	7.054
YDL186W	7.081
YDL187C	7.024
YDL188C	6.932
YDL189W	7.072
YDL190C	7.020
YDL191W	6.999
YDL192W	7.008
YDL194W	6.966
YDL197C	7.034
YDL199C	7.038
YDL200C	7.073
YDL201W	7.060
YDL203C	7.055
YDL204W	7.080
YDL206W	7.079
YDL210W	7.107
YDL211C	7.011
YDL213C	7.112
YDL214C	7.044
YDL215C	7.023
YDL216C	7.084
YDL218W	7.081
YDL219W	12.709
YDL222C	7.130
YDL223C	7.110
YDL224C	7.004
YDL226C	7.119
YDL227C	7.080
YDL229W	7.088
YDL230W	7.070
YDL231C	7.062
YDL232W	7.008
YDL233W	7.117
YDL234C	7.058
YDL236W	7.096
YDL237W	7.087
YDL238C	7.110
YDL239C	7.085
YDL240W	7.078
YDL241W	7.080
YDL242W	7.081
YDL243C	7.019
YDR001C	7.045
YDR003W	7.083
YDR004W	7.063
YDR005C	7.084
YDR006C	7.116
YDR007W	6.937
YDR008C	7.083
YDR009W	7.135
YDR010C	7.079
YDR011W	7.120
YDR014W	7.035
YDR015C	7.085
YDR018C	38.914
YDR019C	7.102
YDR020C	7.028
YDR022C	7.070
YDR024W	6.879
YDR025W	7.021
YDR026C	7.002
YDR029W	7.021
YDR030C	6.972
YDR031W	6.978
YDR032C	6.957
YDR033W	6.941
YDR034C	7.111
YDR035W	7.008
YDR036C	6.963
YDR042C	6.974
YDR043C	6.945
YDR046C	6.964
YDR048C	7.103
YDR049W	7.102
YDR051C	7.027
YDR055W	7.094
YDR056C	7.058
YDR057W	7.034
YDR058C	7.017
YDR059C	7.042
YDR061W	7.051
YDR063W	7.113
YDR066C	7.070
YDR067C	7.091
YDR068W	7.019
YDR070C	7.071
YDR071C	7.003
YDR072C	7.021
YDR073W	7.029
YDR074W	7.005
YDR075W	6.992
YDR076W	7.020
YDR077W	7.076
YDR080W	6.996
YDR083W	6.979
YDR084C	7.069
YDR085C	7.037
YDR089W	7.042
YDR090C	7.053
YDR092W	7.040
YDR093W	7.008
YDR094W	7.091
YDR095C	7.041
YDR096W	7.056
YDR097C	7.042
YDR098C	7.052
YDR099W	7.052
YDR100W	7.076
YDR101C	7.053
YDR102C	7.053
YDR103W	5.433
YDR104C	6.982
YDR105C	7.039
YDR107C	7.087
YDR108W	7.097
YDR109C	7.068
YDR110W	7.068
YDR111C	7.107
YDR112W	7.067
YDR116C	7.075
YDR117C	7.040
YDR119W	6.987
YDR120C	6.999
YDR121W	6.997
YDR122W	6.999
YDR123C	6.943
YDR124W	6.985
YDR125C	7.026
YDR126W	7.011
YDR127W	6.862
YDR128W	6.975
YDR130C	7.067
YDR131C	7.045
YDR132C	7.024
YDR133C	7.113
YDR134C	7.078
YDR135C	6.994
YDR139C	7.029
YDR142C	7.080
YDR143C	7.094
YDR144C	7.069
YDR146C	6.975
YDR147W	7.099
YDR148C	7.095
YDR149C	6.940
YDR150W	7.035
YDR151C	7.107
YDR152W	7.105
YDR153C	7.065
YDR154C	7.089
YDR155C	7.066
YDR156W	7.044
YDR157W	7.069
YDR158W	7.092
YDR159W	7.024
YDR161W	7.046
YDR162C	6.987
YDR163W	7.020
YDR165W	7.009
YDR169C	7.011
YDR171W	7.180
YDR173C	6.909
YDR174W	7.033
YDR178W	7.063
YDR179C	7.035
YDR179W-A	6.982
YDR181C	7.015
YDR183W	6.982
YDR184C	7.001
YDR185C	7.050
YDR186C	7.020
YDR191W	7.050
YDR192C	7.015
YDR193W	7.043
YDR198C	7.005
YDR199W	7.039
YDR202C	7.019
YDR203W	6.946
YDR205W	7.065
YDR206W	7.013
YDR207C	6.965
YDR209C	7.082
YDR210W	7.065
YDR213W	7.050
YDR214W	7.024
YDR215C	7.040
YDR216W	7.041
YDR217C	10.678
YDR218C	7.076
YDR219C	7.043
YDR220C	7.028
YDR221W	7.067
YDR222W	7.063
YDR223W	7.074
YDR225W	6.993
YDR227W	6.328
YDR229W	7.048
YDR233C	7.085
YDR234W	4.327
YDR239C	7.014
YDR241W	7.052
YDR242W	7.005
YDR244W	6.893
YDR245W	7.028
YDR247W	7.059
YDR248C	7.012
YDR249C	7.101
YDR250C	6.981
YDR251W	7.069
YDR252W	7.024
YDR253C	7.066
YDR254W	6.998
YDR255C	6.927
YDR256C	6.992
YDR257C	7.108
YDR258C	7.054
YDR259C	7.023
YDR260C	7.067
YDR261C	7.080
YDR262W	7.073
YDR263C	7.073
YDR265W	6.892
YDR266C	7.061
YDR269C	7.046
YDR270W	7.020
YDR271C	7.084
YDR272W	7.030
YDR273W	6.965
YDR274C	7.085
YDR275W	7.054
YDR276C	6.989
YDR277C	7.043
YDR278C	7.080
YDR279W	7.013
YDR281C	7.037
YDR282C	6.901
YDR284C	7.013
YDR285W	7.024
YDR286C	7.066
YDR287W	7.026
YDR289C	7.099
YDR290W	7.014
YDR291W	7.056
YDR293C	6.942
YDR294C	7.050
YDR297W	7.013
YDR304C	6.948
YDR305C	6.915
YDR306C	6.956
YDR307W	6.993
YDR309C	6.959
YDR310C	7.051
YDR312W	7.034
YDR313C	7.027
YDR314C	7.032
YDR315C	6.957
YDR316W	7.001
YDR317W	6.935
YDR318W	7.004
YDR319C	6.921
YDR320C	7.033
YDR321W	7.075
YDR326C	6.996
YDR329C	7.037
YDR330W	7.037
YDR332W	7.068
YDR333C	7.064
YDR334W	7.046
YDR335W	7.053
YDR336W	6.988
YDR338C	6.979
YDR340W	7.021
YDR344C	7.015
YDR345C	7.092
YDR346C	7.072
YDR348C	7.035
YDR349C	6.957
YDR351W	7.072
YDR352W	7.069
YDR354W	7.073
YDR357C	6.942
YDR358W	6.968
YDR359C	6.904
YDR360W	6.985
YDR363W	7.046
YDR363W-A	6.940
YDR368W	7.170
YDR369C	7.050
YDR370C	7.128
YDR371W	7.083
YDR372C	6.947
YDR374C	7.030
YDR375C	7.069
YDR378C	6.940
YDR379W	7.053
YDR380W	7.053
YDR382W	7.015
YDR383C	6.983
YDR384C	7.111
YDR385W	7.094
YDR386W	7.022
YDR387C	7.080
YDR388W	6.995
YDR389W	7.053
YDR391C	7.096
YDR392W	7.154
YDR393W	7.033
YDR395W	6.994
YDR399W	7.076
YDR400W	7.103
YDR401W	7.105
YDR402C	7.085
YDR403W	7.087
YDR406W	6.946
YDR408C	7.081
YDR409W	7.037
YDR410C	39.127
YDR411C	7.105
YDR414C	7.079
YDR415C	6.984
YDR419W	7.100
YDR420W	7.063
YDR421W	7.121
YDR422C	7.057
YDR423C	7.013
YDR424C	7.014
YDR425W	7.068
YDR426C	7.029
YDR428C	7.056
YDR430C	7.058
YDR431W	7.078
YDR435C	6.985
YDR436W	7.053
YDR438W	6.963
YDR439W	7.012
YDR440W	6.996
YDR441C	7.057
YDR444W	6.996
YDR445C	7.051
YDR446W	7.085
YDR447C	7.059
YDR451C	7.052
YDR452W	7.052
YDR453C	7.081
YDR455C	6.899
YDR458C	7.058
YDR459C	7.030
YDR461W	7.001
YDR463W	6.940
YDR465C	6.982
YDR466W	6.979
YDR467C	6.962
YDR469W	6.910
YDR471W	6.994
YDR475C	6.972
YDR476C	6.981
YDR477W	7.038
YDR479C	7.001
YDR480W	7.019
YDR481C	6.934
YDR482C	7.039
YDR483W	6.996
YDR485C	6.989
YDR486C	7.070
YDR488C	6.987
YDR490C	7.089
YDR491C	7.063
YDR492W	7.071
YDR493W	6.984
YDR494W	6.999
YDR496C	6.996
YDR497C	6.996
YDR500C	7.044
YDR501W	7.055
YDR502C	6.981
YDR503C	7.073
YDR504C	7.040
YDR505C	7.058
YDR506C	7.054
YDR508C	7.087
YDR509W	7.023
YDR511W	7.022
YDR512C	7.059
YDR513W	7.064
YDR514C	7.011
YDR515W	6.974
YDR516C	7.042
YDR517W	7.098
YDR519W	7.085
YDR520C	7.090
YDR522C	7.063
YDR524C	7.065
YDR525W	7.063
YDR525W-A	7.058
YDR528W	7.061
YDR530C	6.977
YDR532C	6.914
YDR533C	7.057
YDR534C	6.980
YDR535C	7.058
YDR536W	6.955
YDR537C	7.047
YDR538W	6.994
YDR539W	7.062
YDR540C	6.996
YDR541C	7.038
YEL001C	7.070
YEL003W	7.103
YEL004W	7.090
YEL005C	7.053
YEL006W	7.134
YEL007W	7.062
YEL008W	7.053
YEL010W	7.069
YEL011W	7.030
YEL012W	7.051
YEL013W	7.029
YEL014C	7.021
YEL015W	7.060
YEL016C	7.072
YEL017C-A	7.043
YEL017W	7.073
YEL020C	7.008
YEL023C	7.043
YEL025C	7.057
YEL028W	7.034
YEL030W	7.040
YEL031W	7.034
YEL033W	6.960
YEL037C	7.015
YEL038W	6.982
YEL039C	7.051
YEL040W	7.076
YEL041W	7.078
YEL042W	7.072
YEL043W	6.981
YEL047C	7.083
YEL048C	7.074
YEL049W	7.358
YEL052W	7.000
YEL053C	7.047
YEL056W	7.086
YEL057C	7.101
YEL059W	6.983
YEL060C	7.061
YEL061C	7.071
YEL062W	7.071
YEL063C	7.107
YEL064C	7.070
YEL065W	7.055
YEL066W	6.965
YEL067C	7.075
YEL068C	7.042
YEL071W	7.052
YER001W	7.057
YER002W	6.991
YER004W	7.092
YER005W	7.110
YER007C-A	7.087
YER007W	7.072
YER010C	7.076
YER011W	7.042
YER016W	7.048
YER019C-A	7.074
YER019W	7.012
YER020W	7.071
YER024W	7.055
YER027C	7.037
YER028C	7.048
YER030W	7.106
YER031C	7.048
YER032W	7.075
YER033C	6.958
YER034W	7.018
YER035W	7.070
YER038W-A	7.065
YER039C	7.056
YER039C-A	7.042
YER041W	7.039
YER042W	7.065
YER044C-A	7.061
YER045C	7.008
YER046W	6.987
YER046W-A	7.036
YER047C	7.013
YER048C	6.965
YER049W	6.975
YER051W	7.020
YER052C	7.009
YER053C	7.063
YER054C	7.011
YER055C	6.444
YER056C	7.014
YER056C-A	7.526
YER057C	7.051
YER059W	7.017
YER060W	7.134
YER060W-A	7.017
YER061C	7.023
YER062C	7.030
YER063W	6.999
YER064C	7.020
YER065C	7.037
YER066C-A	7.015
YER066W	6.991
YER067C-A	7.011
YER067W	7.070
YER069W	5.907
YER071C	7.035
YER072W	7.038
YER073W	7.026
YER074W	7.004
YER075C	7.070
YER077C	7.068
YER078C	7.059
YER079W	7.022
YER080W	7.033
YER081W	7.001
YER083C	6.967
YER084W	7.047
YER085C	6.974
YER087C-B	7.011
YER088C	7.036
YER089C	6.946
YER090W	7.046
YER091C	7.019
YER091C-A	7.191
YER092W	7.039
YER093C-A	7.068
YER095W	6.991
YER096W	7.110
YER097W	6.999
YER098W	7.059
YER101C	7.042
YER106W	7.065
YER108C	7.042
YER109C	7.059
YER111C	7.011
YER113C	7.060
YER114C	25.273
YER115C	7.056
YER116C	6.960
YER117W	7.033
YER118C	7.053
YER119C	7.095
YER119C-A	7.021
YER120W	7.027
YER121W	7.080
YER123W	7.032
YER124C	7.023
YER128W	7.056
YER129W	7.121
YER130C	7.052
YER131W	7.062
YER132C	7.046
YER134C	7.058
YER135C	7.083
YER137C	7.104
YER139C	7.076
YER140W	14.077
YER142C	7.040
YER143W	6.996
YER144C	6.981
YER145C	6.915
YER149C	6.958
YER150W	6.986
YER151C	6.999
YER152C	7.017
YER153C	6.988
YER155C	6.990
YER156C	7.015
YER158C	6.985
YER161C	7.003
YER162C	7.011
YER163C	7.031
YER164W	7.028
YER166W	7.033
YER167W	7.034
YER170W	6.931
YER173W	7.044
YER174C	7.005
YER175C	7.082
YER176W	7.019
YER177W	7.022
YER178W	7.026
YER179W	7.026
YER180C	7.071
YER181C	7.052
YER182W	7.094
YER183C	7.074
YER184C	7.059
YER185W	7.099
YER186C	7.130
YER187W	6.983
YER188W	7.070
YFL001W	6.854
YFL003C	6.866
YFL004W	6.932
YFL007W	6.960
YFL010C	6.896
YFL010W-A	6.923
YFL011W	7.028
YFL012W	6.874
YFL013C	6.917
YFL012W-A	7.080
YFL014W	7.001
YFL015C	7.048
YFL018C	6.999
YFL019C	7.073
YFL020C	7.093
YFL021W	7.039
YFL023W	6.951
YFL025C	7.019
YFL026W	5.703
YFL027C	6.954
YFL028C	7.068
YFL030W	7.054
YFL031W	7.072
YFL032W	7.048
YFL033C	7.028
YFL034C-A	7.053
YFL034W	7.095
YFL036W	7.027
YFL040W	7.040
YFL041W	7.137
YFL042C	7.028
YFL044C	7.077
YFL046W	7.052
YFL047W	7.105
YFL048C	7.032
YFL049W	7.070
YFL050C	7.039
YFL051C	7.064
YFL052W	7.087
YFL053W	7.046
YFL054C	7.053
YFL055W	7.047
YFL056C	7.110
YFL063W	7.104
YFR006W	7.039
YFR007W	7.060
YFR008W	7.067
YFR009W	7.116
YFR010W	6.964
YFR011C	7.026
YFR012W	7.031
YFR013W	7.007
YFR014C	7.065
YFR015C	7.035
YFR016C	7.035
YFR017C	7.000
YFR018C	7.045
YFR019W	7.007
YFR020W	7.041
YFR021W	7.052
YFR022W	6.996
YFR023W	6.991
YFR024C-A	7.032
YFR025C	5.867
YFR026C	7.009
YFR030W	7.049
YFR031C-A	7.052
YFR032C	7.037
YFR032C-A	7.064
YFR033C	7.037
YFR034C	6.990
YFR035C	7.005
YFR038W	7.021
YFR039C	7.069
YFR040W	7.002
YFR041C	7.010
YFR043C	7.070
YFR044C	7.018
YFR045W	7.040
YFR046C	7.047
YFR047C	7.067
YFR048W	6.977
YFR049W	6.997
YFR053C	6.991
YFR054C	7.074
YFR055W	7.041
YFR056C	7.029
YFR057W	7.041
YGL002W	6.960
YGL004C	7.037
YGL005C	7.038
YGL006W	7.027
YGL007W	6.907
YGL009C	7.030
YGL010W	7.116
YGL013C	7.005
YGL014W	6.953
YGL015C	7.005
YGL016W	7.064
YGL017W	7.023
YGL019W	7.073
YGL020C	7.040
YGL021W	7.012
YGL023C	6.940
YGL024W	6.886
YGL026C	4.945
YGL027C	7.050
YGL028C	7.065
YGL029W	6.961
YGL031C	6.994
YGL032C	7.031
YGL034C	7.029
YGL035C	7.042
YGL036W	6.983
YGL037C	6.961
YGL039W	7.044
YGL041C	6.987
YGL042C	6.971
YGL043W	7.063
YGL045W	7.039
YGL049C	6.929
YGL050W	7.045
YGL051W	7.022
YGL053W	7.060
YGL054C	6.914
YGL056C	7.044
YGL057C	7.040
YGL058W	6.990
YGL059W	7.028
YGL060W	6.967
YGL062W	7.012
YGL063W	6.960
YGL066W	6.722
YGL067W	7.007
YGL071W	6.939
YGL077C	6.997
YGL078C	6.967
YGL079W	7.037
YGL080W	7.051
YGL081W	7.015
YGL082W	7.032
YGL083W	7.050
YGL084C	6.965
YGL085W	6.946
YGL086W	7.038
YGL087C	7.058
YGL089C	7.032
YGL090W	7.084
YGL094C	6.930
YGL096W	6.979
YGL101W	7.057
YGL104C	7.040
YGL105W	460.863
YGL108C	7.062
YGL109W	7.027
YGL110C	7.059
YGL114W	7.006
YGL115W	7.024
YGL117W	7.077
YGL118C	6.992
YGL121C	7.004
YGL124C	7.050
YGL125W	7.053
YGL126W	7.066
YGL127C	7.032
YGL131C	7.038
YGL132W	6.986
YGL133W	6.977
YGL136C	6.983
YGL138C	7.041
YGL139W	7.016
YGL140C	7.068
YGL141W	6.998
YGL144C	7.094
YGL146C	7.068
YGL147C	7.064
YGL148W	7.008
YGL149W	7.003
YGL151W	7.009
YGL152C	7.030
YGL153W	7.039
YGL154C	6.777
YGL156W	33.585
YGL157W	7.097
