ORF	hom | growth (spot assay) | cumene hydroperoxide [0.0350.11 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | diamide (1,1'-azobis(N,N-dimethylformamide) [0.81.2 mM]) | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | hydrogen peroxide [0.751.6 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | linoleic acid hydroperoxide [0.0450.08 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | menadione [0.51.2 mM] | Thorpe GW~Dawes IW, 2004
YDL069C	0.000	0.000	-7.000	0.000	0.000
YDR197W	0.000	0.000	-7.000	0.000	0.000
YLR220W	-6.000	-3.000	-7.000	0.000	0.000
YKR066C	0.000	0.000	-1.000	0.000	0.000
YAL021C	0.000	-3.000	0.000	0.000	0.000
YCR094W	0.000	-3.000	0.000	0.000	0.000
YER164W	0.000	-4.000	-1.000	-7.000	0.000
YLR330W	-1.000	-4.000	0.000	0.000	0.000
YMR198W	0.000	0.000	-1.000	0.000	0.000
YIL035C	0.000	0.000	0.000	-1.000	0.000
YLR210W	0.000	-4.000	0.000	0.000	0.000
YNL225C	0.000	-2.000	0.000	-3.000	0.000
YGL223C	0.000	0.000	0.000	-1.000	0.000
YGL005C	0.000	-1.000	0.000	0.000	0.000
YBR003W	0.000	0.000	-7.000	-7.000	0.000
YGR255C	0.000	0.000	-6.000	0.000	0.000
YBL045C	0.000	1.000	-6.000	0.000	0.000
YER141W	0.000	0.000	-1.000	-7.000	0.000
YDR231C	0.000	1.000	0.000	0.000	0.000
YOR303W	-1.000	0.000	0.000	0.000	0.000
YJR109C	-1.000	-4.000	0.000	0.000	0.000
YOR100C	0.000	-4.000	0.000	0.000	-1.000
YHR146W	0.000	0.000	0.000	0.000	-1.000
YLR087C	0.000	-3.000	0.000	0.000	0.000
YBR036C	0.000	0.000	0.000	-2.000	-3.000
YCR086W	-1.000	0.000	-1.000	-1.000	0.000
YIL036W	0.000	0.000	0.000	0.000	-1.000
YPR135W	0.000	-4.000	0.000	-3.000	0.000
YBR291C	-1.000	0.000	0.000	-1.000	0.000
YPR124W	0.000	0.000	-1.000	-4.000	-7.000
YCR068W	-1.000	-1.000	-1.000	-5.000	0.000
YCL007C	-3.000	-3.000	0.000	-4.000	0.000
YGR036C	-1.000	-3.000	0.000	-7.000	0.000
YOR065W	0.000	1.000	-7.000	0.000	0.000
YIR023W	-1.000	0.000	0.000	0.000	0.000
YGR092W	-7.000	-3.000	-7.000	-3.000	0.000
YGL078C	0.000	-1.000	0.000	0.000	0.000
YKR024C	-6.000	-3.000	0.000	0.000	0.000
YFL001W	-1.000	-4.000	0.000	-1.000	0.000
YBR163W	0.000	0.000	-7.000	0.000	0.000
YAL013W	0.000	-3.000	0.000	-1.000	0.000
YOR030W	0.000	-3.000	0.000	0.000	0.000
YOR080W	0.000	-4.000	0.000	0.000	-1.000
YHR011W	0.000	0.000	-5.000	0.000	0.000
YKL002W	0.000	-3.000	0.000	0.000	0.000
YNL001W	-6.000	-2.000	-1.000	-2.000	-1.000
YDR294C	0.000	-1.000	0.000	0.000	0.000
YAL026C	0.000	-4.000	-1.000	0.000	0.000
YDL101C	0.000	-4.000	0.000	0.000	0.000
YKL204W	0.000	-3.000	-1.000	-1.000	0.000
YJL201W	0.000	0.000	0.000	0.000	-1.000
YBR078W	-7.000	-3.000	0.000	-1.000	0.000
YBL047C	0.000	-4.000	0.000	0.000	0.000
YGR200C	0.000	-3.000	0.000	0.000	0.000
YPL086C	0.000	-2.000	0.000	0.000	0.000
YPL101W	0.000	-2.000	0.000	0.000	0.000
YGL200C	0.000	0.000	-1.000	0.000	0.000
YLR246W	-1.000	-1.000	0.000	0.000	0.000
YLR056W	-6.000	-2.000	0.000	-3.000	-1.000
YGL012W	-5.000	-2.000	0.000	0.000	0.000
YMR015C	0.000	-3.000	0.000	-1.000	0.000
YGL054C	0.000	-1.000	0.000	0.000	0.000
YDR518W	0.000	0.000	-5.000	-1.000	0.000
YFR019W	-1.000	-3.000	-4.000	-1.000	-1.000
YBR041W	0.000	-4.000	0.000	0.000	0.000
YJL155C	0.000	-4.000	0.000	-6.000	0.000
YMR058W	0.000	-1.000	0.000	0.000	0.000
YIL065C	-7.000	-4.000	0.000	-7.000	0.000
YNL068C	-1.000	-3.000	0.000	0.000	0.000
YLR342W	-1.000	-4.000	0.000	0.000	0.000
YIL098C	-1.000	-3.000	-1.000	-1.000	0.000
YNL135C	0.000	-4.000	0.000	-1.000	0.000
YER145C	0.000	-1.000	-1.000	0.000	0.000
YAL022C	0.000	0.000	0.000	0.000	-1.000
YDR024W	0.000	-3.000	0.000	-1.000	0.000
YIL097W	-6.000	-3.000	0.000	-5.000	0.000
YDL151C	-6.000	-2.000	0.000	-2.000	-4.000
YBR179C	0.000	0.000	-1.000	-1.000	0.000
YOL051W	-5.000	-4.000	-7.000	-4.000	0.000
YGR252W	-1.000	0.000	0.000	0.000	0.000
YNL199C	0.000	1.000	0.000	0.000	0.000
YML094W	0.000	-4.000	0.000	0.000	-1.000
YER122C	0.000	0.000	-7.000	-1.000	0.000
YPL091W	0.000	1.000	-1.000	0.000	0.000
YHR183W	0.000	-4.000	-5.000	-5.000	-2.000
YDR508C	0.000	-3.000	0.000	0.000	0.000
YJL101C	-3.000	-1.000	-4.000	-7.000	-4.000
YOL049W	0.000	1.000	0.000	0.000	0.000
YGR163W	0.000	0.000	0.000	-7.000	-1.000
YPL189W	0.000	0.000	-1.000	0.000	0.000
YJL165C	0.000	0.000	0.000	-1.000	0.000
YGL237C	0.000	0.000	-1.000	0.000	0.000
YKR084C	-1.000	-3.000	0.000	0.000	0.000
YLR192C	-6.000	-4.000	0.000	-1.000	0.000
YPL254W	-4.000	-3.000	-6.000	-2.000	-7.000
YJR055W	0.000	-3.000	0.000	0.000	0.000
YOL095C	0.000	1.000	-6.000	0.000	0.000
YDR174W	-1.000	-3.000	-1.000	-4.000	-7.000
YJR075W	0.000	-4.000	0.000	0.000	0.000
YJR139C	-1.000	-1.000	-1.000	-1.000	0.000
YJL092W	0.000	0.000	-1.000	-1.000	0.000
YBR272C	-1.000	0.000	0.000	0.000	0.000
YPL244C	0.000	1.000	0.000	0.000	0.000
YIR037W	-6.000	0.000	0.000	0.000	0.000
YOR136W	0.000	0.000	0.000	-4.000	-7.000
YDL066W	0.000	0.000	-7.000	-1.000	0.000
YOL023W	0.000	0.000	-1.000	0.000	0.000
YLR384C	0.000	-3.000	0.000	0.000	0.000
YJR118C	0.000	-4.000	0.000	-3.000	0.000
YCR046C	-1.000	0.000	-6.000	0.000	0.000
YMR150C	0.000	0.000	-1.000	0.000	0.000
YMR035W	0.000	0.000	-1.000	-1.000	0.000
YIL154C	-1.000	0.000	-1.000	-3.000	0.000
YOL108C	0.000	0.000	-1.000	0.000	0.000
YOL065C	0.000	0.000	-1.000	0.000	0.000
YDR315C	0.000	0.000	0.000	-1.000	0.000
YOL081W	-5.000	-3.000	-1.000	-4.000	0.000
YPL040C	0.000	0.000	-6.000	0.000	0.000
YDL115C	0.000	-3.000	0.000	-5.000	0.000
YKL032C	0.000	1.000	0.000	0.000	0.000
YGL241W	0.000	-4.000	0.000	-1.000	0.000
YDR017C	-1.000	0.000	-1.000	-1.000	-1.000
YDL041W	-1.000	-3.000	-1.000	-6.000	0.000
YKL110C	0.000	-1.000	0.000	0.000	0.000
YOR099W	0.000	-4.000	0.000	0.000	-1.000
YJL062W	-7.000	-4.000	-1.000	-1.000	0.000
YOR171C	0.000	-4.000	0.000	-1.000	0.000
YLR260W	0.000	1.000	-6.000	0.000	0.000
YPL213W	-1.000	0.000	0.000	0.000	0.000
YNL323W	-5.000	-2.000	0.000	0.000	0.000
YOR123C	0.000	-1.000	0.000	-1.000	-1.000
YPL055C	0.000	0.000	0.000	-1.000	0.000
YDR439W	0.000	0.000	0.000	-1.000	0.000
YJL124C	-6.000	-3.000	0.000	-1.000	0.000
YKL176C	0.000	0.000	0.000	0.000	-1.000
YDR027C	-1.000	-3.000	-1.000	-7.000	0.000
YMR038C	0.000	0.000	0.000	-1.000	-1.000
YLR244C	-6.000	-1.000	0.000	-3.000	-7.000
YDL056W	0.000	0.000	-7.000	0.000	-1.000
YNL307C	-6.000	-1.000	-7.000	-4.000	0.000
YGL219C	0.000	0.000	-1.000	-1.000	-7.000
YLR069C	0.000	0.000	-5.000	0.000	0.000
YJL102W	0.000	0.000	-6.000	0.000	0.000
YPL121C	0.000	0.000	0.000	0.000	-1.000
YKR069W	0.000	0.000	-1.000	-1.000	0.000
YKL001C	0.000	-1.000	0.000	0.000	0.000
YBR213W	0.000	-4.000	0.000	0.000	0.000
YML062C	0.000	-3.000	1.000	0.000	0.000
YIR033W	0.000	0.000	-1.000	0.000	0.000
YJR144W	0.000	0.000	-4.000	0.000	0.000
YBR084W	0.000	0.000	-1.000	0.000	0.000
YLR320W	0.000	-3.000	0.000	-6.000	0.000
YKL201C	0.000	-4.000	0.000	0.000	-1.000
YNL297C	0.000	0.000	-1.000	0.000	0.000
YCL061C	0.000	-4.000	0.000	0.000	0.000
YDL079C	0.000	-4.000	0.000	0.000	0.000
YDL045W-A	0.000	0.000	-7.000	0.000	-1.000
YKL003C	0.000	-3.000	0.000	0.000	0.000
YPR166C	-1.000	0.000	-7.000	0.000	-1.000
YBL090W	0.000	0.000	-1.000	0.000	0.000
YNL005C	0.000	0.000	-1.000	0.000	0.000
YDL202W	0.000	1.000	-7.000	0.000	-1.000
YKR006C	0.000	0.000	-6.000	0.000	0.000
YBL038W	0.000	0.000	-6.000	0.000	0.000
YNL252C	0.000	0.000	-7.000	0.000	-1.000
YKR085C	0.000	-3.000	-6.000	0.000	-1.000
YMR193W	0.000	0.000	-7.000	0.000	0.000
YGR076C	0.000	0.000	-5.000	0.000	0.000
YDR462W	0.000	0.000	-5.000	0.000	0.000
YDR322W	0.000	0.000	-6.000	0.000	0.000
YBR268W	-1.000	0.000	-7.000	-1.000	0.000
YLR439W	0.000	0.000	-1.000	0.000	0.000
YPL173W	0.000	0.000	-6.000	0.000	0.000
YJL096W	0.000	0.000	-1.000	0.000	0.000
YHR147C	0.000	0.000	-5.500	0.000	0.000
YDR237W	0.000	1.000	-7.000	0.000	0.000
YJL063C	0.000	0.000	-1.000	0.000	0.000
YGR220C	0.000	0.000	-6.000	0.000	0.000
YIR021W	-1.000	0.000	-1.000	-1.000	-1.000
YKL009W	-1.000	-3.000	0.000	-7.000	0.000
YOL033W	0.000	0.000	-6.000	0.000	0.000
YPR047W	0.000	0.000	-6.000	0.000	-1.000
YGR171C	0.000	1.000	-6.000	0.000	0.000
YDR335W	0.000	-4.000	0.000	0.000	0.000
YDR194C	0.000	0.000	-7.000	0.000	0.000
YKL194C	0.000	-4.000	0.000	0.000	-1.000
YDR268W	0.000	1.000	0.000	0.000	0.000
YMR228W	0.000	0.000	-6.000	0.000	-1.000
YDL044C	0.000	0.000	-7.000	0.000	0.000
YGL236C	0.000	0.000	-1.000	0.000	0.000
YLR382C	0.000	0.000	-7.000	0.000	0.000
YMR080C	0.000	1.000	0.000	0.000	0.000
YPL024W	-1.000	0.000	-1.000	0.000	0.000
YDR176W	-1.000	0.000	-1.000	0.000	0.000
YOL042W	0.000	-3.000	0.000	0.000	0.000
YIL164C	0.000	-4.000	0.000	-1.000	0.000
YOL041C	0.000	-3.000	0.000	0.000	0.000
YBR170C	0.000	-1.000	0.000	0.000	0.000
YNL183C	0.000	0.000	0.000	0.000	-1.000
YDR043C	0.000	-4.000	0.000	0.000	0.000
YGR159C	0.000	-4.000	0.000	-1.000	0.000
YOL043C	0.000	-4.000	0.000	0.000	0.000
YAR002W	-1.000	-4.000	-1.000	-1.000	0.000
YDL116W	-1.000	-4.000	-1.000	-1.000	0.000
YKL055C	0.000	1.000	-1.000	-7.000	0.000
YNL099C	-1.000	-3.000	0.000	0.000	0.000
YKL134C	-1.000	0.000	-1.000	-1.000	0.000
YJR073C	-7.000	-3.000	0.000	-4.000	0.000
YOR130C	0.000	0.000	0.000	0.000	-1.000
YGL226C-A	0.000	0.000	-1.000	0.000	0.000
YBR279W	-5.000	-3.000	-7.000	-1.000	0.000
YKL025C	0.000	-4.000	0.000	0.000	0.000
YCR077C	-1.000	-4.000	0.000	-1.000	0.000
YEL049W	0.000	-4.000	-1.000	0.000	0.000
YGR101W	0.000	0.000	-6.000	0.000	0.000
YER178W	0.000	-4.000	-1.000	0.000	0.000
YOR360C	-6.000	-3.000	0.000	-5.000	0.000
YGL013C	0.000	-4.000	0.000	0.000	0.000
YOR153W	0.000	-3.000	0.000	0.000	0.000
YBR035C	0.000	0.000	0.000	-3.000	0.000
YLR148W	-6.000	-3.000	-1.000	-7.000	0.000
YDR323C	0.000	-3.000	0.000	0.000	0.000
YBL080C	0.000	0.000	-6.000	0.000	0.000
YER153C	0.000	0.000	-1.000	-7.000	0.000
YLR067C	0.000	0.000	-5.000	0.000	0.000
YNL003C	-1.000	0.000	-1.000	-1.000	-1.000
YKL197C	0.000	0.000	0.000	0.000	-1.000
YDL065C	0.000	0.000	0.000	-7.000	0.000
YGR133W	0.000	0.000	0.000	-1.000	0.000
YJL179W	0.000	0.000	0.000	0.000	-1.000
YGR240C	0.000	1.000	0.000	0.000	0.000
YIL107C	0.000	-4.000	-1.000	-3.000	0.000
YGL025C	-6.000	-4.000	0.000	-5.000	0.000
YER037W	0.000	-1.000	0.000	0.000	0.000
YDL106C	-1.000	0.000	0.000	-1.000	0.000
YPL031C	-7.000	0.000	-1.000	-7.000	-1.000
YJL117W	-1.000	0.000	-1.000	0.000	0.000
YBR106W	0.000	0.000	0.000	-1.000	0.000
YJL198W	0.000	0.000	0.000	0.000	-1.000
YML061C	0.000	0.000	-7.000	-1.000	0.000
YOR104W	0.000	-4.000	0.000	0.000	0.000
YMR123W	0.000	-3.000	0.000	0.000	0.000
YNR052C	0.000	-1.000	0.000	0.000	0.000
YIL160C	0.000	-4.000	0.000	-1.000	0.000
YDL039C	-3.500	0.000	-1.000	-0.500	0.000
YOL061W	0.000	-4.000	0.000	0.000	0.000
YGR170W	0.000	0.000	0.000	-1.000	0.000
YDL006W	0.000	-3.000	-1.000	-7.000	0.000
YKL198C	0.000	-4.000	0.000	0.000	-1.000
YDR496C	0.000	-3.000	-1.000	-1.000	0.000
YHR001W-A	0.000	-1.000	0.000	0.000	0.000
YDR529C	0.000	0.000	-5.000	0.000	0.000
YJL166W	0.000	0.000	-7.000	0.000	0.000
YDL104C	0.000	0.000	-1.000	0.000	0.000
YNL250W	0.000	-4.000	0.000	-1.000	-1.000
YGL058W	0.000	0.000	-1.000	-1.000	-1.000
YGL246C	-1.000	-3.000	-1.000	-1.000	0.000
YJL204C	0.000	-3.000	0.000	-1.000	-1.000
YDR195W	0.000	-3.000	0.000	0.000	0.000
YDR028C	-6.000	0.000	-7.000	-6.000	-7.000
YCL001W	-1.000	0.000	0.000	0.000	0.000
YIL053W	-1.000	-4.000	0.000	0.000	0.000
YCR028C-A	-1.000	0.000	-6.000	0.000	0.000
YFL033C	-1.000	0.000	0.000	0.000	0.000
YOR275C	-1.000	-4.000	0.000	0.000	0.000
YNL294C	0.000	-3.000	0.000	0.000	0.000
YEL024W	0.000	0.000	-1.000	0.000	0.000
YPR018W	0.000	0.000	1.000	0.000	0.000
YGR180C	-1.000	0.000	-1.000	-1.000	0.000
YBL093C	-6.000	-3.000	-7.000	0.000	0.000
YJL121C	0.000	-4.000	-2.000	-3.000	-2.000
YGR085C	-1.000	-4.000	0.000	0.000	0.000
YDL082W	0.000	0.000	-1.000	0.000	0.000
YMR142C	-1.000	-3.000	0.000	-1.000	0.000
YKL006W	0.000	-3.000	0.000	0.000	0.000
YBL027W	0.000	-4.000	0.000	0.000	0.000
YGL135W	-1.000	0.000	-1.000	-1.000	0.000
YBR191W	-7.000	-3.000	-7.000	-1.000	0.000
YLR061W	0.000	-3.000	-1.000	0.000	-1.000
YGL031C	-1.000	-1.000	0.000	0.000	0.000
YHR010W	-1.000	-3.000	-1.000	0.000	0.000
YIL018W	0.000	1.000	0.000	0.000	0.000
YDL191W	0.000	-1.000	0.000	0.000	0.000
YIL148W	-1.000	0.000	0.000	0.000	0.000
YPR043W	0.000	0.000	0.000	0.000	-1.000
YNL067W	-1.000	-3.000	0.000	0.000	0.000
YDL020C	0.000	-3.000	-1.000	-3.000	0.000
YDL130W	0.000	-3.000	0.000	-1.000	0.000
YOL039W	0.000	-1.000	0.000	0.000	0.000
YDR025W	0.000	-3.000	0.000	0.000	0.000
YBR048W	0.000	0.000	0.000	-1.000	0.000
YMR143W	0.000	-3.000	0.000	0.000	0.000
YDL083C	0.000	-3.000	0.000	-1.000	0.000
YML024W	-1.000	0.000	-1.000	-1.000	0.000
YJL136C	0.000	-3.000	0.000	-1.000	0.000
YJR145C	-1.000	-3.000	0.000	0.000	0.000
YHR203C	0.000	-1.000	0.000	0.000	0.000
YBL072C	0.000	-4.000	0.000	-1.000	0.000
YPL193W	0.000	-3.000	0.000	-1.000	0.000
YER050C	0.000	0.000	-1.000	0.000	0.000
YNR037C	0.000	0.000	-5.000	0.000	0.000
YDR175C	0.000	1.000	-7.000	0.000	0.000
YIL093C	0.000	1.000	-7.000	0.000	0.000
YGL252C	0.000	-3.000	0.000	0.000	0.000
YOR014W	0.000	-4.000	1.000	0.000	0.000
YJL047C	0.000	0.000	-1.000	-1.000	0.000
YDR289C	0.000	-4.000	0.000	-5.000	0.000
YLL002W	0.000	0.000	-6.000	-7.000	0.000
YKL212W	0.000	-3.000	0.000	-7.000	-1.000
YDR484W	0.000	-3.000	0.000	0.000	0.000
YDR159W	0.000	-3.000	0.000	0.000	0.000
YFR040W	0.000	-3.000	0.000	0.000	0.000
YCR008W	0.000	0.000	0.000	-1.000	0.000
YJL080C	0.000	-4.000	-1.000	-1.000	0.000
YDR469W	0.000	0.000	0.000	-1.000	0.000
YLR268W	-7.000	0.000	0.000	-7.000	-1.000
YIL076W	0.000	-4.000	0.000	0.000	0.000
YBR171W	0.000	-2.000	0.000	-1.000	0.000
YLR292C	0.000	-2.000	0.000	0.000	0.000
YCR067C	-1.000	0.000	0.000	0.000	0.000
YDR363W-A	0.000	-3.000	0.000	-4.000	0.000
YHR207C	0.000	-4.000	0.000	0.000	0.000
YOR140W	0.000	0.000	0.000	0.000	-1.000
YLR403W	-1.000	-2.000	0.000	0.000	0.000
YBR130C	0.000	0.000	-1.000	0.000	0.000
YOL004W	0.000	-3.000	0.000	-4.000	0.000
YNL236W	0.000	0.000	-3.500	-1.000	0.000
YNL032W	-1.000	-3.000	0.000	-1.000	0.000
YGL213C	0.000	-3.000	-1.000	0.000	0.000
YHR206W	-4.000	0.000	-5.000	0.000	-1.000
YBL007C	0.000	0.000	-6.000	0.000	0.000
YBR156C	0.000	-1.000	0.000	0.000	0.000
YLR139C	0.000	1.000	-6.000	0.000	0.000
YHR030C	0.000	0.000	0.000	-1.000	0.000
YER116C	-7.000	0.000	-1.000	-4.000	0.000
YGR229C	0.000	-3.000	0.000	0.000	0.000
YBR172C	0.000	0.000	0.000	-1.000	0.000
YOR290C	0.000	0.000	-7.000	0.000	0.000
YBR289W	-5.000	0.000	0.000	-2.000	-3.000
YHL025W	-6.000	-3.000	0.000	-4.000	0.000
YLR025W	0.000	-3.000	0.000	0.000	0.000
YCR033W	-1.000	-1.000	0.000	0.000	0.000
YPR101W	-1.000	-1.000	-1.000	-1.000	0.000
YJR104C	0.000	-1.000	-1.000	-1.000	-1.000
YMR066W	0.000	1.000	-6.000	0.000	0.000
YOL052C	0.000	-1.000	-1.000	0.000	0.000
YEL031W	0.000	-3.000	0.000	0.000	0.000
YNL012W	0.000	-4.000	0.000	0.000	0.000
YAL009W	0.000	-3.000	-1.000	-1.000	0.000
YMR179W	0.000	-4.000	0.000	-1.000	0.000
YGR063C	-7.000	-3.000	0.000	-7.000	0.000
YLR055C	0.000	0.000	0.000	-7.000	0.000
YGR104C	-6.000	-3.000	-7.000	-5.000	0.000
YCL037C	0.000	-4.000	0.000	0.000	0.000
YDR293C	-6.000	-3.000	0.000	0.000	0.000
YBR283C	0.000	0.000	-1.000	-1.000	0.000
YLR369W	0.000	1.000	-3.000	0.000	0.000
YHR064C	0.000	-4.000	0.000	0.000	-1.000
YHR178W	-1.000	-1.000	-3.000	-3.000	-2.000
YJR117W	0.000	0.000	0.000	-5.000	0.000
YCL008C	0.000	-3.000	0.000	0.000	0.000
YPL057C	0.000	0.000	0.000	-7.000	-1.000
YDR297W	0.000	-4.000	0.000	0.000	0.000
YPL029W	0.000	0.000	-6.000	0.000	-1.000
YAR003W	0.000	1.000	-1.000	0.000	0.000
YBR175W	0.000	-3.000	-1.000	0.000	0.000
YJL176C	-6.000	-4.000	0.000	-2.000	0.000
YLR182W	0.000	-4.000	0.000	-1.000	-1.000
YBR069C	-1.000	-3.000	0.000	-3.000	-5.000
YDR161W	0.000	-3.000	0.000	0.000	0.000
YKL140W	0.000	0.000	0.000	0.000	-1.000
YDL080C	0.000	-4.000	-1.000	-7.000	0.000
YLR237W	0.000	-4.000	0.000	-1.000	0.000
YHR167W	0.000	-4.000	1.000	0.000	0.000
YCR053W	0.000	0.000	0.000	-4.000	-1.000
YPR163C	-1.000	-3.000	-1.000	-7.000	0.000
YGR162W	-1.000	-3.000	0.000	-1.000	0.000
YOR297C	0.000	-3.000	0.000	-7.000	0.000
YPR074C	-1.000	-1.000	-5.000	-2.000	-2.000
YOL018C	0.000	-3.000	0.000	0.000	0.000
YLR234W	0.000	-3.000	0.000	-1.000	0.000
YBR126C	0.000	0.000	-1.000	-2.000	0.000
YDR074W	0.000	0.000	0.000	-1.000	0.000
YDR007W	0.000	-4.000	0.000	0.000	-1.000
YER090W	0.000	0.000	0.000	-1.000	0.000
YKL211C	0.000	-1.000	0.000	0.000	-1.000
YGR209C	-7.000	0.000	0.000	0.000	0.000
YOR295W	0.000	0.000	0.000	-1.000	0.000
YJL197W	0.000	0.000	0.000	0.000	-1.000
YBL067C	0.000	0.000	0.000	0.000	-1.000
YOR124C	0.000	0.000	0.000	0.000	-1.000
YER151C	0.000	0.000	-1.000	-7.000	0.000
YLR024C	0.000	-3.000	0.000	0.000	0.000
YBR006W	0.000	0.000	0.000	-1.000	0.000
YDR207C	0.000	-3.000	0.000	-1.000	0.000
YBR173C	0.000	0.000	-1.000	-1.000	0.000
YJL130C	0.000	-3.000	0.000	0.000	0.000
YNL229C	-5.000	-3.000	-7.000	-1.000	-1.000
YIL008W	0.000	-1.000	0.000	0.000	0.000
YDL077C	0.000	-4.000	-1.000	0.000	0.000
YGL212W	0.000	0.000	-1.000	0.000	0.000
YML115C	0.000	-3.000	0.000	-7.000	0.000
YIL017C	-6.000	-2.000	-1.000	-7.000	0.000
YGL227W	0.000	-3.000	-1.000	-5.000	0.000
YLR410W	0.000	1.000	0.000	0.000	0.000
YHR039C-A	-5.000	-4.000	0.000	0.000	0.000
YPL234C	-6.000	0.000	-1.000	-7.000	0.000
YPR036W	0.000	-3.000	0.000	0.000	-6.000
YBR127C	-5.000	-4.000	-1.000	-4.000	-1.000
YOR332W	-6.000	-3.000	0.000	-5.000	-7.000
YOR270C	-5.000	0.000	-1.000	-1.000	0.000
YKR001C	0.000	-3.000	0.000	0.000	0.000
YOR132W	0.000	-3.000	0.000	0.000	0.000
YKL041W	0.000	-1.000	0.000	0.000	0.000
YJR102C	-7.000	-2.000	0.000	0.000	0.000
YDR495C	0.000	-2.000	-1.000	0.000	0.000
YPL120W	-1.000	-3.000	-1.000	0.000	0.000
YLR396C	-6.000	-3.000	0.000	0.000	0.000
YLR417W	-1.000	-4.000	0.000	0.000	0.000
YDR486C	0.000	-1.000	-1.000	0.000	0.000
YLR322W	0.000	-3.000	0.000	0.000	0.000
YKR020W	0.000	-3.000	0.000	0.000	0.000
YPR087W	0.000	-4.000	0.000	-1.000	0.000
YML041C	0.000	0.000	-1.000	-1.000	0.000
YNL246W	-6.000	-3.000	-7.000	0.000	0.000
YAL002W	0.000	-3.000	-1.000	0.000	0.000
