orf	hom | growth (spot assay) | cumene hydroperoxide [0.035-0.11 mM] | SC | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | diamide | SC | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | hydrogen peroxide [0.75-1.6 mM] | SC | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | linoleic acid hydroperoxide [0.045-0.08 mM] | SC | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | menadione [0.5-1.2 mM] | SC | Thorpe GW~Dawes IW, 2004
YER122C	0.0	0.01124466218477178	-6.968927021317577	-1.1417333408271362	0.0
YER123W	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YER137C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YER139C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YER141W	0.0	0.01124466218477178	-1.0213082703655076	-7.992133385789954	0.0
YER145C	0.0	-1.1019768941076027	-1.0213082703655076	0.0	0.0
YER151C	0.0	0.01124466218477178	-1.0213082703655076	-7.992133385789954	0.0
YER153C	0.0	0.01124466218477178	-1.0213082703655076	-7.992133385789954	0.0
YER155C	0.0	-1.1019768941076027	-1.0213082703655076	0.0	0.0
YER164W	0.0	-4.441641562984726	-1.0213082703655076	-7.992133385789954	0.0
YER167W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YER177W	0.0	-4.441641562984726	-1.0213082703655076	-5.708666704135681	0.0
YER178W	0.0	-4.441641562984726	-1.0213082703655076	0.0	0.0
YFL001W	-1.3280792850420304	-4.441641562984726	-0.030038478540162818	-1.1417333408271362	0.0
YFL025C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YFL033C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	0.0	0.0
YFR007W	0.0	-4.441641562984726	-0.030038478540162818	-1.1417333408271362	0.0
YFR019W	-1.3280792850420304	-3.328420006692352	-3.995117645841542	-1.1417333408271362	-2.1847864713664444
YFR032C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YFR039C	0.0	-2.2151984503999773	-1.0213082703655076	0.0	0.0
YFR040W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YFR048W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YGL005C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YGL010W	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
YGL012W	-6.640396425210152	-2.2151984503999773	-0.030038478540162818	0.0	0.0
YGL013C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YGL025C	-7.968475710252183	-4.441641562984726	-0.030038478540162818	-5.708666704135681	0.0
YGL031C	-1.3280792850420304	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YGL045W	0.0	-3.328420006692352	-0.5256733744528352	0.0	0.0
YGL054C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YGL058W	0.0	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	-2.1847864713664444
YGL072C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YGL078C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YGL080W	0.0	-2.2151984503999773	-0.030038478540162818	-6.850400044962818	0.0
YGL105W	-1.3280792850420304	-3.328420006692352	-0.030038478540162818	-5.708666704135681	0.0
YGL107C	0.0	1.1244662184771463	-1.0213082703655076	0.0	0.0
YGL114W	0.0	1.1244662184771463	-0.030038478540162818	0.0	0.0
YGL135W	-1.3280792850420304	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	0.0
YGL200C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YGL211W	0.0	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YGL212W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YGL213C	0.0	-3.328420006692352	-1.0213082703655076	0.0	0.0
YGL218W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YGL219C	0.0	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	-15.29350529956511
YGL223C	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YGL226C-A	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YGL227W	0.0	-3.328420006692352	-1.0213082703655076	-5.708666704135681	0.0
YGL232W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YGL234W	0.0	-3.328420006692352	-1.0213082703655076	-1.1417333408271362	0.0
YGL236C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YGL237C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YGL241W	0.0	-4.441641562984726	-0.030038478540162818	-1.1417333408271362	0.0
YGL246C	-1.3280792850420304	-3.328420006692352	-1.0213082703655076	-1.1417333408271362	0.0
YGL250W	0.0	-4.441641562984726	-1.0213082703655076	0.0	0.0
YGL252C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YGR036C	-1.3280792850420304	-3.328420006692352	-0.030038478540162818	-7.992133385789954	0.0
YGR054W	0.0	-3.328420006692352	-6.968927021317577	0.0	0.0
YGR061C	0.0	0.01124466218477178	-0.030038478540162818	0.0	-15.29350529956511
YGR063C	-9.296554995294214	-3.328420006692352	-0.030038478540162818	-7.992133385789954	0.0
YGR064W	-9.296554995294214	-3.328420006692352	-0.030038478540162818	-5.708666704135681	0.0
YGR076C	0.0	0.01124466218477178	-4.986387437666887	0.0	0.0
YGR085C	-1.3280792850420304	-4.441641562984726	-0.030038478540162818	0.0	0.0
YGR092W	-9.296554995294214	-3.328420006692352	-6.968927021317577	-3.425200022481409	0.0
YGR101W	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YGR102C	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YGR104C	-7.968475710252183	-3.328420006692352	-6.968927021317577	-5.708666704135681	0.0
YGR122W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YGR133W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YGR150C	0.0	1.1244662184771463	-6.968927021317577	0.0	0.0
YGR159C	0.0	-4.441641562984726	-0.030038478540162818	-1.1417333408271362	0.0
YGR160W	0.0	1.1244662184771463	-0.030038478540162818	0.0	0.0
YGR162W	-1.3280792850420304	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YGR163W	0.0	0.01124466218477178	-0.030038478540162818	-7.992133385789954	-2.1847864713664444
YGR165W	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YGR170W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YGR171C	0.0	1.1244662184771463	-5.977657229492232	0.0	0.0
YGR174C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YGR180C	-1.3280792850420304	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	0.0
YGR200C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YGR209C	-9.296554995294214	0.01124466218477178	-0.030038478540162818	0.0	0.0
YGR219W	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YGR220C	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YGR229C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YGR240C	0.0	1.1244662184771463	-0.030038478540162818	0.0	0.0
YGR252W	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	0.0	0.0
YGR255C	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YGR257C	-1.3280792850420304	0.01124466218477178	-1.0213082703655076	0.0	0.0
YGR261C	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
YGR285C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YHL009C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YHL023C	-6.640396425210152			-5.708666704135681	-13.108718828198665
YHL025W	-7.968475710252183	-3.328420006692352	-0.030038478540162818	-4.566933363308545	0.0
YHL038C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YHR001W-A	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YHR010W	-1.3280792850420304	-3.328420006692352	-1.0213082703655076	0.0	0.0
YHR011W	0.0	0.01124466218477178	-4.986387437666887	0.0	0.0
YHR030C	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YHR034C	0.0	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YHR039C-A	-6.640396425210152	-4.441641562984726	-0.030038478540162818	0.0	0.0
YHR064C	0.0	-4.441641562984726	-0.030038478540162818	0.0	-2.1847864713664444
YHR146W	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
YHR147C	0.0	0.01124466218477178	-5.482022333579559	0.0	0.0
YHR155W	0.0	0.01124466218477178	-0.030038478540162818	-6.850400044962818	0.0
YHR167W	0.0	-4.441641562984726	0.9612313132851821	0.0	0.0
YHR178W	-1.3280792850420304	-1.1019768941076027	-3.0038478540161972	-3.425200022481409	-4.369572942732889
YHR183W	0.0	-4.441641562984726	-4.986387437666887	-5.708666704135681	-4.369572942732889
YHR189W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YHR203C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YHR206W	-5.312317140168122	0.01124466218477178	-4.986387437666887	0.0	-2.1847864713664444
YHR207C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YIL008W	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YIL017C	-7.968475710252183	-2.2151984503999773	-1.0213082703655076	-7.992133385789954	0.0
YIL018W	0.0	1.1244662184771463	-0.030038478540162818	0.0	0.0
YIL029C	-9.296554995294214	-4.441641562984726	-0.030038478540162818	0.0	0.0
YIL035C	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YIL036W	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
YIL041W	-9.296554995294214	-4.441641562984726	-0.030038478540162818	0.0	0.0
YIL053W	-1.3280792850420304	-4.441641562984726	-0.030038478540162818	0.0	0.0
YIL065C	-9.296554995294214	-4.441641562984726	-0.030038478540162818	-7.992133385789954	0.0
YIL076W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YIL077C	-1.3280792850420304	-1.1019768941076027	-0.030038478540162818	-7.992133385789954	0.0
YIL086C	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
YIL088C	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
