ORF	hom | growth (relative abundance in pooled culture) | time [14 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [21 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | time [21 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015
YAL023C	-0.018	1.411	-0.499	-0.682	0.134	-1.330	0.413	0.346	NaN	0.038	NaN	NaN	-0.321	-0.213
YAL024C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.476	NaN	NaN	-0.018	0.635
YAL025C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.531	NaN	NaN	-0.473	0.336
YAL026C	-0.351	0.745	-0.097	-0.399	0.360	-1.057	0.280	0.007	NaN	0.224	NaN	NaN	-0.584	-1.120
YAL027W	0.276	0.008	-0.660	-0.729	0.563	0.927	-0.030	-0.415	NaN	0.776	NaN	NaN	0.182	0.313
YAL028W	0.303	0.438	0.151	-0.087	0.913	0.694	0.113	-0.055	NaN	0.033	NaN	NaN	-0.635	-0.334
YAL029C	0.220	0.351	0.233	0.187	0.413	0.433	0.210	-0.049	NaN	-0.498	NaN	NaN	0.125	0.284
YAL030W	-0.167	0.028	0.195	0.056	-0.373	0.216	-0.184	-0.226	NaN	-0.121	NaN	NaN	0.684	1.183
YAL031C	-0.265	-0.157	0.445	0.505	0.066	-0.253	-0.006	-0.023	NaN	-0.139	NaN	NaN	0.849	-0.002
YAL032C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.268	NaN	NaN	1.656	0.805
YAL033W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.328	NaN	NaN	-0.386	-0.043
YAL034C	-0.522	-0.892	0.682	0.398	-1.186	-0.345	-1.131	-0.412	NaN	-0.516	NaN	NaN	-0.086	-0.743
YAL034C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.168	NaN	NaN	0.453	0.121
YAL034W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.365	NaN	NaN	-1.178	-1.070
YAL035W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.620	NaN	NaN	0.361	0.199
YAL036C	0.175	-0.143	-0.158	-0.141	-0.262	0.312	0.386	0.215	NaN	0.522	NaN	NaN	0.219	-0.480
YAL037W	-0.689	-0.906	0.357	0.875	0.003	-0.091	-0.584	-0.723	NaN	-0.885	NaN	NaN	0.684	0.394
YAL038W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.043	NaN	NaN	1.028	0.944
YAL039C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.604	NaN	NaN	-0.026	0.176
YAL040C	-1.048	-1.048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.628	NaN	NaN	0.375	0.429
YAL041W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.662	NaN	NaN	0.375	0.536
YAL042C-A	-0.650	-0.098	0.447	0.196	-0.447	-0.442	-0.678	-0.813	NaN	NaN	NaN	NaN	NaN	NaN
YAL042W	0.227	-0.487	-0.170	-0.150	-0.301	-0.072	0.061	0.339	NaN	-0.239	NaN	NaN	-0.008	0.050
YAL044C	0.434	1.683	0.566	0.346	-0.123	-1.786	-0.231	0.674	NaN	NaN	NaN	NaN	NaN	NaN
YAL045C	-0.177	-0.893	0.267	0.344	-0.362	-0.065	-1.506	-0.611	NaN	0.247	NaN	NaN	0.697	0.723
YAL046C	0.060	-0.027	0.188	0.067	0.053	0.008	0.282	0.091	NaN	0.379	NaN	NaN	0.394	1.248
YAL047C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.335	0.025	-0.508	NaN	NaN
YAL048C	-0.388	-0.313	0.892	0.378	-0.725	-0.322	-1.065	-0.541	NaN	-0.284	NaN	NaN	-0.267	-0.258
YAL049C	-0.009	-0.261	0.213	0.197	0.286	0.759	0.141	-0.295	NaN	0.090	NaN	NaN	-0.219	-0.743
YAL051W	0.173	-0.199	-0.311	-0.123	0.272	1.154	0.145	0.192	NaN	0.229	NaN	NaN	-0.069	-0.452
YAL053W	-0.509	0.390	0.861	0.969	-0.833	-1.243	-0.793	0.189	NaN	-0.458	NaN	NaN	0.967	1.150
YAL054C	0.659	0.454	-0.380	-0.429	0.804	0.202	-0.224	-0.184	-0.000	-0.075	0.549	1.386	-0.210	0.443
YAL055W	-0.310	-0.442	0.178	0.225	-0.655	-0.901	-0.227	-0.349	NaN	-0.405	NaN	NaN	-0.001	-0.071
YAL056C-A	0.014	0.932	0.008	0.299	0.400	-0.844	-0.372	0.521	-0.000	0.036	0.182	0.218	-0.125	-0.017
YAL056W	-1.217	-1.050	0.707	0.893	-2.217	-1.336	-1.884	-0.370	NaN	-0.090	NaN	NaN	0.816	1.553
YAL058W	0.150	1.085	-0.305	-0.176	0.549	-0.288	0.354	0.209	NaN	-0.114	NaN	NaN	0.158	0.488
YAL059W	-0.607	-1.121	1.191	0.579	-0.466	0.078	-0.955	-0.701	NaN	-0.448	NaN	NaN	0.375	0.313
YAL060W	0.197	-0.315	-0.411	-0.235	0.250	0.540	0.362	0.348	NaN	0.006	NaN	NaN	0.148	0.458
YAL061W	0.196	-0.224	-0.205	-0.315	0.099	-0.000	0.191	-0.159	NaN	0.189	NaN	NaN	-0.128	0.426
YAL062W	-0.006	-0.053	-0.199	-0.016	0.339	0.667	0.422	0.363	NaN	-0.086	NaN	NaN	0.012	-0.794
YAL064C-A	0.288	-0.044	-0.277	-0.295	0.651	0.889	-0.095	-0.423	NaN	0.258	NaN	NaN	0.077	0.872
YAL065C	-0.311	-0.387	0.844	0.751	-0.533	-0.436	-1.625	-0.884	NaN	0.542	NaN	NaN	1.350	1.596
YAL066W	0.112	-0.624	-0.402	-0.641	0.210	0.548	-0.019	-0.495	NaN	0.247	NaN	NaN	-0.540	-1.239
YAL067C	-0.435	-0.974	0.912	0.833	-1.156	-0.491	-0.720	-0.165	NaN	-0.284	NaN	NaN	1.571	0.805
YAL068C	0.214	0.004	0.139	0.236	-0.170	0.244	0.108	0.268	NaN	-0.361	NaN	NaN	-0.281	0.243
YAR002C-A	0.265	-0.851	-0.111	-0.228	-0.627	0.612	0.271	-0.103	NaN	0.870	NaN	NaN	-0.334	-0.773
YAR002W	-0.922	-1.195	1.102	0.197	-1.036	-1.298	-1.363	-0.441	NaN	NaN	NaN	NaN	NaN	NaN
YAR003W	-0.279	-0.731	-0.213	-0.491	-0.061	-0.047	0.396	-0.430	NaN	0.157	NaN	NaN	-0.660	-0.930
YAR007C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.013	NaN	NaN	0.600	-0.316
YAR008W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.101	NaN	NaN	-0.666	0.298
YAR014C	0.287	0.681	-0.060	-0.200	-0.286	-0.940	0.015	0.200	NaN	0.484	NaN	NaN	0.562	0.837
YAR015W	-0.318	0.560	-0.349	-0.821	-0.955	-1.987	-0.138	-1.048	NaN	-0.531	NaN	NaN	0.320	-0.272
YAR018C	-0.524	0.043	0.867	0.137	-1.478	-1.980	-1.019	-0.150	NaN	NaN	NaN	NaN	NaN	NaN
YAR019C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.100	NaN	NaN	-0.511	-0.328
YAR020C	-0.755	-0.791	1.403	1.013	-1.619	-0.760	-1.192	-0.050	NaN	-0.846	NaN	NaN	0.453	-0.687
YAR023C	0.199	0.047	-0.154	-0.370	0.811	0.717	0.255	0.229	NaN	0.658	NaN	NaN	-0.047	-0.117
YAR027W	-0.236	-0.388	0.303	0.427	-0.457	0.075	-0.633	-0.252	NaN	1.176	NaN	NaN	0.186	-0.153
YAR028W	-0.317	-0.788	0.383	0.321	-0.442	-0.310	-0.821	-0.159	NaN	-0.625	NaN	NaN	0.441	0.327
YAR029W	0.337	0.049	-0.147	0.137	0.395	0.554	0.282	-0.235	NaN	0.157	NaN	NaN	-0.495	-0.645
YAR030C	0.124	-0.512	-0.048	0.138	0.207	0.657	0.037	-0.055	NaN	0.017	NaN	NaN	0.122	0.210
YAR031W	-0.705	-0.792	1.118	0.976	-0.886	0.035	-1.263	-0.296	NaN	-0.168	NaN	NaN	-0.200	0.220
YAR035W	-0.398	-0.654	0.150	0.450	-0.591	-0.216	-0.434	-0.067	NaN	-0.610	NaN	NaN	0.123	0.136
YAR042W	-0.912	-0.633	1.226	0.904	-0.574	-0.672	-1.134	0.155	NaN	-0.583	NaN	NaN	0.714	0.273
YAR047C	-0.062	-0.382	0.202	0.269	-0.170	0.512	0.125	-0.139	NaN	0.510	NaN	NaN	-0.136	0.557
YAR050W	NaN	NaN	0.897	1.061	-0.829	-0.929	NaN	NaN	NaN	-0.075	NaN	NaN	0.148	0.257
YBL001C	0.181	-0.252	0.112	-0.360	0.269	0.924	-0.842	0.148	NaN	NaN	NaN	NaN	0.179	-0.172
YBL002W	-0.273	-1.440	0.142	0.284	-1.073	0.124	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL003C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.116	0.137
YBL004W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.168	NaN	NaN	0.652	0.876
YBL005W	-0.582	-0.247	0.422	0.413	0.182	0.237	-0.318	-0.500	NaN	NaN	NaN	NaN	NaN	NaN
YBL006C	-0.245	-1.318	NaN	NaN	-1.772	-0.877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL007C	-1.091	-1.091	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.085	-0.017	0.049	0.186	-0.028
YBL008W	NaN	NaN	0.213	-0.033	NaN	NaN	NaN	NaN	NaN	0.041	NaN	NaN	0.205	1.050
YBL009W	0.124	-0.454	0.511	0.054	-0.286	0.397	-0.993	-0.877	NaN	-0.168	NaN	NaN	0.649	-1.589
YBL010C	-0.356	-1.462	0.078	0.205	-0.904	0.366	-0.535	-0.213	NaN	NaN	NaN	NaN	NaN	NaN
YBL011W	-0.092	-0.404	1.945	1.578	-0.577	-0.067	-0.680	0.284	NaN	NaN	NaN	NaN	NaN	NaN
YBL012C	-0.605	-0.607	1.158	1.158	NaN	NaN	NaN	NaN	NaN	0.439	NaN	NaN	1.775	0.957
YBL013W	0.054	-0.163	0.272	0.308	0.388	0.095	0.218	0.232	NaN	-0.583	NaN	NaN	0.527	0.828
YBL015W	-0.633	-2.213	0.165	0.206	0.258	1.705	-0.294	0.190	NaN	0.247	NaN	NaN	0.492	0.766
YBL016W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.375	NaN	NaN	0.849	-0.043
YBL017C	0.254	-0.758	-0.324	0.181	-0.319	0.487	-0.249	-0.063	NaN	NaN	NaN	NaN	NaN	NaN
YBL018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.239	NaN	NaN	0.460	-0.502
YBL019W	-0.682	-0.082	NaN	NaN	-0.352	-0.481	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL020W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.469	NaN	NaN	0.719	0.150
YBL021C	NaN	NaN	NaN	NaN	-0.081	-0.963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL022C	0.243	-0.110	NaN	NaN	-0.862	-0.447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL024W	-0.313	-1.545	0.093	0.372	-0.571	-0.340	0.144	0.255	NaN	0.394	NaN	NaN	-0.165	0.565
YBL025W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.611	NaN	NaN	NaN	NaN
YBL026W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.349	NaN	NaN	0.012	-0.102
YBL027W	-0.197	0.496	NaN	NaN	0.642	-1.621	-0.718	-0.806	NaN	NaN	NaN	NaN	NaN	NaN
YBL028C	0.118	-2.309	0.364	0.308	-1.085	0.426	0.166	0.737	NaN	0.164	NaN	NaN	-0.303	0.095
YBL029W	NaN	NaN	0.370	-0.128	0.528	0.123	NaN	NaN	NaN	-0.962	NaN	NaN	0.620	0.313
YBL031W	-0.197	-0.185	0.563	0.403	-0.201	0.245	-0.958	0.216	NaN	-0.885	NaN	NaN	0.205	0.313
YBL033C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.509	NaN	NaN	NaN	NaN
YBL034C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.378	NaN	NaN	0.470	0.257
YBL035C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.716	NaN	NaN	0.401	-0.142
YBL036C	0.001	-0.965	0.117	0.039	-0.480	0.486	-0.537	0.471	NaN	-0.869	NaN	NaN	0.137	-1.750
YBL037W	-0.023	0.556	0.250	-0.362	-0.091	-0.054	0.382	0.271	NaN	-0.313	NaN	NaN	-0.200	-0.490
YBL038W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.583	NaN	NaN	0.420	-0.365
YBL039C	-0.399	-2.420	0.584	-0.460	-0.985	-0.901	-1.265	-0.886	NaN	NaN	NaN	NaN	0.816	-0.213
YBL040C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.846	NaN	NaN	NaN	NaN
YBL041W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.846	NaN	NaN	NaN	NaN
YBL042C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.737	NaN	NaN	NaN	NaN
YBL043W	-0.302	-0.185	0.727	0.418	-0.545	-0.344	-1.056	-0.340	NaN	NaN	NaN	NaN	NaN	NaN
YBL044W	-0.241	-0.412	0.963	0.772	-0.391	-0.273	-0.869	-0.128	NaN	NaN	NaN	NaN	NaN	NaN
YBL047C	-0.752	-2.291	-0.946	-1.231	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL048W	-0.473	-1.081	0.793	0.488	0.088	0.575	-0.027	0.230	NaN	-1.101	NaN	NaN	-1.117	-0.839
YBL049W	-0.520	-0.075	0.793	0.547	-0.356	0.225	-0.358	-0.057	NaN	NaN	NaN	NaN	0.849	-0.087
YBL050W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.583	NaN	NaN	0.919	-1.502
YBL051C	-0.585	-0.681	NaN	NaN	-0.865	-0.252	NaN	NaN	NaN	-1.086	NaN	NaN	0.155	-0.502
YBL052C	-0.504	-0.504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.190	0.050
YBL053W	-0.421	-0.485	0.864	0.476	-0.025	0.629	-0.426	0.368	NaN	-0.031	NaN	NaN	-0.058	0.050
YBL054W	0.154	-0.049	0.827	0.920	0.499	1.099	0.518	0.068	NaN	0.134	NaN	NaN	0.089	-0.298
YBL055C	-0.395	-0.666	0.297	0.139	-1.127	-0.299	NaN	NaN	NaN	NaN	NaN	NaN	-0.014	-0.502
YBL056W	-0.281	-0.176	0.591	0.476	-0.412	-0.160	NaN	NaN	NaN	-0.168	NaN	NaN	1.304	-0.309
YBL057C	0.068	0.122	0.090	0.129	-0.099	-0.067	-0.162	-0.233	NaN	-0.448	NaN	NaN	0.041	0.330
YBL059W	-0.535	-1.175	NaN	NaN	-0.138	0.190	NaN	NaN	NaN	-0.370	NaN	NaN	1.849	1.150
YBL060W	-0.666	-0.522	0.331	0.061	-0.502	-0.241	NaN	NaN	NaN	-0.306	NaN	NaN	1.465	0.858
YBL061C	0.045	-0.374	0.048	-0.208	-0.263	0.567	-0.014	-0.039	NaN	0.336	NaN	NaN	0.112	-0.365
YBL062W	-0.029	-1.408	0.445	0.350	-0.087	-0.505	-0.117	0.220	NaN	-1.320	NaN	NaN	-0.429	-0.195
YBL063W	0.119	-0.746	0.055	0.282	0.423	0.509	-0.119	-0.352	NaN	-1.043	NaN	NaN	-0.654	0.303
YBL064C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.284	NaN	NaN	0.527	0.465
YBL065W	-0.621	-1.431	NaN	NaN	-1.094	0.033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL066C	0.799	-1.042	-0.303	0.051	-0.794	0.230	-0.656	0.092	NaN	0.279	NaN	NaN	0.453	0.121
YBL067C	0.285	0.093	0.650	-0.016	-0.319	0.249	-0.489	-0.124	NaN	NaN	NaN	NaN	0.315	0.498
YBL068W	-0.477	-0.726	0.004	0.576	-1.004	-0.227	-0.347	-0.584	NaN	-0.796	NaN	NaN	0.527	0.050
YBL069W	-0.617	-0.895	NaN	NaN	-0.743	-0.404	-1.169	-0.330	NaN	NaN	NaN	NaN	NaN	NaN
YBL070C	-0.443	-0.433	0.462	0.763	0.526	0.374	-0.886	-0.335	NaN	-0.431	NaN	NaN	0.179	1.150
YBL071C	-0.241	-0.292	0.921	0.606	0.026	-0.759	-0.597	-0.704	NaN	-0.490	NaN	NaN	0.089	-0.950
YBL072C	-0.581	1.142	-0.067	-0.660	-0.224	-0.658	-0.896	-0.296	NaN	-0.820	NaN	NaN	0.057	-0.950
YBL074C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.076	NaN	NaN	-0.193	-0.172
YBL075C	-0.175	0.822	0.035	0.083	-0.108	0.252	-0.114	-0.014	NaN	NaN	NaN	NaN	NaN	NaN
YBL076C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.611	-0.502
YBL077W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.094	NaN	NaN	0.205	0.188
YBL078C	0.384	0.808	0.290	0.059	-0.668	-0.377	-0.641	0.411	NaN	-0.490	NaN	NaN	-0.303	-0.557
YBL079W	-0.731	1.504	0.581	0.686	-1.054	-2.956	-1.115	-0.338	NaN	-0.583	NaN	NaN	0.597	0.483
YBL081W	-0.507	-0.535	NaN	NaN	-0.894	-0.613	NaN	NaN	NaN	-0.852	NaN	NaN	NaN	NaN
YBL082C	-0.670	1.147	0.133	-0.162	0.880	-0.260	0.044	0.326	NaN	-0.553	NaN	NaN	-0.021	-0.153
YBL083C	0.004	0.856	NaN	NaN	-0.300	-0.716	-0.916	0.088	NaN	-0.721	NaN	NaN	0.614	1.220
YBL084C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.107	NaN	NaN	-0.151	0.510
YBL085W	-0.439	-1.396	0.133	-0.141	-0.620	-0.250	-0.426	0.175	NaN	-1.016	NaN	NaN	-1.004	-0.480
YBL086C	0.443	0.646	0.101	-0.059	0.106	1.226	0.118	-0.517	NaN	0.417	NaN	NaN	-0.004	0.105
YBL087C	0.121	1.740	0.338	0.072	-0.124	-1.771	-0.120	0.486	NaN	-0.309	NaN	NaN	0.264	0.150
YBL088C	0.232	-0.467	NaN	NaN	0.800	0.842	NaN	NaN	NaN	-0.606	NaN	NaN	-0.026	-1.017
YBL089W	-0.019	1.353	0.250	-0.140	-0.107	-1.442	-0.008	-0.102	NaN	0.312	NaN	NaN	-0.075	-0.365
YBL090W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.611	NaN	NaN	-0.933	0.176
YBL091C	-0.393	0.534	0.424	0.123	0.160	-0.108	-0.151	0.523	NaN	-0.391	NaN	NaN	0.179	0.150
YBL091C-A	-0.390	-0.486	0.411	0.512	-0.864	-0.195	-0.604	-0.114	NaN	0.216	NaN	NaN	0.527	0.539
YBL092W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.168	NaN	NaN	-0.295	-0.365
YBL093C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.460	1.176
YBL094C	-0.281	-0.080	0.272	0.589	-0.064	0.084	-0.856	-0.149	-0.000	-0.168	-0.139	0.203	0.562	0.220
YBL095W	-0.320	-0.678	1.021	0.817	-1.049	-0.278	-1.233	-0.445	NaN	NaN	NaN	NaN	NaN	NaN
YBL096C	-0.367	-0.296	0.544	0.651	-0.254	0.059	-0.745	-0.359	NaN	-0.391	NaN	NaN	-0.386	0.095
YBL097W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.266	NaN	NaN	0.112	-0.053
YBL098W	-0.258	-0.927	0.210	0.399	-0.447	0.384	-0.182	0.038	-0.000	-0.692	-0.261	0.256	0.002	0.635
YBL099W	-1.081	0.587	0.271	-0.461	-1.011	-3.993	-0.828	-0.779	NaN	-0.355	NaN	NaN	0.092	-0.308
YBL100C	-0.857	0.566	-0.005	-0.944	-0.296	-3.289	-0.278	-0.753	NaN	0.135	NaN	NaN	0.241	0.050
YBL101C	-0.053	-0.620	0.131	0.551	-0.543	0.760	-0.061	0.196	NaN	-0.386	NaN	NaN	0.472	0.202
YBL102W	-0.667	-1.239	0.561	0.868	-0.269	0.572	-0.596	-0.072	NaN	-0.599	NaN	NaN	-0.561	-0.867
YBL103C	0.009	-0.276	0.251	0.157	0.127	0.875	-0.166	0.235	NaN	-0.400	NaN	NaN	-0.071	0.635
YBL104C	-0.006	-1.073	0.216	0.149	0.308	-0.314	-0.542	-0.096	NaN	-0.494	NaN	NaN	-0.038	-0.950
YBL105C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.462	-0.151	0.001	-0.374	-0.587
YBL106C	-0.827	-0.619	0.878	1.003	-0.860	-1.054	-0.894	-0.001	NaN	-0.490	NaN	NaN	0.728	-0.102
YBL107C	-0.557	-0.518	1.206	0.806	-0.807	-0.265	-1.614	-0.607	NaN	-0.737	NaN	NaN	0.357	-0.213
YBR001C	-0.357	-0.566	0.737	0.863	-0.016	0.203	-0.965	-0.171	-0.000	-0.037	NaN	NaN	-0.033	-1.309
