orf	hom | growth (culture turbidity) | High sucrose (sucrose [0.88 M]) | Ando A~Shima J, 2006
YBR213W	0.9986637350785023
YBR214W	0.9977985755834102
YBR215W	1.05394192002241
YBR216C	0.9831983608310497
YBR217W	1.0421524889924738
YBR218C	1.0480480978268552
YBR219C	1.0268161168098648
YBR220C	0.9751578259843314
YBR221C	0.9884606674403431
YBR222C	1.0112765646619288
YBR223C	0.9607164082106529
YBR224W	1.0515778578870651
YBR225W	1.038816541151568
YBR226C	1.0550770757192403
YBR227C	1.0539986767909577
YBR228W	1.0651642900984175
YBR229C	0.9790213917594328
YBR230C	1.0217892582391854
YBR231C	1.045640462832488
YBR232C	
YBR233W	1.0115237351307664
YBR235W	1.0178791286532114
YBR238C	1.0079788091020176
YBR239C	1.0223885412368836
YBR240C	1.0051809081613903
YBR241C	1.0487117102261627
YBR242W	1.0349399025500883
YBR244W	0.9802795302918642
YBR245C	0.9359577711420883
YBR246W	0.8876047405367006
YBR248C	0.9933519915847387
YBR249C	0.8368322330834345
YBR250W	1.0013000399898833
YBR251W	0.993699409428353
YBR255W	0.973840819740256
YBR258C	0.8989405613209389
YBR259W	0.9467744900366625
YBR260C	0.9814421048307135
YBR261C	0.9661489252393218
YBR262C	0.9725494375223748
YBR263W	0.9894715402382398
YBR264C	0.9893733782086038
YBR266C	0.06588235294117648
YBR267W	0.07692307692307693
YBR268W	0.7294107638123821
YBR269C	0.8902636664336918
YBR270C	1.0638813944920182
YBR271W	1.0514846480960898
YBR272C	1.0536922048553452
YBR273C	1.0461497277949787
YBR274W	1.0367113662497456
YBR275C	1.0769930211754266
YBR276C	1.0330513699076693
YBR277C	0.8126853824255451
YBR278W	0.8140278678354023
YBR279W	
YBR280C	1.0926026874715353
YBR281C	0.9401075286833628
YBR282W	0.5
YBR283C	0.631105591363401
YBR284W	0.9913224455777494
YBR285W	0.954368751667363
YBR286W	0.8900288485115684
YBR287W	1.103022617685213
YBR288C	1.1167394030963
YBR289W	0.41471571906354515
YBR290W	1.0852896313496119
YBR291C	0.8855464365908341
YBR292C	0.9980283838602271
YBR293W	1.0987470153417205
YBR294W	1.017491399039922
YBR295W	0.9561589263208837
YBR296C	0.9517502356934526
YBR297W	0.9158519951087563
YBR298C	0.771976262992152
YBR299W	
YBR300C	0.8751056413814104
YBR301W	0.9893608054154995
YCL001W	1.131922224138315
YCL001W-A	0.8765386414692712
YCL002C	1.1794105821497756
YCL005W	1.0538304043838345
YCL007C	0.9154451206228134
YCL008C	0.8462647661227912
YCL009C	1.1783252494532042
YCL010C	1.172982155721576
YCL011C	1.2258142186794927
YCL014W	1.215112030217421
YCL016C	0.6953413771939408
YCL022C	1.0034021733422605
YCL023C	0.9836600870298607
YCL024W	1.2343047351554264
YCL025C	1.1848662823091043
YCL026C-A	1.0615067408864658
YCL027W	1.2563669984972512
YCL028W	1.2212820044715296
YCL029C	0.5897073841492038
YCL030C	1.0989296279379241
YCL032W	1.0387202698985034
YCL033C	1.1735112675684505
YCL034W	1.2331041620444172
YCL035C	1.0233492445187382
YCL036W	1.0030229196668987
YCL037C	1.128102176376317
YCL038C	1.0440814013558188
YCL039W	1.21560749882917
YCL040W	1.1123255667079561
YCL042W	1.1201287412061987
YCL044C	1.2408920734976097
YCL045C	1.1896200528392837
YCL046W	0.24204545454545454
YCL047C	1.1938120386175184
YCL048W	1.2140450310766695
YCL049C	1.1665741578506748
