ORF	hom | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015
YBL024W	-3.144	0.014
YBL025W	NaN	0.022
YBL026W	NaN	2.988
YBL027W	1.709	1.785
YBL028C	-0.121	0.362
YBL029W	0.131	0.347
YBL030C	NaN	1.902
YBL031W	-0.443	0.113
YBL032W	-2.669	-2.003
YBL033C	NaN	0.452
YBL034C	NaN	0.012
YBL035C	NaN	0.003
YBL036C	-0.194	0.089
YBL037W	-2.460	-0.020
YBL038W	6.695	0.606
YBL039C	1.121	0.009
YBL040C	NaN	0.832
YBL041W	NaN	-0.007
YBL042C	1.495	0.827
YBL043W	-0.035	0.081
YBL044W	-0.579	1.984
YBL045C	1.446	2.279
YBL046W	-2.704	-13.675
YBL047C	-13.912	2.621
YBL048W	-0.042	0.242
YBL049W	-0.001	0.468
YBL050W	NaN	2.142
YBL051C	-0.144	0.004
YBL052C	0.037	-0.204
YBL053W	0.307	0.092
YBL054W	-0.158	-0.362
YBL055C	0.078	1.051
YBL056W	-0.355	0.429
YBL057C	-0.094	0.035
YBL058W	-0.730	-0.028
YBL059W	0.530	1.020
YBL060W	-0.052	0.057
YBL061C	-1.323	0.145
YBL062W	-1.981	-0.555
YBL063W	0.466	0.251
YBL064C	-0.016	0.457
YBL065W	-0.832	-15.487
YBL066C	-0.123	0.063
YBL067C	0.489	-13.324
YBL068W	-0.070	0.103
YBL069W	-0.178	NaN
YBL070C	-0.472	0.362
YBL071C	3.224	0.155
YBL072C	-0.283	2.287
YBL073W	NaN	0.345
YBL074C	NaN	0.095
YBL075C	0.256	NaN
YBL076C	NaN	0.074
YBL077W	NaN	-0.462
YBL078C	-0.002	0.353
YBL079W	-1.058	-1.842
YBL080C	1.446	0.373
YBL081W	-1.203	-0.387
YBL082C	-3.610	0.038
YBL083C	-3.700	0.226
YBL084C	NaN	0.240
YBL085W	0.161	-0.395
YBL086C	-3.902	-5.070
YBL087C	-0.009	1.513
YBL088C	0.161	0.531
YBL089W	1.291	0.081
YBL090W	NaN	0.853
YBL091C	0.079	NaN
YBL091C-A	0.572	-0.298
YBL092W	NaN	1.382
YBL093C	-10.002	1.669
YBL094C	0.053	0.112
YBL095W	-0.027	-0.087
YBL096C	0.370	2.194
YBL097W	NaN	0.012
YBL098W	0.011	-0.050
YBL099W	2.004	0.044
YBL100C	4.105	1.203
YBL101C	-0.595	-1.376
YBL102W	0.808	0.049
YBL103C	NaN	-3.551
YBL104C	2.577	0.065
YBL105C	NaN	0.011
YBL106C	1.294	-0.387
YBL107C	0.471	0.288
YBR001C	0.600	-0.106
YBR002C	NaN	1.121
YBR003W	1.511	-0.682
YBR004C	NaN	-0.389
YBR005W	0.721	0.012
YBR006W	-1.133	-0.963
YBR007C	-0.012	-1.869
YBR008C	0.069	-0.921
YBR009C	-1.427	0.278
YBR010W	0.124	0.036
YBR011C	NaN	-0.562
YBR012C	-0.010	0.019
YBR013C	0.567	-0.131
YBR014C	0.018	0.389
YBR015C	-9.973	-0.116
YBR016W	0.213	-0.248
YBR017C	NaN	-0.016
YBR018C	-0.123	-0.012
YBR019C	0.033	-0.444
YBR020W	-0.440	-0.500
YBR021W	NaN	-0.002
YBR022W	0.006	-0.035
YBR023C	-1.159	0.075
YBR024W	0.004	-0.007
YBR025C	0.450	-0.548
YBR026C	-0.072	0.003
YBR027C	-0.843	-0.025
YBR028C	0.895	0.103
YBR029C	NaN	-0.016
YBR030W	-0.036	0.827
YBR031W	-0.626	-0.682
YBR032W	0.046	-0.010
YBR033W	0.014	0.374
YBR034C	-0.856	-0.052
YBR035C	-2.302	0.027
YBR036C	0.836	3.443
YBR037C	1.262	-0.057
YBR038W	NaN	-0.695
YBR039W	NaN	-0.019
YBR040W	0.946	0.865
YBR041W	-0.599	NaN
YBR042C	-1.043	-0.914
YBR043C	0.219	0.270
YBR044C	-0.009	0.012
YBR045C	0.134	-0.307
YBR046C	0.002	0.116
YBR047W	-0.000	-0.111
YBR048W	-0.016	0.693
YBR049C	NaN	1.144
YBR050C	0.185	-0.184
YBR051W	0.587	0.068
YBR052C	-0.131	0.074
YBR053C	-0.003	-0.041
YBR054W	-0.011	0.408
YBR055C	NaN	-0.013
YBR056W	0.045	1.199
YBR057C	-1.489	-1.214
YBR058C	0.561	0.568
YBR059C	0.192	-0.346
YBR060C	NaN	-0.725
YBR061C	NaN	-0.342
YBR062C	0.260	-0.060
YBR063C	-0.171	0.910
YBR064W	0.011	0.108
YBR065C	0.479	0.647
YBR066C	-0.001	0.023
YBR067C	-0.008	-0.174
YBR068C	-0.289	-0.221
YBR069C	0.874	0.084
YBR070C	NaN	-0.140
YBR071W	0.021	-0.379
YBR072W	-0.049	-0.604
YBR073W	-0.036	0.497
YBR074W	-0.067	0.210
YBR076W	-0.069	-0.030
YBR077C	1.468	0.020
YBR078W	NaN	-5.617
YBR079C	NaN	0.162
YBR080C	NaN	-0.979
YBR081C	NaN	-1.123
YBR082C	NaN	0.249
YBR083W	-0.317	0.470
YBR084C-A	0.966	0.009
YBR084W	0.852	-0.626
YBR085W	NaN	0.305
YBR086C	NaN	0.604
YBR087W	NaN	-0.288
YBR088C	NaN	0.539
YBR089W	NaN	0.069
YBR090C	-0.015	0.112
YBR091C	NaN	6.681
YBR092C	0.312	-0.287
YBR093C	-0.014	0.600
YBR094W	0.776	0.610
YBR095C	NaN	-2.899
YBR096W	2.496	0.003
YBR097W	NaN	-0.008
YBR098W	0.436	-0.198
YBR099C	-0.646	-1.126
YBR101C	-0.022	3.635
YBR102C	NaN	0.050
YBR103W	-0.379	0.469
YBR104W	0.077	-0.098
YBR105C	1.940	NaN
YBR106W	-0.089	-0.040
YBR107C	-0.943	0.009
YBR108W	-0.050	0.580
YBR109C	NaN	5.169
YBR110W	NaN	-3.190
YBR111C	NaN	1.199
YBR112C	NaN	-0.099
YBR113W	-0.049	-0.053
YBR114W	-0.531	0.020
YBR115C	NaN	0.069
YBR116C	0.183	0.337
YBR117C	NaN	-0.328
YBR118W	NaN	-14.561
YBR119W	-3.322	-2.361
YBR120C	-0.465	-0.213
YBR121C	NaN	-0.489
YBR123C	NaN	1.109
YBR124W	NaN	-0.037
YBR125C	0.195	0.515
YBR126C	4.249	-13.846
YBR127C	-13.379	-1.034
YBR128C	0.020	-0.454
YBR129C	0.939	0.056
YBR130C	0.392	0.163
YBR131W	-3.189	0.222
YBR132C	NaN	-0.572
YBR133C	-0.414	-8.575
YBR134W	-0.194	0.306
YBR135W	NaN	-0.408
YBR136W	NaN	-0.757
YBR137W	-0.058	0.389
YBR138C	-0.763	-0.952
YBR139W	-0.007	-0.022
YBR140C	NaN	0.526
YBR141C	0.231	1.106
YBR142W	NaN	1.617
YBR143C	NaN	0.368
YBR144C	-0.389	0.316
YBR145W	-0.003	0.021
YBR146W	0.632	-0.338
YBR147W	-0.054	-0.124
YBR148W	-0.004	0.299
YBR149W	1.194	0.298
YBR150C	-0.013	-0.895
YBR151W	-0.436	0.105
YBR152W	NaN	0.008
YBR153W	NaN	-0.153
YBR154C	NaN	0.763
YBR155W	NaN	0.005
YBR156C	2.964	4.838
YBR157C	-0.080	-0.013
YBR158W	-0.241	-0.590
YBR159W	-0.037	-2.460
YBR160W	NaN	-0.380
YBR161W	0.194	0.250
YBR162C	-3.978	0.175
YBR162W-A	0.076	-0.278
YBR163W	5.881	-0.456
YBR164C	-8.771	0.150
YBR165W	NaN	-0.137
YBR166C	NaN	-0.477
YBR167C	NaN	0.006
YBR168W	2.965	0.355
YBR169C	-0.017	-0.731
YBR170C	2.122	-2.724
YBR171W	-2.902	-0.007
YBR172C	0.028	1.011
YBR173C	-0.009	-1.220
YBR174C	0.864	-0.937
YBR175W	0.477	0.242
YBR176W	0.160	0.076
YBR177C	0.064	0.707
YBR178W	-0.017	-0.244
YBR179C	1.867	-0.106
YBR180W	0.197	-0.018
YBR181C	0.926	1.639
YBR182C	-0.220	0.160
YBR183W	0.046	-0.294
YBR184W	-0.170	0.026
YBR185C	0.854	-1.024
YBR186W	0.198	-2.557
YBR187W	0.329	1.196
YBR188C	1.053	0.025
YBR189W	0.131	1.974
YBR190W	NaN	-0.327
YBR191W	-0.350	-0.825
YBR192W	NaN	1.088
YBR193C	NaN	-0.013
YBR194W	NaN	0.049
YBR195C	1.725	-0.317
YBR196C	NaN	-0.955
YBR197C	0.673	-0.007
YBR198C	NaN	-15.730
YBR199W	-0.244	-0.348
YBR200W	NaN	-0.696
YBR201W	0.045	-1.883
YBR202W	NaN	-0.250
YBR203W	0.006	-0.173
YBR204C	0.022	-0.036
YBR205W	0.475	-1.113
YBR206W	-0.006	-0.530
YBR207W	0.487	0.004
YBR208C	-1.566	-0.092
YBR209W	NaN	-0.503
YBR210W	0.650	-0.042
YBR211C	NaN	-0.231
YBR212W	-0.010	-0.328
YBR213W	-0.015	-0.728
YBR214W	-0.002	-0.175
YBR215W	0.734	0.018
YBR216C	0.198	-0.083
YBR217W	0.249	-0.154
YBR218C	0.136	-0.043
YBR219C	0.104	0.090
YBR220C	0.211	0.056
YBR221C	2.129	0.070
YBR222C	-0.216	0.445
YBR223C	-0.052	0.015
YBR224W	-0.105	-2.287
YBR225W	-0.348	-2.010
YBR226C	-0.449	-1.353
YBR227C	-0.996	0.068
YBR228W	0.277	-0.081
YBR229C	-7.817	-0.276
YBR230C	0.213	-0.093
YBR231C	-1.580	-0.158
YBR232C	0.303	0.130
YBR233W	-0.070	0.406
YBR234C	NaN	-0.478
YBR235W	-0.015	-0.013
YBR236C	NaN	0.417
YBR237W	NaN	-0.086
YBR238C	1.991	0.593
YBR239C	-0.474	-0.954
YBR240C	0.061	-0.639
YBR241C	-0.029	-0.014
YBR242W	-0.052	0.051
YBR243C	NaN	-0.101
YBR244W	0.101	-0.557
YBR245C	-0.464	1.293
YBR246W	-0.013	1.158
YBR247C	NaN	3.330
YBR248C	-0.005	-0.293
YBR249C	-0.003	0.225
YBR250W	-0.028	0.103
YBR251W	5.864	0.272
YBR252W	NaN	-0.066
YBR253W	NaN	0.064
YBR254C	NaN	0.571
YBR255W	0.419	0.197
YBR256C	NaN	-0.022
YBR257W	NaN	0.721
YBR258C	-0.058	-0.115
YBR259W	0.152	0.035
YBR260C	-0.407	-0.211
YBR261C	0.046	0.636
YBR262C	-0.010	-0.225
YBR263W	0.277	-0.178
YBR264C	0.053	-1.593
YBR265W	NaN	-0.137
YBR266C	0.652	3.799
YBR267W	-0.072	1.479
YBR268W	5.053	-0.104
YBR269C	0.481	0.083
YBR270C	0.513	0.097
YBR271W	1.048	-4.557
YBR272C	0.220	0.084
YBR273C	0.677	0.199
YBR275C	-0.428	-0.504
YBR276C	-0.063	0.875
YBR277C	-3.069	-6.223
YBR278W	-2.879	-8.144
YBR279W	-0.567	-2.709
YBR280C	0.796	0.317
YBR281C	-0.118	-6.700
YBR282W	NaN	-4.768
YBR283C	-2.995	-5.650
YBR284W	-0.128	-4.193
YBR285W	0.457	-4.184
YBR286W	-0.378	-4.694
YBR287W	0.676	0.034
YBR288C	-7.606	-1.079
YBR289W	2.755	-0.367
YBR290W	-21.077	-15.209
YBR291C	-0.166	-4.960
YBR292C	-0.087	-5.709
YBR293W	0.426	-4.365
YBR294W	0.387	0.182
YBR295W	-0.684	-4.709
YBR296C	-0.124	-3.683
YBR297W	-0.411	-9.021
YBR298C	-0.843	-5.036
YBR299W	0.241	NaN
YBR300C	0.348	-4.193
YBR301W	0.979	0.992
YCL001W	-2.568	-0.039
YCL001W-A	-1.633	-4.917
YCL002C	-9.648	-0.003
YCL004W	NaN	0.026
YCL005W	-1.198	-0.044
YCL006C	-0.395	-0.100
YCL007C	-11.822	-25.146
YCL008C	-19.212	0.050
YCL009C	0.753	1.158
YCL010C	1.460	-0.825
YCL011C	-0.681	-1.389
YCL014W	-0.084	-0.116
YCL016C	-6.188	-0.785
YCL017C	NaN	-1.760
YCL022C	0.211	-0.057
YCL023C	-0.029	-0.030
YCL024W	-0.365	-0.197
YCL025C	0.002	0.396
YCL026C-A	-0.721	0.153
YCL027W	0.028	0.272
YCL028W	-0.076	0.199
YCL029C	0.651	0.111
YCL030C	0.016	-0.001
YCL032W	0.448	-0.181
YCL033C	0.354	0.070
YCL034W	-0.041	-0.155
YCL035C	-0.026	-0.173
YCL036W	0.557	6.130
YCL037C	-2.110	4.910
YCL038C	-0.078	-0.280
YCL039W	0.245	0.168
YCL040W	0.199	-0.339
YCL041C	NaN	-0.005
YCL042W	0.239	0.030
YCL043C	NaN	-0.034
YCL044C	-0.160	0.257
YCL045C	-0.722	0.003
YCL046W	-0.867	0.142
YCL047C	-0.428	-0.076
YCL048W	0.065	0.036
YCL049C	0.340	-0.060
YCL050C	0.883	-0.076
YCL051W	0.009	-1.667
YCL052C	NaN	0.223
YCL054W	NaN	0.729
YCL055W	-0.993	0.320
YCL056C	0.269	0.044
YCL057W	0.190	-0.409
YCL058C	1.093	0.513
YCL059C	NaN	-0.025
YCL061C	0.790	0.146
YCL063W	2.986	0.783
YCL064C	0.217	-0.250
YCL069W	0.124	0.845
YCL074W	0.473	0.912
YCL075W	0.659	0.594
YCL076W	0.624	0.323
YCR001W	-0.184	0.019
YCR002C	NaN	-7.917
YCR003W	1.285	-0.492
YCR004C	0.429	0.275
YCR005C	-0.460	0.103
YCR006C	-0.237	-18.698
YCR007C	-0.013	1.672
YCR008W	1.519	-0.011
YCR009C	-21.159	-0.430
YCR010C	-0.054	0.005
YCR011C	-0.329	-0.050
YCR012W	NaN	0.502
YCR013C	NaN	0.280
YCR014C	-1.017	-0.210
YCR015C	-0.061	-0.363
YCR016W	-0.060	0.291
YCR017C	-5.050	0.329
YCR019W	0.144	0.302
YCR020C	-0.457	0.048
YCR020C-A	-0.345	-0.021
YCR020W-B	3.493	-5.621
YCR021C	-0.456	-0.068
YCR022C	0.195	0.240
YCR023C	-0.032	0.055
YCR024C	5.237	-5.232
YCR024C-A	-2.328	-4.991
YCR025C	-2.753	-5.668
YCR026C	-1.278	-5.330
YCR027C	-0.049	-1.953
YCR028C	-3.998	-6.504
YCR028C-A	5.220	0.222
YCR030C	-0.300	0.692
YCR031C	0.955	-6.367
YCR032W	-1.061	-0.780
YCR033W	0.105	1.015
YCR034W	-17.271	-5.331
YCR035C	NaN	0.327
YCR036W	-1.090	-19.373
YCR037C	0.258	-4.803
YCR043C	0.507	-3.501
YCR044C	-7.776	-5.369
YCR045C	-1.519	-6.122
YCR046C	NaN	-0.020
YCR047C	-0.023	0.552
YCR048W	-0.586	-0.014
YCR049C	-0.851	-5.246
YCR050C	-1.676	-6.866
YCR051W	-0.656	-3.352
YCR052W	NaN	-10.872
YCR053W	0.559	0.513
YCR054C	NaN	-0.057
YCR057C	NaN	0.821
YCR059C	-0.490	-5.707
YCR060W	-0.338	-2.478
YCR061W	-0.295	-0.237
YCR063W	0.846	-6.235
YCR064C	NaN	-0.132
YCR065W	-1.370	-7.407
YCR066W	0.217	-4.807
YCR067C	-0.526	-0.100
YCR068W	-2.356	-5.456
YCR069W	-0.025	-0.081
YCR071C	2.173	-5.550
YCR072C	NaN	-0.080
YCR073C	-0.014	-0.016
YCR073W-A	-0.246	-2.706
YCR075C	0.296	-0.124
YCR076C	-0.019	-5.441
YCR077C	-6.055	-4.059
YCR079W	-1.333	-3.796
YCR081W	-4.596	-1.315
YCR082W	0.996	-7.095
YCR083W	0.180	0.158
YCR084C	4.520	0.407
YCR085W	-0.521	-6.508
YCR086W	1.947	-5.650
YCR087C-A	-2.427	-4.706
YCR087W	0.127	-7.451
YCR088W	-3.621	-1.238
YCR089W	0.076	0.007
YCR090C	0.351	-0.429
YCR091W	0.670	0.471
YCR092C	-0.402	0.204
YCR093W	NaN	-1.253
YCR094W	-5.663	0.013
YCR095C	-1.975	-0.008
YCR098C	-0.441	0.703
YCR099C	0.882	0.097
YCR100C	0.275	0.872
YCR101C	0.050	0.888
YCR102C	0.428	0.042
YCR102W-A	0.022	1.775
YCR105W	0.353	0.821
YCR106W	0.845	0.799
YCR107W	0.705	0.963
YDL001W	-0.819	-0.575
YDL002C	2.879	1.939
YDL003W	NaN	-0.831
YDL004W	NaN	-2.703
YDL005C	NaN	-0.328
YDL006W	-7.401	-2.278
YDL007W	NaN	-0.830
YDL008W	NaN	0.279
YDL009C	1.164	0.046
YDL010W	-0.265	0.322
YDL011C	0.059	0.119
YDL012C	0.021	0.236
YDL013W	0.228	-1.056
YDL014W	NaN	1.957
YDL015C	NaN	0.700
YDL016C	NaN	0.204
YDL017W	NaN	-0.077
YDL018C	0.410	0.309
YDL019C	-0.024	0.724
YDL020C	-8.531	-2.699
YDL021W	-1.319	-0.220
YDL022W	-0.656	-1.002
YDL023C	-7.992	-0.003
YDL024C	-0.433	0.599
YDL025C	-1.756	-0.134
YDL026W	0.006	NaN
YDL027C	-0.036	-0.202
YDL028C	NaN	-0.745
YDL029W	NaN	-1.338
YDL030W	NaN	0.406
YDL031W	NaN	0.153
YDL032W	0.121	0.021
YDL033C	0.694	0.033
YDL034W	0.392	-3.663
YDL035C	-2.733	-1.755
YDL036C	-0.269	NaN
YDL037C	-0.153	0.018
YDL039C	0.375	-0.019
YDL040C	-1.750	-0.005
YDL041W	-10.173	-1.001
YDL043C	NaN	-2.917
YDL044C	6.366	0.440
YDL045C	NaN	-0.336
YDL045W-A	NaN	-0.343
YDL046W	0.118	-0.076
YDL047W	NaN	2.749
YDL048C	-3.779	-1.178
YDL049C	-0.016	0.354
YDL050C	0.531	0.454
YDL051W	0.470	0.927
YDL052C	0.147	-0.080
YDL053C	-0.522	-0.551
YDL054C	-0.007	-0.477
YDL055C	NaN	0.161
YDL056W	6.834	-0.001
YDL057W	NaN	-0.046
YDL058W	NaN	0.119
YDL059C	0.184	-0.174
YDL060W	NaN	0.556
YDL061C	-0.235	5.571
YDL062W	-1.483	-5.296
YDL063C	-2.171	-5.384
YDL064W	NaN	0.147
YDL065C	0.154	-1.078
YDL066W	-0.748	0.198
YDL067C	1.589	0.825
YDL068W	3.482	0.318
YDL069C	1.348	NaN
YDL070W	-0.333	0.028
YDL071C	-0.102	-0.002
YDL072C	0.180	0.023
YDL073W	-2.953	-0.182
YDL074C	-0.578	-0.209
YDL075W	NaN	-11.360
YDL076C	0.753	0.049
YDL077C	-14.086	1.318
YDL078C	-0.006	0.026
YDL079C	-0.023	-0.430
YDL080C	-0.026	-0.215
YDL081C	-3.563	-0.061
YDL082W	2.681	0.233
YDL083C	2.276	2.978
YDL084W	NaN	0.039
YDL085W	0.192	-0.052
YDL086W	0.065	0.236
YDL087C	NaN	0.304
YDL088C	1.412	0.152
YDL089W	0.501	-0.164
YDL090C	1.457	-0.144
YDL091C	-0.213	0.040
YDL092W	NaN	-0.028
YDL093W	-0.157	0.667
YDL094C	-1.479	-0.400
YDL095W	-4.397	0.838
YDL096C	-6.318	-0.328
YDL097C	NaN	-3.697
YDL098C	NaN	0.232
YDL099W	2.712	0.593
YDL100C	-3.094	-0.745
YDL101C	0.901	0.429
YDL102W	NaN	-0.034
YDL103C	NaN	-0.006
YDL104C	1.139	-0.014
YDL105W	NaN	0.719
YDL106C	NaN	0.035
YDL107W	0.760	0.265
YDL108W	NaN	-0.613
YDL109C	0.706	0.082
YDL110C	-0.708	-0.052
YDL111C	NaN	5.095
YDL112W	0.880	0.409
YDL113C	-0.032	0.226
YDL114W	0.087	-0.620
YDL115C	-0.188	-0.024
YDL116W	-0.604	-0.051
YDL117W	-8.330	-1.392
YDL118W	-0.854	-0.032
YDL119C	NaN	-0.076
YDL120W	NaN	-0.460
YDL121C	-0.062	-0.233
YDL122W	0.250	0.092
YDL123W	-0.174	-0.040
YDL124W	-0.013	-0.027
YDL125C	0.128	-1.030
YDL126C	NaN	-5.734
YDL127W	1.041	-0.008
YDL128W	0.194	0.059
YDL129W	0.554	0.539
YDL130W	-2.427	0.865
YDL130W-A	0.449	0.079
YDL131W	0.024	0.071
YDL132W	NaN	-1.575
YDL133C-A	-0.550	-0.004
YDL133W	-1.172	0.100
YDL134C	-0.672	0.007
YDL135C	0.426	0.277
YDL136W	0.716	0.413
YDL137W	-0.014	0.383
YDL138W	-0.007	-0.105
YDL139C	NaN	0.414
YDL140C	NaN	-1.736
YDL141W	NaN	-0.122
YDL142C	0.876	-0.036
YDL143W	NaN	1.622
YDL144C	0.017	0.417
YDL145C	NaN	-6.958
YDL146W	-5.893	0.453
YDL147W	NaN	-1.570
YDL148C	NaN	0.358
YDL149W	-0.009	-0.564
YDL150W	NaN	4.427
YDL151C	NaN	1.487
YDL152W	NaN	2.626
YDL153C	NaN	-0.015
YDL154W	-0.332	-0.012
YDL155W	0.904	0.068
YDL156W	0.592	-0.033
YDL157C	0.487	-0.012
YDL158C	0.941	-0.179
YDL159W	NaN	-0.040
YDL160C	1.165	1.640
YDL161W	0.081	-0.031
YDL162C	-0.780	-0.424
YDL163W	NaN	1.295
YDL164C	NaN	-0.397
YDL165W	NaN	-2.055
YDL166C	NaN	0.379
YDL167C	-1.072	-1.925
YDL168W	0.017	0.578
YDL169C	0.248	0.031
YDL170W	0.129	0.358
YDL171C	0.384	-0.005
YDL172C	0.124	-0.088
YDL173W	0.739	-0.138
YDL174C	0.316	-1.216
YDL175C	-0.023	-1.103
YDL176W	-0.095	-0.120
YDL177C	1.072	-0.053
YDL178W	-0.058	0.439
YDL179W	-0.035	0.376
YDL180W	0.019	0.008
YDL181W	NaN	-0.229
YDL182W	0.180	-0.022
YDL183C	1.246	0.022
YDL184C	-0.019	0.010
YDL185W	-12.647	-4.271
YDL186W	-0.011	-0.422
YDL187C	-0.360	0.067
YDL188C	-0.126	-0.391
YDL189W	-0.119	-0.385
YDL190C	-2.221	-1.930
YDL191W	-8.491	-0.439
YDL192W	-18.611	-0.617
YDL194W	-3.455	-0.542
YDL195W	NaN	-8.354
YDL196W	NaN	-2.408
YDL197C	-0.216	-0.171
YDL198C	1.201	0.175
YDL199C	-0.007	-0.863
YDL200C	0.397	0.906
YDL201W	-1.764	-0.223
YDL202W	6.419	-0.645
YDL203C	-0.063	-0.339
YDL204W	-0.576	-0.105
YDL205C	NaN	-1.908
YDL206W	-0.186	0.175
YDL207W	2.836	0.852
YDL208W	NaN	0.184
YDL209C	NaN	0.030
YDL210W	-0.077	-0.242
YDL211C	-0.561	-1.409
YDL212W	NaN	-0.089
YDL213C	-0.021	-0.270
YDL214C	-0.006	-0.039
YDL215C	-0.116	-3.093
YDL216C	-0.031	-0.073
YDL217C	NaN	-0.036
YDL218W	-0.028	-0.034
YDL219W	-0.002	-1.041
YDL220C	NaN	-0.012
YDL221W	NaN	0.046
YDL222C	-0.320	-0.008
YDL223C	-0.348	-0.171
YDL224C	0.088	0.424
YDL225W	-3.369	-0.074
YDL226C	-6.952	1.625
YDL227C	-0.643	0.466
YDL229W	-0.324	-0.367
YDL230W	0.012	0.279
YDL231C	0.110	-0.416
YDL232W	NaN	-0.034
YDL233W	-0.009	-0.024
YDL234C	0.232	0.025
YDL235C	NaN	-0.010
YDL236W	1.817	0.271
YDL237W	0.047	0.594
YDL238C	0.036	-0.014
YDL239C	0.162	0.009
YDL240W	-0.891	-0.014
YDL241W	-0.318	0.007
YDL242W	0.779	0.146
YDL243C	0.328	0.054
YDR001C	-0.272	0.082
YDR002W	NaN	-1.023
YDR003W	-0.323	-0.685
YDR004W	0.436	-0.007
YDR005C	0.251	-0.006
YDR006C	-0.137	0.024
YDR007W	0.709	-0.408
YDR008C	0.234	-0.035
YDR009W	0.031	-0.156
YDR010C	0.372	-0.001
YDR011W	1.116	-0.099
YDR013W	NaN	-0.164
YDR014W	-2.270	-0.005
YDR015C	0.175	-0.374
YDR016C	NaN	0.267
YDR017C	1.278	2.718
YDR018C	0.242	0.441
YDR019C	0.457	-0.124
YDR020C	2.125	-1.552
YDR021W	NaN	-0.038
YDR022C	-0.180	-0.097
YDR023W	NaN	0.004
YDR024W	1.788	1.410
YDR025W	2.440	0.493
YDR026C	-0.202	-0.557
YDR028C	0.528	0.510
YDR029W	-0.096	0.049
YDR030C	-0.610	0.064
YDR031W	-0.930	-0.187
YDR032C	0.074	0.348
YDR033W	-0.648	NaN
YDR034C	-0.034	0.348
YDR035W	0.130	0.021
