ORF	hap a | growth (culture turbidity) | standard | SC | Kuroda K~Avalos J, 2019	hap a | growth (culture turbidity) | isobutanol [1.4%] | SC | Kuroda K~Avalos J, 2019
YLR055C	4.106	0.124
YDR312W	6.851	0.123
YBR113W	3.869	0.123
YBL071C	3.838	0.123
YNL079C	4.612	0.123
YCR024C	4.451	0.122
YGR093W	5.280	0.122
YER111C	6.090	0.122
YDR079W	4.908	0.120
YLR205C	4.286	0.120
YHR142W	5.998	0.120
YCL063W	3.903	0.105
YCR071C	5.607	0.120
YNL014W	5.801	0.119
YBR030W	5.342	0.119
YEL050C	1.887	0.119
YGR057C	5.355	0.119
YBL067C	3.682	0.119
YPL174C	3.022	0.118
YGL221C	2.692	0.118
YLR194C	4.769	0.118
YIL009C-A	5.663	0.118
YLR425W	5.888	0.118
YML121W	5.528	0.117
YDR120C	6.290	0.117
YDR392W	0.837	0.117
YDL037C	7.648	0.117
YHR204W	4.625	0.116
YBL062W	3.857	0.116
YHR147C	5.171	0.116
YOL006C	6.261	0.116
YJL080C	6.967	0.116
YJL120W	5.937	0.116
YBR191W	3.518	0.115
YKL068W	4.923	0.115
YBR027C	5.494	0.115
YOL096C	5.992	0.114
YGL127C	3.234	0.114
YNL192W	7.047	0.114
YOR158W	4.221	0.113
YMR142C	0.765	0.113
YDR065W	5.489	0.113
YDR484W	4.601	0.113
YKR046C	4.499	0.113
YGL143C	3.784	0.113
YPL009C	5.743	0.113
YDR393W	3.889	0.112
YLR064W	4.649	0.111
YHR168W	5.256	0.111
YIR033W	4.821	0.111
YCR034W	5.824	0.111
YLR171W	5.549	0.111
YPR134W	5.601	0.111
YHL038C	5.913	0.110
YLR337C	4.710	0.109
YBR173C	5.784	0.109
YLR114C	5.196	0.109
YLR090W	5.318	0.109
YDL135C	4.408	0.109
YDR185C	4.648	0.109
YLR137W	5.025	0.109
YJR122W	6.501	0.108
YOR135C	6.086	0.108
YGR159C	3.567	0.108
YDL133W	4.837	0.108
YBR024W	4.719	0.108
YDL006W	5.312	0.108
YPL086C	5.154	0.107
YHR152W	4.818	0.107
YFL013C	5.740	0.107
YJL213W	5.188	0.107
YBR282W	5.121	0.107
YGL261C	4.408	0.107
YPR020W	5.934	0.106
YPL215W	5.587	0.106
YDR237W	4.330	0.106
YNL099C	4.449	0.106
YLR260W	5.614	0.105
YKR001C	4.426	0.105
YPL051W	5.074	0.104
YPR160W	5.640	0.104
YLR187W	4.883	0.104
YBL098W	4.901	0.103
YIL084C	6.311	0.103
YBR105C	4.932	0.103
YPL034W	6.670	0.102
YNL241C	6.332	0.102
YML036W	4.866	0.101
YJR097W	5.837	0.101
YOL012C	5.952	0.101
YBL022C	3.369	0.101
YBL068W	4.177	0.100
YNL090W	5.839	0.100
YPL052W	4.153	0.100
YPR191W	5.425	0.100
YCL064C	5.258	0.100
YBR147W	3.909	0.099
YOR275C	5.866	0.099
YBR238C	5.975	0.098
YCL007C	7.024	0.098
YMR084W	6.286	0.097
YIL076W	5.319	0.097
YPL054W	4.881	0.097
YGL234W	2.990	0.097
YBR289W	5.469	0.097
YLR139C	3.359	0.097
YKR010C	5.313	0.097
YLR436C	4.957	0.097
YDR214W	5.916	0.096
YLR079W	3.994	0.096
YHR026W	2.988	0.096
YER050C	4.072	0.096
YBR163W	4.066	0.095
YNL071W	4.687	0.095
YOL095C	6.266	0.094
YNL056W	6.566	0.094
YDL118W	4.965	0.093
YOL027C	6.673	0.093
YHL011C	4.052	0.093
YBR164C	4.595	0.093
YML066C	5.521	0.093
YHR038W	6.718	0.093
YDL113C	4.520	0.093
YDR144C	5.232	0.092
YHR151C	5.839	0.092
YBR201W	4.961	0.092
YLR295C	4.336	0.091
YNL153C	5.274	0.091
YIL111W	4.902	0.091
YOR322C	6.619	0.091
YDR197W	4.539	0.091
YKL094W	6.019	0.091
YIL065C	6.078	0.091
YCR020W-B	4.943	0.090
