ORF	hom | growth (relative abundance in pooled culture) | cisplatin [62.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [4.8 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [9.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [19.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [38.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [76.9 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [31.25 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [62.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | time [overnight + 20 generations], atorvastatin [62.5 uM] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | time [overnight + 20 generations], atorvastatin [125 uM] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | lovastatin [77.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | lovastatin [154.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.025 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.05 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.1 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [16.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [32.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [65.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [130.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [1.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [2.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [4.7 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | alverine citrate [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | dyclonine [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | dyclonine [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004
YAL024C	-5.420	-6.910	-7.653	-7.232	-9.424	-9.431	-2.637	-8.086	-9.740	-7.222	-7.189	-9.077	-9.517	-9.262	-9.374	-8.862	-8.311	-5.930	-5.755	-9.509	-8.836	-8.361	-9.721	-9.120	-9.715	-15.962	-5.826	-1.898	-9.076	-9.372	-8.195	-4.432	-9.260
YAL025C	-0.000	-0.000	-0.000	-0.000	-9.858	-9.581	-11.344	-10.927	-10.648	-10.766	-11.198	-9.143	-10.982	-10.444	-10.818	-9.099	-7.437	-9.790	-8.919	-11.058	-11.450	-11.035	-9.404	-11.412	-10.887	-4.645	-9.097	-11.583	-11.451	-11.551	-8.545	-10.805	-8.531
YAL026C	-5.806	-8.018	-4.865	-6.286	-11.880	-12.195	-0.000	-12.404	-11.404	-7.102	-12.607	-11.942	-12.167	-10.731	-12.210	-12.196	-7.727	-10.563	-12.360	-12.280	-10.245	-10.208	-5.914	-11.742	-12.302	-12.090	-0.000	-11.578	-12.104	-168.709	-10.932	-12.646	-11.954
YAL027W	-10.082	-8.116	-6.224	-9.812	-11.868	-10.646	-11.242	-8.713	-13.768	-8.091	-13.348	-10.254	-13.480	-13.642	-12.946	-12.552	-10.751	-12.817	-13.278	-13.384	-10.397	-12.841	-3.376	-13.541	-8.880	-14.959	-2.205	-13.048	-13.521	-11.644	-13.246	-13.903	-12.506
YAL028W	-9.393	-8.521	-8.392	-7.932	-8.856	-7.445	-10.787	-9.837	-7.192	-9.106	-8.731	-10.068	-8.459	-10.452	-8.962	-10.376	-7.207	-9.769	-10.012	-10.615	-9.565	-10.957	-6.835	-10.006	-10.004	-7.433	-10.740	-10.769	-9.606	-10.334	-9.485	-10.384	-9.567
YAL029C	-8.427	-7.848	-7.891	-8.861	-10.924	-9.677	-12.054	-11.135	-11.982	-8.326	-11.558	-11.213	-11.169	-11.907	-11.252	-11.423	-9.293	-12.162	-11.361	-12.058	-11.882	-11.802	-6.599	-11.938	-11.584	-7.653	-8.284	-9.808	-8.705	-10.970	-11.573	-11.290	-11.785
YAL030W	-8.952	-9.407	-6.073	-7.836	-11.267	-10.533	-11.646	-11.736	-10.807	-9.587	-11.001	-12.005	-11.626	-10.204	-11.237	-11.342	-8.118	-11.740	-10.354	-11.380	-11.074	-11.880	-11.186	-11.609	-11.319	-11.633	-11.992	-9.464	-8.978	-7.929	-11.362	-12.077	-11.196
YAL031C	-10.334	-8.566	-5.047	-4.692	-11.149	-11.171	-10.013	-11.035	-10.049	-8.700	-9.405	-11.292	-11.363	-11.306	-12.308	-12.398	-9.622	-10.701	-11.015	-11.881	-10.515	-11.995	-8.933	-11.981	-12.314	-14.077	-0.403	-9.849	-10.449	-2.045	-12.296	-12.768	-12.439
YAL032C	-0.000	-0.000	-0.000	-0.000	-10.915	-11.333	-9.581	-10.547	-12.288	-9.910	-12.061	-11.656	-12.477	-12.549	-12.210	-12.556	-8.715	-8.796	-10.264	-12.388	-12.052	-12.447	-11.082	-11.993	-12.600	-4.543	-4.261	-9.975	-10.484	-10.655	-11.883	-12.419	-12.469
YAL033W	-0.000	-0.000	-0.000	-0.000	-11.032	-10.873	-12.064	-11.753	-12.012	-8.233	-10.390	-8.281	-11.873	-11.957	-12.055	-10.504	-8.142	-11.659	-11.623	-11.900	-11.191	-11.767	-4.842	-11.120	-11.736	-27.071	-5.257	-11.992	-11.425	-11.778	-11.356	-9.606	-11.556
YAL034C	-9.563	-9.431	-9.497	-9.632	-11.188	-11.090	-10.687	-11.326	-11.475	-8.153	-11.102	-10.288	-10.733	-11.402	-11.397	-11.108	-10.290	-11.119	-10.175	-11.255	-10.655	-11.129	-8.023	-10.919	-11.433	-4.481	-4.641	-11.283	-11.343	-11.045	-10.972	-9.244	-11.429
