orf	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016
YBR058C	0.9412555	1.526475
YBR059C	0.020910000000000012	2.08551
YBR061C	0.5606025	2.8642399999999997
YBR062C	0.1265705	1.5138699999999998
YBR063C	-0.49324535	2.642645
YBR064W	-0.5209435	1.9540199999999999
YBR065C	-0.6738740000000001	0.63066
YBR066C	-0.2846285	3.13689
YBR067C	-0.126593235	1.061528
YBR068C	0.06506050000000001	6.702395
YBR069C	0.5396605	1.631935
YBR071W	0.30275435	4.428325
YBR072W	0.2027415	-0.5036615
YBR073W	-1.252427	-8.20358
YBR074W	-0.244428	2.102263333333333
YBR076W	-0.813512	1.928275
YBR077C	-0.643865	-1.809795
YBR078W	0.1967233	-1.303337
YBR081C	-1.7843499999999999	
YBR082C	2.011205	1.2430165
YBR083W	0.176836	2.084675
YBR084C-A	-0.5694429999999999	-3.0667799999999996
YBR084W	-0.3122636	-0.47485350000000004
YBR085W	-1.792265	0.7394667
YBR086C	-0.760337	-0.43854499999999996
YBR089C-A	-1.1786634999999999	-2.073375
YBR090C	-0.950017	1.4761405
YBR092C	-0.030136250000000003	0.945514
YBR093C	-0.17336750000000004	-0.5517700000000001
YBR094W	-0.7025255	0.802879
YBR095C	0.933117	1.40402
YBR097W	1.06569675	
YBR098W	-1.8025425	-11.579712500000001
YBR099C	-1.65153	-12.71695
YBR101C	-1.268825	-2.4709149999999998
YBR103W	0.089888	0.5894945
YBR104W	-0.4171355	1.775995
YBR105C	0.19863050000000004	-1.33057255
YBR106W	1.298975	
YBR107C	-2.125695	-13.8421
YBR108W	-0.7524385	-0.29379500000000003
YBR113W	-0.8327724999999999	-4.29786
YBR114W	-0.22741735000000002	-0.7737195
YBR115C	0.421997	0.712538
YBR116C	0.3568625	-0.743358
YBR118W	0.2555005	0.9195175
YBR119W	0.038970300000000006	0.464927
YBR120C	0.53342	1.203883
YBR125C	-0.8685594999999999	2.100455
YBR128C	-1.716385	-2.594865
YBR129C	0.8796965	1.781995
YBR130C	-0.107628	0.561159
YBR131W	0.6132785000000001	2.589855
YBR133C	-2.041	-5.460084999999999
YBR134W	-0.22769899999999998	-2.53418
YBR137W	-0.64127	-0.4120595
YBR138C	0.3999978	1.0244385
YBR139W	-0.978183	-0.44544665
YBR141C	-0.953991	0.487958
YBR144C	-0.9405720000000001	-1.5713499999999998
YBR145W	0.175363	
YBR148W	-0.27607405	1.89526115
YBR149W	-0.08286400000000001	0.7328870000000001
YBR150C	-0.6413845	0.837037
YBR151W	-0.650193	1.698888
YBR156C	-3.20565	-3.36144
YBR157C	-0.831795	0.18197505
YBR158W	0.82861465	1.209748
YBR159W	0.60048	1.132123
YBR161W	-0.6107724999999999	2.06726
YBR162C	2.156215	1.6098
YBR162W-A	-0.1057225	-0.3606865
YBR163W	0.443663	
YBR164C	0.51124235	1.061231
YBR165W	0.33947249999999995	1.9499
YBR168W	2.10005	
YBR169C	-0.685031	-1.1357175000000002
YBR170C	-0.27811600000000003	-11.12655
YBR171W	1.8977500000000003	
YBR172C	-0.759729	1.2924879999999999
YBR173C	0.54096045	0.7160299999999999
YBR174C	0.8472234999999999	2.02489
YBR175W	1.20526	2.470325
YBR176W	-0.3516675	-0.2687
YBR177C	0.35409999999999997	0.836414
YBR180W	-0.5092685	-0.8004895
YBR181C	-0.05284205	-1.528463
YBR182C	0.042067999999999994	1.1896335
YBR183W	0.316146	2.92805
YBR184W	0.8939145	2.406155
YBR185C	-0.995598	0.25684699999999994
YBR186W	-0.9206965	-0.6876015
YBR187W	-1.41717	-0.375353
YBR188C	-1.3429275	1.282173
YBR189W	-0.999537	
YBR191W	-2.16854	
YBR194W	1.871795	
YBR195C	-0.26025065	-5.063525
YBR197C	0.48492999999999997	0.8757975
YBR199W	-0.054826000000000014	1.398065
YBR200W	0.7305575	
YBR201W	-0.46615	0.744362
YBR203W	0.34082199999999996	1.454475
YBR204C	0.70497375	1.033407
YBR205W	-1.1684325	0.4915623
YBR206W	-1.3702619999999999	-0.656434
YBR207W	-0.4517709999999999	0.6000745
YBR208C	-0.169195925	-4.641485
YBR210W	0.5270295	0.1083108
YBR212W	-0.06806400000000001	-0.10357999999999995
YBR213W	-0.754923	-0.7435430000000001
YBR214W	-1.0073795	-2.753685
YBR215W	1.1510705	-2.642795
YBR216C	-0.151845	-1.6942845
YBR217W	1.1081975000000002	-0.5227945
YBR218C	0.37016899999999997	0.5598535
YBR219C	-0.266389	-2.52761
YBR220C	-0.28778135	0.9217815
YBR221C	-1.030795	1.8725145
YBR222C	0.7904319999999999	-0.8792222999999999
YBR223C	-1.79054	-1.48895
YBR224W	0.4430305	0.387496
YBR225W	-1.0692475	0.511319
YBR226C	-0.282256	-0.8496859999999999
YBR227C	0.2764715	-4.672605
YBR228W	0.1865425	-0.8530015
YBR229C	0.03598600000000002	-3.39908
YBR230C	-0.949227	-0.721804
YBR231C	-0.23472915000000003	-6.585275
YBR232C	-0.13825445	-1.08034345
YBR233W	0.48718890000000004	-2.8426079
YBR235W	-0.0745055	-1.086273
YBR238C	-0.447067	3.762575
YBR239C	-0.2507985	-2.3376945
YBR240C	-0.044003	-0.779441805
YBR241C	-0.008209999999999995	0.8943765
YBR242W	-0.8839115	-0.6244825
YBR244W	0.7531735	2.71393
YBR245C	-0.2732915	-5.58415
YBR246W	0.7928615	3.190625
YBR248C	0.3499495	0.11221000000000003
YBR249C	-0.639336	-0.4642879999999999
YBR250W	0.5203975	-0.03143950000000001
YBR251W	-0.0069479	
YBR255W	0.6658375	1.195558
YBR258C	-1.1112485	-0.040846200000000006
YBR259W	-0.004971500000000018	-0.038795000000000024
YBR260C	0.3770610000000001	1.237312
YBR261C	-0.44238849999999996	1.21462185
