ORF	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016
YDR146C	-16.981	-3.277
YDL226C	-3.170	-3.257
YBR156C	-3.361	-3.206
YKL075C	-27.210	-3.171
YDR448W	NaN	-3.095
YMR021C	NaN	-3.039
YDL059C	-19.564	-3.024
YDR442W	-7.352	-3.011
YOL115W	-6.869	-3.004
YNL255C	-20.747	-2.951
YKL113C	-1.035	-2.937
YDL094C	-5.460	-2.932
YKL205W	-3.596	-2.923
YPL047W	-9.698	-2.882
YGR289C	-9.606	-2.843
YMR110C	-23.829	-2.783
YFR019W	NaN	-2.778
YDR540C	-8.012	-2.769
YER089C	-40.888	-2.735
YCR065W	-1.857	-2.714
YFR036W	-1.797	-2.690
YMR305C	-19.031	-2.685
YPR198W	-10.960	-2.670
YPL152W	-14.809	-2.665
YLL047W	-5.215	-2.621
YDR432W	NaN	-2.579
YLR056W	NaN	-2.578
YPL037C	-6.834	-2.560
YHR103W	-26.304	-2.553
YOL111C	-4.271	-2.549
YGR056W	-3.285	-2.537
YJL192C	-0.429	-2.507
YDR435C	-16.906	-2.443
YOR156C	-9.068	-2.426
YGR290W	-2.958	-2.422
YGR092W	-8.530	-2.416
YOR355W	-2.228	-2.363
YMR031W-A	-14.020	-2.324
YDL198C	NaN	-2.321
YIL077C	-2.101	-2.308
YDR032C	-0.535	-2.298
YPL193W	NaN	-2.286
YGR072W	-38.358	-2.267
YBL027W	-17.634	-2.251
YBL051C	-16.347	-2.235
YIL041W	-0.619	-2.228
YJR083C	-4.840	-2.196
YBR191W	NaN	-2.169
YPL260W	0.653	-2.160
YNR024W	-13.445	-2.154
YDR452W	0.837	-2.137
YDR444W	-1.235	-2.134
YOL131W	-1.117	-2.128
YBR107C	-13.842	-2.126
YKR104W	0.297	-2.085
YNL328C	-0.333	-2.070
YIL131C	-26.489	-2.062
YNL071W	-1.142	-2.061
YDR537C	-1.026	-2.051
YKL168C	-11.165	-2.044
YBR133C	-5.460	-2.041
YBL101C	1.429	-2.038
YLR423C	NaN	-2.038
YNL094W	-1.370	-2.032
YHR146W	-1.059	-2.011
YGR110W	1.083	-2.008
YJR082C	-44.911	-2.005
YGR040W	0.617	-2.003
YLR079W	NaN	-1.995
YBL095W	-0.782	-1.985
YGL253W	-0.818	-1.968
YGL104C	2.081	-1.961
YGR035C	-13.539	-1.935
YDR162C	-2.363	-1.935
YHL031C	-3.612	-1.916
YDR254W	-4.080	-1.915
YGR178C	-26.359	-1.907
YBR046C	1.486	-1.907
YLR334C	-4.040	-1.898
YPL147W	-0.562	-1.888
YBR098W	-11.580	-1.803
YLR390W-A	-0.197	-0.946
YGL071W	-13.912	-1.881
YJL121C	-4.040	-1.878
YGR134W	-2.629	-1.878
YPL104W	NaN	-1.875
YDR206W	-18.377	-1.871
YOL090W	-7.250	-1.850
YGR100W	0.161	-1.845
YHR193C	-3.482	-1.845
YNL068C	-33.994	-1.841
YFR017C	1.082	-1.833
YGL250W	-3.980	-1.827
YML009C-A	NaN	-1.817
YGL151W	-4.958	-1.816
YDR268W	NaN	-1.815
YNL100W	1.020	-1.814
YFL036W	NaN	-1.799
YBR085W	0.739	-1.792
YBR223C	-1.489	-1.791
YKL069W	-8.789	-1.787
YLR328W	-0.946	-1.785
YBR081C	NaN	-1.784
YDR496C	-5.060	-1.780
YPR119W	-10.734	-1.777
YER016W	-2.531	-1.768
YHR179W	-2.532	-1.767
YNL236W	-4.547	-1.766
YDR017C	NaN	-1.762
YLR264W	-2.959	-1.762
YGL167C	NaN	-1.760
YHL024W	-0.533	-1.749
YPL079W	-14.126	-1.738
YCR034W	-2.958	-1.733
YKL184W	-0.195	-1.732
YBR128C	-2.595	-1.716
YDR295C	-6.754	-1.697
YDR317W	0.394	-1.692
YOR039W	-6.829	-1.691
YLR410W	-5.385	-1.689
YLR453C	-0.567	-1.688
YHR021C	NaN	-1.683
YOR360C	-0.709	-1.681
YGL166W	-0.944	-1.672
YPL265W	-1.252	-1.668
YKL030W	-1.123	-1.668
YLR438W	-0.115	-1.666
YDL023C	-6.677	-1.666
YDR163W	2.020	-1.666
YCR091W	1.459	-1.665
YGL054C	-0.449	-1.663
YBR099C	-12.717	-1.652
YGR031W	6.570	-1.650
YNL212W	0.621	-1.638
YFR044C	-7.804	-1.633
YEL056W	-20.644	-1.624
YLR028C	-2.194	-1.619
YMR219W	NaN	-1.619
YFL054C	0.729	-1.616
YML066C	-16.632	-1.616
YKL061W	1.342	-1.615
YGL159W	-1.016	-1.611
YHR210C	-3.835	-1.611
YDR097C	-5.685	-1.608
YOL067C	-1.009	-1.601
YGL017W	0.354	-1.601
YHL009C	-7.714	-1.599
YMR223W	-10.400	-1.596
YML034W	3.008	-0.826
YGR014W	-5.652	-1.590
YPR039W	-3.688	-1.587
YGL180W	-1.047	-1.585
YGL066W	-8.082	-1.582
YAL054C	1.051	-1.580
YKL188C	-0.196	-1.576
YDR290W	-9.790	-1.567
YKL157W	0.317	-1.179
YPR167C	-1.046	-1.565
YGR066C	-0.862	-1.564
YJL122W	0.829	-1.564
YLR451W	-0.213	-1.564
YKR050W	0.196	-1.562
YFR053C	2.689	-1.552
YLR441C	-1.388	-1.549
YGR157W	-4.005	-1.548
YLR363C	-4.294	-1.540
YML075C	-5.650	-1.539
YKR031C	-2.006	-1.535
YDR028C	-1.491	-1.533
YDR384C	-2.030	-1.533
YPR095C	1.179	-1.522
YIL079C	-0.378	-1.521
YDR101C	-0.709	-1.516
YKL135C	-1.692	-1.515
YNR041C	1.696	-1.510
YGL152C	-0.804	-1.506
YJL165C	-2.973	-1.506
YDR195W	NaN	-1.505
YBL089W	-26.058	-1.503
YLR395C	-0.528	-1.501
YPL009C	-0.192	-1.501
YPR170C	-0.435	-1.501
YER073W	2.031	-1.499
YJL052W	-7.120	-1.487
YMR177W	1.478	-1.484
YPR122W	-0.467	-1.483
YNL127W	-0.558	-1.482
YBR295W	-0.251	-1.482
YMR012W	-1.207	-1.473
YCL008C	0.253	-1.472
YDR136C	NaN	-1.471
YKL120W	0.401	-1.465
YOR200W	1.751	-1.465
YPR083W	0.896	-1.464
YOR073W	NaN	-1.461
YDL046W	-2.592	-1.460
YLL062C	0.660	-1.455
YFL030W	-2.348	-1.451
YLR390W	-1.685	-1.448
YAR043C	-2.117	-1.443
YPL274W	-0.512	-1.434
YLR315W	NaN	-1.431
YPL087W	1.147	-1.430
YPR199C	0.024	-1.429
YNL143C	-0.593	-1.426
YNR073C	1.931	-1.424
YGL107C	2.041	-1.420
YBR187W	-0.375	-1.417
YKL136W	-0.327	-1.417
YAL013W	NaN	-1.414
YHL012W	-6.349	-1.414
YLR072W	-4.212	-1.410
YCR105W	-1.117	-1.408
YDL127W	-0.534	-1.405
YNR071C	-1.233	-1.405
YGL163C	-1.318	-1.401
YMR077C	0.590	-1.398
YDR289C	-3.692	-1.395
YDR261C	-0.798	-1.394
YPL080C	-6.312	-1.394
YBR051W	0.822	-1.393
YDL227C	1.145	-0.523
YPR071W	1.522	-1.389
YGR096W	1.080	-1.387
YLR407W	-2.472	-1.387
YKL161C	-2.297	-1.380
YDR329C	-2.982	-1.373
YGL260W	1.685	-1.373
YPL041C	1.419	-1.372
YBR206W	-0.656	-1.370
YDL026W	0.116	-1.370
YNL235C	-9.469	-1.355
YNR032W	2.479	-1.351
YJL158C	-2.151	-1.348
YOR024W	-6.096	-1.347
YDL033C	-1.816	-1.344
YBR188C	1.282	-1.343
YCR053W	-2.107	-1.342
YLL040C	-0.918	-1.338
YGR033C	2.739	-1.337
YNL335W	0.688	-1.337
YDL095W	0.585	-1.337
YGL014W	-12.491	-1.337
YNR025C	-7.445	-1.335
YFR057W	1.853	-1.335
YKL222C	-1.086	-1.331
YDR284C	1.690	-1.330
YIL087C	-0.539	-1.330
YDR488C	-0.219	-1.329
YDL231C	-3.707	-1.329
YDR148C	-0.352	-1.328
YGR045C	0.986	-1.327
YFL047W	-0.425	-1.327
YDR379W	-0.383	-1.325
YIL110W	-3.708	-1.324
YJR055W	NaN	-0.738
YCR092C	-0.753	-1.322
YGR111W	-5.561	-1.322
YOR273C	0.514	-1.321
YBR262C	1.171	-1.319
YGR161C	-0.654	-1.317
YLR318W	-2.605	-1.316
YHL045W	-0.233	-1.315
YDR318W	-6.009	-1.315
YML003W	-1.988	-1.313
YBL028C	-1.201	-1.309
YBL075C	4.685	-1.306
YMR245W	-0.566	-1.306
YLR206W	0.732	-1.302
YDR380W	0.762	-1.296
YDR451C	-9.116	-1.294
YGL181W	0.360	-1.293
YGL176C	0.099	-1.292
YDR098C	-0.703	-1.291
YOR223W	-10.278	-1.287
YAR037W	1.096	-1.287
YCL045C	-0.789	-1.287
YML012C-A	NaN	-1.286
YMR169C	0.574	-0.746
YLR380W	-0.700	-1.281
YMR154C	0.365	-1.281
YKR027W	0.407	-1.280
YGR197C	-0.216	-1.280
YBL054W	-10.284	-1.275
YLR210W	0.651	-1.272
YER119C-A	-5.109	-1.271
YKR036C	-4.121	-1.269
YBR101C	-2.471	-1.269
YDL070W	-2.550	-1.265
YLR387C	-1.119	-1.263
YGL154C	-0.093	-1.261
YLR366W	1.329	-1.261
YDR501W	0.268	-1.260
YDR386W	-8.997	-1.260
YDR108W	-2.358	-1.259
YLL032C	-19.477	-1.258
YDR411C	-0.050	-1.255
YDR517W	0.264	-1.253
YBR073W	-8.204	-1.252
YNL270C	-5.214	-1.252
YOR298C-A	0.439	-0.369
YGR295C	-0.287	-1.247
YOR359W	-10.216	-1.244
YGL094C	-0.009	-1.244
YFR055W	-0.601	-1.243
YGL153W	-3.346	-1.240
YGL210W	0.136	-1.238
YGR235C	1.091	-1.234
YOR193W	-1.133	-1.231
YGR217W	-1.824	-1.227
YDL169C	1.013	-1.221
YDR100W	1.985	-1.219
YML086C	1.126	-1.215
YGL165C	2.134	-1.215
YJR147W	0.758	-1.215
YOR267C	1.083	-1.210
YAR027W	-0.133	-1.208
YOR277C	-2.964	-1.201
YPL029W	NaN	-1.200
YGR239C	-0.326	-1.199
YGL258W	0.416	-1.198
YOR255W	-0.472	-1.197
YLR139C	NaN	-1.196
YDR436W	-0.718	-1.196
YKR101W	1.416	-1.195
YPL022W	-0.187	-1.195
YLR420W	-0.878	-1.194
YNR049C	1.201	-1.193
YLR113W	-0.159	-1.192
YDR524C	-1.241	-1.189
YER061C	NaN	-1.188
YER117W	-1.515	-1.185
YLR094C	-6.545	-1.183
YGR032W	1.283	-1.182
YDR315C	1.550	-1.182
YHR184W	-0.141	-1.181
YML054C	2.361	-1.180
YNR042W	2.169	-1.180
YBR089C-A	-2.073	-1.179
YDR483W	0.730	-1.178
YMR041C	1.811	-1.177
YCL010C	-7.521	-1.177
YDR506C	-0.750	-0.993
YBL057C	-2.701	-1.172
YLR398C	-1.894	-1.172
YBR205W	0.492	-1.168
YDR199W	0.233	-1.167
YOR184W	-1.781	-1.166
YIL009C-A	-6.724	-1.165
YDR006C	-9.746	-1.165
YNL069C	-0.445	-1.165
YLR313C	-1.494	-1.164
YDR528W	-3.337	-1.163
YBR054W	1.561	-1.162
YHR029C	-2.656	-1.162
YLR237W	-0.049	-1.155
YMR065W	-0.024	-1.155
YGR021W	1.901	-1.154
YML087C	0.655	-1.152
YOR312C	NaN	-1.148
YJR117W	-2.424	-1.147
YJL211C	-0.129	-1.140
YLR281C	-2.612	-1.138
YLR370C	NaN	-1.136
YGR149W	3.021	-1.135
YNL067W	-12.584	-1.133
YJR084W	-2.902	-1.132
YLR307W	-0.473	-1.132
YGL162W	-0.742	-1.132
YER020W	0.163	-1.130
YGL198W	-2.120	-1.130
YNL013C	-0.256	-1.129
YFL048C	0.377	-1.127
YOR191W	-12.938	-1.127
YKR061W	-0.113	-1.126
YMR141C	1.340	-1.125
YDR260C	-17.711	-1.122
YKR072C	-2.345	-1.122
YHR180W	-1.599	-1.120
YFL034C-A	1.252	-0.574
YNR030W	0.426	-1.119
YDR503C	0.082	-1.117
YOR337W	-1.245	-1.114
YLR177W	0.306	-1.114
YKL156W	1.405	-1.114
YNL003C	NaN	-1.113
YBR258C	-0.041	-1.111
YLR377C	0.373	-1.111
YLR311C	0.975	-1.111
YBR267W	-1.886	-1.110
YPR160W	-4.482	-1.109
YJL129C	-8.718	-1.108
YLR394W	1.414	-1.107
YMR278W	0.239	-1.106
YDR026C	-1.232	-1.106
YGR176W	-1.387	-1.105
YNL023C	-1.365	-1.104
YNL304W	0.035	-1.103
YMR116C	NaN	-1.100
YDL045W-A	NaN	-1.098
YKR095W	2.560	-1.097
YNL303W	-2.017	-1.097
YCL034W	0.510	-1.095
YPL046C	0.037	-1.094
YNL074C	2.701	-1.093
YDL065C	-0.612	-1.092
YHR081W	NaN	-1.090
YDR388W	NaN	-1.090
YDR128W	1.742	-1.089
YGL257C	1.077	-1.088
YLR239C	NaN	-1.088
YDL073W	-0.923	-1.086
YFR045W	-0.071	-1.086
YAL059W	-2.119	-1.082
YPR179C	-3.304	-1.081
YGL004C	0.371	-1.081
YDR209C	-0.560	-1.079
YNR045W	1.727	-1.077
YPR076W	-0.583	-1.077
YGR104C	NaN	-1.076
YIR019C	-0.600	-1.070
YBR225W	0.511	-1.069
YGR234W	-0.127	-1.068
YCL074W	1.081	-1.068
YIL016W	-0.992	-1.066
YPR045C	-0.710	-1.064
YGR011W	1.489	-1.060
YMR080C	-4.182	-1.060
YGR184C	-2.562	-1.059
YIR029W	0.746	-1.059
YFL042C	0.746	-0.757
YGL056C	0.167	-1.056
YOR226C	-0.436	-1.054
YOR284W	-0.562	-1.054
YJL179W	-3.612	-1.053
YLR084C	0.489	-1.049
YLR360W	-2.816	-1.049
YKL202W	0.534	-1.048
YHR121W	-0.605	-1.048
YLR211C	1.871	-1.043
YLR055C	-10.204	-1.043
YGL223C	NaN	-1.041
YBL070C	1.691	-1.040
YGR248W	0.712	-1.039
YMR179W	NaN	-1.039
YMR062C	-1.869	-1.039
YLR188W	-1.329	-1.038
YML053C	-0.429	-1.036
YCR102W-A	-0.751	-1.035
YLR296W	-1.813	-1.033
YER113C	0.125	-1.032
YBR221C	1.873	-1.031
YLR300W	-0.489	-1.030
YLR220W	-1.601	-1.028
YOR134W	0.802	-1.026
YNR074C	0.362	-1.024
YER182W	0.117	-1.023
YGL114W	-5.292	-1.023
YKR093W	-1.234	-1.023
YKR060W	-2.059	-1.022
YLR203C	0.423	-1.017
YDR387C	0.123	-1.017
YKL015W	2.970	-1.015
YOL122C	-1.792	-1.013
YLL010C	1.193	-1.012
YGR034W	-6.752	-1.012
YOL153C	-0.392	-1.011
YLR341W	-1.673	-1.009
YBR009C	-2.511	-1.008
YBR214W	-2.754	-1.007
YPL065W	0.597	-1.006
YLR388W	NaN	-1.005
YOL001W	-1.873	-1.002
YGL101W	-0.333	-1.002
YDL130W-A	2.149	-1.002
YLR232W	-7.698	-1.002
YLR429W	0.788	-1.001
YMR040W	0.266	-1.000
YGL157W	2.122	-1.000
YPR038W	-1.265	-1.000
YJL162C	-1.235	-1.000
YBR189W	NaN	-1.000
YJL075C	NaN	-0.999
YOR289W	-0.303	-0.999
YKL071W	-2.515	-0.998
YDL022W	-1.604	-0.997
YLR227C	0.574	-0.996
YNL257C	0.989	-0.996
YDR392W	-0.869	-0.996
YBR185C	0.257	-0.996
YDR107C	2.594	-0.995
YPR029C	0.595	-0.995
YGR085C	-0.967	-0.995
YDL133W	-0.859	-0.992
YGL217C	-4.140	-0.989
YEL066W	-1.905	-0.986
YIL094C	-0.468	-0.986
YDR534C	-6.575	-0.984
YOR050C	0.478	-0.984
YCR107W	0.250	-0.982
YDR024W	NaN	-0.981
YMR311C	-8.928	-0.980
YOR365C	-0.416	-0.979
YBR139W	-0.445	-0.978
YDR497C	1.172	-0.977
YBL022C	-3.414	-0.977
YPR155C	1.310	-0.977
YKL117W	-2.786	-0.976
YBR033W	2.746	-0.976
YHR080C	-3.898	-0.973
YGL037C	3.107	-0.973
YGL032C	-0.642	-0.971
YPL088W	1.236	-0.971
YBL090W	0.899	-0.970
YCL069W	-0.724	-0.968
YDL142C	0.007	-0.968
YGL164C	-0.301	-0.968
YHR046C	-0.690	-0.966
YKL215C	1.091	-0.965
YDR033W	0.583	-0.964
YFL001W	NaN	-0.964
YKL094W	-0.518	-0.964
YER063W	3.384	-0.963
YLR173W	-0.017	-0.963
YDR179C	1.440	-0.963
YLR119W	-1.471	-0.962
YPL081W	-0.362	-0.962
YOR113W	-1.041	-0.961
YOR309C	-1.591	-0.960
YNL224C	-2.611	-0.959
YMR215W	-0.108	-0.958
YGR208W	-11.704	-0.958
YGR025W	-0.634	-0.956
YOR162C	4.838	-0.956
YPL164C	-0.347	-0.955
YBR141C	0.488	-0.954
YLR271W	-1.658	-0.953
YML100W	0.946	-0.953
YKR102W	3.412	-0.951
YJL132W	1.103	-0.372
YBR090C	1.476	-0.950
YBR230C	-0.722	-0.949
YDR502C	2.510	-0.949
YJL159W	-1.313	-0.949
YGR231C	2.918	-0.947
YMR031C	0.763	-0.947
YEL060C	1.611	-0.946
YGR050C	0.376	-0.946
YKL137W	-0.828	-0.943
YBR144C	-1.571	-0.941
YLR354C	-0.216	-0.938
YGL109W	-1.340	-0.936
YMR145C	0.647	-0.934
YIL001W	-3.748	-0.934
YKL101W	-17.823	-0.933
YPR151C	3.752	-0.933
YGR125W	-1.550	-0.932
YJL206C	0.845	-0.931
YML024W	NaN	-0.930
YLR437C	0.687	-0.927
YLR344W	-4.738	-0.926
YMR225C	-0.478	-0.926
YOL041C	-0.569	-0.926
YFR039C	1.718	-0.924
YNL141W	-0.735	-0.924
YGR189C	-1.545	-0.924
YBL024W	-2.215	-0.923
YKL126W	-1.655	-0.923
YLR219W	0.977	-0.921
YLR262C	NaN	-0.921
YBR186W	-0.688	-0.921
YOR083W	-12.322	-0.919
YHR048W	-0.126	-0.919
YAL034C	1.118	-0.917
YGL005C	-5.983	-0.915
YGR177C	0.360	-0.915
YFL041W	1.020	-0.915
YHR181W	0.651	-0.914
YMR241W	-0.921	-0.913
YDR117C	2.389	-0.913
YGR055W	-0.003	-0.912
YPL098C	2.109	-0.911
YGR227W	2.180	-0.911
YGR049W	3.075	-0.909
YOR229W	0.606	-0.907
YGL232W	-0.827	-0.906
YLR287C	1.595	-0.904
YCL001W	-4.047	-0.903
YAL012W	-1.209	-0.901
YJL214W	-0.524	-0.901
YER179W	-0.372	-0.900
YBR021W	-4.785	-0.900
YOR227W	0.681	-0.899
YFR023W	-2.846	-0.899
YNR008W	2.678	-0.898
YOR298W	0.551	-0.897
YLR290C	-1.135	-0.897
YMR202W	NaN	-0.896
YPR060C	2.207	-0.896
YKL220C	0.403	-0.895
YDR230W	2.139	-0.892
YER162C	-0.124	-0.891
YPL031C	NaN	-0.890
YDR176W	NaN	-0.889
YKR019C	-1.972	-0.889
YJR106W	-0.684	-0.889
YGL144C	-1.456	-0.889
YOR246C	-3.010	-0.888
YMR147W	-0.081	-0.888
YBL036C	3.767	-0.888
YDL216C	0.801	-0.887
YBL085W	0.416	-0.886
YML067C	0.478	-0.885
YOL018C	-1.709	-0.885
YBR242W	-0.624	-0.884
YGL131C	3.072	-0.884
YOR300W	-0.233	-0.884
YNL307C	-9.585	-0.884
YIL050W	-3.580	-0.884
YKL155C	-2.600	-0.883
YMR157C	-0.699	-0.883
YBL052C	0.156	-0.882
YDR036C	-0.047	-0.882
YJL161W	1.862	-0.881
YCL050C	-2.103	-0.879
YNL121C	-8.978	-0.877
YOR280C	-1.110	-0.877
YNR013C	0.420	-0.877
YMR161W	-3.761	-0.877
YPR027C	2.992	-0.874
YOR285W	0.410	-0.874
YOL136C	1.098	-0.871
YGL126W	-0.227	-0.871
YGR064W	-0.283	-0.871
YOR347C	-2.080	-0.870
YGL161C	0.429	-0.870
YGL053W	2.140	-0.870
YBR125C	2.100	-0.869
YLR327C	-0.556	-0.866
YLR349W	-0.677	-0.866
YMR304W	0.568	-0.865
YCR066W	-2.641	-0.865
YOR283W	0.419	-0.865
YDR259C	-3.140	-0.864
YGR219W	NaN	-0.864
YNL338W	-0.380	-0.864
YAR050W	-1.749	-0.864
YLR426W	-1.853	-0.862
YNL275W	0.240	-0.862
YOR343C	-0.329	-0.862
YGL203C	3.266	-0.861
YBL047C	-15.219	-0.860
YJL105W	-0.083	-0.857
YER049W	1.613	-0.856
YBL043W	1.373	-0.853
YBL080C	2.905	-0.852
YDL018C	0.539	-0.852
YKR070W	0.266	-0.851
YGR101W	NaN	-0.848
YML008C	NaN	-0.848
YJR056C	-19.537	-0.848
YNR061C	0.312	-0.847
YGR258C	1.939	-0.847
YDR124W	2.396	-0.846
YGR259C	1.138	-0.845
YIL042C	4.086	-0.844
YFR024C-A	0.692	-0.560
YDR278C	0.957	-0.843
YGL259W	0.753	-0.842
YNL266W	-1.040	-0.841
YDL086W	-4.300	-0.840
YDR263C	-0.118	-0.840
YNL231C	0.191	-0.840
YOR012W	1.387	-0.839
YER120W	-16.124	-0.839
YLR120C	-1.779	-0.839
YDR143C	-0.403	-0.838
YAL037W	-0.136	-0.837
YHR206W	-0.329	-0.837
YCR085W	1.446	-0.836
YLR209C	-0.350	-0.836
YNL325C	0.330	-0.835
YPL074W	1.568	-0.835
YGL063W	0.606	-0.835
YLR082C	0.098	-0.835
YIR038C	0.927	-0.835
YKL084W	-1.579	-0.835
YBR113W	-4.298	-0.833
YGL160W	-0.401	-0.832
YCL007C	NaN	-0.832
YBR157C	0.182	-0.832
YPL200W	0.028	-0.831
YOR155C	0.129	-0.829
YPL158C	1.635	-0.829
YAL060W	3.457	-0.829
YHR131C	0.801	-0.828
YBL099W	NaN	-0.826
YOR136W	-0.863	-0.825
YGR165W	NaN	-0.825
YBR047W	0.910	-0.822
YOR205C	0.521	-0.822
YNR020C	0.599	-0.822
YER059W	-8.744	-0.820
YGR118W	-0.364	-0.819
YMR201C	-0.409	-0.819
YLR329W	1.594	-0.818
YGL003C	-0.385	-0.817
YMR090W	-2.375	-0.817
YDR129C	NaN	-0.814
YLR112W	-1.609	-0.814
YBR076W	1.928	-0.814
YDL201W	-0.943	-0.813
YDR465C	0.559	-0.812
YBR010W	-30.573	-0.812
YER069W	1.827	-0.812
YOR201C	NaN	-0.811
YDR112W	0.221	-0.809
YNR034W	-0.530	-0.808
YPL133C	-2.560	-0.808
YPL113C	-0.878	-0.808
YGL027C	1.126	-0.808
YHR028C	-5.379	-0.807
YNL045W	-1.577	-0.807
YGR112W	0.628	-0.806
YEL027W	NaN	-0.806
YNL091W	-6.870	-0.805
YJL106W	0.963	-0.803
YNL142W	2.203	-0.803
YOR247W	-1.095	-0.803
YDL069C	1.019	-0.802
YKL053C-A	3.480	-0.801
YML096W	2.026	-0.801
YDR135C	-1.242	-0.800
YNL144C	-1.356	-0.800
YGL057C	1.544	-0.799
YLR432W	2.167	-0.797
YDR011W	-4.205	-0.796
YBR299W	2.404	-0.796
YOR115C	1.458	-0.796
YCR051W	-2.568	-0.795
YLR280C	-0.759	-0.793
YOL152W	0.641	-0.793
YGR202C	-0.984	-0.793
YPR078C	1.402	-0.793
YJR095W	0.437	-0.792
YDR360W	-1.212	-0.792
YJR100C	1.229	-0.791
YGL156W	-0.254	-0.790
YBL031W	-10.383	-0.789
YDL053C	-0.913	-0.789
YLR131C	-0.891	-0.788
YHR130C	2.313	-0.788
YML056C	4.426	-0.787
YBR028C	-3.849	-0.786
YGR236C	2.608	-0.784
YCL049C	-2.459	-0.783
YPL232W	0.767	-0.783
YOR028C	1.769	-0.782
YBL107C	1.399	-0.782
YNL311C	-1.300	-0.782
YJR108W	0.686	-0.780
YKL198C	-0.941	-0.386
YNL274C	2.600	-0.780
YNR029C	-5.083	-0.779
YNR070W	-0.280	-0.779
YKR003W	1.776	-0.779
YOR105W	1.409	-0.778
YNL218W	-0.769	-0.776
YPL058C	0.226	-0.776
YMR088C	1.741	-0.775
YCR009C	NaN	-0.774
YCR014C	1.196	-0.774
YBR280C	2.381	-0.773
YBL068W	1.627	-0.773
YEL040W	-0.333	-0.771
YHL006C	-2.276	-0.770
YPL005W	NaN	-0.769
YPL216W	-1.588	-0.769
YFR032C	0.971	-0.769
YGL090W	0.270	-0.769
YLR278C	-0.476	-0.768
YOR311C	-3.786	-0.767
YLR306W	13.538	-0.767
YOR035C	NaN	-0.765
YNL214W	-0.222	-0.764
YDL167C	-1.497	-0.762
YGR008C	0.937	-0.762
YLR238W	-0.666	-0.761
YBR086C	-0.439	-0.760
YBL069W	1.237	-0.760
YBR172C	1.292	-0.760
YKL114C	NaN	-0.760
YNL001W	-0.583	-0.758
YCL025C	-2.213	-0.758
YER039C-A	2.062	-0.758
YBL065W	-1.964	-0.758
YIR023W	2.568	-0.758
YDR368W	0.135	-0.757
YGL256W	1.847	-0.756
YNL087W	-0.410	-0.756
YBR213W	-0.744	-0.755
YNL296W	NaN	-0.754
YMR135C	-1.823	-0.754
YOR264W	0.454	-0.754
YDR541C	-0.111	-0.752
YLR385C	1.872	-0.752
YBR108W	-0.294	-0.752
YIL100W	2.468	-0.751
YOL045W	0.216	-0.750
YPR171W	1.020	-0.750
YJL055W	0.375	-0.746
YJL154C	-1.119	-0.746
YBL063W	1.282	-0.746
YDR279W	-2.430	-0.746
YPL048W	-2.782	-0.745
YNL005C	NaN	-0.745
YHR066W	-0.018	-0.745
YLR179C	0.698	-0.743
YKR103W	-0.028	-0.742
YNL336W	1.123	-0.739
YOL103W	-0.794	-0.738
YDR273W	1.414	-0.737
YMR320W	-0.241	-0.734
YOR239W	3.738	-0.440
