ORF	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YAR047C	-0.142	-0.973	1.222	0.751
YAR050W	-0.051	-0.304	0.255	0.878
YBL001C	-0.099	-0.139	0.110	2.788
YBL002W	-0.081	-0.636	0.759	3.801
YBL003C	-0.080	-0.574	0.456	0.852
YBL004W	NaN	NaN	0.179	0.809
YBL005W	-0.391	-0.870	0.328	0.966
YBL006C	0.024	0.632	-0.006	0.471
YBL007C	-0.114	0.813	0.154	0.449
YBL008W	-1.523	-0.217	-0.878	-0.529
YBL008W-A	-0.070	-0.571	-0.539	0.202
YBL009W	-0.213	-0.395	0.233	2.032
YBL010C	0.424	0.785	-0.017	-0.212
YBL011W	1.127	-0.511	-0.454	2.257
YBL012C	0.761	0.957	-0.193	0.658
YBL013W	-0.521	-0.216	-0.467	-0.962
YBL014C	NaN	NaN	0.275	0.761
YBL015W	1.715	1.060	0.925	2.068
YBL016W	0.058	0.424	-0.272	0.475
YBL017C	-0.130	-1.390	0.162	-0.580
YBL018C	NaN	NaN	-0.194	0.487
YBL019W	-0.409	-0.954	-0.103	0.726
YBL020W	NaN	NaN	0.695	-0.817
YBL021C	-0.026	0.012	2.001	0.975
YBL022C	0.715	1.823	0.883	0.283
YBL023C	NaN	NaN	0.338	0.713
YBL024W	0.481	0.393	0.522	1.723
YBL025W	-0.035	0.460	-0.130	1.693
YBL026W	NaN	NaN	0.162	0.481
YBL027W	-0.336	-0.415	0.062	1.846
YBL028C	0.616	0.370	0.213	0.440
YBL029C-A	0.205	0.420	-0.203	1.097
YBL029W	-0.229	-2.348	0.153	-0.617
YBL030C	NaN	NaN	0.037	-0.237
YBL031W	-0.332	-0.529	-0.128	0.370
YBL032W	0.430	0.662	-1.699	-0.313
YBL033C	-0.132	0.766	0.475	1.680
YBL034C	NaN	NaN	0.049	-1.252
YBL035C	NaN	NaN	0.405	1.121
YBL036C	-0.107	-0.664	-0.569	0.002
YBL037W	0.274	-0.123	-0.725	1.285
YBL038W	-0.132	-0.741	-0.101	-0.113
YBL039C	0.082	0.187	0.376	1.565
YBL039W-B	-0.723	-0.374	-1.195	0.228
YBL040C	NaN	NaN	-1.127	0.244
YBL041W	NaN	NaN	0.739	0.252
YBL042C	-0.205	0.191	-1.879	2.481
YBL043W	0.070	-0.526	0.040	0.034
YBL044W	0.174	-0.634	0.430	0.763
YBL045C	-0.132	-0.015	0.828	1.111
YBL046W	0.793	-0.065	2.527	1.800
YBL047C	0.246	-0.172	0.436	1.771
YBL048W	-0.279	-1.456	0.164	1.219
YBL049W	-0.350	-1.510	-0.436	1.482
YBL050W	NaN	NaN	-1.815	-0.407
YBL051C	1.285	0.746	1.451	0.990
YBL052C	-0.498	-0.066	-0.360	1.276
YBL053W	-0.034	-0.971	-0.214	-0.062
YBL054W	0.013	-0.714	-0.581	2.109
YBL055C	-0.252	-0.255	-0.003	-0.220
YBL056W	-0.298	-1.778	-0.870	0.724
YBL057C	0.143	-0.812	-0.304	0.640
YBL058W	0.111	0.754	0.337	-1.004
YBL059W	-0.306	-0.475	-1.231	0.421
YBL060W	-0.347	-1.343	-0.198	-0.434
YBL061C	1.823	-0.099	-0.089	2.478
YBL062W	0.988	-0.220	0.063	0.969
YBL063W	-0.173	-0.429	0.570	0.634
YBL064C	-0.375	-1.204	-0.873	-0.150
YBL065W	-0.075	-0.349	-0.767	1.771
YBL066C	-0.001	-0.605	0.228	0.333
YBL067C	0.010	2.678	0.200	0.705
YBL068W	0.027	-0.326	0.098	-0.276
YBL069W	-0.378	-0.483	-0.890	5.465
YBL070C	-0.594	-0.118	0.643	0.211
YBL071C	0.812	-0.030	-0.339	-0.056
YBL071C-B	-0.382	1.162	-0.363	0.504
YBL071W-A	-0.145	0.706	0.126	0.243
YBL072C	-0.848	1.188	0.366	0.512
YBL073W	NaN	NaN	0.122	1.895
YBL074C	NaN	NaN	0.036	0.984
YBL075C	0.042	0.474	-0.539	1.120
YBL076C	NaN	NaN	-0.102	-1.230
YBL077W	NaN	NaN	0.239	-0.559
YBL078C	-0.270	-1.824	-0.322	1.045
YBL079W	-0.305	-0.228	-0.521	1.356
YBL080C	-0.029	1.468	0.118	0.000
YBL081W	0.322	-1.057	0.417	-0.783
YBL082C	0.595	-1.617	-0.816	2.257
YBL083C	0.642	-0.815	0.371	2.256
YBL084C	NaN	NaN	-0.103	0.932
YBL085W	-0.074	-0.537	0.055	1.333
YBL086C	0.104	0.389	0.583	3.779
YBL087C	-0.252	-0.093	0.648	3.857
YBL088C	-0.469	-1.082	0.581	0.982
YBL089W	-0.301	-0.987	0.204	0.437
YBL090W	0.106	1.155	-0.176	0.809
YBL091C	-0.039	-2.135	0.084	0.035
YBL091C-A	0.254	-0.283	0.237	0.282
YBL092W	NaN	NaN	0.372	0.213
YBL093C	0.227	0.620	0.231	0.848
YBL094C	0.257	0.879	0.281	0.908
YBL095W	-0.525	0.091	0.292	1.453
YBL096C	-0.230	0.240	-0.097	0.927
YBL097W	NaN	NaN	0.244	2.211
YBL098W	0.131	0.184	0.044	1.095
YBL099W	0.101	2.741	0.146	2.548
YBL100C	-0.160	1.177	0.026	0.506
YBL100W-C	-0.133	0.200	0.306	1.617
YBL101C	0.296	0.011	0.696	0.140
YBL102W	0.391	-0.752	-0.457	-0.755
YBL103C	0.105	0.348	-0.084	1.900
YBL104C	-0.119	0.302	0.876	0.998
YBL105C	NaN	NaN	0.346	0.591
YBL106C	-0.071	-0.448	-0.461	1.888
YBL107C	-0.217	0.246	-0.918	-0.903
YBR001C	-0.106	-0.222	0.393	1.623
YBR002C	NaN	NaN	-0.226	0.129
YBR003W	-0.089	0.859	-0.058	0.605
YBR004C	NaN	NaN	0.002	-0.603
YBR005W	0.276	-0.348	0.251	0.539
YBR006W	1.780	-1.223	-0.123	0.553
YBR007C	0.179	-0.596	-0.170	1.666
YBR008C	-0.297	-0.523	0.796	1.452
YBR009C	-0.400	-0.270	-0.393	1.580
YBR010W	-0.607	-1.914	-0.843	0.350
YBR011C	NaN	NaN	0.022	1.237
YBR012C	-0.334	-0.797	-0.264	0.662
YBR013C	-0.043	-0.549	-0.216	2.647
YBR014C	0.022	0.711	-0.937	0.809
YBR015C	0.772	-0.295	0.513	0.605
YBR016W	0.065	-0.245	-0.002	-0.041
YBR017C	-0.155	0.190	0.019	1.846
YBR018C	-0.119	-1.431	0.052	0.845
YBR019C	-0.443	-0.886	-0.258	0.787
YBR020W	0.593	-0.317	0.737	1.271
YBR021W	0.106	0.401	1.742	1.638
YBR022W	-0.660	0.841	-0.142	2.373
YBR023C	0.840	1.048	-0.008	0.472
YBR024W	-0.101	-0.253	-0.590	0.969
YBR025C	-1.018	-0.658	-0.028	2.045
YBR026C	0.204	2.101	0.149	1.546
YBR027C	-0.578	-0.603	0.780	-0.370
YBR028C	0.262	-0.906	0.036	1.445
YBR029C	NaN	NaN	0.440	2.282
YBR030W	-0.409	0.084	0.066	1.497
YBR031W	-0.567	-0.407	-0.645	0.200
YBR032W	-0.138	-0.546	0.219	1.040
YBR033W	-0.475	-0.247	0.228	2.437
YBR034C	-0.715	-0.272	0.117	0.181
YBR035C	-1.967	-1.131	-0.073	1.063
YBR036C	-0.238	-0.020	0.096	-0.481
YBR037C	0.120	0.196	1.245	2.446
YBR038W	NaN	NaN	0.603	1.141
YBR039W	0.000	0.292	-1.127	-0.469
YBR040W	-0.433	-0.565	0.206	1.245
YBR041W	-0.401	0.568	-0.014	0.345
YBR042C	0.146	1.029	0.088	1.656
YBR043C	-0.262	-0.680	0.076	0.985
YBR044C	-0.299	-0.559	-0.264	1.953
YBR045C	-0.173	0.205	-0.812	1.171
YBR046C	0.187	-0.104	0.456	0.742
YBR047W	0.074	0.048	-0.046	1.324
YBR048W	0.897	0.005	-0.229	-0.231
YBR049C	NaN	NaN	-0.061	0.838
YBR050C	-0.292	-1.222	0.351	1.607
YBR051W	-0.086	-0.502	0.587	1.511
YBR052C	-0.602	-0.979	-1.350	-1.626
YBR053C	-0.351	-0.581	0.106	0.318
YBR054W	-0.297	-0.558	0.129	1.199
YBR055C	NaN	NaN	-0.632	1.630
YBR056W	-0.351	-0.550	0.274	1.337
YBR056W-A	-0.073	0.334	-0.496	0.079
YBR057C	-0.359	0.066	0.355	0.667
YBR058C	0.529	-0.623	0.505	2.173
YBR058C-A	-1.203	-0.080	-0.263	0.545
YBR059C	-0.530	0.907	0.284	1.736
YBR060C	NaN	NaN	-0.435	1.253
YBR061C	0.155	0.585	1.478	0.788
YBR062C	-0.079	-0.571	0.102	1.605
YBR063C	-0.230	-1.789	0.336	1.776
YBR064W	-0.146	-0.422	-0.133	2.010
YBR065C	-0.059	-1.805	-1.448	1.827
YBR066C	-0.220	-0.014	-0.077	0.292
YBR067C	-0.160	-0.239	-0.579	0.519
YBR068C	-0.550	3.201	-0.081	1.665
YBR069C	0.401	1.622	0.076	1.822
YBR070C	NaN	NaN	-0.027	0.547
YBR071W	0.664	1.597	-0.230	0.283
YBR072C-A	0.007	-0.514	-0.355	-0.457
YBR072W	0.209	0.153	0.638	1.884
YBR073W	-0.433	-0.829	-0.123	0.894
YBR074W	-0.001	0.476	-0.028	0.758
YBR076W	-0.125	-0.125	0.229	1.394
YBR077C	0.745	1.090	-0.037	0.810
YBR078W	1.082	1.185	-0.296	1.790
YBR079C	NaN	NaN	0.334	2.241
YBR080C	NaN	NaN	0.430	2.503
YBR081C	0.275	0.962	-0.967	0.605
YBR082C	-0.043	0.489	0.620	1.825
YBR083W	-0.262	-0.141	-0.088	1.038
YBR084C-A	0.161	-0.202	0.467	-0.079
YBR084W	0.257	0.991	0.887	1.751
YBR085C-A	-0.446	-1.554	0.256	-0.548
YBR085W	-0.099	0.301	-0.273	1.077
YBR086C	0.188	0.937	0.361	0.780
YBR087W	NaN	NaN	1.185	1.811
YBR088C	NaN	NaN	0.259	2.651
YBR089C-A	0.064	-0.236	-1.756	-0.085
YBR089W	NaN	NaN	0.338	1.142
YBR090C	-0.356	-1.016	0.222	2.688
YBR091C	NaN	NaN	-0.248	1.005
YBR092C	-0.100	-0.406	0.069	3.277
YBR093C	-0.029	-0.527	-0.165	0.806
YBR094W	0.224	0.598	-0.045	0.766
YBR095C	0.018	0.245	2.330	3.319
YBR096W	0.329	1.039	-0.511	1.279
YBR097W	0.001	0.216	-0.127	3.614
YBR098W	0.085	0.158	0.085	0.960
YBR099C	-0.432	0.343	1.055	1.722
YBR101C	-0.402	0.156	0.114	0.328
YBR102C	NaN	NaN	0.235	0.399
YBR103W	0.226	1.025	-0.068	1.838
YBR104W	-0.014	-1.278	0.333	1.921
YBR105C	1.025	1.139	0.285	0.672
YBR106W	0.423	2.521	0.058	2.464
YBR107C	-0.553	-0.118	0.054	1.968
YBR108W	-0.021	0.025	-0.121	1.052
YBR109C	NaN	NaN	0.010	0.625
YBR110W	NaN	NaN	-1.812	1.429
YBR111C	-0.012	0.476	0.823	1.747
YBR111W-A	0.465	0.582	0.202	0.025
