ORF	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YJR007W	NaN	NaN	-0.978	0.391
YJR008W	-0.312	0.376	-0.043	1.324
YJR009C	0.411	-0.543	-0.408	0.512
YJR010C-A	0.256	0.263	0.066	0.236
YJR010W	-0.236	-1.553	0.566	1.043
YJR011C	0.039	-0.433	-0.122	0.784
YJR012C	NaN	NaN	0.239	0.074
YJR013W	NaN	NaN	0.587	1.818
YJR014W	0.300	-2.078	-0.028	-0.204
YJR015W	-0.204	-0.766	0.310	-0.699
YJR016C	NaN	NaN	-0.041	0.764
YJR017C	NaN	NaN	0.107	0.195
YJR018W	-0.107	-0.130	-0.097	-0.217
YJR019C	0.140	-0.344	-0.517	0.476
YJR020W	0.027	-0.223	-0.158	-0.679
YJR021C	-0.318	0.495	-0.185	-0.399
YJR022W	NaN	NaN	0.078	2.783
YJR023C	NaN	NaN	-0.168	-0.594
YJR024C	-0.351	-0.614	0.295	0.439
YJR025C	-0.652	-0.762	1.416	2.079
YJR026W	0.360	-0.038	-0.909	0.203
YJR030C	0.031	0.479	0.086	0.011
YJR031C	-0.194	-0.174	-0.727	0.117
YJR032W	0.411	1.965	-0.111	1.611
YJR033C	0.093	0.125	-0.830	-0.096
YJR034W	-0.378	0.961	0.013	1.892
YJR035W	-0.747	-1.001	-0.406	-0.404
YJR036C	-0.258	-0.171	0.035	0.123
YJR037W	-0.070	-0.072	-0.595	1.371
YJR038C	-0.157	-0.155	0.076	-0.090
YJR039W	0.006	0.819	5.084	1.057
YJR040W	0.386	-1.252	0.208	-1.138
YJR041C	NaN	NaN	-0.218	0.794
YJR042W	NaN	NaN	-0.389	2.086
YJR043C	-0.015	-1.180	-0.302	-1.021
YJR044C	0.005	0.518	0.342	0.760
YJR045C	NaN	NaN	0.723	1.299
YJR046W	NaN	NaN	-0.065	0.158
YJR047C	-0.334	0.631	-0.097	0.711
YJR048W	0.260	-0.001	0.595	1.281
YJR049C	-0.755	-1.844	-0.585	-1.312
YJR050W	-0.167	1.788	0.440	0.523
YJR051W	-0.154	-0.302	0.286	0.539
YJR052W	-0.134	-0.734	0.638	0.917
YJR053W	-0.256	-0.383	-0.199	-1.378
YJR054W	-0.437	-0.221	-0.606	-0.205
YJR055W	-0.158	2.231	-0.441	0.783
YJR056C	0.078	-2.194	-1.798	-0.030
YJR057W	NaN	NaN	0.086	0.030
YJR058C	-0.072	-0.713	-0.595	0.110
YJR059W	-1.913	0.942	-0.214	1.820
YJR060W	0.402	0.089	0.489	1.197
YJR061W	-0.002	-0.057	-0.704	0.474
YJR062C	-0.307	-1.045	-0.375	-0.383
YJR063W	-0.281	0.122	-0.361	-0.378
YJR064W	NaN	NaN	0.038	0.988
YJR065C	NaN	NaN	0.220	0.140
YJR066W	0.619	1.739	-0.270	0.319
YJR067C	NaN	NaN	-0.227	-0.906
YJR068W	NaN	NaN	0.122	0.591
YJR069C	-0.071	-1.198	0.203	-0.171
YJR070C	0.415	-1.439	0.316	0.398
YJR072C	NaN	NaN	-0.689	-0.138
YJR073C	-2.498	0.762	0.030	0.497
YJR074W	0.981	2.218	-0.528	0.491
YJR075W	0.356	-0.786	0.029	0.486
YJR076C	NaN	NaN	0.110	1.379
YJR077C	-0.147	-0.093	0.001	-0.219
YJR078W	-0.125	-0.779	-0.224	2.443
YJR079W	-0.058	0.513	0.577	1.528
YJR080C	-0.194	0.293	0.202	-0.078
YJR082C	-0.425	0.072	0.198	0.814
YJR083C	1.087	-1.274	-0.020	1.038
YJR084W	0.170	-0.809	-0.069	-0.509
YJR085C	0.048	0.179	-0.003	0.134
YJR086W	0.046	0.686	0.254	0.422
YJR087W	-0.034	-1.664	0.094	-1.086
YJR088C	-0.642	0.227	0.027	-0.529
YJR089W	0.035	0.268	0.008	0.423
YJR090C	0.161	0.387	-0.053	1.516
YJR091C	-0.172	-0.479	-0.139	0.042
YJR092W	0.295	0.140	0.623	2.235
YJR093C	NaN	NaN	-0.091	1.097
YJR094C	-0.115	-0.752	0.028	0.914
YJR094W-A	-0.641	-0.085	-0.220	1.487
YJR095W	-0.357	-0.900	0.618	1.281
YJR096W	-0.125	-0.883	-0.214	0.632
YJR097W	-0.808	-0.692	-0.252	0.920
YJR098C	0.106	-0.751	-0.005	-0.084
YJR099W	0.065	-0.772	-0.707	0.559
YJR100C	-0.028	-0.338	-0.253	0.398
YJR101W	-0.005	0.529	0.465	0.966
YJR102C	0.924	-0.498	0.806	1.032
YJR103W	-0.044	-0.005	-0.100	0.314
YJR104C	0.582	-0.439	0.430	-1.143
YJR105W	-0.753	0.594	0.038	0.979
YJR106W	-0.166	0.295	-0.317	-0.515
YJR107W	-0.088	-1.330	-0.194	0.797
YJR108W	-0.116	-0.542	0.265	0.703
YJR109C	-0.039	-0.414	0.073	0.465
YJR110W	0.139	0.178	0.262	0.553
YJR111C	0.698	-0.467	-0.272	0.381
YJR112W	NaN	NaN	-0.337	-1.482
YJR112W-A	0.366	0.527	0.382	1.346
YJR113C	-0.509	0.516	-0.293	0.783
YJR114W	0.007	0.122	-0.024	-0.156
YJR115W	-0.158	-0.680	0.338	0.968
YJR116W	-0.157	-1.259	-0.764	-1.623
YJR117W	0.294	0.622	-1.156	-0.170
YJR118C	2.349	2.123	0.230	0.575
YJR119C	0.259	-0.426	0.236	1.071
YJR120W	-0.357	0.446	0.108	1.596
YJR121W	0.460	3.701	-0.311	0.598
YJR122W	-1.410	0.828	0.175	1.150
YJR123W	NaN	NaN	-0.409	3.361
YJR124C	-0.107	-0.701	-0.173	0.906
YJR125C	0.058	0.489	0.180	-0.538
YJR126C	-0.098	-1.082	-0.746	0.142
YJR127C	0.611	-1.106	1.178	1.657
YJR128W	0.353	-0.283	1.061	0.152
YJR129C	0.303	0.557	0.448	1.072
YJR130C	0.172	-0.197	0.632	0.567
YJR131W	-0.053	-0.350	-0.254	0.619
YJR133W	0.028	-0.785	-0.272	0.954
YJR134C	0.184	-0.846	-0.208	1.187
YJR135C	0.238	0.648	-0.242	1.616
YJR135W-A	0.260	0.923	-0.019	-0.029
YJR137C	-0.110	-0.293	0.347	1.366
YJR139C	0.355	2.594	-0.694	0.837
YJR140C	-0.967	-1.357	0.135	1.061
YJR141W	NaN	NaN	-0.219	0.887
YJR142W	-0.113	-0.221	0.053	0.386
YJR143C	-0.051	0.240	-0.000	0.413
YJR144W	1.891	2.294	-0.651	0.906
YJR145C	0.711	-2.075	0.048	-1.338
YJR146W	-0.020	-0.550	0.490	1.926
YJR147W	-0.069	-0.586	0.126	2.170
YJR148W	0.045	0.019	0.191	0.727
YJR149W	-0.074	-0.895	0.048	0.217
YJR150C	-0.042	-0.801	-0.503	1.399
YJR151C	0.157	0.833	0.217	0.461
YJR151W-A	-0.102	-0.736	0.322	1.199
YJR152W	-0.088	-1.256	-0.080	0.993
YJR153W	-0.183	-0.250	-0.223	0.125
YJR154W	-0.085	0.291	0.189	0.389
YKL001C	-0.083	-2.064	0.512	-0.507
YKL002W	0.818	0.021	-0.118	0.176
YKL003C	-0.234	1.294	0.303	0.391
YKL004W	NaN	NaN	-0.179	0.188
YKL005C	0.128	-0.861	-0.125	0.047
YKL006C-A	NaN	NaN	0.185	-0.815
YKL006W	0.223	-0.736	2.448	-2.339
YKL007W	-0.621	-0.952	0.120	0.156
YKL008C	-0.097	0.085	0.142	0.104
YKL009W	0.024	1.010	-0.185	-0.285
YKL010C	-1.236	-1.301	-2.242	0.060
YKL011C	-0.596	-1.402	-0.775	1.184
YKL012W	NaN	NaN	0.260	0.879
YKL013C	NaN	NaN	0.083	0.410
YKL014C	NaN	NaN	0.055	-1.279
YKL015W	-0.020	-0.441	-0.152	-0.319
YKL016C	0.058	0.113	0.031	0.921
YKL017C	-0.115	0.215	0.084	0.112
YKL018C-A	-0.443	-0.571	0.360	-1.249
YKL018W	NaN	NaN	0.187	0.094
YKL019W	NaN	NaN	-0.020	-1.366
YKL020C	-0.150	-1.309	0.268	-0.404
YKL021C	NaN	NaN	-0.575	-1.475
YKL022C	NaN	NaN	-0.348	0.212
YKL023W	1.027	-0.648	2.250	-3.931
YKL024C	NaN	NaN	0.026	-0.499
YKL025C	-0.010	-0.344	-0.284	-0.070
YKL026C	-0.238	-0.284	-0.255	0.762
YKL027W	-0.681	-3.044	0.178	-1.473
YKL028W	NaN	NaN	0.004	0.468
YKL029C	0.267	-0.292	0.414	0.658
YKL030W	-0.055	-1.127	-0.053	2.345
YKL031W	-0.351	-1.027	-0.508	-1.272
YKL032C	-0.544	1.034	-1.110	-1.530
YKL033W	NaN	NaN	-0.449	-1.629
YKL033W-A	-0.418	-0.119	0.377	0.242
YKL034W	-0.020	0.745	-0.833	0.006
YKL035W	NaN	NaN	0.381	-0.227
YKL036C	NaN	NaN	-0.403	-0.062
YKL037W	1.131	3.882	-0.103	1.119
YKL038W	-0.288	0.169	0.258	-1.018
YKL039W	-0.222	-1.833	0.002	2.361
YKL040C	-0.105	-1.179	0.676	1.397
YKL041W	0.695	-1.868	0.129	1.101
YKL042W	NaN	NaN	0.603	1.004
YKL043W	-0.238	-1.178	-1.184	-0.464
YKL044W	-0.704	-1.700	0.623	0.596
YKL045W	NaN	NaN	0.099	0.028
YKL046C	1.570	-0.546	0.862	-0.064
YKL047W	-0.197	-0.617	0.362	0.806
YKL048C	1.920	0.779	0.339	0.204
YKL049C	NaN	NaN	0.329	0.642
YKL050C	-0.107	-1.027	-1.256	-2.228
YKL051W	-0.245	-1.152	0.455	0.563
YKL052C	NaN	NaN	-0.170	-0.759
YKL053C-A	-0.831	1.047	0.116	0.941
YKL053W	0.394	-1.075	0.201	-0.963
YKL054C	0.076	0.630	0.218	1.448
YKL055C	-0.049	1.476	0.170	0.249
YKL056C	-0.055	0.140	0.450	1.869
YKL057C	-0.015	0.072	-0.031	1.635
YKL058W	NaN	NaN	0.431	1.452
YKL059C	NaN	NaN	0.581	2.065
YKL060C	NaN	NaN	0.012	0.663
YKL061W	-0.236	-1.423	0.315	1.717
YKL062W	-0.537	0.580	-0.967	0.517
YKL063C	-0.084	-1.087	-0.385	1.388
YKL064W	-0.962	-0.482	0.064	1.784
YKL065C	-1.225	-0.352	-0.063	0.807
YKL066W	0.009	-0.232	0.991	2.384
YKL067W	-0.166	-1.656	-0.611	1.065
YKL068W	-0.184	-0.081	0.924	1.040
YKL068W-A	0.214	0.667	0.394	0.949
YKL069W	0.343	-1.073	0.168	0.629
YKL070W	-0.140	-0.584	0.263	1.111
YKL071W	-0.063	0.107	-0.668	-0.089
YKL072W	0.027	-0.505	-1.289	0.131
YKL073W	0.417	0.975	0.267	0.291
YKL074C	0.719	1.411	-0.809	0.445
YKL075C	-2.535	-1.626	0.043	0.914
YKL076C	-2.174	-1.210	0.363	1.435
YKL077W	-1.379	-1.564	-0.075	1.814
YKL078W	NaN	NaN	-0.255	0.407
YKL079W	1.261	0.554	0.124	2.907
YKL080W	0.197	1.074	0.533	1.831
YKL081W	-0.154	-0.356	0.694	2.048
YKL082C	NaN	NaN	-0.242	0.608
YKL083W	NaN	NaN	0.406	0.814
YKL084W	-0.404	0.225	-0.170	1.823
YKL085W	-0.430	-0.363	-0.072	2.203
YKL086W	0.263	-0.692	0.387	1.281
YKL087C	-0.328	0.273	0.201	1.424
YKL088W	NaN	NaN	-0.631	1.252
YKL089W	NaN	NaN	-1.457	0.742
YKL090W	-0.607	-0.585	0.763	2.536
YKL091C	-0.193	-0.857	-0.191	0.974
YKL092C	0.197	0.161	0.684	0.363
YKL093W	-0.160	-1.093	0.478	1.274
YKL094W	0.062	-0.283	0.658	0.848
YKL095W	NaN	NaN	-0.584	1.299
YKL096C-B	-0.390	-1.348	-0.427	-0.443
YKL096W	-0.013	0.082	-0.233	1.165
YKL096W-A	-0.814	-0.177	0.168	0.688
YKL097C	0.071	-0.241	0.709	1.765
YKL098W	0.885	1.592	0.253	0.671
YKL099C	NaN	NaN	0.242	0.950
YKL100C	-0.213	-0.044	0.006	0.580
YKL101W	0.109	0.727	0.079	0.806
YKL102C	0.043	-0.791	0.057	-0.569
YKL103C	-0.100	-0.540	-0.901	0.777
YKL104C	NaN	NaN	0.743	0.598
YKL105C	-0.043	-0.316	-0.531	1.746
YKL106C-A	-0.279	-0.696	0.098	0.470
YKL106W	-0.203	-0.849	0.758	1.393
YKL107W	0.221	-0.728	0.079	0.817
YKL108W	NaN	NaN	-1.230	1.136
YKL109W	0.614	0.683	-1.472	0.673
YKL110C	1.603	0.425	-1.251	0.487
YKL111C	NaN	NaN	0.034	2.510
YKL112W	NaN	NaN	-0.102	2.089
YKL113C	0.502	-0.301	0.324	0.612
YKL114C	-2.168	0.624	-0.369	0.730
YKL115C	0.319	0.063	-0.048	1.528
YKL116C	-0.171	-1.578	0.826	0.865
YKL117W	0.153	-0.696	0.321	2.187
YKL118W	-0.138	1.848	-0.002	0.936
YKL119C	-0.156	2.248	-0.443	1.365
YKL120W	-0.325	-1.810	-0.152	-0.039
YKL121W	1.058	0.228	-0.307	1.186
YKL122C	NaN	NaN	0.264	1.749
YKL123W	-0.278	-0.111	0.483	1.287
YKL124W	0.039	-0.618	0.249	2.066
YKL125W	NaN	NaN	0.108	1.734
YKL126W	-0.415	1.264	-0.773	0.992
YKL127W	0.198	-0.239	0.408	1.612
YKL128C	-0.370	-0.645	-0.070	2.322
YKL129C	-0.087	-0.371	0.857	2.830
YKL130C	-0.131	-0.631	-0.248	-0.224
YKL131W	-0.053	-0.679	-0.010	1.882
YKL132C	-0.030	-0.612	-0.719	0.962
YKL133C	0.329	0.337	0.313	0.109
YKL134C	-0.217	2.395	-0.429	1.456
YKL135C	1.904	1.551	-0.015	1.452
YKL136W	0.361	0.256	-0.826	1.038
YKL137W	-0.258	-1.588	-0.086	0.641
YKL138C	-0.034	0.776	0.908	1.138
YKL138C-A	0.054	0.135	0.030	0.796
YKL139W	0.140	0.638	0.178	1.448
YKL140W	-0.033	-0.346	0.086	1.142
YKL141W	NaN	NaN	-0.484	1.762
YKL142W	-0.145	-0.710	-0.050	-0.060
YKL143W	0.039	0.181	-0.654	0.671
YKL144C	NaN	NaN	-0.098	1.455
YKL145W	NaN	NaN	0.789	1.417
YKL146W	0.092	0.090	-0.015	1.770
YKL147C	0.094	-0.202	-0.081	0.427
YKL148C	0.026	0.697	0.262	0.595
YKL149C	-1.637	-1.454	0.088	0.602
YKL150W	-0.109	-0.520	-0.081	0.665
YKL151C	-0.105	-1.081	-0.350	1.329
YKL152C	NaN	NaN	0.177	0.866
YKL153W	NaN	NaN	-0.326	0.258
YKL154W	NaN	NaN	-0.071	0.723
YKL155C	0.074	0.142	-0.102	1.022
YKL156W	-0.043	-0.503	-0.107	0.362
YKL157W	-0.122	-0.645	0.376	0.507
YKL159C	-0.535	-0.768	0.514	1.135
YKL160W	-1.800	-0.782	0.749	2.473
YKL161C	0.134	0.086	-0.226	1.788
YKL162C	-0.014	-0.061	-1.334	1.723
YKL162C-A	-0.179	-0.646	0.677	0.220
YKL163W	-0.169	-0.520	0.413	-0.105
YKL164C	0.184	-0.925	0.644	1.865
YKL165C	NaN	NaN	0.145	1.003
YKL166C	-1.029	-1.004	-0.681	1.272
YKL167C	0.231	0.227	0.259	2.587
YKL168C	-0.130	-0.583	0.266	0.829
YKL169C	0.293	1.953	-0.162	1.526
YKL170W	0.294	0.743	0.191	1.231
YKL171W	-0.230	-1.147	0.770	1.737
YKL172W	NaN	NaN	0.141	1.356
YKL173W	NaN	NaN	0.029	0.715
YKL174C	-0.028	-0.260	0.516	0.595
YKL175W	-0.272	-1.623	0.079	1.154
YKL176C	-0.398	0.734	0.272	0.993
YKL177W	0.133	0.327	0.165	0.744
YKL178C	-0.120	0.279	0.087	1.052
YKL179C	1.206	0.233	-0.029	1.148
YKL180W	NaN	NaN	3.661	1.712
YKL181W	0.070	-0.001	-0.385	1.334
YKL182W	NaN	NaN	-0.295	1.013
YKL183C-A	-0.163	0.524	0.348	0.519
YKL183W	-0.685	-1.483	-0.285	1.840
YKL184W	-1.554	-1.687	-0.359	0.672
YKL185W	0.326	0.079	-0.273	0.130
YKL186C	NaN	NaN	-0.449	1.167
YKL187C	-0.244	-0.398	0.156	0.951
YKL188C	-0.405	-0.489	0.077	0.646
YKL189W	NaN	NaN	0.417	1.917
YKL190W	-1.170	0.111	-0.005	2.176
YKL191W	-0.880	-0.511	1.042	0.453
YKL192C	NaN	NaN	-2.763	1.496
YKL193C	NaN	NaN	-0.132	0.774
YKL194C	0.133	0.366	0.228	1.609
YKL195W	NaN	NaN	0.078	1.471
YKL196C	NaN	NaN	0.241	-0.860
YKL197C	2.311	0.563	-0.270	-0.624
YKL198C	-0.336	-0.344	-0.214	0.797
YKL201C	-0.114	-0.663	0.015	0.229
YKL202W	0.041	0.040	0.376	0.411
YKL203C	NaN	NaN	-0.349	0.332
YKL204W	-0.012	0.297	-0.651	1.810
YKL205W	-0.066	-0.228	0.507	1.455
YKL206C	-0.182	-1.039	-0.131	0.102
YKL207W	-1.105	-2.307	-0.325	-0.593
YKL208W	-0.128	-1.386	-0.092	-1.691
YKL209C	-0.036	0.184	-0.241	0.835
YKL210W	NaN	NaN	0.184	0.588
YKL211C	1.756	0.995	-0.073	-0.753
YKL212W	0.003	1.745	0.022	0.660
YKL213C	-0.105	-1.121	0.099	1.709
YKL214C	0.122	-0.833	0.359	0.396
YKL215C	-0.323	-0.720	0.340	1.567
YKL216W	-0.408	-1.177	-1.504	-1.127
YKL217W	-0.094	-0.427	-0.288	-1.667
YKL218C	-0.127	-0.199	-0.030	0.253
YKL220C	-0.099	-0.486	-0.055	0.514
YKL221W	0.115	0.062	0.010	-0.961
YKL222C	-0.346	-0.465	0.160	-0.385
YKR001C	0.585	0.991	0.225	1.370
YKR002W	NaN	NaN	-1.356	-0.188
YKR003W	-0.249	-0.568	-0.318	-2.265
YKR004C	2.985	2.682	-0.037	0.813
YKR005C	-0.139	-0.481	0.126	0.008
YKR006C	1.120	1.251	0.152	1.005
YKR007W	-0.028	1.290	-0.428	-0.351
YKR008W	NaN	NaN	0.945	0.315
YKR009C	0.184	-0.414	0.352	2.189
YKR010C	-0.262	0.192	-0.759	1.886
YKR011C	-0.571	-0.170	0.055	0.920
YKR012C	-0.197	0.301	-0.412	-0.495
YKR013W	-0.230	-0.040	0.107	-1.199
YKR014C	0.151	-0.647	0.054	1.467
YKR015C	-0.295	-0.694	0.349	1.325
YKR016W	-0.205	-0.619	-0.213	0.336
YKR017C	-0.229	0.013	0.084	-1.408
YKR018C	0.618	0.691	-0.221	0.848
YKR019C	0.924	-1.739	-0.650	1.526
YKR020W	1.438	1.185	0.167	-0.800
YKR021W	-0.382	0.734	-0.358	-0.599
YKR022C	NaN	NaN	-0.014	0.717
YKR023W	-0.110	-1.883	0.055	1.490
YKR024C	0.556	2.682	0.151	-0.583
YKR025W	NaN	NaN	-0.577	-0.582
YKR026C	-0.296	-0.825	-0.501	0.237
YKR027W	0.540	2.125	0.392	1.468
YKR028W	3.255	3.527	1.165	1.072
YKR029C	-0.254	0.547	-0.243	0.728
YKR030W	0.494	-0.732	0.339	0.022
YKR031C	1.195	-0.022	0.035	0.679
YKR032W	-0.033	-1.071	0.091	0.470
YKR033C	0.456	-0.009	0.113	0.854
YKR034W	0.545	0.130	-0.446	0.772
YKR035C	-0.156	-0.913	0.143	0.100
YKR035W-A	-0.276	-1.646	-0.256	0.617
YKR036C	0.069	1.613	-0.488	2.185
YKR037C	NaN	NaN	-0.037	0.799
YKR038C	NaN	NaN	-0.058	0.552
YKR039W	-0.129	-1.272	0.448	1.609
YKR040C	0.551	1.080	-0.477	1.977
YKR041W	0.547	0.498	0.247	0.241
YKR042W	0.060	-0.327	0.196	0.186
YKR043C	-0.121	-0.636	0.271	-0.180
YKR044W	-0.053	-0.411	-0.038	0.153
YKR045C	-0.342	-0.713	-0.351	0.830
YKR046C	-0.023	-0.164	0.227	0.993
YKR047W	0.948	1.071	0.345	-1.581
YKR048C	1.422	0.645	0.201	0.060
YKR049C	-0.356	-0.367	0.100	0.083
YKR050W	0.009	-1.364	-0.184	-1.096
YKR051W	-0.339	-0.855	-0.538	-1.090
YKR052C	0.006	-1.730	0.186	-1.951
YKR053C	-0.281	-0.555	0.122	0.835
YKR054C	-0.186	-0.367	-0.079	0.740
YKR055W	0.123	-0.984	-0.264	-2.209
YKR056W	-1.212	1.095	-0.329	-0.253
YKR057W	0.360	0.100	0.261	0.131
YKR058W	0.251	0.166	-0.389	0.434
YKR059W	0.512	-0.208	0.571	0.462
YKR060W	0.033	-0.139	0.495	0.313
YKR061W	-0.116	-1.353	-0.209	0.513
YKR062W	NaN	NaN	0.265	0.021
YKR063C	NaN	NaN	0.157	-0.223
YKR064W	-0.228	-1.134	0.221	0.198
YKR065C	1.222	0.124	0.435	-2.240
YKR066C	-0.240	-0.205	-1.100	0.849
YKR067W	0.230	-0.124	-0.105	1.281
YKR068C	NaN	NaN	0.175	0.669
YKR069W	-0.014	0.427	0.130	0.928
YKR070W	0.070	-0.538	0.344	0.901
YKR071C	NaN	NaN	-0.134	0.120
YKR072C	-1.619	0.840	-1.437	1.867
YKR073C	-2.235	-1.047	-1.415	-0.271
YKR074W	1.004	1.554	0.003	-0.188
YKR075C	-0.014	-0.643	0.457	0.127
YKR076W	0.133	-0.583	-0.383	-1.357
YKR077W	-0.010	-0.950	0.165	0.337
YKR078W	-0.448	-0.410	2.475	3.545
YKR079C	NaN	NaN	0.165	0.862
YKR080W	-2.461	-0.834	-0.571	0.738
YKR081C	NaN	NaN	-1.121	-0.036
YKR082W	0.384	0.642	0.180	-0.336
YKR083C	NaN	NaN	0.207	-0.572
YKR084C	-1.754	-1.487	-0.419	0.563
YKR085C	0.435	1.199	-0.164	0.871
YKR086W	NaN	NaN	0.939	1.690
YKR087C	0.028	-0.652	0.101	-0.436
YKR088C	0.202	-0.205	0.099	0.423
YKR089C	-0.085	-0.548	0.290	-0.671
YKR090W	-0.376	-0.485	-0.080	0.749
YKR091W	-0.211	-0.149	0.009	0.998
YKR092C	-1.147	0.164	-0.952	1.598
YKR093W	0.060	0.446	0.012	-0.631
YKR094C	-0.293	0.400	-0.018	0.515
YKR095W	-0.316	-0.587	0.395	2.177
YKR095W-A	-0.319	0.124	0.146	0.322
YKR096W	-1.139	0.221	0.284	1.762
YKR097W	-0.063	-0.277	0.320	1.163
YKR098C	-0.167	-0.036	0.009	-0.257
YKR099W	-1.674	1.410	0.349	0.631
YKR100C	-0.097	-0.139	0.077	0.047
YKR101W	-0.732	-0.271	0.212	0.342
YKR102W	0.278	0.574	-0.035	1.597
YKR103W	-0.221	0.334	1.569	1.328
YKR104W	-0.326	-0.211	0.024	1.619
YKR105C	-0.014	-0.016	0.162	0.239
YKR106W	-0.210	-0.778	0.588	1.508
YLL001W	0.247	0.638	-0.081	-0.840
YLL002W	0.257	1.578	-0.146	0.972
YLL003W	NaN	NaN	-0.040	-0.408
YLL004W	NaN	NaN	-0.435	-1.517
YLL005C	-0.365	-0.447	-0.013	-0.982
YLL006W	-0.708	2.066	-0.238	-0.432
YLL006W-A	-0.207	-0.116	-0.416	-0.910
YLL007C	-0.592	-0.323	-0.914	0.299
YLL008W	NaN	NaN	-0.226	-0.406
YLL009C	0.525	1.409	0.553	-0.636
YLL010C	1.351	1.249	0.544	0.547
YLL011W	NaN	NaN	-0.244	0.731
YLL012W	-0.114	-1.055	0.015	-2.592
YLL013C	-0.023	0.068	-0.747	-0.950
YLL014W	-0.473	-0.034	0.339	0.946
YLL015W	-0.237	-0.522	-0.205	-0.653
YLL016W	-0.313	-0.034	-0.252	-0.867
YLL017W	-0.047	-0.925	-0.007	-0.474
YLL018C	NaN	NaN	0.120	0.263
YLL018C-A	-0.073	0.872	0.527	0.097
YLL019C	-1.045	-2.340	-0.458	-0.383
YLL020C	-0.587	-0.755	-0.250	-0.249
YLL021W	-0.080	-0.463	-0.030	0.751
YLL023C	-0.006	0.101	-0.104	-1.418
YLL024C	-0.822	-0.042	-1.005	-0.597
YLL025W	-0.022	-0.162	-0.099	-0.371
YLL026W	-0.082	-1.801	0.209	-0.698
YLL027W	-0.530	2.989	-0.555	-0.188
YLL028W	-0.431	-1.090	-0.208	-0.700
YLL029W	0.008	-0.902	0.401	0.229
YLL030C	-0.052	-0.391	-0.107	2.420
YLL031C	NaN	NaN	-0.143	0.473
YLL032C	-0.214	-0.381	-0.093	0.168
YLL033W	0.928	2.843	-0.051	-0.664
YLL034C	NaN	NaN	0.073	-1.563
YLL035W	NaN	NaN	-0.397	-0.375
YLL036C	NaN	NaN	-0.095	-0.367
YLL037W	NaN	NaN	-0.034	-0.657
YLL038C	0.384	-0.725	0.094	0.879
YLL039C	-0.733	-0.733	-0.541	-0.720
YLL040C	0.193	-0.907	0.250	-0.607
YLL041C	0.087	-0.046	0.131	-0.310
YLL042C	-0.124	-0.996	0.011	-1.187
YLL043W	2.412	1.424	-0.291	-0.061
YLL044W	0.743	-2.018	-0.316	1.319
YLL045C	-0.739	0.780	-0.111	-0.406
YLL046C	-0.201	-0.553	-0.007	-1.699
YLL047W	-0.289	-0.314	0.214	-0.010
YLL048C	0.250	-0.022	-0.001	0.696
YLL049W	-0.193	-1.655	-0.407	-0.126
YLL050C	NaN	NaN	-0.017	-0.579
YLL051C	0.245	0.554	0.080	0.705
YLL052C	-0.024	-0.662	-0.113	-0.949
YLL053C	-0.148	-0.487	0.132	0.863
YLL054C	-0.044	-1.155	0.068	-0.857
YLL055W	-0.293	0.329	-0.165	1.638
YLL056C	-0.122	-0.223	-0.015	0.191
YLL057C	-0.204	-0.142	-0.037	-0.087
YLL058W	-0.204	-0.247	-0.460	-2.118
YLL059C	0.020	-0.260	0.136	1.502
YLL060C	-0.327	0.264	-0.011	0.351
YLL061W	-0.154	-0.276	-0.069	-0.528
YLL062C	0.098	-0.132	-0.052	0.626
YLL063C	0.071	-0.409	0.287	0.392
YLR001C	-0.009	-0.302	-0.149	0.391
YLR002C	NaN	NaN	-0.334	0.646
YLR003C	-0.214	-0.682	-0.316	0.661
YLR004C	0.517	0.128	-0.364	0.807
YLR005W	NaN	NaN	-0.378	-0.200
YLR006C	1.056	-0.869	0.443	1.062
YLR007W	NaN	NaN	-0.674	-1.589
YLR008C	NaN	NaN	-0.171	-1.088
YLR009W	NaN	NaN	-0.823	0.251
YLR010C	NaN	NaN	0.105	0.872
YLR011W	0.074	-1.177	0.286	0.936
YLR012C	0.001	0.157	-0.092	0.444
YLR013W	-0.053	-0.718	-0.615	-1.120
YLR014C	-2.612	0.009	0.215	1.713
YLR015W	-0.181	1.459	0.457	1.142
YLR016C	-0.210	-0.526	-0.464	-2.028
YLR017W	0.248	-0.714	-0.065	-0.894
YLR018C	0.155	-0.435	-0.038	-2.998
YLR019W	0.743	-0.093	-0.013	1.119
YLR020C	-0.181	-0.325	-0.448	0.580
YLR021W	0.719	0.998	0.205	-0.245
YLR022C	NaN	NaN	1.444	1.839
YLR023C	-0.530	-0.311	-0.741	0.032
YLR024C	1.070	-1.422	-0.087	0.944
YLR025W	0.777	0.302	0.296	-1.718
YLR026C	NaN	NaN	0.026	-1.743
YLR027C	-1.289	1.189	-0.221	-0.162
YLR028C	-0.113	-0.670	0.090	-0.611
YLR029C	NaN	NaN	-0.141	0.855
YLR030W	-0.231	-0.745	-0.401	-0.091
YLR031W	-0.113	-1.262	0.118	1.044
YLR032W	0.026	-1.570	0.615	1.571
