ORF	het | growth (relative abundance in pooled culture) | glucose limitation, chemostat (glucose [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | phosphorus limitation, chemostat (phosphorus(.) [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.2/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.3/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, chemostat (culture dilution rate [0.3/h], minimal complete [standard]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, turbidostat (minimal complete [standard]) | Pir P~Oliver SG, 2012
YAL015C	-0.003	-0.004	-0.004	-0.004	0.000	0.000	-0.005
YAL016W	-0.001	-0.002	-0.001	0.005	0.001	0.006	0.011
YAL017W	-0.001	0.000	-0.001	0.000	0.000	0.002	0.002
YAL018C	-0.002	-0.000	-0.002	0.001	0.000	0.001	0.002
YAL019W	-0.003	-0.001	-0.000	-0.001	-0.001	-0.002	-0.007
YAL020C	-0.001	-0.001	-0.001	-0.001	-0.000	0.000	0.005
YAL021C	-0.003	-0.002	-0.008	-0.002	0.002	0.001	0.007
YAL022C	-0.002	-0.001	-0.001	0.000	-0.001	-0.000	0.006
YAL023C	-0.002	-0.002	0.000	-0.006	-0.007	-0.010	-0.007
YAL024C	0.001	-0.000	-0.001	0.002	-0.000	-0.001	-0.003
YAL025C	-0.001	-0.004	-0.001	-0.003	0.000	-0.001	-0.004
YAL026C	0.001	-0.000	-0.002	-0.000	0.000	-0.001	-0.007
YAL027W	-0.000	0.001	-0.001	0.003	0.000	0.000	-0.000
YAL029C	-0.000	-0.001	-0.004	-0.003	0.001	-0.001	0.000
YAL030W	-0.000	0.001	-0.001	0.000	-0.001	-0.001	-0.004
YAL031C	-0.001	-0.000	-0.002	0.001	0.001	-0.000	-0.006
YAL032C	0.001	0.001	0.000	0.003	0.001	-0.001	-0.003
YAL033W	-0.003	-0.001	-0.002	0.000	-0.002	0.001	0.006
YAL034C	-0.000	-0.000	-0.001	-0.006	-0.001	-0.000	-0.001
YAL034W-A	-0.002	-0.004	-0.001	-0.009	-0.003	-0.001	-0.008
YAL034C-B	-0.001	-0.004	-0.001	-0.006	-0.001	0.001	-0.002
YAL035W	-0.011	-0.007	-0.006	-0.015	0.001	-0.001	-0.008
YAL036C	NaN	-0.007	-0.018	-0.006	0.006	0.001	-0.003
YAL037W	-0.002	-0.003	-0.005	-0.006	0.001	-0.004	-0.009
YAL038W	-0.005	-0.002	-0.004	-0.006	-0.001	-0.001	-0.006
YAL039C	-0.001	-0.001	-0.001	0.005	-0.000	0.003	-0.002
YAL040C	-0.000	-0.004	-0.003	0.004	0.001	0.001	-0.003
YAL041W	-0.002	-0.007	-0.007	NaN	0.008	0.002	0.001
YAL042W	-0.001	-0.001	-0.002	0.001	-0.002	0.002	0.003
YAL043C	-0.006	-0.005	-0.012	-0.008	0.001	-0.001	0.008
YAL044C	NaN	NaN	-0.003	NaN	0.001	-0.003	0.003
YAL045C	-0.007	-0.013	0.002	-0.005	-0.000	-0.026	-0.038
YAL046C	-0.002	-0.000	-0.002	0.001	-0.000	0.002	-0.005
YAL047C	-0.001	-0.000	-0.002	0.001	0.003	-0.001	0.002
YAL048C	0.000	0.000	-0.001	0.003	0.000	0.001	-0.004
YAL051W	-0.001	0.000	-0.003	-0.001	-0.000	0.000	-0.001
YAL053W	-0.003	-0.000	-0.002	-0.001	-0.001	0.003	0.005
YAL054C	0.000	0.000	-0.001	0.004	-0.001	0.000	-0.003
YAL055W	0.002	0.002	0.001	0.006	-0.003	0.000	0.002
YAL056W	-0.001	0.002	-0.001	0.003	0.002	-0.002	-0.006
YAL056C-A	-0.000	0.000	-0.001	0.001	0.002	0.001	-0.006
YAL058W	-0.000	-0.000	-0.002	0.003	0.003	0.000	-0.004
YAL059W	0.000	-0.000	-0.002	0.001	0.002	0.001	-0.004
YAL060W	0.001	0.000	-0.001	0.003	-0.000	0.000	-0.007
YAL061W	-0.002	-0.001	-0.002	0.001	-0.001	0.000	-0.008
YAL062W	-0.001	-0.000	-0.002	0.002	-0.000	-0.001	-0.004
YAL064C-A	-0.002	-0.000	-0.002	0.001	-0.001	0.000	-0.003
YAL065C	-0.002	-0.001	-0.002	-0.002	-0.001	0.002	-0.002
YAL066W	-0.001	-0.001	-0.003	0.002	-0.001	0.001	-0.010
YAL067C	0.002	-0.005	-0.001	-0.005	0.001	-0.004	-0.010
YAL068C	-0.003	-0.006	-0.003	-0.008	0.001	-0.000	-0.008
YAR002C-A	-0.001	-0.001	-0.002	-0.001	-0.001	0.001	-0.000
YAR002W	-0.003	-0.006	-0.001	-0.017	-0.001	0.000	-0.031
YAR003W	-0.001	-0.000	0.002	0.001	-0.000	-0.000	-0.007
YAR007C	-0.001	-0.001	0.000	0.002	0.001	-0.001	-0.008
YAR008W	-0.000	-0.000	0.002	0.002	-0.001	-0.001	-0.007
YAR014C	-0.001	-0.000	0.002	0.002	-0.000	-0.001	-0.004
YAR015W	-0.000	0.000	0.001	0.003	0.001	0.000	-0.007
YAR018C	-0.005	-0.007	-0.008	-0.001	0.006	0.000	-0.013
YAR019C	-0.002	-0.001	0.001	0.000	-0.002	-0.002	-0.003
YAR020C	-0.001	0.001	0.002	0.002	-0.001	-0.001	0.005
YAR023C	0.000	-0.002	0.001	0.002	-0.000	-0.002	-0.002
YAR027W	-0.003	-0.001	-0.001	-0.003	-0.000	-0.002	-0.002
YAR028W	-0.001	-0.000	-0.000	0.001	0.002	0.002	-0.004
YAR029W	-0.003	-0.002	0.001	0.001	-0.001	0.001	0.001
YAR030C	-0.001	-0.000	0.002	0.001	-0.000	0.000	-0.003
YAR031W	-0.001	-0.000	0.001	0.001	-0.000	0.001	-0.001
YAR035W	-0.002	-0.000	0.001	-0.000	-0.000	0.001	-0.004
YAR037W	-0.000	0.000	0.004	0.002	-0.000	0.000	-0.004
YAR040C	-0.001	0.001	0.001	0.004	-0.000	0.001	-0.006
YAR042W	-0.001	-0.001	-0.002	-0.003	0.001	-0.000	-0.001
YAR043C	-0.001	-0.000	-0.002	-0.002	0.000	-0.000	-0.005
YAR047C	-0.008	-0.007	-0.000	-0.021	-0.002	-0.006	-0.049
YAR050W	0.003	0.001	0.001	0.006	-0.001	0.001	0.005
YBL002W	NaN	0.004	0.005	-0.011	-0.003	-0.003	-0.003
YBL004W	0.001	0.001	0.001	0.001	-0.001	0.001	0.001
YBL006C	-0.002	-0.001	0.004	-0.003	-0.000	0.002	0.005
YBL007C	0.000	0.001	-0.000	0.003	-0.001	0.001	-0.003
YBL008W	-0.000	0.001	0.002	0.003	0.001	-0.000	-0.005
YBL009W	0.003	0.002	0.003	0.002	0.000	0.001	-0.001
YBL010C	0.000	-0.001	0.001	0.001	0.000	-0.001	0.000
YBL011W	NaN	-0.004	-0.002	0.001	-0.003	-0.005	-0.024
YBL012C	-0.001	-0.000	-0.001	0.000	0.000	-0.002	-0.005
YBL013W	-0.001	-0.005	0.006	-0.004	-0.003	-0.007	-0.025
YBL015W	0.001	0.001	0.003	0.001	0.001	0.003	-0.001
YBL016W	-0.000	0.001	-0.003	0.001	-0.001	-0.000	0.001
YBL017C	-0.002	-0.001	-0.001	0.002	-0.001	0.001	0.006
YBL018C	-0.005	-0.003	-0.002	-0.012	-0.004	0.001	0.000
YBL019W	0.000	0.000	-0.002	-0.000	-0.001	0.001	0.003
YBL020W	0.001	0.001	-0.001	0.002	0.000	0.003	0.002
YBL024W	0.002	0.001	-0.001	0.005	0.000	0.002	-0.003
YBL025W	0.002	0.001	0.001	0.004	0.000	0.001	0.001
YBL026W	0.002	-0.001	0.000	0.000	0.001	0.003	-0.023
YBL027W	0.003	0.000	0.001	0.003	0.002	-0.005	-0.019
YBL028C	0.000	-0.001	-0.002	0.002	0.001	0.002	-0.003
YBL029W	0.001	-0.001	-0.001	0.002	0.000	0.002	-0.004
YBL030C	0.002	-0.000	-0.002	0.001	-0.001	0.001	0.000
YBL031W	-0.000	-0.000	-0.003	0.001	0.001	0.001	-0.006
YBL032W	-0.002	-0.004	-0.004	0.000	0.003	-0.001	-0.002
YBL033C	-0.002	0.000	-0.001	-0.004	-0.000	0.001	-0.009
YBL034C	0.001	0.001	-0.001	0.002	0.003	-0.001	0.003
YBL035C	0.000	0.000	-0.002	0.001	-0.000	0.000	-0.002
YBL036C	0.000	0.001	-0.002	0.001	0.001	0.000	-0.006
YBL037W	0.001	-0.000	-0.001	-0.000	-0.001	0.001	0.005
YBL038W	0.001	0.000	-0.001	0.001	-0.001	0.002	0.001
YBL039C	0.002	0.001	-0.002	0.003	0.000	0.003	0.004
YBL040C	0.000	-0.013	-0.008	-0.009	0.000	-0.001	-0.000
YBL041W	-0.002	0.000	-0.003	-0.001	-0.003	0.001	-0.005
YBL042C	-0.001	-0.000	-0.003	-0.002	-0.000	0.001	0.002
YBL043W	0.001	0.000	-0.001	-0.000	0.001	0.001	-0.000
YBL044W	-0.003	-0.000	-0.002	NaN	0.001	-0.003	-0.012
YBL045C	0.001	0.002	0.000	0.002	0.001	0.001	-0.001
YBL046W	-0.008	-0.006	-0.003	-0.013	0.003	-0.001	-0.006
YBL048W	0.001	0.000	-0.001	0.003	0.000	0.000	-0.004
YBL049W	-0.001	-0.000	-0.002	0.001	-0.000	-0.001	-0.005
YBL050W	0.002	-0.009	-0.003	0.002	-0.001	-0.005	-0.003
YBL051C	0.001	0.001	-0.000	0.000	-0.001	-0.001	-0.006
YBL052C	-0.011	-0.008	-0.014	-0.001	0.002	-0.002	-0.001
YBL053W	-0.000	-0.000	-0.002	0.000	0.001	0.001	-0.005
YBL054W	-0.001	0.000	-0.002	0.001	0.000	-0.000	-0.000
YBL055C	-0.001	-0.001	-0.002	0.001	0.001	0.001	-0.005
YBL056W	-0.000	0.001	-0.002	0.002	0.001	0.000	-0.000
YBL057C	0.001	0.001	-0.001	0.001	-0.001	0.001	-0.000
YBL058W	0.004	0.002	0.000	0.002	-0.000	0.001	0.003
YBL059W	-0.001	-0.001	-0.003	-0.002	-0.001	-0.000	-0.001
YBL060W	0.001	0.001	-0.000	0.001	0.000	0.001	-0.003
YBL061C	0.000	0.001	-0.001	-0.001	0.001	0.002	-0.002
YBL062W	0.001	-0.002	-0.003	-0.004	-0.000	-0.002	-0.003
YBL063W	-0.000	-0.000	-0.002	0.001	-0.000	-0.000	-0.004
YBL064C	-0.001	-0.000	-0.003	-0.002	0.001	-0.000	-0.002
YBL065W	-0.001	-0.011	-0.011	-0.002	-0.007	-0.000	0.002
YBL066C	0.002	-0.001	-0.002	-0.001	-0.000	0.001	0.000
YBL067C	NaN	NaN	-0.010	0.025	0.005	-0.006	-0.004
YBL068W	0.002	0.001	-0.000	0.002	-0.000	0.001	-0.002
YBL070C	0.001	0.000	-0.001	0.000	-0.001	0.002	-0.003
YBL071C	-0.000	0.000	-0.003	-0.002	-0.001	0.001	-0.000
YBL072C	0.000	-0.000	-0.001	-0.001	-0.001	-0.000	-0.013
YBL073W	-0.002	-0.003	-0.002	-0.002	0.000	0.002	0.006
YBL074C	0.000	-0.000	-0.001	-0.003	-0.001	0.001	-0.001
YBL076C	-0.000	0.000	-0.002	0.000	0.000	0.000	-0.001
YBL077W	0.001	0.001	-0.000	0.002	-0.000	0.001	-0.004
YBL078C	-0.001	-0.000	-0.002	0.000	-0.000	0.001	-0.004
YBL079W	-0.000	-0.001	-0.002	-0.002	-0.000	0.007	0.001
YBL080C	-0.000	-0.001	-0.002	0.002	0.000	0.002	-0.005
YBL081W	-0.000	-0.001	-0.003	0.001	-0.000	0.001	-0.005
YBL082C	-0.000	0.000	-0.002	0.000	0.000	0.001	-0.006
YBL083C	-0.001	-0.001	-0.002	0.002	-0.000	0.002	0.007
YBL084C	-0.003	-0.003	-0.003	-0.004	-0.003	-0.001	0.002
YBL085W	-0.000	0.000	-0.001	0.000	-0.001	0.000	-0.005
YBL086C	NaN	-0.009	NaN	NaN	0.002	-0.011	-0.004
YBL087C	-0.005	-0.002	-0.004	-0.003	-0.001	-0.003	-0.016
YBL088C	-0.001	0.001	-0.002	-0.001	0.001	0.000	-0.002
YBL089W	0.001	0.001	-0.001	0.002	-0.001	-0.001	-0.002
YBL090W	-0.001	-0.000	-0.002	0.000	0.000	-0.001	-0.005
YBL091C-A	-0.002	-0.005	-0.003	-0.007	0.001	-0.003	-0.005
YBL092W	0.003	0.001	0.004	-0.001	-0.001	-0.006	-0.015
YBL093C	-0.007	-0.017	0.000	-0.006	-0.001	-0.010	-0.034
YBL094C	0.001	0.001	-0.001	0.002	-0.000	0.000	-0.001
YBL095W	-0.003	-0.003	-0.005	-0.003	-0.001	0.000	0.006
YBL096C	-0.001	-0.003	-0.003	0.001	-0.002	0.002	-0.003
YBL097W	-0.000	-0.001	-0.003	-0.004	-0.002	-0.001	-0.003
YBL098W	0.003	0.000	-0.000	-0.001	-0.000	-0.001	-0.003
YBL099W	-0.008	-0.008	-0.015	0.005	0.003	0.001	0.001
YBL100C	0.001	-0.001	-0.002	0.003	-0.000	0.001	0.004
YBL101C	0.001	0.002	0.001	0.003	-0.000	0.001	-0.001
YBL102W	-0.000	0.000	-0.001	0.001	-0.001	0.001	-0.002
YBL103C	-0.001	0.001	0.001	-0.001	-0.005	0.002	-0.001
YBL104C	0.002	0.002	-0.000	0.002	0.001	0.000	0.006
YBL105C	0.000	0.003	0.002	0.004	-0.000	0.001	-0.002
YBL106C	0.000	0.000	-0.000	0.002	-0.003	-0.000	0.001
YBL107C	0.001	0.001	-0.000	0.003	0.000	0.000	-0.001
YBR001C	0.001	0.001	-0.001	0.002	-0.001	0.002	-0.000
YBR002C	0.005	-0.003	-0.006	-0.009	0.001	0.000	-0.010
YBR003W	0.000	0.001	-0.001	0.001	-0.001	0.000	0.002
YBR004C	0.002	0.001	0.000	0.003	0.001	0.000	0.002
YBR005W	0.002	0.002	-0.001	0.003	0.000	0.001	0.001
YBR006W	-0.000	-0.001	-0.003	-0.002	0.000	-0.000	0.003
YBR007C	0.002	0.001	-0.001	0.003	-0.000	0.002	0.007
YBR008C	0.002	0.002	0.001	0.006	-0.001	-0.000	0.003
YBR009C	-0.002	-0.000	NaN	NaN	0.003	0.000	0.005
YBR010W	NaN	-0.001	NaN	NaN	0.002	-0.003	0.001
YBR011C	-0.001	0.000	-0.001	0.000	-0.001	0.000	-0.001
YBR012C	-0.000	0.000	-0.000	0.003	-0.002	-0.001	0.004
YBR013C	-0.001	-0.000	-0.003	-0.002	-0.001	0.000	0.004
YBR014C	NaN	-0.003	NaN	NaN	0.001	0.000	0.004
YBR015C	0.000	-0.000	-0.000	0.001	-0.001	0.002	0.009
YBR016W	0.002	0.002	0.002	0.007	-0.000	-0.001	0.004
YBR017C	-0.000	0.001	0.000	0.001	0.001	-0.000	0.002
YBR018C	-0.000	0.001	0.001	0.003	0.000	0.002	0.000
YBR019C	0.001	0.001	0.001	0.005	-0.001	0.001	0.006
YBR020W	-0.002	-0.002	-0.003	-0.004	0.001	-0.001	-0.003
YBR021W	-0.007	-0.008	-0.010	-0.006	-0.004	0.001	0.003
YBR022W	0.001	0.001	0.002	0.002	0.001	0.001	-0.001
YBR024W	0.000	0.001	0.001	0.002	-0.002	-0.001	0.001
YBR025C	0.000	0.001	-0.000	0.001	-0.001	-0.000	0.000
YBR026C	0.001	-0.000	-0.001	0.000	-0.001	-0.000	0.002
YBR027C	-0.002	0.002	0.002	0.002	-0.001	-0.000	0.005
YBR028C	-0.001	-0.000	-0.001	-0.002	-0.001	-0.001	-0.000
YBR029C	0.001	0.003	0.000	0.004	-0.002	0.005	0.016
YBR030W	-0.001	0.001	-0.001	0.002	-0.000	0.001	0.004
YBR031W	0.001	0.002	-0.000	0.002	0.000	0.001	0.001
YBR032W	-0.001	0.001	0.000	0.001	-0.001	0.001	0.001
YBR033W	-0.000	0.000	0.000	0.002	0.000	0.001	-0.002
YBR034C	0.000	-0.000	0.003	0.003	-0.000	0.001	0.001
YBR035C	0.003	-0.000	-0.001	0.003	-0.000	0.000	0.000
YBR036C	0.005	0.002	0.004	0.004	-0.001	-0.001	0.001
YBR037C	0.000	0.002	0.001	0.003	0.000	0.002	0.004
YBR038W	0.003	0.001	0.001	NaN	-0.000	-0.000	-0.011
YBR039W	-0.003	-0.001	-0.001	-0.001	0.000	-0.001	-0.001
YBR040W	-0.003	0.000	-0.000	-0.000	0.001	0.001	-0.004
YBR041W	0.000	0.000	0.001	0.005	-0.001	0.002	0.004
YBR042C	0.003	0.002	0.002	0.007	-0.001	-0.000	0.002
YBR043C	-0.001	0.001	0.001	0.001	-0.001	0.001	0.003
YBR044C	-0.000	0.001	-0.000	0.002	-0.000	0.001	-0.001
YBR045C	0.000	0.000	0.000	0.001	-0.001	-0.000	0.000
YBR046C	-0.000	0.001	0.001	0.003	-0.001	0.000	-0.003
YBR047W	0.000	-0.000	-0.001	0.001	0.001	0.001	-0.000
YBR048W	0.001	0.001	0.000	0.002	-0.001	-0.001	-0.005
YBR049C	0.004	0.000	0.003	0.003	0.000	0.001	-0.006
YBR050C	0.002	0.002	0.001	0.005	-0.000	0.001	0.001
YBR051W	0.001	0.002	0.004	0.004	-0.000	0.001	0.002
YBR052C	0.001	0.000	-0.002	0.000	0.001	-0.000	0.003
YBR053C	-0.001	0.001	-0.001	0.002	0.000	0.001	-0.003
YBR054W	0.000	0.001	0.000	0.001	-0.000	-0.000	-0.003
YBR055C	0.000	0.001	-0.000	0.003	0.000	-0.000	-0.004
YBR056W	-0.000	0.000	-0.000	0.001	-0.001	-0.000	-0.004
YBR057C	NaN	-0.001	-0.006	0.004	0.001	0.003	-0.002
YBR058C	0.002	0.001	-0.001	0.004	0.000	-0.000	0.003
YBR059C	-0.003	-0.005	-0.006	-0.006	-0.000	-0.003	-0.001
YBR060C	0.002	-0.000	-0.002	0.001	-0.001	0.001	-0.002
YBR061C	-0.009	-0.002	-0.004	0.004	0.003	0.000	0.001
YBR062C	0.001	0.001	0.002	0.003	0.000	-0.000	-0.002
YBR063C	0.000	0.001	0.001	0.002	-0.001	0.001	0.002
YBR064W	-0.004	-0.003	-0.004	-0.004	-0.002	-0.002	-0.004
YBR065C	-0.001	-0.002	-0.005	-0.008	0.000	-0.001	-0.003
YBR066C	0.000	0.000	-0.002	0.001	-0.000	-0.000	-0.000
YBR067C	0.001	0.000	-0.001	0.001	-0.001	0.001	0.001
YBR068C	0.001	-0.001	-0.001	0.003	-0.001	-0.000	-0.000
YBR069C	0.002	0.001	-0.000	0.005	-0.001	-0.002	0.003
YBR070C	-0.001	-0.001	-0.003	-0.001	-0.001	0.001	-0.000
YBR071W	-0.001	-0.000	-0.003	-0.001	-0.001	0.000	-0.001
YBR072W	-0.012	-0.008	-0.024	0.006	0.004	-0.001	-0.000
YBR073W	-0.000	-0.000	-0.002	0.001	0.001	0.001	0.003
YBR074W	0.001	0.001	-0.002	0.002	0.000	0.000	0.001
YBR076W	0.000	-0.000	-0.002	0.001	-0.001	0.000	0.001
YBR077C	0.002	0.002	0.000	0.005	-0.001	0.001	-0.002
YBR078W	0.002	-0.006	-0.005	-0.006	0.000	-0.005	-0.014
YBR079C	0.000	0.001	-0.002	0.000	-0.000	0.000	-0.001
YBR080C	0.002	0.001	0.001	0.003	0.001	0.002	0.001
YBR081C	-0.008	-0.004	-0.007	-0.004	-0.001	-0.001	-0.004
YBR082C	0.002	0.003	0.001	0.001	0.000	0.003	-0.003
YBR083W	0.000	0.001	0.000	0.001	0.000	0.000	0.001
YBR084C-A	0.000	-0.000	-0.000	-0.001	-0.001	-0.005	-0.007
YBR084W	0.003	0.002	0.002	0.003	0.000	0.000	-0.002
YBR085W	-0.010	-0.003	-0.003	0.018	0.003	0.001	-0.004
YBR086C	0.001	0.001	-0.002	0.000	0.002	-0.002	0.002
YBR087W	0.000	0.002	0.001	0.003	-0.000	0.001	-0.000
YBR088C	0.002	0.002	0.003	0.002	0.000	-0.000	-0.004
YBR089W	0.000	0.001	-0.001	0.002	-0.000	-0.001	-0.002
YBR090C	-0.002	-0.000	-0.001	-0.000	-0.001	-0.000	-0.001
YBR089C-A	NaN	NaN	NaN	0.005	0.007	-0.001	-0.003
YBR091C	0.003	0.001	0.005	0.002	-0.002	-0.022	-0.035
YBR092C	0.002	0.002	0.001	0.004	-0.000	-0.000	-0.001
YBR093C	0.000	0.002	-0.000	0.002	-0.001	0.000	-0.002
YBR094W	0.000	0.001	0.000	0.002	-0.000	-0.001	0.004
YBR095C	0.001	-0.010	-0.003	-0.005	0.001	-0.016	-0.021
YBR096W	0.001	0.001	-0.001	0.002	-0.002	0.001	-0.002
YBR098W	0.001	0.002	0.000	0.003	0.001	0.000	-0.001
YBR099C	0.001	0.002	-0.001	0.002	0.001	0.000	-0.001
YBR101C	0.004	NaN	0.001	NaN	0.003	-0.003	-0.011
YBR102C	0.001	0.001	0.001	0.002	0.001	-0.002	-0.003
YBR103W	-0.002	-0.004	-0.008	-0.002	-0.001	-0.012	-0.012
YBR104W	0.001	0.001	0.001	0.002	-0.000	-0.001	-0.003
YBR106W	0.000	0.000	0.000	0.001	-0.001	-0.005	-0.007
YBR107C	-0.001	0.000	-0.002	-0.001	-0.001	0.000	-0.000
YBR108W	-0.000	0.001	0.000	0.001	0.001	0.000	0.004
YBR109C	-0.001	0.003	-0.000	-0.001	0.001	-0.003	-0.011
YBR110W	0.000	0.001	0.001	0.003	-0.000	-0.002	0.005
YBR111C	0.003	0.003	0.002	0.002	-0.000	0.003	0.000
YBR112C	0.002	0.003	0.003	0.005	-0.002	-0.000	-0.006
YBR113W	-0.003	0.003	0.004	0.004	-0.002	-0.000	-0.002
YBR114W	-0.001	-0.000	0.001	-0.000	-0.000	0.000	0.005
YBR115C	0.002	0.001	0.002	0.004	0.008	0.001	0.002
YBR116C	0.004	0.002	0.003	0.007	-0.001	0.000	0.010
YBR117C	0.001	0.002	0.001	-0.001	-0.002	-0.001	0.000
YBR119W	-0.001	-0.002	0.006	0.002	-0.003	0.005	0.008
YBR120C	0.002	0.002	0.000	0.002	0.001	0.000	-0.005
YBR121C	-0.001	0.002	-0.001	0.002	0.001	-0.000	-0.003
YBR123C	-0.006	-0.007	-0.008	0.003	0.003	-0.004	-0.015
YBR124W	-0.000	-0.000	0.001	0.005	-0.001	-0.002	0.003
YBR125C	-0.002	0.001	-0.002	-0.003	-0.001	-0.008	-0.007
YBR126C	NaN	NaN	NaN	0.003	0.011	0.005	0.019
YBR127C	0.003	-0.002	0.002	0.003	-0.003	-0.001	0.003
YBR128C	-0.000	0.000	-0.000	0.001	0.001	0.000	-0.004
YBR129C	-0.000	-0.001	-0.002	-0.000	0.000	-0.000	-0.000
YBR130C	-0.000	0.001	-0.000	0.001	-0.000	-0.001	-0.002
YBR131W	0.001	0.002	0.002	0.002	0.001	0.000	-0.000
YBR132C	-0.000	0.001	0.001	0.002	-0.000	0.000	-0.003
YBR133C	0.001	-0.013	-0.008	-0.003	-0.001	-0.003	-0.018
YBR134W	0.002	0.002	-0.001	0.002	0.000	0.001	-0.004
YBR135W	-0.001	-0.002	-0.005	-0.003	0.001	-0.001	-0.004
YBR136W	0.001	0.001	-0.001	0.002	-0.001	-0.000	-0.000
YBR137W	0.001	0.001	-0.001	0.002	-0.000	-0.000	-0.002
YBR138C	0.002	0.002	-0.000	0.003	0.001	-0.000	-0.002
YBR139W	0.001	0.001	-0.000	0.002	0.001	-0.000	-0.001
YBR140C	-0.003	-0.000	-0.002	-0.011	0.003	-0.005	-0.008
YBR141C	0.000	0.001	-0.000	-0.000	0.001	0.000	-0.003
YBR142W	0.000	0.000	-0.001	0.001	-0.000	-0.001	0.001
YBR143C	0.002	0.001	0.001	0.004	-0.000	0.000	-0.003
YBR144C	0.001	0.001	-0.001	0.002	-0.001	-0.001	0.000
YBR145W	0.001	0.001	-0.001	0.001	0.000	-0.001	-0.002
YBR146W	0.003	0.001	0.002	0.005	-0.001	0.000	-0.002
YBR147W	0.004	0.003	0.000	0.004	0.000	0.000	0.000
YBR148W	0.002	0.002	0.001	0.002	0.001	0.001	0.008
YBR149W	-0.009	-0.008	-0.018	NaN	0.006	0.001	0.003
YBR150C	-0.000	0.001	-0.001	0.001	-0.001	-0.001	-0.002
YBR151W	0.001	0.001	0.001	0.003	-0.001	0.001	0.003
YBR152W	-0.008	-0.003	-0.007	0.004	0.003	0.000	-0.002
YBR153W	0.001	0.001	-0.000	0.002	0.000	-0.000	-0.001
YBR154C	0.003	-0.001	0.002	0.001	-0.000	-0.009	-0.035
YBR155W	0.000	0.001	-0.002	0.000	0.001	0.000	0.005
YBR156C	0.002	-0.004	0.000	-0.004	-0.002	-0.009	-0.026
YBR157C	0.000	0.001	-0.000	0.003	0.001	-0.000	-0.004
YBR158W	-0.001	0.001	-0.001	-0.001	0.003	-0.000	0.003
YBR159W	0.002	-0.001	-0.002	0.002	-0.003	-0.001	-0.001
YBR160W	0.001	0.001	0.001	0.011	0.004	0.001	0.009
YBR161W	0.000	0.001	0.000	0.002	0.000	0.000	-0.003
YBR162C	0.002	0.000	-0.001	0.003	0.001	-0.001	0.002
YBR162W-A	0.002	0.001	-0.000	0.003	0.000	0.000	0.000
YBR163W	0.002	0.002	0.001	0.004	-0.000	0.001	-0.003
YBR164C	-0.003	-0.003	-0.004	-0.004	-0.001	0.007	0.007
YBR165W	0.002	-0.001	0.001	0.001	-0.001	-0.002	0.001
