orf	het | growth (relative abundance in pooled culture) | glucose limitation, chemostat (glucose [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | phosphorus limitation, chemostat (phosphorus(.) [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.2/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.3/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, chemostat (culture dilution rate [0.3/h], minimal complete [standard]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, turbidostat (minimal complete [standard]) | Pir P~Oliver SG, 2012
YAL037W	-0.9248846581935553	-1.7838939542197403	-1.5682101714632772	-1.8681733565823253	0.8657254190629738	-1.827025568070553	-1.1541249048371212
YAL038W	-2.082197473257709	-1.0873276703247203	-1.0534757192952466	-1.9628875889883617	-0.28665335030060013	-0.4327671363561337	-0.6635462617449365
YAL039C	-0.6083923996152912	-0.593276618193291	-0.12882816782612128	0.8913224912009453	-0.06331329283850369	1.0445097998499722	0.009873032633058422
YAL040C	-0.08847357248155026	-1.8609609716800073	-0.5953998049634709	0.7558046751934406	1.1213985548955803	0.3644826233078069	-0.2645627350528945
YAL041W	-0.7582287734301116	-3.280915703286783	-2.225514175356655		5.398793004809478	0.5724924180381055	0.3717859659680705
YAL042W	-0.3050894422583999	-0.5753643592950057	-0.40442129231919854	-0.11421606110248297	-0.915147057051181	0.7354275289553711	0.6898505667550174
YAL043C	-2.466135530046813	-2.520709670133365	-3.7943305369949627	-2.3680243645409607	0.9943249440522706	-0.5535628354662916	1.6107888007973896
YAL044C			-0.8655689927714371		0.6370646287673112	-1.50129212728777	0.7033425060424362
YAL045C	-2.876699559483687	-5.835560924850154	0.8085856112513512	-1.7323440717053793	0.1255656527066376	-10.71206718673985	-5.991310664903496
YAL046C	-0.7514529085536865	-0.49582746319719906	-0.5140352286189495	-0.0012071711897519157	-0.027990169222556448	0.6341512593082534	-0.5092083696234722
YAL047C	-0.36246936849593214	-0.3324698770344976	-0.4162498405602562	-0.007857323298610192	2.3845456446582403	-0.3046269200519078	0.5338889162613056
YAL048C	-0.02550533795494691	-0.0838533836639246	0.08822490055219637	0.5111373634801566	0.3396942715207649	0.38215662750295604	-0.4068579883416281
YAL051W	-0.6572315099021562	-0.18444422555544368	-0.7436009926559465	-0.6052539548270401	-0.07206370097282443	-0.07886193653294557	0.12293967997145734
YAL053W	-1.1762043052332596	-0.4286348423352401	-0.32496762349941394	-0.5354299583183965	-0.6695223584096321	1.1386159861958722	1.1318333686168967
YAL054C	0.019454907737571123	-0.10035209244964227	0.00900459016485976	0.7297358370809213	-0.3367594010418843	0.05083726659371789	-0.2781266342788355
YAL055W	0.838511850215423	0.6213451276328699	0.5534283742668915	1.3329357115951221	-1.6156936362192138	-0.0404507734637117	0.6324014729866018
YAL056C-A	-0.13332787388061326	-0.10879206632452508	-0.01696565429933797	-0.13119097983488487	1.1875910830860772	0.22772000100662274	-0.6691654775455361
YAL056W	-0.44464935929949473	0.4049417389260358	0.02397557058651602	0.32060271817957225	1.713617267540407	-0.9167698416149601	-0.7026421096575657
YAL058W	-0.15702203564585593	-0.4251599424198022	-0.28680362173054025	0.5204865252226065	1.8344845302660127	-0.014537687541198219	-0.42599783420994547
YAL059W	0.0431227360090555	-0.4870621778561942	-0.33301492611597355	-0.05827689108845299	1.5512998819617518	0.3019541671909446	-0.40333514661496145
YAL060W	0.28831252858086537	-0.14440396449321086	-0.02800926840595976	0.44727740044765424	0.04951131960448653	0.08051984084405016	-0.9061926781437759
YAL061W	-0.8526874811791668	-0.7702283147050646	-0.5622746672977986	-0.1749492510715369	-0.3394095823684334	0.037757155835997654	-1.0701837696869947
YAL062W	-0.3755499182917082	-0.4858783277650346	-0.38485207083639583	0.1646766813919562	-0.09179598342232333	-0.4177187730029105	-0.32209022920761404
