ORF	hap alpha | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	het | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	hom | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits
YLR068W	-20.000	0.000	-16.000
YGR196C	-19.000	0.000	-21.000
YIL097W	-16.000	0.000	-15.000
YOR183W	-14.000	0.000	-23.000
YLR087C	-40.000	0.000	-25.000
YDR359C	-39.000	0.000	-36.000
YLR242C	-37.000	0.000	-23.000
YBR171W	-33.000	0.000	-44.000
YJL179W	-33.000	0.000	-17.000
YPR135W	-27.000	0.000	-12.000
YIL047C	-26.000	0.000	-45.000
YDL115C	-26.000	0.000	-10.000
YNL064C	-21.000	0.000	-30.000
YPR029C	-16.000	0.000	-17.000
YDR174W	-15.000	0.000	-9.000
YDR226W	-12.000	0.000	-27.000
