orf	hap alpha | growth (culture turbidity) | sulforaphane [200 ug/ml] | SC | Wilcox A~Austriaco N, 2020
YHR030C	-4.12220054260256
YHR038W	-4.12220054260256
YHR060W	-4.12220054260256
YHR064C	-4.12220054260256
YHR066W	-4.12220054260256
YHR067W	-4.12220054260256
YHR094C	-4.12220054260256
YHR183W	-4.12220054260256
YIL038C	-4.12220054260256
YIL039W	-4.12220054260256
YIL124W	-4.12220054260256
YIR026C	-4.12220054260256
YJL101C	-4.12220054260256
YJL121C	-4.12220054260256
YJL129C	-4.12220054260256
YJL176C	-4.12220054260256
YJL179W	-4.12220054260256
YJR032W	-4.12220054260256
YJR043C	-4.12220054260256
YJR049C	-4.12220054260256
YJR055W	-4.12220054260256
YJR060W	-4.12220054260256
YJR073C	-4.12220054260256
YJR074W	-4.12220054260256
YJR102C	-4.12220054260256
YJR104C	-4.12220054260256
YJR121W	-4.12220054260256
YJR139C	-4.12220054260256
YKL032C	-4.12220054260256
YKL054C	-4.12220054260256
YKL055C	-4.12220054260256
YKL119C	-4.12220054260256
YKL126W	-4.12220054260256
YKL155C	-4.12220054260256
YKL212W	-4.12220054260256
YKR001C	-4.12220054260256
YKR024C	-4.12220054260256
YKR052C	-4.12220054260256
YKR054C	-4.12220054260256
YLL002W	-4.12220054260256
YLR061W	-4.12220054260256
YLR079W	-4.12220054260256
YLR087C	-4.12220054260256
YLR114C	-4.12220054260256
YLR182W	-4.12220054260256
YLR315W	-4.12220054260256
YLR320W	-4.12220054260256
YLR357W	-4.12220054260256
YLR362W	-4.12220054260256
YLR372W	-4.12220054260256
YLR410W	-4.12220054260256
YLR417W	-4.12220054260256
YLR439W	-4.12220054260256
YML007W	-4.12220054260256
YML008C	-4.12220054260256
YML013W	-4.12220054260256
YML014W	-4.12220054260256
YML024W	-4.12220054260256
YML032C	-4.12220054260256
YML035C	-4.12220054260256
YML078W	-4.12220054260256
YML087C	-4.12220054260256
YML094W	-4.12220054260256
YML097C	-4.12220054260256
YML115C	-4.12220054260256
YML124C	-4.12220054260256
YMR038C	-4.12220054260256
YMR078C	-4.12220054260256
YMR091C	-4.12220054260256
YMR116C	-4.12220054260256
YMR123W	-4.12220054260256
YMR125W	-4.12220054260256
YMR202W	-4.12220054260256
YMR204C	-4.12220054260256
YMR205C	-4.12220054260256
YMR207C	-4.12220054260256
YMR223W	-4.12220054260256
YMR224C	-4.12220054260256
YMR304W	-4.12220054260256
YMR307W	-4.12220054260256
YMR312W	-4.12220054260256
YNL001W	-4.12220054260256
YNL064C	-4.12220054260256
YNL076W	-4.12220054260256
YNL078W	-4.12220054260256
YNL107W	-4.12220054260256
YNL148C	-4.12220054260256
YNL197C	-4.12220054260256
YNL199C	-4.12220054260256
YNL212W	-4.12220054260256
YNL241C	-4.12220054260256
YNL250W	-4.12220054260256
YNL252C	-4.12220054260256
YNL265C	-4.12220054260256
YNL280C	-4.12220054260256
YNL288W	-4.12220054260256
YNL298W	-4.12220054260256
YNL307C	-4.12220054260256
YNL315C	-4.12220054260256
YNL322C	-4.12220054260256
YNL323W	-4.12220054260256
YNL329C	-4.12220054260256
YNR010W	-4.12220054260256
YNR023W	-4.12220054260256
YNR052C	-4.12220054260256
YOL012C	-4.12220054260256
YOL018C	-4.12220054260256
YOL072W	-4.12220054260256
YOL081W	-4.12220054260256
YOL091W	-4.12220054260256
YOL125W	-4.12220054260256
YOL148C	-4.12220054260256
YOR002W	-4.12220054260256
YOR014W	-4.12220054260256
YOR039W	-4.12220054260256
YOR069W	-4.12220054260256
YOR106W	-4.12220054260256
YOR150W	-4.12220054260256
YOR196C	-4.12220054260256
YOR270C	-4.12220054260256
YOR322C	-4.12220054260256
YOR332W	-4.12220054260256
YOR349W	-4.12220054260256
YOR359W	-4.12220054260256
YPL002C	-4.12220054260256
YPL013C	-4.12220054260256
YPL017C	-4.12220054260256
YPL065W	-4.12220054260256
YPL069C	-4.12220054260256
YPL101W	-4.12220054260256
YPL118W	-4.12220054260256
YPL123C	-4.12220054260256
YPL129W	-4.12220054260256
YPL132W	-4.12220054260256
YPL161C	-4.12220054260256
YPL171C	-4.12220054260256
YPL241C	-4.12220054260256
YPL254W	-4.12220054260256
YPR043W	-4.12220054260256
YPR074C	-4.12220054260256
YPR120C	-4.12220054260256
YPR133W-A	-4.12220054260256
YPR135W	-4.12220054260256
YPR139C	-4.12220054260256
YPR145W	-4.12220054260256
YPR163C	-4.12220054260256
YPR173C	-4.12220054260256
