number,ORF name,Gene name,rDNA stability,rDNA copy number,Gel(Plate/Row/Colum),Replicative lifespan,Other chromosome abnormality,InputDate
"1751","YGR112W","SHY1","2","2","19-E-12","","","0000-00-00 00:00:00"
"1752","YGR118W","RPS23A","2","2","19-F-1","","","0000-00-00 00:00:00"
"1753","YGR121C","MEP1","2","2","19-F-2","","","0000-00-00 00:00:00"
"1754","YGR122W","YGR122W","2","2","19-F-3","","","0000-00-00 00:00:00"
"1755","YOR097C","YOR097C","2","2","19-F-4","","","0000-00-00 00:00:00"
"1756","YOR099W","KTR1","2","2","19-F-5","","","0000-00-00 00:00:00"
"1757","YOR100C","CRC1","2","2","19-F-6","increased[14]","","0000-00-00 00:00:00"
"1758","YOR101W","RAS1","3","2,2","19-F-7","increased[14],increased / normal[53]","","0000-00-00 00:00:00"
"1759","YOR104W","PIN2","2","2","19-F-8","","","0000-00-00 00:00:00"
"1760","YOR105W","YOR105W","3","2","19-F-9","","","0000-00-00 00:00:00"
"1761","YOR106W","VAM3","2","2","19-F-10","decreased[23]","","0000-00-00 00:00:00"
"1762","YOR107W","RGS2","2","2","19-F-11","increased[14]","","0000-00-00 00:00:00"
"1763","YOR108W","LEU9","2","2","19-F-12","","","0000-00-00 00:00:00"
"1764","YOR109W","INP53","2","2","19-G-1","increased[14],increased[20],increased[40]","","0000-00-00 00:00:00"
"1765","YOR111W","YOR111W","2","2","19-G-2","","","0000-00-00 00:00:00"
"1766","YOR112W","CEX1","3","2","19-G-3","","","0000-00-00 00:00:00"
"1767","YOR113W","AZF1","3","2","19-G-4","","","0000-00-00 00:00:00"
"1768","YOR114W","YOR114W","3","2","19-G-5","","","0000-00-00 00:00:00"
"1769","YOR115C","TRS33","2","2","19-G-6","","","0000-00-00 00:00:00"
"1770","YOR118W","RTC5","2","2","19-G-7","","","0000-00-00 00:00:00"
"1771","YOR120W","GCY1","2","2","19-G-8","","","0000-00-00 00:00:00"
"1772","YOR121C","YOR121C","2","2","19-G-9","","","0000-00-00 00:00:00"
"1773","YOR123C","LEO1","2","2","19-G-10","","","0000-00-00 00:00:00"
"1774","YOR124C","UBP2","3","2","19-G-11","","","0000-00-00 00:00:00"
"1775","YOR125C","CAT5","2","2","19-G-12","","","0000-00-00 00:00:00"
"1776","YOR126C","IAH1 ","3","2","19-H-1","","","0000-00-00 00:00:00"
"1777","YOR127W","RGA1","1","2","19-H-3","","","0000-00-00 00:00:00"
"1778","YOR129C","AFI1","2","2","19-H-4","","","0000-00-00 00:00:00"
"1779","YOR130C","ORT1","2","2","19-H-5","","","0000-00-00 00:00:00"
"1780","YOR131C","YOR131C","2","2","19-H-6","","","0000-00-00 00:00:00"
"1781","YOR132W","VPS17","2","2","19-H-7","","","0000-00-00 00:00:00"
"1782","YOR133W","EFT1","2","2","19-H-8","","","0000-00-00 00:00:00"
"1783","YOR134W","BAG7","3","2","19-H-9","","","0000-00-00 00:00:00"
"1784","YOR135C","IRC14","2","2","19-H-10","","","0000-00-00 00:00:00"
"1785","YOR136W","IDH2","2","2","19-H-11","increased[14],increased[20],increased[40],increased[45]","","0000-00-00 00:00:00"
"1786","YOR137C","SIA1","2","2","19-H-12","","","0000-00-00 00:00:00"
"1787","YOR138C","RUP1","2","2","20-A-1","","","0000-00-00 00:00:00"
"1788","YOR139C","YOR139C","2","2","20-A-2","","","0000-00-00 00:00:00"
"1789","YOR140W","SFL1","2","2,2","20-A-3","","","0000-00-00 00:00:00"
"1790","YOR141C","ARP8","3","2","20-A-4","","","0000-00-00 00:00:00"
"1791","YOR142W","LSC1","2","2","20-A-5","","","0000-00-00 00:00:00"
"1792","YOR144C","ELG1","3","2","20-A-6","","","0000-00-00 00:00:00"
"1793","YOR152C","YOR152C","2","2","20-A-7","","","0000-00-00 00:00:00"
"1794","YOR153W","PDR5","2","2","20-A-8","","","0000-00-00 00:00:00"
"1795","YOR154W","SLP1","2","2","20-A-9","","","0000-00-00 00:00:00"
"1796","YOR155C","ISN1","2","2","20-A-10","","","0000-00-00 00:00:00"
"1797","YOR156C","NFI1","2","2","20-A-11","","","0000-00-00 00:00:00"
"1798","YOR161C","PNS1","2","2","20-A-12","","","0000-00-00 00:00:00"
"1799","YOR162C","YRR1","3","2","20-B-1","","","0000-00-00 00:00:00"
"1800","YOR163W","DDP1","2","2","20-B-2","","2 Chr. 4","0000-00-00 00:00:00"
"1801","YOR164C","GET4","2","2","20-B-3","","","0000-00-00 00:00:00"
"1802","YOR165W","SEY1","3","2","20-B-4","","","0000-00-00 00:00:00"
"1803","YOR166C","SWT1","2","2","20-B-5","","","0000-00-00 00:00:00"
"1804","YOR167C","RPS28A","2","2","20-B-6","","","0000-00-00 00:00:00"
"1805","YOR170W","YOR170W","2","2","20-B-7","","","0000-00-00 00:00:00"
"1806","YOR171C","LCB4","2","2","20-B-9","decreased[23]","","0000-00-00 00:00:00"
"1807","YOR172W","YRM1","2","2","20-B-10","","","0000-00-00 00:00:00"
"1808","YOR173W","DCS2","3","2","20-B-11","","","0000-00-00 00:00:00"
"1809","YOR175C","ALE1","2","2","20-B-12","","","0000-00-00 00:00:00"
"1810","YOR177C","MPC54","2","2","20-C-1","","","0000-00-00 00:00:00"
"1811","YOR178C","GAC1","3","2","20-C-2","","","0000-00-00 00:00:00"
"1812","YOR182C","RPS30B","3","3","20-C-3","","","0000-00-00 00:00:00"
"1813","YOR183W","FYV12","3","3","20-C-4","","","0000-00-00 00:00:00"
"1814","YOR184W","SER1","2","2","20-C-5","","","0000-00-00 00:00:00"
"1815","YOR185C","GSP2","2","2","20-C-6","","","0000-00-00 00:00:00"
"1816","YOR186W","YOR186W","2","2","20-C-7","","","0000-00-00 00:00:00"
"1817","YOR187W","TUF1","2","2","20-C-8","","","0000-00-00 00:00:00"
"1818","YOR188W","MSB1","2","2","20-C-9","","","0000-00-00 00:00:00"
"1819","YOR189W","IES4","2","2","20-C-10","","","0000-00-00 00:00:00"
"1820","YOR190W","SPR1","2","2","20-C-11","","","0000-00-00 00:00:00"
"1821","YOR191W","ULS1","2","2","20-C-12","","","0000-00-00 00:00:00"
"1822","YOR192C","THI72","2","2","20-D-1","","","0000-00-00 00:00:00"
"1823","YOR193W","PEX27","3","2,3","20-D-2","","","0000-00-00 00:00:00"
"1824","YOR195W","SLK19","2","2","20-D-3","","","0000-00-00 00:00:00"
"1825","YOR196C","LIP5","2","2","20-D-4","","","0000-00-00 00:00:00"
"1826","YOR197W","MCA1","2","2","20-D-5","","","0000-00-00 00:00:00"
"1827","YOR198C","BFR1","2","2","20-D-6","","","0000-00-00 00:00:00"
"1828","YOR199W","YOR199W","2","2","20-D-7","","","0000-00-00 00:00:00"
"1829","YOR200W","YOR200W","2","2","20-D-8","","","0000-00-00 00:00:00"
"1830","YOR201C","MRM1","2","2","20-D-9","","","0000-00-00 00:00:00"
"1831","YOR202W","HIS3","2","2","20-D-10","","","0000-00-00 00:00:00"
"1832","YOR205C","GEP3","2","2","20-D-11","","","0000-00-00 00:00:00"
"1833","YOR208W","PTP2","2","2","20-D-12","","","0000-00-00 00:00:00"
"1834","YOR209C","NPT1","3","2","20-E-1","","","0000-00-00 00:00:00"
"1835","YOR211C","MGM1","2","2","20-E-2","","","0000-00-00 00:00:00"
"1836","YOR212W","STE4","3","2","20-E-3","","","0000-00-00 00:00:00"
"1837","YOR213C","SAS5","2","2","20-E-4","","","0000-00-00 00:00:00"
"1838","YOR214C","YOR214C","2","2","20-E-5","","","0000-00-00 00:00:00"
"1839","YOR215C","AIM41","2","2","20-E-6","","","0000-00-00 00:00:00"
"1840","YOR216C","RUD3","2","2","20-E-7","","","0000-00-00 00:00:00"
"1841","YOR219C","STE13","2","2","20-E-8","","","0000-00-00 00:00:00"
"1842","YOR220W","RCN2","2","2","20-E-9","","","0000-00-00 00:00:00"
"1843","YOR221C","MCT1","2","2","20-E-10","","","0000-00-00 00:00:00"
"1844","YOR222W","ODC2","2","2","20-E-11","","","0000-00-00 00:00:00"
"1845","YOR223W","YOR223W","2","2","20-E-12","","","0000-00-00 00:00:00"
"1846","YOR225W","YOR225W","2","2","20-F-1","","","0000-00-00 00:00:00"
"1847","YOR226C","ISU2","2","2","20-F-2","","","0000-00-00 00:00:00"
"1848","YOR227W","HER1","2","2","20-F-3","","","0000-00-00 00:00:00"
"1849","YOR228C","YOR228C","2","2","20-F-4","","","0000-00-00 00:00:00"
"1850","YOR229W","WTM2","2","2","20-F-5","","","0000-00-00 00:00:00"
"1851","YOR230W","WTM1","2","2","20-F-6","","","0000-00-00 00:00:00"
"1852","YOR231W","MKK1","2","2","20-F-7","","","0000-00-00 00:00:00"
"1853","YOR233W","KIN4","3","2","20-F-8","","","0000-00-00 00:00:00"
"1854","YOR234C","RPL33B","2","2","20-F-9","","","0000-00-00 00:00:00"
"1855","YOR235W","IRC13","3","2","20-F-10","","","0000-00-00 00:00:00"
"1856","YOR237W","HES1","2","2","20-F-11","decreased[49]","","0000-00-00 00:00:00"
"1857","YOR238W","YOR238W","2","2","20-F-12","","","0000-00-00 00:00:00"
"1858","YOR239W","ABP140","2","2","20-G-1","","","0000-00-00 00:00:00"
"1859","YOR240W","YOR240W","2","2","20-G-2","","","0000-00-00 00:00:00"
"1860","YOR241W","MET7","2","2","20-G-3","","","0000-00-00 00:00:00"
"1861","YOR242C","SSP2","2","2","20-G-4","","","0000-00-00 00:00:00"
"1862","YOR243C","PUS7","2","2","20-G-5","","","0000-00-00 00:00:00"
"1863","YOR245C","DGA1","2","2","20-G-6","","","0000-00-00 00:00:00"
"1864","YOR246C","ENV9","2","2","20-G-7","","","0000-00-00 00:00:00"
"1865","YOR247W","SRL1","2","2","20-G-8","","","0000-00-00 00:00:00"
"1866","YOR248W","YOR248W","3","2","20-G-9","","","0000-00-00 00:00:00"
"1867","YOR251C","TUM1","2","2","20-G-10","","","0000-00-00 00:00:00"
"1868","YOR252W","TMA16","2","2","20-G-11","","","0000-00-00 00:00:00"
"1869","YOR253W","NAT5","2","2","20-G-12","","","0000-00-00 00:00:00"
"1870","YOR255W","OSW1","2","2","20-H-1","","","0000-00-00 00:00:00"
"1871","YOR258W","HNT3","2","2","20-H-3","","","0000-00-00 00:00:00"
"1872","YOR263C","YOR263C","2","2","20-H-4","","","0000-00-00 00:00:00"
"1873","YOR264W","DSE3","2","2","20-H-5","","","0000-00-00 00:00:00"
"1874","YOR277C","YOR277C","2","2","20-H-6","","","0000-00-00 00:00:00"
"1875","YOR279C","RFM1","2","2,2","20-H-7","","","0000-00-00 00:00:00"
"1876","YOR280C","FSH3","2","2","20-H-8","","","0000-00-00 00:00:00"
"1877","YOR283W","YOR283W","2","2","20-H-9","","","0000-00-00 00:00:00"
"1878","YOR284W","HUA2","2","2","20-H-10","","","0000-00-00 00:00:00"
"1879","YOR285W","RDL1","2","2","20-H-11","","","0000-00-00 00:00:00"
"1880","YOR286W","RDL2","2","2","20-H-12","","","0000-00-00 00:00:00"
"1881","YOR288C","MPD1","2","2","21-A-1","","","0000-00-00 00:00:00"
"1882","YJL218W","YJL218W","2","2","21-A-2","","","0000-00-00 00:00:00"
"1883","YJL217W","REE1","2","2","21-A-3","","","0000-00-00 00:00:00"
"1884","YJL216C","IMA5","3","2","21-A-4","","","0000-00-00 00:00:00"
"1885","YJL215C","YJL215C","2","2","21-A-5","","","0000-00-00 00:00:00"
"1886","YJL214W","HXT8","2","2","21-A-6","","","0000-00-00 00:00:00"
"1887","YJL212C","OPT1","2","2,2","21-A-7","","","0000-00-00 00:00:00"
"1888","YJL210W","PEX2","2","2","21-A-8","","","0000-00-00 00:00:00"
"1889","YJL211C","YJL211C","2","2","21-A-9","","","0000-00-00 00:00:00"
"1890","YJL209W","CBP1","2","2","21-A-10","","","0000-00-00 00:00:00"
"1891","YJL208C","NUC1","2","2","21-A-11","","","0000-00-00 00:00:00"
"1892","YJL207C","LAA1","2","2","21-A-12","","","0000-00-00 00:00:00"
"1893","YJL206C","YJL206C","2","2","21-B-1","","","0000-00-00 00:00:00"
"1894","YJL206C-A","NCE101","2","2","21-B-2","","","0000-00-00 00:00:00"
"1895","YJL204C","RCY1","3","2","21-B-3","","","0000-00-00 00:00:00"
"1896","YJL201W","ECM25","2","2,3","21-B-4","","","0000-00-00 00:00:00"
"1897","YJL200C","ACO2","2","2","21-B-5","","","0000-00-00 00:00:00"
"1898","YJL199C","MBB1","2","2","21-B-6","","","0000-00-00 00:00:00"
"1899","YJL198W","PHO90","2","2","21-B-7","","","0000-00-00 00:00:00"
"1900","YJL197W","UBP12","2","2","21-B-8","","","0000-00-00 00:00:00"
"1901","YJL196C","ELO1","2","2","21-B-10","","","0000-00-00 00:00:00"
"1902","YJL193W","YJL193W","2","2","21-B-11","","","0000-00-00 00:00:00"
"1903","YJL192C","SOP4","2","2","21-B-12","","","0000-00-00 00:00:00"
"1904","YJL191W","RPS14B","2","2","21-C-1","","","0000-00-00 00:00:00"
"1905","YJL190C","RPS22A","2","2","21-C-2","","","0000-00-00 00:00:00"
"1906","YJL189W","RPL39","2","2","21-C-3","","","0000-00-00 00:00:00"
"1907","YJL188C","BUD19","2","2","21-C-4","","","0000-00-00 00:00:00"
"1908","YJL187C","SWE1","2","2","21-C-5","","","0000-00-00 00:00:00"
"1909","YJL186W","MNN5","2","2","21-C-6","","","0000-00-00 00:00:00"
"1910","YJL185C","ATG36","2","2","21-C-7","","","0000-00-00 00:00:00"
"1911","YJL183W","MNN11","2","2","21-C-8","","","0000-00-00 00:00:00"
"1912","YJL181W","YJL181W","2","2","21-C-9","","","0000-00-00 00:00:00"
"1913","YJL182C","YJL182C","3","2","21-C-10","","","0000-00-00 00:00:00"
"1914","YJL180C","ATP12","3","2","21-C-11","","","0000-00-00 00:00:00"
"1915","YJL179W","PFD1","2","2,2","21-C-12","","","0000-00-00 00:00:00"
"1916","YJL178C","ATG27","2","2","21-D-1","","","0000-00-00 00:00:00"
"1917","YJL176C","SWI3","2","2","21-D-2","","","0000-00-00 00:00:00"
"1918","YJL172W","CPS1","2","2,2","21-D-3","","","0000-00-00 00:00:00"
"1919","YJL171C","YJL171C","2","2","21-D-4","","","0000-00-00 00:00:00"
"1920","YJL170C","ASG7","2","2","21-D-5","","","0000-00-00 00:00:00"
"1921","YJL169W","YJL169W","2","2","21-D-6","","","0000-00-00 00:00:00"
"1922","YJL168C","SET2","2","2","21-D-7","","","0000-00-00 00:00:00"
"1923","YJL166W","QCR8","2","2","21-D-8","","","0000-00-00 00:00:00"
"1924","YJL165C","HAL5","2","2","21-D-9","","","0000-00-00 00:00:00"
"1925","YJL164C","TPK1","2","2","21-D-10","","","0000-00-00 00:00:00"
"1926","YJL163C","YJL163C","2","2","21-D-11","","","0000-00-00 00:00:00"
"1927","YJL162C","JJJ2","2","2","21-D-12","","","0000-00-00 00:00:00"
"1928","YJL161W","FMP33","2","2","21-E-1","","","0000-00-00 00:00:00"
"1929","YJL159W","HSP150","3","2,2","21-E-2","","","0000-00-00 00:00:00"
"1930","YJL158C","CIS3","2","2","21-E-3","","","0000-00-00 00:00:00"
"1931","YJL157C","FAR1","2","2","21-E-4","","","0000-00-00 00:00:00"
"1932","YJL155C","FBP26","2","2","21-E-5","","","0000-00-00 00:00:00"
"1933","YJL154C","VPS35","2","2","21-E-6","","","0000-00-00 00:00:00"
"1934","YJL153C","INO1","2","2","21-E-7","","","0000-00-00 00:00:00"
"1935","YJL152W","YJL152W","2","2","21-E-8","","","0000-00-00 00:00:00"
"1936","YJL151C","SNA3","2","2","21-E-9","","","0000-00-00 00:00:00"
"1937","YJL150W","YJL150W","2","2,2","21-E-10","","","0000-00-00 00:00:00"
