ORF	Gene	strain	CPT	T/C
YGL045W	RIM8	34413	316	0.93
YLR228C	ECM22	35137	317	0.93
YKL020C	SPT23	34869	318	0.93
YIR026C	YVH1	35961	319	0.93
YGL109W		34476	320	0.93
YBR075W		33212	321	0.93
YLR023C		31578	322	0.93
YPL236C		31056	323	0.93
YOL068C	HST1	31760	324	0.93
YOR034C	AKR2	31810	325	0.931
YGL110C	CUE3	34477	326	0.931
YHL017W		30946	327	0.931
YDR011W	SNQ2	33951	328	0.931
YFR049W	YMR31	35863	329	0.931
YHR163W	SOL3	32857	330	0.931
YNL157W		32055	331	0.931
YMR214W	SCJ1	30800	332	0.931
YOR219C	STE13	32475	333	0.931
YGL243W	TAD1	34610	334	0.932
YBR213W	MET8	33353	335	0.932
YFL044C		35665	336	0.932
YCR044C	PER1	35768	337	0.932
YDL203C		33901	338	0.932
YPL145C	KES1	32107	339	0.932
YOR091W		31867	340	0.932
YML058C-A		30514	341	0.932
YLR079W	SIC1	32690	342	0.932
YOL065C	INP54	31757	343	0.932
YIL017C	VID28	31410	344	0.933
YBL081W		33107	345	0.933
YDR209C		33568	346	0.933
YNL123W		32953	347	0.933
YLL029W		31517	348	0.934
YOL081W	IRA2	31772	349	0.934
YML032C	RAD52	30540	350	0.934
YLR429W	CRN1	36032	351	0.934
YDR401W		34237	352	0.934
YNL236W	SIN4	31976	353	0.934
YML041C	VPS71	36727	354	0.935
YNL283C	WSC2	31161	355	0.935
YIL072W	HOP1	31465	356	0.935
YEL011W	GLC3	36388	357	0.935
YBR270C		37168	358	0.935
YGL176C		34543	359	0.935
YOR041C		31817	360	0.935
YOR386W	PHR1	31683	361	0.935
YDR271C		33630	362	0.935
YDL033C		33729	363	0.936
YBL065W		33091	364	0.936
YJR131W	MNS1	36930	365	0.936
YLR064W		32675	366	0.936
YPR146C		35561	367	0.936
YDR350C	TCM10	34187	368	0.936
YBR134W		33273	369	0.936
YMR250W	GAD1	30835	370	0.936
YBR144C		33283	371	0.937
YLL032C		31520	372	0.937
YIL154C	IMP2'	32313	373	0.937
YHR142W	CHS7	32835	374	0.937
YEL065W	SIT1	30307	375	0.938
YFL056C	AAD6	35677	376	0.938
YOR366W		31663	377	0.938
YPR002W	PDH1	32829	378	0.938
YCL034W	LSB5	33441	379	0.938
YNL146W		32930	380	0.938
YPL208W		31084	381	0.938
YBL043W	ECM13	33069	382	0.938
YLL020C		31508	383	0.938
YPL025C		32803	384	0.938
YOR274W	MOD5	37332	385	0.938
YHR157W	REC104	32851	386	0.939
YMR182C	RGM1	30767	387	0.939
YIL155C	GUT2	32314	388	0.939
YJR083C	ACF4	32560	389	0.939
YBR206W		33346	390	0.939
YDL006W	PTC1	33702	391	0.939
YCR073W-A	SOL2	35794	392	0.939
YLR121C	YPS3	32732	393	0.939
YBL013W	FMT1	33039	394	0.94
YDR124W		34058	395	0.94
YOR010C	TIR2	31786	396	0.94
YKL034W	TUL1	34883	397	0.94
YLR417W	VPS36	35325	398	0.94
YNL100W		37236	399	0.94
YPL048W	CAM1	32780	400	0.94
YCL010C	SGF29	33418	401	0.94
YOR193W		32449	402	0.94
YLR003C		31558	403	0.941
YPL195W	APL5	31097	404	0.941
YJL186W	MNN5	31239	405	0.941
YBL075C	SSA3	33101	406	0.941
YHR135C	YCK1	31963	407	0.941
YER111C	SWI4	36109	408	0.941
YDR406W	PDR15	34242	409	0.941
YEL012W	UBC8	36577	410	0.941
YMR164C	MSS11	30747	411	0.941
YEL008W		30248	412	0.941
YHL021C		30942	413	0.941
YEL009C	GCN4	30249	414	0.941
YGL236C	MTO1	34603	415	0.941
YBR182C	SMP1	33322	416	0.941
YBR074W		33211	417	0.942
YOL047C		31738	418	0.942
YLR381W	CTF3	35290	419	0.942
YPL179W	PPQ1	32073	420	0.942
YHR204W	MNL1	32898	421	0.942
YNL219C	ALG9	31993	422	0.942
YIL044C	AGE2	31437	423	0.942
YCR086W	CSM1	35804	424	0.942
YJR146W		32624	425	0.942
YMR070W	MOT3	36203	426	0.942
YHR104W	GRE3	31932	427	0.942
YBR177C	EHT1	33317	428	0.943
YNL128W	TEP1	32948	429	0.943
YBR210W	ERV15	33350	430	0.943
YKL053C-A	MDM35	37311	431	0.943
YBR233W	PBP2	33373	432	0.943
YOR131C		32387	433	0.943
YMR087W		36222	434	0.943
YJR091C	JSN1	36903	435	0.943
YCR006C		33486	436	0.943
YLR107W	REX3	32718	437	0.944
YHR046C	INM1	31873	438	0.944
YJL218W		31207	439	0.944
YJR128W		32606	440	0.944
YJL065C		31359	441	0.944
YBL048W		33074	442	0.944
YJL190C	RPS22A	31235	443	0.944
YJR102C	VPS25	32580	444	0.944
YPL265W	DIP5	31027	445	0.945
YOR156C	NFI1	32412	446	0.945
YLR225C		34174	447	0.945
YNL105W		37238	448	0.945
YJL093C	TOK1	31330	449	0.945
YOR292C		31588	450	0.945
YCL025C	AGP1	33432	451	0.946
YPL177C	CUP9	32075	452	0.946
YFL040W		35661	453	0.946
YGL162W	SUT1	34529	454	0.946
YLR020C		31575	455	0.946
YMR053C	STB2	36187	456	0.946
YDL119C		33816	457	0.946
YPL155C	KIP2	32097	458	0.947
YDL231C	BRE4	33928	459	0.947
YML019W	OST6	30554	460	0.947
YNL145W	MFA2	32931	461	0.947
YHR095W		31923	462	0.947
YOR132W	VPS17	32388	463	0.947
YNR005C		35380	464	0.947
YLR043C	TRX1	32654	465	0.948
YOR024W		31800	466	0.948
YER164W	CHD1	36160	467	0.948
YLR181C	VTA1	34130	468	0.948
YBR105C	VID24	33244	469	0.948
YLR049C		32660	470	0.948
YBR262C		33402	471	0.948
YOR069W	VPS5	31845	472	0.948
YNL104C	LEU4	37237	473	0.948
YBR225W		33365	474	0.948
YNL135C	FPR1	32941	475	0.948
YCL044C		33451	476	0.948
YLR034C	SMF3	36432	477	0.949
YOR356W		31653	478	0.949
YER150W	SPI1	36147	479	0.949
YOR275C	RIM20	37333	480	0.949
YER072W	VTC1	30212	481	0.949
YOL004W	SIN3	31695	482	0.949
YBR226C		33366	483	0.949
YBR137W		33276	484	0.949
YDL131W	LYS21	33828	485	0.949
YGR134W	CAF130	36405	486	0.949
YNL130C	CPT1	37247	487	0.949
YCL002C		33410	488	0.949
YPL091W	GLR1	32737	489	0.95
YIL097W	FYV10	31488	490	0.95
YNL274C		36645	491	0.95
YDL125C	HNT1	33822	492	0.95
YDR513W	TTR1	34347	493	0.95
YGR240C	PFK1	35893	494	0.95
YPL189W	GUP2	36764	495	0.951
YHL027W	RIM101	30936	496	0.951
YMR199W	CLN1	30785	497	0.951
YBL057C	PTH2	33083	498	0.951
YGR243W		35896	499	0.951
YDL229W	SSB1	33926	500	0.951
YDR210W		33569	501	0.951
YLL039C	UBI4	31527	502	0.951
YBR173C	UMP1	33313	503	0.951
YLR308W	CDA2	35216	504	0.951
YLR286C	CTS1	36947	505	0.951
YBR021W	FUR4	33158	506	0.951
YOR258W	HNT3	32514	507	0.951
YBR216C	PSC1	33356	508	0.951
YMR238W	DFG5	30824	509	0.951
YER091C	MET6	36396	510	0.951
YBL066C	SEF1	33092	511	0.952
YML080W	DUS1	30490	512	0.952
YDR266C		33625	513	0.952
YJR097W		36909	514	0.952
YBR203W	COS111	33343	515	0.952
YNL276C		31168	516	0.952
YPL026C	SKS1	32802	517	0.952
YOR089C	VPS21	31865	518	0.952
YLR173W		34122	519	0.952
YLR454W		36057	520	0.952
YJR115W		32593	521	0.953
YLR217W		34166	522	0.953
YAR031W	PRM9	30422	523	0.953
YPL182C		32071	524	0.953
YGR018C		34648	525	0.953
YMR264W	CUE1	30850	526	0.953
YBR208C	"DUR1,2"	33348	527	0.953
YER175C	TMT1	36171	528	0.953
YGL151W	NUT1	34518	529	0.953
YPL066W		32762	530	0.953
YPL152W	RRD2	32100	531	0.953
YNL294C	RIM21	31150	532	0.953
YHR181W	SVP26	36420	533	0.953
YKL061W		34910	534	0.954
YDR474C		34308	535	0.954
YMR106C	YKU80	36546	536	0.954
YFL025C	BST1	35644	537	0.954
YNL187W		32025	538	0.954
YDR423C	CAD1	34259	539	0.954
YOR226C	ISU2	32482	540	0.954
YBR230C		33370	541	0.954
YOR092W	ECM3	31868	542	0.954
YAR020C	PAU7	30417	543	0.954
YPL064C	CWC27	32764	544	0.954
YER047C	SAP1	30182	545	0.954
YJR044C	VPS55	36842	546	0.954
YHL032C	GUT1	30931	547	0.954
