ORF	Gene	strain	CPT	T/C
YDL213C	NOP6	33911	1508	0.996
YBR047W		33184	1509	0.996
YJL199C	MBB1	31226	1510	0.996
YLL063C	AYT1	31551	1511	0.996
YLR090W	XDJ1	32701	1512	0.996
YPL119C	DBP1	32133	1513	0.996
YAL043C-A		30364	1514	0.996
YLR042C		32653	1515	0.996
YMR042W	ARG80	30618	1516	0.996
YAL018C		30390	1517	0.996
YBL079W	NUP170	33105	1518	0.996
YOR171C	LCB4	32427	1519	0.996
YBR022W		33159	1520	0.996
YPL088W		32740	1521	0.996
YOR376W		31673	1522	0.996
YER087C-A		30228	1523	0.996
YER034W		30166	1524	0.996
YLR416C		35324	1525	0.997
YMR003W		30578	1526	0.997
YFL031W	HAC1	35650	1527	0.997
YOR071C		31847	1528	0.997
YPR156C	TPO3	35571	1529	0.997
YIL088C	AVT7	31479	1530	0.997
YNL288W	CAF40	31156	1531	0.997
YJL052W	TDH1	31371	1532	0.997
YLR389C	STE23	35298	1533	0.997
YDR216W	ADR1	33575	1534	0.997
YGL180W	APG1	34547	1535	0.997
YDR043C	NRG1	33979	1536	0.997
YGR025W		34655	1537	0.997
YDR441C	APT2	34277	1538	0.997
YOR124C	UBP2	32380	1539	0.997
YJR038C		36836	1540	0.997
YNR074C		36233	1541	0.997
YLR456W		36059	1542	0.997
YDR360W		34197	1543	0.997
YJR080C		36898	1544	0.997
YPL184C		32068	1545	0.997
YMR119W	ASI1	37122	1546	0.997
YBR183W	YPC1	33323	1547	0.997
YKL161C		35011	1548	0.997
YIL173W	VTH1	32332	1549	0.997
YDR400W	URH1	34236	1550	0.997
YFR016C		35695	1551	0.997
YNR019W	ARE2	35394	1552	0.997
YPL249C	GYP5	31043	1553	0.997
YCR048W	ARE1	37185	1554	0.997
YBR043C	AQR2	33180	1555	0.997
YIL012W		31404	1556	0.997
YDR247W	VHS1	33606	1557	0.998
YJR010W	MET3	36808	1558	0.998
YHL040C	ARN1	30923	1559	0.998
YBR259W		33399	1560	0.998
YKR091W	SRL3	36007	1561	0.998
YGL131C	SNT2	34498	1562	0.998
YLL019C	KNS1	31507	1563	0.998
YEL071W	DLD3	30313	1564	0.998
YKR087C		36003	1565	0.998
YGR157W	CHO2	34787	1566	0.998
YFR026C		35706	1567	0.998
YER059W	PCL6	30195	1568	0.998
YJL133W	MRS3	31292	1569	0.998
YDL052C	SLC1	33749	1570	0.998
YDL180W		33878	1571	0.998
YBR269C		35717	1572	0.998
YCL039W	MOH2	33446	1573	0.998
YER174C	GRX4	36170	1574	0.998
YMR176W	ECM5	30761	1575	0.998
YEL025C	SRI1	30266	1576	0.998
YPL100W	MAI1	32152	1577	0.998
YDR249C		33608	1578	0.998
YJL071W	ARG2	31352	1579	0.998
YDL184C	RPL41A	33882	1580	0.998
YOL019W		31710	1581	0.998
YLR400W		35309	1582	0.998
YJL132W		37001	1583	0.998
YOL132W	GAS4	36282	1584	0.998
YPL164C	MLH3	32088	1585	0.998
YBR020W	GAL1	37345	1586	0.998
YPR195C		35610	1587	0.998
YLR262C-A		36023	1588	0.998
YLR185W	RPL37A	34134	1589	0.998
YCR065W	HCM1	35786	1590	0.998
YPR173C	VPS4	35588	1591	0.999
YDR289C	RTT103	33648	1592	0.999
YBR161W		33300	1593	0.999
YFL048C	EMP47	35669	1594	0.999
YDL123W	SNA4	33820	1595	0.999
YJL068C		31355	1596	0.999
YBR150C	TBS1	37165	1597	0.999
YPL109C		32143	1598	0.999
YGR242W		35895	1599	0.999
YEL056W	HAT2	30297	1600	0.999
YHL042W		30921	1601	0.999
YBR276C	PPS1	37171	1602	0.999
YOR315W		31612	1603	0.999
YDR295C	PLO2	33654	1604	0.999
YIL157C		32316	1605	0.999
YOR165W	SEY1	32421	1606	0.999
YNL031C	HHT2	35357	1607	0.999
YCR034W	FEN1	35763	1608	0.999
YMR135C	DCR1	36576	1609	0.999
YMR118C		37121	1610	0.999
YBR151W	APD1	33290	1611	0.999
YDR501W	PLM2	34335	1612	0.999
YJR108W	ABM1	32586	1613	0.999
YPL113C		32139	1614	0.999
YIR042C		35975	1615	1
YHR210C		32904	1616	1
YMR285C	NGL2	30871	1617	1
YAR023C		30418	1618	1
YOR008C-A		36672	1619	1
YOL061W	PRS5	31753	1620	1
YCL045C		33452	1621	1
YOR240W		32496	1622	1
YKL212W	SAC1	35062	1623	1
YPL006W	NCR1	32822	1624	1
YBR063C		33200	1625	1
YCR005C	CIT2	33485	1626	1
YNL286W	CUS2	31158	1627	1
YKL167C	MRP49	35017	1628	1
YLR380W	CSR1	35289	1629	1
YBL104C		33132	1630	1
YJR153W	PGU1	36941	1631	1
YOL082W	CVT19	31773	1632	1
YMR189W	GCV2	30774	1633	1
YCR098C	GIT1	35815	1634	1
YBL059W		33085	1635	1
YGR166W	KRE11	34796	1636	1
YGL165C		34532	1637	1
YDR112W		34046	1638	1
YPL084W	BRO1	32744	1639	1
YOR358W	HAP5	31655	1640	1
YLR150W	STM1	34107	1641	1
YFR017C		35696	1642	1
YPR059C		35478	1643	1
YER085C		30225	1644	1
YER143W	DDI1	36141	1645	1
YGL053W	PRM8	34420	1646	1
YJR117W	STE24	36920	1647	1
YOR223W		32479	1648	1
YGL196W		34563	1649	1
YMR031C		30607	1650	1
YNL233W	BNI4	31979	1651	1
YDL224C	WHI4	33922	1652	1
YJL216C		31209	1653	1.001
YOL137W	BSC6	36287	1654	1.001
YEL064C	AVT2	30306	1655	1.001
YMR167W	MLH1	30750	1656	1.001
YIL029C		31422	1657	1.001
YBR232C		36385	1658	1.001
YKL187C		35037	1659	1.001
YBR061C	TRM7	33198	1660	1.001
YBL095W		33121	1661	1.001
YDR111C		34045	1662	1.001
YHR195W	NVJ1	32889	1663	1.001
YJR047C	ANB1	36845	1664	1.001
YDR127W	ARO1	34061	1665	1.001
YMR077C	VPS20	36211	1666	1.001
YBL103C	RTG3	33131	1667	1.001
YDR330W		33689	1668	1.001
YEL030W	ECM10	30271	1669	1.001
YIL101C	XBP1	32260	1670	1.001
YPL121C	MEI5	32131	1671	1.001
YDR457W	TOM1	34291	1672	1.001
YMR086C-A		36220	1673	1.001
YOR138C		32394	1674	1.001
YLR414C		35322	1675	1.001
YNL070W	TOM7	37217	1676	1.001
YLL042C	APG10	31530	1677	1.001
YOR229W	WTM2	32485	1678	1.001
YNL144C		32932	1679	1.001
YLL026W	HSP104	31514	1680	1.001
YIL028W		31421	1681	1.001
YER088C	DOT6	36393	1682	1.001
YAL065C		30341	1683	1.001
YLR406C	RPL31B	36717	1684	1.001
YOR337W	TEA1	31634	1685	1.001
YNL206C	RTT106	32006	1686	1.001
YER065C	ICL1	30202	1687	1.001
YOL053W		31745	1688	1.001
YOL089C	HAL9	36239	1689	1.001
YIL070C	MAM33	31463	1690	1.001
YDR270W	CCC2	33629	1691	1.001
YOR357C	GRD19	31654	1692	1.001
YCR060W		37189	1693	1.002
YIR037W	HYR1	35972	1694	1.002
YDR515W	SLF1	37267	1695	1.002
YIL042C		31435	1696	1.002
YML062C	MFT1	30508	1697	1.002
YER084W		30224	1698	1.002
YJL107C		31316	1699	1.002
YER086W	ILV1	30226	1700	1.002
YLR035C	MLH2	36433	1701	1.002
YHR114W	BZZ1	31942	1702	1.002
YOR130C	ORT1	32386	1703	1.002
YOL007C		31698	1704	1.002
YDR277C	MTH1	33636	1705	1.002
YEL044W	IES6	30285	1706	1.002
YDR467C		34301	1707	1.002
YGL205W	POX1	34571	1708	1.002
YDR488C	PAC11	34322	1709	1.002
YOR285W		32541	1710	1.002
YLR144C	ACF2	34101	1711	1.002
YLL010C	PSR1	31498	1712	1.002
YJL077C	ICS3	31346	1713	1.002
YLR171W		34120	1714	1.002
YOL091W	SPO21	36241	1715	1.002
YMR251W-A	HOR7	30837	1716	1.002
YIL161W		32320	1717	1.002
YER031C	YPT31	36583	1718	1.002
YBL044W		33070	1719	1.002
YOR023C	AHC1	31799	1720	1.002
YHL046C		30917	1721	1.002
YGR019W	UGA1	34649	1722	1.002
YBL070C		33096	1723	1.002
YOR027W	STI1	31803	1724	1.002
YNL266W		31178	1725	1.003
YPL015C	HST2	32813	1726	1.003
YJR116W		36919	1727	1.003
YOR062C		31838	1728	1.003
YDL222C		33920	1729	1.003
YHR022C		30985	1730	1.003
YOL002C	PHO36	31693	1731	1.003
YLR120C	YPS1	32731	1732	1.003
YOR345C		31642	1733	1.003
YDL234C	GYP7	33931	1734	1.003
YPL215W	CBP3	31077	1735	1.003
YMR044W	IOC4	30620	1736	1.003
YDR508C	GNP1	34342	1737	1.003
YHR130C		31958	1738	1.003
YDR217C	RAD9	33576	1739	1.003
YEL059W		30301	1740	1.003
YMR025W	CSI1	30600	1741	1.003
YNL242W	APG2	31970	1742	1.003
YDR409W	SIZ1	34245	1743	1.003
YJL089W	SIP4	31334	1744	1.003
YBR093C	PHO5	33232	1745	1.003
YJR078W	BNA2	32556	1746	1.003
YGR250C		36999	1747	1.003
YOR005C	DNL4	31781	1748	1.003
YOL063C	MOR1	31755	1749	1.004
YLR335W	NUP2	35244	1750	1.004
YLR287C		35196	1751	1.004
YCR053W	THR4	37186	1752	1.004
YDR333C		33692	1753	1.004
YDL215C	GDH2	33913	1754	1.004
YAL060W	BDH1	30347	1755	1.004
YDR304C	CPR5	33663	1756	1.004
YOL058W	ARG1	31750	1757	1.004
YKL005C	BYE1	36942	1758	1.004
YIL145C	PAN6	32304	1759	1.004
YAR003W	SWD1	30408	1760	1.004
YHR160C	PEX18	32854	1761	1.004
YDR443C	SSN2	34279	1762	1.004
YOL075C		31766	1763	1.004
YGR087C	PDC6	34717	1764	1.004
YHR133C		31961	1765	1.004
YDR486C	VPS60	34320	1766	1.004
YNL142W	MEP2	37318	1767	1.004
YEL049W	PAU2	30290	1768	1.004
YAL059W	ECM1	30348	1769	1.004
YOR369C	RPS12	31666	1770	1.004
YPL036W	PMA2	37342	1771	1.004
YOL084W	PHM7	31775	1772	1.004
YNL195C		32017	1773	1.004
YOL083W		31774	1774	1.004
YKL184W	SPE1	35034	1775	1.004
YNL289W	PCL1	31155	1776	1.004
YDL200C	MGT1	33898	1777	1.004
YER176W	ECM32	36172	1778	1.004
YGL054C	ERV14	34421	1779	1.004
YER132C	PMD1	36131	1780	1.004
YPR121W	THI22	35536	1781	1.004
YOR297C	TIM18	31593	1782	1.004
YBR241C		33381	1783	1.004
YPR200C	ARR2	35615	1784	1.004
YJL079C	PRY1	31344	1785	1.005
YNR024W		35399	1786	1.005
YLR040C		36438	1787	1.005
YOR347C	PYK2	31644	1788	1.005
YLR344W	RPL26A	35253	1789	1.005
YMR110C		36550	1790	1.005
YKL070W		34919	1791	1.005
YJL148W	RPA34	31277	1792	1.005
YNL239W	LAP3	31973	1793	1.005
YPL220W	RPL1A	31072	1794	1.005
YNL094W	APP1	32982	1795	1.005
YNL338W		31106	1796	1.005
YPL264C		31028	1797	1.005
YEL015W	DCP3	30255	1798	1.005
YAL067C	SEO1	30339	1799	1.005
YDR534C	FIT1	34368	1800	1.005
YHR109W	CTM1	31937	1801	1.005
YLR449W	FPR4	36053	1802	1.005
YDL094C		33791	1803	1.005
YFR024C		37081	1804	1.005
YCR088W	ABP1	37199	1805	1.005
YPL060W	LPE10	32768	1806	1.005
YOR365C		31662	1807	1.005
YBR052C		33189	1808	1.005
YPL269W	KAR9	31023	1809	1.005
YCR011C	ADP1	33491	1810	1.005
YPR197C		35612	1811	1.005
YGR017W		34647	1812	1.005
YIL100W		32259	1813	1.005
YDR520C		34354	1814	1.005
YDR287W		33646	1815	1.005
YKL030W		36943	1816	1.005
YOR242C	SSP2	32498	1817	1.006
YJR009C	TDH2	36806	1818	1.006
YPL272C		31020	1819	1.006
YCL001W	RER1	33409	1820	1.006
YNL099C	OCA1	37235	1821	1.006
YDL183C		33881	1822	1.006
YPR005C	HAL1	32832	1823	1.006
YJL067W		31356	1824	1.006
YGL198W	YIP4	34565	1825	1.006
YKL029C	MAE1	34878	1826	1.006
YJL198W	PHO90	31227	1827	1.006
YNL001W	DOM34	35329	1828	1.006
YLR207W	HRD3	34156	1829	1.006
YBR299W	MAL32	37250	1830	1.006
YDL066W	IDP1	33763	1831	1.006
YOR298C-A	MBF1	36753	1832	1.006
YLR137W		34094	1833	1.006
YLR084C	RAX2	32695	1834	1.006
YMR011W	HXT2	30586	1835	1.006
YJR008W		36805	1836	1.006
YPL097W	MSY1	32155	1837	1.006
YPL137C		37344	1838	1.006
YMR062C	ECM40	36195	1839	1.006
YGR252W	GCN5	37285	1840	1.006
YCR091W	KIN82	35810	1841	1.006
YPL135W	ISU1	32117	1842	1.006
YKR088C	TVP38	36004	1843	1.006
YFL041W	FET5	35662	1844	1.006
YGR044C	RME1	34674	1845	1.006
YHR001W-A	QCR10	30964	1846	1.006
YPL133C	RDS2	32119	1847	1.006
YGR223C		35876	1848	1.006
YOR371C	GPB1	31668	1849	1.006
YLR415C		35323	1850	1.006
YJR125C	ENT3	36928	1851	1.007
YKL096W	CWP1	34945	1852	1.007
YNL200C		32012	1853	1.007
YOR222W	ODC2	32478	1854	1.007
YDR500C	RPL37B	37263	1855	1.007
YDR202C	RAV2	36970	1856	1.007
YMR244W		30830	1857	1.007
YJR149W		32627	1858	1.007
YOR112W		32368	1859	1.007
YOL029C		31720	1860	1.007
YKR077W		35993	1861	1.007
YIL117C	PRM5	32276	1862	1.007
YOL117W	RRI2	36267	1863	1.007
YPL001W	HAT1	32827	1864	1.007
YGL203C	KEX1	34570	1865	1.007
YDL099W		33796	1866	1.007
YAR028W		30420	1867	1.007
YJL217W		31208	1868	1.007
YJL053W	PEP8	31370	1869	1.007
YCL042W		33449	1870	1.007
YER117W	RPL23B	36115	1871	1.007
YJL160C		37009	1872	1.007
YGR283C		35935	1873	1.007
YGR015C		34645	1874	1.007
YNL111C	CYB5	37382	1875	1.007
YJR066W	TOR1	36864	1876	1.007
YJR134C	SGM1	36932	1877	1.007
YMR124W		36565	1878	1.007
YMR283C	RIT1	30869	1879	1.007
YGL217C		34583	1880	1.007
YJL201W	ECM25	31224	1881	1.007
YDR403W	DIT1	34239	1882	1.007
YIL158W		32317	1883	1.007
YKL216W	URA1	35066	1884	1.007
YPL138C	SPP1	32114	1885	1.007
YPL033C		32795	1886	1.007
YER038W-A		30171	1887	1.007
YPL147W	PXA1	32105	1888	1.008
YPL206C		31086	1889	1.008
YML071C	COG8	36484	1890	1.008
YPR192W	AQY1	35607	1891	1.008
YGL221C	NIF3	34587	1892	1.008
YPL127C	HHO1	32125	1893	1.008
YJR094C	IME1	36905	1894	1.008
YAL015C	NTG1	30393	1895	1.008
YBR159W		33298	1896	1.008
YLR214W	FRE1	34163	1897	1.008
YBR118W	TEF2	33257	1898	1.008
YGR238C	KEL2	36996	1899	1.008
YDL199C		33897	1900	1.008
YNL295W		31149	1901	1.008
YPL167C	REV3	32085	1902	1.008
YNL117W	MLS1	32959	1903	1.008
YDL190C	UFD2	33888	1904	1.008
YLR334C		36709	1905	1.008
YDR123C	INO2	34057	1906	1.008
YBR059C	AKL1	33196	1907	1.008
YDL216C	RRI1	33914	1908	1.008
YMR210W		30796	1909	1.008
YOL079W		31770	1910	1.008
YGL087C	MMS2	34454	1911	1.008
YPL247C		31045	1912	1.008
YML100W-A		36499	1913	1.008
YPL051W	ARL3	32777	1914	1.008
YOR017W	PET127	31793	1915	1.008
YPR118W		37405	1916	1.008
YPL116W	HOS3	32136	1917	1.008
YIL014W	MNT3	31406	1918	1.008
YHR094C	HXT1	31922	1919	1.008
YEL017C-A	PMP2	30257	1920	1.008
YNL009W	IDP3	35337	1921	1.008
YNL217W		31995	1922	1.008
YDR006C	SOK1	33946	1923	1.008
YMR140W	SIP5	30721	1924	1.008
YKL040C	NFU1	34889	1925	1.009
YPR140W		35555	1926	1.009
YDR058C	TGL2	36967	1927	1.009
YCR099C		35816	1928	1.009
YGR107W		34737	1929	1.009
YDR354W	TRP4	34191	1930	1.009
YNL293W	MSB3	31151	1931	1.009
YOR135C		32391	1932	1.009
YIL043C	CBR1	31436	1933	1.009
YBR220C		33360	1934	1.009
YJR014W		36812	1935	1.009
YNR008W	LRO1	35383	1936	1.009
YLR412W		35320	1937	1.009
YBR046C	ZTA1	33183	1938	1.009
YJR005W	APL1	36802	1939	1.009
YBR041W	FAT1	33178	1940	1.009
YAL036C	FUN11	30370	1941	1.009
YER115C	SPR6	36113	1942	1.009
YDL118W		33815	1943	1.009
YIR007W		32343	1944	1.009
YMR221C		30807	1945	1.009
YBL053W		33079	1946	1.009
YDR431W		34267	1947	1.009
YGR234W	YHB1	35887	1948	1.009
YMR173W	DDR48	36748	1949	1.009
YBR242W		33382	1950	1.009
YPL199C		31093	1951	1.009
YIR035C		35970	1952	1.009
YOR166C		32422	1953	1.009
YPL114W		32138	1954	1.009
YER068C-A		30208	1955	1.009
YEL072W	RMD6	30314	1956	1.009
YMR023C	MSS1	30598	1957	1.009
YLR133W	CKI1	34090	1958	1.009
YEL004W	YEA4	30244	1959	1.01
YMR306C-A		30896	1960	1.01
YNL253W	TEX1	31191	1961	1.01
YKL179C	COY1	35029	1962	1.01
YKR102W	FLO10	37106	1963	1.01
YIL001W		31393	1964	1.01
YBR092C	PHO3	33231	1965	1.01
YOR030W	DFG16	31806	1966	1.01
YER109C	FLO8	36107	1967	1.01
YNL255C	GIS2	31189	1968	1.01
YDR061W		33996	1969	1.01
YHR092C	HXT4	31920	1970	1.01
YHR127W		36623	1971	1.01
YNL010W		35338	1972	1.01
YPL230W		31062	1973	1.01
YDR506C		34340	1974	1.01
YGR109C	CLB6	34739	1975	1.01
YKL072W	STB6	34921	1976	1.01
YJL212C	OPT1	31213	1977	1.01
YPL049C	DIG1	32779	1978	1.01
YLR356W		35265	1979	1.01
YKR096W		37105	1980	1.01
YIR014W		32350	1981	1.01
YKR067W	GPT2	35983	1982	1.01
YCR101C		35818	1983	1.01
YHR080C		31908	1984	1.011
YMR017W	SPO20	30592	1985	1.011
YGL051W	MST27	34419	1986	1.011
YOR280C	FSH3	32536	1987	1.011
YMR163C		30746	1988	1.011
YER135C		36134	1989	1.011
YGL002W	ERP6	34370	1990	1.011
YOR208W	PTP2	32464	1991	1.011
YCR007C		33487	1992	1.011
YPL263C	KEL3	31029	1993	1.011
YCL056C		33463	1994	1.011
YKL166C	TPK3	35016	1995	1.011
YNL249C	MPA43	31195	1996	1.011
YOL043C	NTG2	31734	1997	1.011
YJL044C	GYP6	31379	1998	1.011
YLR138W	NHA1	34095	1999	1.011
YOR197W	MCA1	32453	2000	1.011
YER169W	RPH1	36165	2001	1.011
YEL020C		30261	2002	1.012
YER108C		36106	2003	1.012
YCL058C	FYV5	36877	2004	1.012
YJR069C	HAM1	36893	2005	1.012
YIL092W		31483	2006	1.012
YPR167C	MET16	35582	2007	1.012
YBR286W	APE3	35734	2008	1.012
YKR030W	GMH1	35101	2009	1.012
YJL187C	SWE1	31238	2010	1.012
YGR289C	MAL11	37294	2011	1.012
YDR312W	SSF2	33671	2012	1.012
YBR107C	IML3	33246	2013	1.012
YMR317W		36459	2014	1.012
YML076C	WAR1	36734	2015	1.012
YPL154C	PEP4	32098	2016	1.012
YGR152C	RSR1	34782	2017	1.012
YHR155W		32849	2018	1.012
YNL067W	RPL9B	37215	2019	1.012
YJR087W		36901	2020	1.012
YHR123W	EPT1	31951	2021	1.012
YLR082C	SRL2	32693	2022	1.012
YER128W		36127	2023	1.012
YNR032C-A	HUB1	36076	2024	1.012
YEL003W	GIM4	30243	2025	1.012
YJR026W		36824	2026	1.012
YOR375C	GDH1	31672	2027	1.012
YLR358C		36712	2028	1.012
YPL156C	PRM4	32096	2029	1.012
YBL091C	MAP2	33117	2030	1.012
YBR138C		33277	2031	1.012
YFL055W	AGP3	35676	2032	1.012
YJR019C	TES1	36817	2033	1.012
YCR102W-A		36963	2034	1.012
YMR316C-B		36457	2035	1.012
YDR505C	PSP1	34339	2036	1.012
YEL016C		30256	2037	1.012
YMR027W	HRT2	30602	2038	1.013
YGR003W		34633	2039	1.013
YOR029W		31805	2040	1.013
YDR517W	GRH1	34351	2041	1.013
YLR108C		32719	2042	1.013
YGR255C	COQ6	37287	2043	1.013
YER096W	SHC1	36402	2044	1.013
YDR149C		33507	2045	1.013
YGR084C	MRP13	34714	2046	1.013
YDR430C	CYM1	34266	2047	1.013
YJL106W	IME2	31317	2048	1.013
YHR028C	DAP2	30991	2049	1.013
YML009c	MRPL39	30567	2050	1.013
YLR365W		35274	2051	1.013
YMR161W	HLJ1	30744	2052	1.013
YMR090W		36225	2053	1.013
YBL027W	RPL19B	33053	2054	1.013
YDR336W		33695	2055	1.013
YPR150W		35565	2056	1.014
YDR377W	ATP17	34213	2057	1.014
YER119C-A		36118	2058	1.014
YCL038C	AUT4	36876	2059	1.014
YKL100C		34950	2060	1.014
YGR249W	MGA1	35902	2061	1.014
YKL010C	UFD4	34859	2062	1.014
YFL019C		37072	2063	1.014
YHR121W		31949	2064	1.014
YLR404W		35313	2065	1.014
YNL155W		32057	2066	1.014
YER163C		36159	2067	1.014
YAL027W		30381	2068	1.014
YKL062W	MSN4	34911	2069	1.014
YGL010W		34378	2070	1.014
YIL086C		31477	2071	1.014
YMR173W-A		30758	2072	1.014
YNL218W	MGS1	31994	2073	1.014
YOR346W	REV1	31643	2074	1.014
YGL161C	YIP5	34528	2075	1.014
YKL221W	MCH2	35070	2076	1.014
YOR054C	VHS3	31830	2077	1.014
YER044C-A	MEI4	30178	2078	1.014
YOR237W	HES1	32493	2079	1.014
YPL223C	GRE1	31069	2080	1.014
YPR193C	HPA2	35608	2081	1.014
YIR038C	GTT1	35973	2082	1.014
YHR030C	SLT2	30993	2083	1.014
YFR020W		35699	2084	1.014
YDR233C	RTN1	33592	2085	1.015
YOR109W	INP53	32365	2086	1.015
YCR019W	MAK32	33499	2087	1.015
YNL051W	COG5	37209	2088	1.015
YBL087C	RPL23A	33113	2089	1.015
YER158C		36155	2090	1.015
YJL083W		31340	2091	1.015
YAL046C		30359	2092	1.015
YHL023C	RMD11	30940	2093	1.015
YMR132C		36573	2094	1.015
YGR077C	PEX8	34707	2095	1.015
YML066C	SMA2	37113	2096	1.015
YIL164C	NIT1	32323	2097	1.015
YKR019C	IRS4	37042	2098	1.015
YKR026C	GCN3	35097	2099	1.015
YBR141C		33280	2100	1.015
YBL067C	UBP13	33093	2101	1.015
YNL307C	MCK1	31137	2102	1.015
YDR035W	ARO3	33974	2103	1.015
YJL118W		31306	2104	1.015
YJL196C	ELO1	37021	2105	1.015
YDR250C		33609	2106	1.015
YIL089W		31480	2107	1.015
YDL171C	GLT1	33869	2108	1.015
YJR124C		36927	2109	1.015
YPR201W	ARR3	35616	2110	1.015
YGL066W	SGF73	34433	2111	1.015
YBL082C	RHK1	33108	2112	1.015
YIR013C	GAT4	32349	2113	1.015
YDR163W	CWC15	33521	2114	1.015
YNL257C	SIP3	31187	2115	1.015
YJR004C	SAG1	36801	2116	1.015
YPL035C		32794	2117	1.016
YMR209C		36447	2118	1.016
YNL134C		32942	2119	1.016
YGR143W	SKN1	34773	2120	1.016
YDR283C	GCN2	33642	2121	1.016
YBR027C		33164	2122	1.016
YMR172C-A		30756	2123	1.016
YKL085W	MDH1	34934	2124	1.016
YBR032W		33169	2125	1.016
YOR248W		32504	2126	1.016
YJL016W		36784	2127	1.016
YPR153W		35568	2128	1.016
YGR124W	ASN2	34754	2129	1.016
YGR248W	SOL4	36998	2130	1.016
YGR127W		34757	2131	1.016
YIL139C	REV7	32298	2132	1.016
YLR011W	LOT6	31566	2133	1.016
YKR021W		35092	2134	1.016
YNL291C	MID1	31153	2135	1.016
YLR341W	SPO77	35250	2136	1.016
YBR077C		33214	2137	1.016
YER060W-A	FCY22	30197	2138	1.016
YLR187W		34136	2139	1.016
YJR053W	BFA1	36851	2140	1.016
YFR013W	IOC3	37207	2141	1.016
YHR006W	STP2	36603	2142	1.016
YER053C		30188	2143	1.016
YNL275W		31169	2144	1.016
YOR351C	MEK1	31648	2145	1.016
YMR158C-B		36070	2146	1.016
YNL082W	PMS1	37226	2147	1.016
YNL228W		31984	2148	1.016
YJL139C	YUR1	37004	2149	1.016
YKR059W	TIF1	35130	2150	1.017
YLR170C	APS1	34119	2151	1.017
YDR242W	AMD2	37256	2152	1.017
YJR137C	ECM17	32615	2153	1.017
YER030W		30162	2154	1.017
YLR279W		35188	2155	1.017
YGR292W	MAL12	37296	2156	1.017
YOL013W-A		36235	2157	1.017
YEL062W	NPR2	30304	2158	1.017
YGL108C		34475	2159	1.017
YIL015W	BAR1	31408	2160	1.017
YNL299W	TRF5	31145	2161	1.017
YLL061W	MMP1	31549	2162	1.017
YKL115C		37027	2163	1.017
YHR017W	YSC83	36411	2164	1.017
YDL039C	PRM7	33735	2165	1.017
YJL112W	MDV1	31311	2166	1.017
YGR208W	SER2	34838	2167	1.017
YBR033W	EDS1	33170	2168	1.017
YDR492W		34326	2169	1.017
YAL029C	MYO4	30379	2170	1.017
YCR030C	SYP1	37180	2171	1.017
YKL087C	CYT2	34936	2172	1.017
YGR295C	COS6	37297	2173	1.017
YOR155C	ISN1	32411	2174	1.017
YOR011W	AUS1	31787	2175	1.017
YOR167C	RPS28A	32423	2176	1.017
YMR258C		30844	2177	1.017
YOR271C		37329	2178	1.017
YBR255W		33395	2179	1.017
YOR334W	MRS2	31631	2180	1.017
YLR130C	ZRT2	34087	2181	1.017
YDL179W	PCL9	33877	2182	1.017
YJL152W		31273	2183	1.017
YER142C	MAG1	36140	2184	1.017
YDR223W		33582	2185	1.018
YCL014W	BUD3	33422	2186	1.018
YNR051C	BRE5	36078	2187	1.018
YMR020W	FMS1	30595	2188	1.018
YGL214W		34580	2189	1.018
YGL079W		34446	2190	1.018
YBL106C	SRO77	33134	2191	1.018
YCR106W	RDS1	35822	2192	1.018
YOL100W	PKH2	36250	2193	1.018
YGR026W		34656	2194	1.018
YOR059C		31835	2195	1.018
YHR057C	CPR2	31885	2196	1.018
YPL165C	SET6	32087	2197	1.018
YDR346C	SGI1	34183	2198	1.018
YOR360C	PDE2	31657	2199	1.018
YAL031C	FUN21	30377	2200	1.018
YIL114C	POR2	32273	2201	1.018
YMR255W	GFD1	30841	2202	1.018
YBR008C	FLR1	33143	2203	1.018
YBR248C	HIS7	33388	2204	1.018
YBR072W	HSP26	33209	2205	1.018
YBL068W	PRS4	33094	2206	1.018
YDR274C		33633	2207	1.018
YLR219W	MSC3	34168	2208	1.018
YLR194C		34143	2209	1.018
YHR156C	LIN1	32850	2210	1.018
YKR101W	SIR1	36017	2211	1.018
YKL026C	GPX1	34875	2212	1.018
YEL036C	ANP1	30277	2213	1.018
YPR172W		35587	2214	1.018
YMR071C	TVP18	36204	2215	1.018
YMR316W	DIA1	36458	2216	1.018
YHR048W		31875	2217	1.018
YGL033W	HOP2	34401	2218	1.018
YHL026C		30937	2219	1.018
YHR146W	CRP1	37089	2220	1.018
YLL001W	DNM1	31489	2221	1.019
YML005W		30571	2222	1.019
YDR395W	SXM1	34231	2223	1.019
YMR170C	ALD2	30753	2224	1.019
YGL255W	ZRT1	34622	2225	1.019
YGL232W		34599	2226	1.019
YBR218C	PYC2	33358	2227	1.019
YMR183C	SSO2	30768	2228	1.019
YGL089C	MF(ALPHA)2	34456	2229	1.019
YER177W	BMH1	36173	2230	1.019
YLR059C	REX2	32670	2231	1.019
YNL027W	CRZ1	35353	2232	1.019
YNL231C	PDR16	31981	2233	1.019
YJR039W		36837	2234	1.019
YBR130C	SHE3	33269	2235	1.019
YJL130C	URA2	31295	2236	1.019
YPL038W	MET31	32790	2237	1.019
YPL221W	BOP1	31071	2238	1.019
YJL134W	LCB3	31291	2239	1.019
YOR045W	TOM6	31821	2240	1.019
YFR030W	MET10	37085	2241	1.019
