ORF	hap a | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016
YBL039C	0.005	-0.004	0.029	0.001	0.005	-0.007
YBL040C	-0.011	-0.017	-0.036	0.006	-0.017	-0.035
YBL041W	0.021	0.056	-0.027	0.030	0.019	0.046
YBL042C	0.002	0.018	0.038	-0.013	0.004	0.001
YBL045C	-0.073	-0.032	-0.050	0.002	-0.010	0.012
YBL046W	0.005	-0.069	0.044	-0.110	-0.023	-0.050
YBL047C	NaN	0.033	NaN	0.031	NaN	NaN
YBL048W	0.002	0.022	0.030	0.002	0.005	0.014
YBL049W	0.032	-0.008	NaN	-0.008	NaN	-0.008
YBL050W	NaN	-0.014	NaN	-0.059	NaN	-0.001
YBL051C	-0.075	-0.017	-0.017	0.021	0.039	-0.011
YBL052C	NaN	-0.036	NaN	0.020	NaN	0.005
YBL053W	NaN	0.010	NaN	0.007	NaN	-0.010
YBL054W	NaN	0.015	NaN	-0.014	NaN	0.014
YBL055C	-0.006	-0.007	-0.014	0.008	-0.012	0.006
YBL056W	0.019	0.008	0.001	0.008	0.036	0.024
YBL057C	-0.010	0.021	NaN	-0.018	NaN	-0.016
YBL058W	NaN	NaN	NaN	NaN	NaN	NaN
YBL059W	0.024	0.014	0.027	-0.009	-0.164	0.023
YBL060W	NaN	0.018	NaN	0.018	NaN	-0.023
YBL061C	NaN	0.022	NaN	0.002	NaN	0.011
YBL062W	0.006	-0.029	NaN	-0.030	0.041	0.043
YBL063W	-0.014	-0.008	NaN	0.006	NaN	0.019
YBL064C	0.002	0.022	NaN	0.004	NaN	0.032
YBL065W	NaN	-0.083	NaN	-0.088	NaN	-0.070
YBL066C	0.050	0.020	-0.035	-0.025	0.023	-0.018
YBL067C	NaN	0.010	NaN	0.041	NaN	0.012
YBL068W	0.006	-0.017	NaN	-0.025	NaN	-0.020
YBL069W	0.040	0.042	0.032	NaN	0.019	0.011
YBL070C	NaN	-0.011	NaN	-0.016	NaN	-0.009
YBL071C	NaN	-0.006	NaN	-0.002	NaN	0.015
YBL071C-B	NaN	NaN	NaN	NaN	NaN	NaN
YBL071W-A	NaN	NaN	NaN	NaN	NaN	NaN
YBL072C	NaN	-0.009	NaN	-0.008	NaN	-0.127
YBL073W	NaN	-0.004	NaN	0.006	NaN	0.007
YBL074C	-0.027	-0.014	NaN	-0.002	NaN	-0.011
YBL075C	NaN	NaN	NaN	0.068	NaN	NaN
YBL076C	NaN	-0.011	NaN	-0.031	NaN	0.003
YBL077W	0.006	0.003	NaN	-0.011	NaN	-0.023
YBL078C	NaN	0.006	NaN	-0.001	NaN	0.007
YBL079W	NaN	0.008	NaN	-0.018	NaN	0.079
YBL080C	NaN	0.013	NaN	0.026	NaN	0.068
YBL081W	NaN	-0.002	NaN	-0.016	NaN	-0.024
YBL082C	-0.038	0.004	NaN	-0.024	NaN	-0.012
YBL083C	NaN	-0.014	NaN	0.027	NaN	0.020
YBL084C	-0.018	-0.014	NaN	-0.003	NaN	0.009
YBL085W	NaN	-0.001	NaN	0.003	NaN	-0.012
YBL086C	NaN	-0.081	NaN	0.037	NaN	0.008
YBL087C	NaN	-0.022	NaN	-0.008	NaN	-0.036
YBL088C	0.028	-0.013	NaN	-0.035	NaN	0.062
YBL089W	NaN	-0.006	NaN	0.012	NaN	0.008
YBL090W	NaN	-0.000	NaN	-0.025	NaN	-0.013
YBL091C	NaN	NaN	NaN	NaN	NaN	NaN
YBL091C-A	0.016	0.000	-0.017	-0.099	0.023	0.047
YBL092W	-0.001	0.006	-0.026	0.097	-0.044	-0.012
YBL093C	NaN	-0.009	NaN	-0.061	NaN	-0.063
YBL094C	NaN	0.009	NaN	-0.009	NaN	-0.013
YBL095W	NaN	-0.005	NaN	0.033	NaN	0.063
YBL096C	0.007	-0.009	-0.001	-0.003	-0.003	-0.029
YBL097W	NaN	-0.016	NaN	0.020	NaN	-0.014
YBL098W	-0.002	0.005	0.002	0.011	-0.026	-0.020
YBL099W	NaN	-0.022	NaN	0.018	NaN	-0.006
YBL100C	NaN	-0.007	NaN	0.006	NaN	-0.077
YBL101C	-0.022	0.000	NaN	-0.026	NaN	0.002
YBL102W	0.002	0.001	-0.100	0.004	-0.077	-0.001
YBL103C	NaN	-0.012	-0.073	0.002	-0.010	-0.063
YBL104C	0.034	-0.006	-0.089	0.001	0.028	-0.014
YBL105C	0.026	-0.002	-0.040	0.023	0.001	0.000
YBL106C	-0.000	-0.007	0.021	-0.008	-0.009	0.030
YBL107C	-0.008	-0.014	0.020	-0.009	-0.006	-0.017
YBR001C	-0.013	-0.014	-0.000	-0.014	-0.022	-0.012
YBR002C	NaN	-0.032	NaN	-0.034	NaN	-0.043
YBR003W	-0.034	0.001	-0.030	0.041	-0.026	0.041
YBR005W	0.005	-0.002	0.013	-0.006	0.003	0.010
YBR006W	0.008	0.014	0.034	0.033	0.022	0.047
YBR007C	0.004	0.001	-0.033	-0.042	-0.016	-0.058
YBR008C	0.012	0.007	0.015	-0.016	0.004	-0.030
YBR009C	NaN	-0.032	NaN	0.043	NaN	-0.004
YBR010W	NaN	-0.050	NaN	0.022	NaN	-0.001
YBR011C	NaN	-0.003	NaN	-0.014	NaN	-0.000
YBR012C	0.016	0.002	0.001	-0.011	0.014	-0.009
YBR013C	0.008	0.015	0.009	0.004	0.022	0.031
YBR015C	-0.067	0.014	-0.193	0.060	-0.090	-0.004
YBR016W	NaN	NaN	NaN	NaN	NaN	NaN
YBR017C	NaN	0.013	NaN	0.011	NaN	0.001
YBR018C	0.003	-0.021	0.007	-0.017	-0.015	-0.010
YBR019C	0.024	0.011	0.002	0.006	-0.023	-0.014
YBR020W	NaN	NaN	NaN	NaN	NaN	NaN
YBR021W	0.003	-0.012	-0.049	-0.032	-0.000	-0.031
YBR022W	-0.016	0.008	0.027	-0.021	-0.004	-0.020
YBR024W	-0.003	-0.022	0.013	-0.025	-0.041	-0.018
YBR025C	-0.033	-0.013	-0.051	-0.032	-0.078	-0.023
YBR026C	NaN	0.006	0.005	0.060	NaN	0.009
YBR027C	0.038	0.010	0.007	0.018	0.065	0.048
YBR028C	-0.026	-0.040	-0.037	-0.014	-0.028	0.006
YBR029C	NaN	-0.020	NaN	0.011	NaN	-0.037
YBR030W	0.017	0.018	0.022	-0.023	-0.048	-0.018
YBR031W	0.005	0.006	0.015	0.033	-0.032	-0.005
YBR032W	0.012	0.007	0.002	-0.010	0.007	-0.005
YBR033W	0.008	0.001	0.009	-0.017	0.006	0.027
YBR034C	-0.008	-0.004	-0.006	-0.037	-0.082	-0.071
YBR036C	0.016	0.027	0.032	0.031	0.022	0.004
YBR037C	-0.077	-0.018	0.002	-0.012	0.007	-0.014
YBR038W	NaN	NaN	NaN	NaN	NaN	NaN
YBR039W	0.010	-0.002	NaN	0.018	NaN	-0.016
YBR040W	0.001	-0.007	0.020	0.005	0.026	0.029
YBR041W	0.024	0.008	-0.004	0.017	-0.053	-0.006
YBR042C	-0.107	-0.007	-0.093	-0.004	-0.019	-0.039
YBR043C	-0.002	-0.021	-0.002	-0.014	-0.014	-0.022
YBR044C	0.051	0.007	-0.002	0.010	NaN	-0.005
YBR045C	0.011	-0.009	-0.001	-0.032	0.014	-0.008
YBR046C	-0.004	0.005	0.033	0.020	0.011	0.007
YBR047W	-0.009	0.002	0.002	-0.034	-0.008	-0.011
YBR048W	0.005	0.001	-0.019	-0.032	0.002	-0.110
YBR049C	NaN	0.016	NaN	0.048	NaN	-0.006
YBR050C	0.003	-0.011	0.034	0.018	0.016	-0.011
YBR051W	-0.010	-0.007	0.022	-0.017	-0.001	-0.028
YBR052C	NaN	NaN	0.025	0.060	NaN	NaN
YBR053C	0.006	0.001	NaN	-0.029	NaN	0.012
YBR054W	0.001	-0.013	0.021	0.007	0.001	0.003
YBR055C	-0.190	0.005	0.091	-0.008	-0.106	0.003
YBR056W	NaN	-0.014	NaN	0.014	NaN	-0.008
YBR056W-A	NaN	NaN	NaN	NaN	NaN	NaN
YBR057C	NaN	-0.051	NaN	-0.021	NaN	0.009
YBR058C	0.035	-0.005	-0.027	-0.033	0.033	0.005
YBR058C-A	NaN	NaN	NaN	NaN	NaN	NaN
YBR059C	0.009	-0.006	-0.054	0.040	0.010	-0.006
YBR060C	0.008	0.024	-0.012	0.069	0.002	0.017
YBR061C	NaN	-0.046	NaN	0.016	NaN	0.012
YBR062C	-0.001	0.002	-0.006	-0.003	0.003	-0.021
YBR063C	0.007	-0.018	-0.008	0.004	0.018	0.030
YBR064W	-0.003	0.006	0.001	-0.027	-0.016	0.060
YBR065C	-0.029	-0.009	0.003	0.016	-0.012	0.026
YBR066C	-0.023	-0.012	-0.031	-0.011	-0.028	-0.013
YBR067C	0.028	0.015	0.039	-0.011	-0.008	0.006
YBR068C	0.002	0.000	0.002	-0.005	-0.000	-0.024
YBR069C	0.030	0.011	0.018	0.014	0.004	-0.040
YBR070C	0.002	-0.003	0.009	-0.006	-0.007	-0.009
YBR071W	0.000	0.004	-0.001	-0.007	0.037	0.006
YBR072C-A	NaN	NaN	NaN	NaN	NaN	NaN
YBR072W	NaN	-0.031	NaN	0.040	NaN	0.012
YBR073W	0.008	-0.019	-0.006	-0.021	-0.041	-0.035
YBR074W	NaN	0.006	NaN	0.009	NaN	0.008
YBR076W	-0.003	-0.012	0.015	-0.014	-0.023	-0.012
YBR077C	NaN	0.016	NaN	0.011	NaN	-0.048
YBR078W	0.002	NaN	-0.033	NaN	0.016	NaN
YBR079C	-0.154	-0.000	0.071	0.004	-0.132	-0.035
YBR080C	0.002	-0.034	-0.024	-0.015	0.005	-0.033
YBR081C	-0.002	-0.007	0.093	0.073	-0.005	-0.059
YBR082C	0.028	0.029	-0.047	0.009	0.058	0.016
YBR083W	-0.016	0.006	0.038	-0.022	-0.007	-0.009
YBR084C-A	0.019	-0.007	-0.036	0.015	0.028	0.068
YBR084W	-0.038	0.007	-0.002	0.008	-0.063	-0.029
YBR085C-A	NaN	NaN	NaN	NaN	NaN	NaN
YBR085W	NaN	-0.040	NaN	-0.002	NaN	0.005
YBR086C	-0.104	-0.031	0.008	-0.015	-0.073	-0.021
YBR087W	0.017	0.006	-0.013	0.001	0.003	-0.019
YBR088C	-0.007	0.000	NaN	-0.006	NaN	-0.002
YBR089W	0.031	0.002	NaN	-0.001	NaN	0.005
YBR090C	0.010	-0.000	0.006	-0.020	0.044	-0.040
YBR091C	-0.177	-0.002	0.107	0.133	-0.105	-0.061
YBR092C	0.015	0.015	0.010	-0.007	0.027	-0.004
YBR093C	-0.014	-0.008	0.009	-0.013	-0.019	-0.006
YBR094W	-0.006	-0.022	-0.013	-0.002	-0.058	0.011
YBR095C	-0.032	0.002	-0.115	-0.051	0.007	0.051
YBR096W	0.005	0.003	0.008	-0.014	-0.004	0.005
YBR097W	-0.015	0.006	-0.019	0.020	-0.033	0.009
YBR098W	-0.029	0.004	-0.036	0.020	-0.018	-0.028
YBR099C	-0.024	-0.001	-0.029	-0.007	0.003	-0.018
YBR101C	NaN	NaN	NaN	NaN	NaN	NaN
YBR102C	NaN	NaN	NaN	0.047	NaN	NaN
YBR103W	-0.108	-0.013	-0.031	-0.013	0.075	0.031
YBR104W	-0.009	0.008	0.006	-0.028	0.005	-0.019
YBR105C	NaN	NaN	NaN	NaN	NaN	NaN
YBR106W	0.032	0.008	-0.039	-0.017	-0.027	-0.049
YBR107C	-0.152	0.030	0.006	0.014	0.011	0.010
YBR108W	NaN	NaN	NaN	NaN	NaN	NaN
YBR109C	0.052	-0.005	-0.070	-0.071	-0.224	-0.125
YBR110W	NaN	NaN	NaN	-0.013	NaN	NaN
YBR111C	NaN	0.030	NaN	0.097	NaN	0.008
YBR111W-A	NaN	NaN	NaN	NaN	NaN	NaN
YBR112C	-0.028	-0.056	0.061	-0.057	-0.062	-0.063
YBR113W	0.089	-0.040	-0.125	0.001	0.040	0.021
YBR114W	0.070	0.032	0.036	0.012	0.019	0.027
YBR115C	NaN	0.022	NaN	0.029	NaN	0.009
YBR116C	0.061	0.011	0.032	0.021	0.017	-0.017
YBR117C	-0.092	0.004	0.032	0.019	-0.048	-0.030
YBR118W	-0.026	-0.028	-0.133	-0.032	-0.014	-0.025
YBR119W	-0.292	-0.115	-0.154	-0.114	-0.153	-0.138
YBR120C	-0.057	0.026	-0.053	0.004	0.000	0.000
YBR121C	NaN	NaN	NaN	NaN	NaN	NaN
YBR123C	NaN	-0.037	NaN	0.026	NaN	-0.006
YBR124W	-0.177	0.007	0.101	-0.024	-0.132	-0.089
YBR125C	-0.005	0.018	NaN	-0.001	NaN	0.059
YBR126C	NaN	NaN	NaN	0.099	NaN	NaN
YBR127C	0.064	0.044	0.067	0.073	0.020	0.049
YBR128C	-0.002	0.020	0.020	0.002	0.033	0.012
YBR129C	-0.012	0.005	0.011	0.066	-0.020	0.001
YBR130C	0.006	0.001	0.015	0.023	0.020	0.011
YBR132C	-0.001	-0.001	0.006	0.007	0.018	0.010
YBR133C	NaN	0.073	NaN	0.001	NaN	-0.019
YBR134W	0.055	0.008	-0.047	-0.022	0.048	-0.024
YBR135W	-0.023	0.004	-0.008	-0.025	0.009	0.050
YBR136W	-0.151	0.011	-0.199	0.003	-0.227	-0.032
YBR137W	0.011	0.005	0.002	-0.003	0.001	-0.025
YBR138C	0.018	0.009	0.036	0.028	0.078	0.017
YBR139W	-0.008	0.007	0.004	-0.035	-0.030	-0.018
YBR140C	NaN	-0.013	NaN	-0.009	NaN	0.037
YBR141C	-0.007	0.008	0.007	-0.009	0.038	0.009
YBR142W	0.024	0.022	NaN	0.012	NaN	0.026
YBR143C	NaN	0.042	NaN	0.032	NaN	0.045
YBR144C	0.014	-0.001	0.024	-0.002	0.018	0.002
YBR145W	-0.004	-0.005	-0.001	-0.031	-0.013	-0.019
YBR146W	-0.029	-0.002	NaN	-0.007	NaN	-0.117
YBR147W	0.009	0.007	0.006	-0.007	0.011	-0.009
YBR148W	NaN	0.025	NaN	0.031	NaN	0.016
YBR149W	NaN	-0.013	NaN	-0.006	NaN	0.005
YBR150C	-0.004	-0.003	-0.028	0.001	-0.021	-0.017
YBR151W	0.041	-0.001	0.006	-0.007	-0.031	-0.043
YBR152W	NaN	-0.040	NaN	0.029	NaN	-0.005
YBR153W	NaN	0.014	NaN	-0.016	NaN	-0.022
YBR154C	NaN	-0.042	NaN	0.035	NaN	-0.030
YBR155W	0.016	0.002	NaN	0.004	NaN	-0.002
YBR156C	0.004	NaN	0.003	NaN	NaN	NaN
YBR157C	NaN	NaN	NaN	NaN	NaN	NaN
YBR158W	-0.015	0.003	0.001	0.006	-0.025	-0.006
YBR160W	-0.072	0.027	0.004	0.027	-0.024	0.048
YBR161W	-0.004	0.094	0.007	NaN	0.017	0.032
YBR162W-A	-0.007	0.000	0.020	-0.003	-0.090	-0.015
YBR163W	-0.001	-0.002	-0.004	-0.018	0.015	-0.042
YBR164C	NaN	NaN	NaN	NaN	NaN	NaN
YBR165W	0.050	-0.000	0.045	-0.100	-0.014	0.002
YBR166C	-0.013	-0.052	-0.097	0.014	-0.053	-0.035
YBR167C	-0.004	-0.003	-0.037	-0.005	0.002	-0.006
YBR168W	-0.045	-0.019	-0.062	-0.004	-0.018	0.018
YBR169C	-0.004	0.011	0.030	0.023	0.015	0.025
YBR170C	-0.178	0.002	0.106	-0.001	-0.111	0.031
YBR171W	0.013	0.035	0.028	0.024	0.061	0.020
YBR172C	0.002	0.006	0.060	0.050	0.032	-0.000
YBR173C	NaN	0.052	NaN	0.036	NaN	0.035
YBR174C	-0.112	0.022	-0.164	-0.005	-0.140	-0.036
YBR175W	-0.120	0.024	-0.121	-0.035	-0.138	0.035
YBR176W	0.019	0.004	0.014	0.008	-0.002	-0.009
YBR177C	0.012	0.006	-0.012	-0.012	-0.009	-0.038
YBR178W	0.001	-0.008	-0.034	-0.007	-0.032	0.015
YBR179C	-0.113	0.008	0.082	0.013	-0.055	-0.019
YBR180W	0.001	-0.012	0.007	0.002	-0.001	-0.008
YBR181C	NaN	-0.020	NaN	0.003	NaN	-0.017
YBR182C	NaN	-0.011	NaN	-0.012	NaN	-0.015
YBR182C-A	NaN	NaN	NaN	NaN	NaN	NaN
YBR183W	0.014	0.016	0.035	0.034	0.012	-0.015
YBR184W	NaN	-0.026	NaN	-0.004	NaN	-0.016
YBR185C	NaN	-0.055	NaN	0.007	NaN	-0.022
YBR186W	0.010	-0.005	0.004	-0.017	-0.021	-0.045
YBR187W	-0.025	-0.055	-0.001	0.025	-0.086	-0.038
YBR188C	0.029	-0.017	0.003	0.000	-0.033	-0.053
YBR189W	NaN	-0.023	0.045	0.013	NaN	0.003
YBR190W	NaN	-0.011	0.065	0.099	NaN	0.049
YBR191W	-0.007	-0.066	-0.038	0.042	-0.012	0.020
YBR192W	NaN	0.001	NaN	0.014	NaN	0.027
YBR193C	NaN	-0.024	NaN	-0.018	NaN	-0.013
YBR194W	0.022	0.002	NaN	-0.042	NaN	-0.004
YBR195C	-0.031	0.006	-0.079	0.007	-0.007	-0.003
YBR196C	NaN	-0.019	NaN	0.007	NaN	-0.006
YBR196C-B	NaN	NaN	NaN	NaN	NaN	NaN
YBR197C	-0.008	0.004	NaN	0.008	NaN	0.013
YBR198C	NaN	-0.022	NaN	0.083	NaN	0.089
YBR199W	NaN	0.010	NaN	-0.004	NaN	-0.027
YBR200W	0.003	0.002	-0.220	-0.015	-0.157	0.078
YBR201W	NaN	NaN	NaN	NaN	NaN	NaN
YBR202W	NaN	0.023	NaN	-0.042	NaN	0.013
YBR203W	0.048	0.011	0.042	0.031	0.037	0.046
YBR204C	-0.000	0.008	0.004	-0.007	0.001	0.009
YBR205W	-0.009	0.018	0.036	0.008	0.021	0.031
YBR206W	0.019	0.022	0.046	0.055	0.024	-0.032
YBR207W	-0.031	0.006	NaN	0.021	NaN	0.062
YBR208C	0.003	-0.022	NaN	-0.013	NaN	0.039
YBR209W	0.055	0.004	0.017	0.000	-0.031	-0.018
YBR210W	NaN	0.005	NaN	0.025	NaN	0.024
YBR211C	0.053	0.021	NaN	0.052	NaN	0.012
YBR212W	0.020	0.012	NaN	0.014	NaN	0.005
YBR213W	0.029	-0.005	NaN	-0.004	NaN	-0.037
YBR214W	0.022	0.018	NaN	-0.016	NaN	-0.037
YBR215W	NaN	0.025	NaN	0.040	NaN	0.043
YBR216C	-0.005	0.001	0.026	-0.005	0.011	-0.058
YBR217W	0.016	-0.020	0.015	-0.000	-0.002	-0.024
YBR218C	0.001	-0.008	0.004	-0.016	0.016	0.003
