ORF	het | growth (relative abundance in pooled culture) | glucose limitation (glucose [2.5 g/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | nitrogen limitation (ammonium [97.6 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | phosphorus limitation (phosphorus(.) [12.3 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | grape juice [100%] | Delneri D~Oliver SG, 2008
YBR069C	0.013	NaN	NaN	NaN
YBR071W	NaN	NaN	-0.016	NaN
YBR072W	-0.075	-0.081	-0.143	-0.032
YBR073W	NaN	NaN	-0.015	NaN
YBR074W	NaN	NaN	-0.021	NaN
YBR078W	NaN	-0.044	-0.044	NaN
YBR079C	NaN	NaN	-0.014	NaN
YBR080C	0.016	0.009	NaN	0.013
YBR081C	-0.057	-0.029	-0.051	NaN
YBR082C	NaN	0.020	NaN	NaN
YBR084W	0.022	0.012	0.011	0.016
YBR085W	-0.047	-0.043	-0.095	NaN
YBR087W	NaN	0.012	NaN	NaN
YBR088C	NaN	0.017	NaN	NaN
YBR090C	-0.019	NaN	NaN	NaN
YBR091C	0.022	NaN	0.034	0.021
YBR092C	0.012	0.013	NaN	0.012
YBR093C	NaN	0.009	NaN	NaN
YBR095C	NaN	-0.068	-0.025	NaN
YBR098W	0.013	0.009	NaN	0.011
YBR099C	NaN	0.010	NaN	NaN
YBR102C	NaN	0.009	NaN	NaN
YBR103W	-0.014	-0.025	-0.052	NaN
YBR104W	NaN	0.009	NaN	0.012
YBR107C	NaN	NaN	-0.014	NaN
YBR109C	NaN	0.019	NaN	NaN
YBR111C	0.017	0.020	0.014	NaN
YBR112C	0.011	0.019	0.023	0.013
YBR113W	-0.023	0.018	0.027	NaN
YBR116C	0.032	0.017	0.018	0.011
YBR117C	NaN	0.012	0.009	NaN
YBR118W	-0.024	-0.008	0.013	-0.013
YBR119W	NaN	-0.014	0.041	NaN
YBR120C	NaN	0.011	NaN	NaN
YBR121C	NaN	0.007	NaN	NaN
YBR123C	-0.036	-0.039	-0.038	-0.019
YBR125C	-0.016	NaN	-0.017	NaN
YBR127C	0.017	NaN	NaN	NaN
YBR129C	NaN	-0.009	-0.013	NaN
YBR130C	NaN	NaN	-0.008	NaN
YBR131W	NaN	NaN	0.016	NaN
YBR133C	NaN	-0.072	-0.053	NaN
YBR134W	0.026	0.021	NaN	NaN
YBR135W	NaN	-0.009	-0.035	NaN
YBR138C	0.016	0.011	NaN	NaN
YBR140C	-0.020	NaN	-0.015	NaN
YBR143C	0.016	NaN	NaN	0.013
YBR146W	0.018	0.007	0.010	0.013
YBR147W	0.025	0.017	NaN	NaN
YBR148W	0.026	0.021	NaN	NaN
YBR149W	-0.062	-0.064	-0.107	-0.036
YBR152W	-0.056	-0.028	-0.059	NaN
YBR153W	NaN	0.006	NaN	NaN
YBR154C	0.017	NaN	0.016	NaN
YBR156C	NaN	-0.021	NaN	NaN
YBR159W	0.017	NaN	-0.014	NaN
YBR162W-A	0.011	0.007	NaN	NaN
YBR164C	-0.026	-0.020	-0.026	NaN
YBR165W	NaN	-0.010	NaN	NaN
YBR166C	NaN	-0.011	NaN	NaN
YBR168W	NaN	NaN	-0.017	NaN
YBR169C	NaN	NaN	-0.015	NaN
YBR170C	0.015	NaN	NaN	NaN
YBR171W	NaN	0.008	NaN	NaN
YBR172C	0.019	0.015	NaN	NaN
YBR173C	NaN	0.016	-0.017	NaN
YBR174C	0.014	0.010	NaN	NaN
YBR175W	-0.014	NaN	-0.031	NaN
YBR178W	NaN	NaN	-0.019	NaN
YBR179C	0.014	0.009	NaN	NaN
YBR184W	NaN	0.009	NaN	NaN
YBR185C	-0.086	-0.066	-0.126	-0.025
YBR186W	0.014	0.011	NaN	NaN
YBR187W	NaN	-0.012	NaN	NaN
YBR190W	0.014	NaN	NaN	NaN
YBR191W	0.021	NaN	NaN	0.013
YBR193C	-0.026	-0.022	-0.031	NaN
YBR198C	-0.040	NaN	-0.041	NaN
YBR199W	NaN	0.007	NaN	NaN
YBR200W	NaN	0.016	NaN	NaN
YBR202W	0.021	NaN	NaN	NaN
YBR204C	NaN	0.013	NaN	NaN
YBR205W	NaN	NaN	-0.009	NaN
YBR207W	NaN	NaN	-0.025	NaN
YBR208C	NaN	-0.011	-0.032	NaN
YBR209W	0.015	0.008	NaN	NaN
YBR217W	0.013	0.010	NaN	NaN
YBR219C	0.015	0.008	NaN	NaN
YBR221C	NaN	-0.037	-0.043	NaN
YBR224W	0.034	NaN	NaN	NaN
YBR225W	NaN	NaN	-0.021	-0.017
YBR226C	0.012	NaN	NaN	NaN
YBR227C	NaN	NaN	-0.028	NaN
YBR229C	0.012	0.011	NaN	NaN
YBR231C	NaN	NaN	0.023	NaN
YBR232C	NaN	0.013	NaN	NaN
YBR233W	NaN	0.012	NaN	NaN
YBR235W	NaN	0.010	NaN	NaN
YBR236C	NaN	0.015	NaN	NaN
YBR237W	NaN	0.008	NaN	NaN
YBR240C	0.017	NaN	NaN	NaN
YBR244W	0.012	0.009	NaN	NaN
YBR245C	0.019	0.018	NaN	NaN
YBR249C	-0.015	-0.031	-0.022	NaN
YBR253W	NaN	NaN	-0.010	NaN
YBR254C	-0.015	-0.010	NaN	NaN
YBR257W	-0.021	NaN	-0.019	0.011
YBR258C	NaN	0.010	NaN	NaN
YBR259W	NaN	NaN	-0.013	-0.018
YBR260C	NaN	NaN	0.009	NaN
YBR263W	0.036	0.014	NaN	NaN
YBR265W	0.021	NaN	NaN	NaN
YBR266C	-0.023	-0.010	-0.019	NaN
YBR267W	NaN	0.010	NaN	NaN
YBR270C	0.013	NaN	0.011	NaN
YBR271W	-0.052	NaN	0.026	NaN
YBR278W	-0.058	NaN	0.022	-0.042
YBR279W	-0.032	-0.015	-0.026	NaN
YBR281C	-0.057	NaN	0.009	-0.016
YBR282W	-0.051	NaN	0.025	-0.028
YBR283C	-0.056	-0.014	0.026	-0.032
YBR284W	-0.055	NaN	0.014	-0.017
YBR285W	-0.031	NaN	NaN	-0.018
YBR286W	-0.041	NaN	0.009	-0.028
YBR287W	NaN	NaN	-0.008	NaN
YBR288C	-0.020	NaN	-0.015	NaN
YBR289W	-0.042	-0.065	-0.087	NaN
YBR290W	-0.024	NaN	NaN	-0.014
YBR291C	-0.047	NaN	0.014	-0.025
YBR292C	-0.039	NaN	0.014	-0.023
YBR293W	-0.035	NaN	0.033	-0.020
YBR294W	-0.013	NaN	-0.011	NaN
YBR295W	-0.026	NaN	0.027	-0.046
YBR296C	NaN	NaN	0.025	NaN
YBR297W	-0.039	NaN	0.030	-0.050
YBR298C	-0.041	NaN	0.035	-0.040
YBR300C	-0.028	NaN	NaN	-0.053
YCL001W	-0.029	-0.041	-0.043	NaN
YCL001W-A	-0.044	0.009	0.024	-0.021
YCL004W	NaN	-0.003	-0.031	NaN
YCL005W	NaN	NaN	NaN	-0.024
YCL006C	0.019	0.009	-0.015	0.009
YCL008C	NaN	NaN	NaN	-0.016
YCL010C	-0.019	NaN	NaN	NaN
YCL011C	0.015	NaN	NaN	NaN
YCL014W	NaN	0.011	NaN	NaN
YCL016C	NaN	0.011	NaN	NaN
YCL017C	NaN	NaN	-0.017	NaN
YCL022C	NaN	NaN	-0.041	NaN
YCL023C	0.011	0.008	NaN	0.011
YCL024W	-0.022	-0.023	-0.041	-0.016
YCL025C	NaN	-0.013	-0.020	NaN
YCL026C	NaN	-0.037	-0.054	NaN
YCL027W	-0.032	-0.028	-0.050	NaN
YCL028W	NaN	NaN	-0.025	NaN
YCL029C	-0.027	NaN	-0.037	-0.023
YCL030C	-0.032	-0.024	-0.041	NaN
YCL032W	NaN	-0.036	-0.069	NaN
YCL033C	-0.033	-0.025	-0.039	NaN
YCL034W	-0.041	-0.078	-0.104	NaN
YCL035C	NaN	NaN	-0.011	NaN
YCL036W	NaN	-0.013	NaN	NaN
YCL037C	0.023	-0.075	-0.064	NaN
YCL039W	-0.028	NaN	-0.033	NaN
YCL040W	0.028	0.013	NaN	NaN
YCL041C	-0.009	-0.031	-0.026	NaN
YCL042W	-0.031	-0.021	-0.047	NaN
YCL043C	-0.017	-0.019	NaN	NaN
YCL044C	-0.029	-0.016	-0.045	NaN
YCL045C	-0.025	-0.019	-0.048	NaN
YCL046W	-0.035	-0.018	-0.051	NaN
YCL047C	NaN	NaN	NaN	0.020
YCL048W	-0.019	-0.012	-0.035	NaN
YCL049C	-0.023	-0.026	-0.046	NaN
YCL050C	-0.040	-0.054	-0.087	-0.022
YCL051W	-0.022	NaN	-0.023	NaN
YCL054W	-0.031	-0.023	-0.045	NaN
YCL055W	-0.017	-0.014	-0.032	NaN
YCL056C	-0.027	-0.024	-0.045	NaN
YCL057W	NaN	-0.017	-0.040	NaN
YCL059C	0.018	NaN	NaN	0.021
YCL061C	-0.021	-0.013	-0.032	NaN
YCL063W	-0.035	-0.024	-0.048	NaN
YCL064C	-0.027	NaN	-0.042	NaN
YCL069W	NaN	NaN	-0.019	NaN
YCL075W	NaN	NaN	-0.011	NaN
YCR001W	-0.016	-0.014	-0.031	NaN
YCR002C	-0.019	-0.014	-0.041	NaN
YCR004C	-0.022	NaN	-0.032	NaN
YCR005C	-0.029	-0.021	-0.034	NaN
YCR006C	-0.077	-0.073	-0.027	-0.052
YCR007C	NaN	-0.028	-0.033	NaN
YCR008W	-0.022	-0.027	-0.062	NaN
YCR009C	-0.035	-0.045	-0.048	NaN
YCR010C	-0.027	-0.021	-0.041	NaN
YCR011C	-0.020	-0.029	-0.041	NaN
YCR012W	-0.011	-0.014	-0.025	NaN
YCR013C	NaN	NaN	-0.022	NaN
YCR014C	NaN	-0.014	-0.045	NaN
YCR015C	-0.041	-0.052	-0.083	NaN
YCR016W	-0.027	-0.015	-0.038	NaN
YCR017C	NaN	NaN	-0.011	NaN
YCR019W	-0.021	-0.020	-0.044	NaN
YCR020C	-0.027	-0.016	-0.037	NaN
YCR020C-A	-0.018	-0.018	-0.021	NaN
YCR020W-B	-0.053	NaN	0.039	-0.052
YCR021C	NaN	-0.012	-0.031	NaN
YCR022C	-0.028	-0.019	-0.041	NaN
YCR023C	-0.017	-0.017	-0.037	NaN
YCR024C	-0.051	NaN	0.013	-0.030
YCR024C-A	-0.025	NaN	0.033	-0.020
YCR025C	-0.046	NaN	0.028	-0.026
YCR026C	-0.054	NaN	0.038	-0.045
YCR027C	-0.033	NaN	0.026	NaN
YCR028C	-0.063	NaN	0.023	-0.025
YCR031C	-0.066	NaN	0.010	-0.020
YCR032W	-0.009	NaN	0.019	0.009
YCR033W	-0.027	-0.051	-0.073	NaN
YCR034W	-0.059	NaN	0.016	-0.016
YCR035C	-0.043	NaN	NaN	NaN
YCR036W	-0.084	-0.017	NaN	-0.021
YCR037C	-0.059	NaN	0.033	-0.058
YCR043C	-0.063	NaN	NaN	-0.034
YCR044C	-0.048	NaN	0.020	-0.028
YCR045C	-0.055	NaN	0.018	-0.042
YCR048W	NaN	NaN	NaN	0.020
YCR049C	-0.042	NaN	0.017	-0.026
YCR050C	-0.064	NaN	0.016	-0.024
YCR051W	-0.060	NaN	0.025	-0.034
YCR052W	-0.049	-0.048	NaN	-0.035
YCR053W	-0.013	NaN	NaN	NaN
YCR054C	NaN	NaN	0.018	NaN
YCR059C	-0.053	NaN	0.024	-0.045
YCR060W	-0.009	NaN	NaN	NaN
YCR063W	-0.042	NaN	NaN	-0.034
YCR065W	-0.060	-0.017	NaN	-0.041
YCR066W	-0.050	NaN	0.020	-0.019
YCR067C	NaN	-0.008	-0.016	0.015
YCR068W	-0.047	NaN	NaN	-0.015
YCR069W	NaN	-0.010	-0.015	NaN
YCR071C	-0.037	NaN	0.016	-0.027
YCR072C	0.018	NaN	0.032	0.017
YCR073C	0.040	0.020	0.015	NaN
YCR073W-A	-0.046	NaN	0.032	-0.033
YCR076C	-0.052	NaN	0.013	-0.035
YCR077C	-0.030	NaN	0.043	-0.042
YCR079W	-0.053	NaN	0.027	-0.027
YCR081W	-0.027	NaN	0.021	-0.036
YCR082W	-0.045	NaN	0.025	NaN
YCR084C	0.009	0.024	0.017	NaN
YCR085W	-0.046	NaN	0.013	-0.031
YCR086W	-0.032	-0.015	0.021	NaN
YCR087C-A	-0.052	NaN	0.017	-0.028
YCR087W	-0.045	-0.010	NaN	-0.040
YCR088W	0.014	0.007	NaN	0.014
YCR092C	0.015	NaN	NaN	NaN
YCR093W	-0.032	-0.031	-0.024	-0.033
YCR094W	0.015	0.011	NaN	0.016
YCR095C	0.016	0.015	NaN	NaN
YCR098C	NaN	NaN	NaN	0.013
YCR100C	NaN	NaN	-0.013	NaN
YCR102C	NaN	NaN	NaN	0.015
YCR102W-A	NaN	NaN	-0.015	NaN
YCR105W	NaN	NaN	NaN	0.013
YCR106W	NaN	NaN	NaN	0.013
YCR107W	0.020	0.012	NaN	NaN
YDL001W	NaN	NaN	NaN	0.019
YDL002C	0.023	NaN	NaN	0.014
YDL003W	-0.027	-0.042	-0.072	-0.027
YDL004W	-0.019	NaN	NaN	NaN
YDL005C	0.018	NaN	NaN	NaN
YDL006W	-0.020	-0.016	-0.028	NaN
YDL007W	NaN	0.029	NaN	0.013
YDL008W	NaN	0.009	0.016	0.014
YDL009C	NaN	NaN	NaN	0.022
YDL010W	NaN	NaN	-0.017	NaN
YDL011C	NaN	NaN	-0.015	NaN
YDL013W	0.019	NaN	0.021	NaN
YDL014W	NaN	-0.009	NaN	NaN
YDL020C	NaN	NaN	-0.013	NaN
YDL022W	0.026	NaN	0.031	0.016
YDL023C	NaN	NaN	NaN	0.015
YDL024C	NaN	NaN	NaN	0.013
YDL025C	NaN	0.017	NaN	0.022
YDL027C	NaN	-0.030	-0.051	NaN
YDL034W	NaN	0.019	NaN	NaN
YDL035C	NaN	NaN	-0.014	NaN
YDL037C	0.038	0.013	NaN	0.017
YDL039C	-0.050	-0.058	-0.101	-0.024
YDL040C	0.026	0.013	NaN	NaN
YDL041W	-0.047	-0.076	-0.097	-0.015
YDL042C	-0.047	-0.051	-0.071	NaN
YDL043C	0.025	NaN	0.037	0.013
YDL044C	NaN	NaN	NaN	0.014
YDL046W	-0.014	NaN	NaN	NaN
YDL047W	0.024	0.035	NaN	0.013
YDL048C	NaN	0.007	NaN	NaN
YDL049C	NaN	NaN	NaN	0.016
YDL050C	-0.013	NaN	NaN	NaN
YDL052C	-0.049	-0.065	-0.082	-0.025
YDL053C	0.012	0.011	0.021	0.012
YDL055C	NaN	0.012	NaN	NaN
YDL058W	NaN	0.014	0.014	NaN
YDL059C	0.016	0.008	0.026	NaN
YDL067C	NaN	0.013	0.021	NaN
YDL070W	NaN	0.013	NaN	NaN
YDL074C	-0.017	-0.034	-0.041	NaN
YDL076C	0.019	NaN	NaN	NaN
YDL080C	-0.043	-0.033	-0.084	NaN
YDL081C	0.028	0.015	NaN	NaN
YDL085W	0.019	0.012	NaN	0.013
YDL087C	0.028	NaN	NaN	NaN
YDL088C	0.023	0.016	0.017	0.014
YDL091C	0.015	0.016	NaN	NaN
YDL093W	NaN	0.012	NaN	NaN
YDL096C	NaN	0.012	NaN	NaN
YDL097C	NaN	0.036	NaN	NaN
YDL099W	NaN	0.018	NaN	NaN
YDL106C	NaN	NaN	-0.019	NaN
YDL119C	NaN	0.009	NaN	NaN
YDL122W	NaN	NaN	0.010	NaN
YDL126C	NaN	0.011	NaN	NaN
YDL129W	NaN	0.019	0.013	NaN
YDL130W	0.021	NaN	NaN	NaN
YDL130W-A	0.018	0.010	NaN	0.015
YDL131W	NaN	NaN	-0.015	NaN
YDL132W	0.013	0.012	NaN	NaN
YDL133C-A	NaN	NaN	-0.014	0.011
YDL134C	NaN	NaN	0.010	0.011
YDL137W	NaN	0.009	NaN	NaN
YDL140C	NaN	NaN	NaN	0.016
YDL141W	NaN	0.010	NaN	NaN
YDL143W	NaN	NaN	-0.016	NaN
YDL145C	-0.051	-0.065	-0.028	-0.014
YDL146W	0.031	NaN	NaN	NaN
YDL147W	NaN	0.040	NaN	NaN
YDL148C	NaN	0.007	NaN	NaN
YDL149W	NaN	NaN	-0.009	NaN
YDL150W	NaN	-0.035	-0.024	NaN
YDL151C	NaN	0.017	0.013	NaN
YDL155W	NaN	0.007	NaN	NaN
YDL157C	NaN	NaN	-0.010	NaN
YDL158C	NaN	0.010	NaN	NaN
YDL159W	NaN	0.009	NaN	NaN
YDL160C	NaN	-0.009	-0.015	NaN
YDL161W	NaN	0.010	NaN	0.013
YDL162C	NaN	0.018	NaN	NaN
YDL163W	NaN	NaN	0.032	NaN
YDL164C	0.010	0.012	NaN	0.014
YDL165W	NaN	0.011	NaN	NaN
YDL167C	-0.031	NaN	NaN	NaN
YDL168W	NaN	NaN	-0.027	NaN
YDL169C	NaN	0.010	NaN	NaN
YDL171C	NaN	0.011	NaN	NaN
YDL172C	NaN	-0.075	NaN	NaN
YDL173W	NaN	-0.060	-0.025	NaN
YDL175C	NaN	NaN	NaN	-0.018
YDL179W	NaN	NaN	-0.028	NaN
YDL180W	NaN	-0.041	-0.016	-0.013
YDL181W	-0.017	-0.021	-0.023	NaN
YDL182W	NaN	NaN	-0.028	NaN
YDL185W	NaN	-0.012	-0.015	NaN
YDL187C	0.032	NaN	NaN	NaN
YDL189W	0.028	0.013	NaN	NaN
YDL190C	0.021	0.019	0.019	NaN
YDL191W	0.019	0.016	0.017	0.014
YDL193W	NaN	0.039	0.059	0.019
YDL194W	NaN	0.009	NaN	NaN
YDL196W	NaN	NaN	-0.024	NaN
YDL198C	NaN	0.023	NaN	NaN
YDL200C	NaN	0.012	NaN	NaN
YDL203C	-0.015	0.013	-0.016	NaN
YDL205C	0.019	NaN	NaN	NaN
YDL206W	0.020	0.012	NaN	NaN
YDL207W	NaN	NaN	-0.026	0.020
YDL209C	NaN	0.016	NaN	NaN
YDL210W	NaN	NaN	-0.015	NaN
YDL212W	NaN	0.015	NaN	NaN
YDL214C	NaN	0.009	-0.011	NaN
YDL215C	-0.048	-0.041	-0.027	NaN
YDL220C	NaN	0.013	NaN	NaN
YDL222C	NaN	0.009	NaN	NaN
YDL224C	0.025	NaN	NaN	0.012
YDL225W	NaN	0.008	NaN	NaN
YDL229W	NaN	0.016	NaN	NaN
YDL230W	NaN	0.021	NaN	NaN
YDL231C	0.016	0.010	0.011	NaN
YDL233W	0.045	0.035	NaN	NaN
YDL234C	NaN	0.019	NaN	NaN
YDL235C	NaN	-0.016	-0.034	NaN
YDL237W	NaN	0.015	NaN	NaN
YDL240W	NaN	-0.012	-0.028	NaN
YDL241W	0.014	NaN	NaN	NaN
YDL242W	NaN	0.010	NaN	NaN
YDL243C	NaN	0.010	NaN	NaN
YDR001C	NaN	NaN	-0.021	NaN
YDR003W	NaN	0.011	NaN	NaN
YDR004W	NaN	NaN	NaN	0.016
YDR005C	NaN	NaN	-0.027	NaN
YDR006C	NaN	0.016	NaN	NaN
YDR009W	NaN	0.011	NaN	NaN
YDR013W	NaN	NaN	-0.024	NaN
YDR014W	NaN	0.009	NaN	NaN
YDR015C	NaN	0.013	NaN	NaN
YDR016C	NaN	NaN	NaN	0.013
YDR017C	-0.021	-0.015	-0.043	NaN
YDR018C	NaN	0.018	NaN	NaN
YDR020C	NaN	NaN	-0.010	0.012
YDR021W	NaN	0.006	-0.010	NaN
YDR022C	NaN	NaN	-0.013	-0.016
YDR023W	NaN	NaN	NaN	0.011
YDR026C	0.020	0.012	0.013	0.013
YDR028C	NaN	-0.012	-0.023	NaN
YDR031W	NaN	0.008	NaN	NaN
YDR032C	NaN	0.030	NaN	NaN
YDR033W	0.024	0.065	NaN	NaN
YDR035W	-0.016	NaN	NaN	NaN
YDR036C	NaN	0.008	NaN	0.011
YDR037W	NaN	0.012	NaN	NaN
YDR041W	NaN	NaN	NaN	0.012
YDR043C	-0.014	NaN	-0.016	NaN
YDR044W	0.025	0.013	NaN	NaN
YDR047W	0.021	0.022	NaN	NaN
YDR048C	-0.022	NaN	-0.012	NaN
YDR049W	-0.052	-0.070	-0.095	NaN
YDR050C	-0.023	-0.014	-0.024	NaN
YDR052C	NaN	-0.077	NaN	NaN
YDR053W	NaN	NaN	0.017	NaN
YDR054C	-0.035	-0.013	NaN	NaN
YDR057W	NaN	-0.016	NaN	NaN
YDR059C	NaN	NaN	NaN	0.013
YDR062W	0.016	0.020	0.025	0.019
YDR064W	NaN	-0.044	NaN	NaN
YDR065W	-0.024	NaN	-0.016	NaN
YDR066C	NaN	NaN	NaN	0.022
YDR067C	NaN	-0.020	NaN	NaN
YDR069C	NaN	-0.011	-0.013	-0.017
YDR071C	-0.050	-0.054	-0.119	-0.020
YDR072C	NaN	0.010	NaN	0.013
YDR080W	NaN	NaN	NaN	0.012
YDR083W	NaN	NaN	0.013	0.020
YDR085C	0.020	NaN	NaN	NaN
YDR087C	-0.031	-0.024	-0.016	NaN
YDR088C	NaN	NaN	NaN	0.012
YDR089W	0.021	NaN	NaN	0.016
YDR094W	0.013	0.007	NaN	0.016
YDR095C	-0.015	-0.010	-0.026	NaN
YDR098C	NaN	NaN	-0.013	NaN
YDR100W	NaN	NaN	0.022	NaN
