orf	het | growth (relative abundance in pooled culture) | glucose limitation (glucose [2.5 g/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | nitrogen limitation (ammonium [97.6 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | phosphorus limitation (phosphorus(.) [12.3 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | grape juice [100%] | Delneri D~Oliver SG, 2008
YBR020W	-0.748333277284531	-0.6788076357674525	-1.1559418332947593	-4.871950611835868
YBR021W	-4.645739441180506	-3.9650483321282053	-4.366598800790758	-3.4800233231054754
YBR027C	-0.9307258391530298			
YBR057C	-1.409415150927134	-1.6606521782319676	-2.3099332036969265	
YBR061C	-2.5981823753190576	-3.8803370117019322	-2.0247755287999487	-4.016386775990621
YBR064W	-2.0202412768793256	-1.4407130430006774	-1.4639686856073804	
YBR072W	-4.951185654385949	-5.041968144111438	-6.978951275984103	-5.037142794072288
YBR081C	-3.7556557832071893	-1.817042308249702	-2.5009322824540163	
YBR085W	-3.094375008188503	-2.662107546524103	-4.653560653863384	
YBR090C	-1.279134749592492			
YBR103W	-0.9470357519918704	-1.5316303209673368	-2.5458904521282664	
YBR113W	-1.5125123641970415			
YBR118W	-1.5735087861959578	-0.5156530120306969		-2.0700723559871776
YBR123C	-2.3578432125515882	-2.4476296539283533	-1.8336789268982292	-3.0409242372104517
YBR125C	-1.075724942317845		-0.849475351296212	
YBR140C	-1.3203073344417606		-0.7287416982447557	
YBR149W	-4.087025475762172	-3.989127447384904	-5.238455713779465	-5.661337662268358
YBR152W	-3.7216436478969244	-1.737047515554123	-2.9010697448693032	
YBR164C	-1.7468181852233136	-1.2518036954713188	-1.288280740557139	
YBR175W	-0.9488258643766213		-1.507220200250612	
YBR185C	-5.717420055517989	-4.102013815044531	-6.1621949397111235	-3.9561128208725003
YBR193C	-1.702860981108877	-1.3427830330133819	-1.4976629320769104	
YBR198C	-2.6542062629158885		-1.9791834586856065	
YBR249C	-0.9736222359283546	-1.9060357393788416	-1.0646114083491303	
YBR254C	-1.0184413460058193	-0.6479640267917327		
YBR257W	-1.4195591211073886		-0.9227639944853634	
YBR266C	-1.502368394016787	-0.593910136614968	-0.9273475822829551	
YBR271W	-3.4622762534841405			
YBR278W	-3.8305753015319453			-6.6172748473284075
YBR279W	-2.144355735555381	-0.937534005626157	-1.2509781377363136	
YBR281C	-3.7942426501673734			-2.446096383193004
YBR282W	-3.40373294845692			-4.415598371100736
YBR283C	-3.6878304139627422	-0.8577874512321931		-4.9857582682415496
YBR284W	-3.6739073176369024			-2.681615017332376
YBR285W	-2.058032538335176			-2.847980190030965
YBR286W	-2.720573022069057			-4.327485538375516
YBR288C	-1.315732602791842		-0.7163562588767952	
YBR289W	-2.8098134394718195	-4.0362306651164355	-4.227189465542732	
YBR290W	-1.5927359192173554			-2.2201207069334736
YBR291C	-3.118839877446764			-3.931810253165624
YBR292C	-2.6011658959603086			-3.5283551501943857
YBR293W	-2.2922720589027534			-3.1669246565291918
YBR294W	-0.8827243070582304		-0.5578323872813653	
YBR295W	-1.7319668824757513			-7.219007057539709
YBR297W	-2.5808116551411056			-7.824846841664927
YBR298C	-2.7066499257432173			-6.214363426796794
YBR300C	-1.8640373961951442			-8.278916960555312
YCL001W	-1.9174755659028901	-2.5436358170781292	-2.074658617277994	
YCL001W-A	-2.8979267490767757			-3.293494579335643
YCL010C	-1.277344637207741			
YCL024W	-1.4740580981542464	-1.4513872899701419	-2.0059048003141196	-2.4421270372450548
YCL027W	-2.126454611707873	-1.7117272087893467	-2.4567542979368033	
YCL029C	-1.7938252104376957		-1.7827718454015735	-3.543810274491586
YCL030C	-2.1203549695079817	-1.468950149809435	-1.9967376247189361	
YCL033C	-2.189705249302402	-1.5760029173810985	-1.879709851163405	
YCL034W	-2.7049261138171614	-4.861064481809177	-5.073397791493851	
YCL039W	-1.8429538503303011		-1.6003060417995743	
YCL041C	-0.6120858346673865	-1.9158411522926517	-1.2566344801248308	
YCL042W	-2.082497407593437	-1.3221792539792994	-2.294280738983874	
YCL043C	-1.1177594331301417	-1.1853378902137814		
YCL044C	-1.9176081668202793	-0.9967388405614421	-2.215140707116946	
YCL045C	-1.6602960866270244	-1.2074931586329605	-2.33777606148868	
YCL046W	-2.32986441898252	-1.1400964597443655	-2.4624594018976356	
YCL048W	-1.2514211578582017	-0.7579956539827816	-1.7165536301980684	
YCL049C	-1.5319383985945225	-1.619320501012995	-2.2449827893736067	
YCL050C	-2.6216527376969014	-3.3709520167870255	-4.23864843503671	-3.421819533171059
YCL051W	-1.4814837495280275		-1.1189317999078225	
YCL054W	-2.0245508066944664	-1.437299766353465	-2.1776430580068613	
YCL055W	-1.0955487794674927	-0.8870795708228164	-1.5690986355180991	
YCL056C	-1.7688962379685733	-1.4978699119476353	-2.174473555806399	
YCL061C	-1.3761986211212025	-0.8220411357995682	-1.5611017376584713	
YCL063W	-2.301421522202591	-1.4942083969988074	-2.347967230102474	
YCL064C	-1.794554515483335		-2.026482183830967	
YCR001W	-1.058950926268143	-0.8937820049664337	-1.5225313339574607	
YCR002C	-1.287952710598857	-0.882300983516719	-2.0153645453431914	
YCR004C	-1.4367309399092574		-1.5528122703649543	
YCR005C	-1.9094532104008588	-1.3185797986058752	-1.6718392683853924	
YCR006C	-5.082725764435786	-4.504532221113985	-1.3104672559603752	-8.182775062265979
YCR008W	-1.435007127983201	-1.6947228851286882	-3.0209256896190935	
YCR009C	-2.3113002905480675	-2.77964838233902	-2.3218797889140537	
YCR010C	-1.7934937081442233	-1.326399305106762	-1.981719060445976	
YCR011C	-1.345103705993494	-1.7909772865800797	-1.9785007966731991	
YCR012W	-0.7495266855410316	-0.8738608812617936	-1.2217699559197455	
YCR015C	-2.7460323982077353	-3.2486325936660116	-4.025560364021014	
YCR016W	-1.7781783021858	-0.9235706011602878	-1.841773347902487	
YCR019W	-1.4057023252402434	-1.2352958484138912	-2.1301005249999267	
YCR020C	-1.7826204329183297	-0.9853819382625353	-1.7901348428211088	
YCR020C-A	-1.204480433102514	-1.1078875401097608	-1.0118513871045114	
YCR020W-B	-3.5463452351087343			-8.10722246224524
YCR022C	-1.861650579682143	-1.1702574133906427	-1.989033296293197	
YCR023C	-1.09654328634791	-1.0290098197714508	-1.802569043761384	
YCR024C	-3.3595105425077056			-4.756417213152005
YCR024C-A	-1.6435220705773226			-3.089120077002853
YCR025C	-3.0412683407742294			-4.099030721406581
YCR026C	-3.574456629595191			-7.061568285174597
YCR027C	-2.193152873154514			
YCR028C	-4.170033650047653			-3.851962663235444
YCR031C	-4.393797698141504			-3.1522896172542647
YCR032W	-0.6025385686153821			
YCR033W	-1.7818248274139958	-3.1382906685979437	-3.5685181467143496	
YCR034W	-3.8828863634418855			-2.4871921816587323
YCR035C	-2.8653732238577887			
YCR036W	-5.583029025744289	-1.0638873011484218		-3.334253743889667
YCR037C	-3.9249208542541822			-9.036187055190771
YCR043C	-4.158629971152204			-5.2982451787060345
YCR044C	-3.1787754921065687			-4.339117813828014
YCR045C	-3.635519352052802			-6.53894701813395
YCR049C	-2.8175042926803786			-4.0205811491714725
YCR050C	-4.235472202779099			-3.814967449928892
YCR051W	-4.009122436796164			-5.2641432031647595
YCR052W	-3.234865680162094	-2.978797559810016		-5.477338580969314
YCR053W	-0.8690664125671687			
YCR059C	-3.504377044755132			-7.036108358342505
YCR060W	-0.5989583438458805			
YCR063W	-2.7529939463706548			-5.387598061929409
YCR065W	-3.9923484207464623	-1.0665558628907879		-6.373336524249107
YCR066W	-3.2896298590437296			-2.953342496496471
YCR068W	-3.1458241641354148			-2.2786138099745434
YCR071C	-2.485140093244979			-4.143718526413384
YCR073W-A	-3.0413346412329236			-5.129876047271329
YCR076C	-3.4208384668000944			-5.399999100403687
YCR077C	-1.9614327700173266			-6.561299243123915
YCR079W	-3.5090180768637453			-4.170238556646305
YCR081W	-1.7832834375052744			-5.607105192204999
YCR082W	-3.000029455466266			
YCR085W	-3.0308591687591964			-4.811208516848466
YCR086W	-2.0928402791497747	-0.9584480825372588		
YCR087C-A	-3.4766634530208416			-4.362324267374872
YCR087W	-2.958657969240914	-0.6133347837163771		-6.240874067557693
YCR093W	-2.1494608708748557	-1.9495395017369492	-1.156575733734852	-5.119087917363164
YDL003W	-1.763393299896932	-2.5795683112369656	-3.5102968293704726	-4.197077135387424
YDL004W	-1.2543383780407587			
YDL006W	-1.2962402679356664	-0.9687499720543	-1.3747837698436027	
YDL039C	-3.3341837672864165	-3.6054751522382236	-4.948226835361748	-3.7992234393191966
YDL041W	-3.083170230669137	-4.730863492611873	-4.748499435160308	-2.386778073599475
YDL042C	-3.1269285334074897	-3.1731060903995107	-3.4429570980037276	
YDL046W	-0.914681128148967			
YDL050C	-0.8867023345798989			
YDL052C	-3.2570100333660483	-4.04256074180763	-4.005519357799629	-3.8602527667916346
YDL074C	-1.0976040936870215	-2.1077914190168	-2.0103421033947666	
YDL080C	-2.8470742972581142	-2.0354920136712997	-4.104017733875534	
YDL145C	-3.4074457741438104	-4.012585966887564	-1.3456243495993494	-2.1431760109869433
YDL167C	-2.0689058135610696			
YDL181W	-1.1068198574455534	-1.313366794271951	-1.114835827833379	
YDL203C	-0.9655998804263233		-0.7644351691791926	
YDL215C	-3.1838806274260434	-2.5243352891275275	-1.3133441887269488	
YDR017C	-1.4017905981772694	-0.9196608479098445	-2.0922127833113238	
YDR035W	-1.0451604308596925			
YDR043C	-0.9313888437399745		-0.7625334678589153	
YDR048C	-1.42758147660942		-0.5864066686578409	
YDR049W	-3.4787187672403705	-4.359126635942735	-4.647465457324032	
YDR050C	-1.5131753687839862	-0.8826733409691422	-1.1486275974475386	
YDR054C	-2.2930013639483926	-0.7810818160330186		
YDR065W	-1.6154106760908655		-0.8024204340124255	
YDR071C	-3.31170791178899	-3.351713548411828	-5.808380970994902	-3.055882893174492
YDR087C	-2.033236166783442	-1.4894298096927099	-0.7643864076068778	
YDR095C	-0.9821086946412473	-0.6109765198510303	-1.2525385080503875	
YDR107C	-1.0011369262865615		-0.6118602094061689	
YDR110W	-1.7653823136577664	-1.6153486881871477	-1.8253894596047127	
YDR114C	-1.196656978976566	-0.9184196564017671	-2.0292128318805958	
YDR115W	-1.998494726427538	-2.2513972765013386	-2.2264533918939806	
YDR140W	-2.0541208112722016	-1.4804932308345535	-1.8760039716674797	
YDR156W	-2.899385359168054	-1.2289657717226972		
YDR176W	-2.6374985473248804		-1.0742174380951468	
YDR184C	-1.2509570546473405	-1.947429476173218		
YDR204W	-1.708695421473991	-1.8586222237702903	-2.149361346064275	
YDR205W	-2.689411806482654	-1.537339801904492	-2.057494543823183	
YDR233C	-1.33867256150013	-0.7130645213903849	-1.1102522400357875	
YDR238C	-5.197757060270699	-4.857154728558735	-0.9314435543573987	-3.4393764054215223
YDR245W	-0.9977556028931432			
YDR251W	-1.300814999585585		-1.3968240005298944	
YDR253C	-1.487981194480086		-1.1454093336747615	
YDR257C	-0.968914903361047	-1.2724695340808052	-0.6803702185084695	
YDR262W	-1.57828241922196	-1.736923396403315	-2.1373659992748326	
YDR264C	-4.124816737218022	-2.450049977369104	-0.8660542858832455	
YDR300C	-5.5471604775905785	-4.601841635347242		
YDR302W	-2.67542240969812	-0.9209640989933257		
YDR335W	-3.1196354829510975	-2.4742532117766105	-2.840995487777464	
YDR349C	-1.3636015339692522		-1.2686298269142728	
YDR362C	-0.7825443139708798		-0.9483150583783211	
YDR371W	-0.9026807451252672		-0.7840373212497441	
YDR377W	-1.7366079145843645	-1.9954015279604043	-0.9115488328529583	
YDR384C	-2.3234332744891564	-3.3976376342106867	-3.1920788084440574	
YDR388W	-1.3170586119657315	-2.491505773738884	-0.8263136044466798	
YDR429C	-0.9085814859490753			
YDR450W	-3.9259816615932936	-3.2097832994631936	-2.7665365668527575	
YDR467C	-2.3217757630217943		-1.701486304352794	
YDR469W	-4.99905458556336	-4.038278631104764	-5.952325132468205	-4.126164214928029
YDR475C	-3.0469701802219538	-2.8948309542885893	-4.098556437776276	-3.2418847595256532
YDR481C	-3.121955999005404	-2.860077592062426	-4.614551396011539	-3.7304849285226647
YDR487C	-3.273916650333139	-2.8603878899394455	-4.744208416796605	
YDR520C	-0.785793036446909		-0.7634599377328967	
YDR522C	-0.806346178642196		-1.3153921747641706	
YEL008W	-1.3200421326069827	-1.4510769920931226	-1.552714747220325	
YEL017W	-1.7490724008189258	-3.4904787590148656		-3.147553695604708
YEL024W	-2.1011941369452782			
YEL027W	-7.153554291298996	-4.2074530336556935	-1.5557867262761573	-2.4985844387326734
YEL036C	-2.9250436366828154	-3.64494504219508	-1.2104572711427108	
YEL037C	-1.0366076716881052			
YEL050C	-0.913554020351161	-0.6938260530151874	-0.9193019228510124	
YEL057C	-0.9812467886782192	-0.5193765865549287	-0.5333540779793334	
YEL059W	-1.7847420475965527	-0.8488508723740368		
YER006W	-1.05742601571817	-0.5967648770835458		
YER012W	-1.1237927748713388			
YER022W	-1.2441281074018096	-2.1816423137473966		
YER038W-A	-3.800209691449876	-3.13084351954948	-3.352504381359765	-3.776152226179023
YER056C	-1.642461263238211	-3.838446798304325	-2.664283549708612	-4.125957913289903
YER059W	-0.9046697588861013			
YER066W	-1.1362572611059			
YER068W	-1.6916562035895109	-0.6335662052980364		
YER069W	-2.225441196538723	-1.9076492883393419	-1.5075615312568158	
YER116C	-4.4106380146499005	-7.324705506191728	-4.180475879265148	-5.225464660251922
YER122C	-1.446742309172123			
YER133W	-1.920923189755003	-2.985065576925806	-1.2699463893667726	
YER145C	-3.299177125095734	-1.2055072522200372		
YER158C	-2.0410596209093903	-1.022617683504853	-1.6662804491415049	
YER163C	-1.0671058826875635			
YER166W	-1.8916183870120453	-0.8500920638821141	-1.2267436362958557	
YER172C	-2.8267200564389103	-3.392610808602974	-2.813884053570433	
YER177W	-3.4273359117521527	-3.9842868005034022	-4.56452202281655	-2.6043347011103455
YER180C	-1.061470343698533		-0.7498066974847513	
YFL010C	-5.407796913414794	-4.055779431368652	-7.5768169141359225	-3.4624183298109137
YFL029C	-2.644791597781273	-3.368035216743044	-2.651751825623707	
YFL033C	-1.2452552151996157		-0.8188043223102	
YFL038C	-1.3819667610276218	-0.9505044568855643	-1.121613686385137	
YFL049W	-1.4293052885354762	-0.9888572744851516	-1.956850658565426	-2.2236450132472942
YFL060C	-1.9985610268862324		-1.2993496174725998	-3.723827739509916
YFR026C	-1.352794559202053	-0.6054532176400866	-1.5888470723055952	
YFR051C	-5.669683725257967	-5.11333665582588	-1.936078228759319	
YGL011C	-1.0661776762658408			
YGL012W	-2.4288510038133704	-1.4295423194279822		
YGL019W	-2.533340526715862	-2.082843469704447	-1.278333379804919	
YGL024W	-1.5343252151075235	-3.491968188824558	-1.7252819516424185	
YGL025C	-1.9599078594673538	-3.087712114643795	-1.3519145924279592	
YGL058W	-1.8868447539860433	-3.1871315544407834	-3.175938728007857	
YGL060W	-0.9474998552027317			
YGL067W	-0.8962496006319032		-1.1966577461776213	
YGL070C	-2.1746550451787563	-4.417028219794539		
YGL071W	-4.490994170587604	-2.2003843055193633	-5.43803682926396	
YGL092W	-1.1903584354005912		-1.996542578429677	
YGL093W	-3.7701755836612794	-6.7284991652868165		
YGL110C	-2.1092827929060043	-1.7936458483224458	-4.304866650240215	-2.712264814776716
YGL137W	-1.024143185453544	-1.1509568854400416		
YGL138C	-3.002217370603184	-3.253473240547513	-3.5351164696787087	-2.4963768991713655
YGL148W	-1.282913875738077	-0.9238808990373071	-1.0606617209916311	
YGL150C	-1.954603822771796	-4.779083782700675	-3.8680117238718803	
YGL198W	-1.7953501209876686	-1.5845050792114277		
YGL208W	-0.7446204515976405		-0.7876456776010398	
YGL209W	-2.9827250357470083	-1.909511075601458	-1.5013200500005208	
YGL239C	-0.5620289883530584		-0.6607193048656032	
YGL252C	-0.9454445409832031		-0.823241625390847	
YGL253W	-3.17420076045665	-3.538699049103667	-4.766199885910582	
YGR031W	-1.171794306966138		-1.0357445575387658	
YGR050C	-1.469085563752161	-2.4922504886437307		
YGR056W	-2.2064792653521033			
YGR098C	-1.8363238044608539	-1.0890834887623901	-1.6048896295971657	
YGR106C	-1.2917318367444421		-0.8119777021861272	
YGR147C	-1.5351871210705517	-1.4022361062502824	-2.507515094716515	
YGR167W	-1.0200325570144866	-0.6341247414766712	-0.8142694960849229	
YGR204W	-1.7285192586236386		-0.8657617164493567	
YGR207C	-1.998494726427538	-3.547759747112631	-3.6071373119876746	
YGR216C	-3.5581467167563505	-3.2153686612495416		
YGR252W	-4.3048224825735195	-0.718836061902944	-2.344700204757382	
YGR276C	-1.5591878871179514	-0.7610365731775708	-1.343722648279072	
YGR281W	-1.3988733779947125		-1.59133391249365	
YGR292W	-4.20450988856878	-3.9409071572961025	-6.09719576381549	
YHL022C	-1.3403963734261861	-0.725228198169542	-0.92607978140277	
YHL025W	-1.272571004181739			
YHL027W	-4.675375746216936	-3.8218768916714936	-4.356505155321593	-3.6382304850474654
YHL031C	-2.666604448691755	-4.062730103813885	-4.669554449582639	
YHL034C	-3.7092454621210575	-6.350556351077292	-4.908437392352867	
YHL042W	-1.5015727885124532	-0.6463504778312322	-0.9272012975660107	
YHR011W	-2.6595766000701406	-3.707128736749751		-5.193962448125958
YHR012W	-4.4124281270346515	-5.120473506997325	-5.851778770355078	-2.7576331964572875
YHR022C	-1.6799873228592834	-1.207865516085384	-1.6770567566230767	
YHR024C	-0.897774511181876			
YHR026W	-3.786087693747953	-3.1834079799165518	-3.4764075366116836	-2.834470767063933
YHR033W	-1.6173996898516998	-1.3180833220026444	-2.6249329608505643	-3.306596520556639
YHR035W	-2.523063955618218	-5.824229092077131	-1.7037293366792747	
YHR039C-A	-2.2957196827548656	-1.4487807878031798		
YHR065C	-4.065477826686467	-4.896500499364784	-5.837832960673044	-4.563927861825034
YHR085W	-1.7574925590731239			
YHR093W	-1.034486057009882			
YHR103W	-0.9853574171172765	-3.1092467873089356	-0.9505580907048021	-2.6426398524624957
YHR108W	-0.8407561167046281	-0.9818445424645152		
YHR132C	-1.8633743916081993	-1.8190282146626258	-0.9564582409548935	
YHR132W-A	-0.8347227749634311		-0.6906101486945785	
YHR135C	-1.4073598367076052	-1.9522701230547195		
YHR156C	-3.6326684323289395			-4.521580596116765
YHR178W	-1.8474622815215256	-1.158031677036082	-1.7954986157757373	
YHR186C	-1.5143687770404868	-1.1948330052505725		
YHR191C	-0.9787936717065236			
YHR206W	-1.5119156600687913	-0.6163757029111664	-1.07587533155385	
YIL010W	-0.9225708827336094	-0.7642016115231679	-0.7962764759007601	
YIL020C	-1.2129668918154066	-0.5261410802739497	-0.6351682409726455	
YIL021W	-1.8573410498670022	-4.714169466828235	-4.136102848458676	
YIL040W	-1.0868634193785167			
YIL042C	-1.2659409583122916		-1.07465629224598	
YIL054W	-1.2438629055670318	-1.5623498107922487		
YIL055C	-3.5612628383149905	-2.7004603641236904	-3.9750433751028758	
YIL068C	-1.2528797679494803			
YIL076W	-2.4727419074691124			-4.630477451956479
YIL079C	-2.6967048569390464	-4.160535994650374	-3.2500563179263606	
YIL087C	-1.6829708435005348	-2.181456135021185		
YIL090W	-1.957719944330436			
YIL092W	-1.0120765019711497		-0.9268599665598071	
YIL099W	-1.0854048092872381		-0.7484413734599368	
YIL100W	-1.3285285913198754		-0.8453793792217685	
YIL126W	-1.234249339056333	-1.6281950202957471		
YIL152W	-0.8469883598219088	-0.9514353505166222	-0.7028980649179093	
YIL156W	-1.4314932036723937		-1.1660842403362388	
YIL162W	-1.5015727885124532		-0.8576672954450992	
YIR011C	-3.621662556185657	-4.247171161914165	-5.294141429362972	-3.2378829238705285
YIR014W	-1.0623985501202557	-0.8131666165168158	-1.3020315039499142	
YJL002C	-1.3767953252494527	-1.4769558350365335		
YJL019W	-1.461858813754463			
YJL020C	-4.989639920428745	-4.3975415131177265	-4.579930679668028	
YJL023C	-0.7718699401210694		-0.7885721474750209	
YJL024C	-1.5452647907921118			
YJL053W	-3.5136591089723583	-2.8713103752105256		
YJL055W	-1.8583355567474191	-1.6050467986701065	-2.150044008076682	
YJL056C	-2.344649421271388			
YJL060W	-1.160324327611994			
YJL071W	-3.69949929469297	-3.421654689891982	-4.209879107370975	-4.00918963898734
YJL073W	-4.15279553078709	-3.630547220701384	-4.811987002314183	-2.7537914619699984
YJL079C	-0.7151167474785994			
YJL082W	-0.8802048896278404	-3.466709941635186		-2.1167512625553306
YJL095W	-0.7853952336947422	-0.3620555629061362		
YJL099W	-1.5553424605136719	-2.056654328884017	-1.5975266321776302	
YJL102W	-4.797103388379991	-3.99998787308058	-1.6687672893295602	-6.553664001891976
YJL126W	-1.2670017656514032		-1.0318923933258963	-3.517962231699488
YJL130C	-0.8764257634822553	-2.910407907714959		-7.4724054337288335
YJL138C	-2.127581719505679	-1.685413948818109	-2.054910180490498	-2.869687102216527
YJL151C	-0.8351205777155979		-0.6086419456333918	
YJL154C	-2.7764643087484986	-2.8582158048003103	-0.9746950690006304	-2.117846042983509
YJL175W	-5.5494809936448855	-5.13003068160952	-4.518881191129893	-2.5011544866030113
YJL176C	-4.1853490560060775	-5.173286205666012	-5.5827611758943005	
YJL202C				
YJL210W	-0.8479165662436314			
YJR009C	-2.449934549678213	-0.5528266976976107	-0.7030931112071684	
YJR025C	-0.9152115318185228			
YJR033C	-0.9075206786099638			
YJR034W	-0.9446489354788694		-1.2320098861058546	
YJR035W	-2.316803228619709	-3.1516334773097743	-4.631959277327924	
YJR040W	-0.7721351419558473		-0.4728409667366609	
YJR043C	-0.971434320791437			
YJR049C	-5.883436404088952	-5.137477830657983	-4.789264109615484	-2.5385774543792947
YJR051W	-2.6715769830938405			
YJR056C	-3.8498687350120373	-4.076693508279755	-4.821349224198626	-4.539235310933629
YJR057W	-1.9220502975528089	-3.790474746517139	-1.5658803717453222	
YJR058C	-3.7087813589101963	-3.8946727736202242	-4.435596425616207	-6.596098653709181
YJR087W	-1.2295420064890252			
YJR108W	-4.988380211713549	-3.696578608931094	-4.780682072888079	-2.602713736804035
YJR117W	-1.0879905271763228	-0.4511731131860834	-0.4885909545943427	
YJR122W	-1.193872359711398			
YJR126C	-1.5939956279325505	-0.5971372345359689		
YJR128W	-1.0532490868204183		-0.6153710426128348	
YJR130C	-2.3118969946763177			
YJR135C	-0.8278938277179002	-0.6166239412127819	-0.7972029457747414	
YJR142W	-0.9986838093148659		-0.906916483483052	
YJR146W	-3.4281315172564866	-3.0989448977918945	-3.8782028924856737	
YJR153W	-1.8513740085844994	-0.46550887510437566	-1.4812790437791359	
YKL009W	-2.6936550358391003	-2.998098087760617	-4.750449898052899	
YKL023W	-3.2578719393290765			-3.826765374873601
YKL040C	-2.184732714900316			
YKL044W	-2.3054658501829537			
YKL059C	-4.315032753212469	-4.230415076555123	-2.1212746804109472	-2.3860917885535065
YKL093W	-1.1804796670551145			
YKL105C	-4.583615911383784	-3.892004211877859	-4.926674220398604	-2.855454849951624
YKL111C	-1.1127205982693615			
YKL112W	-1.3126164812332015		-0.941342153537304	
YKL119C	-1.7660453182447111	-2.292853072871119	-2.3767853193405237	
YKL124W	-4.858099810378908	-4.971344347301842	-5.981728360574032	-3.736956888860077
YKL129C	-1.9109781209508319	-1.3314881902898785	-3.2145578932811825	
YKL130C	-0.8340597703764863		-1.0611005751424643	
YKL134C	-1.867551320505951	-1.2346131930844486	-2.746885653209891	
YKL138C	-2.7037327055606606	-2.337598026737304	-4.6379569507226455	
YKL143W	-3.941827471221273	-3.7729118866778455	-4.869623180790282	-2.6724170158508174
YKL155C	-1.035745765725077	-1.3728198675088514	-2.027213607415689	
YKL157W	-1.389591313777486		-1.2118713567398403	
YKL161C	-0.9620196556568217		-0.9911764804430344	
YKL168C	-2.0689058135610696	-2.30780943054345		
YKL212W	-1.8977180292119369			
YKL216W	-1.9424708388307073	-1.731151855890756	-2.4886931278030002	
YKL217W	-1.4849313733801401	-0.5957719238770839	-1.1565269721625369	
YKR008W	-1.9105140177399706	-3.3275103140043214		
YKR010C	-0.9025481442078782		-0.8449405250709352	
YKR023W	-1.0119439010537608		-0.9166687979460129	
YKR029C	-2.111470708042922	-2.0259348390591048	-3.4979113900025123	
YKR035W-A	-1.5810007380284334		-1.2944734602411194	
YKR050W	-1.4178353091813323			
YKR056W	-1.4479357174286236	-0.5823049960144457	-0.9993196630196066	
YKR065C	-4.543305232497544	-4.039768060914456	-6.298922388481836	
YKR073C	-1.898712536092354	-2.5815542176498893	-3.1836430564335965	
YKR081C	-1.0126069056407054			
YKR088C	-0.9037415524643788		-0.7771131779810418	
YKR091W	-1.3955583550599888	-0.6966187339083612	-1.7919390209967563	
YKR096W	-1.6913247012960386		-1.416816245178964	
YLL009C	-4.018470801472085			-2.6729385583422083
YLL020C	-1.8899608755446835	-2.4786594416302847		
YLL027W	-3.492376661731432	-3.0482422246869385	-2.398386695875982	
YLL031C	-2.545274609280867	-0.40102897625976214		
YLL052C	-1.2140276991545185			
YLR015W	-1.2811900638120208			
YLR016C	-1.227950795480358	-0.8783912302662756	-1.747907321196488	
YLR020C	-0.9613566510698769		-0.6114213552553357	
