orf	hap alpha | expression of torsinA-delE | standard | SC - Leu + 5-FOA + Gal | Zacchi LF~Bernstein KA, 2017
YBR026C	0.5251022175414489
YBR027C	-1.1073093687136595
YBR028C	1.0685461506448612
YBR030W	1.0928457004801875
YBR031W	-0.0026394996748811865
YBR032W	0.07405183151024816
YBR034C	0.74128687260414
YBR035C	0.31543429679487545
YBR036C	0.644810884404066
YBR037C	-0.6157761633551365
YBR040W	0.5665705053380946
YBR041W	0.5706194692949795
YBR042C	-0.5324182905446072
YBR043C	1.172360069878258
YBR044C	1.4851478699244818
YBR045C	0.3863796823389122
YBR046C	0.4120000675854821
YBR048W	0.07233239400824581
YBR050C	-0.06867843265920533
YBR051W	0.4089503325473149
YBR052C	-0.12401076800399247
YBR053C	-0.1655837646212496
YBR054W	0.17132407238975106
YBR056W	0.7948043204418942
YBR057C	0.6721616476596811
YBR058C	-0.10982683368072362
YBR063C	-1.2837611266017264
YBR064W	0.43841952968300235
YBR065C	0.69977442066973
YBR066C	-0.022902897196163313
YBR067C	0.5204377568007491
YBR068C	-0.2622751734566135
YBR069C	-0.7293302313154135
YBR071W	0.014633701223027314
YBR072W	0.4597583669656415
YBR073W	-0.7837834139549648
YBR074W	0.8494073803902198
YBR076W	0.5991890074653693
YBR077C	-0.502627256257175
YBR078W	0.020830038403114755
YBR081C	0.3571492863653721
YBR084W	-0.49548723129821415
YBR085W	0.32334434340012747
YBR089C-A	0.526370372204639
YBR093C	0.4325274973821313
YBR094W	-0.4243137293270038
YBR095C	0.42478864967268964
YBR096W	-1.1964127853055069
YBR098W	-0.5293732336911603
YBR099C	-1.2503751738843552
YBR101C	-0.5018369518919128
YBR104W	0.032717173365642144
YBR105C	0.9876805189364574
YBR126C	0.3552652062590676
YBR127C	0.49397836876521417
YBR128C	0.6635505807281187
YBR129C	1.152978909316893
YBR130C	0.44890062689480714
YBR132C	0.35134777869036515
YBR133C	0.4221533617465955
YBR134W	0.7086013517790957
YBR137W	-0.573296589412942
YBR138C	-0.5938114429346313
YBR139W	0.2642503710010613
YBR141C	-0.3979092803012526
YBR146W	0.01505366928702304
YBR147W	1.4630189209043774
YBR148W	1.2184625674378247
YBR149W	-0.16339997756297886
YBR151W	-0.657310357990178
YBR156C	0.9888878392810133
YBR157C	2.08069005067058
YBR158W	-0.5001316305142397
YBR159W	-1.527353909482197
YBR161W	1.2261606360906625
YBR162C	-0.8845887650812752
YBR163W	-3.331431886960408
YBR164C	-0.1992293162096415
YBR165W	-0.17309954417618212
YBR166C	-0.14184675519592208
YBR170C	0.19733820744259864
YBR171W	0.013494114214113666
YBR172C	2.0357097771527917
YBR175W	-0.619283489415253
YBR176W	0.3930155526775936
YBR178W	0.10161745074789338
YBR180W	-0.5942169937391518
YBR181C	0.7272110906465092
YBR182C	2.6515106665901045
YBR184W	-3.8840616649140065
YBR185C	0.14166136536178456
YBR187W	2.4162817243291856
YBR188C	0.4400425081237422
YBR194W	3.0453568979880052
YBR197C	0.29513151064202386
YBR199W	-0.8073768281260171
YBR200W	0.10582113947372304
YBR201W	-2.2926889738582856
YBR203W	-2.039433022125502
YBR204C	1.4347104595969438
YBR206W	0.03356349086457395
YBR207W	-0.5055895326404283
YBR208C	-0.0789294849397762
YBR209W	-1.34774781618958
YBR222C	-1.3897628364410766
YBR224W	0.5616909788549559
YBR225W	0.43231863776820895
YBR226C	-0.5338923862113337
YBR227C	-1.134642677798014
YBR228W	0.5505768132594829
YBR229C	0.3423535937682798
YBR230C	-1.6909632388584726
YBR231C	-0.8666837273696781
YBR232C	0.2232605289557934
YBR233W	2.162623382254159
YBR239C	1.1733437077378845
YBR240C	-0.09363624888093584
YBR241C	-0.5331894204413302
YBR242W	-0.45361325818218695
YBR244W	0.9352907787559749
YBR245C	1.176162055449325
YBR246W	-0.2962904725263599
YBR248C	-0.8492368731060366
YBR250W	0.3546433825876745
YBR255W	0.6829297025233402
YBR259W	-0.6379798074305271
