orf	hap alpha | expression of torsinA-delE | standard | SC - Leu + 5-FOA + Gal | Zacchi LF~Bernstein KA, 2017
YBL104C	0.01646758579447473
YBL106C	-0.3372877088293928
YBL107C	0.19625244013205648
YBR001C	0.06706597141444888
YBR003W	-0.05185215265104776
YBR006W	0.30307101692926847
YBR021W	-1.093245476442174
YBR022W	-0.2059229987871992
YBR023C	-0.009533042880848346
YBR024W	0.14228933126968787
YBR025C	0.5256506053316179
YBR026C	0.24806007519579581
YBR027C	-0.5173210278056538
YBR028C	0.5028620629054895
YBR030W	0.5142552779573791
YBR031W	0.0006203112147345494
YBR032W	0.03657821309889246
YBR034C	0.34942155237292005
YBR035C	0.14975406842872901
YBR036C	0.3041873118888
YBR037C	-0.28685817759873833
YBR040W	0.2675031152480845
YBR041W	0.2694015338365259
YBR042C	-0.24777456585965396
YBR043C	0.5515368044221447
YBR044C	0.6981921414832986
YBR045C	0.18301789594488097
YBR046C	0.1950304048516128
YBR048W	0.03577202856620136
YBR050C	-0.030343051085661304
YBR051W	0.19360049000230115
YBR052C	-0.05628646156769209
YBR053C	-0.07577859594967581
YBR054W	0.0821857888124244
YBR056W	0.37451402512965387
YBR057C	0.3170111349520374
YBR058C	-0.04963610733800392
YBR063C	-0.6000531293271433
YBR064W	0.20741757314370612
YBR065C	0.32995780529014973
YBR066C	-0.008880492183123728
YBR067C	0.24587307154017124
YBR068C	-0.12111383968863414
YBR069C	-0.3400997366010989
YBR071W	0.008719115258349543
YBR072W	0.21742261289818532
YBR073W	-0.3656309429105387
YBR074W	0.4001155037042935
YBR076W	0.2827967981321308
YBR077C	-0.23380658445443897
YBR078W	0.011624362577957249
YBR081C	0.1693127783754073
YBR084W	-0.23045887470736215
YBR085W	0.15346281458472116
YBR089C-A	0.24865466887735352
YBR093C	0.20465500381417426
YBR094W	-0.1970880913204525
YBR095C	0.20102652687509484
YBR096W	-0.5590985254946514
YBR098W	-0.24634684444869537
YBR099C	-0.5843996155131447
YBR101C	-0.23343603818296896
YBR104W	0.01719782734980338
YBR105C	0.4649469764695527
YBR126C	0.1684293986432072
