orf	hap a (post-SGA) | growth (spot assay) | expression of A-beta-42 | SC - Ura, Gal [2%] | Picon-Pages P~Munoz FJ, 2023
YGL241W	3.2256041438721814
YGL253W	3.2256041438721814
YGL255W	-3.1610920609947386
YGR006W	3.2256041438721814
YGR015C	3.2256041438721814
YGR034W	-3.1610920609947386
YGR035C	-3.1610920609947386
YGR043C	-3.1610920609947386
YGR062C	-3.1610920609947386
YGR070W	-3.1610920609947386
YGR081C	3.2256041438721814
YGR093W	-3.1610920609947386
YGR102C	-3.1610920609947386
YGR112W	-3.1610920609947386
YGR129W	-3.1610920609947386
YGR133W	3.2256041438721814
YGR138C	-3.1610920609947386
YGR150C	-3.1610920609947386
YGR165W	-3.1610920609947386
YGR171C	-3.1610920609947386
YGR204W	-3.1610920609947386
YGR215W	-3.1610920609947386
YGR220C	-3.1610920609947386
YGR222W	-3.1610920609947386
YGR226C	3.2256041438721814
YGR255C	-3.1610920609947386
YGR257C	-3.1610920609947386
YGR271C-A	3.2256041438721814
YGR284C	3.2256041438721814
YHL006C	-3.1610920609947386
YHL008C	-3.1610920609947386
YHL010C	-3.1610920609947386
YHL019C	-3.1610920609947386
YHL034C	-3.1610920609947386
YHL035C	-3.1610920609947386
YHL038C	-3.1610920609947386
YHL045W	-3.1610920609947386
YHL046C	-3.1610920609947386
YHL047C	-3.1610920609947386
YHR011W	-3.1610920609947386
YHR012W	-3.1610920609947386
YHR015W	-3.1610920609947386
YHR021C	3.2256041438721814
YHR025W	3.2256041438721814
YHR037W	-3.1610920609947386
YHR050W-A	-3.1610920609947386
YHR051W	-3.1610920609947386
YHR064C	3.2256041438721814
YHR116W	-3.1610920609947386
YHR147C	-3.1610920609947386
YHR151C	-3.1610920609947386
YHR155W	-3.1610920609947386
YHR168W	-3.1610920609947386
YHR198C	-3.1610920609947386
YIL002C	-3.1610920609947386
YIL006W	-3.1610920609947386
YIL036W	-3.1610920609947386
YIL039W	-3.1610920609947386
YIL041W	-3.1610920609947386
YIL049W	-3.1610920609947386
YIL050W	-3.1610920609947386
YIL053W	-3.1610920609947386
YIL064W	-3.1610920609947386
YIL071C	-3.1610920609947386
YIL073C	-3.1610920609947386
YIL077C	-3.1610920609947386
YIL092W	-3.1610920609947386
YIL114C	-3.1610920609947386
YIL135C	-3.1610920609947386
YIL152W	-3.1610920609947386
YIL154C	3.2256041438721814
YIL156W	3.2256041438721814
YIL157C	3.2256041438721814
YIR016W	-3.1610920609947386
YIR029W	-3.1610920609947386
YJL007C	-3.1610920609947386
YJL012C	3.2256041438721814
YJL023C	-3.1610920609947386
YJL027C	3.2256041438721814
YJL055W	-3.1610920609947386
YJL062W-A	-3.1610920609947386
YJL080C	3.2256041438721814
YJL095W	-3.1610920609947386
YJL096W	-3.1610920609947386
YJL102W	-3.1610920609947386
YJL116C	-3.1610920609947386
YJL120W	-3.1610920609947386
YJL123C	3.2256041438721814
YJL124C	3.2256041438721814
YJL141C	3.2256041438721814
YJL147C	-3.1610920609947386
YJL149W	-3.1610920609947386
YJL163C	-3.1610920609947386
YJL176C	3.2256041438721814
YJL188C	3.2256041438721814
YJL192C	-3.1610920609947386
YJL193W	-3.1610920609947386
YJL209W	-3.1610920609947386
YJR030C	-3.1610920609947386
YJR031C	-3.1610920609947386
YJR101W	-3.1610920609947386
YJR113C	-3.1610920609947386
YJR137C	-3.1610920609947386
YJR144W	-3.1610920609947386
YJR146W	-3.1610920609947386
YKL002W	-3.1610920609947386
YKL003C	-3.1610920609947386
YKL009W	3.2256041438721814
YKL073W	-3.1610920609947386
YKL096C-B	3.2256041438721814
YKL097C	-3.1610920609947386
YKL137W	-3.1610920609947386
YKL139W	3.2256041438721814
YKL163W	3.2256041438721814
YKL169C	-3.1610920609947386
YKL170W	-3.1610920609947386
YKL174C	-3.1610920609947386
YKL187C	-3.1610920609947386
YKL202W	-3.1610920609947386
YKR024C	3.2256041438721814
YKR035W-A	-3.1610920609947386
YKR046C	-3.1610920609947386
YKR085C	-3.1610920609947386
YKR088C	-3.1610920609947386
YKR093W	-3.1610920609947386
YKR095W	3.2256041438721814
YKR097W	-3.1610920609947386
YLL002W	3.2256041438721814
YLL013C	3.2256041438721814
YLL018C-A	-3.1610920609947386
YLL024C	3.2256041438721814
YLL033W	-3.1610920609947386
YLL039C	-3.1610920609947386
YLL043W	3.2256041438721814
YLL046C	3.2256041438721814
YLL047W	-3.1610920609947386
YLL054C	-3.1610920609947386
YLR015W	3.2256041438721814
YLR025W	-3.1610920609947386
YLR038C	-3.1610920609947386
YLR046C	3.2256041438721814
YLR047C	3.2256041438721814
YLR048W	3.2256041438721814
YLR055C	-3.1610920609947386
YLR056W	-3.1610920609947386
YLR057W	3.2256041438721814
YLR061W	3.2256041438721814
YLR062C	3.2256041438721814
YLR063W	3.2256041438721814
YLR067C	-3.1610920609947386
YLR069C	-3.1610920609947386
YLR072W	3.2256041438721814
YLR079W	3.2256041438721814
YLR091W	-3.1610920609947386
YLR096W	-3.1610920609947386
YLR098C	-3.1610920609947386
YLR137W	-3.1610920609947386
YLR139C	-3.1610920609947386
YLR148W	-3.1610920609947386
YLR150W	-3.1610920609947386
YLR151C	-3.1610920609947386
YLR182W	3.2256041438721814
YLR183C	-3.1610920609947386
YLR201C	-3.1610920609947386
YLR202C	-3.1610920609947386
YLR203C	-3.1610920609947386
YLR209C	-3.1610920609947386
YLR282C	-3.1610920609947386
YLR285W	-3.1610920609947386
YLR322W	3.2256041438721814
YLR337C	-3.1610920609947386
YLR363C	-3.1610920609947386
YLR369W	3.2256041438721814
YLR382C	-3.1610920609947386
YLR396C	-3.1610920609947386
YLR418C	3.2256041438721814
YLR429W	-3.1610920609947386
YLR431C	-3.1610920609947386
YLR433C	3.2256041438721814
YLR439W	-3.1610920609947386
YLR446W	-3.1610920609947386
YML008C	-3.1610920609947386
YML009W-B	3.2256041438721814
YML012C-A	3.2256041438721814
YML014W	3.2256041438721814
YML024W	3.2256041438721814
YML050W	3.2256041438721814
YML061C	3.2256041438721814
YML108W	-3.1610920609947386
YML121W	-3.1610920609947386
YMR018W	3.2256041438721814
YMR024W	-3.1610920609947386
YMR025W	-3.1610920609947386
YMR030W	-3.1610920609947386
YMR032W	-3.1610920609947386
YMR035W	-3.1610920609947386
YMR040W	-3.1610920609947386
YMR044W	-3.1610920609947386
YMR064W	-3.1610920609947386
YMR072W	-3.1610920609947386
YMR086W	-3.1610920609947386
YMR089C	-3.1610920609947386
YMR111C	-3.1610920609947386
YMR116C	3.2256041438721814
YMR119W	-3.1610920609947386
YMR122C	-3.1610920609947386
YMR150C	-3.1610920609947386
YMR158W	-3.1610920609947386
YMR159C	-3.1610920609947386
YMR174C	-3.1610920609947386
YMR179W	3.2256041438721814
YMR198W	3.2256041438721814
YMR222C	3.2256041438721814
YMR228W	-3.1610920609947386
YMR242W-A	3.2256041438721814
YNL022C	3.2256041438721814
YNL027W	3.2256041438721814
YNL068C	-3.1610920609947386
YNL074C	-3.1610920609947386
YNL076W	3.2256041438721814
YNL081C	-3.1610920609947386
YNL093W	-3.1610920609947386
YNL095C	-3.1610920609947386
YNL097C	-3.1610920609947386
YNL122C	-3.1610920609947386
YNL138W	3.2256041438721814
YNL143C	-3.1610920609947386
YNL146W	3.2256041438721814
YNL177C	-3.1610920609947386
YNL183C	-3.1610920609947386
YNL184C	-3.1610920609947386
YNL190W	-3.1610920609947386
YNL194C	-3.1610920609947386
YNL196C	-3.1610920609947386
YNL201C	-3.1610920609947386
YNL208W	-3.1610920609947386
YNL213C	-3.1610920609947386
YNL219C	-3.1610920609947386
YNL220W	3.2256041438721814
YNL225C	-3.1610920609947386
YNL252C	-3.1610920609947386
YNR036C	-3.1610920609947386
YNR041C	-3.1610920609947386
YNR052C	3.2256041438721814
YNR074C	-3.1610920609947386
YNR075W	-3.1610920609947386
YOL004W	-3.1610920609947386
YOL007C	-3.1610920609947386
YOL009C	-3.1610920609947386
YOL013W-A	-3.1610920609947386
YOL033W	-3.1610920609947386
YOL045W	3.2256041438721814
YOL046C	3.2256041438721814
YOL054W	3.2256041438721814
YOL085C	3.2256041438721814
YOL104C	-3.1610920609947386
YOL105C	-3.1610920609947386
YOL129W	-3.1610920609947386
YOR113W	3.2256041438721814
YOR120W	3.2256041438721814
YOR125C	-3.1610920609947386
YOR141C	3.2256041438721814
YOR175C	-3.1610920609947386
YOR187W	-3.1610920609947386
YOR196C	3.2256041438721814
YOR253W	-3.1610920609947386
YOR269W	-3.1610920609947386
YOR277C	-3.1610920609947386
YOR285W	-3.1610920609947386
YOR298C-A	-3.1610920609947386
YOR300W	-3.1610920609947386
YOR301W	3.2256041438721814
YOR309C	3.2256041438721814
YOR312C	3.2256041438721814
YOR330C	-3.1610920609947386
YOR344C	-3.1610920609947386
YOR346W	-3.1610920609947386
YOR360C	-3.1610920609947386
YOR364W	-3.1610920609947386
YOR378W	-3.1610920609947386
YPL005W	-3.1610920609947386
YPL008W	3.2256041438721814
YPL013C	-3.1610920609947386
YPL065W	-3.1610920609947386
YPL078C	-3.1610920609947386
YPL098C	3.2256041438721814
YPL104W	-3.1610920609947386
YPL106C	3.2256041438721814
YPL132W	-3.1610920609947386
YPL145C	3.2256041438721814
YPL174C	3.2256041438721814
YPL178W	3.2256041438721814
YPL189C-A	-3.1610920609947386
YPL216W	-3.1610920609947386
YPL240C	3.2256041438721814
YPL247C	-3.1610920609947386
YPR023C	-3.1610920609947386
YPR036W	-3.1610920609947386
YPR043W	3.2256041438721814
YPR047W	-3.1610920609947386
YPR057W	3.2256041438721814
YPR060C	-3.1610920609947386
YPR096C	3.2256041438721814
YPR100W	-3.1610920609947386
YPR155C	-3.1610920609947386
YPR159C-A	3.2256041438721814
YPR159W	3.2256041438721814
YPR172W	-3.1610920609947386
