orf	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [50 uM] | Choi J~O'Shea EK, 2017	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [1 mM] | Choi J~O'Shea EK, 2017
YBL019W	-0.3498600870379578	-0.06650908441149488
YBL021C	1.0113417730713241	0.09595796606911228
YBL022C	1.1897840029069142	-0.07240543002696417
YBL024W	0.6666716602152404	-0.09775445970122838
YBL027W	-2.8237488111016056	-0.32522975723366904
YBL028C	0.10664894156334655	-0.10379616335149855
YBL029C-A	-0.03342563339095639	-0.006135429467167441
YBL029W	-0.08269136996088733	-0.054938160862364666
YBL031W	0.014700745717456165	-0.0754684161611577
YBL032W	1.215600350265551	-0.18683168941509587
YBL036C	0.4740353937029953	-0.02191811474241545
YBL037W	-0.498335913325453	-0.04718022480778578
YBL038W	0.6786538363384395	-0.040240694948849486
YBL039C	0.33004776832636235	-0.031095661754893547
YBL039W-B	-0.03192169132736863	0.0032935603354088496
YBL042C	-0.7388215436967416	-0.08146916117604273
YBL043W	-0.16737765954897318	0.005718940747530608
YBL044W	0.18036600367931074	-0.04136013571301674
YBL045C	0.6560076497784056	-0.03189891063383007
YBL046W	0.4682716668287421	-0.24785357443525993
YBL047C	0.3548683650710475	-0.19687438893435835
YBL048W	-0.20106163951392922	0.03526208506619621
YBL049W	0.3114981330999127	-0.010294943949097366
YBL051C	-0.17684183111913532	-0.13807805673689844
YBL053W	0.10534677691667138	0.03820777931923297
YBL054W	0.5426852245524545	0.1419056651086409
YBL055C	-0.2487201466391277	0.04701869061809378
YBL056W	0.5937141821966797	-0.03301733590599291
YBL057C	0.2714124548564045	0.023444945380737787
YBL059W	0.2526280522833136	0.065536238639446
YBL060W	-0.06697096151812391	0.034516642914602845
YBL061C	1.7196385176180058	-0.006017050156538352
YBL062W	1.7310035830974935	0.07116614509239956
YBL063W	-0.761089885751363	-0.02250237852719053
YBL065W	1.5542010002851243	0.12390655860976868
YBL066C	1.5085374620995016	0.22637473824680224
YBL067C	-1.5279654544103298	0.16940213681951158
YBL068W	-0.06270504608149767	-0.19213350482732472
YBL069W	0.15264443650564838	-0.01997444997510707
YBL070C	-0.2885477254902371	0.10484681383400503
YBL071C	-0.6634454251133334	-0.12376205533646793
YBL071W-A	-1.651337185848795	-0.03573341307393559
YBL072C	-1.3981917563020652	-0.39571946662196417
YBL075C	-0.11338158752312373	0.13017809196878016
YBL078C	0.5255445942921323	0.07650900930038877
YBL079W	0.8252183251877074	-0.1693257192958739
YBL080C	0.30595492033888716	0.18876503789525978
YBL081W	0.3578791832249803	-0.15796725996649022
YBL082C	1.524603622900494	-0.13352052955657084
YBL083C	1.5104247192928961	-0.1736803072548864
YBL085W	0.6451391160548328	0.13220676657067945
YBL086C	0.6718061285804403	0.08654644960222296
YBL087C	-0.1458019859406079	-0.282511024397315
YBL088C	0.26379047671634154	0.03721587996835061
YBL089W	0.6312091967336159	0.007961524825179847
YBL090W	1.0719824755162854	0.002376094898012974
YBL091C	0.2071522604864405	0.3076534795224749
YBL091C-A		-0.09749267764952486
YBL094C	2.0224310280409767	0.4437261144483331
YBL095W	0.5942750366712138	0.05948530880552244
YBL096C	0.219936643843431	0.10456274585883728
YBL098W	-0.20309933061387428	0.03973596056757742
YBL099W	1.425513896360371	0.1358161063802288
YBL100C	1.4565894456232673	0.16426108167352557
YBL100W-C	-0.008491999235856973	-0.006123212027439623
YBL101C	0.28996016760304766	-0.15115200929035905
YBL102W	-0.6408690077410393	0.12097891887544261
YBL103C	0.3455259979993072	0.8082966674895444
YBL104C	1.3461301152439828	-0.26573982004745506
YBL106C	-0.269683009969925	0.08173831597273365
YBL107C	0.0018895004761677232	0.19362103522333038
YBR001C	-0.3279464235732618	0.21668375549802657
YBR003W	0.7445993478051784	0.1808448640112871
YBR005W	0.10016704704456576	0.13756468305225514
YBR006W	0.20657177423198161	0.2138042243090358
YBR007C	-0.10777247078549064	0.028559481120677344
YBR008C	0.2887574169973674	0.067224899978827
YBR009C	0.639505668900671	0.015032523885678347
