ORF	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [50 uM] | Choi J~O'Shea EK, 2017	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [1 mM] | Choi J~O'Shea EK, 2017
YGR252W	-1.892	-1.238
YGR254W	0.105	-0.029
YGR255C	0.509	0.221
YGR257C	0.557	0.436
YGR258C	-0.062	0.064
YGR259C	0.588	0.516
YGR260W	-0.096	0.085
YGR261C	-0.095	0.081
YGR263C	-2.641	-0.207
YGR265W	-0.210	0.139
YGR266W	0.436	0.003
YGR268C	-3.877	-0.939
YGR269W	-2.319	-0.419
YGR270W	-1.044	-0.250
YGR271C-A	-2.442	-0.281
YGR271W	-0.383	-0.020
YGR273C	-0.574	0.201
YGR275W	0.092	0.286
YGR276C	-0.028	0.218
YGR279C	-0.129	0.171
YGR281W	0.420	-0.007
YGR282C	-0.017	-0.140
YGR284C	0.359	-0.094
YGR285C	-0.042	-0.132
YGR286C	-0.056	-0.002
YGR287C	0.545	-0.167
YGR288W	-0.606	-0.107
YGR289C	-0.030	0.126
YGR290W	-0.206	-0.073
YGR291C	-0.428	0.129
YGR292W	-0.185	0.045
YGR295C	-0.091	0.156
YHL001W	-0.531	-0.300
YHL002W	1.176	-0.397
YHL003C	-1.054	-0.108
YHL004W	0.510	-0.088
YHL005C	0.350	0.040
YHL006C	-0.541	-0.078
YHL008C	0.023	0.043
YHL009C	-0.415	0.004
YHL010C	0.008	0.081
YHL011C	-2.293	-1.280
YHL012W	-0.466	0.027
YHL014C	-0.048	0.086
YHL015W-A	-0.089	0.063
YHL016C	-0.542	0.070
YHL017W	-0.612	-0.107
YHL019C	-0.133	-0.080
YHL020C	-0.133	1.229
YHL021C	0.380	0.077
YHL022C	-0.384	-0.036
YHL023C	-2.946	0.238
YHL024W	-0.034	0.046
YHL026C	0.408	0.026
YHL027W	-0.540	0.014
YHL028W	-0.407	0.027
YHL029C	0.086	-0.227
YHL030W	-0.121	0.093
YHL031C	0.661	0.115
YHL032C	-0.627	0.015
YHL034C	-0.876	-0.161
YHL035C	-0.124	0.214
YHL036W	-0.597	-0.135
YHL037C	0.094	0.011
YHL039W	-0.134	-0.033
YHL040C	0.048	0.054
YHL041W	-0.563	-0.115
YHL042W	-0.471	-0.117
YHL043W	-0.585	-0.025
YHL044W	-0.556	-0.106
YHL045W	-0.283	0.036
YHL046C	-0.517	-0.069
YHL047C	-0.405	-0.170
YHR001W	-0.132	0.247
YHR001W-A	-0.678	-0.079
YHR003C	0.084	-0.074
YHR004C	-0.551	-0.134
YHR005C	0.113	-0.058
YHR006W	0.011	-0.051
YHR007C-A	0.110	0.081
YHR008C	0.256	-0.257
YHR009C	0.044	-0.232
YHR010W	-3.171	-1.149
YHR011W	0.836	0.056
YHR012W	1.024	0.455
YHR013C	-0.507	0.419
YHR014W	0.201	0.065
YHR016C	-0.140	-0.012
YHR017W	-0.100	0.017
YHR021C	1.052	0.345
YHR021W-A	0.392	-0.262
YHR022C	-0.702	-0.077
YHR022C-A	0.039	0.156
YHR025W	0.641	-0.099
YHR028C	-0.938	-0.042
YHR029C	0.132	0.114
YHR030C	-2.238	0.236
YHR031C	-0.299	-0.243
YHR032W	0.145	0.074
YHR033W	-1.460	-0.082
YHR034C	-2.289	-0.298
YHR035W	-0.695	-0.073
YHR037W	-0.392	-0.136
YHR038W	-0.223	-0.037
YHR039C	-0.340	-0.034
YHR041C	-2.999	-0.514
YHR043C	-0.165	-0.099
YHR044C	-0.116	0.012
YHR045W	-0.008	0.019
YHR046C	-0.611	-0.315
YHR047C	0.039	0.005
YHR048W	-0.189	-0.005
YHR049C-A	-0.124	0.070
YHR049W	-0.308	-0.211
YHR050W	0.365	0.009
YHR050W-A	0.292	0.142
YHR051W	0.855	-0.256
YHR057C	-0.058	-0.040
YHR059W	0.945	0.275
YHR061C	-0.998	NaN
YHR063C	0.087	-0.071
YHR064C	0.618	0.090
YHR066W	-1.423	-0.455
YHR067W	-2.031	0.269
YHR071W	-0.399	0.112
YHR073W	0.432	-0.347
YHR075C	-0.855	-0.218
YHR076W	-0.392	-0.158
YHR077C	-1.225	-2.204
YHR078W	-0.175	0.111
YHR079C	-0.046	0.053
YHR079C-A	-0.059	-0.232
YHR080C	-0.199	0.019
YHR081W	-0.984	-0.446
YHR082C	-0.064	-0.414
YHR086W	0.196	-0.096
YHR086W-A	-0.275	0.051
YHR087W	-0.595	-0.264
YHR090C	-0.119	-0.035
YHR091C	NaN	-0.067
YHR092C	-0.291	0.004
YHR093W	-0.203	0.065
YHR094C	0.479	0.070
YHR095W	0.028	0.035
YHR097C	0.090	0.005
YHR098C	-0.245	0.065
YHR100C	0.514	-0.032
YHR103W	0.272	-0.079
YHR104W	-0.546	-0.014
YHR105W	0.540	-0.021
YHR106W	-0.354	0.001
YHR108W	0.762	-0.172
YHR109W	-0.506	-0.123
YHR110W	-0.231	-0.133
YHR112C	-0.168	0.048
YHR113W	-0.513	0.116
YHR114W	0.016	0.075
YHR115C	-0.461	-0.234
YHR116W	0.476	-0.001
YHR117W	-0.801	-0.128
YHR120W	0.666	0.051
YHR121W	-0.727	-0.331
YHR123W	-0.393	-0.165
YHR124W	-0.026	0.075
YHR125W	0.340	0.043
YHR126C	0.261	0.005
YHR127W	-0.065	0.021
YHR129C	0.626	-0.020
YHR130C	-0.304	-0.087
YHR131C	0.055	0.007
YHR132C	0.003	0.044
YHR132W-A	-0.151	-0.013
YHR133C	-0.218	-0.084
YHR134W	-0.167	-0.016
YHR135C	-0.737	-0.023
YHR136C	-1.100	-0.153
YHR137W	-1.321	0.049
YHR138C	0.238	-0.020
YHR139C	-0.007	0.057
YHR139C-A	0.203	0.176
YHR140W	0.272	0.037
YHR141C	-0.044	-0.329
YHR142W	0.647	-0.080
YHR143W	1.597	-0.050
YHR146W	-0.080	0.133
YHR147C	0.629	-0.115
YHR149C	-2.177	-0.160
YHR150W	-0.623	-0.169
YHR151C	-2.174	0.059
YHR152W	0.294	0.042
YHR153C	-0.098	-0.033
YHR154W	0.425	0.009
YHR155W	-0.094	-0.165
YHR156C	-0.241	0.069
YHR157W	-0.787	-0.105
YHR158C	0.806	-0.127
YHR159W	0.067	0.149
YHR160C	-0.077	0.022
YHR161C	0.028	0.067
YHR163W	-0.398	-0.018
YHR168W	0.778	0.163
YHR171W	-0.868	0.053
YHR175W-A	-0.291	0.009
YHR176W	-0.189	0.035
YHR178W	-0.040	-0.008
YHR179W	-0.772	0.037
YHR180W	0.093	-0.040
YHR181W	-0.379	0.097
YHR182W	0.175	0.004
YHR183W	1.773	0.885
YHR184W	-0.130	0.100
YHR185C	-0.380	-0.037
YHR187W	-0.718	-0.216
YHR189W	0.606	0.082
YHR191C	0.933	0.131
YHR192W	0.005	0.089
YHR194W	0.159	0.016
YHR195W	-0.561	-0.281
YHR198C	-0.235	-0.242
YHR199C	-0.966	-0.230
YHR200W	-0.336	-0.252
YHR202W	-0.032	-0.036
YHR203C	-2.212	NaN
YHR204W	-0.024	0.032
YHR205W	0.673	-0.012
YHR206W	0.070	-0.262
YHR207C	0.365	-0.117
YHR209W	-0.600	-0.174
YHR210C	-0.159	-0.038
YIL001W	0.331	0.135
YIL002C	0.135	0.077
YIL002W-A	-0.041	0.032
YIL005W	0.896	-0.117
YIL006W	-0.216	-0.071
YIL007C	NaN	-0.252
YIL008W	-0.423	-0.091
YIL009C-A	-0.122	-0.188
YIL009W	-0.058	-0.063
YIL010W	-0.456	0.003
YIL011W	0.096	0.122
YIL012W	-0.141	0.165
YIL013C	0.085	0.024
YIL014C-A	-0.176	0.007
YIL014W	-2.989	-0.599
YIL015W	-1.097	0.174
YIL016W	0.108	-0.124
YIL017C	0.110	0.001
YIL018W	1.034	2.266
YIL020C	0.389	1.066
YIL023C	-0.011	0.273
YIL024C	0.312	0.011
YIL027C	0.162	0.045
YIL028W	-0.369	0.068
YIL029C	0.095	0.208
YIL030C	0.291	1.367
YIL032C	0.479	0.326
YIL034C	0.594	0.442
YIL035C	-0.259	-0.076
YIL036W	-0.161	0.003
YIL037C	-0.145	0.113
YIL038C	0.142	-0.156
YIL039W	0.391	-0.102
YIL040W	-0.789	0.001
YIL041W	1.339	0.189
YIL042C	-0.141	-0.060
YIL043C	0.942	1.014
YIL045W	0.219	0.216
YIL046W-A	-0.182	0.041
YIL047C	-0.229	-0.064
YIL050W	-0.017	0.145
YIL052C	-0.446	-0.041
YIL054W	-0.039	-0.056
YIL055C	0.260	0.091
YIL056W	-0.367	-0.061
YIL058W	0.254	1.300
YIL059C	-0.063	-0.069
YIL060W	-0.072	-0.213
YIL064W	0.040	0.116
YIL065C	-0.069	0.105
YIL066C	-0.564	0.157
YIL067C	0.250	-0.077
YIL069C	NaN	-0.079
YIL070C	-0.039	-0.021
YIL071C	-0.197	0.102
YIL072W	0.510	0.115
YIL073C	0.043	0.116
YIL074C	0.230	-0.117
YIL076W	0.916	-0.444
YIL079C	-0.134	0.032
YIL084C	0.113	-0.058
YIL085C	-1.419	-0.152
YIL086C	-0.036	-0.120
YIL087C	-0.148	-0.057
YIL089W	-0.190	-0.075
YIL090W	0.431	-0.214
YIL092W	NaN	0.245
YIL093C	0.161	-0.210
YIL095W	-0.201	-0.113
YIL096C	-0.436	-0.107
YIL097W	-0.219	-0.010
YIL098C	-0.085	-0.127
YIL099W	0.412	0.119
YIL100W	0.195	0.022
YIL101C	-0.239	0.000
YIL102C	-1.614	-0.203
YIL103W	0.073	-0.161
YIL105C	0.360	0.069
YIL107C	0.031	0.140
YIL108W	0.377	0.156
YIL110W	-1.378	-0.209
YIL111W	-0.352	-0.080
YIL112W	-0.240	-0.003
YIL113W	-0.175	0.011
YIL114C	-0.967	-0.181
YIL116W	-0.492	-0.085
YIL117C	0.912	-0.098
YIL119C	-0.475	0.008
YIL120W	0.241	-0.024
YIL122W	0.009	-0.115
YIL123W	-1.492	-0.169
YIL124W	-0.592	-0.129
YIL127C	0.295	0.208
YIL128W	-1.409	-0.351
YIL130W	0.290	-0.166
YIL131C	0.766	0.088
YIL132C	-1.097	-0.293
YIL133C	-1.775	-0.458
YIL134C-A	0.196	0.199
YIL134W	1.268	-0.195
YIL135C	-1.527	-0.197
YIL136W	-0.420	0.002
YIL137C	-1.432	-0.163
YIL138C	-0.424	-0.115
YIL139C	0.288	-0.062
YIL140W	-0.286	-0.194
YIL141W	0.268	0.052
YIL145C	-0.374	-0.232
YIL146C	0.391	-0.048
YIL148W	0.121	0.010
YIL149C	-0.017	0.030
YIL152W	-1.449	-0.158
YIL153W	0.673	0.739
YIL156W	-0.461	0.031
YIL158W	-1.118	-0.172
YIL160C	0.164	0.003
YIL161W	-0.096	-0.038
YIL162W	0.369	-0.036
YIL163C	-0.058	0.064
YIL164C	0.032	0.044
YIL165C	0.169	0.099
YIL166C	-0.332	0.021
YIL167W	0.159	-0.092
YIL168W	-1.104	-0.173
YIL170W	0.046	-0.056
YIL171W	-0.108	0.052
YIL173W	0.002	0.129
YIR001C	-1.178	-0.078
YIR002C	-0.751	-0.201
YIR003W	0.602	0.028
YIR004W	-1.333	-0.199
YIR005W	-0.489	-0.338
YIR007W	-0.019	-0.002
YIR013C	0.584	0.141
YIR014W	0.018	-0.129
YIR016W	-0.131	-0.117
YIR017C	-0.161	0.077
YIR018C-A	-0.169	0.070
YIR018W	-0.076	-0.284
YIR019C	-3.068	-1.139
YIR020C	-1.670	-0.137
YIR021W	NaN	0.174
YIR021W-A	-0.054	0.075
YIR023W	0.039	0.231
YIR024C	-1.819	-0.253
YIR025W	-0.019	-0.219
YIR026C	-1.373	-0.311
YIR028W	-0.595	-0.074
YIR029W	-0.068	-0.096
YIR030C	-0.927	0.018
YIR032C	0.084	0.224
YIR033W	-2.416	-0.124
YIR034C	-0.033	-0.145
YIR035C	-0.287	-0.270
YIR036C	0.134	-0.142
YIR037W	0.107	0.605
YIR038C	0.547	-0.057
YIR039C	-0.834	0.051
YIR042C	-0.320	-0.012
YIR043C	-0.046	0.139
YIR044C	0.409	0.147
YJL003W	0.051	-0.052
YJL004C	-0.911	0.100
YJL006C	-1.148	NaN
YJL007C	-0.400	0.065
YJL012C	-0.103	0.104
YJL013C	-0.295	0.138
YJL015C	-0.314	0.173
YJL016W	-0.210	0.182
YJL020C	0.309	0.090
YJL022W	-0.864	-0.114
YJL023C	0.778	-0.083
YJL024C	-2.404	-0.019
YJL027C	-0.215	0.060
YJL028W	0.064	0.046
YJL029C	1.125	0.140
YJL030W	0.086	-0.080
YJL036W	-0.366	-0.359
YJL037W	-0.004	-0.114
YJL038C	0.156	-0.027
YJL042W	-0.230	-0.065
YJL043W	0.229	-0.114
YJL044C	0.255	-0.227
YJL045W	0.172	-0.136
YJL046W	-0.962	0.243
YJL047C	0.855	-0.006
YJL047C-A	0.133	0.062
YJL048C	-0.003	-0.030
YJL049W	-0.226	-0.077
YJL051W	0.433	-0.215
YJL052W	0.167	-0.079
YJL053W	1.677	0.341
YJL055W	-0.596	-0.193
YJL056C	0.551	-0.005
YJL057C	-0.089	0.291
YJL058C	-0.318	0.193
YJL059W	-0.470	0.142
YJL060W	-0.749	0.073
YJL062W	0.728	-0.045
YJL062W-A	0.419	0.107
YJL063C	0.944	-0.248
YJL064W	-1.269	0.041
YJL065C	-0.737	-0.014
YJL066C	-0.885	0.208
YJL067W	0.275	0.321
YJL068C	0.117	0.398
YJL070C	0.101	NaN
YJL073W	-0.312	0.066
YJL075C	-0.237	-0.043
YJL077C	-1.047	-0.061
YJL077W-B	0.143	0.135
YJL078C	0.612	0.134
YJL079C	0.277	-0.098
YJL082W	-0.747	-0.123
YJL083W	-0.288	0.002
YJL084C	-0.102	0.037
YJL088W	-0.659	-0.002
YJL089W	-0.318	0.040
YJL092W	0.175	0.026
YJL093C	-0.127	0.103
YJL094C	0.134	0.086
YJL095W	-1.707	NaN
YJL096W	0.552	0.379
YJL098W	1.062	-0.040
YJL099W	1.653	-0.044
YJL100W	0.141	0.096
YJL101C	NaN	2.129
YJL102W	0.751	0.043
YJL103C	-0.265	0.171
YJL105W	-0.167	0.044
YJL106W	-0.660	0.061
YJL107C	-0.097	-0.010
YJL108C	0.034	0.043
YJL110C	-0.362	-0.155
YJL112W	-0.324	-0.012
YJL115W	0.745	-0.283
YJL116C	0.081	0.142
YJL117W	0.147	0.020
YJL118W	0.162	-0.027
YJL119C	0.028	0.072
YJL120W	-1.680	0.152
YJL121C	-1.937	0.250
YJL122W	-0.438	-0.031
YJL123C	-0.112	0.049
YJL124C	0.791	0.297
YJL126W	-0.473	-0.037
YJL127C	-0.059	0.139
YJL127C-B	0.165	0.074
YJL128C	0.357	-0.087
YJL129C	NaN	-0.469
YJL131C	0.069	0.245
YJL132W	NaN	0.078
YJL133W	-0.296	0.134
YJL134W	1.432	-0.182
YJL135W	1.245	0.058
YJL136C	1.433	0.168
YJL136W-A	-0.218	0.071
YJL137C	-0.374	-0.035
YJL138C	-0.123	0.420
YJL139C	0.102	0.047
YJL140W	NaN	0.218
YJL141C	-0.187	-0.154
YJL142C	-0.652	-0.011
YJL144W	0.121	0.170
YJL146W	0.237	0.069
YJL147C	-0.188	0.004
YJL149W	-0.635	-0.166
YJL150W	0.355	0.135
YJL151C	-0.092	0.125
YJL152W	-0.255	0.035
YJL155C	-1.272	-0.024
YJL157C	-0.038	0.171
YJL160C	-0.143	-0.010
YJL161W	-0.237	0.180
YJL162C	-0.485	-0.027
YJL163C	NaN	0.043
YJL164C	-0.273	-0.172
YJL165C	NaN	-0.021
YJL166W	-0.162	0.103
YJL169W	1.176	-0.123
YJL170C	-0.455	-0.095
YJL171C	0.293	-0.056
YJL172W	NaN	0.062
YJL175W	-3.710	NaN
YJL177W	0.718	-0.047
YJL178C	-1.352	-0.022
YJL180C	1.536	0.090
YJL181W	-0.010	-0.052
YJL183W	0.888	-0.247
YJL185C	-0.251	-0.255
YJL186W	-0.724	-0.056
YJL187C	-0.068	0.002
YJL188C	-2.748	NaN
YJL190C	0.686	-0.048
YJL191W	NaN	0.028
YJL192C	0.331	-0.158
YJL193W	-0.793	-0.191
YJL195C	0.244	0.061
YJL196C	0.111	0.119
YJL197W	0.082	0.064
YJL198W	0.415	3.827
YJL199C	-0.035	-0.074
YJL200C	-1.055	0.081
YJL201W	-0.450	-0.058
YJL204C	1.052	0.330
YJL205C	-0.400	-0.041
YJL206C	-0.612	-0.053
YJL207C	-0.184	-0.092
YJL208C	-0.891	-0.125
YJL209W	0.372	0.061
YJL210W	0.219	-0.125
YJL211C	1.925	0.065
YJL212C	-0.123	-0.002
YJL213W	-1.221	-0.146
YJL214W	-0.467	-0.037
YJL215C	-0.266	-0.004
YJL216C	-0.901	-0.058
YJL217W	-0.005	-0.071
YJL218W	-0.283	-0.025
YJR001W	0.178	-0.077
YJR003C	0.373	0.027
YJR004C	-0.064	0.036
YJR005W	-0.938	-0.181
YJR008W	0.317	-0.252
YJR009C	0.133	0.217
YJR010C-A	0.106	0.202
YJR010W	-0.077	0.090
YJR011C	-1.618	0.063
YJR014W	-0.371	0.261
YJR015W	-0.572	NaN
YJR018W	0.778	0.184
YJR019C	-0.540	0.110
YJR020W	-0.070	-0.043
YJR021C	-0.539	0.009
YJR024C	-0.365	0.124
YJR025C	0.318	0.212
YJR026W	-0.030	-0.189
YJR030C	0.089	-0.111
YJR031C	-0.064	-0.082
YJR033C	-0.513	0.153
YJR034W	0.584	-0.289
YJR035W	-0.195	-0.083
YJR036C	0.035	-0.071
YJR037W	-0.235	0.034
YJR038C	-0.342	-0.015
YJR039W	-1.214	-0.210
YJR040W	-0.471	-0.197
YJR043C	0.668	-0.157
YJR044C	-0.736	-0.330
YJR047C	-0.040	0.011
YJR048W	0.280	-0.192
YJR049C	-0.042	-0.071
YJR051W	0.269	-0.089
YJR052W	0.131	-0.211
YJR053W	-0.041	-0.101
YJR054W	0.227	-0.105
YJR055W	NaN	0.181
YJR056C	0.066	-0.029
YJR058C	-1.124	-0.217
YJR059W	0.182	-0.098
YJR060W	NaN	0.063
YJR061W	0.044	-0.112
YJR062C	0.060	-0.115
YJR063W	-0.378	-0.014
YJR066W	0.528	0.108
YJR069C	0.081	0.048
YJR070C	-0.891	0.007
YJR075W	0.299	0.050
YJR077C	1.305	0.304
YJR078W	0.081	0.003
YJR079W	0.012	-0.049
YJR080C	-0.237	0.195
YJR082C	-1.276	-0.165
YJR083C	-0.260	-0.029
YJR084W	-1.034	-0.158
YJR085C	-0.103	0.015
YJR087W	0.656	0.378
YJR088C	0.539	-0.086
YJR090C	-0.513	-0.213
YJR091C	-0.074	0.163
YJR092W	0.804	0.165
YJR094C	-0.380	0.077
YJR094W-A	-1.182	-0.219
YJR095W	0.204	0.044
YJR096W	-1.035	-0.009
YJR097W	-0.006	-0.035
YJR098C	0.365	0.135
YJR099W	0.247	0.115
YJR100C	-0.028	-0.027
YJR101W	0.253	0.037
YJR102C	0.109	-0.637
YJR103W	-0.827	-0.079
YJR104C	0.386	-0.070
YJR105W	NaN	5.536
YJR106W	-0.930	-0.174
YJR107W	-1.385	-0.097
YJR108W	-0.565	-0.021
YJR110W	0.226	0.051
YJR111C	-0.840	-0.056
YJR112W-A	-0.035	0.025
YJR113C	0.678	0.365
YJR114W	0.545	0.495
YJR115W	-0.705	-0.044
YJR116W	-0.396	-0.028
YJR117W	0.676	-0.035
YJR118C	0.248	-0.213
YJR119C	-0.122	-0.026
YJR120W	0.860	0.139
YJR121W	-0.078	-0.014
YJR124C	-0.248	-0.263
YJR125C	1.191	-0.069
YJR126C	-0.850	-0.124
YJR127C	-0.285	0.072
YJR128W	-0.778	-0.042
YJR129C	-0.288	0.012
YJR130C	-0.682	0.075
YJR131W	-0.086	-0.067
YJR133W	0.042	0.009
YJR134C	0.044	0.108
YJR135C	0.035	0.092
YJR135W-A	-0.198	0.043
YJR137C	-1.015	0.107
YJR139C	-0.960	0.118
YJR140C	-0.559	0.304
YJR142W	-0.202	-0.064
YJR143C	0.478	0.050
YJR144W	0.518	-0.014
YJR145C	1.441	0.451
YJR146W	-1.185	-0.042
YJR147W	-0.486	0.003
YJR148W	-0.246	-0.047
YJR149W	-0.917	-0.139
YJR150C	0.186	-0.031
YJR151C	0.147	0.061
YJR151W-A	-3.266	-0.261
YJR152W	0.015	-0.049
YJR153W	-0.204	0.084
YJR154W	-0.156	0.031
YKL001C	0.069	0.083
YKL002W	NaN	-0.628
YKL003C	0.490	-0.243
YKL005C	-0.257	0.174
YKL006W	1.029	-0.019
YKL007W	0.669	0.263
YKL008C	-0.131	0.112
YKL009W	-1.610	-0.940
YKL010C	0.097	0.070
YKL015W	0.350	0.210
YKL016C	1.246	0.242
YKL017C	-0.197	0.120
YKL018C-A	-0.334	0.062
YKL020C	0.036	0.342
YKL025C	0.379	-0.244
YKL026C	0.482	0.231
YKL027W	0.142	0.222
YKL029C	-0.476	0.304
YKL030W	-0.513	0.060
YKL031W	0.707	0.110
YKL032C	0.073	-0.120
YKL033W-A	-0.288	0.053
YKL034W	0.460	0.112
YKL037W	0.650	0.051
YKL038W	0.288	0.211
YKL039W	-1.234	0.129
YKL040C	1.647	0.387
YKL041W	-0.345	-0.602
YKL043W	-0.208	0.309
YKL044W	-0.356	0.141
YKL046C	-0.177	0.021
YKL047W	0.324	0.385
YKL050C	-0.232	0.306
YKL051W	-0.376	0.330
YKL053C-A	0.592	0.281
YKL053W	0.704	0.685
YKL056C	0.656	0.509
YKL057C	0.957	0.264
YKL061W	0.222	0.358
YKL062W	-0.306	0.275
YKL063C	-2.010	-0.421
YKL064W	-0.172	-0.107
YKL065C	-2.181	-0.346
YKL066W	-0.185	-0.136
YKL067W	-0.590	-0.101
YKL068W	0.150	-0.027
YKL068W-A	-0.378	-0.006
YKL069W	-0.095	-0.037
YKL070W	0.069	-0.153
YKL071W	-1.393	-0.470
YKL072W	-0.183	-0.020
YKL073W	0.843	-0.058
YKL074C	-0.020	-0.534
YKL075C	-2.563	-0.469
YKL076C	-0.771	-0.199
YKL077W	-1.566	-0.302
YKL079W	-0.523	-0.189
YKL081W	-0.655	NaN
YKL083W	0.646	0.162
YKL084W	-0.273	-0.077
YKL085W	-0.107	-0.094
YKL086W	0.175	-0.156
YKL087C	0.721	-0.122
YKL091C	-0.182	-0.169
YKL092C	-0.374	-0.065
YKL093W	0.029	-0.037
YKL094W	-0.457	-0.120
YKL096W	-0.040	-0.091
YKL096W-A	0.085	0.048
YKL097C	0.270	-0.112
YKL098W	-1.573	0.078
YKL100C	0.271	-0.066
YKL101W	0.240	-0.209
YKL102C	-0.210	0.000
YKL103C	-0.240	-0.097
YKL105C	-0.067	-0.239
YKL106C-A	-0.066	0.046
YKL107W	-0.402	-0.039
YKL109W	0.213	-0.039
YKL113C	0.563	-0.144
YKL114C	-1.609	-0.329
YKL115C	-0.035	-0.021
YKL116C	-0.080	0.001
YKL117W	0.409	-0.033
YKL120W	0.381	0.180
YKL123W	0.028	0.227
YKL124W	-0.131	0.104
YKL126W	0.278	0.028
YKL127W	0.332	0.089
YKL128C	-0.143	0.049
YKL129C	-1.867	-0.292
YKL130C	-0.559	-0.094
YKL131W	-0.452	-0.167
YKL132C	0.189	0.118
YKL133C	-0.714	-0.117
YKL134C	0.745	-0.161
YKL136W	-0.594	-0.343
YKL137W	0.188	0.089
YKL138C	0.275	0.081
YKL139W	-0.390	0.664
YKL140W	-0.048	-0.051
YKL142W	-1.319	NaN
YKL146W	0.364	0.084
YKL147C	0.090	0.232
YKL148C	0.041	0.150
YKL149C	-0.354	0.293
YKL150W	-0.031	0.157
YKL151C	0.009	0.314
YKL155C	0.339	0.072
YKL156W	0.177	0.391
YKL157W	-0.154	0.208
YKL159C	-0.381	0.249
YKL160W	-0.171	NaN
YKL161C	0.220	0.271
YKL162C	-1.751	-0.150
YKL162C-A	-0.291	0.110
YKL163W	0.195	0.341
YKL164C	-0.204	0.208
YKL166C	0.371	0.153
YKL167C	0.636	0.298
YKL168C	-0.111	0.344
YKL169C	0.695	0.454
YKL170W	0.680	0.248
YKL171W	-0.414	0.145
YKL174C	-0.926	0.179
YKL175W	0.108	0.328
YKL176C	1.642	-0.168
YKL177W	0.021	0.250
YKL178C	-1.457	-0.038
YKL179C	-0.059	0.289
YKL183W	-0.953	0.213
YKL185W	-0.404	-0.115
YKL187C	-0.041	-0.187
YKL188C	-0.225	-0.085
YKL190W	-0.524	-0.197
YKL191W	0.007	-0.020
YKL194C	0.957	-0.218
YKL198C	-1.659	-0.011
YKL201C	NaN	0.044
YKL202W	-0.271	-0.080
YKL204W	-0.400	1.368
YKL205W	-1.209	-0.082
YKL206C	-0.411	0.081
YKL207W	-0.485	-0.186
YKL208W	0.117	-0.372
YKL211C	-0.272	-0.042
YKL215C	0.056	0.316
YKL216W	1.076	0.027
YKL217W	0.337	-0.122
YKL218C	0.622	0.184
YKL220C	-0.544	0.153
YKL221W	-0.599	0.037
YKL222C	-0.185	-0.130
YKR001C	-0.200	0.258
YKR003W	0.573	0.067
YKR005C	0.656	0.251
YKR006C	0.717	-0.144
YKR009C	0.414	-0.147
YKR010C	-1.450	-0.149
YKR012C	0.075	0.028
YKR013W	NaN	0.005
YKR015C	-0.312	0.030
YKR017C	NaN	-0.201
YKR019C	-0.425	-0.108
YKR023W	0.027	0.015
YKR026C	NaN	-0.055
YKR027W	-0.200	-0.077
YKR028W	1.506	0.087
YKR029C	0.172	-0.023
YKR030W	-0.012	0.145
YKR032W	-0.015	-0.014
YKR033C	-0.114	0.088
YKR034W	-1.022	0.037
YKR035C	-0.121	0.141
YKR035W-A	0.035	0.108
YKR036C	-0.822	0.030
YKR039W	-1.043	0.007
YKR040C	0.115	0.423
YKR041W	-0.014	0.085
YKR042W	0.511	-0.028
YKR043C	0.129	0.015
YKR044W	0.012	0.093
YKR045C	0.077	0.089
YKR046C	-0.243	0.157
YKR047W	-0.305	-0.102
YKR048C	0.489	0.221
YKR049C	0.120	0.089
YKR050W	-0.193	0.113
YKR052C	0.083	0.116
YKR053C	0.131	0.215
YKR054C	0.120	0.076
YKR055W	-0.171	0.154
YKR056W	0.216	0.278
YKR057W	0.074	0.102
YKR058W	NaN	-0.623
YKR059W	-0.085	0.182
YKR060W	-0.080	0.104
YKR061W	-0.960	0.005
YKR064W	0.346	-0.012
YKR066C	0.172	0.015
YKR067W	0.151	-0.093
YKR069W	0.613	0.003
YKR070W	0.182	-0.213
YKR072C	0.579	-0.520
YKR073C	0.178	0.084
YKR075C	-0.219	0.164
YKR076W	-0.001	0.123
YKR078W	0.269	-0.003
YKR082W	-0.950	-0.150
YKR084C	1.201	2.513
YKR087C	-0.091	-0.026
YKR088C	0.733	0.022
YKR089C	-0.840	0.009
YKR090W	-1.061	-0.091
YKR091W	0.152	0.187
YKR092C	-1.015	-0.034
YKR093W	-0.288	0.109
YKR094C	-0.171	0.040
YKR095W	0.337	0.000
YKR096W	0.903	-0.109
YKR097W	-0.174	0.088
YKR098C	-0.316	0.047
YKR099W	1.535	0.226
YKR100C	-0.376	-0.034
YKR101W	-0.461	0.250
YKR102W	0.099	0.113
YKR103W	-1.044	0.230
YKR104W	-0.675	0.108
YKR105C	-0.406	0.152
YKR106W	-0.142	0.141
YLL001W	-0.081	0.170
YLL002W	0.814	-0.548
YLL006W	1.119	0.061
YLL006W-A	-0.699	-0.128
YLL007C	0.206	0.098
YLL009C	-0.380	0.103
YLL010C	-0.104	0.060
YLL012W	-0.076	0.050
YLL013C	0.683	0.042
YLL014W	1.035	-0.218
YLL015W	-0.896	-0.139
YLL016W	0.188	-0.015
YLL017W	-0.641	0.129
YLL018C-A	0.839	0.266
YLL019C	-0.670	0.023
YLL020C	-0.271	-0.007
YLL021W	-2.519	-0.146
YLL023C	0.217	0.055
YLL024C	-0.631	0.142
YLL025W	-0.560	0.026
