ORF	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [50 uM] | Choi J~O'Shea EK, 2017	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [1 mM] | Choi J~O'Shea EK, 2017
YBR146W	-0.406	-0.086
YBR147W	0.400	NaN
YBR148W	-0.180	-0.217
YBR149W	0.227	-0.149
YBR150C	-0.384	0.199
YBR151W	-0.008	-0.060
YBR156C	-0.620	-0.145
YBR157C	-0.455	-0.010
YBR158W	0.109	-0.132
YBR159W	-0.147	NaN
YBR161W	0.127	NaN
YBR162C	-0.325	-0.031
YBR162W-A	-0.142	-0.014
YBR163W	0.347	0.044
YBR164C	-1.263	NaN
YBR165W	0.156	-0.061
YBR166C	-0.154	-0.066
YBR168W	0.593	0.065
YBR169C	-0.410	0.152
YBR170C	0.443	NaN
YBR171W	0.744	0.266
YBR172C	-0.068	0.061
YBR173C	-0.396	0.575
YBR174C	-1.028	NaN
YBR175W	-1.217	NaN
YBR176W	-0.256	-0.091
YBR177C	0.104	-0.021
YBR178W	0.364	-0.047
YBR179C	1.220	-0.101
YBR180W	-0.117	0.065
YBR181C	-0.625	-0.159
YBR182C	0.036	-0.030
YBR182C-A	-0.121	-0.058
YBR183W	0.241	-0.024
YBR184W	-0.649	-0.053
YBR185C	0.824	-0.029
YBR186W	-0.575	0.000
YBR187W	-0.025	0.041
YBR188C	0.088	0.009
YBR189W	-0.687	-0.156
YBR191W	-1.254	-0.224
YBR194W	-0.041	0.154
YBR195C	0.869	-0.096
YBR196C-A	-2.440	-0.200
YBR196C-B	-0.037	-0.026
YBR197C	-0.949	0.051
YBR199W	-0.385	0.028
YBR200W	-0.750	-0.032
YBR200W-A	-0.100	-0.051
YBR201W	0.067	-0.055
YBR203W	-0.554	-0.023
YBR204C	0.210	-0.097
YBR205W	0.130	0.022
YBR206W	0.058	0.061
YBR207W	-0.625	0.117
YBR208C	-0.164	-0.067
YBR209W	-0.533	0.005
YBR210W	0.085	0.034
YBR212W	1.294	0.020
YBR213W	-0.658	0.067
YBR215W	-0.007	0.565
YBR216C	-0.043	-0.063
YBR217W	0.094	0.051
YBR218C	1.118	0.061
YBR219C	0.314	0.039
YBR220C	-0.239	0.081
YBR221C	-1.349	0.238
YBR221W-A	1.309	-0.119
YBR222C	0.004	0.025
YBR223C	-0.221	0.054
YBR224W	-0.685	-0.224
YBR225W	1.066	0.008
YBR226C	0.809	-0.094
YBR227C	0.360	-0.025
YBR228W	-0.014	0.023
YBR230C	-0.354	-0.012
YBR230W-A	0.274	-0.044
YBR231C	0.563	NaN
YBR232C	-0.208	-0.135
YBR233W	-0.284	-0.064
YBR235W	0.194	0.063
YBR238C	0.824	0.076
YBR239C	-0.274	0.035
YBR240C	-0.008	0.050
YBR241C	0.079	0.066
YBR242W	-0.422	-0.005
YBR244W	0.199	0.035
YBR245C	0.345	0.105
YBR246W	0.276	-0.038
YBR248C	0.703	-0.084
YBR249C	0.115	0.132
YBR250W	0.161	0.054
YBR255W	-1.635	0.182
YBR258C	-0.013	0.105
YBR259W	0.197	0.032
YBR260C	-1.057	-0.104
YBR261C	0.298	-0.058
YBR262C	-0.014	0.042
YBR263W	-0.017	0.046
YBR264C	-0.384	0.032
YBR266C	-2.340	-0.587
YBR267W	-0.485	-0.070
YBR268W	1.257	-0.210
YBR269C	-0.026	-0.078
YBR270C	-0.241	0.036
YBR271W	-0.605	-0.176
YBR272C	0.085	0.056
YBR273C	-0.184	-0.069
YBR274W	0.186	-0.068
YBR275C	0.022	-0.093
YBR276C	-0.330	0.037
YBR277C	-0.403	-0.166
YBR278W	0.175	-0.175
YBR280C	-0.145	0.047
YBR281C	0.289	0.031
YBR282W	0.347	0.096
YBR283C	0.178	-0.168
YBR284W	0.241	0.031
YBR285W	0.128	0.060
YBR286W	0.207	-0.004
YBR287W	0.014	0.072
YBR288C	-2.718	0.035
YBR289W	-3.169	0.228
YBR290W	0.499	-0.283
YBR291C	0.744	0.035
YBR292C	-0.172	0.004
YBR293W	-0.405	-0.004
YBR294W	-1.195	0.144
YBR295W	0.603	-0.007
YBR296C	-0.213	0.010
YBR296C-A	-0.188	-0.122
YBR297W	0.300	0.026
YBR298C	0.348	0.039
YBR299W	-1.049	-0.045
YBR300C	0.005	0.089
YBR301W	-0.389	NaN
YCL001W	0.382	-0.228
YCL001W-A	0.485	0.062
YCL001W-B	0.674	-0.034
YCL002C	-0.355	-0.081
YCL005W	-2.235	NaN
YCL005W-A	-2.620	NaN
YCL006C	-0.376	0.052
YCL008C	0.405	-0.621
YCL009C	1.423	0.065
YCL010C	-1.208	-0.490
YCL011C	0.345	0.078
YCL012C	-0.019	-0.142
YCL013W	-0.063	-0.013
YCL014W	0.041	-0.072
YCL016C	0.784	0.093
YCL021W-A	-0.281	-0.047
YCL022C	-0.229	0.130
YCL023C	-0.078	0.088
YCL024W	-0.614	-0.020
YCL025C	-0.560	-0.014
YCL026C	-0.068	-0.029
YCL026C-A	-0.523	-0.003
YCL026C-B	-0.015	-0.064
YCL027W	-0.110	-0.043
YCL028W	-0.073	-0.036
YCL029C	0.294	-0.020
YCL030C	1.605	-0.245
YCL032W	0.343	0.512
YCL033C	0.311	-0.029
YCL034W	0.110	0.034
YCL035C	0.192	0.056
YCL036W	-0.297	0.092
