orf	hap a | cell conductivity | electric field [300 kHz] | YPD + G418 [100 ug/ml] | Vahey MD~Voldman J, 2013	hap a | cell conductivity | electric field [10 MHz] | YPD + G418 [100 ug/ml] | Vahey MD~Voldman J, 2013
YBR028C	-0.6843	0.0578
YBR030W	0.2877	0.16
YBR031W	0.8917	-0.3807
YBR032W	0.2288	0.5055
YBR033W	0.0681	0.0335
YBR034C	-0.001	-0.4696
YBR035C		-0.1302
YBR036C	0.187	-0.1832
YBR037C	0.6687	-0.3098
YBR040W	0.258	0.847
YBR041W	0.1631	-0.2946
YBR042C	0.4366	0.1805
YBR043C	0.2868	0.0235
YBR044C	-0.3304	-0.0994
YBR045C	-0.1165	0.5638
YBR046C	-0.08	-0.1157
YBR047W	0.3775	-0.0389
YBR048W	1.017	-0.0756
YBR050C	0.7801	-0.312
YBR051W	0.3403	-0.0918
YBR052C	0.5873	0.0817
YBR053C	-0.1007	0.0737
YBR054W	-0.2548	-0.1129
YBR056W	0.1577	-0.1974
YBR057C	0.4012	0.6303
YBR058C	0.6613	0.0545
YBR059C	-0.0632	0.0386
YBR061C	-0.3456	0.7448
YBR062C	0.0175	-0.329
YBR063C	-0.3578	0.2486
YBR064W	-0.4496	0.0977
YBR065C	0.247	-0.1912
YBR066C	0.1364	0.25
YBR067C	-0.2776	0.0115
YBR068C	-0.2897	-0.0487
YBR069C	-0.2119	0.0473
YBR071W	0.9169	-0.0263
YBR072W	-0.1496	-0.1496
YBR073W	0.084	0.2531
YBR074W	0.1648	0.11880000000000002
YBR076W	0.5022	-0.0989
YBR077C	-0.5036	-0.8518
YBR081C	-0.4146	-0.2334
YBR082C	0.738	-0.5383
YBR083W	-0.0499	0.0624
YBR084C-A	0.1591	-0.4319
YBR084W	0.031	-0.0485
YBR085W	0.8908	0.4324
YBR089C-A	0.5026	0.1334
YBR090C	0.1824	-0.0079
YBR092C	-0.4692	-0.0492
YBR095C	0.0627	-0.2196
YBR098W	-0.007449999999999984	0.0033000000000000043
YBR099C	0.0743	0.0552
YBR103W	-0.1133	-0.1462
YBR104W	0.6301	0.1344
YBR105C	0.5966	-0.354
YBR106W	0.2984	0.6629
YBR107C	-0.0433	-0.2471
YBR108W	0.2217	0.1277
YBR111C	1.1682	0.4637
YBR113W	-0.3715	-0.0539
YBR114W	0.6403	0.1293
YBR115C	-0.595	-0.0447
YBR116C	0.5383	0.2055
YBR119W	-0.07	0.0738
YBR120C	0.1898	-0.5039
YBR125C	0.9898	0.035
YBR126C	1.5422	-0.4737
YBR128C	-0.1071	0.2982
YBR129C	0.9076	0.1
YBR130C	0.6363	0.1122
YBR131W	0.0918	-0.2328
YBR132C	0.3536	-1.1651
YBR133C	0.5872	0.4667
YBR134W	1.1113	1.1783
YBR137W	0.1546	0.0072
YBR138C	-0.2995	-0.0019
YBR139W	-0.7951	-0.0177
YBR141C	-0.1849	-0.0577
YBR144C	0.3299	-0.1244
YBR145W	0.4682	0.0822
YBR146W	1.7165	-0.3145
YBR147W	0.0719	-0.3113
YBR148W	0.3898	-0.0506
YBR149W	0.2701	0.1118
YBR150C	0.3016	-0.2309
YBR151W	-0.0944	-0.2089
YBR156C	0.2837	0.0366
YBR157C	0.1117	-0.0085
YBR161W	-0.3699	-0.1421
YBR162C	0.3653	-0.1297
YBR162W-A	0.344	-0.1289
YBR164C		-0.0984
YBR165W	0.0153	-0.0132
YBR166C	0.3565	0.1684
YBR168W	0.4885	-0.5601
YBR169C	0.0119	0.1694
YBR170C	0.0091	0.0676
YBR171W	0.0883	-0.044
YBR172C	0.2309	0.0206
YBR173C	0.8759	-0.1944
YBR174C	0.8149	0.87
YBR175W	-0.1295	0.0216
YBR176W	0.5473	0.0403
YBR177C	0.5615	0.0616
YBR178W		-0.1649
YBR179C	0.5994	-1.0476
YBR180W	-0.0888	0.0584
YBR181C	0.8513	-0.9015
YBR183W	0.4649	-0.1464
YBR184W	0.4149	-0.1567
YBR185C	-0.2461	-0.2105
YBR186W	0.5353	-0.0373
YBR187W	0.2085	0.0947
YBR188C	0.7961	-0.1196
YBR189W	-0.3182	-1.1306
YBR191W	-0.2812	-1.3563
YBR194W	-0.0898	-0.4413
YBR195C	0.8004	0.0696
YBR197C	0.2737	0.2199
YBR199W	0.3073	0.2897
YBR200W	-0.0562	-0.7315
YBR201W	0.6011	0.2196
YBR203W	0.8829	0.403
YBR204C	1.0469	0.5655
YBR205W	-0.5548	0.2498
YBR206W	0.4949	-0.3223
YBR207W	0.3986	0.2117
YBR208C	0.4264	0.1886
YBR209W	0.5344	-0.0691
YBR210W	0.0303	0.2751
YBR212W	0.2495	0.5776
YBR213W	0.2585	-0.0956
YBR214W	0.3932	0.266
YBR215W	-0.2605	-0.1452
YBR216C	0.3707	0.0146
YBR217W	0.3248	-0.1821
YBR218C	1.0362	0.0274
YBR219C	0.3063	-0.12
YBR220C	0.1584	0.2354
YBR222C	-0.1261	-0.0234
YBR223C	0.2724	0.2486
YBR224W	-0.1481	-0.3684
YBR225W	0.5258	-0.4771
YBR226C	0.8774	-0.8467
YBR227C	0.7485	0.2424
YBR228W	0.4675	-0.0723
YBR229C	0.6504	-0.3494
YBR230C	0.334	
YBR231C	0.6403	0.1606
YBR232C	0.6803	0.3591
YBR233W	-0.0284	-0.0035
YBR235W	-0.3425	-0.2474
YBR238C	-0.7467	-0.0759
YBR239C	-0.64	0.0712
YBR240C	0.7065	-0.0408
YBR241C	-0.0696	0.055
YBR242W	0.4552	0.0199
YBR244W	0.7358	0.3263
YBR245C	0.9524	0.1021
YBR246W	0.7786	-0.0901
YBR248C	0.7115	-0.3706
YBR250W	0.4062	-0.428
YBR255W	0.2442	-0.2216
YBR258C	0.4591	-0.0141
YBR259W	0.2851	0.018
YBR260C	0.1307	0.3351
YBR261C	0.6408	-0.1824
YBR262C	0.0443	-0.1203
YBR263W	0.2245	-0.1795
YBR264C	-0.0646	0.064
YBR266C	0.683	-1.6933
YBR267W	0.4254	-0.4671
YBR268W	1.0052	-0.6448
YBR269C	-0.4687	0.193
YBR270C	-0.1533	-0.0228
YBR271W	0.2569	-0.0196
YBR272C	0.0789	0.2285
YBR274W	0.3072	-0.114
YBR275C	0.2918	0.1923
YBR276C	0.241	0.7086
YBR277C	0.3238	0.527
YBR278W	0.1617	-0.1388
YBR280C		-0.1302
YBR281C	-0.1105	-0.0293
YBR282W	0.324	-0.2112
YBR283C	0.3741	0.3868
YBR284W	0.3303	-0.0164
YBR285W	0.0734	-0.078
YBR286W	-0.4931	0.2765
YBR287W	-0.1382	0.2398
YBR288C	-0.2961	-0.1929
YBR290W	0.3567	-0.2471
YBR291C	-0.0202	0.1304
YBR292C	-0.2924	0.2362
YBR293W	0.4315	0.4014
YBR294W	0.5688	0.0776
YBR295W	-0.39	0.4467
YBR296C	0.3398	-0.0857
YBR297W	0.0385	0.0408
YBR298C	-0.5004	0.7471
YBR299W	0.0794	0.0673
YBR300C	0.032	-0.1499
YBR301W	-0.543	0.1968
YCL001W	0.7392	0.2478
YCL001W-A	0.3082	-0.0568
YCL002C	0.0659	-0.0305
YCL005W	0.2148	1.4112
YCL008C	2.0018	-1.03
YCL009C	0.3262	0.0725
YCL010C	0.0147	0.1068
YCL011C	0.6359	0.3486
YCL014W	-0.41555000000000003	-0.00945
YCL016C	-0.0977	0.1327
YCL022C	0.3506	0.1555
YCL023C	0.7782	-0.0797
YCL024W	0.1862	0.3269
YCL025C	0.1474	0.1851
YCL026C-A	0.3545	0.1721
YCL027W	0.0651	0.1938
YCL028W	0.1928	0.0348
YCL029C	0.1182	0.0597
YCL030C	0.1626	-0.0025
YCL032W	0.3063	-0.1008
YCL033C	0.491	0.2794
YCL034W	0.323	-0.0689
YCL035C	-0.3444	0.1922
YCL036W	0.7321	0.5148
YCL037C	0.3563	0.6633
YCL038C	0.093	-0.0072
YCL039W	-0.0303	0.0676
YCL040W	0.0018	0.0944
YCL042W	-0.2777	0.0577
YCL044C	0.323	-0.1084
YCL045C	0.0016	0.2656
YCL046W	-0.0092	0.1566
YCL047C	0.1108	-0.1096
YCL048W	-0.4382	0.1637
YCL049C	0.0216	0.1535
YCL050C	0.3178	0.8691
YCL051W	0.377	-0.0382
YCL055W	0.1512	0.881
YCL056C	0.3278	0.2401
YCL057W	0.1557	-0.0999
YCL058C	0.031	-0.914
YCL061C	-0.13375	0.5215
YCL063W	-0.4094	-0.203
YCL064C	0.3507	-0.1084
YCL069W	-0.2413	0.2035
YCL076W	0.3467	-0.0704
YCR001W	-0.0775	0.1416
YCR002C	0.4423	1.6853
YCR003W	1.4013	-0.8537
YCR004C	0.7449	-0.6524
YCR005C	-0.1814	0.1706
YCR006C	0.2454	0.5512
YCR007C	0.7679	0.35
YCR008W	0.0587	0.1429
YCR009C	1.4648	-1.5625
YCR010C	0.2948	0.0423
YCR011C	0.0839	0.026
YCR014C	0.0385	0.2889
YCR015C	-0.0954	0.1284
YCR016W	1.2632	-0.3136
YCR017C	-0.4109	-0.3036
YCR019W	0.1951	0.4834
YCR020C	0.0333	-0.0645
YCR020C-A	0.0885	0.1266
YCR020W-B	0.122	0.9972
YCR021C	0.421	-0.0815
YCR022C	0.1089	0.0012
YCR023C	0.1809	0.0915
YCR024C-A	0.0741	0.2038
YCR025C	0.0839	0.4969
YCR026C	0.1014	0.0572
YCR027C	-0.2714	-0.1111
YCR028C	0.3287	0.3549
YCR028C-A	0.4217	-0.9079
YCR030C	0.0058	-0.0069
YCR031C	0.1475	-0.7367
YCR032W	0.4504	0.1536
YCR033W	-0.214	0.6349
YCR034W	1.3715	-1.8183
YCR036W	-0.064	0.1918
YCR037C	0.72	0.8743
YCR043C	-0.0501	0.1334
YCR045C	-0.232	0.2094
YCR046C	0.0932	-0.3641
YCR048W	-0.0034	0.1379
YCR049C	-0.4208	0.2218
YCR050C	-0.0036	0.4928
YCR051W	-0.0768	-0.1654
YCR053W	-0.2054	0.1648
YCR059C	-0.3553	0.2108
YCR060W	-0.2032	-0.0391
YCR061W	-0.03725	0.11825
YCR065W	0.1499	-0.3188
YCR066W	0.8337	0.1881
YCR067C	0.3094	0.0231
YCR068W	-0.6417	-0.1183
YCR069W	0.5959	0.0343
YCR071C	0.8035	-0.8675
YCR073C	0.3659	-0.1334
YCR073W-A	0.116	0.1931
YCR075C	-0.0785	0.0268
YCR076C	0.5866	-0.0361
YCR077C	0.3632	-0.1024
YCR079W	0.9556	0.3703
YCR081W		-0.1084
YCR084C	-3.8717	-0.9596
YCR085W	0.9145	0.1438
YCR086W	0.0601	-0.078
YCR087C-A	0.2416	0.2433
YCR087W	0.7061	0.3037
YCR088W	-0.2029	-0.2974
YCR089W	-0.0247	0.0617
YCR090C	0.4769	0.144
YCR091W		-0.11
YCR092C	-0.1591	-0.0497
YCR094W	1.3518	0.0606
YCR095C	0.3648	-0.2788
YCR098C	-0.3144	0.2421
YCR099C	0.0624	-0.2364
YCR100C	0.1367	-0.0005
YCR101C	0.3171	-0.1242
YCR102C	0.323	-0.1039
YCR102W-A	-0.5805	0.3301
YCR105W	0.1041	0.0427
YCR106W	-0.3976	0.1721
YCR107W	0.204	0.5879
YDL001W	-0.0894	-0.4779
YDL002C	-0.4364	-1.1918
YDL006W	-0.8547	-1.4128
YDL009C	0.6522	0.5846
YDL010W	0.4383	0.0647
YDL011C	0.7429	-0.2378
YDL012C	0.0426	-0.1428
YDL013W	0.2622	-0.4857
YDL018C	-0.2505	-0.0694
YDL019C	0.3201	-0.1115
YDL020C	0.648	-0.2074
YDL021W	0.2015	1.2678
YDL022W	-0.2638	0.159
YDL023C	0.3192	0.2987
YDL024C	0.1477	0.1148
YDL025C	-0.1522	0.329
YDL026W	-0.3313	-0.1543
YDL027C	-0.2981	0.152
YDL032W	-0.2602	-0.2597
YDL033C	-0.0083	-0.3147
YDL034W	0.4414	0.1613
YDL035C	0.2316	-0.5864
YDL036C	0.0637	-0.2972
YDL037C	0.0398	0.3039
YDL039C	-0.09795	0.1487
YDL041W	1.4668	-0.2318
YDL042C	1.0441	0.3566
YDL044C	0.1116	-0.272
YDL045W-A	0.0355	-0.7593
YDL046W	0.0784	0.2479
YDL047W	2.2614	-0.1731
YDL048C	-0.8891	0.1868
YDL049C	0.4794	-0.6414
YDL050C	1.0627	0.5501
YDL051W	0.3063	0.2865
YDL052C	-0.4248	-0.0788
YDL053C	0.1955	-0.1343
YDL054C	-0.0955	-0.1011
YDL056W	0.0652	0.0152
YDL057W	0.25	-0.7149
YDL059C	0.2699	0.1623
YDL061C	0.3803	-0.1582
YDL063C	0.003	-1.3161
YDL065C	-0.2432	-0.1387
YDL066W	0.0572	0.1146
YDL067C	-0.7041	-0.64
YDL068W	0.5499	-0.3812
YDL069C	0.4294	-0.3839
YDL070W	0.3074	-0.1363
YDL071C	0.5461	-0.372
YDL073W	1.3063	1.2875
YDL074C	-0.0165	0.837
YDL075W	-0.929	-1.1224
YDL076C	-0.6334	0.271
YDL077C		-0.1163
YDL078C	1.0092	0.2459
YDL079C	0.0036	-0.2425
YDL080C	0.5348	0.1116
YDL081C	0.7974	0.4258
YDL082W	-0.3746	-0.9503
YDL083C	0.4124	
YDL085W	-0.1194	0.0142
YDL086W	0.1123	-0.0874
YDL088C	0.241	0.7867
YDL089W	1.0648	-0.2003
YDL090C	-0.0858	0.0455
YDL091C	0.8144	0.0162
YDL093W	0.155	-0.1191
YDL094C	-0.2445	0.3278
YDL095W	0.2435	-0.2228
YDL096C	0.0108	-0.161
YDL099W	0.1676	-0.0804
YDL100C	0.0187	-0.0358
YDL101C	1.6989	-0.4052
YDL104C	-0.2739	-0.5736
YDL106C	0.7259	-0.4489
YDL107W	0.1801	-0.3889
YDL109C	0.2908	0.1242
YDL110C	-0.0735	0.0364
YDL112W	0.388	-0.1167
YDL113C	0.0687	-0.4709
YDL114W	0.6299	0.1362
YDL115C	0.572	0.0773
YDL116W	-0.3371	-0.6847
YDL117W	-0.2817	-0.4234
YDL118W	-0.1185	-0.4972
YDL119C	0.6425	0.4139
YDL121C	-0.4896	0.0209
YDL122W	-0.42	-0.0447
YDL123W	0.3536	-0.0769
YDL124W	0.6664	0.2691
YDL125C	0.5165	0.3282
YDL127W	0.3537	-0.1983
YDL128W	-0.1487	0.0538
YDL129W	0.4146	-0.1393
YDL130W	0.2627	-0.7322
YDL130W-A	0.5299	0.3695
YDL131W	0.4248	0.066
YDL133C-A	0.67075	0.5835
YDL133W	0.067	0.0977
YDL134C	-0.5072	-0.1882
YDL136W	0.7784	-0.9472
YDL137W	0.1975	0.1166
YDL138W	0.2026	0.3472
YDL142C	0.7987	-0.2274
YDL144C	0.1197	-0.0613
YDL149W	-0.6363	-0.0162
YDL151C	1.1388	-0.4188
YDL154W	0.4971	-0.0666
YDL155W	0.6436	-0.1449
YDL156W	-0.2785	0.2084
YDL157C	-0.2047	0.0792
YDL159W	-0.1908	0.1651
YDL160C	0.3507	
YDL161W	0.3112	0.1329
YDL162C	-0.0164	0.1257
YDL168W	0.5119	-0.0267
YDL169C	-0.2052	0.0971
YDL170W	-0.2248	-0.0125
YDL171C	0.2215	-0.1801
YDL172C	-0.0587	-0.085
YDL173W	0.8679	0.3057
YDL174C	-0.2619	0.4635
YDL175C	0.2653	0.0627
YDL176W	0.3202	-0.135
YDL177C	0.9334	0.1825
YDL178W	0.1358	-0.0434
YDL179W	0.1773	0.0091
YDL180W	0.3284	0.1615
YDL181W	0.3086	0.109
YDL182W	-0.4346	-0.8691
YDL183C	0.2476	-0.2248
YDL184C	-0.1493	-0.0451
YDL186W	0.4196	-0.2358
YDL187C	0.1713	0.2045
YDL188C		-0.1071
YDL189W	-0.1462	-0.0258
YDL190C	-0.0587	-0.2661
YDL191W	0.7645	-0.3545
YDL192W	0.3201	
YDL194W	0.9942	-0.2027
YDL197C	0.228	0.1648
YDL199C	0.2677	-0.0212
YDL200C	0.2102	-0.1807
YDL201W	-0.2153	-0.1376
YDL203C	0.4241	0.4667
YDL204W	-0.0865	-0.4642
YDL206W	-0.4699	-1.0125
YDL210W	0.3691	0.5054
YDL211C	0.3075	-0.0957
YDL213C	0.6526	0.0064
YDL214C	0.323	-0.1166
YDL215C	0.0354	0.0958
YDL216C	0.3265	0.1573
YDL218W	0.247	-0.1536
YDL219W	0.0742	0.0659
YDL222C	0.1195	-0.0897
YDL223C	0.2371	-0.1239
YDL224C	0.3418	-0.3468
YDL225W	0.1454	-0.5917
YDL226C	1.0101	-0.5118
YDL227C	0.6091	0.0622
YDL229W	0.4205	0.418
YDL230W	0.3747	-0.1368
YDL231C	0.2677	-0.1693
YDL232W	1.1545	-0.7866
YDL233W	0.4304	-0.1046
YDL234C	0.4959	0.1248
YDL236W	-0.3658	-0.272
YDL237W	0.4145	-0.0548
YDL238C	0.0317	-0.0449
YDL239C	0.3474	0.202
YDL240W	0.3061	-0.1579
YDL241W	0.3804	-0.1704
YDL242W	0.2355	0.1481
YDL243C	-0.0445	-0.5064
YDR001C	0.2887	-0.2912
YDR003W	0.2989	0.0087
YDR004W	0.2539	0.2016
YDR005C	0.2885	-0.144
YDR006C	0.153	0.0448
YDR007W	0.297	0.1216
YDR008C	0.2211	0.2882
YDR009W	-0.083	0.058
YDR010C	-0.0516	0.0928
YDR011W	-0.3795	0.2254
YDR014W	-0.0868	0.2305
YDR015C	0.6555	0.4672
YDR017C	0.1507	-0.3674
YDR018C	0.8317	-0.0995
YDR019C	0.3837	-0.0438
YDR020C	-0.0543	0.2695
YDR022C	-0.0795	-0.0598
YDR024W		-0.1381
YDR025W	1.0549	-0.5783
YDR026C	0.6769	0.5597
YDR028C	0.1747	-0.7556
YDR029W	0.0132	-0.0673
YDR030C	0.0344	0.1594
YDR031W	0.334	-0.1134
YDR032C	0.3508	-0.0936
YDR033W	0.292	-0.0105
YDR034C	0.4105	-0.0872
YDR035W	-0.2105	0.1492
YDR036C	-0.1381	0.1606
YDR042C	0.2922	-0.8055
YDR043C	0.0561	-0.1305
YDR046C	-0.1346	-0.0735
YDR048C	0.9692	-0.1981
YDR049W	-0.1998	-0.1044
YDR051C	-0.3812	-0.0355
YDR055W	-0.1114	0.1427
YDR056C	0.4156	-0.1168
YDR057W	0.1393	0.4855
YDR058C	0.4512	-0.0639
YDR059C	-0.6715	0.1741
YDR061W	0.3052	-0.2485
YDR063W	-0.0925	0.0273
YDR066C	-0.1845	-0.2294
YDR067C	0.2452	0.1101
YDR068W	-0.3215	0.0215
YDR070C	-0.1945	0.1007
YDR071C	0.407	0.1956
YDR072C	0.3838	-0.3418
YDR073W	0.9064	-0.2077
YDR074W	1.2696	0.9044
YDR075W	-0.5756	0.3205
YDR076W	0.9852	0.081
YDR077W	0.0991	-0.0983
YDR078C	0.6241	-0.0026
YDR079W	0.7659	-0.3544
YDR080W	0.1573	-0.9374
YDR083W	1.2048	-1.0614
YDR084C	0.2715	0.0028
YDR085C	0.2594	-0.1156
YDR089W	0.0411	0.0417
YDR090C	0.5496	0.0224
YDR092W	0.5471	-0.1894
YDR093W	-0.0602	-0.2583
YDR094W	0.4979	0.4883
YDR095C	0.2687	0.1585
YDR096W	0.0396	0.1113
YDR097C	0.2586	-0.1213
YDR098C	-0.2347	0.0989
YDR099W	0.3114	-0.0727
YDR100W	0.0735	0.2911
YDR101C	0.3402	-0.1568
YDR102C	0.7697	0.3771
YDR103W	0.4554	-0.037
YDR104C	0.5933	-0.0936
YDR105C	0.3826	-0.0744
YDR107C	-0.3592	0.035
YDR108W	-0.421	-0.0027
YDR109C	0.6155	0.4385
YDR110W	0.2792	-0.0478
YDR111C	0.6057	0.1866
YDR112W	0.9687	-0.0402
YDR115W	0.2781	-1.4526
YDR116C	0.3507	
YDR117C	0.7419	-0.1676
YDR119W	-0.3604	0.1609
YDR120C	-0.7718	-0.022
YDR121W	0.5954	-0.054
YDR122W	0.707	-0.372
YDR123C	0.6245	-0.3925
YDR124W	0.0001	-0.0676
YDR125C	0.6796	-0.0451
YDR126W	0.398	-0.2892
YDR127W	0.0677	0.1547
YDR128W	0.0188	0.038
YDR129C	-0.5565	-0.6829
YDR130C	0.9607	0.1272
YDR131C	0.6268	-0.0167
YDR132C	0.5384	-0.1775
YDR133C	0.093	-0.1414
YDR135C	0.2725	0.0904
YDR136C	0.022	-0.3579
YDR137W	0.4976	-0.2296
YDR139C	0.1836	0.0508
YDR142C	0.0462	-0.044
YDR143C	0.6398	-0.1755
YDR144C	0.077	-0.0691
YDR146C	0.4629	-0.0183
YDR148C	0.0255	0.1534
YDR149C	0.6143	0.435
YDR150W	1.5822	0.405
YDR151C	0.8974	0.0132
YDR152W	0.3195	-0.103
YDR153C	0.0999	-0.2423
YDR154C	0.2087	-0.1082
YDR155C	0.3676	-0.1215
YDR156W	0.5267	-0.3375
YDR157W	0.3676	
YDR158W	0.0611	0.2995
YDR159W	-0.2804	-0.3281
YDR161W	0.914	-0.132
YDR162C	-0.2637	-0.8225
YDR163W	0.2376	0.3497
YDR165W	0.2748	-0.0157
YDR169C	-0.2743	-0.0013
YDR171W	-0.0794	-0.1973
YDR174W	0.6776	-0.3854
YDR175C	-0.1588	-0.6066
YDR176W	0.4769	0.5266
YDR179C	0.0194	0.0722
YDR179W-A	0.6782	0.0779
YDR181C	0.3944	-0.1343
YDR183W	0.3038	0.0006
YDR184C	0.2766	-0.4714
YDR185C	-0.0102	-0.1296
YDR186C	0.2014	-0.1132
YDR191W	0.9024	-0.0605
YDR192C	0.028	-0.2413
YDR193W	0.4401	-0.054
YDR194C	-0.2069	-0.7079
YDR195W	0.2071	-0.496
YDR197W	0.2881	-0.3496
YDR198C	0.5547	0.7559
YDR199W	-0.2766	-0.3147
YDR200C	0.3507	-0.0927
YDR202C	0.0956	-0.1924
YDR203W	-0.2294	0.4226
YDR204W		-0.206
YDR205W	-0.2619	0.1983
YDR206W	0.2529	0.0823
YDR207C	1.5919	-0.2644
YDR209C	0.8328	-0.0606
YDR210W	0.2685	-0.068
YDR213W	0.0667	0.1434
YDR214W	-0.0627	0.1377
