ORF	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013
YHR150W	-0.079	0.059
YHR151C	-0.120	-0.258
YHR152W	1.805	0.596
YHR153C	-0.219	-0.268
YHR154W	0.390	0.138
YHR155W	0.161	0.033
YHR156C	0.483	0.331
YHR157W	-0.009	-0.009
YHR158C	1.907	2.912
YHR160C	0.631	0.068
YHR161C	0.265	0.267
YHR162W	0.222	-0.022
YHR163W	0.187	0.071
YHR167W	1.398	0.467
YHR168W	0.414	0.245
YHR171W	1.627	-0.790
YHR176W	0.623	-0.170
YHR177W	-0.065	-0.386
YHR178W	0.435	0.205
YHR179W	-0.756	1.051
YHR180W	-0.263	0.096
YHR181W	0.564	0.368
YHR182W	0.183	0.266
YHR183W	0.438	0.354
YHR184W	0.424	-0.876
YHR189W	1.192	-0.343
YHR191C	1.074	-0.071
YHR193C	1.289	0.091
YHR194W	1.322	0.108
YHR195W	0.522	0.169
YHR198C	0.741	0.087
YHR199C	-0.485	-0.656
YHR200W	0.344	0.075
YHR202W	1.105	0.672
YHR203C	0.313	0.316
YHR204W	-0.037	0.386
YHR206W	-0.101	0.211
YHR207C	0.200	0.335
YHR209W	-0.441	0.177
YHR210C	1.267	1.265
YIL001W	0.095	-0.567
YIL002C	0.167	0.145
YIL005W	1.370	0.720
YIL006W	1.438	1.061
YIL007C	1.277	1.390
YIL008W	0.778	0.752
YIL009C-A	0.603	0.272
YIL009W	0.707	1.397
YIL010W	0.508	0.183
YIL011W	0.906	0.652
YIL012W	1.356	1.327
YIL013C	0.173	0.158
YIL014W	2.817	1.802
YIL015C-A	0.537	0.029
YIL015W	0.075	-0.648
YIL016W	-0.099	-0.395
YIL017C	0.194	0.001
YIL020C	0.650	-0.553
YIL023C	0.315	0.111
YIL024C	0.305	-0.059
YIL025C	0.384	0.404
YIL027C	0.733	-0.072
YIL028W	0.934	1.652
YIL029C	1.165	0.330
YIL030C	-0.144	0.303
YIL032C	0.546	0.124
YIL034C	-0.855	0.124
YIL036W	1.716	1.127
YIL037C	0.989	0.928
YIL038C	0.300	0.004
YIL039W	0.943	0.135
YIL040W	0.142	-0.406
YIL041W	2.252	0.763
YIL042C	0.747	0.620
YIL043C	0.007	-0.152
YIL044C	1.411	0.607
YIL045W	0.705	0.484
YIL047C	0.980	0.496
YIL049W	0.469	0.177
YIL050W	1.361	0.614
YIL052C	-1.013	-0.560
YIL053W	0.693	0.493
YIL054W	0.151	0.768
YIL055C	0.272	0.406
YIL056W	0.568	-0.139
YIL057C	0.063	0.215
YIL058W	0.151	0.347
YIL059C	0.196	0.075
YIL060W	0.560	-0.079
YIL064W	0.892	0.556
YIL065C	0.953	0.562
YIL066C	1.156	0.673
YIL067C	0.593	0.244
YIL069C	-0.282	-0.437
YIL070C	0.448	-0.677
YIL071C	1.027	-0.027
YIL072W	0.322	0.360
YIL073C	1.006	0.489
YIL074C	0.307	-0.810
YIL076W	1.375	2.732
YIL077C	0.742	0.424
YIL079C	0.180	-0.002
YIL084C	1.164	1.275
YIL085C	0.034	-0.170
YIL086C	0.330	0.168
YIL087C	0.328	-0.172
YIL088C	0.150	-0.009
YIL089W	0.509	-0.581
YIL090W	1.268	0.390
YIL092W	0.458	1.205
YIL093C	1.230	0.196
YIL094C	-0.418	-0.046
YIL095W	0.310	0.273
YIL096C	0.103	-0.216
YIL097W	0.834	0.329
YIL099W	0.492	0.482
YIL100W	0.889	0.260
YIL101C	1.680	0.150
YIL102C	0.154	0.024
YIL103W	0.096	0.309
YIL105C	0.276	-0.130
YIL107C	1.067	0.304
YIL108W	-0.239	0.059
YIL110W	0.469	0.258
YIL111W	-0.132	0.283
YIL112W	0.008	0.112
YIL113W	0.303	-0.463
YIL114C	-0.031	-0.001
YIL116W	1.291	1.324
YIL117C	0.254	0.546
YIL119C	0.961	0.628
YIL120W	0.147	-0.582
YIL121W	0.567	0.555
YIL122W	-0.530	0.414
YIL123W	0.495	0.174
YIL124W	0.584	-0.487
YIL125W	0.451	1.020
YIL128W	-0.077	0.353
YIL130W	-0.325	-0.536
YIL131C	0.116	-0.143
YIL132C	0.159	-0.013
YIL133C	-0.411	0.772
YIL134W	0.662	0.023
YIL135C	-0.122	0.598
YIL136W	-0.097	-0.028
YIL137C	1.115	-0.228
YIL138C	0.116	-0.252
YIL139C	1.078	0.556
YIL140W	0.223	-0.035
YIL141W	0.469	0.177
YIL145C	3.080	0.553
YIL146C	-0.142	-0.050
YIL148W	1.072	-0.039
YIL149C	0.542	-0.211
YIL152W	-0.719	0.183
YIL153W	-0.399	-0.527
YIL154C	1.544	0.462
YIL155C	0.779	1.156
YIL156W	0.194	0.062
YIL157C	0.660	0.787
YIL158W	0.218	0.293
YIL159W	2.470	0.005
YIL160C	2.093	0.175
YIL161W	-0.026	0.073
YIL162W	0.180	0.702
YIL163C	0.232	0.091
YIL164C	-0.120	0.048
YIL165C	-0.140	0.429
YIL166C	0.359	0.109
YIL167W	-0.430	0.083
YIL168W	-0.481	1.548
YIL170W	0.931	-0.291
YIL173W	0.118	-0.351
YIR001C	0.160	0.149
YIR002C	1.023	1.117
YIR003W	0.092	-0.147
YIR004W	-0.278	-0.436
YIR005W	0.541	-0.086
YIR007W	-0.063	-0.485
YIR009W	0.972	0.931
YIR013C	0.460	-0.289
YIR014W	0.486	0.540
YIR016W	0.739	1.522
YIR017C	0.463	0.635
YIR018W	-0.072	-0.299
YIR019C	-1.428	-0.509
YIR020C	0.168	0.969
YIR020W-B	0.331	0.747
YIR021W	0.798	-0.350
YIR023W	0.469	0.233
YIR024C	-0.065	0.134
YIR025W	0.452	-0.050
YIR027C	-0.392	0.253
YIR028W	1.289	0.524
YIR029W	0.441	0.099
YIR030C	0.031	0.033
YIR031C	0.643	0.249
YIR032C	0.110	0.022
YIR033W	-0.645	1.280
YIR034C	-0.181	0.721
YIR035C	0.332	-0.808
YIR036C	-0.422	-0.339
YIR037W	-0.172	-0.118
YIR038C	0.172	0.061
YIR039C	0.349	1.637
YIR042C	-0.715	-0.367
YIR043C	0.125	-0.107
YIR044C	0.273	0.735
YJL007C	0.799	-0.211
YJL016W	0.435	0.153
YJL017W	0.207	1.204
YJL020C	0.333	-0.534
YJL021C	2.233	0.017
YJL022W	1.266	0.245
YJL023C	0.112	0.501
YJL024C	0.247	0.227
YJL027C	0.046	0.480
YJL029C	0.130	-0.029
YJL030W	-0.022	-0.074
YJL036W	0.298	-0.060
YJL037W	0.448	0.049
YJL038C	-0.143	-0.177
YJL042W	1.363	-0.041
YJL043W	0.016	0.094
YJL044C	-0.529	0.307
YJL045W	-0.507	0.186
YJL046W	-1.078	1.078
YJL047C	0.298	0.304
YJL048C	-0.466	-0.135
YJL051W	-1.768	-0.974
YJL052W	0.525	-0.273
YJL053W	-0.301	-0.541
YJL055W	-1.011	0.031
YJL056C	0.233	0.127
YJL057C	0.380	0.263
YJL058C	0.226	0.369
YJL059W	0.503	0.205
YJL060W	-0.083	-0.309
YJL062W	-0.635	-0.428
YJL063C	-0.015	0.218
YJL064W	0.269	-0.059
YJL065C	1.305	-0.131
YJL066C	0.165	-0.149
YJL067W	0.528	-0.147
YJL068C	0.268	0.564
YJL070C	0.479	0.100
YJL071W	0.056	-0.055
YJL073W	-0.056	0.541
YJL077C	1.170	0.036
YJL078C	0.310	-0.080
YJL079C	0.027	-0.282
YJL080C	0.775	-0.696
YJL082W	0.092	0.150
YJL083W	0.071	0.031
YJL084C	0.181	-0.032
YJL088W	0.596	-1.204
YJL089W	0.533	-0.868
YJL092W	1.861	0.090
YJL093C	-0.070	0.375
YJL094C	0.224	0.317
YJL095W	0.249	-0.041
YJL096W	2.609	0.607
YJL098W	-0.373	-0.081
YJL099W	-0.414	-0.052
YJL100W	0.120	-0.097
YJL101C	0.448	-0.036
YJL102W	-0.646	0.780
YJL103C	0.152	0.322
YJL105W	-0.236	-0.191
YJL106W	0.196	-0.412
YJL107C	0.291	0.478
YJL108C	0.627	0.177
YJL110C	0.499	-0.043
YJL112W	-0.182	-0.219
YJL115W	0.157	-0.553
YJL116C	0.378	-0.377
YJL118W	-0.934	-0.275
YJL119C	0.659	0.184
YJL120W	1.020	0.028
YJL121C	0.356	0.639
YJL122W	-0.084	0.122
YJL123C	-0.277	-0.323
YJL124C	1.420	-0.482
YJL126W	0.238	0.351
YJL128C	-0.169	0.522
YJL129C	0.577	0.497
YJL130C	0.037	0.461
YJL131C	0.677	0.236
YJL132W	0.117	0.495
YJL133W	0.605	0.316
YJL134W	-0.242	-0.629
YJL135W	-0.736	0.372
YJL136C	0.588	-0.145
YJL137C	0.388	-0.161
YJL138C	-0.706	-0.212
YJL139C	0.223	0.324
YJL140W	0.772	-1.049
YJL141C	0.365	0.275
YJL142C	0.421	0.394
YJL144W	0.022	0.287
YJL145W	0.783	0.385
YJL146W	0.167	-0.621
YJL147C	-0.028	0.298
YJL148W	0.681	0.495
YJL149W	0.115	-0.151
YJL150W	0.710	-0.183
YJL151C	-0.243	-0.021
YJL152W	0.240	0.348
YJL153C	0.131	0.331
YJL154C	-0.082	0.578
YJL155C	-0.150	-0.252
YJL157C	0.572	-0.599
YJL158C	-0.621	-0.401
YJL159W	0.415	0.077
YJL160C	0.036	0.430
YJL161W	0.534	0.092
YJL162C	0.076	-0.778
YJL163C	0.406	0.549
YJL164C	1.666	0.267
YJL165C	-0.163	0.015
YJL166W	0.312	1.405
YJL168C	0.450	0.130
YJL169W	0.338	1.096
YJL170C	0.734	0.268
YJL171C	0.145	-0.367
YJL172W	0.098	-0.001
YJL175W	1.093	0.406
YJL176C	-2.033	-2.334
YJL177W	0.848	-0.886
YJL178C	-0.202	0.267
YJL179W	0.084	-0.328
YJL180C	0.469	0.730
YJL181W	-0.395	-0.334
YJL182C	0.276	0.106
YJL183W	-0.342	-0.141
YJL185C	0.124	0.107
YJL186W	0.525	-0.310
YJL187C	-0.051	-0.621
YJL188C	2.031	1.358
YJL189W	1.371	0.472
YJL190C	0.469	0.359
YJL191W	0.143	0.304
YJL192C	0.500	0.243
YJL193W	0.469	0.177
YJL196C	-0.316	0.009
YJL197W	0.979	-0.069
YJL198W	-1.289	-0.446
YJL199C	-0.019	0.339
YJL200C	0.576	0.433
YJL201W	-0.064	-0.242
YJL204C	2.787	2.958
YJL206C	0.187	0.862
YJL206C-A	-0.108	0.049
YJL207C	0.337	-0.046
YJL208C	0.264	0.416
YJL209W	-0.001	0.213
YJL210W	0.094	-0.560
YJL211C	-0.120	-0.534
YJL212C	-0.047	0.802
YJL213W	0.684	-0.291
YJL214W	0.156	-0.211
YJL215C	-0.049	-0.987
YJL216C	0.487	-0.971
YJL217W	-0.102	-0.433
YJL218W	-0.177	-0.067
YJR001W	-0.554	-0.147
YJR003C	-0.090	-0.384
YJR005W	-0.088	1.167
YJR008W	-0.236	0.077
YJR009C	-0.313	-0.544
YJR010C-A	0.661	-0.103
YJR010W	-0.599	-0.103
YJR011C	1.695	-0.018
YJR014W	0.322	-0.057
YJR015W	-1.166	0.108
YJR018W	0.755	-0.360
YJR019C	-0.059	0.790
YJR020W	-0.055	0.455
YJR021C	0.524	0.076
YJR024C	0.431	0.239
YJR025C	0.397	-0.054
YJR026W	0.071	0.268
YJR031C	-0.117	-0.242
YJR033C	0.185	-0.470
YJR034W	0.502	0.205
YJR035W	0.287	0.502
YJR036C	-0.022	0.210
YJR037W	-0.036	-0.181
YJR038C	0.503	0.205
YJR039W	0.036	-0.692
YJR040W	-0.104	-0.351
YJR043C	-0.007	0.095
YJR044C	0.255	0.261
YJR048W	0.518	-0.006
YJR049C	0.408	-0.687
YJR050W	2.030	0.809
YJR051W	-0.230	0.185
YJR052W	0.762	0.022
YJR053W	-0.346	-0.196
YJR054W	-0.755	0.587
YJR055W	0.023	0.437
YJR056C	1.091	1.151
YJR058C	-0.230	0.246
YJR059W	0.304	0.603
YJR060W	1.232	1.009
YJR061W	-0.069	0.027
YJR062C	-0.791	-0.131
YJR063W	1.615	0.405
YJR066W	0.236	-0.114
YJR069C	1.182	0.076
YJR070C	-0.625	-0.418
YJR073C	-0.180	-0.366
YJR074W	0.469	0.233
YJR075W	0.099	-0.964
YJR077C	0.405	0.231
YJR078W	0.442	0.370
YJR079W	1.212	0.316
YJR080C	-0.139	-0.521
YJR082C	0.718	0.275
YJR083C	-0.632	-0.406
YJR084W	-0.101	0.335
YJR087W	0.323	0.289
YJR088C	-0.205	-0.437
YJR090C	-0.456	0.737
YJR091C	0.438	0.034
YJR092W	-0.966	-0.055
YJR094C	0.435	-0.209
YJR094W-A	-0.120	-0.136
YJR095W	-0.425	-0.276
YJR096W	0.111	-0.021
YJR097W	0.377	0.207
YJR098C	0.301	0.256
YJR099W	0.092	0.020
YJR100C	0.029	-0.038
YJR102C	1.079	1.871
YJR103W	-1.218	0.149
YJR104C	0.502	0.177
YJR105W	2.068	0.725
YJR106W	0.475	-0.097
YJR107W	0.408	0.533
YJR108W	1.460	0.039
YJR109C	0.388	0.128
YJR110W	0.344	-0.586
YJR111C	-0.401	0.895
YJR115W	-0.551	1.059
YJR116W	-0.505	-0.095
YJR117W	0.533	0.233
YJR118C	1.714	0.075
YJR119C	-0.033	-0.063
YJR120W	-0.084	-0.461
YJR122W	0.553	0.795
YJR124C	0.040	0.165
YJR126C	1.304	-0.238
YJR127C	-0.465	0.664
YJR128W	-0.542	-0.105
YJR129C	1.359	1.096
YJR130C	0.201	-0.264
YJR131W	0.295	0.276
YJR133W	0.322	0.061
YJR134C	0.150	-0.189
YJR135C	0.945	0.340
YJR137C	1.498	0.110
YJR139C	-0.034	0.083
YJR140C	-0.598	-0.229
YJR142W	-0.059	0.134
YJR144W	0.194	0.522
YJR146W	-0.586	-0.562
YJR147W	0.326	-0.058
YJR148W	-0.324	-0.317
YJR149W	-0.064	-0.104
YJR150C	0.129	0.160
YJR151W-A	0.435	0.205
YJR152W	-0.367	-0.254
YJR153W	-0.615	-0.326
YJR154W	0.377	0.379
YKL001C	0.179	0.116
YKL002W	-0.146	-0.503
YKL003C	0.435	0.233
YKL005C	0.044	-0.262
YKL006W	0.253	0.890
YKL007W	0.286	-0.621
YKL008C	1.019	0.245
YKL009W	0.234	0.037
YKL010C	0.001	-0.435
YKL011C	0.115	0.428
YKL015W	0.301	-0.227
YKL017C	-0.165	-0.329
YKL020C	-0.088	-0.039
YKL023W	1.412	-1.397
YKL025C	-0.144	0.375
YKL027W	-0.111	0.218
YKL029C	0.127	-0.215
YKL030W	0.263	0.152
YKL031W	1.178	0.149
YKL032C	0.135	0.654
YKL033W-A	1.112	0.025
YKL034W	0.303	-0.127
YKL038W	0.856	-0.947
YKL039W	-0.401	-0.185
YKL040C	0.467	-0.240
YKL041W	0.991	0.538
YKL043W	-0.017	0.241
YKL044W	-0.446	0.141
YKL046C	0.860	0.405
YKL047W	-0.214	-0.473
YKL048C	-0.087	-0.384
YKL050C	-0.118	-0.461
YKL051W	1.388	1.153
YKL053C-A	-0.452	-0.159
YKL053W	-0.279	-0.774
YKL054C	-0.695	-0.385
YKL055C	0.751	0.339
YKL056C	0.203	0.840
YKL057C	-0.149	0.448
YKL061W	0.615	-0.421
YKL062W	0.331	0.431
YKL063C	-0.144	0.015
YKL064W	-0.335	-0.354
YKL065C	0.503	0.233
YKL066W	-0.219	0.304
YKL067W	-0.268	0.291
YKL068W	0.440	0.171
YKL069W	0.486	-0.282
YKL070W	-0.252	0.450
YKL071W	1.243	-0.044
YKL072W	-0.216	0.185
YKL073W	0.446	0.112
YKL074C	0.182	0.441
YKL075C	0.160	0.554
YKL076C	0.203	0.191
YKL077W	0.309	0.049
YKL079W	0.731	0.713
YKL081W	-0.603	0.026
YKL084W	0.365	-0.023
YKL085W	-0.142	0.329
YKL086W	0.204	-0.073
YKL087C	0.325	0.189
YKL090W	0.141	0.345
YKL091C	-0.037	0.369
YKL092C	0.401	0.201
YKL093W	0.138	0.326
YKL094W	-0.100	0.462
YKL096W	-0.049	-0.093
YKL096W-A	0.024	0.458
YKL097C	-1.108	-0.033
YKL098W	0.715	-0.064
YKL100C	0.644	-0.240
YKL101W	0.388	0.782
YKL102C	0.208	-0.027
YKL103C	-0.546	0.240
YKL105C	0.553	-0.034
YKL106W	0.288	0.325
YKL107W	0.280	0.758
YKL109W	0.021	0.338
YKL110C	-0.442	0.157
YKL113C	0.702	-0.575
YKL114C	-0.319	-0.513
YKL115C	0.691	0.174
YKL116C	0.212	-0.251
YKL117W	0.074	0.012
YKL120W	0.287	0.094
YKL121W	0.360	-0.139
YKL123W	-0.506	0.143
YKL124W	0.380	-0.366
YKL126W	-0.342	0.038
YKL127W	0.112	0.128
YKL128C	0.338	0.433
YKL129C	0.208	0.115
YKL130C	0.349	0.461
YKL131W	0.397	0.279
YKL132C	-0.647	-0.268
YKL133C	0.099	-0.116
YKL134C	NaN	NaN
YKL135C	0.769	-0.004
YKL136W	0.135	1.009
YKL137W	0.503	0.360
YKL139W	0.471	-0.029
YKL140W	0.842	-0.080
YKL142W	0.513	0.024
YKL143W	1.053	1.329
YKL146W	-0.029	-0.246
YKL147C	1.115	-0.133
YKL148C	1.091	0.006
YKL149C	0.194	0.401
YKL150W	1.456	0.188
YKL151C	0.141	0.195
YKL156W	0.333	0.117
YKL157W	0.267	-0.273
YKL158W	-0.288	-0.198
YKL159C	0.533	0.177
YKL160W	-0.247	-0.216
YKL161C	0.469	0.177
YKL162C	0.295	0.520
YKL162C-A	-0.202	-0.155
YKL163W	1.355	0.706
YKL164C	0.137	-0.059
YKL166C	0.087	0.425
YKL167C	0.758	0.286
YKL168C	1.085	0.289
YKL169C	0.515	1.438
YKL170W	0.714	-0.265
YKL171W	1.565	0.090
YKL174C	0.093	0.907
YKL175W	0.503	0.205
YKL176C	0.148	0.110
YKL177W	-0.267	0.307
YKL178C	0.188	0.349
YKL179C	-0.778	-0.642
YKL183W	0.130	0.417
YKL184W	0.831	-0.004
YKL185W	-0.374	0.012
YKL187C	0.533	0.520
YKL190W	0.066	0.402
YKL191W	-0.048	0.097
YKL194C	0.925	0.265
YKL197C	-0.071	-0.143
YKL198C	0.002	-0.890
YKL199C	-0.203	-0.504
YKL200C	0.767	0.046
YKL201C	-0.007	0.162
YKL202W	-0.220	-0.078
YKL204W	0.300	0.464
YKL205W	1.391	0.083
YKL206C	1.125	0.375
YKL207W	-0.059	0.161
YKL208W	0.572	-0.313
YKL211C	0.585	-0.246
YKL212W	-0.309	-0.273
YKL213C	1.509	0.285
YKL214C	0.562	0.155
YKL215C	2.128	0.520
YKL216W	-0.001	0.244
YKL217W	-0.024	1.162
YKL218C	0.126	0.290
YKL220C	0.328	-0.013
YKL221W	0.230	-0.652
YKL222C	0.034	-0.244
YKR001C	0.435	0.205
YKR003W	-0.085	-0.094
YKR005C	-0.796	0.081
YKR006C	0.469	0.179
YKR007W	-0.129	1.247
YKR009C	0.191	0.988
YKR011C	0.035	-0.471
YKR012C	-0.149	-0.383
YKR014C	0.163	0.033
YKR015C	-0.049	0.416
YKR016W	0.006	0.305
YKR017C	0.207	0.335
YKR018C	-0.662	0.950
YKR019C	-0.655	-0.160
YKR020W	0.435	0.205
YKR021W	1.301	0.027
YKR023W	0.389	0.411
YKR024C	0.196	1.048
YKR026C	0.132	0.171
YKR027W	-0.288	1.058
YKR028W	0.061	-0.051
YKR029C	1.318	0.365
YKR030W	0.529	0.343
YKR031C	0.191	0.143
YKR032W	0.312	-0.235
YKR033C	0.503	0.205
YKR034W	0.434	-0.520
YKR035C	0.131	0.114
YKR035W-A	0.029	0.194
YKR036C	0.309	0.121
YKR039W	0.478	-0.013
YKR040C	-0.058	0.243
YKR041W	0.242	0.810
YKR042W	0.713	0.296
YKR043C	0.045	0.718
YKR044W	-0.042	0.079
YKR045C	-0.507	0.579
YKR046C	0.471	-0.588
YKR047W	-0.045	-0.333
YKR048C	0.194	0.098
YKR049C	0.247	-0.146
YKR050W	-0.174	-0.140
YKR052C	-0.498	-0.448
YKR053C	0.301	0.427
YKR054C	0.246	-0.119
YKR055W	-0.100	-1.183
YKR056W	0.676	0.166
YKR057W	0.469	0.261
YKR058W	0.343	0.305
YKR059W	0.502	0.205
YKR061W	0.615	-0.006
YKR064W	0.765	0.436
YKR065C	0.106	-0.320
YKR066C	0.366	0.386
YKR067W	0.550	0.241
YKR069W	0.097	0.198
YKR070W	0.361	-0.216
YKR072C	0.024	0.403
YKR073C	-0.142	-0.012
YKR074W	0.737	0.367
YKR075C	0.000	-0.574
YKR076W	0.183	-0.338
YKR077W	0.519	0.607
YKR078W	-0.160	-0.115
YKR080W	-0.263	-0.036
YKR084C	0.118	0.451
YKR087C	-0.645	-0.301
YKR088C	-0.585	-0.931
YKR089C	-0.314	-0.049
YKR090W	0.367	-0.038
YKR091W	1.255	0.648
YKR092C	1.242	-0.565
YKR093W	1.041	-0.091
YKR094C	0.225	-0.397
YKR095W	-0.542	-0.388
YKR096W	-0.400	0.315
YKR097W	0.549	0.570
YKR098C	1.029	0.183
YKR099W	-1.325	-0.098
YKR100C	-0.299	-0.298
YKR101W	0.592	0.176
YKR102W	-0.258	0.256
YKR103W	1.941	-0.422
YKR104W	0.031	-0.348
YKR105C	0.060	-0.443
YKR106W	-0.108	0.525
YLL001W	0.815	-0.341
YLL002W	1.960	1.025
YLL005C	0.252	-0.096
YLL006W	-0.065	-0.202
YLL009C	0.469	0.345
YLL012W	-0.727	-0.515
YLL013C	0.549	-0.163
YLL014W	0.560	0.193
YLL015W	1.343	0.255
YLL016W	0.510	-0.505
YLL017W	1.196	-0.607
YLL018C-A	0.117	0.030
YLL019C	0.360	1.770
YLL020C	-0.454	-0.016
YLL021W	-0.236	-0.305
YLL023C	0.060	-0.106
YLL024C	-0.338	0.004
YLL025W	-0.038	-0.421
YLL026W	0.869	2.073
YLL027W	0.469	-0.332
YLL030C	0.307	1.015
YLL032C	2.054	0.351
YLL038C	1.076	0.571
YLL039C	0.495	0.514
YLL040C	0.037	0.747
YLL041C	0.967	0.025
YLL042C	-0.805	-0.245
YLL043W	-0.262	0.656
YLL044W	2.567	0.691
YLL045C	0.328	-0.766
YLL046C	0.035	0.459
YLL047W	1.398	-0.365
YLL048C	0.204	-0.603
YLL049W	2.522	1.319
YLL051C	0.405	0.177
YLL052C	1.935	0.121
YLL053C	-0.626	-0.889
YLL054C	-0.423	-0.540
YLL055W	-0.202	-0.284
YLL056C	0.376	0.528
YLL057C	0.152	0.063
YLL058W	-0.139	0.111
YLL059C	-0.102	0.555
YLL060C	0.602	0.583
YLL061W	-0.049	-0.029
YLL062C	1.024	0.109
YLL063C	0.443	0.683
YLR001C	-0.799	0.044
YLR003C	0.041	0.154
YLR004C	0.197	0.216
YLR006C	0.000	0.141
YLR011W	0.225	0.298
YLR012C	-0.050	0.324
YLR013W	-0.414	0.235
YLR014C	0.458	0.124
YLR015W	0.270	-0.329
YLR016C	0.284	-0.910
YLR017W	-0.287	1.768
YLR018C	1.217	0.395
YLR019W	0.534	-0.030
YLR020C	0.165	0.421
YLR021W	1.247	0.246
YLR023C	0.425	0.632
YLR024C	0.675	0.196
YLR025W	3.158	2.505
YLR027C	-0.277	0.424
YLR028C	0.484	0.257
YLR030W	-0.183	-0.139
YLR031W	0.281	1.364
YLR032W	-0.119	0.339
YLR034C	1.084	-0.188
YLR035C	-0.215	0.034
YLR036C	0.542	0.285
YLR037C	1.382	-0.036
YLR038C	-0.347	-0.205
YLR039C	-0.025	-0.227
YLR040C	1.388	0.136
YLR041W	1.051	0.233
YLR042C	0.216	-0.162
YLR043C	0.659	0.634
YLR044C	0.977	0.058
YLR046C	0.442	-0.451
YLR048W	0.829	0.970
YLR049C	1.323	0.206
YLR050C	0.674	0.437
YLR052W	1.027	-0.086
YLR053C	0.504	0.311
YLR054C	0.318	0.168
YLR055C	0.930	0.064
YLR057W	-0.279	-0.344
YLR058C	0.321	-0.653
YLR059C	0.273	0.326
YLR061W	0.615	0.381
YLR062C	0.427	0.465
YLR063W	0.312	-0.736
YLR064W	1.196	-0.089
YLR065C	-0.064	-0.108
YLR067C	1.073	1.299
YLR068W	1.454	0.022
YLR069C	0.100	0.154
YLR070C	-0.525	-0.013
YLR072W	0.078	-0.302
YLR077W	-0.233	0.249
YLR079W	0.918	1.433
YLR080W	0.299	-0.290
YLR081W	-0.036	-0.116
YLR082C	-0.525	-0.289
YLR083C	0.234	0.226
YLR085C	0.350	0.539
YLR087C	0.284	-1.039
YLR089C	2.297	-0.278
YLR090W	0.101	0.124
YLR091W	1.067	0.838
YLR092W	0.065	-0.025
YLR093C	0.552	-0.179
YLR094C	0.735	0.108
YLR095C	0.959	-0.143
YLR096W	0.517	0.864
YLR097C	1.191	0.283
YLR098C	0.245	0.360
YLR099C	0.086	1.074
YLR102C	-0.135	0.397
YLR104W	-0.244	0.686
YLR107W	0.570	0.668
YLR108C	0.433	-0.512
YLR109W	1.080	0.839
YLR110C	0.784	1.008
YLR111W	1.633	1.050
YLR112W	-0.401	0.242
YLR113W	0.352	0.546
YLR114C	1.349	1.011
YLR118C	0.469	0.177
YLR119W	0.477	-0.310
YLR120C	0.171	0.263
YLR121C	-0.043	-0.408
YLR122C	0.024	0.061
YLR123C	-0.299	-0.482
YLR124W	0.020	0.520
YLR126C	0.715	0.651
YLR128W	1.089	0.436
YLR130C	0.659	-0.803
YLR131C	-1.558	-1.851
YLR134W	0.714	0.537
YLR135W	0.448	0.133
YLR136C	1.105	0.071
YLR137W	-0.372	-0.244
YLR138W	-0.194	-0.185
YLR139C	0.098	-0.136
YLR142W	0.306	0.093
YLR143W	-0.150	0.274
YLR144C	-0.543	-0.485
YLR146C	-0.290	0.767
YLR149C	0.148	-0.405
YLR150W	1.383	0.437
YLR151C	1.148	0.460
YLR152C	1.498	0.355
YLR154C	0.039	-0.057
YLR164W	-0.096	-0.069
YLR165C	0.187	-0.265
YLR168C	-0.450	-0.171
YLR169W	-0.604	-0.439
YLR170C	-0.617	-0.320
YLR171W	-0.103	0.287
YLR172C	0.186	0.281
YLR173W	0.430	-0.148
YLR174W	-0.005	-0.034
YLR176C	0.780	0.162
YLR177W	-0.157	0.075
YLR178C	0.321	0.372
YLR179C	0.639	0.098
YLR180W	3.190	1.853
YLR181C	-0.517	-0.349
YLR182W	-1.335	-2.176
YLR183C	0.263	-0.116
YLR184W	0.061	1.603
YLR185W	-0.023	0.359
YLR187W	0.280	-0.211
YLR188W	-1.304	0.431
YLR189C	1.454	-0.147
YLR190W	-0.062	0.521
YLR191W	0.061	0.177
YLR192C	0.491	-0.162
YLR193C	0.016	0.110
YLR194C	0.781	-0.175
YLR199C	0.587	0.764
YLR200W	-0.004	-1.051
YLR201C	0.469	0.177
YLR202C	-0.330	-0.211
YLR203C	1.610	1.043
YLR204W	-0.758	0.481
YLR205C	-0.013	0.365
YLR206W	0.497	0.317
YLR207W	1.219	0.131
YLR209C	0.043	-0.554
YLR210W	0.191	0.314
YLR211C	0.966	-0.398
YLR213C	1.050	0.319
YLR214W	0.605	0.308
YLR216C	-0.227	0.842
YLR217W	0.115	0.700
YLR218C	-0.037	0.730
YLR219W	-0.645	1.177
YLR220W	-0.090	0.372
YLR221C	0.690	0.039
YLR224W	1.101	0.514
YLR225C	-0.097	0.194
YLR227C	-0.144	-0.048
YLR228C	-0.130	0.158
YLR231C	0.355	0.251
YLR232W	0.340	0.263
YLR233C	-0.160	-0.419
YLR234W	1.730	1.183
YLR235C	0.666	0.212
YLR236C	0.271	0.734
YLR237W	-0.112	0.432
YLR238W	-0.674	0.422
YLR239C	0.295	-0.071
YLR241W	1.454	1.266
YLR242C	1.786	-1.141
YLR246W	0.862	0.180
YLR247C	0.685	-0.207
YLR248W	0.613	1.138
YLR250W	0.208	-0.168
