orf	hap a | growth (undefined) | bleomycin [1-7.5 ug/ml] | discrete | discrete | discrete
YLL061W	0.052724019328697636
YLL062C	0.052724019328697636
YLL063C	0.052724019328697636
YLR001C	0.052724019328697636
YLR003C	0.052724019328697636
YLR004C	0.052724019328697636
YLR006C	0.052724019328697636
YLR011W	0.052724019328697636
YLR012C	0.052724019328697636
YLR013W	0.052724019328697636
YLR014C	0.052724019328697636
YLR015W	0.052724019328697636
YLR016C	0.052724019328697636
YLR017W	0.052724019328697636
YLR018C	0.052724019328697636
YLR019W	0.052724019328697636
YLR020C	0.052724019328697636
YLR021W	0.052724019328697636
YLR023C	0.052724019328697636
YLR024C	0.052724019328697636
YLR025W	0.052724019328697636
YLR027C	0.052724019328697636
YLR028C	0.052724019328697636
YML037C	0.052724019328697636
YML035C	0.052724019328697636
YML034W	0.052724019328697636
YML034C-A	0.052724019328697636
YML032C	0.052724019328697636
YML030W	0.052724019328697636
YML029W	0.052724019328697636
YML028W	0.052724019328697636
YML026C	0.052724019328697636
YML024W	0.052724019328697636
YML020W	0.052724019328697636
YML019W	0.052724019328697636
YML018C	0.052724019328697636
YML017W	0.052724019328697636
YML016C	0.052724019328697636
YML014W	0.052724019328697636
YML013W	0.052724019328697636
YML012C-A	0.052724019328697636
YML012W	0.052724019328697636
YML011C	0.052724019328697636
YML009W-B	0.052724019328697636
YML009C	0.052724019328697636
YML008C	-5.166953894212335
YML007W	0.052724019328697636
YML006C	0.052724019328697636
YML005W	0.052724019328697636
YML004C	0.052724019328697636
YML003W	0.052724019328697636
YML002W	0.052724019328697636
YML001W	-3.8620344158270767
YMR002W	0.052724019328697636
YMR003W	0.052724019328697636
YMR006C	0.052724019328697636
YMR007W	0.052724019328697636
YMR008C	0.052724019328697636
YMR009W	0.052724019328697636
YMR010W	0.052724019328697636
YMR011W	0.052724019328697636
YMR012W	0.052724019328697636
YMR014W	0.052724019328697636
YMR015C	0.052724019328697636
YMR016C	0.052724019328697636
YMR017W	0.052724019328697636
YMR018W	0.052724019328697636
YMR019W	0.052724019328697636
YMR020W	0.052724019328697636
YMR021C	0.052724019328697636
YMR022W	0.052724019328697636
YMR023C	0.052724019328697636
YMR024W	0.052724019328697636
YMR025W	0.052724019328697636
