orf	hap a/hap alpha/hom | multiple small vacuoles (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole fragmented (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole enlarged (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole class E (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002
YFL033C	30.0	0.0	0.0	0.0
YGL024W	75.0	0.0	0.0	0.0
YGL167C	40.0	0.0	0.0	0.0
YGL206C	25.0	25.0	0.0	0.0
YGL212W	0.0	100.0	0.0	0.0
YGL215W	25.0	0.0	0.0	0.0
YGL223C	90.0	0.0	0.0	0.0
YGR167W	50.0	40.0	0.0	10.0
YGR188C	10.0	0.0	60.0	0.0
YGR262C	50.0	10.0	0.0	0.0
YHL031C	70.0	0.0	0.0	0.0
YHR026W	0.0	40.0	60.0	0.0
YHR060W	0.0	20.0	70.0	0.0
YJL075C	40.0	0.0	0.0	0.0
YJL095W	20.0	10.0	0.0	0.0
YJL154C	50.0	0.0	0.0	0.0
YJL184W	0.0	40.0	20.0	0.0
YKL041W	50.0	0.0	0.0	50.0
YKL048C	80.0	0.0	0.0	0.0
YKL054C	30.0	10.0	0.0	10.0
YKL055C	30.0	0.0	0.0	0.0
YKL080W	0.0	10.0	60.0	0.0
YKL139W	50.0	10.0	0.0	0.0
YKR001C	60.0	0.0	0.0	0.0
YLL002W	60.0	0.0	0.0	0.0
YLR025W	30.0	0.0	30.0	30.0
YLR056W	60.0	0.0	0.0	0.0
YLR091W	0.0	90.0	0.0	0.0
YLR144C	30.0	0.0	0.0	30.0
YLR148W	0.0	100.0	0.0	0.0
YLR204W	0.0	0.0	70.0	0.0
YLR240W	0.0	20.0	80.0	0.0
YLR260W	40.0	40.0	0.0	0.0
YLR261C	60.0	10.0	0.0	0.0
YLR262C	40.0	40.0	0.0	0.0
YLR320W	50.0	0.0	0.0	0.0
YLR322W	25.0	25.0	0.0	0.0
YLR337C	20.0	20.0	10.0	0.0
YLR362W	50.0	0.0	0.0	0.0
YLR370C	30.0	0.0	20.0	30.0
YLR371W	20.0	0.0	40.0	0.0
YLR372W	0.0	100.0	0.0	0.0
YLR373C	30.0	0.0	0.0	0.0
YLR396C	0.0	100.0	0.0	0.0
YLR447C	0.0	25.0	50.0	25.0
YML001W	0.0	100.0	0.0	0.0
YML008C	60.0	0.0	0.0	0.0
YML012C-A	35.0	35.0	0.0	0.0
YMR015C	80.0	0.0	0.0	0.0
YMR038C	40.0	0.0	0.0	0.0
YMR231W	0.0	100.0	0.0	0.0
YMR238W	30.0	0.0	0.0	30.0
YMR269W	85.0	0.0	0.0	0.0
YNL015W	50.0	0.0	0.0	0.0
YNL080C	70.0	0.0	0.0	0.0
YNL280C	30.0	20.0	0.0	0.0
YNL281W	70.0	0.0	0.0	0.0
YNL297C	60.0	0.0	0.0	0.0
YNL298W	45.0	0.0	0.0	30.0
YOL008W	50.0	0.0	0.0	0.0
YOL018C	50.0	0.0	0.0	0.0
YOL035C	60.0	0.0	0.0	0.0
YOL050C	70.0	0.0	0.0	0.0
YOL063C	50.0	0.0	0.0	0.0
YOL065C	50.0	0.0	0.0	0.0
YOL152W	50.0	0.0	0.0	0.0
YOR036W	0.0	75.0	0.0	25.0
YOR061W	20.0	25.0	20.0	0.0
YOR068C	90.0	0.0	0.0	0.0
YOR069W	100.0	0.0	0.0	0.0
YOR070C	50.0	0.0	0.0	25.0
YOR106W	0.0	100.0	0.0	0.0
YOR132W	95.0	0.0	0.0	0.0
YOR196C	30.0	0.0	0.0	0.0
YOR221C	30.0	0.0	0.0	0.0
YOR270C	75.0	10.0	0.0	0.0
YOR349W	25.0	0.0	0.0	25.0
YOR359W	25.0	25.0	0.0	0.0
YPL045W	0.0	100.0	0.0	0.0
YPL055C	50.0	0.0	0.0	0.0
YPL065W	0.0	0.0	0.0	60.0
YPL150W	40.0	0.0	0.0	0.0
YPL161C	50.0	0.0	0.0	30.0
YPL234C	0.0	40.0	60.0	0.0
YPL268W	50.0	10.0	0.0	0.0
YPR131C	80.0	0.0	0.0	0.0
