orf	hap a/hap alpha/hom | multiple small vacuoles (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole fragmented (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole enlarged (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole class E (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002
YOR106W	0.0	17.28124268765402	0.0	0.0
YOR132W	12.240095065257924	0.0	0.0	0.0
YOR196C	3.8652931785025024	0.0	0.0	0.0
YOR221C	3.8652931785025024	0.0	0.0	0.0
YOR270C	9.663232946256256	1.7281242687654024	0.0	0.0
YOR349W	3.2210776487520856	0.0	0.0	11.534788333138803
YOR359W	3.2210776487520856	4.320310671913505	0.0	0.0
YPL045W	0.0	17.28124268765402	0.0	0.0
YPL055C	6.442155297504171	0.0	0.0	0.0
YPL065W	0.0	0.0	0.0	27.68349199953313
YPL150W	5.153724238003337	0.0	0.0	0.0
YPL161C	6.442155297504171	0.0	0.0	13.841745999766564
YPL234C	0.0	6.9124970750616095	17.215768106016775	0.0
YPL268W	6.442155297504171	1.7281242687654024	0.0	0.0
YPR131C	10.307448476006673	0.0	0.0	0.0
