orf	hap a | growth (spot assay) | gadolinium [3..8-4.0 mM] | YPD | Grosjean N~Blaudez D, 2023
YGR206W	1.699874943514452
YGR208W	-3.5591131629833836
YGR228W	3.4528709790137304
YGR229C	1.699874943514452
YGR252W	-1.8061171274841052
YGR258C	1.699874943514452
YGR271C-A	-5.312109198482663
YHL023C	1.699874943514452
YHR008C	1.699874943514452
YHR026W	-5.312109198482663
YHR030C	-1.8061171274841052
YHR050W	-1.8061171274841052
YHR060W	-3.5591131629833836
YHR064C	-5.312109198482663
YHR111W	-3.5591131629833836
YHR153C	3.4528709790137304
YIL008W	-3.5591131629833836
YIL034C	1.699874943514452
YIL052C	-1.8061171274841052
YIL148W	3.4528709790137304
YIL153W	1.699874943514452
YIR033W	3.4528709790137304
YJL053W	-1.8061171274841052
YJL064W	3.4528709790137304
YJL065C	3.4528709790137304
YJL075C	-3.5591131629833836
YJL095W	-3.5591131629833836
YJL102W	3.4528709790137304
YJL110C	3.4528709790137304
YJL120W	3.4528709790137304
YJL121C	-3.5591131629833836
YJL124C	3.4528709790137304
YJL131C	3.4528709790137304
YJL136C	1.699874943514452
YJL137C	3.4528709790137304
YJL154C	-1.8061171274841052
YJL165C	-3.5591131629833836
YJL188C	-3.5591131629833836
YJL189W	-3.5591131629833836
YJL204C	-5.312109198482663
YJL207C	3.4528709790137304
YJL209W	1.699874943514452
YJR018W	-1.8061171274841052
YJR059W	1.699874943514452
YJR075W	3.4528709790137304
YJR102C	3.4528709790137304
YJR105W	-5.312109198482663
YKL002W	3.4528709790137304
YKL016C	1.699874943514452
YKL023W	3.4528709790137304
YKL041W	1.699874943514452
YKL053W	3.4528709790137304
YKL054C	1.699874943514452
YKL061W	1.699874943514452
YKL080W	-5.312109198482663
YKL081W	-3.5591131629833836
YKL096C-B	3.4528709790137304
YKL101W	5.205867014513009
YKL118W	-3.5591131629833836
YKL119C	-5.312109198482663
YKL121W	1.699874943514452
YKL143W	-5.312109198482663
YKL212W	-3.5591131629833836
YKL213C	5.205867014513009
YKR001C	-5.312109198482663
YKR007W	-1.8061171274841052
YKR019C	-3.5591131629833836
YKR020W	-5.312109198482663
YKR024C	-1.8061171274841052
YKR050W	1.699874943514452
YKR055W	-3.5591131629833836
YKR057W	-3.5591131629833836
YKR092C	-3.5591131629833836
YLL038C	3.4528709790137304
YLL045C	3.4528709790137304
YLR006C	1.699874943514452
YLR020C	-3.5591131629833836
YLR027C	3.4528709790137304
YLR039C	-3.5591131629833836
YLR056W	3.4528709790137304
YLR062C	-1.8061171274841052
YLR087C	3.4528709790137304
YLR119W	3.4528709790137304
YLR148W	-3.5591131629833836
YLR206W	3.4528709790137304
YLR216C	3.4528709790137304
YLR217W	3.4528709790137304
YLR224W	3.4528709790137304
YLR226W	-1.8061171274841052
YLR233C	-3.5591131629833836
YLR240W	-5.312109198482663
YLR242C	3.4528709790137304
YLR244C	3.4528709790137304
YLR261C	-3.5591131629833836
YLR262C	-3.5591131629833836
YLR322W	-3.5591131629833836
YLR332W	1.699874943514452
YLR337C	5.205867014513009
YLR342W	3.4528709790137304
YLR350W	5.205867014513009
YLR357W	-3.5591131629833836
YLR360W	-3.5591131629833836
YLR370C	3.4528709790137304
YLR371W	1.699874943514452
YLR372W	5.205867014513009
YLR374C	-3.5591131629833836
YLR375W	-1.8061171274841052
YLR380W	-3.5591131629833836
YLR396C	-3.5591131629833836
YLR403W	-3.5591131629833836
YLR407W	1.699874943514452
YLR414C	-1.8061171274841052
YLR417W	1.699874943514452
YLR425W	3.4528709790137304
YLR441C	-1.8061171274841052
YML007C-A	3.4528709790137304
YML012C-A	3.4528709790137304
YML017W	1.699874943514452
YML024W	-3.5591131629833836
YML057C-A	-3.5591131629833836
YML057W	-3.5591131629833836
YML063W	-3.5591131629833836
YML071C	-1.8061171274841052
YML072C	5.205867014513009
YML097C	-1.8061171274841052
YML111W	5.205867014513009
YML116W	1.699874943514452
YML128C	-1.8061171274841052
YMR010W	3.4528709790137304
YMR060C	1.699874943514452
YMR077C	3.4528709790137304
YMR123W	-3.5591131629833836
YMR143W	-3.5591131629833836
YMR183C	-3.5591131629833836
YMR202W	5.205867014513009
YMR216C	3.4528709790137304
YMR242C	-3.5591131629833836
YMR242W-A	-1.8061171274841052
YMR269W	-3.5591131629833836
YMR275C	5.205867014513009
YNL025C	3.4528709790137304
YNL032W	3.4528709790137304
YNL037C	1.699874943514452
YNL041C	-3.5591131629833836
YNL051W	-3.5591131629833836
YNL080C	5.205867014513009
YNL084C	3.4528709790137304
YNL097C	1.699874943514452
YNL107W	-1.8061171274841052
YNL111C	1.699874943514452
YNL119W	-3.5591131629833836
YNL136W	3.4528709790137304
YNL139C	1.699874943514452
YNL147W	3.4528709790137304
YNL153C	3.4528709790137304
YNL177C	1.699874943514452
YNL198C	3.4528709790137304
YNL229C	3.4528709790137304
YNL235C	1.699874943514452
YNL238W	-5.312109198482663
YNL248C	-3.5591131629833836
YNL255C	1.699874943514452
YNL280C	3.4528709790137304
YNL293W	3.4528709790137304
YNL294C	5.205867014513009
YNL296W	5.205867014513009
YNL297C	5.205867014513009
YNL298W	3.4528709790137304
YNL302C	-3.5591131629833836
YNL307C	-3.5591131629833836
YNL322C	-1.8061171274841052
YNL323W	-1.8061171274841052
YNL326C	-1.8061171274841052
YNR005C	1.699874943514452
YNR006W	3.4528709790137304
YNR031C	3.4528709790137304
YNR047W	-1.8061171274841052
YNR049C	-5.312109198482663
YOL001W	1.699874943514452
YOL004W	3.4528709790137304
YOL018C	-3.5591131629833836
YOL044W	1.699874943514452
YOL086C	1.699874943514452
YOL090W	3.4528709790137304
YOL107W	3.4528709790137304
YOL122C	-3.5591131629833836
YOL143C	5.205867014513009
YOL148C	1.699874943514452
YOR002W	-1.8061171274841052
YOR008C	5.205867014513009
YOR026W	3.4528709790137304
YOR035C	3.4528709790137304
YOR036W	-3.5591131629833836
YOR061W	5.205867014513009
YOR067C	-1.8061171274841052
YOR086C	3.4528709790137304
YOR096W	-3.5591131629833836
YOR101W	1.699874943514452
YOR106W	-3.5591131629833836
YOR124C	1.699874943514452
YOR135C	1.699874943514452
YOR141C	1.699874943514452
YOR198C	-3.5591131629833836
YOR199W	3.4528709790137304
YOR251C	3.4528709790137304
YOR295W	-1.8061171274841052
YOR317W	3.4528709790137304
YOR322C	3.4528709790137304
YOR331C	-1.8061171274841052
YPL002C	3.4528709790137304
YPL031C	-3.5591131629833836
YPL045W	-3.5591131629833836
YPL050C	-1.8061171274841052
YPL051W	-3.5591131629833836
YPL056C	-5.312109198482663
YPL057C	-5.312109198482663
YPL065W	3.4528709790137304
YPL084W	3.4528709790137304
YPL120W	-3.5591131629833836
YPL129W	-3.5591131629833836
YPL136W	5.205867014513009
YPL138C	5.205867014513009
YPL145C	-1.8061171274841052
YPL157W	-1.8061171274841052
YPL179W	-3.5591131629833836
YPL180W	3.4528709790137304
YPL181W	1.699874943514452
YPL193W	-3.5591131629833836
YPL226W	-3.5591131629833836
YPL232W	-3.5591131629833836
YPL249C-A	-3.5591131629833836
YPR036W	-5.312109198482663
YPR072W	3.4528709790137304
YPR099C	-1.8061171274841052
YPR101W	1.699874943514452
YPR119W	3.4528709790137304
YPR126C	1.699874943514452
YPR141C	3.4528709790137304
YPR160W	3.4528709790137304
YPR163C	-5.312109198482663
YPR173C	3.4528709790137304
