orf	hap a | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003	het | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003
YLR404W	-2.0	
YLR405W	2.0	
YLR410W	4.0	
YLR414C	-4.0	
YLR421C	1.0	
YLR423C	-4.0	
YLR431C	2.0	
YLR439W	3.0	
YLR447C	2.0	
YLR448W	1.0	
YLR451W	1.0	
YLR452C	-4.0	
YML005W	-2.0	
YML016C	-4.0	
YML022W	-4.0	
YML024W	3.0	
YML027W	-4.0	
YML034W	-2.0	
YML041C	-2.0	
YML042W	-3.0	
YML058W	-4.0	
YML061C	1.0	
YML073C	-3.0	
YML082W	-2.0	
YML086C	2.0	
YML088W	4.0	
YML091C		-3.0
YML092C		2.0
YML094C-A	-2.0	
YML094W	-4.0	
YML101C-A	-2.0	
YML103C	-3.0	
YML104C	1.0	
YML106W	2.0	
YML107C	2.0	
YML121W	-2.0	
YMR012W	-2.0	
YMR016C	-2.0	
YMR022W	2.0	
YMR024W	2.0	
YMR029C	3.0	
YMR030W	2.0	
YMR038C	5.0	
YMR052C-A	4.0	
YMR052W	4.0	
YMR057C	2.0	
YMR060C	2.0	
YMR066W	2.0	
YMR070W	3.0	
YMR071C	4.0	
YMR072W	2.0	
YMR073C	2.0	
YMR075C-A	-2.0	
YMR077C	2.0	
YMR078C	-2.0	
YMR084W	3.0	
YMR085W	2.0	
YMR089C	3.0	
YMR097C	3.0	
YMR100W	-2.0	
YMR104C	-2.0	
YMR115W	-3.0	
YMR135W-A	-3.0	
YMR143W	2.0	
YMR144W	2.0	
YMR145C	-5.0	
YMR150C	-4.0	
YMR151W	-4.0	
YMR158W	4.0	
YMR158W-B	2.0	
YMR160W	-2.0	
YMR174C	2.0	
YMR175W	-2.0	
YMR177W	-2.0	
YMR184W	3.0	
YMR189W	-2.0	
YMR191W	-2.0	
YMR202W	-3.0	
YMR211W		-4.0
YMR216C	2.0	
YMR223W	2.0	
YMR224C	2.0	
YMR228W	4.0	
YMR238W	2.0	
YMR242C	2.0	
YMR251W-A	2.0	
YMR252C	2.0	
YMR253C	2.0	
YMR254C	2.0	
YMR255W	2.0	
YMR256C	4.0	
YMR257C	4.0	
YMR258C	2.0	
YMR259C	2.0	
YMR260C		-2.0
YMR261C	2.0	
YMR262W	2.0	
YMR263W	-2.0	
YMR264W	2.0	
YMR267W	4.0	
YMR268C		-2.0
YMR272C	-4.0	
YMR282C	2.0	
YMR293C	3.0	
YMR295C	2.0	
YMR312W	-3.0	
YMR314W		2.0
YMR316C-A	2.0	
YMR316W	1.0	
YNL001W	2.0	
YNL004W	2.0	
YNL005C	4.0	
YNL008C	2.0	
YNL009W	2.0	
YNL013C	2.0	
YNL015W	4.0	
YNL016W	5.0	
YNL022C	1.0	
YNL040W	2.0	
YNL041C	1.0	
YNL047C	2.0	
YNL050C		-2.0
YNL051W	1.0	
YNL052W	3.0	
YNL057W	2.0	
YNL065W	-2.0	
YNL068C	-2.0	
YNL069C	1.0	
YNL070W	2.0	
YNL072W	-2.0	
YNL073W	2.0	
YNL075W		-3.0
YNL081C	5.0	
YNL086W	-3.0	
YNL089C	2.0	
YNL097C	-3.0	
YNL098C	-2.0	
YNL099C	-4.0	
YNL100W	-2.0	
YNL102W		-2.0
YNL105W	2.0	
YNL110C		-3.0
YNL111C	-2.0	
YNL114C		-2.0
YNL127W	4.0	
YNL131W	-3.0	
YNL133C	-3.0	
YNL143C	2.0	
YNL147W	2.0	
YNL148C	1.0	
YNL160W	3.0	
YNL162W	2.0	
YNL167C	2.0	
YNL168C	2.0	
YNL169C	3.0	
YNL170W	5.0	
